PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura (cm),Color,Longitud (cm),Picture1,AllPicturesZIP,DeliveryPlant
1063476,,700112,ACOUSTA-FIL,ACFIL MUFFLER FILAMENT 250GR,Fibra de escape ACOUSTA-FIL 50gr 2/4 tiempos 250gr,12.68,10.48,6.81,700112,2,7019310090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs2654AE3A{text-align:left;margin:0pt 0pt 0pt 0pt;}.csE8AC24F0{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs37063928{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Acousta-fil is a product stemming from the last evolutions of insulations phoniques and thermic.</p><ul start=""1""> <li>For 2 strokes and 4 strokes engines</li><li>Resists up to 700°</li></ul> </body> </html>","       Acousta-fil is a product stemming from the last evolutions of insulations phoniques and thermic. For 2 strokes and 4 strokes enginesResists up to 700°  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,5061,250,278,164,111,,,,https://api.mybihr.com/medias/1063476-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjk5Mzh8aW1hZ2UvanBlZ3xhR0ZoTDJnek1DODRPVFUwTWpVd056SXpNelU0THpFd05qTTBOell0TVY4NE1EQlhlRGd3TUVnfDlhYTRmYWI2MGFkNWZhOWNkYjBlNjJlMTgxNDYyNTM2YzVhMzJlN2U2MDk0MjJmYjkzYjFkN2E4Njk1OWRkYTI,https://static.bihr.pro/eBihr/Pictures/ACOUSTA-FIL-pictures.zip,Spain Warehouse (Parts)
1063488,,76036121,ACOUSTA-FIL,"ACFIL HEAT WRAP 50MM X 7,5M","Cinta colectora térmica ACOUSTA-FIL 50mm x 7,5m 650°C marrón",54.96,45.42,29.52,76036121,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs2654AE3A{text-align:left;margin:0pt 0pt 0pt 0pt;}.csE8AC24F0{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs37063928{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Exhaut heat wrap for head pipes, protects from burn injury through accidental contact with hot pipework.</p><ul start=""1""> <li>Withstands 650°C direct heat </li><li>Vintage style </li><li>Easy install </li></ul> </body> </html>","       Exhaut heat wrap for head pipes, protects from burn injury through accidental contact with hot pipework. Withstands 650°C direct heat Vintage style Easy install   ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,1262,785,145,145,60,,Granate,,https://api.mybihr.com/medias/1063488-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDM2NzR8aW1hZ2UvanBlZ3xhR0kwTDJnNFl5ODRPVFUwTWpVeE16RXpNVGd5THpFd05qTTBPRGd0TVY4NE1EQlhlRGd3TUVnfDY2NDYzMjk3ZjA3ODNiMTU0Y2Q0YTUyY2NiMjRjNDZkMGU2YzcxZDNmNWJjOTRlMWFhZmVkOGI2ZTdkMTdkMTk,https://static.bihr.pro/eBihr/Pictures/ACOUSTA-FIL-pictures.zip,Spain Warehouse (Parts)
1063490,,700118,ACOUSTA-FIL,ACFIL POWER PACK 300MM Ø55/100MM,Fibra de escape ACOUSTA-FIL 2/4 tiempos 300mm Ø55 / 100mm,33.57,27.74,18.03,700118,1,7019191090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs2654AE3A{text-align:left;margin:0pt 0pt 0pt 0pt;}.csE8AC24F0{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs37063928{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC63B7095{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:circle;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Repack cartridges. Ideal for reconditioning your silent, cartridge ready to use.</p><ul start=""1""> <li>Composition<ul> <li>Sound absorbing</li><li>Stainless steel braided</li></ul> </li><li>Ease of use</li><li>Resists up to 850°</li></ul> <p> </p></body> </html>","       Repack cartridges. Ideal for reconditioning your silent, cartridge ready to use. Composition Sound absorbingStainless steel braided Ease of useResists up to 850°   ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,2997,526,90,370,90,,,,https://api.mybihr.com/medias/1063490-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI4NDR8aW1hZ2UvanBlZ3xhREkzTDJoaVlTODRPVE01T0RjeU1UVTNOekkyTHpFd05qTTBPVEF0TVY4NE1EQlhlRGd3TUVnfGRiOGU5OWFhOTU4YWU3NmEzMmUxYTI3NGU5MGUxNjNmNmRiNzVjYTQ5YjY3MTQ2NjY2NzhiZjFhODM2YTc1OGI,https://static.bihr.pro/eBihr/Pictures/ACOUSTA-FIL-pictures.zip,Spain Warehouse (Parts)
1063491,,700120,ACOUSTA-FIL,ACFIL POWER PACK 500MM Ø55/100MM,Fibra de escape ACOUSTA-FIL 2/4 tiempos 500mm Ø55 / 100mm,41.31,34.14,22.19,700120,1,7019191090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs2654AE3A{text-align:left;margin:0pt 0pt 0pt 0pt;}.csE8AC24F0{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs37063928{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC63B7095{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:circle;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Repack cartridges. Ideal for reconditioning your silent, cartridge ready to use.</p><ul start=""1""> <li>Composition<ul> <li>Sound absorbing</li><li>Stainless steel braided</li></ul> </li><li>Ease of use</li><li>Resists up to 850°</li></ul> <p> </p></body> </html>","       Repack cartridges. Ideal for reconditioning your silent, cartridge ready to use. Composition Sound absorbingStainless steel braided Ease of useResists up to 850°   ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,6982,790,519,118,114,,,,https://api.mybihr.com/medias/1063491-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI4NDR8aW1hZ2UvanBlZ3xhR1kzTDJoak1DODRPVE01T0RjeU16VTBNek0wTHpFd05qTTBPVEV0TVY4NE1EQlhlRGd3TUVnfDRkNTY4MzJiZDBmMGM2NzQ4YWZlOWEyNDc1ZDVjMDZlOWQzN2YxMzQ3NDU4OTI1OTczM2EwZGQ2MTljZWExNjk,https://static.bihr.pro/eBihr/Pictures/ACOUSTA-FIL-pictures.zip,Spain Warehouse (Parts)
1063492,,700128,ACOUSTA-FIL,ACFIL POWER PACK 400MM Ø50/100MM,Fibra de escape ACOUSTA-FIL 2T 400mm Ø50 / 100mm,38.38,31.72,20.62,700128,0,7019191090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs2654AE3A{text-align:left;margin:0pt 0pt 0pt 0pt;}.csE8AC24F0{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs37063928{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC63B7095{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:circle;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Repack cartridges. Ideal for reconditioning your silent, cartridge ready to use.</p><ul start=""1""> <li>Composition<ul> <li>Sound absorbing</li><li>Stainless steel braided</li></ul> </li><li>Ease of use</li><li>Resists up to 850°</li><li>Appropriate for CRD mufflers</li></ul> <p> </p></body> </html>","       Repack cartridges. Ideal for reconditioning your silent, cartridge ready to use. Composition Sound absorbingStainless steel braided Ease of useResists up to 850°Appropriate for CRD mufflers   ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,5594,585,499,101,111,,,,https://api.mybihr.com/medias/1063492-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI4NDV8aW1hZ2UvanBlZ3xhRFF4TDJnNVlTODRPVFUwTWpVeE56QTJNems0THpFd05qTTBPVEl0TVY4NE1EQlhlRGd3TUVnfDUzMjE4YTRmN2IwNWM4ZmUwM2I0N2IyYzRmZGViOGU0OTg0Yzg5NTIxZTJhMmUyNTFhZjQ4MTI4NDQzNTlkZTc,https://static.bihr.pro/eBihr/Pictures/ACOUSTA-FIL-pictures.zip,Spain Warehouse (Parts)
1063493,,700117,ACOUSTA-FIL,ACFIL STEELCLOTH 500MM Ø55/60MM,Fibra de escape acero inoxidable ACOUSTA-FIL 500mm Ø55 / 60mm,20.86,17.24,11.21,700117,2,7019310090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs37063928{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csE8AC24F0{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>Resists up to 850°</li><li>Inner Ø 55 mm</li><li>Outer Ø 60 mm</li></ul> </body> </html>","        Resists up to 850°Inner Ø 55 mmOuter Ø 60 mm  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,3102,352,512,73,83,,,,https://api.mybihr.com/medias/1063493-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI2NzR8aW1hZ2UvanBlZ3xhR00zTDJoak55ODRPVE01T0RjeU5UVXdPVFF5THpFd05qTTBPVE10TVY4NE1EQlhlRGd3TUVnfDkzZjhhOGZkMTZlNGNkZDgyYzQ2MjBmMGI3MTA0MDYzN2EwNmZmNDk3MDAzNDM1NDA1NTQ3NDM1MDY3MGI4OTk,https://static.bihr.pro/eBihr/Pictures/ACOUSTA-FIL-pictures.zip,Spain Warehouse (Parts)
1063495,,700115,ACOUSTA-FIL,ACFIL STEELCLOTH 300MM Ø55/60MM,Fibra de escape de acero inox ACOUSTA-FIL 300mm Ø55 / 60mm,18.56,15.34,9.97,700115,3,8421310090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs37063928{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csE8AC24F0{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>Resists up to 850°</li><li>Inner Ø 55 mm</li><li>Outer Ø 60 mm</li></ul> </body> </html>","        Resists up to 850°Inner Ø 55 mmOuter Ø 60 mm  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,1817,213,322,83,68,,,,https://api.mybihr.com/medias/1063495-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI2NzR8aW1hZ2UvanBlZ3xhREV5TDJoaE1TODRPVFUwTWpVeE9UQXpNREEyTHpFd05qTTBPVFV0TVY4NE1EQlhlRGd3TUVnfDE2ZmY2ZGE5MmE1Mjg4MWVkMGVkNzBkNzRjMTk4ZmYyYjY2MmJlZTQzY2NjNWQzMWIwYzc2ZjFiMWI3ZDg5NTk,https://static.bihr.pro/eBihr/Pictures/ACOUSTA-FIL-pictures.zip,Spain Warehouse (Parts)
1063487,,76036123,ACOUSTA-FIL,"ACFIL HEAT WRAP 50MM X 7,5M","Cinta colectora térmica ACOUSTA-FIL 50mm x 7,5m 550°C negro",32.94,27.22,17.69,76036123,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs2654AE3A{text-align:left;margin:0pt 0pt 0pt 0pt;}.csE8AC24F0{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs37063928{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Exhaut heat wrap for head pipes, protects from burn injury through accidental contact with hot pipework.</p><ul start=""1""> <li>Withstands 550°C direct heat </li><li>Vintage style </li><li>Easy install </li></ul> </body> </html>","       Exhaut heat wrap for head pipes, protects from burn injury through accidental contact with hot pipework. Withstands 550°C direct heat Vintage style Easy install   ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,2560,848,178,197,73,,Negro,,https://api.mybihr.com/medias/1063487-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY2ODZ8aW1hZ2UvanBlZ3xhR0UyTDJnMU1pODRPVE0xTXpZd01qWTJNamN3THpFd05qTTBPRGN0TVY4NE1EQlhlRGd3TUVnfGQ0MzgyYTI2YzZjOTc1MGZmNjc5YjY0ODZjYWU5MmNjNTcwN2I4OTcwMzQzNzIzMTcyYTE4M2Q1M2NhZTI5ZGE,https://static.bihr.pro/eBihr/Pictures/ACOUSTA-FIL-pictures.zip,Spain Warehouse (Parts)
1063489,,76036120,ACOUSTA-FIL,"ACFIL HEAT WRAP 50MM X 7,5M","Cinta colectora térmica ACOUSTA-FIL 50mm x 7,5m 550°C blanca",41.49,34.29,22.29,76036120,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs2654AE3A{text-align:left;margin:0pt 0pt 0pt 0pt;}.csE8AC24F0{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs37063928{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Exhaut heat wrap for head pipes, protects from burn injury through accidental contact with hot pipework.</p><ul start=""1""> <li>Withstands 550°C direct heat </li><li>Vintage style </li><li>Easy install </li></ul> </body> </html>","       Exhaut heat wrap for head pipes, protects from burn injury through accidental contact with hot pipework. Withstands 550°C direct heat Vintage style Easy install   ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,1765,662,154,157,73,,Blanco,,https://api.mybihr.com/medias/1063489-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjczNjZ8aW1hZ2UvanBlZ3xhRGN4TDJnNU15ODRPVFUwTWpVeE5UQTVOemt3THpFd05qTTBPRGt0TVY4NE1EQlhlRGd3TUVnfDk2NDhmODcxYWZhODhiMDlkMTBiODllZTQ2YzcxOWQ2YzJiMDIxZjFlNTY3OWQyNGY3OTQ4NTJmYjRhOWUwNDg,https://static.bihr.pro/eBihr/Pictures/ACOUSTA-FIL-pictures.zip,Spain Warehouse (Parts)
1063470,,700124,ACOUSTA-FIL,ACFIL POWER PACK 450MM Ø42/95MM,Fibra de escape 4 tiempos ACOUSTA-FIL 450mm Ø42 / 95mm,36.18,29.90,19.44,700124,1,7019191090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs2654AE3A{text-align:left;margin:0pt 0pt 0pt 0pt;}.csE8AC24F0{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs37063928{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC63B7095{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:circle;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Repack cartridges. Ideal for reconditioning your silent, cartridge ready to use.</p><ul start=""1""> <li>Composition<ul> <li>Sound absorbing</li><li>Stainless steel braided</li></ul> </li><li>Ease of use</li><li>Resists up to 850°</li></ul> <p> </p></body> </html>","       Repack cartridges. Ideal for reconditioning your silent, cartridge ready to use. Composition Sound absorbingStainless steel braided Ease of useResists up to 850°   ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,7927,617,510,134,116,,,,https://api.mybihr.com/medias/1063470-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI4NDV8aW1hZ2UvanBlZ3xhRFZoTDJoaFlTODRPVE0xTXpVNU9EY3pNRFUwTHpFd05qTTBOekF0TVY4NE1EQlhlRGd3TUVnfGE4ZmIxZTM0NDVjYTFmZmM4YjhmODVmODc3MTM2ZDY0OWMzMWM0M2JkOTk3MTU0NjQ0YWJjYTE2OWIzODkzNmM,https://static.bihr.pro/eBihr/Pictures/ACOUSTA-FIL-pictures.zip,Spain Warehouse (Parts)
