PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),[Guardapolvo] Altura 1 (mm),[Guardapolvo] Diámetro exterior (Ømm),[Guardapolvo] Diámetro interior (Ømm),[Retén] Diámetro exterior (Ømm),[Retén] Diámetro interior (Ømm),Altura (mm),Cantidad,Composición,Construcción,Diámetro exterior (mm),Diámetro interior (mm),Embalaje,Número de pistones,Posición,Tipo de producto,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,Document1,DeliveryPlant
1008919,641122,24-2035,ALL BALLS,ALLBA CRANKSHAFT OIL SEAL KIT,Kit de retenes de cigüeñal ALL BALLS,24.20,20.00,12.00,24-2035,0,8714109090,0,1,<ul>  <li>Todos los retenes All Balls para cigüeñal permiten reparar la estanqueidad de la biela de forma fiable y sin afectar al rendimiento.</li>  <li>Kit de retenes para cigüeñal</li>  <li>Medidas y características idénticas a las del equipo original</li>  <li>Se venden por pares</li></ul>,"  Todos los retenes All Balls para cigüeñal permiten reparar la estanqueidad de la biela de forma fiable y sin afectar al rendimiento.  Kit de retenes para cigüeñal  Medidas y características idénticas a las del equipo original  Se venden por pares",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,160,37,120,111,12,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1008919-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzI2NTR8aW1hZ2UvanBlZ3xhRE01TDJoa05DODRPRFUyTXpjeE9UZzJORFl5THpFd01EZzVNVGt0TVY4NE1EQlhlRGd3TUVnfDFmYjc2OTA4NTc5NjA1ODI5YjAyNmFiZWE4NTI3Yjc4ZTIzNWNlZjJjMGI2OGQ1ZjY3ZTBlMjhjNjJmNzNjNTE,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1008868,34569,24-1062,ALL BALLS,ALLBA CRANKSHAFT BEARING+SEAL KIT,Kit rodamientos y retenes de cigüeñal All Balls 24-1062,86.36,71.37,42.82,34569,1,8714109090,0,1,<p>All Balls crankshaft bearing + seal kits allow you to recondition your crankshaft and improve its reliability and performance. </p><ul><li>Crankshaft bearing + seal kit</li><li>Includes all of the bearings and seals needed for the procedure</li><li>Bearings treated to minimise friction</li><li>Product developed during competition riding in the USA</li><li>Dimensions are identical to the original set-up<br></li></ul>,"
All Balls crankshaft bearing + seal kits allow you to recondition your crankshaft and improve its reliability and performance. Crankshaft bearing + seal kitIncludes all of the bearings and seals needed for the procedureBearings treated to minimise frictionProduct developed during competition riding in the USADimensions are identical to the original set-up",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,464,392,115,109,37,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1008868-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTY1NDV8aW1hZ2UvanBlZ3xhRE0yTDJoak55ODRPVFk0T0RNM09EVTNNekV3THpFd01EZzROamd0TVY4NE1EQlhlRGd3TUVnfDgxMjZjODA2NzMzMmU4NmU4YmU3ZGFjZDExODRmNzk1NDNlZGI3YmI0YTk1ZWU1ZGNkZmE5OTM4YzQyODc0ZjQ,https://api.mybihr.com/medias/1008868-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTA2MjMxfGltYWdlL2pwZWd8YUdKaUwyZzNPQzg0T1RZNE9ETTRNRFV6T1RFNEx6RXdNRGc0TmpndE1sODRNREJYZURnd01FZ3xhOWI0YjY1NmEwY2I2NWViNmNhZmRmZDJhMjcyMzI4ZmVjOGUwYzdjZDkwOWEzNDdjYjhjOGEyOTAwOWRjMGE5,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1008896,641125,24-2006,ALL BALLS,ALLBA CRANKSHAFT OIL SEAL KIT,Kit retenes de cigüeñal All Balls Gas Gas EC250/EC300,34.63,28.62,17.17,641125,5,8714109090,0,1,<ul>  <li>Todos los retenes All Balls para cigüeñal permiten reparar la estanqueidad de la biela de forma fiable y sin afectar al rendimiento.</li>  <li>Kit de retenes para cigüeñal</li>  <li>Medidas y características idénticas a las del equipo original</li>  <li>Se venden por pares</li></ul>,"  Todos los retenes All Balls para cigüeñal permiten reparar la estanqueidad de la biela de forma fiable y sin afectar al rendimiento.  Kit de retenes para cigüeñal  Medidas y características idénticas a las del equipo original  Se venden por pares",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,288,49,118,111,22,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1008896-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDM0ODJ8aW1hZ2UvanBlZ3xhR1JrTDJnM09DODRPVEkwTURrM016Z3dNemd5THpFd01EZzRPVFl0TVY4NE1EQlhlRGd3TUVnfGJlNmYwNTNkMjQxZWQwNmZiNzc1ZTEwYjkwNjA1M2VmMmQzMTEzMTZmNmUwNjRiMjc3M2U1ZTBiMTI5ZTA4ZWI,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1008916,641120,24-2030,ALL BALLS,ALLBA CRANKSHAFT OIL SEAL KIT,Kit de retenes de cigüeñal ALL BALLS,36.98,30.56,18.34,24-2030,0,8714109090,0,1,<ul>  <li>Todos los retenes All Balls para cigüeñal permiten reparar la estanqueidad de la biela de forma fiable y sin afectar al rendimiento.</li>  <li>Kit de retenes para cigüeñal</li>  <li>Medidas y características idénticas a las del equipo original</li>  <li>Se venden por pares</li></ul>,"  Todos los retenes All Balls para cigüeñal permiten reparar la estanqueidad de la biela de forma fiable y sin afectar al rendimiento.  Kit de retenes para cigüeñal  Medidas y características idénticas a las del equipo original  Se venden por pares",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,155,52,116,111,12,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1008916-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzQ1MTR8aW1hZ2UvanBlZ3xhRGN5TDJobU55ODRPVFE1TVRBME9UTTBPVFF5THpFd01EZzVNVFl0TVY4NE1EQlhlRGd3TUVnfDM5OTk4ZDUxNDczMjBhYzg0OTRhYzIxZmQ1NTM1ZGQ0NTY2OTE5N2JiYjVkNWJiOGNlZWU4M2RkMmRjYjQwNDQ,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1009025,34516,24-1002,ALL BALLS,ALLBA CRANKSHAFT BEARING+SEAL KIT,Kit rodamientos y retenes de cigüeñal All Balls 24-1002,84.29,69.66,41.80,34516,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,623,394,122,116,44,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1009025-1-800Wx800H?context=bWFzdGVyfHJvb3R8Nzc2NDJ8aW1hZ2UvanBlZ3xhRFV5TDJnMk5DOHhOVFF5TURZMk9EY3pPVFl4TkM4eE1EQTVNREkxTFRGZk9EQXdWM2c0TURCSXxiOWZlOTNkZmU5YzVjOTVlNDljY2QyOTQzZTIzNTFjMjFkMmM2NTQ4NDFjNWFlMTg2YTE2ZDVkNTkxMjlmNDJl,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1008969,93782,24-1022,ALL BALLS,ALLBA CRANKSHAFT BEARING+SEAL KIT,Kit rodamientos y retenes de cigüeñal All Balls 24-1022,58.66,48.48,29.09,723980411665,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,665,264,123,102,53,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1008969-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjEwMjY2fGltYWdlL2pwZWd8YURsakwyZzJPUzh4TlRReU1EWTROell4TXprNE1pOHhNREE0T1RZNUxURmZPREF3VjNnNE1EQkl8NWI4ZGZlYzUzN2E3MDA4MzIxMzQ5Y2ZkYzA2YzE2Y2NjZWZlZTRkMDM5MDE2MjVmMDA5MjQ4ZjY5ZmNkODE0Mg,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1008972,34542,24-1030,ALL BALLS,ALLBA CRANKSHAFT BEARING+SEAL KIT,Kit rodamientos y retenes de cigüeñal All Balls 24-1030,91.37,75.51,45.31,34542,8,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,969,670,120,117,69,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1008972-1-800Wx800H?context=bWFzdGVyfHJvb3R8Nzc2NDJ8aW1hZ2UvanBlZ3xhREJoTDJneE5pOHhOVFF5TURZMk1qYzNOVGd6T0M4eE1EQTRPVGN5TFRGZk9EQXdWM2c0TURCSXwzZTQ0ZjU3YzM3YmM5ZTRmYzU4Yjg1NzIwMWUwY2VmNTUwZDQwNDE3NjhjNmQyYzgyYmYyNGVkZmE3YmMzOTRi,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1009005,34104,57-143,ALL BALLS,ALLBA SEAL FORK DUST SET,"Kit de guardapolvos de horquilla ALL BALLS - 57,8x41x14,5 mm",22.32,18.45,11.07,723980421206,28,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,553,66,103,122,44,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1009005-1.jpg?context=bWFzdGVyfHJvb3R8Mzc0MzV8aW1hZ2UvanBlZ3xhREV4TDJoa09DOHhNREl6TkRnM05UTXdNVEEzTVRndk9EQXdWM2c0TURCSVh6RXdNRGt3TURVdE1TNXFjR2N8ZmQ0MjBjN2QzM2E3OTEyZGVjM2Y4OTcyMjdkMDg5ODFkNmU5OWYxYzA0NDk1ZDkwOGJjNDcwMzJmMDk3NzE3Ng,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1009017,94182,57-158,ALL BALLS,ALLBA SEAL FORK DUST SET,"Kit de guardapolvos de horquilla ALL BALLS - 53,6x37x13,7 mm",22.32,18.45,11.07,723980426447,5,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,397,58,104,123,31,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1009017-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTE4NTV8aW1hZ2UvanBlZ3xhRGhpTDJoaFl5OHhOVFF5TURZMU1UWXpORGN4T0M4eE1EQTVNREUzTFRGZk9EQXdWM2c0TURCSXxhZWZlM2RiMTNjYjE1NmEwYmI1MDQ4YzI0NjgxYTY5ZWRkMjk4MjdjMmRhM2Y3MDgyMWYyZWNjODMxMjBjMDZj,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1009009,94181,57-149,ALL BALLS,ALLBA SEAL FORK DUST SET,"Kit de guardapolvos de horquilla ALL BALLS - 58,8x42x12,6 mm",38.61,31.91,19.15,723980421237,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,671,62,103,123,53,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1009009-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ2OTAwfGltYWdlL2pwZWd8YURJNUwyZzNaQzh4TlRReU1EWTJOak14TkRjNE1pOHhNREE1TURBNUxURmZPREF3VjNnNE1EQkl8YzUzOGI1YzAxYTY4NjExNGVjYjUyZjUxNDhkZDk3NWNlOTMyMjY2NGY2ZmY3MzgzYzlhZjUwOTFhYWJiMWFmZg,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
