PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Acabado,V-Cantidad de dientes,V-Color,V-Colores,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Acabado de la tapa del silenciador,Acabado del silenciador de escape,Acabado del tubo,Altura (cm),Altura (mm),Altura del neumático (perfil),Anchura (cm),Anchura (mm),Anchura del neumático,Capacidad (ml/l),Capacidad de portaequipajes (L),Capacidad del casco,Carga máxima (kg),Categoría de neumático,Clasificación de capas,Color,Color del cristal,Composición,Diámetro de la llanta,Embalaje,Especificaciones,Estructura de neumático,Familia de neumáticos,Homologación,Índice de carga del neumático (IC),Índice de velocidad (CV),Longitud (cm),Modelo,Número de dientes de la corona,Paso de cadena,Peso (kg),Posición,Sin cámara o tipo de cámara,Tipo,Tipo de corona,Tipo de luz,Versión de corona,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,AllPicturesZIP,Document1,DeliveryPlant
1008244,43085,ASOT-16-BK,ART,ART SPAREPARTS CARBURETOR SCREW BLACK,Tornillo de carburación negro,10.89,9.00,5.40,8430525430853,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,,,,,189,18,94,134,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1008244-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjk2OTN8aW1hZ2UvanBlZ3xhRFU0TDJoaE9DOHhOVFF5TURVM01ERXdOemt6TkM4eE1EQTRNalEwTFRGZk9EQXdWM2c0TURCSXw4ZjAzMDg0OTRjNGIzYTU0NmNiOTliMmMwNzllZmYwZmNjMzNjMTYyYWI3MzMyMmU5OGU3OGMyYmI4Nzk2NGVj,,,,,,,,https://static.bihr.pro/eBihr/Pictures/ART-pictures.zip,,Spain Warehouse (Parts)
1038693,446948,FORKSAVER130,ART,ART FORK GUARD NEOPRENE 130MM,Fundas de neopreno para horquilla ART longitud 130mm,15.73,13.00,7.80,3661738023340,43,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>Neoprene sleeves to protect the fork tubes from mud and stone impacts. Prolongs the service life of the fork joints. Diameter 45/50mm and length 130mm. Also available in lenght of 360mm.</p></body> </html>","       Neoprene sleeves to protect the fork tubes from mud and stone impacts. Prolongs the service life of the fork joints. Diameter 45/50mm and length 130mm. Also available in lenght of 360mm. ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,,,,,1006,42,156,129,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1038693-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDAzMzZ8aW1hZ2UvanBlZ3xhRFZqTDJnME5pODRPVFk1TnpVME1qUTNNVGs0THpFd016ZzJPVE10TVY4NE1EQlhlRGd3TUVnfDk4ZDZhMjM3NGRlZDYyYjg3MmM4Yzc1ODJiNzgxMTAxMmIwODg4YTE5N2YwZmY0ZGQ4NjhkYjM2NGQ3MTEwNWI,,,,,,,,https://static.bihr.pro/eBihr/Pictures/ART-pictures.zip,,Spain Warehouse (Parts)
1047947,,PAXL-8015,ART,ART COMPLETE REAR SHAFT,Palier de transmisión trasero ART - Yamaha Wolverine 700,148.59,122.80,73.68,43100023,0,8708509990,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>ART shafts perfectly suits OEM standards and do not require any special mounting modification.</p></body> </html>","       ART shafts perfectly suits OEM standards and do not require any special mounting modification. ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,11856,6072,765,126,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trasero,,,,,,https://api.mybihr.com/medias/1047947-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzU4ODd8aW1hZ2UvanBlZ3xhRGczTDJnME5DODRPVGN4TURRMU56azNPVEU0THpFd05EYzVORGN0TVY4NE1EQlhlRGd3TUVnfGUzMzJmMThjY2YyZGZlYzlhYTkzOTdjZTdkOTIwMjJiOWU2YzU1MThlYmJlMmVkZTNhNDhiZDUyYmNiYjY3OTc,,,,,,,,https://static.bihr.pro/eBihr/Pictures/ART-pictures.zip,,Spain Warehouse (Parts)
1047950,,PAXL-8017,ART,ART COMPLETE REAR SHAFT,Palier de transmisión trasero ART - Yamaha YFM700 Grizzly,222.16,183.60,110.16,3661738009580,0,8708505590,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>ART shafts perfectly suits OEM standards and do not require any special mounting modification.</p></body> </html>","       ART shafts perfectly suits OEM standards and do not require any special mounting modification. ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,5965,4081,635,101,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trasero,,,,,,https://api.mybihr.com/medias/1047950-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzU4ODd8aW1hZ2UvanBlZ3xhRGd4TDJneE55ODRPVGN4TURRMk16ZzNOelF5THpFd05EYzVOVEF0TVY4NE1EQlhlRGd3TUVnfDNiZjQzMzA0NDVhOTdiMzhkODMyMDU5OWM3YTFiMjI2ZjRhNjQwYzA5NDc4NzVjM2IzOTgxNDZjZTllMDFmMzY,,,,,,,,https://static.bihr.pro/eBihr/Pictures/ART-pictures.zip,,Spain Warehouse (Parts)
1047953,,PAXL-14003,ART,ART COMPLETE REAR SHAFT LEFT,Palier de transmisión trasero izquierdo ART - CFMOTO CF 500 Rancher,254.10,210.00,126.00,PD-PAXL-14003,0,8708509990,0,1,ART shafts perfectly suits OEM standards and do not require any special mounting modification.,ART shafts perfectly suits OEM standards and do not require any special mounting modification.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,15131,4426,705,147,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trasero izquierdo,,,,,,https://api.mybihr.com/medias/1047953-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzU4NjN8aW1hZ2UvanBlZ3xhR1JtTDJneVlpODRPVGN4TURRMk9UYzNOVFkyTHpFd05EYzVOVE10TVY4NE1EQlhlRGd3TUVnfDM3MWZjOTQ4ZGQyYWEzNjVhYTA5OGJkMTcyNGU2ZWM3ZWZlZDRlZTY4NDU5YTU2Y2JmN2RlMTBkYzUxZDRiNjY,,,,,,,,https://static.bihr.pro/eBihr/Pictures/ART-pictures.zip,,Spain Warehouse (Parts)
1047955,,PAXL-21006,ART,ART COMPLETE REAR SHAFT LEFT,Palier de transmisión trasero izquierdo ART - Kymco,276.24,228.30,136.98,PD-PAXL-21006,0,8708509990,0,1,ART shafts perfectly suits OEM standards and do not require any special mounting modification.,ART shafts perfectly suits OEM standards and do not require any special mounting modification.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,13979,4668,803,136,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trasero izquierdo,,,,,,https://api.mybihr.com/medias/1047955-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzU4NjN8aW1hZ2UvanBlZ3xhREppTDJnNE1TODRPVGN4TURRM016Y3dOemd5THpFd05EYzVOVFV0TVY4NE1EQlhlRGd3TUVnfDlkZDYxMjFlZTM5OGJkMTE2ZjE5ZTU1ZWQ5ODk5YmRjNDRiY2UxYzY1YzhmMGMyZTM1YTg4MGU0MmFjYWNiMmI,,,,,,,,https://static.bihr.pro/eBihr/Pictures/ART-pictures.zip,,Spain Warehouse (Parts)
1047911,,PAXL-1091,ART,ART COMPLETE FRONT SHAFT RIGHT,Palier de transmisión delantero derecho ART - Yamaha YFM 660F Grizzly,200.26,165.50,99.30,PD-PAXL-1091,2,8708509990,0,1,ART shafts perfectly suits OEM standards and do not require any special mounting modification.,ART shafts perfectly suits OEM standards and do not require any special mounting modification.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,11871,3964,766,126,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1047911-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzU4NjN8aW1hZ2UvanBlZ3xhRFptTDJneFlpODRPVGN4TURNNE16a3lNelV3THpFd05EYzVNVEV0TVY4NE1EQlhlRGd3TUVnfDQ0ZDNhMTY0MzM5ZGFlYTgxMjVjZmUyZjFmMDlhNTBlM2UxZTA5ZDc1MjYyNzc4NmYyNTY5N2M5MTJkZjFiNDU,,,,,,,,https://static.bihr.pro/eBihr/Pictures/ART-pictures.zip,,Spain Warehouse (Parts)
1049588,,CSS-2060-755,ART,ART STEERING STEM,Barra dirección ART 755 mm Suzuki LT-Z400 Quadsport,170.40,140.83,84.50,CSS-2060-755,0,8714109090,0,1,<ul> <li>Adapted to 100 mm clamps part # MS6011 (ø22.2 mm handlebar) or MS6012 (ø28.6 mm handlebar)</li> <li>Clamp not included </li></ul>," Adapted to 100 mm clamps part # MS6011 (ø22.2 mm handlebar) or MS6012 (ø28.6 mm handlebar) Clamp not included ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,12320,2350,800,140,110,,,,,,,,,,,,,,,,,,Acero,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1049588-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY4MDB8aW1hZ2UvanBlZ3xhRFExTDJnd01TODRPVGN4TWpJNU1UQXlNVEV3THpFd05EazFPRGd0TVY4NE1EQlhlRGd3TUVnfGRlODgyYjlhMTliMTI4MTdiNmQ5Yjg5OWEzMWQwMDYxZmIwZmIxMGE4YmQ2ZGZlMTIxODY3NzIwYmJiMGJlNjM,,,,,,,,https://static.bihr.pro/eBihr/Pictures/ART-pictures.zip,,Spain Warehouse (Parts)
1049592,,AXL-2060-1020,ART,ART WHEEL AXLE,Eje ART + 2'' ATV,341.83,282.50,169.50,AXL-2060,0,8708509990,0,1,"<p>ART wheel axles are forged with Japanes quality steel and finished with the finest chrome plating.</p> <ul> <li>2"" wider</li> <li>Delivered with a spacers set (21 x 21 mm) and axle end nuts </li> <li>Axle only, re-use of OEM parts </li></ul>","
ART wheel axles are forged with Japanes quality steel and finished with the finest chrome plating.  2"" wider Delivered with a spacers set (21 x 21 mm) and axle end nuts  Axle only, re-use of OEM parts ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,8208,7050,1080,95,80,,,,,,,,,,,,,,,,,,Acero,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1049592-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQwMjl8aW1hZ2UvanBlZ3xhRE00TDJobFl5ODRPVGN4TWpNd01EZzFNVFV3THpFd05EazFPVEl0TVY4NE1EQlhlRGd3TUVnfGI0NmE2YzZlOTY0Y2E0NWU4MWVmMDcyYjVhYjI5OTE0YTJlY2NmYTBmYzM2YjM0MjRjNDEyOTlhYzZhNTYyOTg,https://api.mybihr.com/medias/1049592-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTIwNDJ8aW1hZ2UvanBlZ3xhRFk0TDJobE5TODRPVGN4TWpNd01qZ3hOelU0THpFd05EazFPVEl0TWw4NE1EQlhlRGd3TUVnfDRjMjk1MTI2YTBkNDhmMzNjYThiYmNhNTQ0N2ZjNjNkY2MwMzUzZjBmMmY4NjAzNWRmYmVlOGRmNTNlOTlkZTI,,,,,,,https://static.bihr.pro/eBihr/Pictures/ART-pictures.zip,,Spain Warehouse (Parts)
1049594,,AXL-1920-1020,ART,ART WHEEL AXLE,Eje ART  +2'' Yamaha YFM250R Raptor,341.83,282.50,169.50,AXL-1920-1020,0,8708509990,0,1,"<p>ART wheel axles are forged with Japanes quality steel and finished with the finest chrome plating.</p> <ul> <li>2"" wider</li> <li>Delivered with a spacers set (21 x 21 mm) and axle end nuts</li> <li>Axle only, re-use of OEM parts </li></ul>","
ART wheel axles are forged with Japanes quality steel and finished with the finest chrome plating.  2"" wider Delivered with a spacers set (21 x 21 mm) and axle end nuts Axle only, re-use of OEM parts ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,,,,8025,6600,1070,100,75,,,,,,,,,,,,,,,,,,Acero,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1049594-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQwMjl8aW1hZ2UvanBlZ3xhREJoTDJoa01TODRPVGN4TWpNd09EY3hOVGd5THpFd05EazFPVFF0TVY4NE1EQlhlRGd3TUVnfGIyMGZlNzI1YjVhYWE5ZDg5MDUxNTgxOTU2MDRlOTQ2NzM3YTNhMzNjNTg1OTgwN2M1OWVlOTAwMmE5NmNmZDA,https://api.mybihr.com/medias/1049594-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTIwNDJ8aW1hZ2UvanBlZ3xhR0V4TDJnNE1pODRPVGN4TWpNeE1EWTRNVGt3THpFd05EazFPVFF0TWw4NE1EQlhlRGd3TUVnfDk5MjViZjI1OGNhZWUzYmZiMDY1MmMxN2I3NDgzMmU2ODNkZTkwNTQzYzY0MTc4Zjk0MTQ1NTFkMDFiNTkzOWQ,,,,,,,https://static.bihr.pro/eBihr/Pictures/ART-pictures.zip,,Spain Warehouse (Parts)
