PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Diámetro de pistón,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura (mm),Capacidad (ml/l),Composición,Compresión de pistón,Diámetro Ø (mm),Embalaje,Grosor comprimido,Nº de rodillos,Nº de segmentos,Peso (g),Relación de compresión,Sobremedida,Tipo de motor,Tipo de pistón,Tolerancia,Versión de filtro,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,Document1,Document2,DeliveryPlant
1013647,,P400105160001,ATHENA,ATHEN GASKET CYLINDER SET,Kit de juntas de parte alta ATHENA,15.32,12.66,7.60,8056684268313,0,8409910090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>ATHENA is renowned worldwide for its cylinder kits for 2-stroke and 4-stroke engines. These high-technology products can optimise the performance of your machine, without sacrificing the reliability of the piston/cylinder assembly.<a id=""_dx_frag_EndFragment""></a></p></body> </html>","       ATHENA is renowned worldwide for its cylinder kits for 2-stroke and 4-stroke engines. These high-technology products can optimise the performance of your machine, without sacrificing the reliability of the piston/cylinder assembly. ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,166,38,97,114,15,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1013647-1.jpg?context=bWFzdGVyfHJvb3R8NTU1NDY4fGltYWdlL2pwZWd8YUdWbUwyZ3pOeTgyTnpNeU1EZ3dNakl4TXpreE9DODRNREJYZURnd01FaGZNVEF4TXpZME55MHhMbXB3Wnd8MTNhZDUzNDVjYTkxNTU1OTUxZjU4ZDA5NjE4YzQ1OTAzN2U4ZDQ3Y2YwZDVlZDU2ZTk3NmIxZWVjODliZDM4OQ,,,,,,https://static.bihr.pro/eBihr/Pictures/ATHENA-pictures.zip,,,Spain Warehouse (Parts)
1014047,,P400510600603,ATHENA,ATHEN GASKET CYLINDER SET,Kit de juntas de parte alta ATHENA,227.58,188.08,112.85,8051764548323,0,8484900090,0,1,<p>Athena gaskets are a good choice for your engine and are a top quality guarantee.</p> <ul> <li>Top engine gasket set</li> <li>Contains all the gaskets to renew top engine</li></ul>,"
Athena gaskets are a good choice for your engine and are a top quality guarantee.  Top engine gasket set Contains all the gaskets to renew top engine",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,2184,262,426,233,22,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1014047-1.jpg?context=bWFzdGVyfHJvb3R8NDMyMjQzfGltYWdlL2pwZWd8YUROaEwyZzBaQzgyTnpNeU1EazRPVEE0T1RneU1pODRNREJYZURnd01FaGZNVEF4TkRBME55MHhMbXB3Wnd8MDMzNDU0N2NjMjE5M2JiZTgwNWVlNTM3N2YyODg4YTIwOWMxMGM2NWM2NGM1NDg2OTMwNGRhOGEzN2U1YjBlMw,,,,,,https://static.bihr.pro/eBihr/Pictures/ATHENA-pictures.zip,,,Spain Warehouse (Parts)
1014124,,S410210015093,ATHENA,ATHEN GASKET CYLINDER HEAD COVER,Junta de tapa de balancines ATHENA,63.54,52.51,31.51,S410210015093,2,8484900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>ATHENA : high performance gaskets to improve engine efficiency with no compromise on reliability</li><li>For a top quality renewing</li><li>Gasket to be changed on every reconditioning </li><li>Delivered without screw gasket</li></ul> </body> </html>","        ATHENA : high performance gaskets to improve engine efficiency with no compromise on reliabilityFor a top quality renewingGasket to be changed on every reconditioning Delivered without screw gasket  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,1839,64,421,182,24,,,,,,por unidad,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1014124-1.jpg?context=bWFzdGVyfHJvb3R8MTQxMDI1fGltYWdlL2pwZWd8YUdKbUwyZ3pOaTgyTnpNeU1UQTJORGswTnpjME1pODRNREJYZURnd01FaGZNVEF4TkRFeU5DMHhMbXB3Wnd8NzcwYjkwNGJhOGZiMThhZTU1YmYzMTAzZmQyZWVlZjk0MzZlZGFiNTRhYjRkYmJjNDlhMTczOTRiMzA2M2MxZQ,,,,,,https://static.bihr.pro/eBihr/Pictures/ATHENA-pictures.zip,,,Spain Warehouse (Parts)
1014125,,S410210015098,ATHENA,ATHEN GASKET CYLINDER HEAD COVER,Junta de tapa de balancines ATHENA,50.57,41.79,25.07,S410210015098,0,8484900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>ATHENA : high performance gaskets to improve engine efficiency with no compromise on reliability</li><li>For a top quality renewing</li><li>Gasket to be changed on every reconditioning </li><li>Delivered without screw gasket</li></ul> </body> </html>","        ATHENA : high performance gaskets to improve engine efficiency with no compromise on reliabilityFor a top quality renewingGasket to be changed on every reconditioning Delivered without screw gasket  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,1831,55,393,274,17,,,,,,por unidad,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1014125-1.jpg?context=bWFzdGVyfHJvb3R8MTQwNzI0fGltYWdlL2pwZWd8YUROaUwyZzROUzgyTnpNeU1UQTJOVEUwTkRNMU1DODRNREJYZURnd01FaGZNVEF4TkRFeU5TMHhMbXB3Wnd8ODNhMGUwZTRlOTc4ZTk1Nzg2NDI0YzhjOWFjYWZhNzQ4OWFiYzU2NTY0MGUwNDM4ZWQ3MDg5ODZhN2Q0NmYwYQ,,,,,,https://static.bihr.pro/eBihr/Pictures/ATHENA-pictures.zip,,,Spain Warehouse (Parts)
1014168,,S410485015016,ATHENA,ATHEN GASKET CYLINDER HEAD COVER,Junta de tapa de balancines ATHENA,24.64,20.36,12.22,S410485015016,0,8484900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>ATHENA : high performance gaskets to improve engine efficiency with no compromise on reliability</li><li>For a top quality renewing</li><li>Gasket to be changed on every reconditioning </li><li>Delivered without screw gasket</li></ul> </body> </html>","        ATHENA : high performance gaskets to improve engine efficiency with no compromise on reliabilityFor a top quality renewingGasket to be changed on every reconditioning Delivered without screw gasket  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,474,21,465,340,3,,,,,,por unidad,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1014168-1.jpg?context=bWFzdGVyfHJvb3R8MjQwMjkzfGltYWdlL2pwZWd8YURnMEwyZ3pZUzgyTnpNeU1UQTNNVGd5T1RBeU1pODRNREJYZURnd01FaGZNVEF4TkRFMk9DMHhMbXB3Wnd8Y2QzZDc4ZGRhZTg1MTExZDQ1ZGVhZGM2NDEwM2UwNmNlZmNlNTRiMTkwZTZjY2I3MDQ4Zjc5OGE2MmVmZjlmNQ,,,,,,https://static.bihr.pro/eBihr/Pictures/ATHENA-pictures.zip,,,Spain Warehouse (Parts)
1014207,,073703/1,ATHENA,ATHEN GASKET ENGINE SET,Kit de juntas de parte alta ATHENA,17.81,14.72,8.83,073703/1,0,8409910090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>ATHENA is renowned worldwide for its cylinder kits for 2-stroke and 4-stroke engines. These high-technology products can optimise the performance of your machine, without sacrificing the reliability of the piston/cylinder assembly.<a id=""_dx_frag_EndFragment""></a></p></body> </html>","       ATHENA is renowned worldwide for its cylinder kits for 2-stroke and 4-stroke engines. These high-technology products can optimise the performance of your machine, without sacrificing the reliability of the piston/cylinder assembly. ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,233,50,150,155,10,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1014207-1.jpg?context=bWFzdGVyfHJvb3R8NDMyNzcyfGltYWdlL2pwZWd8YURRMUwyZ3paQzgyTnpNeU1UQTNOemMyTURBek1DODRNREJYZURnd01FaGZNVEF4TkRJd055MHhMbXB3Wnd8NTFhOGZkNWM1OTNmNzRjNmJlNTE0MTU5ZDIyOGEwNzlkNjY5NWJjYmNlYTg0YmMxN2M4YzEzZDY1ZjExZjI4ZQ,,,,,,https://static.bihr.pro/eBihr/Pictures/ATHENA-pictures.zip,,,Spain Warehouse (Parts)
1014206,,072703/1,ATHENA,ATHEN GASKET ENGINE SET,Kit de juntas de parte alta ATHENA,10.21,8.44,5.06,8050043267313,1,8409910090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>ATHENA is renowned worldwide for its cylinder kits for 2-stroke and 4-stroke engines. These high-technology products can optimise the performance of your machine, without sacrificing the reliability of the piston/cylinder assembly.<a id=""_dx_frag_EndFragment""></a></p></body> </html>","       ATHENA is renowned worldwide for its cylinder kits for 2-stroke and 4-stroke engines. These high-technology products can optimise the performance of your machine, without sacrificing the reliability of the piston/cylinder assembly. ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,233,50,150,155,10,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1014206-1.jpg?context=bWFzdGVyfHJvb3R8NDI3Nzc3fGltYWdlL2pwZWd8YURjMEwyZ3pOaTgyTnpNeU1UQTNOelUyTXpReU1pODRNREJYZURnd01FaGZNVEF4TkRJd05pMHhMbXB3Wnd8NjU2N2Q0ODFkNDNhNDBiZWE5OGVlOWI0OTNkODU4YWQyMDY3MjQxNzM4M2Q4NDk4M2ZlNmNlMDBjM2U0Y2ExZA,,,,,,https://static.bihr.pro/eBihr/Pictures/ATHENA-pictures.zip,,,Spain Warehouse (Parts)
1013693,,P400210600081,ATHENA,ATHEN GASKET CYLINDER SET,Kit de juntas de parte alta ATHENA,14.10,11.65,6.99,8052204296163,0,8484900090,0,1,<p>Athena gaskets are a good choice for your engine and are a top quality guarantee.</p> <ul> <li>Top engine gasket set</li> <li>Contains all the gaskets to renew top engine</li></ul>,"
Athena gaskets are a good choice for your engine and are a top quality guarantee.  Top engine gasket set Contains all the gaskets to renew top engine",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,200,41,149,149,9,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1013693-1.jpg?context=bWFzdGVyfHJvb3R8NDM0OTEzfGltYWdlL2pwZWd8YURKa0wyZzBOaTgyTnpNeU1EZ3dPRE13T0RjMk5pODRNREJYZURnd01FaGZNVEF4TXpZNU15MHhMbXB3Wnd8YzFjMmU3MGZhY2U5MTMwNjk1YjgyMTRjODk5YWQwMjE1Y2FkOWNkZDlmNWE3MmIxY2Y0ZTRlODcyOTc1N2JlNw,,,,,,https://static.bihr.pro/eBihr/Pictures/ATHENA-pictures.zip,,,Spain Warehouse (Parts)
1013737,,P400210600502,ATHENA,ATHEN GASKET CYLINDER SET,Kit de juntas de parte alta ATHENA,90.36,74.68,44.81,8051764542833,0,8484900090,0,1,<p>Athena gaskets are a good choice for your engine and are a top quality guarantee.</p> <ul> <li>Top engine gasket set</li> <li>Contains all the gaskets to renew top engine</li></ul>,"
Athena gaskets are a good choice for your engine and are a top quality guarantee.  Top engine gasket set Contains all the gaskets to renew top engine",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,2189,242,427,233,22,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1013737-1.jpg?context=bWFzdGVyfHJvb3R8MzcxMDI0fGltYWdlL2pwZWd8YURobUwyaGxPUzgyTnpNeU1EZ3hNemcwTmpVMU9DODRNREJYZURnd01FaGZNVEF4TXpjek55MHhMbXB3Wnd8ZWRlMDkwM2RmZGQxOTQ5ZGQzZGU5YzA3MTBmMjQ1ZjhjZGNhMzEyMzg0YTYyYjY5Nzg4NDdlYTI1Mjk3MGZmOA,,,,,,https://static.bihr.pro/eBihr/Pictures/ATHENA-pictures.zip,,,Spain Warehouse (Parts)
1014219,,P400210160007,ATHENA,ATHEN GASKET ENGINE SET,Kit de juntas de parte alta ATHENA,82.63,68.29,40.97,8050444897379,0,8409910090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>ATHENA is renowned worldwide for its cylinder kits for 2-stroke and 4-stroke engines. These high-technology products can optimise the performance of your machine, without sacrificing the reliability of the piston/cylinder assembly.<a id=""_dx_frag_EndFragment""></a></p></body> </html>","       ATHENA is renowned worldwide for its cylinder kits for 2-stroke and 4-stroke engines. These high-technology products can optimise the performance of your machine, without sacrificing the reliability of the piston/cylinder assembly. ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,203,61,150,150,9,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1014219-1.jpg?context=bWFzdGVyfHJvb3R8MzM1MjEyfGltYWdlL2pwZWd8YUdKa0wyaGxPQzgyTnpNeU1UQTNPVGt5TWpjeE9DODRNREJYZURnd01FaGZNVEF4TkRJeE9TMHhMbXB3Wnd8YmNmMWY4YjBlNzkyMjE2MjIwMmQwZjEzNGZjZjY0ZWE0MjRhMjViNjE0NWEzNDBhNTZkNDFmYjE4NmFmYjI1Yw,,,,,,https://static.bihr.pro/eBihr/Pictures/ATHENA-pictures.zip,,,Spain Warehouse (Parts)
