PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,V-Colores,V-Posición,V-Tamaño,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),[Retén] Diámetro exterior (Ømm),[Retén] Diámetro interior (Ømm),Altura (cm),Altura (mm),Anchura (cm),Anchura (mm),Apertura (mm),Barra transversal,Bloqueo,Cantidad,Capacidad (Ah),Capacidad (ml/l),Capacidad de portaequipajes (L),Carga máxima (kg),Casquillo,Categoría ECE,Color,Color de la carcasa,Color del cristal,Componente de fijación,Composición,Compuesto del puño,Conexión eléctrica,Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro interior del manillar (mm),Diámetro Ø (mm),Elevación de manillar (mm),Embalaje,Eslabones de cadena,Espesor (mm),Fijación,Forma,Función de la luz,Gama,Homologación,Incluye intermitente,Longitud (cm),Longitud (mm),Montaje,Montaje de espejo retrovisor,Número de canal,Número de pines,Número de puntos,Peso (kg),Plegable,Posición,Rango de uso,Resistencia,Rosca (mm),Rosca de espejo,Rosca inferior,"Rosca superior ",Sentido de rosca,Tamaño de accionamiento cuadrado,Terminales,Tipo,Tipo de luz,Tipo de producto,Tipo de puño,Tipo de retrovisor,Tipo de soporte,Voltaje,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,AllPicturesZIP,Document1,Document2,Document3,Document4,DeliveryPlant
8006049,980706S,ATOMIC150S,BIHR,BIHR T-SHIRT BLACK 2019 S,Camiseta BIHR 2019 Negra - Talla S,10.30,8.51,8.51,8430525191198,3,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>150G - CHEST LOGO</li></ul> </body> </html>","        150G - CHEST LOGO  ",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,,,,2924,101,376,243,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/8006049-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODUxMjF8aW1hZ2UvanBlZ3xhRGMxTDJnMlpTODVOak0wTVRJME5EWTBNVFU0THpnd01EWXdORGt0TVY4NE1EQlhlRGd3TUVnfDYwYTdmODVmMjExODVjZWQzZjFjOWUzNDgyZTM4ZjgyMjMxOGZjMzM2OGY4M2I5MmNiNmQ3MWI0ZjAzNGU0YjM,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
8006058,980706M,ATOMIC150M,BIHR,BIHR T-SHIRT BLACK 2019 M,Camiseta BIHR 2019 Negra - Talla M,10.30,8.51,8.51,8430525191204,13,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>150G - CHEST LOGO</li></ul> </body> </html>","        150G - CHEST LOGO  ",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,,,,1959,110,177,246,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/8006058-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODUxMjF8aW1hZ2UvanBlZ3xhR001TDJoaVl5ODVOak0wTVRJNE56ZzVOVE0wTHpnd01EWXdOVGd0TVY4NE1EQlhlRGd3TUVnfDFlZjQ4OTUwMGRmMWZkYjg3ODRhNjA3NGJhYWE4NGVmYmEyNThlOTgyMjUwMThlYzFkMWU1ZTEwYzQ4MzUwOTk,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
8006065,980706XL,ATOMIC150XL,BIHR,BIHR T-SHIRT BLACK 2019 XL,Camiseta BIHR 2019 Negra - Talla XL,10.30,8.51,8.51,8430525191235,7,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>150G - CHEST LOGO</li></ul> </body> </html>","        150G - CHEST LOGO  ",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,,,,3618,137,348,281,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/8006065-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODUxMjF8aW1hZ2UvanBlZ3xhREl5TDJnM05pODVOak0wTVRNeU16STRORGM0THpnd01EWXdOalV0TVY4NE1EQlhlRGd3TUVnfDQ4YTA4ZjMxYWZkNTcxYWZkNzBkMmVkMzM2NzYxOWVhODVjYTUxNDg0MWFjYzUxYmYyMDRhZDQ5ZmFkNmMxMjg,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
8006029,980706L,ATOMIC150L,BIHR,BIHR T-SHIRT BLACK 2019 L,Camiseta BIHR 2019 Negra - Talla L,10.30,8.51,8.51,8430525191211,12,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>150G - CHEST LOGO</li></ul> </body> </html>","        150G - CHEST LOGO  ",RIDER GEAR,SPORTSWEAR,SPORTSWEAR T-SHIRT,,,,,480,127,365,263,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/8006029-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODUxMjF8aW1hZ2UvanBlZ3xhRGd3TDJobE1pODVOak0wTVRFMU1ESTJPVGMwTHpnd01EWXdNamt0TVY4NE1EQlhlRGd3TUVnfDIyNDUxZWEwNmMzODZkZWY4NTJiMWJhMjI3OTI5ZWYzNjYzYTU0ZGQ0OWY1MTM1ODA3OTc5NjBjNjdjYjc2NGE,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
8006054,980598,BIHR/1/HIV/LOG,BIHR,BIHR BEANIE,Gorro BIHR Factory,19.90,16.45,10.69,3614000494119,0,6114900090,0,1,,,RIDER GEAR,SPORTSWEAR,SPORTSWEAR HEAD,,,,,800,101,200,200,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-8006054-1.jpg?context=bWFzdGVyfHJvb3R8NjU2NDR8aW1hZ2UvanBlZ3xhREV6TDJnNFl5ODRNVGczTlRNM09UQTJNRGMyTmk4NE1EQlhlRGd3TUVoZk9EQXdOakExTkMweExtcHdad3wwZmQ5ZGNjN2YzODIxZGQzMmFhMWM3ZTdjMzMyYWZjOWU3MDk4MTE0MGFjZWRmOTRhYTBkZTI5YWJhZmNmZWJl,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
1015894,,L40-1092LOPEN,BIHR,BIHR TIMING CHAIN 92 LINKS,Cadena de distribución BIHR - 92 eslabones,81.07,67.00,40.20,070892,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Tourmax timing chains have a specification identical to that of the original equipment and are perfectly suited to ""standard"" reconditioning.</p><p> </p><ul> <li>For a standard replacement</li><li>Highly resistant to heat and wear</li><li>Very good quality-price ratio</li><li>Silent timing chain is supplied closed</li></ul> <p> </p></body> </html>","       Tourmax timing chains have a specification identical to that of the original equipment and are perfectly suited to ""standard"" reconditioning.  For a standard replacementHighly resistant to heat and wearVery good quality-price ratioSilent timing chain is supplied closed   ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,,,,,129,263,161,47,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1015894-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM3OTB8aW1hZ2UvanBlZ3xhREkwTDJnMFlTODRPVFV6TWpJMk5Ea3pPVGd5THpFd01UVTRPVFF0TVY4NE1EQlhlRGd3TUVnfDkxOTE4MzVmYjkyZTNhMjczZDhkNTY0YTRiNGUxNmFjZjk3NDAzZjJjNjZhM2QyM2JhMjJlZDI5NzZiNzUzNmE,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
1015899,,L40-2114,BIHR,BIHR TIMING CHAIN 114 LINKS,Cadena de distribución BIHR - 114 eslabones,66.55,55.00,33.00,070716,3,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Tourmax timing chains have a specification identical to that of the original equipment and are perfectly suited to ""standard"" reconditioning.</p><p> </p><ul> <li>For a standard replacement</li><li>Highly resistant to heat and wear</li><li>Very good quality-price ratio</li><li>Silent timing chain is supplied closed</li></ul> <p> </p></body> </html>","       Tourmax timing chains have a specification identical to that of the original equipment and are perfectly suited to ""standard"" reconditioning.  For a standard replacementHighly resistant to heat and wearVery good quality-price ratioSilent timing chain is supplied closed   ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,,,,,263,240,190,63,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1015899-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM3OTB8aW1hZ2UvanBlZ3xhRE16TDJnME9TODRPVFE0T1RjNE9EYzJORFEyTHpFd01UVTRPVGt0TVY4NE1EQlhlRGd3TUVnfGU0MWU1NGNjZjU4OGIyMmEyOWVhMDA4NTc0YWZhMWI3NGUzYjEwNDM0YWQwY2U0MGQ5NmExNDc5Yjg2NjQ4ZWU,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
1015896,,L40-1096L,BIHR,BIHR TIMING CHAIN 96 LINKS,Cadena de distribución BIHR - 96 eslabones,81.07,67.00,40.20,070896,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Supplied open</p></body> </html>","       Supplied open ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,,,,,113,280,160,47,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1015896-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM3OTB8aW1hZ2UvanBlZ3xhREkwTDJneVpTODRPVE00TmpBNU9UTTBNelkyTHpFd01UVTRPVFl0TVY4NE1EQlhlRGd3TUVnfDdiYTc2ZTM5NjgxZDlmZmRmMTA4ODc5MWE2OGRiYzU1MDJmOGZkODU4OTRhYmFiOTM4MTdmOGUwMWRmZmVhMjU,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
1016480,,CHH-109,BIHR,BIHR HOLDERS CARBURETOR-4 PIECES,Colector de admisión TOURMAX (4 piezas) Honda VF500F,59.50,49.17,31.96,924078,4,8409910090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html ; charset=utf-8""><title> </title> <style type=""text/css""> .cs2654AE3A{text-align:left ; text-indent:0pt ; margin:0pt 0pt 0pt 0pt} .cs63EB74B2{color:#000000 ; background-color:transparent ; font-family:Times New Roman ; font-size:12pt ; font-weight:normal ; font-style:normal ; } .cs37063928{text-align:left ; margin:0pt 0pt 0pt 0pt ; list-style-type:disc ; color:#000000 ; background-color:transparent ; font-family:Arial ; font-size:12pt ; font-weight:normal ; font-style:normal} </style> </head> <body> <p>TOURMAX carburetor spare parts are one the best solution for a reliable and thrifty carburetor renewing. OEM sized and designed, they are avalaible for many bike fitments.</p><p> </p><ul start=""1""> <li>Carburetor holders kit</li><li>Contains all needed holders to reassemble carburetor</li></ul> <p> </p></body> </html>","       TOURMAX carburetor spare parts are one the best solution for a reliable and thrifty carburetor renewing. OEM sized and designed, they are avalaible for many bike fitments.  Carburetor holders kitContains all needed holders to reassemble carburetor   ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,,,,,377,104,86,73,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1016480-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDgzNzN8aW1hZ2UvanBlZ3xhREprTDJnelpDODRPVEkwTkRBM01EY3dOelV3THpFd01UWTBPREF0TVY4NE1EQlhlRGd3TUVnfDgyMGIxOWNiNDJhZThlNDhlNWU2ODI5ZjkyODFiNjJmZGJiZTI5ZTVmMDVhYzk3NTc4ZDc0NzY1YjQ5ZjEzYTM,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
1016494,,CHH-57,BIHR,BIHR HOLDERS CARBURETOR-4 PIECES,Colector de admisión Bihr 4 piezas Honda CBF600,200.65,165.83,107.79,924068,0,8409910090,0,1,Use this inlet pipe kit to reassemble the carburation and admission for reconditioning purposes. The kit's parts are equivalent to the OEM parts in order to recondition your motorbike's admission for maximum reliability.,Use this inlet pipe kit to reassemble the carburation and admission for reconditioning purposes. The kit's parts are equivalent to the OEM parts in order to recondition your motorbike's admission for maximum reliability.,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,,,,,1128,222,141,129,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1016494-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc4OTA4fGltYWdlL2pwZWd8YUdZd0wyaGxOQzg0T1RVek1qZzJNRGs0T1RjMEx6RXdNVFkwT1RRdE1WODRNREJYZURnd01FZ3wyMmFjYmRkYjNhMzZkNWM1YTg5NjIzMzM2ZTkwYTRlYzI2NDJjYmQzNTc3MDUyYWUzZDMyZmZiY2ZlZjFlNTFj,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
