PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),[Pastillas de freno] Altura 2 (mm),[Pastillas de freno] Anchura 2 (mm),[Pastillas de freno] Espesor 2 (mm),Altura (cm),Altura (mm),Anchura (cm),Anchura (mm),Capacidad (ml/l),Capacidad de portaequipajes (L),Capacidad/litros (L),Color,Color de manguera,Composición,Construcción,Depósito,Diámetro de orificio (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Distancia entre centros,Embalaje,Espesor (mm),Fabricación,Forma de disco de freno,Homologación,Longitud (cm),Número de orificios,Número de pistones,Posición,Tipo,Tipo de disco,Tipo de pastilla de freno,Tipo de portaequipajes,Uso,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,Document1,DeliveryPlant
1035943,07HD0910,07HD0910,BREMBO,BREMB BRAKE PADS 07HD0910 ORGANIC,Pastillas de freno orgánicas Brembo 07HD0910,77.03,63.66,38.20,8020584634226,0,8714101000,0,1,"<h3 justify>Road Carbon Ceramic ( 10 )</h3><p justify><p justify>It represents the evolution of the organic compound with the use of a higher quantity of carbon. High mileage and good performance when hot and cold, dry and wet, characterise this friction material.</p><br><br><table 100% border-collapse: collapse border-style: solid border-color: #000000 height: 72px border=1"" cellspacing=0"" cellpadding=5""><tbody><tr 18px><td 50% height: 18px><strong>Compound</strong></td><td 50% height: 18px>Carbon-Ceramico</td></tr><tr 18px><td 50% height: 18px><strong>Width</strong></td><td 50% height: 18px>104,1</td></tr><tr 18px><td 50% height: 18px><strong>Height</strong></td><td 50% height: 18px>62,0</td></tr><tr 18px><td 50% height: 18px><strong>Thickness</strong></td><td 50% height: 18px>11,5</td></tr></tbody></table>","Road Carbon Ceramic ( 10 )

It represents the evolution of the organic compound with the use of a higher quantity of carbon. High mileage and good performance when hot and cold, dry and wet, characterise this friction material.CompoundCarbon-CeramicoWidth104,1Height62,0Thickness11,5",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,,370,585,127,91,32,,,,,,,,,,,,,Carbono cerámico,,,,,,,,,,,,,Homologación CE,,,,,,,Original,,Tipo OEM,https://api.mybihr.com/medias/800Wx800H-1035943-1.jpg?context=bWFzdGVyfHJvb3R8MzQ4NDJ8aW1hZ2UvanBlZ3xhRFZqTDJobE1TODRORFl5T1RrM01EUTROVEkzT0M4NE1EQlhlRGd3TUVoZk1UQXpOVGswTXkweExtcHdad3w5NTUyYWUzNGE1YzBhODYxNzA4OTE2MTdiM2MzZDQ3NzNhYjVjOTZmZTJiMjQ5ZDQ4NTdlNmEyZTcwZjRlOTY0,https://api.mybihr.com/medias/800Wx800H-1035943-2.jpg?context=bWFzdGVyfHJvb3R8MzI5MTB8aW1hZ2UvanBlZ3xhR05tTDJnMll5ODJOek00TWpVMk16VXdOREUxT0M4NE1EQlhlRGd3TUVoZk1UQXpOVGswTXkweUxtcHdad3xiYmQwMjEyMjNhOWVkZGRkZDNhMGIzYjJjM2JjMjU0MmM1OTNlMTA3Y2U1NDUxYTUxNTE5MzVmMDgwNTVjMWEw,,,,https://static.bihr.pro/eBihr/Pictures/BREMBO-pictures.zip,https://api.mybihr.com/medias/07hd09.pdf?context=bWFzdGVyfGRvY3VtZW50c3w3MTA1fGFwcGxpY2F0aW9uL3BkZnxhR1EzTDJnMllpODVNRE0wT1RJME1EWTBOems0THpBM2FHUXdPUXxjOTkxZWMzZWVmNGZiYjk0NTE1NzU3Mzc4OTRlYTc5MDlhMTVmNjJmMDAyYzM5Y2M2MmY5ODZlZTlhMzNmZmVk,Spain Warehouse (Parts)
1035944,07HD1011,07HD1011,BREMBO,BREMB BRAKE PADS 07HD1011 ORGANIC,Pastillas de freno orgánicas Brembo 07HD1011,77.03,63.66,38.20,8020584634233,4,8714101000,0,1,"<h3 justify>Road Carbon Ceramic ( 11 )</h3><p justify><p justify>It represents the evolution of the organic compound with the use of a higher quantity of carbon. High mileage and good performance when hot and cold, dry and wet, characterise this friction material.</p><br><br><table 100% border-collapse: collapse border-style: solid border-color: #000000 height: 72px border=1"" cellspacing=0"" cellpadding=5""><tbody><tr 18px><td 50% height: 18px><strong>Compound</strong></td><td 50% height: 18px>Carbon-Ceramico</td></tr><tr 18px><td 50% height: 18px><strong>Width</strong></td><td 50% height: 18px>104,1</td></tr><tr 18px><td 50% height: 18px><strong>Height</strong></td><td 50% height: 18px>62,0</td></tr><tr 18px><td 50% height: 18px><strong>Thickness</strong></td><td 50% height: 18px>11,3</td></tr></tbody></table>","Road Carbon Ceramic ( 11 )

It represents the evolution of the organic compound with the use of a higher quantity of carbon. High mileage and good performance when hot and cold, dry and wet, characterise this friction material.CompoundCarbon-CeramicoWidth104,1Height62,0Thickness11,3",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,,432,524,180,120,20,,,,,,,,,,,,,Carbono cerámico,,,,,,,,,,,,,Homologación CE,,,,,,,Original,,Tipo OEM,https://api.mybihr.com/medias/800Wx800H-1035944-1.jpg?context=bWFzdGVyfHJvb3R8MzY2MzJ8aW1hZ2UvanBlZ3xhRGhqTDJoa1lTODRORFl5T1RrM01EWTRNVGc0Tmk4NE1EQlhlRGd3TUVoZk1UQXpOVGswTkMweExtcHdad3xlNDA5NTI0Y2I1NzllYWVhNjI1NjBiNWYwMjk1OWQ4Yjk1ZTZiYzVlMjc4NGYwZjVkYzMyMjk4ZmYxN2JlNjY4,https://api.mybihr.com/medias/800Wx800H-1035944-2.jpg?context=bWFzdGVyfHJvb3R8Mjc5MjU4fGltYWdlL2pwZWd8YUdObEwyaGtNeTg0TkRZeU9UazNNRGczT0RRNU5DODRNREJYZURnd01FaGZNVEF6TlRrME5DMHlMbXB3Wnd8OWYwN2E3NTViNGE5NTI1YzFiYzcyMmM2YmYwNDVmYzU3N2UzNzczMTUyOTI4MTg5OThmYjBkNWU1NGEwNWZjNg,https://api.mybihr.com/medias/800Wx800H-1035944-3.jpg?context=bWFzdGVyfHJvb3R8Njg0NDR8aW1hZ2UvanBlZ3xhREV4TDJobVppODRORFU1T1RnNU9EWXdNelUxTUM4NE1EQlhlRGd3TUVoZk1UQXpOVGswTkMwekxtcHdad3xlZjRmZmVmNTc5NmI0MzUzZTM3ZTUyMzliYzVjMTJjNzRiMGEyZDg2NDhmNzNhMWNmN2Y2ZjllNTgzOWFhYjJm,,,https://static.bihr.pro/eBihr/Pictures/BREMBO-pictures.zip,,Spain Warehouse (Parts)
1036018,07HO4108,07HO4108,BREMBO,BREMB BRAKE PADS 07HO4108 ORGANIC,Pastillas de freno orgánicas Brembo 07HO4108,43.73,36.14,21.68,07HO4108,1,8714101000,0,1,"<h3 justify>Road Carbon Ceramic ( 08 )</h3><p justify><p justify>It represents the evolution of the organic compound with the use of a higher quantity of carbon. High mileage and good performance when hot and cold, dry and wet, characterise this friction material.</p><br><br><table 100% border-collapse: collapse border-style: solid border-color: #000000 height: 72px border=1"" cellspacing=0"" cellpadding=5""><tbody><tr 18px><td 50% height: 18px><strong>Compound</strong></td><td 50% height: 18px>Carbon-Ceramico</td></tr><tr 18px><td 50% height: 18px><strong>Width</strong></td><td 50% height: 18px>102,1</td></tr><tr 18px><td 50% height: 18px><strong>Height</strong></td><td 50% height: 18px>38,9</td></tr><tr 18px><td 50% height: 18px><strong>Thickness</strong></td><td 50% height: 18px>9,6</td></tr></tbody></table>","Road Carbon Ceramic ( 08 )

It represents the evolution of the organic compound with the use of a higher quantity of carbon. High mileage and good performance when hot and cold, dry and wet, characterise this friction material.CompoundCarbon-CeramicoWidth102,1Height38,9Thickness9,6",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,,310,256,155,100,20,,,,,,,,,,,,,Carbono cerámico,,,,,,,,,,,,,Homologación CE,,,,,,,Original,,Tipo OEM,https://api.mybihr.com/medias/800Wx800H-1036018-1.jpg?context=bWFzdGVyfHJvb3R8NDEyODR8aW1hZ2UvanBlZ3xhR0V4TDJoaE15ODRORFl6TURFM01qSTNNRFl5TWk4NE1EQlhlRGd3TUVoZk1UQXpOakF4T0MweExtcHdad3xjYmUzMzRiNGQ1YzY5NGI1YzMyM2RkMTRmZDA2N2U4YTQ5NTQyZTIzNzU1ODFmNTQ0NDg4NTMwYWI1YzU3ZTIz,https://api.mybihr.com/medias/800Wx800H-1036018-2.jpg?context=bWFzdGVyfHJvb3R8MjYwNzk5fGltYWdlL2pwZWd8YURWbEwyaGhZUzg0TkRZek1ERTNNalEyTnpJek1DODRNREJYZURnd01FaGZNVEF6TmpBeE9DMHlMbXB3Wnd8ZGVjM2IxNGM0YTc0Mzc4MTQ5MDc0MTBlZmFiZDcxNTI2ZWVhZjMwZTVmMzEwNTkzODY5MDIxM2JjNmI3NGRiYg,https://api.mybihr.com/medias/800Wx800H-1036018-3.jpg?context=bWFzdGVyfHJvb3R8NjQ4NDl8aW1hZ2UvanBlZ3xhREpqTDJoaU5DODRORFl6TURFM01qY3lPVE0zTkM4NE1EQlhlRGd3TUVoZk1UQXpOakF4T0MwekxtcHdad3w5NmI5ZGYyZDVhZTc2OWYzYWRlOTA0ZjZkZmNkMmM2MjhkMzBkM2U5OTFhMDNhZGQzOGQxOTRjZGVjNjAzZWRl,,,https://static.bihr.pro/eBihr/Pictures/BREMBO-pictures.zip,,Spain Warehouse (Parts)
1036020,07HO41SA,07HO41SA,BREMBO,BREMB BRAKE PADS 07HO41SA SINTER METAL,Pastillas de freno sinterizadas Brembo 07HO41SA,58.33,48.21,28.93,07HO41SA,0,8714101000,0,1,"<p>PREMIUM</p><p>Compuesto sinterizado, específico para la aplicación frontal, caracterizado por una excelente eficiencia en todas las condiciones de uso.</p><p>Homologadas para carretera. Aptas para un uso deportivo en la calle.</p><p>Por lo tanto, representa una alternativa ideal a las pastillas de freno originales, tanto en frío como en caliente.</p><p>Este compuesto se caracteriza por un bajo desgaste que garantiza una larga vida útil y un kilometraje adecuado.</p><p>  <br></p>","
PREMIUM
Compuesto sinterizado, específico para la aplicación frontal, caracterizado por una excelente eficiencia en todas las condiciones de uso.
Homologadas para carretera. Aptas para un uso deportivo en la calle.
Por lo tanto, representa una alternativa ideal a las pastillas de freno originales, tanto en frío como en caliente.
Este compuesto se caracteriza por un bajo desgaste que garantiza una larga vida útil y un kilometraje adecuado.
  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,,310,267,155,100,20,,,,,,,,,,,,,Sinterizado,,,,,,,,,,,,,Homologación CE,,,,,,,Recambio,,Estándar,https://api.mybihr.com/medias/800Wx800H-1036020-1.jpg?context=bWFzdGVyfHJvb3R8NDEyODR8aW1hZ2UvanBlZ3xhRE5oTDJobE5TODRORFl6TURFM016WTBOamczT0M4NE1EQlhlRGd3TUVoZk1UQXpOakF5TUMweExtcHdad3w5ZmE4ZGUzNDJjMmMxYWI0YmJkZTlmMjI4NTIyNjU5YjU4N2JmY2EyMjU4MDk0OGU2NDIwZjE5YzA1ZDI4ZjFi,https://api.mybihr.com/medias/800Wx800H-1036020-2.jpg?context=bWFzdGVyfHJvb3R8MjUyMjQxfGltYWdlL2pwZWd8YURaaUwyaGtZaTg0TkRZek1ERTNNemt3T1RBeU1pODRNREJYZURnd01FaGZNVEF6TmpBeU1DMHlMbXB3Wnd8MTNlOTU4OTlkOGFkMDNhNjE0NDIwM2NiNjhlM2YxZjA0ZmU2MjBhNzMzMzUxZTk5M2NhZTlhYWYyYTBiN2I4Mg,,,,https://static.bihr.pro/eBihr/Pictures/BREMBO-pictures.zip,,Spain Warehouse (Parts)
1035971,07HO15SD,07HO15SD,BREMBO,BREMB BRAKE PADS 07HO15SD SINTER METAL,Pastillas de freno sinterizadas Brembo 07HO15SD,38.43,31.76,19.06,07HO15SD,6,8714101000,0,1,"<h3 justify>Off Road - SD</h3><p justify><p justify>Sintered Off-Road compound with good efficiency and significant stability in all conditions of use. Good wear resistance even in water and mud. More aggressive than the SX, it is particularly recommended for enduro use.</p><br><br><table 100% border-collapse: collapse border-style: solid border-color: #000000 height: 72px border=1"" cellspacing=0"" cellpadding=5""><tbody><tr 18px><td 50% height: 18px><strong>Compound</strong></td><td 50% height: 18px>Sinter</td></tr><tr 18px><td 50% height: 18px><strong>Width</strong></td><td 50% height: 18px>80,9</td></tr><tr 18px><td 50% height: 18px><strong>Height</strong></td><td 50% height: 18px>41,7</td></tr><tr 18px><td 50% height: 18px><strong>Thickness</strong></td><td 50% height: 18px>7,3</td></tr></tbody></table>","Off Road - SD

Sintered Off-Road compound with good efficiency and significant stability in all conditions of use. Good wear resistance even in water and mud. More aggressive than the SX, it is particularly recommended for enduro use.CompoundSinterWidth80,9Height41,7Thickness7,3",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,,310,194,155,100,20,,,,,,,,,,,,,Sinterizado,,,,,,,,,,,,,Homologación CE,,,,,,,Recambio,,Enduro,https://api.mybihr.com/medias/800Wx800H-1035971-1.jpg?context=bWFzdGVyfHJvb3R8MjQ0MDl8aW1hZ2UvanBlZ3xhR1F3TDJnd1pTODRORFl5T1RrNE5UQXpOREkzTUM4NE1EQlhlRGd3TUVoZk1UQXpOVGszTVMweExtcHdad3wyMGExMDg1MzQxZTlkYmM1Y2QxNDk1MzkyNjRhZTU0ZTU4OTdmNjc2MGIwY2MzNzExZjc4NmY5ODhmMzM0NTI5,https://api.mybihr.com/medias/800Wx800H-1035971-2.jpg?context=bWFzdGVyfHJvb3R8MjM1NDQyfGltYWdlL2pwZWd8YURVeEwyZ3dOeTg0TkRZeU9UazROVEk1TmpReE5DODRNREJYZURnd01FaGZNVEF6TlRrM01TMHlMbXB3Wnd8NDk2NDY2Y2NhZDZjNjg4ZDAxNGMwZDVjMDIwZWRhMmNlYjQ5YzQ5N2JjMzY2MDlkYTBhNmZiMjZkZjJhMmU1ZQ,,,,https://static.bihr.pro/eBihr/Pictures/BREMBO-pictures.zip,,Spain Warehouse (Parts)
1035986,07HO2506,07HO2506,BREMBO,BREMB BRAKE PADS 07HO2506 ORGANIC,Pastillas de freno orgánicas Brembo 07HO2506,39.58,32.71,19.63,8020584634882,2,8714101000,0,1,"<h3 justify>Road Carbon Ceramic ( 06 )</h3><p justify><p justify>It represents the evolution of the organic compound with the use of a higher quantity of carbon. High mileage and good performance when hot and cold, dry and wet, characterise this friction material.</p><br><br><table 100% border-collapse: collapse border-style: solid border-color: #000000 height: 72px border=1"" cellspacing=0"" cellpadding=5""><tbody><tr 18px><td 50% height: 18px><strong>Compound</strong></td><td 50% height: 18px>Carbon-Ceramico</td></tr><tr 18px><td 50% height: 18px><strong>Width</strong></td><td 50% height: 18px>94,0</td></tr><tr 18px><td 50% height: 18px><strong>Height</strong></td><td 50% height: 18px>31,9</td></tr><tr 18px><td 50% height: 18px><strong>Thickness</strong></td><td 50% height: 18px>7,4</td></tr></tbody></table>","Road Carbon Ceramic ( 06 )

It represents the evolution of the organic compound with the use of a higher quantity of carbon. High mileage and good performance when hot and cold, dry and wet, characterise this friction material.CompoundCarbon-CeramicoWidth94,0Height31,9Thickness7,4",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,,310,163,155,100,20,,,,,,,,,,,,,Carbono cerámico,,,,,,,,,,,,,Homologación CE,,,,,,,Original,,Tipo OEM,https://api.mybihr.com/medias/800Wx800H-1035986-1.jpg?context=bWFzdGVyfHJvb3R8MzkxMDB8aW1hZ2UvanBlZ3xhR1EzTDJnM1pTODRORFU1T1Rrd01ETXdOelE0Tmk4NE1EQlhlRGd3TUVoZk1UQXpOVGs0TmkweExtcHdad3xhNWE0Y2U1ZGYyZTlmZDI2YzJlZDZjNjc5OTU0MzA5ODAxMDYyNDllOGMxNzQ4ZDcwZjAwYmFkOTk5NDgxOTJm,https://api.mybihr.com/medias/800Wx800H-1035986-2.jpg?context=bWFzdGVyfHJvb3R8NTAzMTZ8aW1hZ2UvanBlZ3xhR1UzTDJnelpTODJOek00TWpjd05ESXdPVGsxTUM4NE1EQlhlRGd3TUVoZk1UQXpOVGs0TmkweUxtcHdad3wwZjM2NWI0NGE5ZThjYWExZDY4MzVjNzA0YjA4ZmFkZDY1MjgxMTU5ZjE4NjQxZjM5YzhmMzk0N2Y3ODZmZWNh,https://api.mybihr.com/medias/800Wx800H-1035986-3.jpg?context=bWFzdGVyfHJvb3R8NTY0NDV8aW1hZ2UvanBlZ3xhRFF3TDJobE55ODRORFl6TURFMU56TTVNemsxTUM4NE1EQlhlRGd3TUVoZk1UQXpOVGs0TmkwekxtcHdad3w1YmExODFmNWFhZWEzMjAwZThiOTI0ZTkxMWE3NWY2ZTk1ZjkzMTI2NTIzNTk5M2UyYmJhNjdlZDI5NzU2NDNh,,,https://static.bihr.pro/eBihr/Pictures/BREMBO-pictures.zip,,Spain Warehouse (Parts)
1035987,07HO25SD,07HO25SD,BREMBO,3179732333919,Pastillas de freno sinterizadas Brembo 07HO25SD,38.43,31.76,19.06,8020584634899,3,8714101000,0,1,"<h3 justify>Off Road - SD</h3><p justify><p justify>Sintered Off-Road compound with good efficiency and significant stability in all conditions of use. Good wear resistance even in water and mud. More aggressive than the SX, it is particularly recommended for enduro use.</p><br><br><table 100% border-collapse: collapse border-style: solid border-color: #000000 height: 72px border=1"" cellspacing=0"" cellpadding=5""><tbody><tr 18px><td 50% height: 18px><strong>Compound</strong></td><td 50% height: 18px>Sinter</td></tr><tr 18px><td 50% height: 18px><strong>Width</strong></td><td 50% height: 18px>94,0</td></tr><tr 18px><td 50% height: 18px><strong>Height</strong></td><td 50% height: 18px>31,9</td></tr><tr 18px><td 50% height: 18px><strong>Thickness</strong></td><td 50% height: 18px>7,4</td></tr></tbody></table>","Off Road - SD

Sintered Off-Road compound with good efficiency and significant stability in all conditions of use. Good wear resistance even in water and mud. More aggressive than the SX, it is particularly recommended for enduro use.CompoundSinterWidth94,0Height31,9Thickness7,4",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,,310,181,155,100,20,,,,,,,,,,,,,Sinterizado,,,,,,,,,,,,,Homologación CE,,,,,,,Recambio,,Enduro,https://api.mybihr.com/medias/800Wx800H-1035987-1.jpg?context=bWFzdGVyfHJvb3R8MzkxMDB8aW1hZ2UvanBlZ3xhRFl3TDJoa1lTODRORFl6TURFMU56Y3lNVFl6TUM4NE1EQlhlRGd3TUVoZk1UQXpOVGs0TnkweExtcHdad3w5MWY4YmNhMjYxODNlYjQxYmZiYjNjZDMzYmI0ZjNjNzk0MjZkMmYxNDI3OTk1MGI1YzcwMzIyZjBhNDZmNjQx,https://api.mybihr.com/medias/800Wx800H-1035987-2.jpg?context=bWFzdGVyfHJvb3R8MjM1Nzg0fGltYWdlL2pwZWd8YUdVeUwyaGtNaTg0TkRZek1ERTFOems0TXpjM05DODRNREJYZURnd01FaGZNVEF6TlRrNE55MHlMbXB3Wnd8MTdhZjYwODc2NzhjMzg1YTBkYTM4ZjMyODVlYjRmOWNmYTEzYzNkZDVkMDg2M2Y3OTA4ZDRhYmNmYTE3OGJhNA,,,,https://static.bihr.pro/eBihr/Pictures/BREMBO-pictures.zip,,Spain Warehouse (Parts)
1036060,07KA0717,07KA0717,BREMBO,BREMB BRAKE PADS 07KA0717 ORGANIC,Pastillas de freno orgánicas Brembo 07KA0717,39.58,32.71,19.63,07KA0717,3,8714101000,0,1,"<h3 justify>Road Carbon Ceramic ( 17 )</h3><p justify><p justify>It represents the evolution of the organic compound with the use of a higher quantity of carbon. High mileage and good performance when hot and cold, dry and wet, characterise this friction material.</p><br><br><table 100% border-collapse: collapse border-style: solid border-color: #000000 height: 72px border=1"" cellspacing=0"" cellpadding=5""><tbody><tr 18px><td 50% height: 18px><strong>Compound</strong></td><td 50% height: 18px>Carbon-Ceramico</td></tr><tr 18px><td 50% height: 18px><strong>Width (L)</strong></td><td 50% height: 18px>84,9</td></tr><tr 18px><td 50% height: 18px><strong>Height (L)</strong></td><td 50% height: 18px>42,4</td></tr><tr 18px><td 50% height: 18px><strong>Thickness (L)</strong></td><td 50% height: 18px>7,0</td></tr><tr 18px><td 50% height: 18px><strong>Width (R)</strong></td><td 50% height: 18px>47,4</td></tr><tr 18px><td 50% height: 18px><strong>Height (R)</strong></td><td 50% height: 18px>37,0</td></tr><tr 18px><td 50% height: 18px><strong>Thickness (R)</strong></td><td 50% height: 18px>9,0</td></tr></tbody></table>","Road Carbon Ceramic ( 17 )

It represents the evolution of the organic compound with the use of a higher quantity of carbon. High mileage and good performance when hot and cold, dry and wet, characterise this friction material.CompoundCarbon-CeramicoWidth (L)84,9Height (L)42,4Thickness (L)7,0Width (R)47,4Height (R)37,0Thickness (R)9,0",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,,310,162,155,100,20,,,,,,,,,,,,,Carbono cerámico,,,,,,,,,,,,,Homologación CE,,,,,,,Original,,Tipo OEM,https://api.mybihr.com/medias/800Wx800H-1036060-1.jpg?context=bWFzdGVyfHJvb3R8Mzg4MDN8aW1hZ2UvanBlZ3xhRE01TDJoaE1pODRORFl6TURJNU1EVTJNekV3TWk4NE1EQlhlRGd3TUVoZk1UQXpOakEyTUMweExtcHdad3wwYzUwZjZjYWIyNGQ4OGMzOWVjMTczMmU0NjEwYzYwNzcyMDhiMjRlOTU1ZTc1ZDhiMjljNDAwZjM2N2U3MjEy,https://api.mybihr.com/medias/800Wx800H-1036060-2.jpg?context=bWFzdGVyfHJvb3R8MjUwNzQ1fGltYWdlL2pwZWd8YUdZMkwyaGhPQzg0TkRZek1ESTVNRGMxT1RjeE1DODRNREJYZURnd01FaGZNVEF6TmpBMk1DMHlMbXB3Wnd8YzA5OTBlZmM0MjZlMjViZDUyYmZmYTk0MDdmODc2YjRiOWFkODkyNzQ5ZGE0MDEwZmY0MWJmMjI0YjdiOGNhMg,https://api.mybihr.com/medias/800Wx800H-1036060-3.jpg?context=bWFzdGVyfHJvb3R8NjcwMzV8aW1hZ2UvanBlZ3xhRGd5TDJobVlTODRORFl6TURJNU1UQXlNVGcxTkM4NE1EQlhlRGd3TUVoZk1UQXpOakEyTUMwekxtcHdad3wwMTk5NGJkOWFmN2M0OWEzNWY2YjAzMmUzZjU5ZDkyNjlmYjkyZjM4Y2EwNDJkNDkzYjFlMGJiZGZjNzI3ZmI1,,,https://static.bihr.pro/eBihr/Pictures/BREMBO-pictures.zip,,Spain Warehouse (Parts)
1036066,07KA09SA,07KA09SA,BREMBO,BREMB BRAKE PADS 07KA09SA SINTER METAL,Pastillas de freno sinterizadas Brembo 07KA09SA,53.94,44.58,26.75,07KA09SA,0,8714101000,0,1,"<p>PREMIUM</p><p>Compuesto sinterizado, específico para la aplicación frontal, caracterizado por una excelente eficiencia en todas las condiciones de uso.</p><p>Homologadas para carretera. Aptas para un uso deportivo en la calle.</p><p>Por lo tanto, representa una alternativa ideal a las pastillas de freno originales, tanto en frío como en caliente.</p><p>Este compuesto se caracteriza por un bajo desgaste que garantiza una larga vida útil y un kilometraje adecuado.</p><p>  <br></p>","
PREMIUM
Compuesto sinterizado, específico para la aplicación frontal, caracterizado por una excelente eficiencia en todas las condiciones de uso.
Homologadas para carretera. Aptas para un uso deportivo en la calle.
Por lo tanto, representa una alternativa ideal a las pastillas de freno originales, tanto en frío como en caliente.
Este compuesto se caracteriza por un bajo desgaste que garantiza una larga vida útil y un kilometraje adecuado.
  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,,432,282,180,120,20,,,,,,,,,,,,,Sinterizado,,,,,,,,,,,,,Homologación CE,,,,,,,Recambio,,Estándar,https://api.mybihr.com/medias/800Wx800H-1036066-1.jpg?context=bWFzdGVyfHJvb3R8MzM5MDl8aW1hZ2UvanBlZ3xhREkzTDJnMFpDODRORFl6TURJNU5EWTVNVGczTUM4NE1EQlhlRGd3TUVoZk1UQXpOakEyTmkweExtcHdad3xlNTQ3YzA0OTI5MTQwM2Y2MTg3ZWYxNDE2YmY4MDljZDYzOTkyOWY0YjU1NDU4MmVmNWNiMTIxMmE3NWY3MGVk,,,,,https://static.bihr.pro/eBihr/Pictures/BREMBO-pictures.zip,,Spain Warehouse (Parts)
1036084,07KA16SP,07KA16SP,BREMBO,BREMB BRAKE PADS 07KA16SP SINTER METAL,Pastillas de freno sinterizadas Brembo 07KA16SP,55.83,46.14,27.68,07KA16SP,13,8714101000,0,1,"<h3 justify>Road - SP</h3><p justify><p justify>This is a sintered compound, specific for rear application, is characterised by a consistently high friction coefficient in all conditions of use, both hot and cold, combined with low wear which ensures long life and adequate mileage.</p><br><br><table 100% border-collapse: collapse border-style: solid border-color: #000000 height: 72px border=1"" cellspacing=0"" cellpadding=5""><tbody><tr 18px><td 50% height: 18px><strong>Compound</strong></td><td 50% height: 18px>Sinter</td></tr><tr 18px><td 50% height: 18px><strong>Width (L)</strong></td><td 50% height: 18px>89,5</td></tr><tr 18px><td 50% height: 18px><strong>Height (L)</strong></td><td 50% height: 18px>51,2</td></tr><tr 18px><td 50% height: 18px><strong>Thickness (L)</strong></td><td 50% height: 18px>8,9</td></tr><tr 18px><td 50% height: 18px><strong>Width (R)</strong></td><td 50% height: 18px>68,0</td></tr><tr 18px><td 50% height: 18px><strong>Height (R)</strong></td><td 50% height: 18px>52,6</td></tr><tr 18px><td 50% height: 18px><strong>Thickness (R)</strong></td><td 50% height: 18px>9,9</td></tr></tbody></table>","Road - SP

This is a sintered compound, specific for rear application, is characterised by a consistently high friction coefficient in all conditions of use, both hot and cold, combined with low wear which ensures long life and adequate mileage.CompoundSinterWidth (L)89,5Height (L)51,2Thickness (L)8,9Width (R)68,0Height (R)52,6Thickness (R)9,9",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,,310,277,155,100,20,,,,,,,,,,,,,Sinterizado,,,,,,,,,,,,,Homologación CE,,,,,,,Recambio,,Pastillas de freno traseras para motos street,https://api.mybihr.com/medias/800Wx800H-1036084-1.jpg?context=bWFzdGVyfHJvb3R8NDUwMjF8aW1hZ2UvanBlZ3xhR0kyTDJnM1ppODRORFl6TURNd05URXhNakE1TkM4NE1EQlhlRGd3TUVoZk1UQXpOakE0TkMweExtcHdad3wxMTM1OWY4OGI5ZmUzYmYxZGNiNGIxZDAzMWNlZGU4YmE5Y2EwZmIwYzI4NDI3NDYzMTNkNDA4Mzg1ZGNhNTA2,https://api.mybihr.com/medias/800Wx800H-1036084-2.jpg?context=bWFzdGVyfHJvb3R8MjYwNTAxfGltYWdlL2pwZWd8YURNMUwyZzROeTg0TkRZek1ETXdOVE0zTkRJek9DODRNREJYZURnd01FaGZNVEF6TmpBNE5DMHlMbXB3Wnd8YjRmY2RiY2Y2NmFmNWViMWE3NzRkZmMwMzFkMDEyZjk0ZTUyZjgxNjZhMDI1MGY0ODYzNDVjMDZhZDUxNGIxYQ,https://api.mybihr.com/medias/800Wx800H-1036084-3.jpg?context=bWFzdGVyfHJvb3R8NjA1MTV8aW1hZ2UvanBlZ3xhR015TDJnNU5DODRORFl6TURNd05UYzJOelExTkM4NE1EQlhlRGd3TUVoZk1UQXpOakE0TkMwekxtcHdad3wyY2VkNDRkZTkzOWUxYzg4MzA5ZmE3MjU3YTk2NjJlNGVjMDA2OWM0ZTIyZTIzYjkzZDk2NDIyYjgyNDBkNWUx,,,https://static.bihr.pro/eBihr/Pictures/BREMBO-pictures.zip,,Spain Warehouse (Parts)
