PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura del neumático (perfil),Anchura del neumático,Categoría de neumático,Compuesto de neumático,Diámetro de la llanta,Estructura de neumático,Familia de neumáticos,Homologación,Índice de carga del neumático (IC),Índice de velocidad (CV),Marcajes,Modelo,Posición,Sin cámara o tipo de cámara,Tierra,Picture1,Picture2,Picture3,AllPicturesZIP,Document1,Document2,DeliveryPlant
9000182,575008439,8439,BRIDGESTONE,BRIDG TIRE RS10 REAR 140/70R17,Neumático BRIDGESTONE BATTLAX RS10 REAR 140/70 R 17 66H TL,216.59,179.00,96.66,3286340843911,1,4011400000,0,1,"<p><strong>Neumático deportivo radial de super altas prestaciones para dominar tanto las carreteras como los circuitos.</strong></p><p>  <br></p><p>- <strong>Redefine tus límites</strong>: el modelo Battlax RS10 aporta un plus de confianza para sacar el máximo rendimiento a las motos deportivas mas potentes del momento. Este modelo RS10 ha sido elegido como monta de origen por muchas de las últimas motos Ultra deportivas. Solo con saber que es suficiente para los principales fabricantes líderes de motos…</p><p>- <strong>Auténtico comportamiento deportivo</strong>: la nueva fórmula de compuesto y rediseño de la banda de rodadura del Battlax RS10 ofrece una estabilidad en la frenada, precisión en recta y respuesta de dirección excepcionales.</p><p>- <strong>Manejabilidad que inspira confianza</strong>: siente la emoción de las carreteras y la exigencia de los circuitos gracias a la frenada estable y una aceleración más rápida al entrar y salir de cada curva.</p><p>- <strong>Agarre, agarre y más agarre</strong>: una tracción mejorada tanto en el neumático delantero como trasero * proporciona una verdadera estabilidad y control a alta velocidad para tiempos de vuelta más rápidos en la pista y más emoción fuera de ella.</p><p>-   <b>Óptimo comportamiento en&nbsp;seco</b>: se mejora la frenada en seco, facilitando una aceleración y manejabilidad progresivas. El RS10 te permitirá probar tus límites como los de la moto.</p>","
Neumático deportivo radial de super altas prestaciones para dominar tanto las carreteras como los circuitos.
  
- Redefine tus límites: el modelo Battlax RS10 aporta un plus de confianza para sacar el máximo rendimiento a las motos deportivas mas potentes del momento. Este modelo RS10 ha sido elegido como monta de origen por muchas de las últimas motos Ultra deportivas. Solo con saber que es suficiente para los principales fabricantes líderes de motos…
- Auténtico comportamiento deportivo: la nueva fórmula de compuesto y rediseño de la banda de rodadura del Battlax RS10 ofrece una estabilidad en la frenada, precisión en recta y respuesta de dirección excepcionales.
- Manejabilidad que inspira confianza: siente la emoción de las carreteras y la exigencia de los circuitos gracias a la frenada estable y una aceleración más rápida al entrar y salir de cada curva.
- Agarre, agarre y más agarre: una tracción mejorada tanto en el neumático delantero como trasero * proporciona una verdadera estabilidad y control a alta velocidad para tiempos de vuelta más rápidos en la pista y más emoción fuera de ella.
-   Óptimo comportamiento en seco: se mejora la frenada en seco, facilitando una aceleración y manejabilidad progresivas. El RS10 te permitirá probar tus límites como los de la moto.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,53816,5100,620,620,140,70,140,Dibujo de carreras (homologado carretera) & Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,66,H < 210 km/h,,BATTLAX RS10,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000182-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQzNTl8aW1hZ2UvanBlZ3xhREUwTDJneU55ODRPVEEzT1RjeE1EWTNPVE0wTHprd01EQXhPREl0TVY4NE1EQlhlRGd3TUVnfDRhMmZiYjVkMjVlMDNlY2JiYjlhNWY3ZjA5ZjVjN2NhNjdlMzgxYjMxMzg1NDQxZDhmZmQ5YjEzODllNWU2ZTY,,,https://static.bihr.pro/eBihr/Pictures/BRIDGESTONE-pictures.zip,,,Spain Warehouse (Tires)
9000184,575008441,8441,BRIDGESTONE,BRIDG TIRE S21 FRONT 120/60ZR17,Neumático BRIDGESTONE BATTLAX S21 FRONT 120/60 ZR 17 (55W) TL,158.51,131.00,70.74,3286340844116,20,4011400000,0,1,"<p><strong>Battlax HYPERSPORT S21</strong></p><p>El performance definitivo para las motos Hypersport más exigentes y modernas.</p><p>- Primera cubierta Bridgestone fabricada usando la innovadora y revolucionaria tecnología Ultimate.</p><p>- Delantero bi-compuesto en tres capas y trasero tri-compuesto en 5 capass.</p><p>- Nuevos compuestos, dibujo, tecnología y construcción para asegurar el máximo rendimiento.</p><p>- Disfrute con su moto en todo tipo de condiciones.</p><p>- Capacidad extrema de viraje.</p><p>- Elevado kilometraje.</p><p>  <br></p>","
Battlax HYPERSPORT S21
El performance definitivo para las motos Hypersport más exigentes y modernas.
- Primera cubierta Bridgestone fabricada usando la innovadora y revolucionaria tecnología Ultimate.
- Delantero bi-compuesto en tres capas y trasero tri-compuesto en 5 capass.
- Nuevos compuestos, dibujo, tecnología y construcción para asegurar el máximo rendimiento.
- Disfrute con su moto en todo tipo de condiciones.
- Capacidad extrema de viraje.
- Elevado kilometraje.
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,43200,4120,600,600,120,60,120,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,55,(W) > 270 km/h,,BATTLAX S21,Delantero,TL - Tubeless,,https://api.mybihr.com/medias/9000184-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTcxMzJ8aW1hZ2UvanBlZ3xhRGhqTDJnd01TOHhOVFE1TkRVeE1USTJNemMzTkM4NU1EQXdNVGcwTFRGZk9EQXdWM2c0TURCSXw0YmFlY2MwODJjOWU5MmNlOTFmOWFjNGVkOWZhY2YyNWU5YWM0ZTZmZjRlM2IwNGYyY2IyY2YzZDI2NDZhYTNm,,,https://static.bihr.pro/eBihr/Pictures/BRIDGESTONE-pictures.zip,,,Spain Warehouse (Tires)
9000190,575008447,8447,BRIDGESTONE,BRIDG TIRE S21 REAR 190/50ZR17,Neumático BRIDGESTONE BATTLAX S21 REAR 190/50 ZR 17 (73W) TL,240.79,199.00,107.46,3286340844710,28,4011400000,0,1,"<p><strong>Battlax HYPERSPORT S21</strong></p><p>El performance definitivo para las motos Hypersport más exigentes y modernas.</p><p>- Primera cubierta Bridgestone fabricada usando la innovadora y revolucionaria tecnología Ultimate.</p><p>- Delantero bi-compuesto en tres capas y trasero tri-compuesto en 5 capass.</p><p>- Nuevos compuestos, dibujo, tecnología y construcción para asegurar el máximo rendimiento.</p><p>- Disfrute con su moto en todo tipo de condiciones.</p><p>- Capacidad extrema de viraje.</p><p>- Elevado kilometraje.</p><p>  <br></p>","
Battlax HYPERSPORT S21
El performance definitivo para las motos Hypersport más exigentes y modernas.
- Primera cubierta Bridgestone fabricada usando la innovadora y revolucionaria tecnología Ultimate.
- Delantero bi-compuesto en tres capas y trasero tri-compuesto en 5 capass.
- Nuevos compuestos, dibujo, tecnología y construcción para asegurar el máximo rendimiento.
- Disfrute con su moto en todo tipo de condiciones.
- Capacidad extrema de viraje.
- Elevado kilometraje.
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,73036,6800,620,620,190,50,190,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,73,(W) > 270 km/h,,BATTLAX S21,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000190-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjU1ODd8aW1hZ2UvanBlZ3xhRGN4TDJoa09DOHhOVFE1TkRVeE16UXlOalEyTWk4NU1EQXdNVGt3TFRGZk9EQXdWM2c0TURCSXxjMDY5YmEwY2U3MGI3ODg2MmJhNTAyOTUyMWUwYTE5Yjk5NWNmNzcyZjRlYTJlNjg3YjlkNDkwNGNiNmZjMzA1,,,https://static.bihr.pro/eBihr/Pictures/BRIDGESTONE-pictures.zip,,,Spain Warehouse (Tires)
9000220,90000677,17415,BRIDGESTONE,BRIDG TIRE S22 REAR 140/70R17,Neumático BRIDGESTONE BATTLAX S22 REAR 140/70 R 17 66H TL,154.88,128.00,69.12,3286341741513,12,4011400000,0,1,<p><strong>Battlax HYPERSPORT S22</strong></p><p>  <br></p><p>Un nuevo y apasionante producto que te permitirá experimentar como nunca antes todo el potencial de tu moto en carretera:</p><p>  <br></p><p>- Nuevos compuestos en 3 y 5 capas (3LC y 5LC).</p><p>  <br></p><p>- Mejor rendimiento en todas las áreas.</p><p>  <br></p><p>- Tiempo de vuelta en mojado un 5% más rápido.</p><p>  <br></p><p>- Velocidad en curvas en seco un 15% superior.</p>,"
Battlax HYPERSPORT S22
  
Un nuevo y apasionante producto que te permitirá experimentar como nunca antes todo el potencial de tu moto en carretera:
  
- Nuevos compuestos en 3 y 5 capas (3LC y 5LC).
  
- Mejor rendimiento en todas las áreas.
  
- Tiempo de vuelta en mojado un 5% más rápido.
  
- Velocidad en curvas en seco un 15% superior.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,55566,5320,630,630,140,70,140,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,66,H < 210 km/h,,BATTLAX S22,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000220-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTI2OTR8aW1hZ2UvanBlZ3xhREF5TDJneU5pODRPRGd3Tmpjd01ERTFOVEU0THprd01EQXlNakF0TVY4NE1EQlhlRGd3TUVnfDhmNzJiMzFjNGMyYTk0MGQ1NzQ3NGM2ZmZjZmJjYmE4YjFhYjg2MGU0NTM3NzJiZDUwMDNiMGVmMjk5ZmIzYmI,,,https://static.bihr.pro/eBihr/Pictures/BRIDGESTONE-pictures.zip,,,Spain Warehouse (Tires)
9000222,90000668,17417,BRIDGESTONE,BRIDG TIRE S22 REAR 180/60ZR17,Neumático BRIDGESTONE BATTLAX S22 REAR 180/60 ZR 17 (75W) TL,312.18,258.00,139.32,3286341741711,3,4011400000,0,1,<p><strong>Battlax HYPERSPORT S22</strong></p><p>  <br></p><p>Un nuevo y apasionante producto que te permitirá experimentar como nunca antes todo el potencial de tu moto en carretera:</p><p>  <br></p><p>- Nuevos compuestos en 3 y 5 capas (3LC y 5LC).</p><p>  <br></p><p>- Mejor rendimiento en todas las áreas.</p><p>  <br></p><p>- Tiempo de vuelta en mojado un 5% más rápido.</p><p>  <br></p><p>- Velocidad en curvas en seco un 15% superior.</p>,"
Battlax HYPERSPORT S22
  
Un nuevo y apasionante producto que te permitirá experimentar como nunca antes todo el potencial de tu moto en carretera:
  
- Nuevos compuestos en 3 y 5 capas (3LC y 5LC).
  
- Mejor rendimiento en todas las áreas.
  
- Tiempo de vuelta en mojado un 5% más rápido.
  
- Velocidad en curvas en seco un 15% superior.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,71442,6940,630,630,180,60,180,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,75,(W) > 270 km/h,,BATTLAX S22,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000222-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTI2OTR8aW1hZ2UvanBlZ3xhRGN3TDJoallTODRPVEUyTmpRME5EWXlOakl5THprd01EQXlNakl0TVY4NE1EQlhlRGd3TUVnfGFkMGNjNTg5MTI3ZmJiNWQwNWQwM2Y3ZTYzYjVlNTUzNzQxYmE5NjI3MDRmNzkwNjk0ZDZkN2VjZmJkOTYzOWM,,,https://static.bihr.pro/eBihr/Pictures/BRIDGESTONE-pictures.zip,,,Spain Warehouse (Tires)
9000186,575008443,8443,BRIDGESTONE,BRIDG TIRE S21 FRONT 130/70ZR16,Neumático BRIDGESTONE BATTLAX S21 FRONT 130/70 ZR 16 (61W) TL,187.55,155.00,83.70,3286340844314,15,4011400000,0,1,"<p><strong>Battlax HYPERSPORT S21</strong></p><p>El performance definitivo para las motos Hypersport más exigentes y modernas.</p><p>- Primera cubierta Bridgestone fabricada usando la innovadora y revolucionaria tecnología Ultimate.</p><p>- Delantero bi-compuesto en tres capas y trasero tri-compuesto en 5 capass.</p><p>- Nuevos compuestos, dibujo, tecnología y construcción para asegurar el máximo rendimiento.</p><p>- Disfrute con su moto en todo tipo de condiciones.</p><p>- Capacidad extrema de viraje.</p><p>- Elevado kilometraje.</p><p>  <br></p>","
Battlax HYPERSPORT S21
El performance definitivo para las motos Hypersport más exigentes y modernas.
- Primera cubierta Bridgestone fabricada usando la innovadora y revolucionaria tecnología Ultimate.
- Delantero bi-compuesto en tres capas y trasero tri-compuesto en 5 capass.
- Nuevos compuestos, dibujo, tecnología y construcción para asegurar el máximo rendimiento.
- Disfrute con su moto en todo tipo de condiciones.
- Capacidad extrema de viraje.
- Elevado kilometraje.
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,43732,4900,580,580,130,70,130,Hypersport,,16,Radial,Neumáticos de motocicleta y scooter,,61,(W) > 270 km/h,,BATTLAX S21,Delantero,TL - Tubeless,,https://api.mybihr.com/medias/9000186-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTcxMzJ8aW1hZ2UvanBlZ3xhRGt3TDJneE5pOHhOVFE1TkRVeE1UazRORFkzTUM4NU1EQXdNVGcyTFRGZk9EQXdWM2c0TURCSXwzZjg2MGZiNTU3MmJjNWY1NmJiYmMyMzAwYTI2NGM1ZWQ0MDViMGI3ZTVlMmE2ODBlNWNhNzMxN2U3ZmI2MTgx,,,https://static.bihr.pro/eBihr/Pictures/BRIDGESTONE-pictures.zip,,,Spain Warehouse (Tires)
9000188,575008445,8445,BRIDGESTONE,BRIDG TIRE S21 REAR 160/60ZR17,Neumático BRIDGESTONE BATTLAX S21 REAR 160/60 ZR 17 (69W) TL,211.75,175.00,94.50,3286340844512,84,4011400000,0,1,"<p><strong>Battlax HYPERSPORT S21</strong></p><p>El performance definitivo para las motos Hypersport más exigentes y modernas.</p><p>- Primera cubierta Bridgestone fabricada usando la innovadora y revolucionaria tecnología Ultimate.</p><p>- Delantero bi-compuesto en tres capas y trasero tri-compuesto en 5 capass.</p><p>- Nuevos compuestos, dibujo, tecnología y construcción para asegurar el máximo rendimiento.</p><p>- Disfrute con su moto en todo tipo de condiciones.</p><p>- Capacidad extrema de viraje.</p><p>- Elevado kilometraje.</p><p>  <br></p>","
Battlax HYPERSPORT S21
El performance definitivo para las motos Hypersport más exigentes y modernas.
- Primera cubierta Bridgestone fabricada usando la innovadora y revolucionaria tecnología Ultimate.
- Delantero bi-compuesto en tres capas y trasero tri-compuesto en 5 capass.
- Nuevos compuestos, dibujo, tecnología y construcción para asegurar el máximo rendimiento.
- Disfrute con su moto en todo tipo de condiciones.
- Capacidad extrema de viraje.
- Elevado kilometraje.
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,65536,6440,640,640,160,60,160,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,69,(W) > 270 km/h,,BATTLAX S21,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000188-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjU1ODd8aW1hZ2UvanBlZ3xhR0U0TDJnM09DOHhOVFE1TkRVeE1qY3dOVFUyTmk4NU1EQXdNVGc0TFRGZk9EQXdWM2c0TURCSXxiNmVlM2ZjMTRmNGMxY2EzNWMyYjA3MzBhN2ZlYTU4MDZiY2IzODQwYjVmY2ZhZTk4NjY2NzQzMzA5NTMwOTJh,,,https://static.bihr.pro/eBihr/Pictures/BRIDGESTONE-pictures.zip,,,Spain Warehouse (Tires)
9000192,575008449,8449,BRIDGESTONE,BRIDG TIRE S21 REAR 200/55ZR17,Neumático BRIDGESTONE BATTLAX S21 REAR 200/55 ZR 17 (78W) TL,277.09,229.00,123.66,3286340844918,0,4011400000,0,1,"<p><strong>Battlax HYPERSPORT S21</strong></p><p>El performance definitivo para las motos Hypersport más exigentes y modernas.</p><p>- Primera cubierta Bridgestone fabricada usando la innovadora y revolucionaria tecnología Ultimate.</p><p>- Delantero bi-compuesto en tres capas y trasero tri-compuesto en 5 capass.</p><p>- Nuevos compuestos, dibujo, tecnología y construcción para asegurar el máximo rendimiento.</p><p>- Disfrute con su moto en todo tipo de condiciones.</p><p>- Capacidad extrema de viraje.</p><p>- Elevado kilometraje.</p><p>  <br></p>","
Battlax HYPERSPORT S21
El performance definitivo para las motos Hypersport más exigentes y modernas.
- Primera cubierta Bridgestone fabricada usando la innovadora y revolucionaria tecnología Ultimate.
- Delantero bi-compuesto en tres capas y trasero tri-compuesto en 5 capass.
- Nuevos compuestos, dibujo, tecnología y construcción para asegurar el máximo rendimiento.
- Disfrute con su moto en todo tipo de condiciones.
- Capacidad extrema de viraje.
- Elevado kilometraje.
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,81920,7400,640,640,200,55,200,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,78,(W) > 270 km/h,,BATTLAX S21,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000192-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjU1ODd8aW1hZ2UvanBlZ3xhR00yTDJoak55OHhOVFE1TkRVeE5ERTBOek0xT0M4NU1EQXdNVGt5TFRGZk9EQXdWM2c0TURCSXwwYzlhOWFjNDM3N2Q4MjQ2NTUzMmIyZjdiOTlmNDgzOWFiMzU1MGYwZjk1Zjc0ZTg1ZjhkM2ZjZjU5OWQ1MjQw,,,https://static.bihr.pro/eBihr/Pictures/BRIDGESTONE-pictures.zip,,,Spain Warehouse (Tires)
9000216,90000135,16614,BRIDGESTONE,BRIDG TIRE S22 REAR 190/50ZR17,Neumático BRIDGESTONE BATTLAX S22 REAR 190/50 ZR 17 (73W) TL,312.18,258.00,139.32,3286341661415,23,4011400000,0,1,<p><strong>Battlax HYPERSPORT S22</strong></p><p>Un nuevo y apasionante producto que te permitirá experimentar como nunca antes todo el potencial de tu moto en carretera:</p><p>- Nuevos compuestos en 3 y 5 capas (3LC y 5LC).</p><p>- Mejor rendimiento en todas las áreas.</p><p>- Tiempo de vuelta en mojado un 5% más rápido.</p><p>- Velocidad en curvas en seco un 15% superior.</p><p>  <br></p>,"
Battlax HYPERSPORT S22
Un nuevo y apasionante producto que te permitirá experimentar como nunca antes todo el potencial de tu moto en carretera:
- Nuevos compuestos en 3 y 5 capas (3LC y 5LC).
- Mejor rendimiento en todas las áreas.
- Tiempo de vuelta en mojado un 5% más rápido.
- Velocidad en curvas en seco un 15% superior.
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,81920,6860,640,640,200,50,190,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,73,(W) > 270 km/h,,BATTLAX S22,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000216-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTI2OTR8aW1hZ2UvanBlZ3xhREE1TDJnMVlTODRPVEUyTmpRek1qZ3lPVGMwTHprd01EQXlNVFl0TVY4NE1EQlhlRGd3TUVnfDhmM2NiNjNiNGQ1ZTY3NTI0YTM1MGQ0MDE4Y2QyOTg2ZDMwZGE5NGNhM2Y5OWFiZjVkYzMzMjNlMWZjN2MyYTI,https://api.mybihr.com/medias/9000216-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzkwNDF8aW1hZ2UvanBlZ3xhR00yTDJnMk1DODRPVEUyTmpRek5EYzVOVGd5THprd01EQXlNVFl0TWw4NE1EQlhlRGd3TUVnfGQyNDNhZmY5MGY2ZDY0MTc0OGQzOTgxZTQ2ZjhkNzVhNjk4ZDdmZDc0Y2ExNjc1YTZkZjg5YTFiOGFhZjgxY2M,https://api.mybihr.com/medias/9000216-3-800Wx800H?context=bWFzdGVyfHJvb3R8NTgwNjZ8aW1hZ2UvanBlZ3xhRGszTDJnMk55ODRPVEUyTmpRek5qYzJNVGt3THprd01EQXlNVFl0TTE4NE1EQlhlRGd3TUVnfDU4NDk1M2VmNGU0YTJkYmQyYzE5NzdlNzNkZTc4M2ZiNGY0OGE2ZGQ5MjBjMmFkNGZmMDEzZGEzNWE0NTg4ZDU,https://static.bihr.pro/eBihr/Pictures/BRIDGESTONE-pictures.zip,https://api.mybihr.com/medias/Bridgestone-ne-fait-aucun-compromis-S22-FR.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyOTA3MzJ8YXBwbGljYXRpb24vcGRmfGFEZG1MMmhtT0M4NU1EUXpOekEzTkRZeE5qWXlMMEp5YVdSblpYTjBiMjVsSUc1bElHWmhhWFFnWVhWamRXNGdZMjl0Y0hKdmJXbHpYMU15TWw5R1VnfDdiZWIwOWIxOWUzM2Y0NGY1MmRiYWYyM2Q3MjAzMTEwYmMxMjU3ZjQzODIwODUyNmMyYjg5NTNhZjczZmM4NDc,https://api.mybihr.com/medias/BS-presentation-MC-S22-FR.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyNjUzNzYzfGFwcGxpY2F0aW9uL3BkZnxhRGd4TDJneFpTODVNRFF6TnpreE5qYzFOREl5TDBKVFgzQnlaWE5sYm5SaGRHbHZibDlOUTE5VE1qSmZSbEl8NjBmMzM3MTczZjllNDcxMzNiNzljYzZhMjVlNDgyYTdlMDEwYTg1YjE5Y2NiNDY0ODUwYzk0NGFmMWIyM2VjMA,Spain Warehouse (Tires)
9000218,90000139,16616,BRIDGESTONE,BRIDG TIRE S22 REAR 200/55ZR17,Neumático BRIDGESTONE BATTLAX S22 REAR 200/55 ZR 17 (78W) TL,335.17,277.00,149.58,3286341661613,5,4011400000,0,1,<p><strong>Battlax HYPERSPORT S22</strong></p><p>Un nuevo y apasionante producto que te permitirá experimentar como nunca antes todo el potencial de tu moto en carretera:</p><p>- Nuevos compuestos en 3 y 5 capas (3LC y 5LC).</p><p>- Mejor rendimiento en todas las áreas.</p><p>- Tiempo de vuelta en mojado un 5% más rápido.</p><p>- Velocidad en curvas en seco un 15% superior.</p><p>  <br></p>,"
Battlax HYPERSPORT S22
Un nuevo y apasionante producto que te permitirá experimentar como nunca antes todo el potencial de tu moto en carretera:
- Nuevos compuestos en 3 y 5 capas (3LC y 5LC).
- Mejor rendimiento en todas las áreas.
- Tiempo de vuelta en mojado un 5% más rápido.
- Velocidad en curvas en seco un 15% superior.
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,87120,7200,660,660,200,55,200,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,78,(W) > 270 km/h,,BATTLAX S22,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000218-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTI2OTR8aW1hZ2UvanBlZ3xhRFkyTDJnMU15ODRPVFExTlRFek1UWTRPVEkyTHprd01EQXlNVGd0TVY4NE1EQlhlRGd3TUVnfGRmMTI3MDUxMjY0YmU1NTQ3ZWY0YmYyZGE4NmUyZTEzODUzZGI2YjU0MDk3NGI0ODE2ZTQ5MmIyNWJkYmZiZDA,https://api.mybihr.com/medias/9000218-2-800Wx800H?context=bWFzdGVyfHJvb3R8NTgwNjZ8aW1hZ2UvanBlZ3xhRE0yTDJnMVlTODRPVFExTlRFek16WTFOVE0wTHprd01EQXlNVGd0TWw4NE1EQlhlRGd3TUVnfDMwNjQ3MWI2OGY5OTRkMWI0ZjQ3NWFhMWY5M2JiZDY3YTk4MjcxZDU4MDAzNWU5YzA3N2Q0ZjM2NDM5NjYxNWU,https://api.mybihr.com/medias/9000218-3-800Wx800H?context=bWFzdGVyfHJvb3R8MzkwNDF8aW1hZ2UvanBlZ3xhREEzTDJnMk1TODRPVFExTlRFek5UWXlNVFF5THprd01EQXlNVGd0TTE4NE1EQlhlRGd3TUVnfDRhYzNmM2VmMTM2ODQ2M2MzYWMwNmM1ZGZkZjFhMDcxOTE2MTljMmFiMzdkNmY1MDNiYjM1NDczMmZiZThkM2I,https://static.bihr.pro/eBihr/Pictures/BRIDGESTONE-pictures.zip,https://api.mybihr.com/medias/Bridgestone-ne-fait-aucun-compromis-S22-FR.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyOTA3MzJ8YXBwbGljYXRpb24vcGRmfGFEZG1MMmhtT0M4NU1EUXpOekEzTkRZeE5qWXlMMEp5YVdSblpYTjBiMjVsSUc1bElHWmhhWFFnWVhWamRXNGdZMjl0Y0hKdmJXbHpYMU15TWw5R1VnfDdiZWIwOWIxOWUzM2Y0NGY1MmRiYWYyM2Q3MjAzMTEwYmMxMjU3ZjQzODIwODUyNmMyYjg5NTNhZjczZmM4NDc,https://api.mybihr.com/medias/BS-presentation-MC-S22-FR.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyNjUzNzYzfGFwcGxpY2F0aW9uL3BkZnxhRGd4TDJneFpTODVNRFF6TnpreE5qYzFOREl5TDBKVFgzQnlaWE5sYm5SaGRHbHZibDlOUTE5VE1qSmZSbEl8NjBmMzM3MTczZjllNDcxMzNiNzljYzZhMjVlNDgyYTdlMDEwYTg1YjE5Y2NiNDY0ODUwYzk0NGFmMWIyM2VjMA,Spain Warehouse (Tires)
