PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),[Guardapolvo] Altura 1 (mm),[Guardapolvo] Altura 2 (mm),[Guardapolvo] Diámetro exterior (Ømm),[Guardapolvo] Diámetro interior (Ømm),[Retén] Altura 1 (mm),[Retén] Altura 2 (mm),[Retén] Diámetro exterior (Ømm),[Retén] Diámetro interior (Ømm),Altura (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Embalaje,Referencias OEM,Tipo de producto,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,Document1,Document2,Document3,DeliveryPlant
1003183,63921,574A851TG/A,CENTAURO,CENTA GASKET TOP ENGINE SET,Kit de juntas parte baja motor DUCATI 906 1989-91 574A851TG/A,37.34,30.86,20.06,574A851TG/A,2,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,4269,180,465,340,27,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1003183-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjg2ODN8aW1hZ2UvanBlZ3xhREZoTDJobU1DODRPVEF3T1RnME56WTJORGswTHpFd01ETXhPRE10TVY4NE1EQlhlRGd3TUVnfGU5NTVmNDg1NTFmMDZkOTk2ZmRmOWM4MGQwM2VhZWQ2MjZkNDBmZDZhNDAwYzg0ZTFiMzgyMzcxZjVkYTQxOTQ,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1003104,65008,990A092TP,CENTAURO,CENTA GASKET TOP ENGINE,Kit de juntas parte alta CENTAURO,120.47,99.56,64.71,8430525650084,0,8484900090,0,1,<p>Sets de parte alta que incluyen todo lo que necesitas para el reensamblaje de cilindros y culatas</p>,"
Sets de parte alta que incluyen todo lo que necesitas para el reensamblaje de cilindros y culatas",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,764,140,221,182,19,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1003104-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwODZ8aW1hZ2UvanBlZ3xhRGN5TDJneE5pODRPRFUwT0RrME1qRTFNVGs0THpFd01ETXhNRFF0TVY4NE1EQlhlRGd3TUVnfGI3NzhhOWIzYjE1ZGVjM2JkMjBmZGI2NDYyOTY3MjBiM2YxNWM3YzYyYzA1NTc0ZjU0NmU4MDMzNmZkYTBmMGU,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1000612,63614,990B17086,CENTAURO,CENTA GASKET CLUTCH,Junta de cárter de embrague CENTAURO,23.35,19.30,12.55,8430525636149,2,8484900090,0,1,"<p>Las juntas de motor Centauro est&aacute;n pensadas para el reacondicionamiento, y son una garant&iacute;a de fiabilidad a largo plazo. Muchos fabricantes las utilizan como equipamiento original. </p>
<ul>
<li>Junta de c&aacute;rter de embrague.</li>
<li>Para un aislamiento garantizado.</li>
</ul>","
Las juntas de motor Centauro están pensadas para el reacondicionamiento, y son una garantía de fiabilidad a largo plazo. Muchos fabricantes las utilizan como equipamiento original. 

Junta de cárter de embrague.
Para un aislamiento garantizado.
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,783,82,351,248,9,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000612-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY2Nzh8aW1hZ2UvanBlZ3xhR05qTDJoak5TODRPVFE0T1RReU5qWTNPREEyTHpFd01EQTJNVEl0TVY4NE1EQlhlRGd3TUVnfDlmYTFmNzE1ZTQ3OTUyNzI2NDk3Yzk2YTU4ZjY5N2Y5MDAwNTE2YTdmOGU5NmRhMjVhNTYxMTU2ZjA3YTYwMDk,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1001100,62617,933B02040,CENTAURO,CENTA GASKET CYLINDER HEAD COVER,Junta de tapa de balancines CENTAURO,5.99,4.95,3.22,8430525626171,3,8484900090,0,1,"<p align=justify>Centauro, European manufacturer, offers a wide range of seal kits for all European and Japanese motorcycle.</p>","
Centauro, European manufacturer, offers a wide range of seal kits for all European and Japanese motorcycle.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,81,100,143,63,9,,,,,,,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1000613,63535,990B17097,CENTAURO,CENTA GASKET CLUTCH,Junta de cárter de embrague CENTAURO,23.35,19.30,12.55,8430525635357,0,8484900090,0,1,"<p>Las juntas de motor Centauro est&aacute;n pensadas para el reacondicionamiento, y son una garant&iacute;a de fiabilidad a largo plazo. Muchos fabricantes las utilizan como equipamiento original. </p>
<ul>
<li>Junta de c&aacute;rter de embrague.</li>
<li>Para un aislamiento garantizado.</li>
</ul>","
Las juntas de motor Centauro están pensadas para el reacondicionamiento, y son una garantía de fiabilidad a largo plazo. Muchos fabricantes las utilizan como equipamiento original. 

Junta de cárter de embrague.
Para un aislamiento garantizado.
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,795,84,356,248,9,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000613-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY2Nzh8aW1hZ2UvanBlZ3xhREF6TDJnNU5pODRPVEF4TkRnd09EUXhNalEyTHpFd01EQTJNVE10TVY4NE1EQlhlRGd3TUVnfDc0Njg0NTA0ZDg5NmFhMjhiNTdiNWM3NjNhYTBmZTY4MDg5NTc3NTc5NDdjYjJmY2ZlYzNkN2E4ZGVhMmYzM2M,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1000614,63334,990B17102,CENTAURO,CENTA GASKET CLUTCH,Junta de cárter de embrague CENTAURO,19.64,16.23,10.55,990B17102,1,8484900090,0,1,"<p>Las juntas de motor Centauro est&aacute;n pensadas para el reacondicionamiento, y son una garant&iacute;a de fiabilidad a largo plazo. Muchos fabricantes las utilizan como equipamiento original. </p>
<ul>
<li>Junta de c&aacute;rter de embrague.</li>
<li>Para un aislamiento garantizado.</li>
</ul>","
Las juntas de motor Centauro están pensadas para el reacondicionamiento, y son una garantía de fiabilidad a largo plazo. Muchos fabricantes las utilizan como equipamiento original. 

Junta de cárter de embrague.
Para un aislamiento garantizado.
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,594,86,345,246,7,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000614-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzUyOTh8aW1hZ2UvanBlZ3xhRGhpTDJnMk1TODRPRFV6T1RjME9ERXdOalUwTHpFd01EQTJNVFF0TVY4NE1EQlhlRGd3TUVnfDk5MTA4ZTkwZDM1N2FkOWY4NjY2Yzc3Y2NkNjRiNjAwMzZmZGMyYTNkNzQ5NGNjZDNhMzMwNWZkMGM1NzljNTc,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1002607,63939,722A120TP,CENTAURO,CENTA GASKET TOP ENGINE,Kit de juntas parte alta CENTAURO,38.33,31.68,20.59,8059772724159,2,8484900090,0,1,<p>Sets de parte alta que incluyen todo lo que necesitas para el reensamblaje de cilindros y culatas</p>,"
Sets de parte alta que incluyen todo lo que necesitas para el reensamblaje de cilindros y culatas",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,204,55,149,152,9,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1002607-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhRGhtTDJnMFl5ODRPVEE0TlRNMk5ERTBNak00THpFd01ESTJNRGN0TVY4NE1EQlhlRGd3TUVnfDFhY2MyNzYyYzQzMWQzM2QyZjU2ZjZjM2Q2N2RhYmJmODlmMzczZmQzOGJmODk2NzQ4OTQ5YmYwMTIzNWY4OTY,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1001103,63042,411B02001,CENTAURO,CENTA GASKET CYLINDER HEAD COVER,Junta de tapa de balancines CENTAURO,18.71,15.46,10.05,8430525630420,2,8484900090,0,1,<p>Centauro engine gaskets are designed for reconditioning and are a guarantee of long-term reliability. There are used as original fit by several manufacturers.</p> <ul> 	<li>Cylinder head gasket</li> 	<li>Supplied as a single unit</li> </ul>,"
Centauro engine gaskets are designed for reconditioning and are a guarantee of long-term reliability. There are used as original fit by several manufacturers.  	Cylinder head gasket 	Supplied as a single unit ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,538,57,299,200,9,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1001103-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI1NzE5fGltYWdlL2pwZWd8YUdZMEwyaGtPUzg0T1RJME1URXlPVEV5TkRFMEx6RXdNREV4TURNdE1WODRNREJYZURnd01FZ3wyODM0OTRjMTJhZjFhMjIxMWVhOWNmY2I0YmZjMmQ4ZDk1M2RkNGQ1YWNjYjA5NGFmMTFhMWRkYTgwZTUxM2Mw,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1000658,62714,666B17022,CENTAURO,CENTA GASKET CLUTCH,Junta de cárter de embrague CENTAURO,10.68,8.83,5.74,8430525627147,0,8484900090,0,1,"<p>Las juntas de motor Centauro est&aacute;n pensadas para el reacondicionamiento, y son una garant&iacute;a de fiabilidad a largo plazo. Muchos fabricantes las utilizan como equipamiento original. </p>
<ul>
<li>Junta de c&aacute;rter de embrague.</li>
<li>Para un aislamiento garantizado.</li>
</ul>","
Las juntas de motor Centauro están pensadas para el reacondicionamiento, y son una garantía de fiabilidad a largo plazo. Muchos fabricantes las utilizan como equipamiento original. 

Junta de cárter de embrague.
Para un aislamiento garantizado.
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1198,50,298,201,20,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000658-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY2OTJ8aW1hZ2UvanBlZ3xhRGxpTDJnME55ODRPVEF4TkRneE1ETTNPRFUwTHpFd01EQTJOVGd0TVY4NE1EQlhlRGd3TUVnfDkxMDQyYjAzZjRmMmRjOGE5YTlkNWIyYmRjMjAyMWRiM2Q0NmMzN2YxNjU0YmRkNjE0NDI3NTI5NjJhMTgyNjQ,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1000659,62708,666B17014,CENTAURO,CENTA GASKET CLUTCH,Junta de cárter de embrague CENTAURO,17.01,14.06,9.14,8430525627086,0,8484900090,0,1,"<p>Las juntas de motor Centauro est&aacute;n pensadas para el reacondicionamiento, y son una garant&iacute;a de fiabilidad a largo plazo. Muchos fabricantes las utilizan como equipamiento original. </p>
<ul>
<li>Junta de c&aacute;rter de embrague.</li>
<li>Para un aislamiento garantizado.</li>
</ul>","
Las juntas de motor Centauro están pensadas para el reacondicionamiento, y son una garantía de fiabilidad a largo plazo. Muchos fabricantes las utilizan como equipamiento original. 

Junta de cárter de embrague.
Para un aislamiento garantizado.
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1707,70,347,246,20,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000659-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY2OTJ8aW1hZ2UvanBlZ3xhREV4TDJoa09DODRPVFV5T1RRek1qUTNNemt3THpFd01EQTJOVGt0TVY4NE1EQlhlRGd3TUVnfDNmZTc5ODdkNTI2YjZiMzU5ODVkNDhmNWI2NjBjOTcxMDZlOTgxN2QzMDhiMzk3MGVhMjFlNzNjNzA4MGFjMzQ,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
