PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Composición,Compresión de pistón,Diámetro Ø (mm),Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,Picture9,Picture10,Picture11,Picture12,AllPicturesZIP,DeliveryPlant
1019381,,21005-G01,CYLINDER WORKS,CYLWK GASKET TOP ENGINE SET,Kit juntas de cilindro CYLINDER WORKS,114.12,94.31,61.30,21005-G01,0,8714109090,0,1,FOR CYLINDER WORKS CYLINDER,FOR CYLINDER WORKS CYLINDER,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,384,74,178,154,14,,,,https://api.mybihr.com/medias/1019381-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzA2Nzh8aW1hZ2UvanBlZ3xhR1l5TDJnM05DODRPVE0wT0RRMk5UWXlNek0wTHpFd01Ua3pPREV0TVY4NE1EQlhlRGd3TUVnfGE0ZjhkZDg2YWU2ZTJiY2M2ZTQ0ODUxNTZjYzM0YWQzNDQzYTUzYmM2MWRiYjcyZDBhNmM2MzkyNmNhODg2ZTE,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CYLINDER_WORKS-pictures.zip,Spain Warehouse (Parts)
1019388,,31011-G01,CYLINDER WORKS,CYLWK GASKET TOP ENGINE SET,Kit juntas de cilindro CYLINDER WORKS,100.74,83.26,54.12,31011-G01,0,8714109090,0,1,<ul> <li>Top end spare gasket </li> <li>469cc - 98mm</li></ul>," Top end spare gasket  469cc - 98mm",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,247,73,178,154,9,,,,https://api.mybihr.com/medias/1019388-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDU0Mjd8aW1hZ2UvanBlZ3xhR0ZsTDJnM1lpODRPVE0wT0RRMk56VTRPVFF5THpFd01Ua3pPRGd0TVY4NE1EQlhlRGd3TUVnfGJiMTUzMTYzNTJkNTE3MzljZTliYzk2NTAxZWYxYTZiZjUwZjhhZTc5NmY1YmEwOGQxOWFjMDgzNTFlMDVkOTM,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CYLINDER_WORKS-pictures.zip,Spain Warehouse (Parts)
1117543,,CW20014K01HC,CYLINDER WORKS,CYLWK TOP ENGINE KIT HC,Kit cilindro completo CYLINDER WORKS alta compresión,732.24,605.16,393.35,8-CW20014K01HC,1,8714109090,0,1,"<p><strong>Especificaciones</strong></p>
<ul>
<li>Utiliza el pist&oacute;n Vertex #24449</li>
<li><strong>Relaci&oacute;n de compresi&oacute;n:</strong> 13.8:1</li>
<li><strong>Di&aacute;metro del cilindro:</strong> 97 mm</li>
<li><strong>Tipo de kit de cilindro:</strong> Di&aacute;metro est&aacute;ndar alta compresi&oacute;n</li>
<li><strong>Cilindrada:</strong>&nbsp;450 cc</li>
<li><strong>Tipo de motor:</strong> 4&nbsp;Tiempos</li>
<li><strong>Incluye:</strong> Cilindro, kit de pist&oacute;n y kit de juntas de la parte superior</li>
</ul>","
Especificaciones

Utiliza el pistón Vertex #24449
Relación de compresión: 13.8:1
Diámetro del cilindro: 97 mm
Tipo de kit de cilindro: Diámetro estándar alta compresión
Cilindrada: 450 cc
Tipo de motor: 4 Tiempos
Incluye: Cilindro, kit de pistón y kit de juntas de la parte superior
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,10382,2030,286,220,165,Aluminio,Alta compresión,,https://api.mybihr.com/medias/1117543-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzE0OTV8aW1hZ2UvanBlZ3xhRGd5TDJobVlTOHlOalkyTVRrME9UZ3dNRFEzT0M4eE1URTNOVFF6TFRGZk9EQXdWM2c0TURCSXwzODMyZDY1MmJlN2Y0ZDFlNmM1ZTE1ZDlmZGM2NTExM2Y4NjljNzhmMmZmZjUyNGE0ODY2NmVlNjc4NjJjNTIx,https://api.mybihr.com/medias/1117543-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTM2MzEwfGltYWdlL2pwZWd8YUdObEwyZ3dOQzh5TmpZMk1UazFNREU1TXpZNU5DOHhNVEUzTlRRekxUSmZPREF3VjNnNE1EQkl8M2EwZGJhYzQxY2E3MWY2YzI0MGRhMjA2NDQwODJkNGFhMDlkOThhYjA2NjU4NDM5ZWQ0MGFjOWMyNjI2NTZkNg,https://api.mybihr.com/medias/1117543-3-800Wx800H?context=bWFzdGVyfHJvb3R8MTUxMDY4fGltYWdlL2pwZWd8YUdKbUwyZ3dPQzh5TmpZMk1UazFNRFU0TmpreE1DOHhNVEUzTlRRekxUTmZPREF3VjNnNE1EQkl8NmRhYjdiMGY2ODdmOTAwZDgzYTdkM2U2NGNjYjU4NDlhMmMzYjRmMWY4MzQwZTdmZjQ3NjgyYWU5Y2MyMjdhMg,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CYLINDER_WORKS-pictures.zip,France Warehouse (Parts)
1123438,,CW21013G01,CYLINDER WORKS,"CYLWK TOP END GASKET 80, 00 MM",Kit de juntas parte alta CYLINDER WORKS Big Bore,103.99,85.94,51.56,CW21013G01,1,8714109090,0,1,"<p>Kit de juntas parte alta de motor para cilindro de gran diámetro Ø80mm.</p>
<ul>
	<li>Incluye junta de culata, junta de base de cilindro, junta de escape y junta del tensor de la cadena de distribución.</li>
</ul>","
Kit de juntas parte alta de motor para cilindro de gran diámetro Ø80mm.

	Incluye junta de culata, junta de base de cilindro, junta de escape y junta del tensor de la cadena de distribución.
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,382,101,236,162,10,,,,https://api.mybihr.com/medias/800Wx800H-1123438-1.jpg?context=bWFzdGVyfHJvb3R8NTMyNTV8aW1hZ2UvanBlZ3xhRE5rTDJnMU9DODBOVFE1TURFMk5EUTJOVFk1TkM4NE1EQlhlRGd3TUVoZk1URXlNelF6T0MweExtcHdad3wwMGEzZTY3NzcyMWMxZmU5Y2Y3NmZjMjQ0ZWUyOTEyNzY0OTcwNzliZWY3ZTg1NDUyYzMyZDBlZTNhOThjZmFj,https://api.mybihr.com/medias/800Wx800H-1123438-2.jpg?context=bWFzdGVyfHJvb3R8NjU4NDd8aW1hZ2UvanBlZ3xhR05oTDJnMk5TODBOVFE1TURFMk5EZzFPRGt4TUM4NE1EQlhlRGd3TUVoZk1URXlNelF6T0MweUxtcHdad3xjOWFjZDY5MTViNzI3YWM5MzFhNzVlZDk3M2VhNTRhOWI0NjhjMmQ0ZTYwOTIzMmVjNGNiMjUwYTJlYTJlMDVi,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CYLINDER_WORKS-pictures.zip,Spain Warehouse (Parts)
1121673,,CW10011K03HC,CYLINDER WORKS,CYLWK TOP ENGINE KIT HC,Kit de cilindro CYLINDER WORKS - Ø79mm,622.19,514.21,334.24,8-CW10011K03HC,3,8714109090,0,1,"<p>Kit de cilindro Cylinder Works de diámetro estándar y alta compresión.</p>
<p>Para los modelos CRF 250 R (22-23); CRF 250 RX (22-23).</p>
<ul>
	<li>Relación de compresión: 14.4:1</li>
	<li>Diámetro del cilindro: 79 mm</li>
	<li>Tipo de kit de cilindro: Diámetro estándar y alta compresión</li>
	<li>Cilindrada: 250 cc</li>
	<li>Tipo de motor: 4 tiempos</li>
	<li>Incluye: Cilindro, pistón&nbsp;y juntas de culata</li>
</ul>","
Kit de cilindro Cylinder Works de diámetro estándar y alta compresión.

Para los modelos CRF 250 R (22-23); CRF 250 RX (22-23).

	Relación de compresión: 14.4:1
	Diámetro del cilindro: 79 mm
	Tipo de kit de cilindro: Diámetro estándar y alta compresión
	Cilindrada: 250 cc
	Tipo de motor: 4 tiempos
	Incluye: Cilindro, pistón y juntas de culata
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,10725,1513,287,216,173,Aluminio,Alta compresión,,https://api.mybihr.com/medias/800Wx800H-1121673-1.jpg?context=bWFzdGVyfHJvb3R8NTQzMzd8aW1hZ2UvanBlZ3xhR0l5TDJnNU55OHpNakUwTnpZNE5qUXlORFl3Tmk4NE1EQlhlRGd3TUVoZk1URXlNVFkzTXkweExtcHdad3wyMTJiNTc4ZGNlMjM0ZGUzODhlMGU2NjIwNWIzNzc1MGY4YTM5NTMxMjQzNjYxY2Y3MGY3Y2QxMGE3ODAyZWVm,https://api.mybihr.com/medias/800Wx800H-1121673-2.jpg?context=bWFzdGVyfHJvb3R8OTc5ODd8aW1hZ2UvanBlZ3xhRFF3TDJoaE5TOHpNakUwTnpZNE5qZ3hOemd5TWk4NE1EQlhlRGd3TUVoZk1URXlNVFkzTXkweUxtcHdad3wzYjUwYTRiN2FiYmVmMjI4NDAxNzhiYjA2MDVkMTc3ODdmMzVlOTk5YTI4OTZkNWFmOGUwZjNiYzgwZjQ5Mzc3,https://api.mybihr.com/medias/800Wx800H-1121673-3.jpg?context=bWFzdGVyfHJvb3R8MTExNzM4fGltYWdlL2pwZWd8YURoakwyaG1ZUzh6TWpFME56WTROekl4TVRBek9DODRNREJYZURnd01FaGZNVEV5TVRZM015MHpMbXB3Wnd8NDE4ZmQ1MWI4MGZkZDc4MThiNGI2ZjcxMGNlOTFkNWJjNjEwYjJjNTA5MzJjODZkNjBiODM1OTJlYmU2NTNmYw,https://api.mybihr.com/medias/800Wx800H-1121673-4.jpg?context=bWFzdGVyfHJvb3R8MTM0NTc1fGltYWdlL2pwZWd8YUdVMUwyaG1OeTh6TWpFME56WTROell3TkRJMU5DODRNREJYZURnd01FaGZNVEV5TVRZM015MDBMbXB3Wnd8OTRhMWZhZDE1ODk3NDY3YzhjOTlmMWUzMjg3ZDYzMTZlZmM1YjYxY2JlZDkzOGFmMzJhYWZhMGIwMmYzODU2YQ,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CYLINDER_WORKS-pictures.zip,France Warehouse (Parts)
1117538,,60004-K02,CYLINDER WORKS,CYLWK TOP ENGINE KIT HC,Kit cilindro completo CYLINDER WORKS - Polaris,1083.06,895.09,581.81,60004-K02,2,8714109090,0,1,"<p><strong>Especificaciones</strong></p>
<ul>
<li>Utiliza el pist&oacute;n Vertex #24398</li>
<li><strong>Relaci&oacute;n de compresi&oacute;n:</strong> 10.5:1</li>
<li><strong>Di&aacute;metro del cilindro:</strong>&nbsp;93 mm</li>
<li><strong>Tipo de kit de cilindros:</strong>&nbsp;Di&aacute;metro est&aacute;ndar</li>
<li><strong>Cilindrada:</strong>&nbsp;875 cc</li>
<li><strong>Tipo de motor:</strong> 4&nbsp;Tiempos</li>
<li><strong>Incluye:</strong> Cilindro, kits de pistones y kit de juntas de la parte superior</li>
</ul>","
Especificaciones

Utiliza el pistón Vertex #24398
Relación de compresión: 10.5:1
Diámetro del cilindro: 93 mm
Tipo de kit de cilindros: Diámetro estándar
Cilindrada: 875 cc
Tipo de motor: 4 Tiempos
Incluye: Cilindro, kits de pistones y kit de juntas de la parte superior
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,18332,4378,383,248,193,Aluminio,Estándar,,https://api.mybihr.com/medias/1117538-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjQ5MjR8aW1hZ2UvanBlZ3xhRFpoTDJobFlTOHlOalkyTVRrME5EZzROVEkzT0M4eE1URTNOVE00TFRGZk9EQXdWM2c0TURCSXxiYmUyOWQ1ZWE4NzBhY2I5MjVjMWY2OThmOTA4OWYyOGM4MWUxNTExMmQ3ZjVhN2M2NGMyZGMxOGE3ZDYwOTgw,https://api.mybihr.com/medias/1117538-2-800Wx800H?context=bWFzdGVyfHJvb3R8NzA3ODF8aW1hZ2UvanBlZ3xhRFZqTDJoak1DOHlOalkyTVRrME5USTNPRFE1TkM4eE1URTNOVE00TFRKZk9EQXdWM2c0TURCSXw0MGRhNDcxMTg0ZTJiMDcwZDgzZDlhNzIxMzRmOTIxZmZlMzMzYzM4ZWM4ZjA4YjFhNTc5OGU0ZmNiNzM4N2I3,https://api.mybihr.com/medias/1117538-3-800Wx800H?context=bWFzdGVyfHJvb3R8NTMzMzZ8aW1hZ2UvanBlZ3xhR0pqTDJoaU1pOHlOalkyTVRrME5UWTNNVGN4TUM4eE1URTNOVE00TFROZk9EQXdWM2c0TURCSXw2Yzc5ZDNiYzA0ZGU0ZWIwOGU0NTVjZDAwMjM0YTg1MDE4YmE3OTdlZGM5YzJiOWQyMTk0MjQxMjcxNTEyY2Rk,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CYLINDER_WORKS-pictures.zip,France Warehouse (Parts)
1117540,,60006-K02,CYLINDER WORKS,CYLWK TOP ENGINE KIT HC,Kit cilindro completo CYLINDER WORKS - Polaris,1083.06,895.09,581.81,60006-K02,2,8714109090,0,1,"<p><strong>Especificaciones</strong></p>
<ul>
<li>Se utiliza con el tensor Polaris #3023143</li>
<li>Utiliza el pist&oacute;n Vertex #24398</li>
<li><strong>Relaci&oacute;n de compresi&oacute;n:</strong> 11,0:1</li>
<li><strong>Di&aacute;metro del cilindro:</strong> 93 mm</li>
<li><strong>Tipo de kit de cilindros:</strong> Di&aacute;metro est&aacute;ndar</li>
<li><strong>Cilindrada:</strong> 999 cc</li>
<li><strong>Tipo de motor:</strong> 4 Tiempos</li>
<li><strong>Incluye:</strong> Cilindro, kits de pistones y kit de juntas de la parte superior</li>
</ul>","
Especificaciones

Se utiliza con el tensor Polaris #3023143
Utiliza el pistón Vertex #24398
Relación de compresión: 11,0:1
Diámetro del cilindro: 93 mm
Tipo de kit de cilindros: Diámetro estándar
Cilindrada: 999 cc
Tipo de motor: 4 Tiempos
Incluye: Cilindro, kits de pistones y kit de juntas de la parte superior
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,18957,4392,374,256,198,Aluminio,Estándar,,https://api.mybihr.com/medias/1117540-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjcxMTR8aW1hZ2UvanBlZ3xhR1kxTDJnMFppOHlOalkyTVRrME5qUTFPREUwTWk4eE1URTNOVFF3TFRGZk9EQXdWM2c0TURCSXwzYmIwY2FmMzI5Yjc2M2RkYWVjMmM4OTg2ZTU5NGIwYjEzMjdmMTY0NTkzMmUwOWU3NWE3N2YzYWQxMGExN2M2,https://api.mybihr.com/medias/1117540-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTQxNTd8aW1hZ2UvanBlZ3xhRFUwTDJnME1pOHlOalkyTVRrME5qZzFNVE0xT0M4eE1URTNOVFF3TFRKZk9EQXdWM2c0TURCSXwwMzRkOWI1OTU3OTFmN2NhOWE1MzY4OGRhNjM2OGYwM2RiM2U2MWMzMDQ5MTI3NzQ1OTk1YTFlMjUxOThmNmQ1,https://api.mybihr.com/medias/1117540-3-800Wx800H?context=bWFzdGVyfHJvb3R8OTE3MjB8aW1hZ2UvanBlZ3xhR1UwTDJneE1pOHlOalkyTVRrME56STBORFUzTkM4eE1URTNOVFF3TFROZk9EQXdWM2c0TURCSXwzMGViMWJhYTZjYjc2NjY1ZTZmNjIxYTlmMzI2N2Y5ZjRmZDRjZDcwMDI4OGY5MzA0MmY3MjI5OTNkOGYxZjE1,https://api.mybihr.com/medias/1117540-4-800Wx800H?context=bWFzdGVyfHJvb3R8NTk0MDh8aW1hZ2UvanBlZ3xhRGN4TDJneU1DOHlOalkyTVRrME56WXpOemM1TUM4eE1URTNOVFF3TFRSZk9EQXdWM2c0TURCSXxkNGJkYjQxZWM1MjU3OTk0OGE0ZjM0YTZkMDEzMTdlNzMyNzNjY2YxNTM4NTI0OTQ1NGQ5ODRkYjQyMzljM2Fh,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CYLINDER_WORKS-pictures.zip,France Warehouse (Parts)
1117541,,CW40005K01HC,CYLINDER WORKS,CYLWK TOP ENGINE KIT HC,Kit cilindro completo CYLINDER WORKS alta compresión - Suzuki RM-Z 250,577.97,477.66,310.48,8-CW40005K01HC,1,8714109090,0,1,"<p><strong>Especificaciones</strong></p>
<ul>
<li>Utiliza el pist&oacute;n Vertex #24123</li>
<li><strong>Relaci&oacute;n de compresi&oacute;n:</strong> 14.2:1</li>
<li><strong>Di&aacute;metro del cilindro:</strong>&nbsp;77 mm</li>
<li><strong>Tipo de kit de cilindro:</strong> Di&aacute;metro est&aacute;ndar alta compresi&oacute;n</li>
<li><strong>Cilindrada:</strong>&nbsp;250 cc</li>
<li><strong>Tipo de motor:</strong> 4&nbsp;Tiempos</li>
<li><strong>Incluye:</strong> Cilindro, kit de pist&oacute;n y kit de juntas de la parte superior</li>
</ul>","
Especificaciones

Utiliza el pistón Vertex #24123
Relación de compresión: 14.2:1
Diámetro del cilindro: 77 mm
Tipo de kit de cilindro: Diámetro estándar alta compresión
Cilindrada: 250 cc
Tipo de motor: 4 Tiempos
Incluye: Cilindro, kit de pistón y kit de juntas de la parte superior
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,10628,1483,285,226,165,Aluminio,Alta compresión,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CYLINDER_WORKS-pictures.zip,France Warehouse (Parts)
1117539,,CW60007K02,CYLINDER WORKS,CYLWK TOP ENGINE KIT HC,Kit cilindro completo CYLINDER WORKS - Polaris,1089.69,900.57,585.37,CW60007K02,2,8714109090,0,1,"<p><strong>Especificaciones</strong></p>
<ul>
<li>Utiliza el pist&oacute;n Vertex #24398</li>
<li><strong>Relaci&oacute;n de compresi&oacute;n:</strong> 10.5:1</li>
<li><strong>Di&aacute;metro del cilindro:</strong>&nbsp;93 mm</li>
<li><strong>Tipo de kit de cilindros:</strong>&nbsp;Di&aacute;metro est&aacute;ndar</li>
<li><strong>Cilindrada:</strong>&nbsp;875 cc</li>
<li><strong>Tipo de motor:</strong> 4&nbsp;Tiempos</li>
<li><strong>Incluye:</strong> Cilindro, kits de pistones y kit de juntas de la parte superior</li>
</ul>","
Especificaciones

Utiliza el pistón Vertex #24398
Relación de compresión: 10.5:1
Diámetro del cilindro: 93 mm
Tipo de kit de cilindros: Diámetro estándar
Cilindrada: 875 cc
Tipo de motor: 4 Tiempos
Incluye: Cilindro, kits de pistones y kit de juntas de la parte superior
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,20405,4373,373,263,208,Aluminio,Estándar,,https://api.mybihr.com/medias/1117539-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODk2ODZ8aW1hZ2UvanBlZ3xhRGd6TDJnMVpDOHlOalkyTVRrME5qQTJORGt5Tmk4eE1URTNOVE01TFRGZk9EQXdWM2c0TURCSXxiZGRjMGI3M2U1MmNkZmI0YjEzOGYxYzg3ZWVjOTVkNDQ4NGZlYTlmMTQ5Y2ZlOTNhMjkxZjA0Njg2MjRjMGQ2,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CYLINDER_WORKS-pictures.zip,France Warehouse (Parts)
1117537,,CW10011K02HC,CYLINDER WORKS,CYLWK TOP ENGINE KIT HC,Kit cilindro completo CYLINDER WORKS alta compresión - Honda CRF 250,683.90,565.21,367.39,CW10011K02HC,2,8714109090,0,1,"<p><strong>Especificaciones</strong></p>
<ul>
<li>Utiliza el pist&oacute;n Vertex #24454</li>
<li><strong>Relaci&oacute;n de compresi&oacute;n:</strong> 14.4:1</li>
<li><strong>Di&aacute;metro del cilindro:</strong>&nbsp;79 mm</li>
<li><strong>Tipo de kit de cilindros:</strong>&nbsp;Di&aacute;metro est&aacute;ndar alta compresi&oacute;n</li>
<li><strong>Cilindrada:</strong>&nbsp;250 cc</li>
<li><strong>Tipo de motor:</strong> 4&nbsp;Tiempos</li>
<li><strong>Incluye:</strong> Cilindro, kit de pist&oacute;n y kit de juntas de la parte superior</li>
</ul>","
Especificaciones

Utiliza el pistón Vertex #24454
Relación de compresión: 14.4:1
Diámetro del cilindro: 79 mm
Tipo de kit de cilindros: Diámetro estándar alta compresión
Cilindrada: 250 cc
Tipo de motor: 4 Tiempos
Incluye: Cilindro, kit de pistón y kit de juntas de la parte superior
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,10215,1489,284,218,165,Aluminio,Alta compresión,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CYLINDER_WORKS-pictures.zip,France Warehouse (Parts)
