PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Embalaje,Referencias OEM,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,Document1,DeliveryPlant
1014981,830006,09356,DELL ORTO,DELLO CARBURETOR VHST 28,Carburador DELLORTO VHST 28,271.04,224.00,145.60,09356,0,8409910090,0,1,"<p>Versión para motos de trial.</p>
<p>El carburador VHST es el más compacto y eficiente de la gama Dellorto.</p>
<p>El resultado es un motor más vivo y con mayor capacidad de respuesta, con una entrega de potencia optimizada en todos los regímenes del motor, desde el ralentí hasta el acelerador a fondo.</p>
<p>DATOS TÉCNICOS</p>
<ul>
	<li>Diámetro de montaje del motor 36 mm</li>
	<li>Diámetro de entrada de aire 49 mm</li>
</ul>
","
Versión para motos de trial.

El carburador VHST es el más compacto y eficiente de la gama Dellorto.

El resultado es un motor más vivo y con mayor capacidad de respuesta, con una entrega de potencia optimizada en todos los regímenes del motor, desde el ralentí hasta el acelerador a fondo.

DATOS TÉCNICOS

	Diámetro de montaje del motor 36 mm
	Diámetro de entrada de aire 49 mm

",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2084,570,154,134,101,,,https://api.mybihr.com/medias/800Wx800H-1014981-1.jpg?context=bWFzdGVyfHJvb3R8NjMxNjF8aW1hZ2UvanBlZ3xhRGsyTDJnMFl5ODBPVE16TnpBeE1UY3pNalV4TUM4NE1EQlhlRGd3TUVoZk1UQXhORGs0TVMweExtcHdad3w1ZjRiMGQwMThkNDFjNGVhZDRjYWYyY2UwY2E1ZWFiZmMzNWJiMTc4MDBiMDhhMzNkY2I5MjdhN2M3ZGMwMjc5,https://api.mybihr.com/medias/800Wx800H-1014981-2.jpg?context=bWFzdGVyfHJvb3R8NjE5MTF8aW1hZ2UvanBlZ3xhR0V5TDJnd09DODBPVE16TnpBeE1qRXlOVGN5Tmk4NE1EQlhlRGd3TUVoZk1UQXhORGs0TVMweUxtcHdad3w2NDViMjM5MGYxNGMyNWZlYjliY2YxNzZkMWI3NTI1MGZlMWZjNzBiMjM5YWMxNjcyMzJmOTQxYzFlNTUxMDU0,https://api.mybihr.com/medias/800Wx800H-1014981-3.jpg?context=bWFzdGVyfHJvb3R8NTg2MjN8aW1hZ2UvanBlZ3xhREptTDJneE5pODBPVE16TnpBeE1qVXhPRGswTWk4NE1EQlhlRGd3TUVoZk1UQXhORGs0TVMwekxtcHdad3wyNzQwZDZmNDhkM2Y4YWU4N2JkZjM3OTQ0MjE0YWQ1YzRiMjdkNDA2M2UyZDNhMjVhODY2YzAyMzU3NTdlZTMz,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1014984,830343,06413_128,DELL ORTO,DELLO JET 6MM 128MM,Chiclé de alta DELLORTO PHBN/PHVA 128 (6mm),4.24,3.50,2.28,06413_128,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,5,20,20,20,,,https://api.mybihr.com/medias/1014984-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1ODV8aW1hZ2UvanBlZ3xhR0ZtTDJnMU9TODRPVFE0T1RVM05qUXlOemd5THpFd01UUTVPRFF0TVY4NE1EQlhlRGd3TUVnfGJiMThkZjdjNGE2ZWZiYzllYTQxYzExY2EzZTViNmQzMjU1Mjc0NmUxZDFiNzE2NTVmMTk0NWMxN2I3YzQxYzA,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015018,830328,1486.120,DELL ORTO,DELLO JET PHBG/SHA 120,Chiclé de alta DELLORTO PHBG/SHA 120 (5mm),3.27,2.70,1.76,1486.120,2,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,5,100,19,24,12,,,https://api.mybihr.com/medias/1015018-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMxMDN8aW1hZ2UvanBlZ3xhR0poTDJobU5TODRPRGN6TkRVMU9UYzJORGM0THpFd01UVXdNVGd0TVY4NE1EQlhlRGd3TUVnfDFhMzZkNGEyNzdjNDk0Njk2N2NlYzEzZjFhNTgzZTJkMzA1MGEyNGQ0OGVhZTRhZWYxYmMyOTBlYzFlY2QxNjU,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015019,830329,1486.122,DELL ORTO,DELLO JET PHBG/SHA 122,Chiclé de alta DELLORTO PHBG/SHA 122 (5mm),3.27,2.70,1.76,1486.122,3,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,100,27,19,15,,,https://api.mybihr.com/medias/1015019-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMxMDN8aW1hZ2UvanBlZ3xhRGs0TDJoak1TODRPRGN6TmpreU5qa3lOVEV3THpFd01UVXdNVGt0TVY4NE1EQlhlRGd3TUVnfGUyNjAzZDUzZTA0YWYyMjI5ZTRjYjY2OWFkYzZhNzQ5ZjIzZGJhM2RlMmM2ZDM0MDkzNzFhM2FiYzY2NTRkOGE,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015020,830330,1486.125,DELL ORTO,DELLO JET PHBG/SHA 125,Chiclé de alta DELLORTO PHBG/SHA 125 (5mm),3.27,2.70,1.76,1486.125,2,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,100,14,14,12,,,https://api.mybihr.com/medias/1015020-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMxMDN8aW1hZ2UvanBlZ3xhREl6TDJobE9DODRPRGN6TnpJek16WXpNelU0THpFd01UVXdNakF0TVY4NE1EQlhlRGd3TUVnfGRlNWEzOTFlYmU2ODgwNjQ5YzQ5NWMzNWMyZWJhOGFmYWQ3Y2NlMWJlN2I3MjVjNmE0OTAxODNhMzYxNDgyODc,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015006,830620,11600.32,DELL ORTO,DELLO JET PHBN/PHVA 32,Chiclé de baja DELLORTO PHBN/PHVA 32,3.15,2.60,1.69,11600.32,3,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,100,14,19,12,,,https://api.mybihr.com/medias/1015006-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMxMDN8aW1hZ2UvanBlZ3xhR0ZpTDJnNU1DODRPVEkyTXpjNE5ESTJNems0THpFd01UVXdNRFl0TVY4NE1EQlhlRGd3TUVnfGM5Y2NiNGYyNWI2MGFjYTgwYTgyMzMzMmE2OWRhYTgyMzRmNjJlYjBkYWViNzJjZjllMjljMGM0MzUwNTEzMjc,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015011,830321,1486.102,DELL ORTO,DELLO JET PHBG/SHA 102,Chiclé de alta DELLORTO PHBG/SHA 102 (5mm),3.27,2.70,1.76,1486.102,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,100,14,14,12,,,https://api.mybihr.com/medias/1015011-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMxMDN8aW1hZ2UvanBlZ3xhREEzTDJnM055ODRPRGN6TnpFeE9UWXdNRGswTHpFd01UVXdNVEV0TVY4NE1EQlhlRGd3TUVnfGQ1ZDZmMDA0YTEzNDM4YWRiMTk3MWUyOTQzMGJhMDI4ODY4Yzk5YjVjNjBkYjczZGI3YjNkNTA4NThhNmJlNmE,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015015,830325,1486.112,DELL ORTO,DELLO JET PHBG/SHA 112,Chiclé de alta DELLORTO PHBG/SHA 112 (5mm),3.27,2.70,1.76,1486.112,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,6,100,27,20,12,,,https://api.mybihr.com/medias/1015015-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMxMDN8aW1hZ2UvanBlZ3xhREU1TDJneFlTODRPVEkwTVRnd01UVXlNelV3THpFd01UVXdNVFV0TVY4NE1EQlhlRGd3TUVnfDdmZjZhZjJjMDgwZjVjNDUyOTQ3ZTg5NmViMzA3NDA3YWZhNWQxMDg5MjdmZGI5OWRiN2I0NjNkZDZmOGZmYmY,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015025,830304,1486.60,DELL ORTO,DELLO JET PHBG/SHA 60,Chiclé de alta DELLORTO PHBG/SHA 60 (5mm),3.27,2.70,1.76,1486.60,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,4,100,19,17,12,,,https://api.mybihr.com/medias/1015025-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMxMDN8aW1hZ2UvanBlZ3xhR1ZsTDJneU5pODRPRGN6TkRneU9URXhOemMwTHpFd01UVXdNalV0TVY4NE1EQlhlRGd3TUVnfDJmYzgxZTAyNTUxYTJiMTk4YjRiMzU4OTFmZTgxMWY4MjhmMzU1YmZlMGFmNmZjYmMyMWNkZTBhZDRjY2JmNzQ,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015056,830414,6413.100,DELL ORTO,DELLO JET PHBN/PHVA 100,Chiclé de alta DELLORTO PHBN/PHVA 100 (6mm),4.24,3.50,2.28,6413.100,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,2,14,15,12,,,https://api.mybihr.com/medias/1015056-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMxMDN8aW1hZ2UvanBlZ3xhR1UyTDJnM015ODRPVE0wT0RZeU56UTVOekkyTHpFd01UVXdOVFl0TVY4NE1EQlhlRGd3TUVnfDcyNmUyNzU1NWRkOTVhMzExMGQxNGIwMzA3MmNlYTZjNTE3NDU4MDI5OWUwMzcyOGUzNmUwMTY0MmIwNGQ5NDY,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
