PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,V-Colores,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (mm),Anchura (mm),Anchura de la zona de sujeción (mm),Apertura (mm),Barra transversal,Bloqueo,Color,Composición,Compuesto del puño,Diámetro Ø (mm),Elevación de manillar (mm),Gama,Longitud (mm),Longitud de control (mm),Tipo de puño,Uso,Picture1,Picture2,Picture3,AllPicturesZIP,Document1,Document2,DeliveryPlant
1025619,83559,0550.02.505,DOMINO,DOINO SPAREPARTS THROTTLE PULLEY,Polea de acelerador Domino Comandos 0550.02.505,2.24,1.85,1.11,8430525835597,9,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,5,12,30,26,7,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025619-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzU5NTV8aW1hZ2UvanBlZ3xhREUxTDJobE5TODRPRGN6T1RFNU5UYzRNVFF5THpFd01qVTJNVGt0TVY4NE1EQlhlRGd3TUVnfGFmNzRmYzEzODIwMjhhNTc0NmMxZTM5NGI0ODFmMDZiNzg0YjhlNjhhZWEwMzk1NWE5ZDM2NGRmZWU4YjQyMTg,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025696,83409,3747.03-00,DOMINO,DOINO THROTTLE TUBE,Acelerador con maneta Domino Piaggio 119mm 3747.03,21.78,18.00,10.80,8430525834095,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,1133,96,189,162,37,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025696-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk4MTV8aW1hZ2UvanBlZ3xhREEzTDJoaE9DODRPVFk1TkRjMk9UWTBNemd5THpFd01qVTJPVFl0TVY4NE1EQlhlRGd3TUVnfGIxNDc1OThhMjFlNDM1NWJkODRhMTY2Njc1NDU0OGZlZWI5NzRkOTU5ZDJjOTMyMjg2MDY0ODc4MTE5YmY3ZGU,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,https://api.mybihr.com/medias/872634.pdf?context=bWFzdGVyfGRvY3VtZW50c3w1OTAzMjJ8YXBwbGljYXRpb24vcGRmfGFETTBMMmc0TWk4NU1EUXpOalE0TVRnME16VXdMemczTWpZek5BfDNhY2Y5NGI0YTZjNTZmMzJhYmMzMmNmZWY0YzQ5Y2M0YjQ1ZGNiYWQ4Y2FlZjRmMTgxYmI5ZDU5MjA5ZDcwYzQ,,Spain Warehouse (Parts)
1025697,83408,3748.03-00,DOMINO,DOINO THROTTLE TUBE,Acelerador con maneta Domino Piaggio 112mm 3748.03,21.78,18.00,10.80,8430525834088,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,1488,94,170,175,50,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025697-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk4MTV8aW1hZ2UvanBlZ3xhRGhpTDJnMU9TODRPVFk1TkRjM01UWXdPVGt3THpFd01qVTJPVGN0TVY4NE1EQlhlRGd3TUVnfDZjODdmMjIxNjhkODBlOWQxNWY3ZGExZDY4MTliNjg1MTNjNWY5YWMwZGEwMTBiNWUwZGQ5MzMwMDZlZDQ5YzY,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,https://api.mybihr.com/medias/872633.pdf?context=bWFzdGVyfGRvY3VtZW50c3w1OTAzMjJ8YXBwbGljYXRpb24vcGRmfGFHVTNMMmcxWVM4NU1EUXpOalkyTmprNE1qY3dMemczTWpZek13fGUyYzUyYTgzMTAzZTRlNmRmY2Q4ZmI3YzMyYWNmMmM2ZTk3NDM1YjU0Y2EzZjE0OGVhYzhjM2QxNzBkNTllZjE,,Spain Warehouse (Parts)
1025701,872244,3759.03-00,DOMINO,DOINO THROTTLE TUBE,Acelerador Domino RIEJU RS1 PEUGEOT XR6,33.28,27.50,16.50,8033900029064,0,8714109090,0,1,<p>Se entrega con puños</p>,"
Se entrega con puños",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,1357,237,143,179,53,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025701-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTUwMjd8aW1hZ2UvanBlZ3xhRGN3TDJnelpTODRPVFk1TkRjM09UUTNOREl5THpFd01qVTNNREV0TVY4NE1EQlhlRGd3TUVnfDdkN2VmM2I1NTQ3MzQ5ZDAxNGFjNmZiMjdhMzQxMjA3NTQ1YjI0NjZmN2Q5ZDQwYjEzODgxMTczNjE5ZGQ5YWE,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025694,83410,3745.03-00,DOMINO,DOINO THROTTLE TUBE,Acelerador con maneta Domino Piaggio 124mm 3745.03,21.78,18.00,10.80,3745.03-00,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,1584,103,196,172,47,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025694-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk4MTV8aW1hZ2UvanBlZ3xhRGswTDJoaU5TODRPVFk1TkRjMk5UY3hNVFkyTHpFd01qVTJPVFF0TVY4NE1EQlhlRGd3TUVnfGI4OWFlOTc5NGM2ODNkNmQ2NjllMDEyY2RjNDZjN2UwMmJiOTQ2MzY4NWFlMmYyYjBlZDk3NDUzN2ZjZjI1NzA,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,https://api.mybihr.com/medias/872632.pdf?context=bWFzdGVyfGRvY3VtZW50c3w1OTAzMjJ8YXBwbGljYXRpb24vcGRmfGFEa3lMMmhsTnk4NU1EUXpOakkyTlRrd01qTTRMemczTWpZek1nfDg1NGI4MzZjZjQ0N2U0Y2VlYzYzYTFiOTQ5YTUxN2VhN2I1MzA0MzQxNmI0ODM4ODk4Njk5NWVhODM5YTI1MmE,,Spain Warehouse (Parts)
1025699,872245,3757.03-00,DOMINO,DOINO THROTTLE TUBE,"Acelerador Domino XP6, XPS 2003",35.30,29.17,17.50,8033900029040,1,8714109090,0,1,<p>Se entrega con puños</p>,"
Se entrega con puños",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,1488,217,161,154,60,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025699-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTc4OTl8aW1hZ2UvanBlZ3xhR1prTDJnMFlpODRPVFk1TkRjM05UVTBNakEyTHpFd01qVTJPVGt0TVY4NE1EQlhlRGd3TUVnfDEyMDMyM2NhMTlmNWUzMmZlNmE2YzU3ODc0N2JjZTkxYTk3MzRhZTg3YzdlNGEzNTQ4ZDMyZDM5ZThlNDUzYmE,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025727,875039,97.4643.04-00,DOMINO,DOINO THROTTLE TUBE,Caña de gas Domino para puño 872626 ET 872627,12.10,10.00,6.00,8033900006522,1,8714109090,0,1,<p>Para puños ref. 872626 y 872627</p>,"
Para puños ref. 872626 y 872627",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,628,72,236,76,35,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1025727-1.jpg?context=bWFzdGVyfHJvb3R8MzA0MDF8aW1hZ2UvanBlZ3xhRGxrTDJnM01TOHpNekV6TVRRMU56Z3dOak0yTmk4NE1EQlhlRGd3TUVoZk1UQXlOVGN5TnkweExtcHdad3wyMmJmMzI0MDdjODVmMjcyN2E5M2QxNTRmNjQ0ZjA2NzYyMTQwYjVhYTZhNzMxOTY5MTc0ODRjYTg1Mjg0ZjI5,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025706,870128,3985.03-00,DOMINO,DOINO THROTTLE TUBE,Acelerador Domino PIAGGIO 125 LIBERTY RST,27.83,23.00,13.80,8033900006607,4,8714109090,0,1,<p>Se entrega con puños derecho e izquierdo.</p>,"
Se entrega con puños derecho e izquierdo.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,934,112,171,91,60,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1025706-1.jpg?context=bWFzdGVyfHJvb3R8MTI2OTZ8aW1hZ2UvanBlZ3xhRGMxTDJoa055OHpNekV6TVRRMU5qazFORE01T0M4NE1EQlhlRGd3TUVoZk1UQXlOVGN3TmkweExtcHdad3wyOTkzZDBkOGUxODJkODkzMzc1MjJkYzVlODI0YjE2YmVjNTRkMWI2YmZhOGE0ZjQwMTIxMzI4NzNmM2U4YmM5,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025607,83450,0346.03-01,DOMINO,DOINO THROTTLE TUBE,Acelerador vintage cromado Domino Lario 0346.03 + puños,80.47,66.50,39.90,8033900014589,2,8714109090,0,1,Largo: 120mm,Largo: 120mm,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,2906,308,259,187,60,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025607-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODc1MDZ8aW1hZ2UvanBlZ3xhREkzTDJnNE1TODRPVFk1TkRZMk56UXdOelkyTHpFd01qVTJNRGN0TVY4NE1EQlhlRGd3TUVnfDFhN2M5NDA1OTM2NDk4NTRhM2M2ODRmNTU0MjRhYjM2ZmUzMTk1ZDE1YzQ2NmJjZmY5YmU2MzBlODIyZWE0NjY,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025631,870129,1242.03,DOMINO,DOINO THROTTLE TUBE,Acelerador Domino PIAGGIO 50 CIAO,45.98,38.00,22.80,1242.03,1,8714109090,0,1,<p>Se entrega con puños derecho e izquierdo.</p>,"
Se entrega con puños derecho e izquierdo.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,1602,261,215,149,50,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025631-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE0NTh8aW1hZ2UvanBlZ3xhRFkwTDJnME5DODRPVFk1TkRZNU5qZzVPRGcyTHpFd01qVTJNekV0TVY4NE1EQlhlRGd3TUVnfDM5OWU4NTdiODYxMmVmMTVlYTZjYjBjMmY1NDYxMTdjYzk0NzI4YWQwYjQ0MTcxZjI3ZDg5ZTNlN2Y5ZWI4ODA,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
