PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Cantidad de dientes,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),BCD (Mm),Color,Composición,Desplazamiento (mm),Dientes,Espesor (mm),Linea de cadena (Mm),Material de plato,Número de dientes de la corona,Número de dientes del piñón,Paso de cadena,Tipo,Tipo de corona,Tipo de piñón,Uso recomendado,Velocidades,Versión de corona,Versión de piñón,Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1077487003,41805,50-13013-13,ESJOT,"ESJOT FR SPROC 420 STEEL 13013, 13",Piñon ESJOT Acero 50-13013 13 dientes,5.99,4.95,1.49,4251516503240,1,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,13 dientes,,50,84,58,58,15,,,Acero,,,,,,,13,420,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1077487003-1.jpg?context=bWFzdGVyfHJvb3R8MTA0NDg4fGltYWdlL2pwZWd8YURFMEwyZ3dNQzg0TVRFNU1EVTJPREF3TVRVMk5pODRNREJYZURnd01FaGZNVEEzTnpRNE56QXdNeTB4TG1wd1p3fDExMDNlODZjMGMxOGRmNmJiYTFhZjVjOWY2MjVlMTZiMjYwOWY1ZmYyZjVhOWRlN2U1MTcxNDExYmQzMmIyZWQ,https://api.mybihr.com/medias/800Wx800H-1077487003-2.jpg?context=bWFzdGVyfHJvb3R8ODczMjh8aW1hZ2UvanBlZ3xhRFk1TDJnd055ODRNVEU1TURVMk9ESTJNemN4TUM4NE1EQlhlRGd3TUVoZk1UQTNOelE0TnpBd015MHlMbXB3Wnd8MjViOTk4ZmZjY2JlZGVmZTFmN2FiNzk1OWUyODkzY2QwNjFkNjg3MDFkZDQzNDAzMDgwMWRmN2I2ZjQxNDViNA,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1077487002,41807,50-13013-12,ESJOT,"ESJOT FR SPROC 420 STEEL 13013, 12",Piñon ESJOT Acero 50-13013 12 dientes,5.99,4.95,0.52,8430525418073,1,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,12 dientes,,161,68,60,84,32,,,Acero,,,,,,,,420,,,,,,,,https://api.mybihr.com/medias/1077487002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjU0MTd8aW1hZ2UvanBlZ3xhR1UyTDJnek5TOHhOVFF5TnpJMk5qRXhOelkyTWk4eE1EYzNORGczTURBeUxURmZPREF3VjNnNE1EQkl8M2U1YzE3MGU2MTM0OGFhY2M2NjBkOTMwNDA2N2JmOTM5MTU4NjkyY2E0ZjcyY2RmMWMxZGRlOTdjMjQ0YWYyMQ,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1077487001,41806,50-13013-11,ESJOT,"ESJOT FR SPROC 420 STEEL 13013, 11",Piñon ESJOT Acero 50-13013 11 dientes,5.99,4.95,3.22,8430525418066,1,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,11 dientes,,89,60,48,74,25,,,Acero,,,,,,,,420,,,,,,,,https://api.mybihr.com/medias/1077487001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjM5Njd8aW1hZ2UvanBlZ3xhRFV5TDJneFppOHhOVFF5TnpJMk5UY3lORFEwTmk4eE1EYzNORGczTURBeExURmZPREF3VjNnNE1EQkl8M2FmMjBjZTE2NzYzOWZiMWNkNGMzYjAzOTllYWM1NjExOTQ1M2Q5ZDBiYzliNGNkN2FjNmY4MWEwMjk0MDE5OQ,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1077489002,41804,50-13024-13,ESJOT,"ESJOT FR SPROC 420 STEEL 13024, 13",Piñon ESJOT Acero 50-13024 13 dientes,5.99,4.95,1.49,4251516503868,1,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,13 dientes,,66,86,96,57,12,,,Acero,,,,,,,,420,,,,,,,,https://api.mybihr.com/medias/1077489002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc2OTl8aW1hZ2UvanBlZ3xhRGxpTDJobFlpOHhOVFF5TnpJMk9EUTNOamsxT0M4eE1EYzNORGc1TURBeUxURmZPREF3VjNnNE1EQkl8MGFhNGVmMmVhNjljMDQ1NTI1OGJhZmQ4NzVlNDgzMzQ3Nzc1M2NlOGUzM2RiMjc2MWI5ZTEzOTg0N2JjMzg1Mg,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1077489001,41803,50-13024-12,ESJOT,"ESJOT FR SPROC 420 STEEL 13024, 12",Piñon ESJOT Acero 50-13024 12 dientes,5.99,4.95,1.49,4251516503851,2,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,12 dientes,,122,72,51,75,32,,,Acero,,,,,,,,420,,,,,,,,https://api.mybihr.com/medias/1077489001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDczNjR8aW1hZ2UvanBlZ3xhREk0TDJobU9TOHhOVFF5TnpJMk9EQTRNemMwTWk4eE1EYzNORGc1TURBeExURmZPREF3VjNnNE1EQkl8MTdiMTgwOTBmODhmMWU3M2U5YTcxMTE5NWNmZWU0YWUzY2U0ZDQ1OTBmM2I1NWRmZTAxYjhmNWU2NjQxNDUwZQ,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1077492002,48678,50-29018-16,ESJOT,"ESJOT FR SPROC 525 STEEL 29018, 16",Piñón ESJOT acero 50-29018 16 dientes,17.50,14.46,4.34,8430525486782,5,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,16 dientes,,121,250,88,86,16,,,Acero,,,,,,,16,525,,,,,,,Estándar,https://api.mybihr.com/medias/800Wx800H-1077492002-1.jpg?context=bWFzdGVyfHJvb3R8MjQ3Nzl8aW1hZ2UvanBlZ3xhREl5TDJnNE55ODJOalUwTXpFeE5qZzBOVEE0Tmk4NE1EQlhlRGd3TUVoZk1UQTNOelE1TWpBd01pMHhMbXB3Wnd8MWY1ZmUzYTI5NTI1ODhiOWZiMGU0ZmE3YTIzY2IyNWE5YjQ0Zjk5ZmY1Yzc4NjI5ODUwMzRmYjNlYjgxM2MwYQ,https://api.mybihr.com/medias/800Wx800H-1077492002-2.jpg?context=bWFzdGVyfHJvb3R8MjQ4NjF8aW1hZ2UvanBlZ3xhRFZrTDJoa09TODJOalUwTXpFeE56RTNNamMyTmk4NE1EQlhlRGd3TUVoZk1UQTNOelE1TWpBd01pMHlMbXB3Wnd8ZmIzMjcwY2MzMjE4MWMzMTE2ZTEzZWFjZjQ2MWFjNmNlYjNkODc3MzE0ZTZkZmJiOTAzMzg5YzZjNTljNWY3Zg,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1077510003,41875,50-32176-15,ESJOT,"ESJOT FR SPROC 520 STEEL 32176, 15",Piñon ESJOT Acero 50-32176 15 dientes,15.83,13.08,1.01,8430525418752,1,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,15 dientes,,163,174,107,80,19,,,Acero,,,,,,,,520,,,,,,,,https://api.mybihr.com/medias/1077510003-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTEwODN8aW1hZ2UvanBlZ3xhR1l4TDJneU9TOHhOVFF5TnpJNE5qRTNNVFkzT0M4eE1EYzNOVEV3TURBekxURmZPREF3VjNnNE1EQkl8ZTc3M2NjNmM0MDkxNGNkNjg5NDY5YjFmZjJmZGQxNzU5Mzg5NmFhYjJmYWEyYjBhZGJkMzQ3ZmMzYTgzNmYwZg,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1075589012,41930,51-32065-44BP,ESJOT,"ESJOT RR SPROC 520 ALU 32065, 44, BLK",Corona ESJOT Aluminio negro 51-32065-44BP dientes,35.09,29.00,14.15,8430525419308,2,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,44 dientes,Negro,1180,314,226,227,23,,,Aluminio,,,,,,,,520,,,,,,,,https://api.mybihr.com/medias/1075589012-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjI3OTd8aW1hZ2UvanBlZ3xhRGt4TDJobFlTOHhOVFF5TmpZeU5EVXlNREl5TWk4eE1EYzFOVGc1TURFeUxURmZPREF3VjNnNE1EQkl8YWZlNmE0MzUxNWUyZDAyZjEyNTc0YzY4YmM4MDZhY2VkMzA0MmQ4NTg0MTIyM2E3MzRjZDIwMTA4NjlmNDc5Yw,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1075589023,41931,51-32065-45BP,ESJOT,"ESJOT RR SPROC 520 ALU 32065, 45, BLK",Corona ESJOT Aluminio negro 51-32065-45BP dientes,35.09,29.00,18.85,8430525419315,2,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,45 dientes,Negro,1309,338,234,233,24,,,Aluminio,,,,,,45,,520,,,,,,,,https://api.mybihr.com/medias/1075589023-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjI4NDJ8aW1hZ2UvanBlZ3xhRE5rTDJnNVl5OHhOVFF5TmpZeU9EZzBOVFU1T0M4eE1EYzFOVGc1TURJekxURmZPREF3VjNnNE1EQkl8MzgzMmJmMGY4M2I5MjMzMTA3MmE4NzIwNTM3YWM1MDkxZGIwZTg4Y2Q4MDBjZjQxMmNlODlmZGRhNDM4MDhjNw,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1075589011,41915,51-32065-38,ESJOT,"ESJOT RR SPROC 520 ALU 32065, 38, SIL",Corona ESJOT Aluminio 51-32065-38 dientes,34.29,28.34,18.42,8430525419155,1,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,38 dientes,Plata,760,214,204,196,19,,,Aluminio,,,,,,38,,520,,,,,,,,https://api.mybihr.com/medias/1075589011-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjIwMjh8aW1hZ2UvanBlZ3xhR1l3TDJoa1l5OHhOVFF5TmpZeU5ERXlOekF3Tmk4eE1EYzFOVGc1TURFeExURmZPREF3VjNnNE1EQkl8Y2IxNjUxZDI2NmEzMTJmYjI5ZTdkZTZiNmY5ZTZiMDExZWZmNmMwMDM3MjY5OGNiN2Q5NmU5YjczNTAyNWUyYQ,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
