PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Peso (kg),Voltaje,Picture1,Picture2,AllPicturesZIP,Document1,DeliveryPlant
1050205,,SRA5-600035,FASEP,FASEP SPARE PARTS FASEP ROTATING UNION,Racor giratorio FASEP,112.11,92.65,92.65,59900024,0,8479907099,0,1,<p>Pieza de recambio FASEP.</p>,"
Pieza de recambio FASEP.",TOOLING & WS,WS,WS. TIRE EQUIP.,1352,195,171,152,52,,,,,https://static.bihr.pro/eBihr/Pictures/FASEP-pictures.zip,,Spain Warehouse (Parts)
1050137,892387,S199.017,FASEP,FASEP TIRE CHANGER AUTOMATIC ARM 380V,Desmontadora de neumáticos automática FASEP RAE.2102 380V,4670.00,3859.50,2508.68,892387,3,8479899790,0,0,"<p>FASEP RAE.2102 es una desmontadora de neumáticos automática para automóviles y motocicletas con llantas entre 10 y 20"".</p><p>La robustez y la confianza son las palabras clave de este cambiador de neumáticos.</p><p>Te permite trabajar con ruedas de bajo perfil.</p><p>Ofrece lo mejor con un gasto limitado.</p><p><br></p><p>SIGLAART: RAE.2102 CE 400/50-60/3</p><p>HW: 1125</p><p>SW: TCA</p><p><br></p><p>- Desmontadora Automática</p><p>- Adecuado para vehículos de turismo, SUV y furgonetas</p><p>- Auto-centrante con 4 garras con 2 cilindros</p><p>- Base de acero espesor 12mm</p><p>- Motor de 1 velocidades</p><p>- Columna vertical con vuelco neumático</p><p>- Cierre neumático del herramienta</p><p>- Destalonador con cilindro con único efecto</p><p>- Paleta del destalonador articulada</p><p>- herramienta montaje / desmontaje tradicional</p><p>- Pistola de inflado con manómetro</p><p>- Set protecciones en plástico para llantas de aluminio</p><p>- Palanca alza-talón</p><p>- Diámetro eje hexagonal 36 mm</p><p>- Regulador de presión con filtro y manómetro</p><p>- Lubricación aire automático</p><p>- Dispositivo de ayuda al inflado (4 bar)</p><p>- Fuerza del destalonador: 2800 kg</p><p>- Par máx. de rotación : 1,08 kN (110Kgm)</p><p>- Diámetro llanta: 10-20""</p><p>- Diámetro máx.. neumático 1000 mm (39"")</p><p>- Ancho máx.. Rueda: 320 mm (12,5"")</p><p>- Ruido < 70 dB (A)</p><p>- Voltaje: 380V</p><p><br></p>","
FASEP RAE.2102 es una desmontadora de neumáticos automática para automóviles y motocicletas con llantas entre 10 y 20"".
La robustez y la confianza son las palabras clave de este cambiador de neumáticos.
Te permite trabajar con ruedas de bajo perfil.
Ofrece lo mejor con un gasto limitado.

SIGLAART: RAE.2102 CE 400/50-60/3
HW: 1125
SW: TCA

- Desmontadora Automática
- Adecuado para vehículos de turismo, SUV y furgonetas
- Auto-centrante con 4 garras con 2 cilindros
- Base de acero espesor 12mm
- Motor de 1 velocidades
- Columna vertical con vuelco neumático
- Cierre neumático del herramienta
- Destalonador con cilindro con único efecto
- Paleta del destalonador articulada
- herramienta montaje / desmontaje tradicional
- Pistola de inflado con manómetro
- Set protecciones en plástico para llantas de aluminio
- Palanca alza-talón
- Diámetro eje hexagonal 36 mm
- Regulador de presión con filtro y manómetro
- Lubricación aire automático
- Dispositivo de ayuda al inflado (4 bar)
- Fuerza del destalonador: 2800 kg
- Par máx. de rotación : 1,08 kN (110Kgm)
- Diámetro llanta: 10-20""
- Diámetro máx.. neumático 1000 mm (39"")
- Ancho máx.. Rueda: 320 mm (12,5"")
- Ruido < 70 dB (A)
- Voltaje: 380V
",TOOLING & WS,WS,WS. TIRE EQUIP.,628140,225000,950,760,870,,380V / 3ph,https://api.mybihr.com/medias/1050137-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzI4NjB8aW1hZ2UvanBlZ3xhR0prTDJnMFpDODRPVEV3TXpVNE1qZ3lNamN3THpFd05UQXhNemN0TVY4NE1EQlhlRGd3TUVnfDY5YmUxNTFkYzMxNTM0Zjc2Yzc1NjIzYTQ4NmQyN2FiYmM3ZDU2OGVhYjg5MzgwZmQ4YmY3OWE5NjJkODZmODU,,https://static.bihr.pro/eBihr/Pictures/FASEP-pictures.zip,,France Warehouse (Parts)
1050147,893115,SA231.002,FASEP,FASEP SPARE PARTS QUICK MOUNTING HEAD,Enganche rápido pieza de montaje para neumáticos  de plástico,398.99,329.74,214.33,8430525856691,0,8479907099,0,1,"Sistema de 1/4 de vuelta para cambiar rápidamente las cabezas de montaje metálicas de serie por cabezas de plástico (dependiendo del tipo de rueda). Viene con cabeza de montaje de plástico, compatible con todas las cabezas de montaje de la gama Bihr. Incluye: 			Acoplamiento macho de 1/4 de vuelta para fijación al brazo de la desmontadoraAcoplamiento macho de 1/4 de vuelta para fijación a la cabeza que viene de serieCabeza de montaje de plástico (tamaño estándar de 10"""""""""""""""" a 23""""""""""""""""), con un segundo acoplamiento hembra de 1/4 de vuelta""""""""","Sistema de 1/4 de vuelta para cambiar rápidamente las cabezas de montaje metálicas de serie por cabezas de plástico (dependiendo del tipo de rueda). Viene con cabeza de montaje de plástico, compatible con todas las cabezas de montaje de la gama Bihr. Incluye: 			Acoplamiento macho de 1/4 de vuelta para fijación al brazo de la desmontadoraAcoplamiento macho de 1/4 de vuelta para fijación a la cabeza que viene de serieCabeza de montaje de plástico (tamaño estándar de 10"""""""""""""""" a 23""""""""""""""""), con un segundo acoplamiento hembra de 1/4 de vuelta""""""""",TOOLING & WS,WS,WS. TIRE EQUIP.,17198,2612,456,218,173,,,https://api.mybihr.com/medias/1050147-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ1MTA2fGltYWdlL2pwZWd8YURBekwyZ3hNeTg0T1RJME9EY3lOVFF3TVRrd0x6RXdOVEF4TkRjdE1WODRNREJYZURnd01FZ3wwZDI0Yjg2MGQ3NjE4ZTNhOTZlZWYxYjZhNjkyMDA1ZmM2YThjM2IwZDk2NTM5MDNjZmUxODYzZWNkOTliOWQy,,https://static.bihr.pro/eBihr/Pictures/FASEP-pictures.zip,,Spain Warehouse (Parts)
1050139,892386,S199.018,FASEP,FASEP TIRE CHANGER AUTOMATIC ARM 220V,Desmontadora de neumáticos automática FASEP - 4 pedales 230V / 1Ph,4755.66,3930.30,2554.70,892386,3,8479899790,0,0,"<p>Máquina para neumáticos equipada con un brazo de basculamiento automático que permite ahorrar tiempo y facilitar el trabajo. Su estructura rígida garantiza una gran precisión en los movimientos, evitando así dañar las llantas. Diseñada para un uso intensivo, resulta ideal para talleres de neumáticos y servicios rápidos.</p>
<p><strong>Características técnicas:</strong></p>
<ul>
	<li>Alimentación: 230 V monofásico o 380 V trifásico / 50 Hz</li>
	<li>Velocidad de rotación: 6 rpm</li>
	<li>Capacidad (sujeción exterior): llantas de 5"" a 23""</li>
	<li>Anchura máxima de la llanta: 317 mm (12,5"")</li>
	<li>Fuerza del destalonador: 2800 kg</li>
	<li>Dimensiones totales (L x P x H): 990 x 1505 (incluido el giro del brazo) x 1750 mm</li>
	<li>Brazo vertical: 120 mm x 120 mm</li>
	<li>Brazo horizontal: 120 mm x 90 mm</li>
	<li>Peso: 150 kg</li>
</ul>

<p><strong>Equipamiento incluido:</strong></p>

<ul>
	<li>Lubricador y regulador de presión</li>
	<li>Manómetro de inflado</li>
	<li>Desmontador de neumáticos con protección plástica</li>
	<li>Juego de protecciones de plástico (13 piezas)</li>
	<li>Brocha para grasa de neumáticos</li>
</ul>

<p><strong>Accesorios compatibles:</strong></p>

<ul>
	<li>Sistema de montaje rápido (1/4 de vuelta) y todas las zapatas de la gama Bihr</li>
</ul>

<p>&nbsp;</p>","
Máquina para neumáticos equipada con un brazo de basculamiento automático que permite ahorrar tiempo y facilitar el trabajo. Su estructura rígida garantiza una gran precisión en los movimientos, evitando así dañar las llantas. Diseñada para un uso intensivo, resulta ideal para talleres de neumáticos y servicios rápidos.

Características técnicas:

	Alimentación: 230 V monofásico o 380 V trifásico / 50 Hz
	Velocidad de rotación: 6 rpm
	Capacidad (sujeción exterior): llantas de 5"" a 23""
	Anchura máxima de la llanta: 317 mm (12,5"")
	Fuerza del destalonador: 2800 kg
	Dimensiones totales (L x P x H): 990 x 1505 (incluido el giro del brazo) x 1750 mm
	Brazo vertical: 120 mm x 120 mm
	Brazo horizontal: 120 mm x 90 mm
	Peso: 150 kg



Equipamiento incluido:


	Lubricador y regulador de presión
	Manómetro de inflado
	Desmontador de neumáticos con protección plástica
	Juego de protecciones de plástico (13 piezas)
	Brocha para grasa de neumáticos



Accesorios compatibles:


	Sistema de montaje rápido (1/4 de vuelta) y todas las zapatas de la gama Bihr



 ",TOOLING & WS,WS,WS. TIRE EQUIP.,628140,225000,950,760,870,,230 V/Monofásico,https://api.mybihr.com/medias/1050139-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzI4NTR8aW1hZ2UvanBlZ3xhRGRoTDJnMU5DODRPVEV3TXpVNE5EYzRPRGM0THpFd05UQXhNemt0TVY4NE1EQlhlRGd3TUVnfDQyOTU3ZmU2YzFiMDg4NGY3Njk2MWIyMWRlZDc0ZDU5NzY4ZGU5MmRjNmE4YjZjYjQ2YmNjOTgwYzc1M2ExMDE,,https://static.bihr.pro/eBihr/Pictures/FASEP-pictures.zip,,France Warehouse (Parts)
1050209,59900003,SA8-11600376,FASEP,FASEP SPARE PARTS CLAMP PLASTIC PROTEC,Protector de plastico para maquina de ruedas Fasep 4 piezas,30.25,25.00,16.25,SRA8-11600376,0,8479907099,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs5CD66E5E{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}</style> </head> <body> <ul> <li>Suitable for FASEP Tyre Changers 892257, 892258, 892386 and 892387.</li><li>4 pieces kit</li></ul> </body> </html>","        Suitable for FASEP Tyre Changers 892257, 892258, 892386 and 892387.4 pieces kit  ",TOOLING & WS,WS,WS. TIRE EQUIP.,761,93,185,121,34,,,https://api.mybihr.com/medias/1050209-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTE2OTA3fGltYWdlL2pwZWd8YUdVMUwyZzROeTg0T1RJM05qRTBOemsxT0RBMkx6RXdOVEF5TURrdE1WODRNREJYZURnd01FZ3w4NWNlMTY0OTA4YzY5YTVkYjY5ZTZiNWVjODdlYmIwNDE1ZGJlMDhjYzkwZGYwYzg3N2U2ZDEyZTc2M2YwYWEx,,https://static.bihr.pro/eBihr/Pictures/FASEP-pictures.zip,,Spain Warehouse (Parts)
1050207,893227,SA8-11600020,FASEP,FASEP SPARE PARTS BEAD BREAKER PROTEC,Protector para destalonadora de cambiadora de neumáticos (6uds),38.49,31.81,20.68,8430525856721,1,8479907099,0,1,"Protector para desmontadoras FASEP (892257, 892258, 892386 y 892387). ","Protector para desmontadoras FASEP (892257, 892258, 892386 y 892387). ",TOOLING & WS,WS,WS. TIRE EQUIP.,185,39,153,55,22,,,https://api.mybihr.com/medias/1050207-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTg2NjMzOHxpbWFnZS9qcGVnfGFHSTFMMmc0WlM4NE9USTNOakUwTlRrNU1UazRMekV3TlRBeU1EY3RNVjg0TURCWGVEZ3dNRWd8YzI3MTVjZTVmNTQzNmFkMzBhODJhOTlmMTc3N2MzNjEyZmJkNDg4N2ZmZDFmMzgyODMzODMwZDkxMDE4ZThiMg,,https://static.bihr.pro/eBihr/Pictures/FASEP-pictures.zip,,Spain Warehouse (Parts)
1050174,893223,SA193.001,FASEP,FASEP SPARE PARTS MOUNTING HEAD PLASTIC,Pieza de montaje de neumáticos de plástico - SRA193.001 / SA193.001,270.50,223.55,145.31,8430525856677,2,8479907099,0,1,"Cabeza de montaje para desmontadora, válida para ruedas entre 10"" y 23"".Información adicional:Se entrega con fijaciones de aceroCompatible con sistemas de montaje rápido (1/4 de vuelta)Entreeje de fijación 70 mmCompatible con todas las desmontadorasRecambio:Cabeza de montaje de plástico (sin fijaciones): 890477","Cabeza de montaje para desmontadora, válida para ruedas entre 10"" y 23"".Información adicional:Se entrega con fijaciones de aceroCompatible con sistemas de montaje rápido (1/4 de vuelta)Entreeje de fijación 70 mmCompatible con todas las desmontadorasRecambio:Cabeza de montaje de plástico (sin fijaciones): 890477",TOOLING & WS,WS,WS. TIRE EQUIP.,3770,870,288,187,70,,,https://api.mybihr.com/medias/1050174-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM3MDExfGltYWdlL2pwZWd8YUdVMUwyZ3dOUzg0T0RjME16a3pNVGMwTURRMkx6RXdOVEF4TnpRdE1WODRNREJYZURnd01FZ3w2NDIwNDU3NGUyODBjMzg4NjMxMmQ0ZjBiMWQ1MzQxMjA5NDZkOTUzMDc3YzY1MTEyNjY2YmFlOGY4NTQzNjAy,https://api.mybihr.com/medias/1050174-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDI0NDV8aW1hZ2UvanBlZ3xhR0kxTDJnd1l5ODRPRGMwTXprek16Y3dOalUwTHpFd05UQXhOelF0TWw4NE1EQlhlRGd3TUVnfDQ2ODBhNTMzZjliZTgxMTE4OTg1NjJjNzhkNTI5YTQ2NTEyOTY5MmJmNzFmYmQ2NDNiNzdlODk5ZTgzNjU1ZmE,https://static.bihr.pro/eBihr/Pictures/FASEP-pictures.zip,,Spain Warehouse (Parts)
1050148,89020017,SA233.003/20,FASEP,FASEP SPARE PARTS 20 PLAST PROTEC INSERT,Protecciones plastico para uña de acero original BIHR - Angulo - 20uds,40.49,33.46,26.77,SA233.003/20,3,8479907099,0,1,"Protección de plástico, compatible con las cabeza de montaje de desmontadoras FASEP ","Protección de plástico, compatible con las cabeza de montaje de desmontadoras FASEP ",TOOLING & WS,WS,WS. TIRE EQUIP.,349,63,105,83,40,,,https://api.mybihr.com/medias/1050148-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTU4MjJ8aW1hZ2UvanBlZ3xhR0kxTDJnek1DODRPVFEyTURVNE5Ua3lNamcyTHpFd05UQXhORGd0TVY4NE1EQlhlRGd3TUVnfGZjNmVhYjkxZWU1MDg0MGEyZTE0OGE3MWM1NjMxNWI4ZWZjOGJhMDBlM2VjM2M1ZjAyZjllN2IyM2IyMzVmMDk,,https://static.bihr.pro/eBihr/Pictures/FASEP-pictures.zip,,Spain Warehouse (Parts)
1050142,892258,S200.001,FASEP,FASEP TIRE CHANGER STANDARD MODEL 380V,Desmontadora de neumáticos semi-automática Fasep R.1021 380V,3749.87,3099.07,2014.40,892258,1,8479899790,0,0,"<p>La FASEP R.1021 es una desmontadora semiautomática hasta 23"" de motocicleta para llantas con tamaños entre 5 y 23"" (ancho máximo de la rueda 240mm/9.5"").</p><p><br></p><p>SIGLAART: R.1021 CE 400/50-60/3</p><p>SW: TCM</p><p><br></p><p>- Desmontadora semi-automática</p><p>- Autocentrante con 4 garras con 2 cilindros</p><p>- Abrazaderas especiales para rueda de moto (ajustable en 3 posiciones)</p><p>- Base de acero espesor 10mm</p><p>- Motor de 1 velocidad</p><p>- Sistema basculante</p><p>- Bloqueo manual del cabezal</p><p>- Destalonador con cilindro con efecto único</p><p>- Paleta del destalonador articulada</p><p>- Herramienta montaje / desmontaje específico para moto</p><p>- Palanca alza-talón</p><p>- Diámetro eje hexagonal 36 mm</p><p>- Regulador de presión con filtro y manómetro</p><p>- Lubricación aire semiautomática</p><p>- Fuerza del destalonador: 2500 kg</p><p>- Par max de rotación 1,08 kN (110Kgm)</p><p>- Diam. Rueda: 5-23""</p><p>- Diam max. Neumático: 1000 mm (39"")</p><p>- Ancho máx. rueda: 240 mm (9,5"")</p><p>- Ruido &lt; 70 dB (A)</p><p>- Voltaje: 380V</p><p><br></p>","
La FASEP R.1021 es una desmontadora semiautomática hasta 23"" de motocicleta para llantas con tamaños entre 5 y 23"" (ancho máximo de la rueda 240mm/9.5"").

SIGLAART: R.1021 CE 400/50-60/3
SW: TCM

- Desmontadora semi-automática
- Autocentrante con 4 garras con 2 cilindros
- Abrazaderas especiales para rueda de moto (ajustable en 3 posiciones)
- Base de acero espesor 10mm
- Motor de 1 velocidad
- Sistema basculante
- Bloqueo manual del cabezal
- Destalonador con cilindro con efecto único
- Paleta del destalonador articulada
- Herramienta montaje / desmontaje específico para moto
- Palanca alza-talón
- Diámetro eje hexagonal 36 mm
- Regulador de presión con filtro y manómetro
- Lubricación aire semiautomática
- Fuerza del destalonador: 2500 kg
- Par max de rotación 1,08 kN (110Kgm)
- Diam. Rueda: 5-23""
- Diam max. Neumático: 1000 mm (39"")
- Ancho máx. rueda: 240 mm (9,5"")
- Ruido < 70 dB (A)
- Voltaje: 380V
",TOOLING & WS,WS,WS. TIRE EQUIP.,628140,175000,950,760,870,,380V / 3ph,https://api.mybihr.com/medias/1050142-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ2NDl8aW1hZ2UvanBlZ3xhRE16TDJnd1l5ODRPVEkwT0RjeU16UXpOVGd5THpFd05UQXhOREl0TVY4NE1EQlhlRGd3TUVnfDllMDhjNzE4NWE1MDM5ZTcyYWRiZGZjMWE0NDJlNGU0ZjJjMzRiYTI2ODAwMjk4NmE5NWVlMWM1NWMyOTc3NjA,,https://static.bihr.pro/eBihr/Pictures/FASEP-pictures.zip,,France Warehouse (Parts)
1050144,892257,S200.002,FASEP,FASEP TIRE CHANGER STANDARD MODEL 220V,Desmontadora de neumáticos semi-automática Fasep R.1021 220V,3675.90,3037.93,1974.65,892257,2,8428909000,0,0,"<p>La FASEP R.1021 es una desmontadora semiautomática hasta 23"" de motocicleta para llantas con tamaños entre 5 y 23"" (ancho máximo de la rueda 240mm/9.5"").</p><p><br></p><p>SIGLAART: R.1021 CE 400/50-60/3</p><p>SW: TCM</p><p><br></p><p>- Desmontadora semi-automática</p><p>- Autocentrante con 4 garras con 2 cilindros</p><p>- Abrazaderas especiales para rueda de moto (ajustable en 3 posiciones)</p><p>- Base de acero espesor 10mm</p><p>- Motor de 1 velocidad</p><p>- Sistema basculante</p><p>- Bloqueo manual del cabezal</p><p>- Destalonador con cilindro con efecto único</p><p>- Paleta del destalonador articulada</p><p>- Herramienta montaje / desmontaje específico para moto</p><p>- Palanca alza-talón</p><p>- Diámetro eje hexagonal 36 mm</p><p>- Regulador de presión con filtro y manómetro</p><p>- Lubricación aire semiautomática</p><p>- Fuerza del destalonador: 2500 kg</p><p>- Par max de rotación 1,08 kN (110Kgm)</p><p>- Diam. Rueda: 5-23""</p><p>- Diam max. Neumático: 1000 mm (39"")</p><p>- Ancho máx. rueda: 240 mm (9,5"")</p><p>- Ruido < 70 dB (A)</p><p>- Voltaje: 220V</p><p><br></p>","
La FASEP R.1021 es una desmontadora semiautomática hasta 23"" de motocicleta para llantas con tamaños entre 5 y 23"" (ancho máximo de la rueda 240mm/9.5"").

SIGLAART: R.1021 CE 400/50-60/3
SW: TCM

- Desmontadora semi-automática
- Autocentrante con 4 garras con 2 cilindros
- Abrazaderas especiales para rueda de moto (ajustable en 3 posiciones)
- Base de acero espesor 10mm
- Motor de 1 velocidad
- Sistema basculante
- Bloqueo manual del cabezal
- Destalonador con cilindro con efecto único
- Paleta del destalonador articulada
- Herramienta montaje / desmontaje específico para moto
- Palanca alza-talón
- Diámetro eje hexagonal 36 mm
- Regulador de presión con filtro y manómetro
- Lubricación aire semiautomática
- Fuerza del destalonador: 2500 kg
- Par max de rotación 1,08 kN (110Kgm)
- Diam. Rueda: 5-23""
- Diam max. Neumático: 1000 mm (39"")
- Ancho máx. rueda: 240 mm (9,5"")
- Ruido < 70 dB (A)
- Voltaje: 220V
",TOOLING & WS,WS,WS. TIRE EQUIP.,628140,175000,950,760,870,,230 V/Monofásico,https://api.mybihr.com/medias/1050144-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ3MDV8aW1hZ2UvanBlZ3xhREl6TDJnNU15ODRPVEkzTmpFME5EQXlOVGt3THpFd05UQXhORFF0TVY4NE1EQlhlRGd3TUVnfDdhODg1NjI5OGRiYjhmNmU0YzgwNjllN2I2ODllMTllYzJkYzM3ZDNlZGE2ZjQ5ZDIyOGZkMDFhMTEwYmQ1M2U,,https://static.bihr.pro/eBihr/Pictures/FASEP-pictures.zip,,France Warehouse (Parts)
