PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Diámetro Ø (mm),Longitud (cm),Picture1,AllPicturesZIP,DeliveryPlant
1050324,892403,892403,FILCAR,FILCA EXTRACTOR SINGLE 5M-100MM,Extractor de gases pared simple FILCAR Ø100mm - 230cv,2008.60,1660.00,1245.00,892403,4,8421398090,0,0,"<p>Aspiradora individual de gases de escape, con ventilador integrado.&nbsp;Sistema de evacuación de gases simple, económico y que responde a las necesidades cotidianas. Montaje sobre pared.&nbsp;&nbsp;Datos técnicos (100 mm de diámetro):&nbsp; Motor: 1 CV / 0,75 KW Corriente de entrada: 230 V (trifásica) / 50 Hz Caudal de aire: 400 m3/h Temperatura máxima: 200 °C &nbsp;Incluye:&nbsp; Aspiradora con ventilador integrado Manguera EUROGAS con espiral de TPE, flexible, antiaplastamiento, de 5 m de longitus Boquerel de goma con boquilla extraíble y orificio para sonda Brida de acople rápido Soporte para pared Interruptor eléctrico""""""""</p>","
Aspiradora individual de gases de escape, con ventilador integrado. Sistema de evacuación de gases simple, económico y que responde a las necesidades cotidianas. Montaje sobre pared.  Datos técnicos (100 mm de diámetro):  Motor: 1 CV / 0,75 KW Corriente de entrada: 230 V (trifásica) / 50 Hz Caudal de aire: 400 m3/h Temperatura máxima: 200 °C  Incluye:  Aspiradora con ventilador integrado Manguera EUROGAS con espiral de TPE, flexible, antiaplastamiento, de 5 m de longitus Boquerel de goma con boquilla extraíble y orificio para sonda Brida de acople rápido Soporte para pared Interruptor eléctrico""""""""",TOOLING & WS,WS,WS. EXH. GAS EXTR.,663247,30000,1110,616,970,,,https://api.mybihr.com/medias/800Wx800H-1050324-1.jpg?context=bWFzdGVyfHJvb3R8Mjg0MDB8aW1hZ2UvanBlZ3xhR1ZqTDJnMlpDODJNalExT0RBd016SXlOalkxTkM4NE1EQlhlRGd3TUVoZk1UQTFNRE15TkMweExtcHdad3wyZjYzZWZkOTIwZGRiN2YyNThjYmFiNTUxNDk1NGVlOWE5MmM1MmRlYzNlM2MxNDA4YjMzNDJkNmUzNGIzOTA3,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050335,892426,BGT75/140,FILCAR,FILCA CONE SINGLE Ø75MM,Boquerel de goma simple FILCAR Ø75mm,160.93,133.00,99.75,BGT75/140,2,8421999099,0,1,"Boquerel de gases de escape de goma, con tapón extraíble y orificio para sondas.","Boquerel de gases de escape de goma, con tapón extraíble y orificio para sondas.",TOOLING & WS,WS,WS. EXH. GAS EXTR.,8627,983,316,175,156,,,https://api.mybihr.com/medias/1050335-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzIxMzh8aW1hZ2UvanBlZ3xhRGhpTDJnM09DODRPVE01TlRReE5qVTVOamM0THpFd05UQXpNelV0TVY4NE1EQlhlRGd3TUVnfGMzYjAwMDFhNDY3NmUxNmExNDgzZGMyMmY0MzBkZTE4YWQ0ZWQ3MTYwY2U0ZWE5NDk2NWQyMjVhN2Q5OTVkYmY,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050337,892419,BRM75,FILCAR,FILCA OUTPUT SUP SINGLE,Boquerel de goma simple con soporte FILCAR Ø75mm,381.15,315.00,236.25,BRM75,1,8421999099,0,0,Boquerel de gases de escape con asta de regulación de altura.,Boquerel de gases de escape con asta de regulación de altura.,TOOLING & WS,WS,WS. EXH. GAS EXTR.,120000,46000,300,400,1000,,,https://api.mybihr.com/medias/1050337-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ3NzV8aW1hZ2UvanBlZ3xhREV3TDJnek1pODRPVFEyTURVNU16YzROekU0THpFd05UQXpNemN0TVY4NE1EQlhlRGd3TUVnfGI3NmRkNzgwYjVlOTIxZjM4Y2EwNmZjNTg4OTk3MTc2MGQyNTY5MWU5ZWI3YTc2Mzg1MGMxYzlkZjM2MWY5N2Q,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050340,892466,CLT-100,FILCAR,FILCA ADAPTATOR Y Ø100MM,Conector en Y FILCAR Ø100mm,55.66,46.00,34.50,CLT-100,1,7307998099,0,1,Bifurcación para manguera de aspiración.,Bifurcación para manguera de aspiración.,TOOLING & WS,WS,WS. EXH. GAS EXTR.,22560,545,352,218,294,,,https://api.mybihr.com/medias/1050340-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODg0OTd8aW1hZ2UvanBlZ3xhRFl6TDJnNFl5ODRPVEF5TWpReU5UazRPVFF5THpFd05UQXpOREF0TVY4NE1EQlhlRGd3TUVnfDljMTNmODFjMjE5ZTdhMDFkNjI3NDJlZmIwNmNlNzQ1ZjY5ZGM5YmY3NDkwMWY3ZTUwNzhlNjdmZGMxMjhmMDU,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050341,892465,CLT-75,FILCAR,FILCA ADAPTATOR Y 75MM,Conector en Y FILCAR Ø75mm,53.24,44.00,33.00,CLT-75,1,7307998099,0,1,Bifurcación para manguera de aspiración.,Bifurcación para manguera de aspiración.,TOOLING & WS,WS,WS. EXH. GAS EXTR.,4652,370,273,213,80,,,https://api.mybihr.com/medias/1050341-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODg0OTd8aW1hZ2UvanBlZ3xhREJpTDJneU5TODRPVEkzTmpFMU5UZ3lNak00THpFd05UQXpOREV0TVY4NE1EQlhlRGd3TUVnfGI3ZTRiMTc1NzRmOTg2YTk1MmY3ZjlkOTE4NWE0OTFhODkyZTRmOTk0ZjY2OTI2NjE1MDA0ZmEzZmZiMjdkOTM,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050352,892407,EURO75/1,FILCAR,FILCA PIPE EXTRACTION SYST FOR GAS,Manguera de extracción FILCAR Ø75mm/1m,71.39,59.00,44.25,EURO75/1,1,4009410000,0,1,"Manguera de aspiración EUROGAS: Hecha de TPE, con espiral de nailon flexible, antiaplastamiento y resistencia térmica hasta 200 °C.","Manguera de aspiración EUROGAS: Hecha de TPE, con espiral de nailon flexible, antiaplastamiento y resistencia térmica hasta 200 °C.",TOOLING & WS,WS,WS. EXH. GAS EXTR.,27134,1200,605,390,115,,,https://api.mybihr.com/medias/1050352-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA4NTV8aW1hZ2UvanBlZ3xhREU0TDJobFlTODRPRFkzTkRJd09ETXhOemMwTHpFd05UQXpOVEl0TVY4NE1EQlhlRGd3TUVnfGQ2MmMxMDM4OTIzY2NjZWZmMDI2ODk1MDgyMzE4NmRmYjJmMjZhZDRlZTFjZWZjOTBiYWQwZjJjZDMzYzVkMTY,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050355,89040003,FSC-100,FILCAR,FILCA COLLAR 100MM,Brida metálica para manguito FILCAR Ø100mm,3.63,3.00,2.25,FSC-100,1,8421999099,0,1,Brida de acople de manguera a boquerel u otros accesorios.,Brida de acople de manguera a boquerel u otros accesorios.,TOOLING & WS,WS,WS. EXH. GAS EXTR.,563,40,124,142,32,,,https://api.mybihr.com/medias/1050355-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc5OTV8aW1hZ2UvanBlZ3xhRFJsTDJneFpTODRPVEkzTmpFMU56YzRPRFEyTHpFd05UQXpOVFV0TVY4NE1EQlhlRGd3TUVnfGUzYjkzZjc5YmQ1NDA0MTlhOWUxN2UzMWQ1OTFmNjM0ODNmYWEyMjQ5OTE1YTk5ZDEyOGMzNGI5MDRiYzhkZTU,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050360,89040007,TE-100,FILCAR,FILCA CONNECT SLEEVE Ø100MM,Manguitos de empalme FILCAR Ø100mm,29.04,24.00,18.00,TE-100,1,8421999099,0,1,Permite empalmar mangueras de extracción.,Permite empalmar mangueras de extracción.,TOOLING & WS,WS,WS. EXH. GAS EXTR.,1841,207,143,111,116,,,https://api.mybihr.com/medias/1050360-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTg1NnxpbWFnZS9qcGVnfGFHWmxMMmhrTlM4NE9UVXpPRFV3TWpBd01EazBMekV3TlRBek5qQXRNVjg0TURCWGVEZ3dNRWd8ZWRmYzMxZTAyOGE3NTdhMDg3ZGIxNjdlMjhhNWJjNDdkMzk4ZjRjMGMwN2YzOTgwOGVlOWYzMTQzNmEwNTUxZQ,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050361,89040006,TE-75,FILCAR,FILCA CONNECT SLEEVE Ø75MM,Manguitos de empalme FILCAR Ø75mm,25.41,21.00,15.75,TE-75,1,8421999099,0,1,Permite empalmar mangueras de extracción.,Permite empalmar mangueras de extracción.,TOOLING & WS,WS,WS. EXH. GAS EXTR.,1659,161,131,149,85,,,https://api.mybihr.com/medias/1050361-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTg1NnxpbWFnZS9qcGVnfGFEZGxMMmd4Tnk4NE9USTNOakUxT1RjMU5EVTBMekV3TlRBek5qRXRNVjg0TURCWGVEZ3dNRWd8MWNlOTI1MDgxM2Q5NGE1NzY4YjAzYzQ5NDE0M2E4ZGVkNmJiZmE3YmQwODkyODJmOTRlYWQxMmFmMzI2NmNhZA,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050322,892401,892401,FILCAR,FILCA HOSE REEL 7M,Extractor de gases FILCAR,2998.38,2478.00,1858.50,892401,0,8421999099,0,0,"<p><strong>Enrollador mecánico para mangueras de aspiración de gases de escape de motos y vehículos ligeros.</strong></p>
<p>Con sistema de bloqueo y muelle. Se puede fijar a la pared o al techo.</p>
<p>&nbsp;</p>
<p><strong>Datos técnicos:</strong></p>
<p>Motor: 0,51 CV / 0,37 KW</p>
<p>Corriente de entrada: 230 V monofase / 50 Hz</p>
<p>Caudal de aire: 400m<sup>3</sup>/h</p>
<p>Temperatura máxima: 200°C</p>
<p>Peso: 50 Kg</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong>Incluye</strong>:</p>
<p>Enrollador automático con ventilador de aspiración</p>
<p>Manguera flexible EUROGAS, de TPE, con 7,5 m de longitud y 100 mm de diámetro, anti aplastamiento</p>
<p>Boquerel de goma de 100 mm de diámetro con boquilla extraíble</p>
<p>Tope de fin de carrera</p>
<p>Dos abrazaderas para manguera Interruptor eléctrico.</p>","
Enrollador mecánico para mangueras de aspiración de gases de escape de motos y vehículos ligeros.

Con sistema de bloqueo y muelle. Se puede fijar a la pared o al techo.

 

Datos técnicos:

Motor: 0,51 CV / 0,37 KW

Corriente de entrada: 230 V monofase / 50 Hz

Caudal de aire: 400m3/h

Temperatura máxima: 200°C

Peso: 50 Kg

 

 

Incluye:

Enrollador automático con ventilador de aspiración

Manguera flexible EUROGAS, de TPE, con 7,5 m de longitud y 100 mm de diámetro, anti aplastamiento

Boquerel de goma de 100 mm de diámetro con boquilla extraíble

Tope de fin de carrera

Dos abrazaderas para manguera Interruptor eléctrico.",TOOLING & WS,WS,WS. EXH. GAS EXTR.,799304,51000,1465,620,880,,,https://api.mybihr.com/medias/800Wx800H-1050322-1.jpg?context=bWFzdGVyfHJvb3R8Mjk4OTZ8aW1hZ2UvanBlZ3xhR0l6TDJneE9DODJNalExT0RBd01qZ3pNelF6T0M4NE1EQlhlRGd3TUVoZk1UQTFNRE15TWkweExtcHdad3wwMzVjNmU0NzA4NTA4NzUzZjU2MzgxYTI2ZWU5MDczOTg5OTgyODIwNjAzYmIxYzU3ZWE1NzQzMWZhNmNiMjA5,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
