PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Acabado,V-Color,V-Colores,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Acabado de la tapa del silenciador,Acabado del silenciador de escape,Acabado del tubo,Color,Composición,Embalaje,Homologación,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,AllPicturesZIP,DeliveryPlant
1061290,63500019,FRSTBK-G,FRESCO,FRESC START BLCK MX GREEN,Taco de salida Fresco verde,59.29,49.00,31.85,6181920211074,1,8714102000,0,1,<p>Contenido del envío: 1 unidad</p>,"
Contenido del envío: 1 unidad",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,,,3822,540,260,140,105,,,,,,,,https://api.mybihr.com/medias/1061290-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTg2ODV8aW1hZ2UvanBlZ3xhR1k1TDJnMk1pODVNREV5T1RrMU1UazBPVEV3THpFd05qRXlPVEF0TVY4NE1EQlhlRGd3TUVnfDY4ODI1ZjQ1N2U5NGZhM2I5YzM1NmY2OGFhYTJhN2ExYmEyZDBhOThlMjMzYzdkODIzMDNkMTM2NjM3MDJkZDk,,,,,,,https://static.bihr.pro/eBihr/Pictures/FRESCO-pictures.zip,Spain Warehouse (Parts)
1061291,63500020,FRSTBK-O,FRESCO,FRESC START BLCK MX ORANGE,Taco de salida Fresco naranja,59.29,49.00,31.85,6181920211159,2,8714102000,0,1,<p>Contenido del envío: 1 unidad</p>,"
Contenido del envío: 1 unidad",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,,,4004,540,260,140,110,,,,,,,,https://api.mybihr.com/medias/1061291-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTg2ODV8aW1hZ2UvanBlZ3xhR1UyTDJoaU5TODRPVGN6TWpreU9UazBOVGt3THpFd05qRXlPVEV0TVY4NE1EQlhlRGd3TUVnfGYyYzRiOGFhMzhhMGZhMjI3ZTE5MTk2ZDA4YmZmMmMyY2ZlZTRjMGZmNGMzNDM1NWVkZjdkODlmMzFhMmUyNzA,,,,,,,https://static.bihr.pro/eBihr/Pictures/FRESCO-pictures.zip,Spain Warehouse (Parts)
1061289,63500018,FRSTBK-B,FRESCO,FRESC START BLCK MX BLUE,Taco de salida Fresco azul,59.29,49.00,31.85,6181920211203,1,8714102000,0,1,<p>Contenido del envío: 1 unidad</p>,"
Contenido del envío: 1 unidad",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,,,3822,542,260,140,105,,,,Azul,,,,https://api.mybihr.com/medias/1061289-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTg2ODV8aW1hZ2UvanBlZ3xhRGRsTDJneE5DODVNREV5T1RrME9UazRNekF5THpFd05qRXlPRGt0TVY4NE1EQlhlRGd3TUVnfGUzNzUxZWFhZTcyNjkyNjE5ODMwZDcxNjU5N2Y0ZDI4ZDE0NjFhZTVhNDUxYTA1ZDBkMTJmNmYzNmQ4OGNkYmI,,,,,,,https://static.bihr.pro/eBihr/Pictures/FRESCO-pictures.zip,Spain Warehouse (Parts)
1061292,63500016,FRSTBK-R,FRESCO,FRESC START BLCK MX RED,Taco de salida Fresco rojo,59.29,49.00,31.85,6181920211180,1,8714102000,0,1,<p>Se vende por unidad</p>,"
Se vende por unidad",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,,,3822,548,260,140,105,,,,,,,,https://api.mybihr.com/medias/1061292-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTg2ODV8aW1hZ2UvanBlZ3xhR05oTDJnMk9TODVNREV5T1RrMU16a3hOVEU0THpFd05qRXlPVEl0TVY4NE1EQlhlRGd3TUVnfGI5ZWUxZmMxODI2MWVhYTBmYjVlNTk5YjdiZjEzNjBjM2ZkMDNlZjJkNGMyMGJhMDhlNmY1ZWFlNjA5M2MyZTg,,,,,,,https://static.bihr.pro/eBihr/Pictures/FRESCO-pictures.zip,Spain Warehouse (Parts)
1061293,63500017,FRSTBK-Y,FRESCO,FRESC START BLCK MX YELLOW,Taco de salida Fresco amarillo,59.29,49.00,31.85,6181920211234,1,8714102000,0,1,<p>Contenido del envío: 1 unidad</p>,"
Contenido del envío: 1 unidad",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,,,3822,548,260,140,105,,,,,,,,https://api.mybihr.com/medias/1061293-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTg2ODV8aW1hZ2UvanBlZ3xhRGczTDJnM01DODVNREV5T1RrMU5UZzRNVEkyTHpFd05qRXlPVE10TVY4NE1EQlhlRGd3TUVnfDczOTYxNTkyNjk3ZTQxOTFmM2Y4YzE1ZmE2NWVhYWRiMzQ1N2RiZTA5ZmUyMTg3OWJjNTdhYTdhYjdjOThmMGY,,,,,,,https://static.bihr.pro/eBihr/Pictures/FRESCO-pictures.zip,Spain Warehouse (Parts)
1061336,7020006102,FRTEN300TM0014R,FRESCO,FRESC EXHAUST PIPE RAW,Bufanda escape FRESCO Raw - acero,302.50,250.00,162.50,5030020018186,1,8714109090,0,1,<p>El escape Raw está fabricado en chapas de acero con espesores variables. Esta característica permite una mayor resistencia en las partes expuestas a golpes y mantiene una excelente resonancia del sistema de escape.</p> <ul> <li>Diseño optimizado para reducir el espacio ocupado.</li> <li>Compatible con los silenciadores originales.</li> </ul>,"
El escape Raw está fabricado en chapas de acero con espesores variables. Esta característica permite una mayor resistencia en las partes expuestas a golpes y mantiene una excelente resonancia del sistema de escape.  Diseño optimizado para reducir el espacio ocupado. Compatible con los silenciadores originales. ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,,,,56544,2458,570,400,248,,,Acero,,,,Homologación FIM,https://api.mybihr.com/medias/800Wx800H-1061336-1.jpg?context=bWFzdGVyfHJvb3R8OTg4MjN8aW1hZ2UvanBlZ3xhR1EzTDJnd055ODVPREF4TVRreE16ZzNPVFU0TWk4NE1EQlhlRGd3TUVoZk1UQTJNVE16TmkweExtcHdad3xkMzQ2ZTZiNzA2Mjk4ZTU5NDE3MThmNGY1ZDA4MTg2NzU5OGQ0ZWU5OTE2MWRhMTQzNjI0MWEyMWFjMGU5OTcx,https://api.mybihr.com/medias/800Wx800H-1061336-2.jpg?context=bWFzdGVyfHJvb3R8OTQ4NDB8aW1hZ2UvanBlZ3xhR0kxTDJnME9TODVPREF4TVRreE5ERTBNVGN5Tmk4NE1EQlhlRGd3TUVoZk1UQTJNVE16TmkweUxtcHdad3xkZWJlYWIzODM3YmEyMWEwYTJiZWJmYmRlOGM1MGE0MjkzYTExZGNhZjIwMzAyMDkzZDM4NDI4ZTBkNTk0ZTc4,https://api.mybihr.com/medias/800Wx800H-1061336-3.jpg?context=bWFzdGVyfHJvb3R8NzUyMzd8aW1hZ2UvanBlZ3xhREZsTDJobFlpODVPREF4TWpRMU56TTJPVFl6TUM4NE1EQlhlRGd3TUVoZk1UQTJNVE16TmkwekxtcHdad3wxNWE0NGE3ZDA2ZGUwZTU2MTYyMWYwMzg1MDc5MTY5NzNhYzliZmM0ZGExY2NjNmRmNjk5MjFmZDdlYzhiOTlm,https://api.mybihr.com/medias/800Wx800H-1061336-4.jpg?context=bWFzdGVyfHJvb3R8ODAzMzl8aW1hZ2UvanBlZ3xhR1F4TDJnMk5DODVPREF4TVRreE5Ea3lPREUxT0M4NE1EQlhlRGd3TUVoZk1UQTJNVE16TmkwMExtcHdad3wyYmUxZGI3YzMxNjdkZWVmZjY5ZjBjNWExNWMzMzYzNDJhZjc1Yjc1MmU0ZTU1ZjE3ZjBiOTMxM2ExZWJlZTFj,,,,https://static.bihr.pro/eBihr/Pictures/FRESCO-pictures.zip,Spain Warehouse (Parts)
1061343,79900182,FRTENADOTCA-O,FRESCO,FRESC SILENCER STICKER ORANGE,"Kit de adhesivos Fresco 2T, color naranja",10.89,9.00,5.85,5014152031152,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,,,,340,23,204,139,12,,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/FRESCO-pictures.zip,Spain Warehouse (Parts)
1092990,,FRTCR125TM0021XP,FRESCO,FRESC SILENCER X-POWER ALU,Silenciador FRESCO X-Power Aluminio,181.50,150.00,97.50,1792411812518,0,8714949090,0,1,"<ul>
<li>Silenciador de aluminio.</li>
<li>Montaje de alta calidad.</li>
<li>Para obtener los mejores resultados, utilice la l&iacute;nea de escape FRESCO.</li>
</ul>","
Silenciador de aluminio.
Montaje de alta calidad.
Para obtener los mejores resultados, utilice la línea de escape FRESCO.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,,,,1,1,10,10,10,Aluminio,Aluminio,,,,,Homologación FIM,https://api.mybihr.com/medias/800Wx800H-1092990-1.jpg?context=bWFzdGVyfHJvb3R8MTI0NzgxfGltYWdlL2pwZWd8YURVNEwyaGpaUzg1T0RBeE1Ua3pOalk0TmpFeE1DODRNREJYZURnd01FaGZNVEE1TWprNU1DMHhMbXB3Wnd8ZTk1ZGZkZWRmMGJiNzkzZjg5NzgzOTA5NzRhMmU0YWNkNGQyNGRjNzBhMWM5ZmUxMGRjNDk2ZjFjMGI2MGU1OQ,https://api.mybihr.com/medias/800Wx800H-1092990-2.jpg?context=bWFzdGVyfHJvb3R8NzMxODh8aW1hZ2UvanBlZ3xhREk0TDJoa05TODVPREF4TVRrek5qZzRNamN4T0M4NE1EQlhlRGd3TUVoZk1UQTVNams1TUMweUxtcHdad3w1N2E2YTdjMjA4YmI2MTBiOTMyMTI2OTRkMGVjNjk2NDkyYjQyYjIxZTkwOWM0NDhiMWZlZTllZWJkMmFmMGU2,,,,,,https://static.bihr.pro/eBihr/Pictures/FRESCO-pictures.zip,Spain Warehouse (Parts)
1092991,,FRTCR125YA0002C,FRESCO,FRESC EXHAUST PIPE CHROME,Bufanda escape FRESCO Chrome - acero cromado,338.80,280.00,182.00,3125230102380,0,8714949090,0,1,"<p>La bufanda de escape FRESCO Chrome está fabricada con chapas de acero de grosor variable. Esta característica proporciona mayor protección en las partes más expuestas a daños y mantiene un buen sonido en el sistema de escape.</p> <ul> <li>El recubrimiento exterior en níquel + cromo garantiza una gran resistencia a las inclemencias del tiempo.</li> <li>Diseño optimizado para reducir el volumen y mantener la bufanda muy cerca del motor.</li> <li>Para la versión Enduro, la bufanda suaviza la entrega de potencia del motor sin penalizar la potencia máxima.</li> <li>Compatible con el silenciador original.</li> </ul>","
La bufanda de escape FRESCO Chrome está fabricada con chapas de acero de grosor variable. Esta característica proporciona mayor protección en las partes más expuestas a daños y mantiene un buen sonido en el sistema de escape.  El recubrimiento exterior en níquel + cromo garantiza una gran resistencia a las inclemencias del tiempo. Diseño optimizado para reducir el volumen y mantener la bufanda muy cerca del motor. Para la versión Enduro, la bufanda suaviza la entrega de potencia del motor sin penalizar la potencia máxima. Compatible con el silenciador original. ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,,,,46097,1746,378,542,225,,,Cromo,,,,Homologación FIM,https://api.mybihr.com/medias/800Wx800H-1092991-1.jpg?context=bWFzdGVyfHJvb3R8MTI2NzM4fGltYWdlL2pwZWd8YURabEwyaGtZeTg1T0RBeE1Ua3pOekEzT1RNeU5pODRNREJYZURnd01FaGZNVEE1TWprNU1TMHhMbXB3Wnd8YWI0NzY4OGY0NDVlNTBkZGUwZjg1NzkxZjVkZTZiNWY5YjAyM2Q3OTQ5ZWE3MDFiMzk5ZWVhOWQ1ZjQwYWY4Nw,,,,,,,https://static.bihr.pro/eBihr/Pictures/FRESCO-pictures.zip,Spain Warehouse (Parts)
1092997,,FRTCR125BE0020C,FRESCO,FRESC EXHAUST PIPE CHROME,Bufanda escape FRESCO Chrome - acero cromado,338.80,280.00,182.00,5125250020037,0,8714949090,0,1,"<p>La bufanda de escape FRESCO Chrome está fabricada con chapas de acero de grosor variable. Esta característica proporciona mayor protección en las partes más expuestas a daños y mantiene un buen sonido en el sistema de escape.</p> <ul> <li>El recubrimiento exterior en níquel + cromo garantiza una gran resistencia a las inclemencias del tiempo.</li> <li>Diseño optimizado para reducir el volumen y mantener la bufanda muy cerca del motor.</li> <li>Para la versión Enduro, la bufanda suaviza la entrega de potencia del motor sin penalizar la potencia máxima.</li> <li>Compatible con el silenciador original.</li> </ul>","
La bufanda de escape FRESCO Chrome está fabricada con chapas de acero de grosor variable. Esta característica proporciona mayor protección en las partes más expuestas a daños y mantiene un buen sonido en el sistema de escape.  El recubrimiento exterior en níquel + cromo garantiza una gran resistencia a las inclemencias del tiempo. Diseño optimizado para reducir el volumen y mantener la bufanda muy cerca del motor. Para la versión Enduro, la bufanda suaviza la entrega de potencia del motor sin penalizar la potencia máxima. Compatible con el silenciador original. ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,,,,38502,1580,552,279,250,,,Cromo,,,,Homologación FIM,https://api.mybihr.com/medias/800Wx800H-1092997-1.jpg?context=bWFzdGVyfHJvb3R8MTI2NzM4fGltYWdlL2pwZWd8YURBM0wyZzJZeTg1T0RBeE1Ua3pPREkxT0RrM05DODRNREJYZURnd01FaGZNVEE1TWprNU55MHhMbXB3Wnd8ODUzMjc4ZWEwYzdjZGJhM2QwODdhYmJlMjYyYTU3NjQyMjIxMDA2NWYwOGFiNTc0NzRkMTMyMjZlZGQ2OTk2MQ,,,,,,,https://static.bihr.pro/eBihr/Pictures/FRESCO-pictures.zip,Spain Warehouse (Parts)
