PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Uso recomendado,Picture1,Picture2,Picture3,AllPicturesZIP,Document1,DeliveryPlant
1101604,678,GP-65,GIYO,GIYO TELESCOPIC AIR PUMP,Mini-inflador GIYO telescópico,6.99,5.78,2.40,8430525038219,1479,8714200000,0,1,"Mini-inflador GIYO (GP45E)
Presión máxima: 80psi (6bar).
Telescópico. Barra reforzada.
Racor reversible válvula fina y gruesa (Presta & Schrader).
Sujeción al portabidón.","Mini-inflador GIYO (GP45E)
Presión máxima: 80psi (6bar).
Telescópico. Barra reforzada.
Racor reversible válvula fina y gruesa (Presta & Schrader).
Sujeción al portabidón.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1100,164,278,92,43,Todos,https://api.mybihr.com/medias/1101604-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTEwODQ2fGltYWdlL2pwZWd8YUdZMkwyZ3pOeTg1TmpNeU1UQXpPVFUyTlRFd0x6RXhNREUyTURRdE1WODRNREJYZURnd01FZ3w2NmVmZTdjNzczYmVhN2I3YTNmZDNhMjhjYTM2YzJmZmU4ZTA4OGYzNjQxZmY5YjkyYjRmZTk5ZGY2OGY3Mjdk,https://api.mybihr.com/medias/1101604-2-800Wx800H?context=bWFzdGVyfHJvb3R8MjA1MTAyfGltYWdlL2pwZWd8YURReUwyZ3haQzg1TmpNeU1UQTBNelE1TnpJMkx6RXhNREUyTURRdE1sODRNREJYZURnd01FZ3w4OTI3MGQzYjY3MGU0Yzk4ZDFhOGFlOTljMjhkMDhhZWQwNTI2Y2UzMGNiZjc2OWIxMDFhNjE3ZmU3ODg5MjBk,https://api.mybihr.com/medias/1101604-3-800Wx800H?context=bWFzdGVyfHJvb3R8NTk2NDd8aW1hZ2UvanBlZ3xhR1V6TDJneVlTODVOak15TVRBME56UXlPVFF5THpFeE1ERTJNRFF0TTE4NE1EQlhlRGd3TUVnfGM5OTVlY2Y3NWVmOTBmZTU2YzZkYmFkYzYyZDYxMmM0YWU5YTQwMGVmMTdjNTJjNmY1YzU3N2NmYzg1NzVjYWE,https://static.bihr.pro/eBihr/Pictures/GIYO-pictures.zip,,Spain Warehouse (Parts)
1101605,679,GP-66,GIYO,GIYO TELESCOPIC PUMP WITH MANOMETER,Mini-inflador GIYO telescópico con manómetro,9.50,7.85,1.99,8430525038226,894,8714200000,0,1,"Mini-inflador GIYO (GP66)
Presión máxima: 100psi (7bar).
Telescópico. Con manómetro.
Racor reversible válvula fina y gruesa (Presta & Schrader).
Sujeción al portabidón.","Mini-inflador GIYO (GP66)
Presión máxima: 100psi (7bar).
Telescópico. Con manómetro.
Racor reversible válvula fina y gruesa (Presta & Schrader).
Sujeción al portabidón.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1060,186,280,88,43,Todos,https://api.mybihr.com/medias/1101605-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzg3NjF8aW1hZ2UvanBlZ3xhREZqTDJnNE1DODVOak15TVRBMU1UTTJNVFU0THpFeE1ERTJNRFV0TVY4NE1EQlhlRGd3TUVnfDNmODBkMmRkM2VhNzZkNjQxZWFmM2FjNTNhYjgzMWUwYzlmYjlkNjhhMTNiOTkxODUzZWE3ODMzOWFhNDVhNzA,,,https://static.bihr.pro/eBihr/Pictures/GIYO-pictures.zip,,Spain Warehouse (Parts)
1101249,15413,GF-36P-SILVER,GIYO,GIYO HIGH PRESSURE STEEL FLOOR PUMP GF36,Inflador de taller GIYO 11bar,28.00,23.14,8.00,8430525154131,444,8714200000,0,1,"Inflador de taller GIYO (GF-36P)
Presión máxima: 160psi (11bar)
Tubo Acero Ø38mm.
Con manómetro regulable en altura para facilitar su lectura.
Nuevo Racor doble válvula CVN reversible fina y gruesa (Presta & Schrader) “Clever Valve”.
Mango confort doble densidad.","Inflador de taller GIYO (GF-36P)
Presión máxima: 160psi (11bar)
Tubo Acero Ø38mm.
Con manómetro regulable en altura para facilitar su lectura.
Nuevo Racor doble válvula CVN reversible fina y gruesa (Presta & Schrader) “Clever Valve”.
Mango confort doble densidad.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,23722,1378,703,228,148,Todos,https://api.mybihr.com/medias/1101249-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTAyMjMwfGltYWdlL2pwZWd8YURJM0wyaGtOeTg1TmpNeE56VTRNVFUxT0RBMkx6RXhNREV5TkRrdE1WODRNREJYZURnd01FZ3wxNDYwNjViMzcxNTI2MTFlODExYWVlYzliMmM1ZjA1ZWU5YjAzNDE4NjcxOWIwMjM3NTI2YzczMjc1MzVmZGJm,,,https://static.bihr.pro/eBihr/Pictures/GIYO-pictures.zip,,Spain Warehouse (Parts)
1101303,13027,GF-31P DVN,GIYO,GIYO WORKSHOP PUMP (GF-31P DVN),Inflador de taller GIYO 11bar Aluminio,23.99,19.83,7.99,8430525130272,639,8714109090,0,1,"Inflador de taller GIYO (GF31P DVN)
Presión máxima: 160psi (11bar)
Tubo Aluminio Ø38mm.
Con manómetro regulable en altura para facilitar su lectura.
Nuevo Racor doble válvula DVN fina y gruesa (Presta & Schrader).
Mango ergonómico para mejor uso.","Inflador de taller GIYO (GF31P DVN)
Presión máxima: 160psi (11bar)
Tubo Aluminio Ø38mm.
Con manómetro regulable en altura para facilitar su lectura.
Nuevo Racor doble válvula DVN fina y gruesa (Presta & Schrader).
Mango ergonómico para mejor uso.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,22360,921,658,241,141,Todos,https://api.mybihr.com/medias/1101303-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQzNTk2fGltYWdlL2pwZWd8YUdKaUwyaGlPUzg1TmpNeE5qTXhPVGs1TURBMkx6RXhNREV6TURNdE1WODRNREJYZURnd01FZ3wwOWUxNWFhZGM5MzVmYzc5Y2JlNjJjZjYwYjE1OTk2N2E2NWM4MjVmMTYyODQ4MjJlMzhhZGRlNjZiYzJmOTI4,,,https://static.bihr.pro/eBihr/Pictures/GIYO-pictures.zip,,Spain Warehouse (Parts)
1101633,6022,GS-03,GIYO,GIYO FORK WITH MANOMETER GS-03 PUMP,Inflador para suspensiones de bicicleta GIYO 300psi,49.99,41.31,16.52,8430525060227,135,8714200000,0,1,"Inflador para suspensiones GIYO (GS02)
Presión máxima: 300psi (20bar). Aluminio.
Para amortiguadores y horquillas.
Control preciso de la presión gracias a su botón de ajuste.
Con manómetro desmontable.","Inflador para suspensiones GIYO (GS02)
Presión máxima: 300psi (20bar). Aluminio.
Para amortiguadores y horquillas.
Control preciso de la presión gracias a su botón de ajuste.
Con manómetro desmontable.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1471,226,299,123,40,Todos,https://api.mybihr.com/medias/1101633-1-800Wx800H?context=bWFzdGVyfHJvb3R8Nzg5OTF8aW1hZ2UvanBlZ3xhR013TDJnNE15ODVOak15TVRFek16a3pOamswTHpFeE1ERTJNek10TVY4NE1EQlhlRGd3TUVnfDZhZWJmMGE3YWE0OTAwZjljNTdmOWUxZjJjYzZlN2NlNDBmNWRkMTVlMTZjYmJhY2ViOGJlOWE4YmUyMWY4ZTk,https://api.mybihr.com/medias/1101633-2-800Wx800H?context=bWFzdGVyfHJvb3R8MjE0OTk3fGltYWdlL2pwZWd8YURSa0wyZzVNUzg1TmpNeU1URXpOemcyT1RFd0x6RXhNREUyTXpNdE1sODRNREJYZURnd01FZ3wyZDJmMjQ0OGM2MjRkMDYwODAzM2UyZmE4NTQ0YmZiMjY5YmY0NjI4NzZhN2NiZTM0MDI5YzY2YzE0MDBlM2Y0,,https://static.bihr.pro/eBihr/Pictures/GIYO-pictures.zip,,Spain Warehouse (Parts)
1101842,15416,GC-03,GIYO,GIYO GC-03 CO2 INFLATOR,Kit inflador + cartucho CO2 GIYO,24.99,20.65,8.30,8430525154162,89,8714200000,0,1,"Kit inflador + cartucho CO2 16gr. GIYO (GC-03)
Válido para válvula fina y gruesa (Presta & Schrader)
Tapón anti-polvo. Regulable.","Kit inflador + cartucho CO2 16gr. GIYO (GC-03)
Válido para válvula fina y gruesa (Presta & Schrader)
Tapón anti-polvo. Regulable.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,579,132,183,93,34,Todos,https://api.mybihr.com/medias/1101842-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQxMDM5fGltYWdlL2pwZWd8YURRNUwyZzVNUzg1TmpNeU1qWXdPVEUxTWpNd0x6RXhNREU0TkRJdE1WODRNREJYZURnd01FZ3wxNWVjMjQwOTM1ZmJiMzY3YmEyZDczOGJiMDA1MWI3ODNkZDQyZTk5YTUyOTcyODE2ZmVlODA1OTQ5MGNjYjZk,,,https://static.bihr.pro/eBihr/Pictures/GIYO-pictures.zip,https://api.mybihr.com/medias/Safety-Dat-Sheet-20210201-CO2-MSDS.pdf?context=bWFzdGVyfHJvb3R8OTc0NDI3fGFwcGxpY2F0aW9uL3BkZnxhR0ZrTDJnME5TODBOVEV4TVRFd05URTVNVGsyTmk5VFlXWmxkSGtnUkdGMElGTm9aV1YwSUMwZ01qQXlNVEF5TURFZ1EwOHlJRTFUUkZNdWNHUm18ZDAyZDM3OTYyMGY5NGVlNWMxNGU5MDZlN2Y2MzZiYmNmODhiOGE5M2Y3MmJkZThmZjRmMDZlZjg5NDc1MjU0Mg,Spain Warehouse (Parts)
1101694,814,GP-61,GIYO,GIYO AIR PUMP (TELESCOPIC) (ALUMINIUM) W,Mini-inflador GIYO telescópico con manómetro,11.00,9.09,2.99,8430525046634,3473,8714200000,0,1,"Mini-inflador GIYO (GP61)
Presión máxima: 100psi (7bar).
Telescópico. Aluminio. Con manómetro.
Racor reversible válvula fina y gruesa (Presta & Schrader).
Sujeción al portabidón.","Mini-inflador GIYO (GP61)
Presión máxima: 100psi (7bar).
Telescópico. Aluminio. Con manómetro.
Racor reversible válvula fina y gruesa (Presta & Schrader).
Sujeción al portabidón.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,986,177,280,88,40,Todos,https://api.mybihr.com/medias/1101694-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTcxOTZ8aW1hZ2UvanBlZ3xhRGRpTDJnNVppODVOak15TVRNeE9EYzBPRFEyTHpFeE1ERTJPVFF0TVY4NE1EQlhlRGd3TUVnfGExYTBiN2RmNTIzNDA3NDY5YWQwMmFlOWM5MmJhNWJkZDM4YjlhZjJiNzlhNDNmZTYzY2E0NGQ5MWQzZDk2M2Y,,,https://static.bihr.pro/eBihr/Pictures/GIYO-pictures.zip,,Spain Warehouse (Parts)
1101658,642,GP-41,GIYO,GIYO MINI-PUMP / MANOMETER,Mini-inflador GIYO con manómetro,9.00,7.44,2.50,8430525034600,1287,8714200000,0,1,"Mini-inflador GIYO (GP41)
Presión máxima: 100psi (7bar).
Con manómetro.
Racor reversible válvula fina y gruesa (Presta & Schrader).
Sujeción al portabidón.","Mini-inflador GIYO (GP41)
Presión máxima: 100psi (7bar).
Con manómetro.
Racor reversible válvula fina y gruesa (Presta & Schrader).
Sujeción al portabidón.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1147,169,280,91,45,Todos,https://api.mybihr.com/medias/1101658-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzgwMTd8aW1hZ2UvanBlZ3xhR1E1TDJneU5pODVOak15TVRJd09EWTBOems0THpFeE1ERTJOVGd0TVY4NE1EQlhlRGd3TUVnfGJjYTcyMjJiNWU0ZTRjYzRhMTM3MDg4NmQ0ZGEwZDIyNDZlZThhZjQ0NjFmMzYzOTE0NTZlMzMwMzMxM2FkNzE,https://api.mybihr.com/medias/1101658-2-800Wx800H?context=bWFzdGVyfHJvb3R8MjE1OTYyfGltYWdlL2pwZWd8YURFekwyZzNZeTg1TmpNeU1USXhNalU0TURFMEx6RXhNREUyTlRndE1sODRNREJYZURnd01FZ3w3ZTcxNzBkOTg5ZmUxYzgxN2UxOTkwNzlkYjE5YjE0YjdlMWYyODc3OGY3MTU4N2VmODM1MjgxYzNkZjAxNmE1,,https://static.bihr.pro/eBihr/Pictures/GIYO-pictures.zip,,Spain Warehouse (Parts)
1101223,15414,GP-961A,GIYO,GIYO MINI PUMP GP961A,Mini-inflador GIYO con manómetro,12.00,9.92,3.99,8430525154148,230,8714200000,0,1,"Mini-inflador GIYO (GP-961A)
Presión máxima: 120psi (8bar).
Aluminio. Con manómetro.
Racor reversible válvula fina y gruesa (Presta & Schrader).
Mango confort doble densidad.
Sujeción al portabidón.","Mini-inflador GIYO (GP-961A)
Presión máxima: 120psi (8bar).
Aluminio. Con manómetro.
Racor reversible válvula fina y gruesa (Presta & Schrader).
Mango confort doble densidad.
Sujeción al portabidón.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1761,195,320,128,43,Todos,https://api.mybihr.com/medias/1101223-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzE1MTB8aW1hZ2UvanBlZ3xhR0ZsTDJoaU9TODVOak14TmpnMk1EQXdOamN3THpFeE1ERXlNak10TVY4NE1EQlhlRGd3TUVnfDNhNWIzM2Q5M2NhMzAyOGEzMWE0NTQzMGIxODhiMTRiNDU2MmY3ZWNmYTRiMjQ0Zjg0ZTY2YjVlMjM2MmU3N2M,,,https://static.bihr.pro/eBihr/Pictures/GIYO-pictures.zip,,Spain Warehouse (Parts)
1101308,15415,GP-97A,GIYO,GIYO MINI PUMP GP97A,Mini-inflador GIYO telescópico,12.00,9.92,2.99,8430525154155,595,8714200000,0,1,"Mini-inflador GIYO (GP-97A)
Presión máxima: 120psi (8bar).
Telescópico. Aluminio.
Racor reversible válvula fina y gruesa (Presta & Schrader).
Mango confort doble densidad.
Sujeción al portabidón.","Mini-inflador GIYO (GP-97A)
Presión máxima: 120psi (8bar).
Telescópico. Aluminio.
Racor reversible válvula fina y gruesa (Presta & Schrader).
Mango confort doble densidad.
Sujeción al portabidón.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,986,171,280,88,40,Todos,https://api.mybihr.com/medias/1101308-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTgwODl8aW1hZ2UvanBlZ3xhRFUxTDJoak5pODVOak14TnpZeU5UUTJOekU0THpFeE1ERXpNRGd0TVY4NE1EQlhlRGd3TUVnfDRhMjhkMzk3MWZkZWNhZmE3Yzc0NjI4NTQ5NzQ2MWFkNGFiMzgzZWIzZDhkZjg0MjllOGM1MjU4YjRlMDhlM2M,,,https://static.bihr.pro/eBihr/Pictures/GIYO-pictures.zip,,Spain Warehouse (Parts)
