PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura del neumático (perfil),Anchura del neumático,Categoría de neumático,Compuesto de neumático,Diámetro de la llanta,Estructura de neumático,Familia de neumáticos,Homologación,Índice de carga del neumático (IC),Índice de velocidad (CV),Marcajes,Modelo,Posición,Sin cámara o tipo de cámara,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,DeliveryPlant
9008100,,11150096,HEIDENAU,HEIDE TIRE K40 2.00-18,Neumático HEIDENAU K40 CRS Racing 2.00-18 M/C 26H NHS TL,133.10,110.00,68.20,4027694150961,0,4011400000,0,1,"<p><strong>Una nueva mirada a un viejo tema</strong></p>
<p>El K40 de Heidenau es una interpretación moderna del clásico neumático delantero acanalado para motos ligeras. Las nervaduras anchas y el surco central aportan un manejo más estable.</p>
<p><strong>Manejo en carretera húmeda</strong></p>
<p>Las nervaduras no continuas permiten una mejor dispersión del agua, y un gran compuesto hacen que la conducción en días de lluvia sea más segura.</p>","
Una nueva mirada a un viejo tema

El K40 de Heidenau es una interpretación moderna del clásico neumático delantero acanalado para motos ligeras. Las nervaduras anchas y el surco central aportan un manejo más estable.

Manejo en carretera húmeda

Las nervaduras no continuas permiten una mejor dispersión del agua, y un gran compuesto hacen que la conducción en días de lluvia sea más segura.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE RACING,1,1850,10,10,10,,2.00,Slick de carreras (no homologado carretera),,18,X-Ply,Neumáticos de motocicleta y scooter,NHS (No homologado carretera),26,H < 210 km/h,,K40,Delantero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9008100-1.jpg?context=bWFzdGVyfHJvb3R8MjY5NDl8aW1hZ2UvanBlZ3xhRE5sTDJnMk5TOHhNREV6TlRJeE1qQXhOVFl4T1RBdk9EQXdWM2c0TURCSVh6a3dNRGd4TURBdE1TNXFjR2N8NmU2ZGYyOTc3YTRiODBlZWJkZTA0MGQ4Y2Y2NTZlMTkwMmVmY2FkNDlmNTNiNzM4NzFlZjkzMDYzOTg3NTMyYg,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9008101,,11150097,HEIDENAU,HEIDE TIRE K40 2.25-18,Neumático HEIDENAU K40 CRS Racing 2.25-18 M/C 34H NHS TL,133.10,110.00,68.20,4027694150978,0,4011400000,0,1,"<p><strong>Una nueva mirada a un viejo tema</strong></p>
<p>El K40 de Heidenau es una interpretación moderna del clásico neumático delantero acanalado para motos ligeras. Las nervaduras anchas y el surco central aportan un manejo más estable.</p>
<p><strong>Manejo en carretera húmeda</strong></p>
<p>Las nervaduras no continuas permiten una mejor dispersión del agua, y un gran compuesto hacen que la conducción en días de lluvia sea más segura.</p>","
Una nueva mirada a un viejo tema

El K40 de Heidenau es una interpretación moderna del clásico neumático delantero acanalado para motos ligeras. Las nervaduras anchas y el surco central aportan un manejo más estable.

Manejo en carretera húmeda

Las nervaduras no continuas permiten una mejor dispersión del agua, y un gran compuesto hacen que la conducción en días de lluvia sea más segura.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE RACING,1,1900,10,10,10,70,110,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,54,H < 210 km/h,,SPORT FORCE PLUS,Delantero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9008101-1.jpg?context=bWFzdGVyfHJvb3R8MjY5NDl8aW1hZ2UvanBlZ3xhR05pTDJnM01pOHhNREV6TlRJeE1qQTFORGswTURZdk9EQXdWM2c0TURCSVh6a3dNRGd4TURFdE1TNXFjR2N8NmYwODM4MTNhMzhjZTJjNTU0OWI5YzI2ZDJlNGJiYjQ4NWEzYTI3YTE1MjY0YTIzNTc4ZWQ1MjgwYjU3M2Y2Yw,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9008102,,11150098,HEIDENAU,HEIDE TIRE K40 2.50-18,Neumático HEIDENAU K40 CRS REINF 2.50-18 M/C 45H NHS TT,160.93,133.00,82.46,4027694150985,0,4011400000,0,1,"<p><strong>Una nueva mirada a un viejo tema</strong></p>
<p>El K40 de Heidenau es una interpretación moderna del clásico neumático delantero acanalado para motos ligeras. Las nervaduras anchas y el surco central aportan un manejo más estable.</p>
<p><strong>Manejo en carretera húmeda</strong></p>
<p>Las nervaduras no continuas permiten una mejor dispersión del agua, y un gran compuesto hacen que la conducción en días de lluvia sea más segura.</p>","
Una nueva mirada a un viejo tema

El K40 de Heidenau es una interpretación moderna del clásico neumático delantero acanalado para motos ligeras. Las nervaduras anchas y el surco central aportan un manejo más estable.

Manejo en carretera húmeda

Las nervaduras no continuas permiten una mejor dispersión del agua, y un gran compuesto hacen que la conducción en días de lluvia sea más segura.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE RACING,1,2340,10,10,10,,2.50,Slick de carreras (no homologado carretera),,18,X-Ply,Neumáticos de motocicleta y scooter,NHS (No homologado carretera),45,H < 210 km/h,,K40,Trasero,TT - Para cámara,https://api.mybihr.com/medias/800Wx800H-9008102-1.jpg?context=bWFzdGVyfHJvb3R8MjY5NDl8aW1hZ2UvanBlZ3xhRFpqTDJnNE1DOHhNREV6TlRJeE1qQTVOREkyTWpJdk9EQXdWM2c0TURCSVh6a3dNRGd4TURJdE1TNXFjR2N8ZjM0ZmJlOWU0OTg4OWZhZjAxYzMyODI2YmMzMTE4NGJjOGY3NWVlOWFiYzg2ZTZhM2YzYmUyZWYzN2UxZjdmMg,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006451,,11130044,HEIDENAU,HEIDE TIRE K80 100/90-17,Neumático HEIDENAU K80 100/90-17 M/C 55H TL,139.15,115.00,71.30,4027694130444,0,4011400000,0,1,"<p><strong>Rendimiento</strong></p>
<p>Un moderno dibujo neutro de la banda de rodadura y un nuevo compuesto hacen que el neum&aacute;tico se sienta como en casa en las curvas r&aacute;pidas o en las rectas. Confianza cuando la necesitas.</p>
<p><strong>Pasi&oacute;n</strong></p>
<p>Utilizando lo &uacute;ltimo en compuestos combinados con una carcasa de nuevo desarrollo, el K80 maximiza la tracci&oacute;n y el tacto de la carretera. Este combo ha alcanzado un magn&iacute;fico equilibrio entre la goma en la calle, y la adherencia en asfalto mojado.</p>","
Rendimiento

Un moderno dibujo neutro de la banda de rodadura y un nuevo compuesto hacen que el neumático se sienta como en casa en las curvas rápidas o en las rectas. Confianza cuando la necesitas.

Pasión

Utilizando lo último en compuestos combinados con una carcasa de nuevo desarrollo, el K80 maximiza la tracción y el tacto de la carretera. Este combo ha alcanzado un magnífico equilibrio entre la goma en la calle, y la adherencia en asfalto mojado.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,43200,4500,600,600,120,90,100,Clásico/Urbano (diagonal y cruzado),,17,X-Ply,Neumáticos de motocicleta y scooter,,55,H < 210 km/h,,K80,Delantero/trasero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9006451-1.jpg?context=bWFzdGVyfHJvb3R8OTU4NTh8aW1hZ2UvanBlZ3xhREF5TDJnNFl5OHlPVGN6TnpRME1UVXlOVGM1TUM4NE1EQlhlRGd3TUVoZk9UQXdOalExTVMweExtcHdad3xmOGFjNWY4Yjc0YjgwZjllZWUyNzcxODVjMzhlNWE1MDY4ZDRkMjUxMDY0OWQ3ZTQ1YWM4YmU4MGE3YTYwOWJj,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006371,,11130093,HEIDENAU,HEIDE TIRE K36 4.00-18,Neumático HEIDENAU K36 4.00-18 M/C 64H TL,212.36,175.50,108.81,4027694130932,0,4011400000,0,1,"<p><strong>Dise&ntilde;o vintage.</strong></p>
<p>Un dise&ntilde;o de banda de rodadura perfecto para la mayor&iacute;a de las motos de finales de los 60 a finales de los 70. Adecuado para uso delantero, cuando se combina con el K36.</p>
<p><strong>Manejo y rendimiento</strong></p>
<p>Los compuestos y la construcci&oacute;n modernos ofrecen una conducci&oacute;n estable y un manejo seguro.</p>
<p><strong>Manejo en carretera mojada</strong></p>
<p>Las nervaduras centrales rotas permiten una mejor dispersi&oacute;n del agua, y permite que la goma llegue a la calle para hacer su trabajo.</p>","
Diseño vintage.

Un diseño de banda de rodadura perfecto para la mayoría de las motos de finales de los 60 a finales de los 70. Adecuado para uso delantero, cuando se combina con el K36.

Manejo y rendimiento

Los compuestos y la construcción modernos ofrecen una conducción estable y un manejo seguro.

Manejo en carretera mojada

Las nervaduras centrales rotas permiten una mejor dispersión del agua, y permite que la goma llegue a la calle para hacer su trabajo.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,43560,6210,660,660,100,,4.00,Clásico/Urbano (diagonal y cruzado),,18,X-Ply,Neumáticos de motocicleta y scooter,,64,H < 210 km/h,,K36,Delantero/trasero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9006371-1.jpg?context=bWFzdGVyfHJvb3R8NzcxOTh8aW1hZ2UvanBlZ3xhRGhoTDJoaE9DOHlPVGN6TWpBMk1qYzFOamc1TkM4NE1EQlhlRGd3TUVoZk9UQXdOak0zTVMweExtcHdad3w5MzE3MDg0MmIwZTMxYzIyYjM0NTI1ZGU3ZGUxNTAxYzMwMjY3NTgwYjU2MTJkMmRkZDBiYzhlZTNlNTgxNDg1,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006469,,11130007,HEIDENAU,HEIDE TIRE K65 (OMR) 130/90-15,Neumático HEIDENAU K65 (OMR) 130/90-15 M/C 66S TT,189.97,157.00,97.34,4027694130079,0,4011400000,0,1,"<p>Destinado a cruceros y roadsters. El K65 utiliza un patrón neutro con un perfil bien redondeado, lo que hace que sea uno de los neumáticos Heidenau más prolíficos, versátiles y de buen manejo para la calle. Llueva o haga sol, el K65 ofrece una tracción en la que se puede confiar.</p>
<p><strong>Goma y construcción</strong></p>
<p>El compuesto de goma del K65 alcanza un excelente equilibrio entre la durabilidad y la adherencia al asfalto mojado. Combinando esto con una carcasa fuerte, es un neumático que puede empujar en las curvas y en el que puede confiar, kilómetro tras kilómetro.</p>
<p><strong>*OMR</strong></p>
<p>Sin ranura central. Los neumáticos con esta etiqueta tienen una mayor superficie de contacto. En consecuencia, están optimizados para su uso en la rueda trasera y pueden demostrar sus ventajas especialmente en recorridos largos / touring.</p>","
Destinado a cruceros y roadsters. El K65 utiliza un patrón neutro con un perfil bien redondeado, lo que hace que sea uno de los neumáticos Heidenau más prolíficos, versátiles y de buen manejo para la calle. Llueva o haga sol, el K65 ofrece una tracción en la que se puede confiar.

Goma y construcción

El compuesto de goma del K65 alcanza un excelente equilibrio entre la durabilidad y la adherencia al asfalto mojado. Combinando esto con una carcasa fuerte, es un neumático que puede empujar en las curvas y en el que puede confiar, kilómetro tras kilómetro.

*OMR

Sin ranura central. Los neumáticos con esta etiqueta tienen una mayor superficie de contacto. En consecuencia, están optimizados para su uso en la rueda trasera y pueden demostrar sus ventajas especialmente en recorridos largos / touring.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,49613,6180,630,630,125,90,130,Clásico/Urbano (diagonal y cruzado),,15,X-Ply,Neumáticos de motocicleta y scooter,,66,S < 180 km/h,,K65 OMR,Trasero,TT - Para cámara,https://api.mybihr.com/medias/800Wx800H-9006469-1.jpg?context=bWFzdGVyfHJvb3R8MTAwNjc1fGltYWdlL2pwZWd8YURsaEwyaGlaUzh6TVRVMU5UUXpNemM1TVRVeE9DODRNREJYZURnd01FaGZPVEF3TmpRMk9TMHhMbXB3Wnd8YzYzYWRiNWMyZDllMzNhYmI1ZDJlNGQzOWU0YWI0NDZmMGUyNTQ5YWExNGNkYmNkYjJlZDBhNmFkYzQzZDUxNw,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006470,,11130008,HEIDENAU,HEIDE TIRE K65 (OMR) 140/90-15,Neumático HEIDENAU K65 (OMR) 140/90-15 M/C 70H TL,220.83,182.50,113.15,4027694130086,0,4011400000,0,1,"<p>Destinado a cruceros y roadsters. El K65 utiliza un patrón neutro con un perfil bien redondeado, lo que hace que sea uno de los neumáticos Heidenau más prolíficos, versátiles y de buen manejo para la calle. Llueva o haga sol, el K65 ofrece una tracción en la que se puede confiar.</p>
<p><strong>Goma y construcción</strong></p>
<p>El compuesto de goma del K65 alcanza un excelente equilibrio entre la durabilidad y la adherencia al asfalto mojado. Combinando esto con una carcasa fuerte, es un neumático que puede empujar en las curvas y en el que puede confiar, kilómetro tras kilómetro.</p>
<p><strong>*OMR</strong></p>
<p>Sin ranura central. Los neumáticos con esta etiqueta tienen una mayor superficie de contacto. En consecuencia, están optimizados para su uso en la rueda trasera y pueden demostrar sus ventajas especialmente en recorridos largos / touring.</p>","
Destinado a cruceros y roadsters. El K65 utiliza un patrón neutro con un perfil bien redondeado, lo que hace que sea uno de los neumáticos Heidenau más prolíficos, versátiles y de buen manejo para la calle. Llueva o haga sol, el K65 ofrece una tracción en la que se puede confiar.

Goma y construcción

El compuesto de goma del K65 alcanza un excelente equilibrio entre la durabilidad y la adherencia al asfalto mojado. Combinando esto con una carcasa fuerte, es un neumático que puede empujar en las curvas y en el que puede confiar, kilómetro tras kilómetro.

*OMR

Sin ranura central. Los neumáticos con esta etiqueta tienen una mayor superficie de contacto. En consecuencia, están optimizados para su uso en la rueda trasera y pueden demostrar sus ventajas especialmente en recorridos largos / touring.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,57344,6610,640,640,140,90,140,Clásico/Urbano (diagonal y cruzado),,15,X-Ply,Neumáticos de motocicleta y scooter,,70,H < 210 km/h,,K65 OMR,Trasero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9006470-1.jpg?context=bWFzdGVyfHJvb3R8MTAwNjc1fGltYWdlL2pwZWd8YURKakwyaGxZeTh6TVRVMU5UUXpOREU0TkRjek5DODRNREJYZURnd01FaGZPVEF3TmpRM01DMHhMbXB3Wnd8NmRhYzIzZDUzMTJiMzc3MDcxOWViNTI5ZjkwNTEwNzU5NTE1ZjQyYTk5NTJhMDk3YjU1YjZhNjQzZjRiNjAxYw,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006439,,11130141,HEIDENAU,HEIDE TIRE K65 3.00-19,Neumático HEIDENAU K65 3.00-19 M/C 49S TT,122.82,101.50,62.93,4027694131410,2,4011400000,0,1,"<p>Destinado a cruceros y roadsters. El K65 utiliza un patr&oacute;n neutro con un perfil bien redondeado, lo que hace que sea uno de los neum&aacute;ticos Heidenau m&aacute;s prol&iacute;ficos, vers&aacute;tiles y de buen manejo para la calle. Llueva o haga sol, el K65 ofrece una tracci&oacute;n en la que se puede confiar.</p>
<p><strong>Goma y construcci&oacute;n</strong></p>
<p>El compuesto de goma del K65 alcanza un excelente equilibrio entre la durabilidad y la adherencia al asfalto mojado. Combinando esto con una carcasa fuerte, es un neum&aacute;tico que puede empujar en las curvas y en el que puede confiar, kil&oacute;metro tras kil&oacute;metro.</p>","
Destinado a cruceros y roadsters. El K65 utiliza un patrón neutro con un perfil bien redondeado, lo que hace que sea uno de los neumáticos Heidenau más prolíficos, versátiles y de buen manejo para la calle. Llueva o haga sol, el K65 ofrece una tracción en la que se puede confiar.

Goma y construcción

El compuesto de goma del K65 alcanza un excelente equilibrio entre la durabilidad y la adherencia al asfalto mojado. Combinando esto con una carcasa fuerte, es un neumático que puede empujar en las curvas y en el que puede confiar, kilómetro tras kilómetro.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,34848,3780,660,660,80,,3.00,Clásico/Urbano (diagonal y cruzado),,19,X-Ply,Neumáticos de motocicleta y scooter,,49,S < 180 km/h,,K65,Delantero/trasero,TT - Para cámara,https://api.mybihr.com/medias/800Wx800H-9006439-1.jpg?context=bWFzdGVyfHJvb3R8MTAwNjc1fGltYWdlL2pwZWd8YUdRNEwyZzBaUzh5T1Rjek56UXpOVFl5TnpVMU1DODRNREJYZURnd01FaGZPVEF3TmpRek9TMHhMbXB3Wnd8OWJlYzAyZGE2OWE1NGNmMWRkYjE0YzA2MTIzZTZhNTNiMDg5ZTQyMTBmN2M1YzdjMGZhOTgyOTk0MmUzZWMyMQ,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006387,,11130154,HEIDENAU,HEIDE TIRE K44 3.25-19,Neumático HEIDENAU K44 3.25-19 M/C 54H TL,151.25,125.00,77.50,4027694131540,0,4011400000,0,1,"<p><strong>Dise&ntilde;o vintage.</strong></p>
<p>Un dise&ntilde;o de banda de rodadura perfecto para la mayor&iacute;a de las motos de finales de los 60 a finales de los 70. Adecuado para uso delantero, cuando se combina con el K36.</p>
<p><strong>Manejo y rendimiento</strong></p>
<p>Los compuestos y la construcci&oacute;n modernos ofrecen una conducci&oacute;n estable y un manejo seguro.</p>
<p><strong>Manejo en carretera mojada</strong></p>
<p>Las nervaduras centrales rotas permiten una mejor dispersi&oacute;n del agua, y permite que la goma llegue a la calle para hacer su trabajo.</p>","
Diseño vintage.

Un diseño de banda de rodadura perfecto para la mayoría de las motos de finales de los 60 a finales de los 70. Adecuado para uso delantero, cuando se combina con el K36.

Manejo y rendimiento

Los compuestos y la construcción modernos ofrecen una conducción estable y un manejo seguro.

Manejo en carretera mojada

Las nervaduras centrales rotas permiten una mejor dispersión del agua, y permite que la goma llegue a la calle para hacer su trabajo.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,39204,4500,660,660,90,,3.25,Clásico/Urbano (diagonal y cruzado),,19,X-Ply,Neumáticos de motocicleta y scooter,,54,H < 210 km/h,,K44,Delantero/trasero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9006387-1.jpg?context=bWFzdGVyfHJvb3R8Mzg1MjR8aW1hZ2UvanBlZ3xhRGMzTDJnNU1TOHlPVGN6TWpBM016YzVPVGN4TUM4NE1EQlhlRGd3TUVoZk9UQXdOak00TnkweExtcHdad3wwM2Y1NzZmOTEwZmJhZTRlNjNkMWJiNTkyNDA2ODM5ZGJlZTg0NDg2YWE4OWY2Y2VkYzZhNWVjMzhkMDllYjNh,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006448,,11130068,HEIDENAU,HEIDE TIRE K73 160/60-17,Neumático HEIDENAU K73 160/60-17 M/C 69H TL,254.10,210.00,130.20,4027694130680,2,4011400000,0,1,"<p><strong>La banda de rodadura</strong></p>
<p>Especialmente dise&ntilde;ada para Motards, la agresiva banda de rodadura de la K73 est&aacute; especializada en la parte delantera y trasera para ofrecer el m&aacute;ximo rendimiento.</p>
<p><strong>Goma y lluvia</strong></p>
<p>El fant&aacute;stico compuesto de Heidenau trabaja con la banda de rodadura del K73 para asegurar que la tracci&oacute;n no se vea comprometida, sin importar la superficie.</p>","
La banda de rodadura

Especialmente diseñada para Motards, la agresiva banda de rodadura de la K73 está especializada en la parte delantera y trasera para ofrecer el máximo rendimiento.

Goma y lluvia

El fantástico compuesto de Heidenau trabaja con la banda de rodadura del K73 para asegurar que la tracción no se vea comprometida, sin importar la superficie.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,63504,6050,630,630,160,60,160,Clásico/Urbano (diagonal y cruzado),,17,X-Ply,Neumáticos de motocicleta y scooter,,69,H < 210 km/h,,K73,Trasero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9006448-1.jpg?context=bWFzdGVyfHJvb3R8ODU3NjV8aW1hZ2UvanBlZ3xhRGsyTDJneFlTOHlPVGN6TnpRek9URTJOalE1TkM4NE1EQlhlRGd3TUVoZk9UQXdOalEwT0MweExtcHdad3xlYzVmMzhjMDk0OGYzMGFmYWNiYjc5NDU2YzAyZWQ0YTAyNjRkM2M1ODkxMWI5MjM2ZTMxZGFhMzA4Y2I2Y2U4,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
