PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Cantidad,Diámetro Ø (mm),Longitud (mm),Longitud de rosca,Rango de uso,Rosca (mm),Picture1,AllPicturesZIP,DeliveryPlant
1050984,893209,01803020000,HELICOIL,HELIC EXTRACTOR M11 TO M16,Extractor M11 - M16,30.25,25.00,20.00,01803020000,0,8205598000,0,1,"Herramienta manual de extracción de roscas Helicoil.			De M11 a M16. Perfecta para un trabajo preciso.""""""""","Herramienta manual de extracción de roscas Helicoil.			De M11 a M16. Perfecta para un trabajo preciso.""""""""",TOOLING & WS,TOOLING,TOOLING GENERAL,253,51,86,109,27,,,,,,,https://api.mybihr.com/medias/1050984-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjkwNDh8aW1hZ2UvanBlZ3xhRGMzTDJnM1l5ODRPVFV6T0RZeE9UazJOVGMwTHpFd05UQTVPRFF0TVY4NE1EQlhlRGd3TUVnfDE4YmRiZjA2MTk3NjkxYjFmYTkwNDZkNDY2M2MyMDdmN2VmZTgzNzUyOGY1NzFkZTBhOTk0ZDliOTVhNWJmZmQ,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1050988,891628,22161140100,HELICOIL,HELIC BOX RIVETS BOX OF 500PCS 4X10,Remaches cabeza ancha BÖLLHOFF 500uds /4x10,59.29,49.00,39.20,22161140100,1,8308900090,0,1,Kit de 500 remaches de cabeza plana en aluminio.,Kit de 500 remaches de cabeza plana en aluminio.,TOOLING & WS,TOOLING,TOOLING GENERAL,1785,905,182,218,45,,,,,,,https://api.mybihr.com/medias/1050988-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTIyMzV8aW1hZ2UvanBlZ3xhR1V6TDJoa09DODRPRFkzTmpFeU1UTXhNelU0THpFd05UQTVPRGd0TVY4NE1EQlhlRGd3TUVnfDU4Zjk0MGFhNzQ4YTJkZDMwZDFiMjJmMDZmYTUwMjAzZDY3ZjJmM2VkMTI1OGQ1NDgxZWQxODI3NjlkZTcyYmE,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051045,894005,41890129016,HELICOIL,"HELIC ASSORTMENT M12X1,25X16","Juego de roscas HELICOIL M12 x 1,25 x 16 - 10 unidades",23.74,19.62,15.70,41890129016,1,7223001900,0,1,"Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ","Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ",TOOLING & WS,TOOLING,TOOLING GENERAL,204,31,140,73,20,,,,,,,https://api.mybihr.com/medias/1051045-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjAyMzh8aW1hZ2UvanBlZ3xhRGMxTDJoallpODRPVFV6T0RZek1UYzJNakl5THpFd05URXdORFV0TVY4NE1EQlhlRGd3TUVnfDI3NjM1MzNhZmNhNzUzZjQ1YjQ4ZmU1ZTkyZjQ2MjRmZGUzNWQwNTNlNDY2NjFiMjdkYjU2ODZmNjkzN2ZmMTE,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051046,894062,41890129018,HELICOIL,"HELIC ASSORTMENT M12X1,25X18","Juego de roscas HELICOIL M12 x 1,25 x 18 - 10 unidades",29.04,24.00,19.20,41890129018,1,7223001900,0,1,"Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ","Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ",TOOLING & WS,TOOLING,TOOLING GENERAL,162,37,111,86,17,,,,,,,https://api.mybihr.com/medias/1051046-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjA1MzV8aW1hZ2UvanBlZ3xhR013TDJoaVlTODRPRGMwTkRBd09EUXhOelU0THpFd05URXdORFl0TVY4NE1EQlhlRGd3TUVnfGE0ZTIxMTFlZWM3NDVjMGEwYjEzOWM4MWQ2YmIxNWQ0Yzk3ZmEzYTA0MzY3YzdkY2UzZDQ2ZTZhNzg1NzY4Yjc,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051050,894068,41890144028,HELICOIL,"HELIC ASSORTMENT M14X1,5X28","Juego de roscas HELICOIL M14 x 1,50 x 28 - 10 unidades",29.29,24.21,19.37,41890144028,1,7223001900,0,1,"Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ","Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ",TOOLING & WS,TOOLING,TOOLING GENERAL,216,76,137,83,19,,,,,,,https://api.mybihr.com/medias/1051050-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjA1MzV8aW1hZ2UvanBlZ3xhRGxsTDJobFpDODRPVFEyTURZME1qa3pPVEU0THpFd05URXdOVEF0TVY4NE1EQlhlRGd3TUVnfDQ1NmRhMTI5ZWYwNDQyNGM1MWQxYTQxNzEzZTQ2ZjEzMmVkMTAwODA5MjI3NDcxMWE5OGMyMDkwZWEzODdjMWY,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051051,894013,41890144105,HELICOIL,"HELIC ASSORTMENT M14X1,5X10,5","Juego de roscas HELICOIL M14 x 1,50 x 0,5 - 10 unidades",25.25,20.87,16.70,41890144105,0,7223001900,0,1,"Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ","Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ",TOOLING & WS,TOOLING,TOOLING GENERAL,75,71,104,60,12,,,,,,,https://api.mybihr.com/medias/1051051-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjAyMzh8aW1hZ2UvanBlZ3xhREk0TDJnMFlTODRPVFE1TXpFNE1UZzVNRGcyTHpFd05URXdOVEV0TVY4NE1EQlhlRGd3TUVnfGY5NDQxODI2ZGI3ODRkOGNiZDFhNmJmMDMzMDgwNGIwNzJmMGVmYmQxMGIwMDQ2ZTFhMWJkY2M5ZjliZjY3N2Q,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051053,894008,41890149012,HELICOIL,"HELIC ASSORTMENT M14X1,25X12,4","Juego de roscas HELICOIL M14 x 1,25 x 2,4 - 10 unidades",30.25,25.00,20.00,894008,1,7223001900,0,1,"Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ","Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ",TOOLING & WS,TOOLING,TOOLING GENERAL,165,27,110,75,20,,,,,,,https://api.mybihr.com/medias/1051053-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjAyMzh8aW1hZ2UvanBlZ3xhR1U1TDJnM055ODRPVE01TlRVME1qUXlOVGt3THpFd05URXdOVE10TVY4NE1EQlhlRGd3TUVnfGE4ZmY5NWQzMDBjYzk5MDQ4N2YyYTNjNTc3ZDNkZWI4ZmYzMTQzMjQ2ZDQ0OWU0ZDM4NzA0NTliYTM1ZGI3MTY,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051055,894016,41890164012,HELICOIL,"HELIC ASSORTMENT M16X1,5X12","Juego de roscas HELICOIL M16 x 1,50 x 12 - 10 unidades",28.79,23.79,19.03,41890164012,1,7223001900,0,1,"Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ","Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ",TOOLING & WS,TOOLING,TOOLING GENERAL,162,39,111,73,20,,,,,,,https://api.mybihr.com/medias/1051055-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjAyMzh8aW1hZ2UvanBlZ3xhR0UxTDJoak5DODRPVFV6T0RZek16Y3lPRE13THpFd05URXdOVFV0TVY4NE1EQlhlRGd3TUVnfGU4ZDAzZTBjZDgxMmE0Yjg3NmZkMTM3ZTBlYmUzZDViM2E0NjQwMmM5ZTZmYjM2NmFhZWYyYmFjNjk4ZTUzZTE,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051056,894017,41890164016,HELICOIL,"HELIC ASSORTMENT M16X1,5X16","Juego de roscas HELICOIL M16 x 1,50 x 16 - 10 unidades",35.09,29.00,23.20,41890164016,1,7223001900,0,1,"Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ","Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ",TOOLING & WS,TOOLING,TOOLING GENERAL,238,51,122,78,25,,,,,,,https://api.mybihr.com/medias/1051056-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjAyMzh8aW1hZ2UvanBlZ3xhR0UzTDJnM1pTODRPVE01TlRVME5ETTVNVGs0THpFd05URXdOVFl0TVY4NE1EQlhlRGd3TUVnfDgxMWI5MjFlYWQyYzliODdiZDA4YzRiMjQ2MzdiYjI4MjUyYjAyMjU2YzhhZWViY2I3Yjg1MjMwM2ZiZmNlNjQ,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051057,894069,41890164032,HELICOIL,"HELIC ASSORTMENT M16X1,5X32","Juego de roscas HELICOIL M16 x 1,50 x 32 - 10 unidades",36.36,30.05,24.04,41890164032,1,7223001900,0,1,"Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ","Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ",TOOLING & WS,TOOLING,TOOLING GENERAL,240,102,114,78,27,,,,,,,https://api.mybihr.com/medias/1051057-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjA1MzV8aW1hZ2UvanBlZ3xhRFptTDJobU5DODRPVFEyTURZME5Ea3dOVEkyTHpFd05URXdOVGN0TVY4NE1EQlhlRGd3TUVnfDk0N2E0MzQzODczYTIwOWI3Mzc1ZmFhNjU1ZDdhMjA5ZjYwZDNjOTc0ODk0MmUzNjcyM2MyODgzZjY0MWQwZGQ,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1050980,89215001,01420060102,HELICOIL,HELIC SCREW TAP M6 X 100,Machos de roscar combinado  HELICOIL M6 x 100,142.78,118.00,94.40,01420060102,0,8207199000,0,1,Macho combinado para convertir roscas métricas tradicionales en roscas Helicoil. No requiere pretaladrado. ,Macho combinado para convertir roscas métricas tradicionales en roscas Helicoil. No requiere pretaladrado. ,TOOLING & WS,TOOLING,TOOLING GENERAL,118,34,126,78,12,,,,,,,https://api.mybihr.com/medias/1050980-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzE0NDB8aW1hZ2UvanBlZ3xhREkwTDJoaE9DODRPVEF5TWpZd05UVTFPREEyTHpFd05UQTVPREF0TVY4NE1EQlhlRGd3TUVnfGU2YTZhZjZhYzcwYjJkZTczZGIxOTg2NDNhOGI4NTBhNzIxNzNlOTJiN2I5ZGIxZGUxMmQ0OWZlNzZiNDQ1ZDA,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1050981,89215002,01420080102,HELICOIL,HELIC SCREW TAP M8 X 125,Machos de roscar combinado  HELICOIL M8 x 125,88.33,73.00,58.40,01420080102,0,8207199000,0,1,Macho combinado para convertir roscas métricas tradicionales en roscas Helicoil. No requiere pretaladrado. ,Macho combinado para convertir roscas métricas tradicionales en roscas Helicoil. No requiere pretaladrado. ,TOOLING & WS,TOOLING,TOOLING GENERAL,89,47,106,70,12,,,,,,,https://api.mybihr.com/medias/1050981-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzE0NDB8aW1hZ2UvanBlZ3xhR1F5TDJnNFlTODRPRGMwTXprNU5EWTFOVEF5THpFd05UQTVPREV0TVY4NE1EQlhlRGd3TUVnfDlkYzNhYjNmMGUwMjAyYTY0NDYyOWVjNzM5OGJiODk2NTdjMTA1YzM3MjRjZTE0ZDE3MGY1NTQ1MzYwZGZlMTE,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1050982,89215003,01420100102,HELICOIL,HELIC SCREW TAP M10 X 150,Machos de roscar combinado  HELICOIL M10 x 150,140.49,116.11,92.89,01420100102,0,8207199000,0,1,Macho combinado para convertir roscas métricas tradicionales en roscas Helicoil. No requiere pretaladrado. ,Macho combinado para convertir roscas métricas tradicionales en roscas Helicoil. No requiere pretaladrado. ,TOOLING & WS,TOOLING,TOOLING GENERAL,138,69,135,73,14,,,,,,,https://api.mybihr.com/medias/1050982-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzE0NDB8aW1hZ2UvanBlZ3xhRFF3TDJnME5DODRPVEkzTmpJNU1UZ3dPVFU0THpFd05UQTVPREl0TVY4NE1EQlhlRGd3TUVnfDcyYTdjZmExYzE3YTBmMzFjZTA1YTEwYjRjNWRhNDNiOGI4Nzk1ZmJjZTg2YmI3YTFkMWYwMjQ1YTdiMDAwNGM,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051059,894048,01400060104/10,HELICOIL,HELIC SCREW TAP M6X1,"Machos de roscar manual HELICOIL M6 x 1,00 tipo 0140,0",16.94,14.00,11.20,01400060104/10,0,8207199000,0,1,Macho de reparación para transformar roscas métricas tradicionales en roscas compatibles con las Helicoil. ,Macho de reparación para transformar roscas métricas tradicionales en roscas compatibles con las Helicoil. ,TOOLING & WS,TOOLING,TOOLING GENERAL,92,19,110,64,13,,,,,,,https://api.mybihr.com/medias/1051059-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTIwODh8aW1hZ2UvanBlZ3xhRFEwTDJnNE1DODRPVEV3TXpjM01UVTJOak00THpFd05URXdOVGt0TVY4NE1EQlhlRGd3TUVnfDNlY2U0ZDRlM2FmNjY0NTI2OWU2NGZhZTBiZjUxY2I5ZDk4MTRjMzAxNTE4NzJjYWUxZTdjZDI3ZTU3MTUxYzU,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
