PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Cantidad,Diámetro Ø (mm),Especificaciones,Espesor (mm),Rango de uso,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,Document1,DeliveryPlant
1019001,,4286-1IN,HOT CAMS,HOTCA CAMSHAFT STAGE 1 - INTAKE,Arbol de levas HOT CAMS - Stage 1 Yamaha YFZ450,331.13,273.66,177.88,4286-1IN,0,8714109090,0,1,"<p>Developed on test benches and tested by leading teams, HOT CAMS camshafts are available in three levels.</p>
<ul>
<li>Stage 1 : increases torque and power with no additional modifications. Ideal for basic tuning.</li>
<li>Stage 2 : better suited to large machines, requires further improvements such as hi-compression pistons and larger carburetor to deliver its potential.</li>
<li>Stage 3 : specifically developed for Supermotard or to increase cylinders (use original valve springs for mounting)</li>
</ul>
<p>In any case, we strongly advise these preparations to be handled by qualified professionals and with the adapted tools. Two sets of valve discs included for a perfect fit.</p>","
Developed on test benches and tested by leading teams, HOT CAMS camshafts are available in three levels.

Stage 1 : increases torque and power with no additional modifications. Ideal for basic tuning.
Stage 2 : better suited to large machines, requires further improvements such as hi-compression pistons and larger carburetor to deliver its potential.
Stage 3 : specifically developed for Supermotard or to increase cylinders (use original valve springs for mounting)


In any case, we strongly advise these preparations to be handled by qualified professionals and with the adapted tools. Two sets of valve discs included for a perfect fit.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,1580,395,244,83,78,,,,,,https://api.mybihr.com/medias/800Wx800H-1019001-1.jpg?context=bWFzdGVyfHJvb3R8MjE2NDF8aW1hZ2UvanBlZ3xhRFkzTDJneU1TODVPRGd5TkRRd01UVTROREUxT0M4NE1EQlhlRGd3TUVoZk1UQXhPVEF3TVMweExtcHdad3w0NGQ4NjYxNDBmN2MwYTc5MTljZjk3NGJhMGI1YzJmZGRiMzI3ZWE5YmFlMjQ0ZDNhZjMzNDVjNWJmNzllNDk5,https://api.mybihr.com/medias/1019001-2-800Wx800H?context=bWFzdGVyfHJvb3R8NTIzMzV8aW1hZ2UvanBlZ3xhR1EwTDJobVl5OHhNRGM1TVRFek16Y3dPRE14T0M4eE1ERTVNREF4TFRKZk9EQXdWM2c0TURCSXw4NzU1MjhkYmU0NjM5ZGJmZWM3N2RmNDk5NmE0ZjEyY2I5MjlmMDI2ZjExMmI5MjBlNjNiYzJhNGExZGM0MWYw,https://api.mybihr.com/medias/1019001-3-800Wx800H?context=bWFzdGVyfHJvb3R8NTk1ODJ8aW1hZ2UvanBlZ3xhRGc0TDJoaE55OHhNRGM1TVRFek5ERXdNVFV6TkM4eE1ERTVNREF4TFROZk9EQXdWM2c0TURCSXxmZDExNGE4YzE3Yzk2YWI3YjViZmEwNjQ5NDFkYWFiNDgzZjIxYTY4MDFiMTI1ZWZkOTI4YWY4OTU1ZTViZmI0,https://api.mybihr.com/medias/1019001-4-800Wx800H?context=bWFzdGVyfHJvb3R8NzA2MjJ8aW1hZ2UvanBlZ3xhRFJoTDJnNVl5OHhNRGM1TVRFek5EUTVORGMxTUM4eE1ERTVNREF4TFRSZk9EQXdWM2c0TURCSXxkMmEzYjg1ZWYwYjA5YzUxNDNiZjIxNWRlYzQ3NmE3OTY5MGYzMGRiZjZhNDc0ZjJjNjJiOWQ3OWY4ZDJkNTg0,https://static.bihr.pro/eBihr/Pictures/HOT_CAMS-pictures.zip,,Spain Warehouse (Parts)
1006509,46194,5PK1000305,HOT CAMS,"HOTCA VALVE SHIM 10X3,05MM","Pastillas de reglaje Hot Cams (Set 5pcs) Ø10 x 3,05 mm",12.29,10.16,6.60,8430525461949,4,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Hot Cams is an American company specialising in the design and manufacturing of high-performance cam components. The 5-valve shim kits are designed for replacing or adjusting your camshaft in order to improve your motorbike’s performance.</p><p> </p></body> </html>","       Hot Cams is an American company specialising in the design and manufacturing of high-performance cam components. The 5-valve shim kits are designed for replacing or adjusting your camshaft in order to improve your motorbike’s performance.  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,20,6,66,76,4,,,,,,https://api.mybihr.com/medias/1006509-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTc3NDh8aW1hZ2UvanBlZ3xhR1UzTDJobFpTODRPVEkyTXpRMU56ZzVORGN3THpFd01EWTFNRGt0TVY4NE1EQlhlRGd3TUVnfGM0NTc5ZmRhYzdkYjRhNTBjYzYyNzU5N2Y5ZWMwODdlY2Y4ZTU3ZjFiYzU0MmY1ODliNDA2YzllNWQwYWZiMGE,,,,https://static.bihr.pro/eBihr/Pictures/HOT_CAMS-pictures.zip,,Spain Warehouse (Parts)
1006625,46339,5PK948330,HOT CAMS,"HOTCA VALVE SHIM 9,48X3,30MM","Pastillas de reglaje Hot Cams (Set 5pcs) Ø9,48 x 3,3 mm",11.27,9.31,6.05,8430525463394,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Hot Cams is an American company specialising in the design and manufacturing of high-performance cam components. The 5-valve shim kits are designed for replacing or adjusting your camshaft in order to improve your motorbike’s performance.</p><p> </p></body> </html>","       Hot Cams is an American company specialising in the design and manufacturing of high-performance cam components. The 5-valve shim kits are designed for replacing or adjusting your camshaft in order to improve your motorbike’s performance.  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,35,5,66,76,7,,,,,,https://api.mybihr.com/medias/800Wx800H-1006625-1.jpg?context=bWFzdGVyfHJvb3R8NDY4M3xpbWFnZS9qcGVnfGFHRmlMMmd4TlM4NU9EZ3lOREU0TkRJek5EQXhOQzg0TURCWGVEZ3dNRWhmTVRBd05qWXlOUzB4TG1wd1p3fGQxNmFhM2MxYTRkMWY5Nzk5MmI0OTA5ZjJiM2RjOTNjOWExZTVmOGJlYzNhZGRlOTY3ODFkYmFmZWE1MjVkMDc,,,,https://static.bihr.pro/eBihr/Pictures/HOT_CAMS-pictures.zip,,Spain Warehouse (Parts)
1006492,46177,5PK1000220,HOT CAMS,"HOTCA VALVE SHIM 10X2,20MM","Pastillas de reglaje Hot Cams (Set 5pcs) Ø10 x 2,2 mm",11.27,9.31,6.05,8430525461772,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Hot Cams is an American company specialising in the design and manufacturing of high-performance cam components. The 5-valve shim kits are designed for replacing or adjusting your camshaft in order to improve your motorbike’s performance.</p><p> </p></body> </html>","       Hot Cams is an American company specialising in the design and manufacturing of high-performance cam components. The 5-valve shim kits are designed for replacing or adjusting your camshaft in order to improve your motorbike’s performance.  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,16,8,76,17,12,,,,,,https://api.mybihr.com/medias/1006492-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTc3NDh8aW1hZ2UvanBlZ3xhR1l6TDJneE15ODRPVFk0TnprMU5qRTVNelU0THpFd01EWTBPVEl0TVY4NE1EQlhlRGd3TUVnfGYyNTFiNGRhNTI1MTU2YzUwN2Q1MjIwMDcxOGQ0ZWQwOTAwZGExMzRlYjA2M2Y2NWYxNTdmYjY4YTc5OTc2YTk,,,,https://static.bihr.pro/eBihr/Pictures/HOT_CAMS-pictures.zip,,Spain Warehouse (Parts)
1018935,,2031-1S,HOT CAMS,HOTCA CAMSHAFT STAGE 1,HOT CAMS Camshaft - Stage 1 Kawasaki 650,456.17,377.00,245.05,2031-1S,0,8714109090,0,1,"<p>Developed on test benches and tested by leading teams, HOT CAMS camshafts are available in three levels.</p>
<ul>
<li>Stage 1 : increases torque and power with no additional modifications. Ideal for basic tuning.</li>
<li>Stage 2 : better suited to large machines, requires further improvements such as hi-compression pistons and larger carburetor to deliver its potential.</li>
<li>Stage 3 : specifically developed for Supermotard or to increase cylinders (use original valve springs for mounting)</li>
</ul>
<p>In any case, we strongly advise these preparations to be handled by qualified professionals and with the adapted tools. Two sets of valve discs included for a perfect fit.</p>","
Developed on test benches and tested by leading teams, HOT CAMS camshafts are available in three levels.

Stage 1 : increases torque and power with no additional modifications. Ideal for basic tuning.
Stage 2 : better suited to large machines, requires further improvements such as hi-compression pistons and larger carburetor to deliver its potential.
Stage 3 : specifically developed for Supermotard or to increase cylinders (use original valve springs for mounting)


In any case, we strongly advise these preparations to be handled by qualified professionals and with the adapted tools. Two sets of valve discs included for a perfect fit.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,1,100,10,10,10,,,,,,https://api.mybihr.com/medias/1018935-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTgzNTB8aW1hZ2UvanBlZ3xhRFpsTDJoa1lTODRPVEkyTmpnek9UVTFNak13THpFd01UZzVNelV0TVY4NE1EQlhlRGd3TUVnfGI2NTNjNzE1YmZiYjM5Y2U0MWI1ZTVmZDY3OTMyOWJlN2ZlZGU3ZWZlOTAwOGViZWNjZDg4Nzc2ZTgxNzMwZTM,,,,https://static.bihr.pro/eBihr/Pictures/HOT_CAMS-pictures.zip,,France Warehouse (Parts)
1018999,,4280-2IN,HOT CAMS,HOTCA CAMSHAFT STAGE 2 - INTAKE,Arbol de levas HOT CAMS - Stage 2 Yamaha YZ450F,298.22,246.46,160.20,4280-2IN,0,8714109090,0,1,"<p>Developed on test benches and tested by leading teams, HOT CAMS camshafts are available in three levels.</p>
<ul>
<li>Stage 1 : increases torque and power with no additional modifications. Ideal for basic tuning.</li>
<li>Stage 2 : better suited to large machines, requires further improvements such as hi-compression pistons and larger carburetor to deliver its potential.</li>
<li>Stage 3 : specifically developed for Supermotard or to increase cylinders (use original valve springs for mounting)</li>
</ul>
<p>In any case, we strongly advise these preparations to be handled by qualified professionals and with the adapted tools. Two sets of valve discs included for a perfect fit.</p>","
Developed on test benches and tested by leading teams, HOT CAMS camshafts are available in three levels.

Stage 1 : increases torque and power with no additional modifications. Ideal for basic tuning.
Stage 2 : better suited to large machines, requires further improvements such as hi-compression pistons and larger carburetor to deliver its potential.
Stage 3 : specifically developed for Supermotard or to increase cylinders (use original valve springs for mounting)


In any case, we strongly advise these preparations to be handled by qualified professionals and with the adapted tools. Two sets of valve discs included for a perfect fit.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,1122,470,243,81,57,,,,,,https://api.mybihr.com/medias/800Wx800H-1018999-1.jpg?context=bWFzdGVyfHJvb3R8Mjg4OTB8aW1hZ2UvanBlZ3xhR1kxTDJneVpTODVPRGd5TkRRd01URTVNRGswTWk4NE1EQlhlRGd3TUVoZk1UQXhPRGs1T1MweExtcHdad3wxYmZkZWM0NDg4M2VkNTc5OTcxMGQxMTQ4MTk3ZTM4MGM1MGQ2OTM3NTYzYzI1NjdmOGU5MjM5M2U5YWEzNjI0,https://api.mybihr.com/medias/1018999-2-800Wx800H?context=bWFzdGVyfHJvb3R8NzE3MjV8aW1hZ2UvanBlZ3xhR00wTDJnNU1pOHhNRGM1TVRFek1qVXlPRFkzTUM4eE1ERTRPVGs1TFRKZk9EQXdWM2c0TURCSXwxMGIxMjc5OWYxYzI1ZTliZmEzMzA0OGYzOGNkOWM3YmFlYWUyMGIxYzdiMWNkOGFmMWFjZGQ5YjhhMTEwNzYw,,,https://static.bihr.pro/eBihr/Pictures/HOT_CAMS-pictures.zip,,Spain Warehouse (Parts)
1006510,46195,5PK1000310,HOT CAMS,"HOTCA VALVE SHIM 10X3,10MM","Pastillas de reglaje Hot Cams (Set 5pcs) Ø10 x 3,1 mm",12.29,10.16,6.60,5PK1000310,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Hot Cams is an American company specialising in the design and manufacturing of high-performance cam components. The 5-valve shim kits are designed for replacing or adjusting your camshaft in order to improve your motorbike’s performance.</p><p> </p></body> </html>","       Hot Cams is an American company specialising in the design and manufacturing of high-performance cam components. The 5-valve shim kits are designed for replacing or adjusting your camshaft in order to improve your motorbike’s performance.  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,38,3,71,76,7,,,,,,https://api.mybihr.com/medias/1006510-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTc3NDh8aW1hZ2UvanBlZ3xhRE00TDJnNU9DODRPVFE1TURNeU16ZzJOVGt3THpFd01EWTFNVEF0TVY4NE1EQlhlRGd3TUVnfDMxODFhNmY1ZmFkYmUxNDEyMTkzYTRkZjc2OWMwOWY2YjVjNmE0YjhlZDBhZDgwNDEwZmM5NzI3ZmNhZDk1NzI,,,,https://static.bihr.pro/eBihr/Pictures/HOT_CAMS-pictures.zip,,Spain Warehouse (Parts)
1006588,46302,5PK948145,HOT CAMS,"HOTCA VALVE SHIM 9,48X1,45MM","Pastillas de reglaje Hot Cams (Set 5pcs) Ø9,48 x 1,45 mm",11.27,9.31,6.05,8430525463028,5,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Hot Cams is an American company specialising in the design and manufacturing of high-performance cam components. The 5-valve shim kits are designed for replacing or adjusting your camshaft in order to improve your motorbike’s performance.</p><p> </p></body> </html>","       Hot Cams is an American company specialising in the design and manufacturing of high-performance cam components. The 5-valve shim kits are designed for replacing or adjusting your camshaft in order to improve your motorbike’s performance.  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,20,100,65,76,4,,,,,,https://api.mybihr.com/medias/1006588-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTc3NDh8aW1hZ2UvanBlZ3xhRGMyTDJoaFpDODRPVEE0TkRNMU1EazFOVGd5THpFd01EWTFPRGd0TVY4NE1EQlhlRGd3TUVnfDJlNzY5Mzg1YzdlN2ZjZGQ0YWQxNGVjYTVmOTM1YWVmZDdhMTEyNDk1ZmRhZTkwYTdhODQ2MDVjZTgwNGIyYjI,,,,https://static.bihr.pro/eBihr/Pictures/HOT_CAMS-pictures.zip,,Spain Warehouse (Parts)
1006591,46305,5PK948160,HOT CAMS,"HOTCA VALVE SHIM 9,48X1,60MM","Pastillas de reglaje Hot Cams (Set 5pcs) Ø9,48 x 1,6 mm",11.27,9.31,6.05,8430525463059,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Hot Cams is an American company specialising in the design and manufacturing of high-performance cam components. The 5-valve shim kits are designed for replacing or adjusting your camshaft in order to improve your motorbike’s performance.</p><p> </p></body> </html>","       Hot Cams is an American company specialising in the design and manufacturing of high-performance cam components. The 5-valve shim kits are designed for replacing or adjusting your camshaft in order to improve your motorbike’s performance.  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,19,2,65,73,4,,,,,,https://api.mybihr.com/medias/800Wx800H-1006591-1.jpg?context=bWFzdGVyfHJvb3R8NTMwMHxpbWFnZS9qcGVnfGFEQXhMMmd6TlM4NU9EZ3lNREEwT1RrMk1EazVNQzg0TURCWGVEZ3dNRWhmTVRBd05qVTVNUzB4TG1wd1p3fDYzOTQ5OGY2YTc4MWZhYWRiMjNhODZkNGYzNjE0M2U1Mzk1OWU0NDA2MjkzZDRlMDRmZjhlNzdiZWViMjI4NjA,,,,https://static.bihr.pro/eBihr/Pictures/HOT_CAMS-pictures.zip,,Spain Warehouse (Parts)
1006592,46306,5PK948165,HOT CAMS,"HOTCA VALVE SHIM 9,48X1,65MM","Pastillas de reglaje Hot Cams (Set 5pcs) Ø9,48 x 1,65 mm",11.27,9.31,6.05,8430525463066,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Hot Cams is an American company specialising in the design and manufacturing of high-performance cam components. The 5-valve shim kits are designed for replacing or adjusting your camshaft in order to improve your motorbike’s performance.</p><p> </p></body> </html>","       Hot Cams is an American company specialising in the design and manufacturing of high-performance cam components. The 5-valve shim kits are designed for replacing or adjusting your camshaft in order to improve your motorbike’s performance.  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,19,2,66,73,4,,,,,,https://api.mybihr.com/medias/800Wx800H-1006592-1.jpg?context=bWFzdGVyfHJvb3R8NDY4M3xpbWFnZS9qcGVnfGFHUXdMMmhqWlM4NU9EZ3lNREExTURFMU56VTVPQzg0TURCWGVEZ3dNRWhmTVRBd05qVTVNaTB4TG1wd1p3fDVmMzQ3MDM4Y2U2MWQ4MjFmZWYwMWIyNDZmYzZhMzk0ZjljZTMxYjBkMzUyN2JlZTRlZGYwZDVkMmE5MjdmYzY,,,,https://static.bihr.pro/eBihr/Pictures/HOT_CAMS-pictures.zip,,Spain Warehouse (Parts)
