PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura (mm),Cantidad,Longitud (cm),Longitud (mm),Picture1,Picture2,AllPicturesZIP,DeliveryPlant
1155355,,PP1012,HPX,HPX PAINT PROTECTION FILM,HPX Paint Protection Film - 100mm x 1.2m,22.99,19.00,15.20,5407004565170,0,5906100000,0,1,"<ul>
	<li>Transparent protective film against chippings and scratches</li>
	<li>Also suitable for car and bus windows</li>
	<li>Does not yellow, prolonged resistance to UV</li>
	<li>Resistant to high pressure cleaning</li>
	<li>Removable without damage</li>
	<li>OEM quality</li>
</ul>
","
	Transparent protective film against chippings and scratches
	Also suitable for car and bus windows
	Does not yellow, prolonged resistance to UV
	Resistant to high pressure cleaning
	Removable without damage
	OEM quality

",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,1,1,10,10,10,,,,,https://api.mybihr.com/medias/800Wx800H-1155355-1.jpg?context=bWFzdGVyfHJvb3R8NjE5NTF8aW1hZ2UvanBlZ3xhR0psTDJneE55OHhNREkwTkRreU5UQXdNRGt4TVRndk9EQXdWM2c0TURCSVh6RXhOVFV6TlRVdE1TNXFjR2N8NTYyNWE5MjA4Y2UzZTI2NzkyZjczYjdlMWM3Y2E2ZTQwMTNmMDU2NDY1ZWIxYWU5YzVhOGY3MjQ4N2M3MjA0OQ,https://api.mybihr.com/medias/800Wx800H-1155355-2.jpg?context=bWFzdGVyfHJvb3R8NTYwNzV8aW1hZ2UvanBlZ3xhRFZsTDJneU5TOHhNREkwTkRreU5UQTBNREl6TXpRdk9EQXdWM2c0TURCSVh6RXhOVFV6TlRVdE1pNXFjR2N8ZWEzNjY3MGRhMWRhOTc1YmE2ZWVjYzIwNzdlNzBhMjU3MjRhNGNhNmY1Zjc5YjE5ZjBlMGVkMWE3ZmEwNmRjNw,https://static.bihr.pro/eBihr/Pictures/HPX-pictures.zip,Spain Warehouse (Parts)
1155361,,335934,HPX,HPX SYNTHETIC DEGREASING BRUSH,HPX Synthetic Degreasing Brush,6.05,5.00,4.00,8711347125234,0,5906100000,0,1,"<p>This 50 mm synthetic brush is ideal for degreasing, cleaning, and applying solvents. Its chemically resistant synthetic bristles ensure smooth and even application, while the sturdy metal ferrule keeps the fibers firmly in place. The ergonomic wooden handle offers comfortable grip during prolonged use. Versatile and durable, it is perfectly suited for surface preparation, mechanical work, body repair, and general maintenance.</p>
<ul>
	<li>50 mm width for medium to large surfaces</li>
	<li>Chemical‑resistant synthetic bristles suitable for solvents and degreasers</li>
	<li>Ergonomic wooden handle with hanging hole</li>
	<li>Durable metal ferrule for secure bristle retention</li>
	<li>Ideal for cleaning and surface preparation in automotive, mechanical, or DIY tasks</li>
</ul>
","
This 50 mm synthetic brush is ideal for degreasing, cleaning, and applying solvents. Its chemically resistant synthetic bristles ensure smooth and even application, while the sturdy metal ferrule keeps the fibers firmly in place. The ergonomic wooden handle offers comfortable grip during prolonged use. Versatile and durable, it is perfectly suited for surface preparation, mechanical work, body repair, and general maintenance.

	50 mm width for medium to large surfaces
	Chemical‑resistant synthetic bristles suitable for solvents and degreasers
	Ergonomic wooden handle with hanging hole
	Durable metal ferrule for secure bristle retention
	Ideal for cleaning and surface preparation in automotive, mechanical, or DIY tasks

",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,1,1,10,10,10,,,,,https://api.mybihr.com/medias/800Wx800H-1155361-1.png?context=bWFzdGVyfHJvb3R8MTIwMjc1fGltYWdlL3BuZ3xhR0l3TDJnMk55OHhNREk0TWpNNE1UZ3lOalEyTURZdk9EQXdWM2c0TURCSVh6RXhOVFV6TmpFdE1TNXdibWN8YjQ5YjZmM2JlODkzMjUwZWJiZGFjODU0ZjI1MDYyOWNlYzc2ZjZkMjFjMzIzNmU3NDBlY2U2NjdlM2NhYzhhZg,,https://static.bihr.pro/eBihr/Pictures/HPX-pictures.zip,Spain Warehouse (Parts)
1155363,,335962,HPX,HPX FINE ABRASIVE SPONGE,HPX Fine Abrasive Sponge,5.75,4.75,3.80,5407004563756,0,5906100000,0,1,"<p>Practical sanding aid for bodywork repairs</p>
<ul>
	<li>100 × 70 mm</li>
	<li>Fine grit</li>
</ul>
","
Practical sanding aid for bodywork repairs

	100 × 70 mm
	Fine grit

",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,1,1,10,10,10,,,,,https://api.mybihr.com/medias/800Wx800H-1155363-1.jpg?context=bWFzdGVyfHJvb3R8MTEyNjkxfGltYWdlL2pwZWd8YURRekwyZzRNaTh4TURJME16YzRNelV3TnprM01UQXZPREF3VjNnNE1EQklYekV4TlRVek5qTXRNUzVxY0djfGNmZTM0YjFmOTljYTJjMWNiMzgwMWYzNzdkYTBkMjIzMDllOWQ5YjRhMjUyMmQ1MjNkMDA3Nzk3YWVkZTY4MmI,,https://static.bihr.pro/eBihr/Pictures/HPX-pictures.zip,Spain Warehouse (Parts)
1155362,,335957,HPX,HPX RUST REMOVAL BRUSH,HPX Rust Removal Brush,16.34,13.50,10.80,8711347172313,0,5906100000,0,1,"<p>The HPX rust removal brush provides a practical and effective way to eliminate rust. Its ultra‑fine fiberglass bristles remove corrosion, stone chips, dirt, and small scratches before spraying. It is also ideal for precise touch-ups and localized repairs.</p>","
The HPX rust removal brush provides a practical and effective way to eliminate rust. Its ultra‑fine fiberglass bristles remove corrosion, stone chips, dirt, and small scratches before spraying. It is also ideal for precise touch-ups and localized repairs.",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,1,1,10,10,10,,,,,https://api.mybihr.com/medias/800Wx800H-1155362-1.png?context=bWFzdGVyfHJvb3R8MjkxMDA1fGltYWdlL3BuZ3xhR0U1TDJoaFlTOHhNREkwTkRreU5UTXdNak0zTnpRdk9EQXdWM2c0TURCSVh6RXhOVFV6TmpJdE1TNXdibWN8ZDY0NmYzZmU5ZTQyZDEwNzY3ODY0YjJlNzg0ZTI4ZTllZTRjMDUyZDc4NWMyYTBiMWU3MWUxZmZjN2ZlMzEyNg,,https://static.bihr.pro/eBihr/Pictures/HPX-pictures.zip,Spain Warehouse (Parts)
1052812,89604009,135930,HPX,HPX SANDPAPER P120,Papel de lija HPX Grano P120,38.18,31.55,25.24,8711347121465,0,6805200000,0,1,"Papel de lija para lijado de pintura, barniz, masilla y madera. 			Medidas: 230 x 280 mm Kit de 50 unidades Papel de óxido de aluminio""""""""","Papel de lija para lijado de pintura, barniz, masilla y madera. 			Medidas: 230 x 280 mm Kit de 50 unidades Papel de óxido de aluminio""""""""",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,2103,1340,282,233,32,,,,,https://api.mybihr.com/medias/1052812-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODkwOTh8aW1hZ2UvanBlZ3xhRE16TDJneFlTODRPVE0xTWpBMk1EWXdNRFl5THpFd05USTRNVEl0TVY4NE1EQlhlRGd3TUVnfDNjM2JkNWJiOTRiYjY0YjlkOTRjZGI4OTE1NDFkMjE0NmVjMTE4ODNhOWI0ZmI0N2NmZTQxMzViNDAwMTY2NzU,,https://static.bihr.pro/eBihr/Pictures/HPX-pictures.zip,Spain Warehouse (Parts)
1052815,89604012,135933,HPX,HPX SANDPAPER P400,Papel de lija HPX Grano P400,40.62,33.57,26.86,8711347121526,2,6805200000,0,1,"Papel de lija para lijado de pintura, barniz, masilla y madera. 			Medidas: 230 x 280 mm Kit de 50 unidades Perfecto para lijado en metal húmedo Papel de carburo de silicio""""""""","Papel de lija para lijado de pintura, barniz, masilla y madera. 			Medidas: 230 x 280 mm Kit de 50 unidades Perfecto para lijado en metal húmedo Papel de carburo de silicio""""""""",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,1145,659,289,233,17,,,,,https://api.mybihr.com/medias/1052815-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODkwOTh8aW1hZ2UvanBlZ3xhR1UyTDJnNU5pODRPVE01TlRnMU9UWXlNREUwTHpFd05USTRNVFV0TVY4NE1EQlhlRGd3TUVnfDNjYjM0NmVkYWZiZTI0Yzc2NjM5YTllOTQ1NGViMDRlMjYxNDNmM2ZhMzI5NmY1NGMyNjA1ZmJmMDNlYzliNTY,,https://static.bihr.pro/eBihr/Pictures/HPX-pictures.zip,Spain Warehouse (Parts)
1052817,89604014,135935,HPX,HPX SANDPAPER P1000,Papel de lija HPX Grano P1000,26.49,21.89,17.51,8711347121557,0,6805200000,0,1,"Papel de lija para lijado de pintura, barniz, masilla y madera. 			Medidas: 230 x 280 mm Kit de 50 unidades Perfecto para lijado en metal húmedo Papel de carburo de silicio""""""""","Papel de lija para lijado de pintura, barniz, masilla y madera. 			Medidas: 230 x 280 mm Kit de 50 unidades Perfecto para lijado en metal húmedo Papel de carburo de silicio""""""""",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,1480,602,285,236,22,,,,,https://api.mybihr.com/medias/1052817-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODkwOTh8aW1hZ2UvanBlZ3xhRFEyTDJnd05TODRPVFV6T1RNNE1ERTRNek0wTHpFd05USTRNVGN0TVY4NE1EQlhlRGd3TUVnfDNkNGFjZDBjYzAzMTYxZWM0MTcyODRjMGY4ZGY5M2ZhNjRhNmY4NzRkZGU0ZGQ3OWE3N2ViOTczNDA5MGQzZGU,,https://static.bihr.pro/eBihr/Pictures/HPX-pictures.zip,Spain Warehouse (Parts)
1052818,89604015,135936,HPX,HPX SANDPAPER P1200,Papel de lija HPX Grano P1200,40.64,33.59,26.87,8711347121571,1,6805200000,0,1,"Papel de lija para lijado de pintura, barniz, masilla y madera. 			Medidas: 230 x 280 mm Kit de 50 unidades Perfecto para lijado en metal húmedo Papel de carburo de silicio""""""""","Papel de lija para lijado de pintura, barniz, masilla y madera. 			Medidas: 230 x 280 mm Kit de 50 unidades Perfecto para lijado en metal húmedo Papel de carburo de silicio""""""""",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,1139,523,284,236,17,,,,,https://api.mybihr.com/medias/1052818-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODkwOTh8aW1hZ2UvanBlZ3xhRGRsTDJnME9DODRPVE01TlRnMk1UVTROakl5THpFd05USTRNVGd0TVY4NE1EQlhlRGd3TUVnfGIxNjNlMDQwOGJlMDNjNTczMjBhNWU5MTdhMTFkMThjOGUxNmM1MTkyNDI4YmUzZWVlOGNiNzZmOTUxM2NlNjM,,https://static.bihr.pro/eBihr/Pictures/HPX-pictures.zip,Spain Warehouse (Parts)
1052819,89604016,135939,HPX,HPX SANDPAPER P2000,Papel de lija HPX Grano P2000,40.60,33.55,26.84,5425014226300,2,6805200000,0,1,"Papel de lija para lijado de pintura, barniz, masilla y madera. 			Medidas: 230 x 280 mm Kit de 50 unidades Perfecto para lijado en metal húmedo Papel de carburo de silicio""""""""","Papel de lija para lijado de pintura, barniz, masilla y madera. 			Medidas: 230 x 280 mm Kit de 50 unidades Perfecto para lijado en metal húmedo Papel de carburo de silicio""""""""",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,1167,502,291,236,17,,,,,https://api.mybihr.com/medias/1052819-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODkwOTh8aW1hZ2UvanBlZ3xhR05oTDJoa1ppODRPVEkzTmpZNE16Y3hORGcyTHpFd05USTRNVGt0TVY4NE1EQlhlRGd3TUVnfDM2YWRkMzE5MWYxNGU5MTFhZTUxMGNlM2Y4OGQ5NTRjMTA0NTY3OWEwY2U2NWE1ZGIyNTUxN2VlNDlmZDY2YzU,,https://static.bihr.pro/eBihr/Pictures/HPX-pictures.zip,Spain Warehouse (Parts)
1052810,89604007,135928,HPX,HPX SANDPAPER P60,Papel de lija HPX Grano P60,38.48,31.80,25.44,8711347121410,1,6805200000,0,1,"Papel de lija para lijado de pintura, barniz, masilla y madera. 			Medidas: 230 x 280 mm Kit de 50 unidades Papel de óxido de aluminio","Papel de lija para lijado de pintura, barniz, masilla y madera. 			Medidas: 230 x 280 mm Kit de 50 unidades Papel de óxido de aluminio",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,3217,1208,290,236,47,,,,,https://api.mybihr.com/medias/1052810-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODkwOTh8aW1hZ2UvanBlZ3xhRGd6TDJoaVpDODRPRGMwTkRrek56TTVNRE00THpFd05USTRNVEF0TVY4NE1EQlhlRGd3TUVnfDA2OGI0ZDY1ZjIzOWRjMjYyZmM1ZTIxZWYwYjdmMWIyNWE2MGNjZDIyMWY3NmQ2NDg1N2Y5N2IzZDI4NzI5NDA,,https://static.bihr.pro/eBihr/Pictures/HPX-pictures.zip,Spain Warehouse (Parts)
