PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Grosor,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Embalaje,Espesor (mm),Picture1,AllPicturesZIP,DeliveryPlant
1042073,640912,S41TI48S,INNTECK,INNTE RING FORK INNNER 48MM,Casquillo interior de fricción INNTECK horquilla SHOWA Ø48mm (48X52X15),10.99,9.08,6.36,8050040146086,2,8714103000,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,,123,30,62,62,32,,,,,,https://api.mybihr.com/medias/1042073-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDIxNDF8aW1hZ2UvanBlZ3xhR1pqTDJnd05pODRPVGN3TWpFeE1UazJPVFU0THpFd05ESXdOek10TVY4NE1EQlhlRGd3TUVnfGY2YTU2YmE3YWJlZThiYTllYmQyZjJhOTJmZmM2MjY0YjMwZThmMjM3MjEyZTIxYTljMzI0MGM2ZjJmZjU3NTI,https://static.bihr.pro/eBihr/Pictures/INNTECK-pictures.zip,Spain Warehouse (Parts)
1075703001,,P3012035015,INNTECK,"INNTE SHIMS STEEL 12X35, 0,150","Arandelas de ajuste INNTECK 12x35x0,15 - x10",25.97,21.46,13.95,8050616063885,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>INNTECK high quality steel.</p><p> </p><ul start=""1""> <li>High wear resistance</li><li>High bending stress resistance</li><li>Excellent surface finish</li><li>Pack of 10 pieces </li></ul> </body> </html>","       INNTECK high quality steel.  High wear resistanceHigh bending stress resistanceExcellent surface finishPack of 10 pieces   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,"Grosor 0,150 mm",43,20,85,50,10,,,,por 10,,https://api.mybihr.com/medias/1075703001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjUzOTF8aW1hZ2UvanBlZ3xhREJtTDJnd01pODRPVGMyTXpnMU9EWTNPREEyTHpFd056VTNNRE13TURFdE1WODRNREJYZURnd01FZ3w4MDI5MDA3NTJmZWZlYzk4YjNlY2RmMjFiYjc3ZTAyY2JhZGYzNmE4N2E2YjQ2Y2YzM2VjYzkyOWMzNjEyNmE4,https://static.bihr.pro/eBihr/Pictures/INNTECK-pictures.zip,Spain Warehouse (Parts)
1075703004,,P3012035030,INNTECK,"INNTE SHIMS STEEL 12X35, 0,300","Arandelas de ajuste INNTECK 12x35x0,30 - x10",25.97,21.46,13.95,8050506056270,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>INNTECK high quality steel.</p><p> </p><ul start=""1""> <li>High wear resistance</li><li>High bending stress resistance</li><li>Excellent surface finish</li><li>Pack of 10 pieces </li></ul> </body> </html>","       INNTECK high quality steel.  High wear resistanceHigh bending stress resistanceExcellent surface finishPack of 10 pieces   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,"Grosor 0,300 mm",43,20,85,50,10,,,,por 10,,https://api.mybihr.com/medias/1075703004-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjUzOTF8aW1hZ2UvanBlZ3xhREU1TDJnMVpTODRPVGMyTXpnMk5EVTNOak13THpFd056VTNNRE13TURRdE1WODRNREJYZURnd01FZ3xmMjIzZmQ0MDhhY2U2NWRhNzRmN2QyY2Q3NWZhYmYxODc5YzhkYjI2MTNhMDc2Mjg2MTQ2MGMyZDAyNzNjMTdm,https://static.bihr.pro/eBihr/Pictures/INNTECK-pictures.zip,Spain Warehouse (Parts)
1075717002,,P3016027025,INNTECK,"INNTE SHIMS STEEL 16X27, 0,250","Arandelas de ajuste INNTECK 16x27x0,25 - x10",25.97,21.46,13.95,8050616064554,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>INNTECK high quality steel.</p><p> </p><ul start=""1""> <li>High wear resistance</li><li>High bending stress resistance</li><li>Excellent surface finish</li><li>Pack of 10 pieces </li></ul> </body> </html>","       INNTECK high quality steel.  High wear resistanceHigh bending stress resistanceExcellent surface finishPack of 10 pieces   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,"Grosor 0,250 mm",43,20,85,50,10,,,,por 10,,https://api.mybihr.com/medias/1075717002-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjUzOTF8aW1hZ2UvanBlZ3xhREl6TDJoa01pODRPVGMyTXprMU9EazBPREUwTHpFd056VTNNVGN3TURJdE1WODRNREJYZURnd01FZ3wzYTQyNjVmYWRjYTE5MjM1MmZhYzVkYTE2ODZjYjk3MTQzYWU3YzE1YmMxYjc5ODY0YzYxNmM1NjU5MTc3YjA5,https://static.bihr.pro/eBihr/Pictures/INNTECK-pictures.zip,Spain Warehouse (Parts)
1075754001,,P3060031010,INNTECK,"INNTE SHIMS STEEL 6X31, 0,100","Arandelas de ajuste INNTECK 6x31x0,10 - x10",25.97,21.46,13.95,8050616061157,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>INNTECK high quality steel.</p><p> </p><ul start=""1""> <li>High wear resistance</li><li>High bending stress resistance</li><li>Excellent surface finish</li><li>Pack of 10 pieces </li></ul> </body> </html>","       INNTECK high quality steel.  High wear resistanceHigh bending stress resistanceExcellent surface finishPack of 10 pieces   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,"Grosor 0,100 mm",43,20,85,50,10,,,,por 10,,https://api.mybihr.com/medias/1075754001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjUzOTF8aW1hZ2UvanBlZ3xhRGMzTDJneU5DODRPVFkzTkRVeU1UTXhNelU0THpFd056VTNOVFF3TURFdE1WODRNREJYZURnd01FZ3w1N2NjYjY0ZGU2YzgxYTViODc3ZjE4NWE1OTRjMzU2Yjc5NzhiZTU5NDUyZDFlZjkxNDU1YTYzZjIxYmI3NDU0,https://static.bihr.pro/eBihr/Pictures/INNTECK-pictures.zip,Spain Warehouse (Parts)
1075728005,,P3016042030,INNTECK,"INNTE SHIMS STEEL 16X42, 0,300","Arandelas de ajuste INNTECK 16x42x0,30 - x10",25.97,21.46,13.95,8050616065162,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>INNTECK high quality steel.</p><p> </p><ul start=""1""> <li>High wear resistance</li><li>High bending stress resistance</li><li>Excellent surface finish</li><li>Pack of 10 pieces </li></ul> </body> </html>","       INNTECK high quality steel.  High wear resistanceHigh bending stress resistanceExcellent surface finishPack of 10 pieces   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,"Grosor 0,300 mm",43,20,85,50,10,,,,por 10,,https://api.mybihr.com/medias/1075728005-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjUzOTF8aW1hZ2UvanBlZ3xhR1JoTDJnek9TODRPVFkzTkRRNU1UZ3lNak00THpFd056VTNNamd3TURVdE1WODRNREJYZURnd01FZ3xkZDc4MzQ3N2IxNTMxMDBiNDQxMGJhNmExNDdlYTJmYmZjODVjMmRiZDNkMThmMmEzZGRjMDliYWFkZmQxZWZi,https://static.bihr.pro/eBihr/Pictures/INNTECK-pictures.zip,Spain Warehouse (Parts)
1075728004,,P3016042025,INNTECK,"INNTE SHIMS STEEL 16X42, 0,250","Arandelas de ajuste INNTECK 16x42x0,25 - x10",25.97,21.46,13.95,8050616065155,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>INNTECK high quality steel.</p><p> </p><ul start=""1""> <li>High wear resistance</li><li>High bending stress resistance</li><li>Excellent surface finish</li><li>Pack of 10 pieces </li></ul> </body> </html>","       INNTECK high quality steel.  High wear resistanceHigh bending stress resistanceExcellent surface finishPack of 10 pieces   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,"Grosor 0,250 mm",43,20,85,50,10,,,,por 10,,https://api.mybihr.com/medias/1075728004-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjUzOTF8aW1hZ2UvanBlZ3xhRFZqTDJobE9TODRPVGMyTkRBeE1EQTJOakl5THpFd056VTNNamd3TURRdE1WODRNREJYZURnd01FZ3xmYTZiOWYzMWJhYmQxNWEyMTI5ZTcyYTExOTk2ZjhjYzNiMzNjZWRiYWRjNTlmNTkwMzcwZTRmYTM1NDAyZTg1,https://static.bihr.pro/eBihr/Pictures/INNTECK-pictures.zip,Spain Warehouse (Parts)
1075773001,,P3080023010,INNTECK,"INNTE SHIMS STEEL 8X23, 0,100","Arandelas de ajuste INNTECK 8x23x0,10 - x10",25.97,21.46,13.95,8056216240060,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>INNTECK high quality steel.</p><p> </p><ul start=""1""> <li>High wear resistance</li><li>High bending stress resistance</li><li>Excellent surface finish</li><li>Pack of 10 pieces </li></ul> </body> </html>","       INNTECK high quality steel.  High wear resistanceHigh bending stress resistanceExcellent surface finishPack of 10 pieces   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,"Grosor 0,100 mm",43,20,85,50,10,,,,por 10,,https://api.mybihr.com/medias/1075773001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjUzOTF8aW1hZ2UvanBlZ3xhRGMwTDJneU5TODRPVGMyTkRNeU56STJNRFEyTHpFd056VTNOek13TURFdE1WODRNREJYZURnd01FZ3w4YjRkMWIxOWY3NDlkOWMyMTFjMzIxNWEwZGI2MGZhYTcyNDQ4YmU1N2QwZWRiZGU5YzU1OTRiMjExYTdkY2Rh,https://static.bihr.pro/eBihr/Pictures/INNTECK-pictures.zip,Spain Warehouse (Parts)
1075781001,,P3080030010,INNTECK,"INNTE SHIMS STEEL 8X30, 0,100","Arandelas de ajuste INNTECK 8x30x0,10 - x10",25.97,21.46,13.95,8056216240411,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>INNTECK high quality steel.</p><p> </p><ul start=""1""> <li>High wear resistance</li><li>High bending stress resistance</li><li>Excellent surface finish</li><li>Pack of 10 pieces </li></ul> </body> </html>","       INNTECK high quality steel.  High wear resistanceHigh bending stress resistanceExcellent surface finishPack of 10 pieces   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,"Grosor 0,100 mm",43,20,85,50,10,,,,por 10,,https://api.mybihr.com/medias/1075781001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjUzOTF8aW1hZ2UvanBlZ3xhR0ZoTDJnMU5TODRPVGMyTkRNNE56VTFNelU0THpFd056VTNPREV3TURFdE1WODRNREJYZURnd01FZ3w2ZGViMGE3YmU5YTVmMTI2MzE4YzI3MjUyNGRhMTI1YmRiMjRiYWQwMTY4NDcwZGU0MzBiNTAwYzYzMzExYzhl,https://static.bihr.pro/eBihr/Pictures/INNTECK-pictures.zip,Spain Warehouse (Parts)
1075781002,,P3080030015,INNTECK,"INNTE SHIMS STEEL 8X30, 0,150","Arandelas de ajuste INNTECK 8x30x0,15 - x10",25.97,21.46,13.95,8056216240428,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>INNTECK high quality steel.</p><p> </p><ul start=""1""> <li>High wear resistance</li><li>High bending stress resistance</li><li>Excellent surface finish</li><li>Pack of 10 pieces </li></ul> </body> </html>","       INNTECK high quality steel.  High wear resistanceHigh bending stress resistanceExcellent surface finishPack of 10 pieces   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,"Grosor 0,150 mm",102,2,102,83,12,,,,por 10,,https://api.mybihr.com/medias/1075781002-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjUzOTF8aW1hZ2UvanBlZ3xhRGRoTDJnMVl5ODRPVGMyTkRNNE9UVXhPVFkyTHpFd056VTNPREV3TURJdE1WODRNREJYZURnd01FZ3w1OTUwYzM0MWQ4NTMxNTRhNjQwNzQ4MmU2OGI3ZDA2ZDA1MTE5NThlNWEzODc0NzllMzk4ZTA5N2EzN2ZiYjIx,https://static.bihr.pro/eBihr/Pictures/INNTECK-pictures.zip,Spain Warehouse (Parts)
1075778001,,P3080027010,INNTECK,"INNTE SHIMS STEEL 8X27, 0,100","Arandelas de ajuste INNTECK 8x27x0,10 - x10",25.97,21.46,13.95,8050616062116,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>INNTECK high quality steel.</p><p> </p><ul start=""1""> <li>High wear resistance</li><li>High bending stress resistance</li><li>Excellent surface finish</li><li>Pack of 10 pieces </li></ul> </body> </html>","       INNTECK high quality steel.  High wear resistanceHigh bending stress resistanceExcellent surface finishPack of 10 pieces   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,"Grosor 0,100 mm",43,20,85,50,10,,,,por 10,,https://api.mybihr.com/medias/1075778001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjUzOTF8aW1hZ2UvanBlZ3xhREZqTDJobE5DODRPVGMyTkRNMU9EY3hOemMwTHpFd056VTNOemd3TURFdE1WODRNREJYZURnd01FZ3w0MTRlYzg1ODk2ZTY2MGU1Y2UzYzVkNWY2Yjg1YTA2M2IzMzdkYTA1NjVlY2Y1NTQ2ZjU1YTllODgyZDUyNDJl,https://static.bihr.pro/eBihr/Pictures/INNTECK-pictures.zip,Spain Warehouse (Parts)
