PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Uso recomendado,Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1042618,59155,13980400,ISB,"ISB BEARING 40X51,8X8","Rodamiento ISB ACB518K (TH-073) 40x51,8x8 (36º/45º) (1042618)",46.50,38.43,24.98,8430525591554,2,8482109090,0,1,"<strong>RODAMIENTOS ISB:<br></strong>Lo importante no es que se vea, es que se sienta<br>Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no estén visibles, se encuentran en zonas clave de la bicicleta, desde la dirección hasta los pivotes de la suspensión.<br>ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers más exigentes en cualquier disciplina.","RODAMIENTOS ISB:Lo importante no es que se vea, es que se sientaLos rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no estén visibles, se encuentran en zonas clave de la bicicleta, desde la dirección hasta los pivotes de la suspensión.ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers más exigentes en cualquier disciplina.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,84,5,71,66,18,Todos,https://api.mybihr.com/medias/1042618-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTcyODV8aW1hZ2UvanBlZ3xhR0ppTDJneFppOHhNRE0wTURNME16TTBPVEkzT0M4eE1EUXlOakU0TFRGZk9EQXdWM2c0TURCSXw4NjQxMTMyNDgyZTUyMjgyOWUzNzk3YTA3N2VkOTU3NWVjZDlkM2M2ZDc5M2ZmNjY0MjY4NzM5MWFiNWVmZTFk,https://api.mybihr.com/medias/1042618-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTgyMzcyfGltYWdlL2pwZWd8YURWakwyZ3laQzh4TURNME1ETTBNemMwTWpRNU5DOHhNRFF5TmpFNExUSmZPREF3VjNnNE1EQkl8MjM5OTdjZDY2MmY1MDBlMDA4Y2QzZDhmMDY0Y2EwZDBkY2M1ZDNmNWM3ZDE5MDdmODUxYWY2YWU5MDQ3M2NjNw,https://api.mybihr.com/medias/1042618-3-800Wx800H?context=bWFzdGVyfHJvb3R8MjYyMjgxfGltYWdlL2pwZWd8YURrMUwyZzRNaTh4TURNME1ETTBOREV6TlRjeE1DOHhNRFF5TmpFNExUTmZPREF3VjNnNE1EQkl8OTI5ZTE5YjI2NDI1ZGIwYTZlMDRlZjRhZjEyZGRkMzEwNDY0NzE5MGUyODEwMWJlZjA5NjI0NDBlNDA1MDNiZg,https://static.bihr.pro/eBihr/Pictures/ISB-pictures.zip,Spain Warehouse (Parts)
1123877,,13000725,ISB,"ISB BEARING EBIKE MR6004 2RSV 21,5X42X12","Rodamiento ISB E-bike MR6004 2RSV 21,5X42X12",34.00,28.10,18.27,13000725,1,8482400000,0,1,"<p>Tipo :&nbsp;MR6004 2RSV</p><p>Tamaño:&nbsp;21,5X42X12</p>
<ul><p>Lo importante no es que se vea, es que se sienta</p>
<p>Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no est&eacute;n visibles, se encuentran en zonas clave de la bicicleta, desde la direcci&oacute;n hasta los pivotes de la suspensi&oacute;n.</p>
<p>ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers m&aacute;s exigentes en cualquier disciplina.</p></ul>","
Tipo : MR6004 2RSV
Tamaño: 21,5X42X12
Lo importante no es que se vea, es que se sienta
Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no estén visibles, se encuentran en zonas clave de la bicicleta, desde la dirección hasta los pivotes de la suspensión.
ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers más exigentes en cualquier disciplina.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,64,69,68,63,15,E-Bike,,,,https://static.bihr.pro/eBihr/Pictures/ISB-pictures.zip,Spain Warehouse (Parts)
1123916,,13980052,ISB,ISB BEARING MR 3040H7 2RS DUB 30X40X7,Rodamiento ISB MR 3040H7 2RS DUB 30X40X7,34.00,28.10,18.27,13980052,3,8482400000,0,1,"<p>Tipo :&nbsp;MR 3040H7 2RS DUB</p><p>Tamaño:&nbsp;30X40X7</p>
<ul><p>Lo importante no es que se vea, es que se sienta</p>
<p>Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no est&eacute;n visibles, se encuentran en zonas clave de la bicicleta, desde la direcci&oacute;n hasta los pivotes de la suspensi&oacute;n.</p>
<p>ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers m&aacute;s exigentes en cualquier disciplina.</p></ul>","
Tipo : MR 3040H7 2RS DUB
Tamaño: 30X40X7
Lo importante no es que se vea, es que se sienta
Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no estén visibles, se encuentran en zonas clave de la bicicleta, desde la dirección hasta los pivotes de la suspensión.
ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers más exigentes en cualquier disciplina.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,65,23,69,63,15,Todos,https://api.mybihr.com/medias/800Wx800H-1123916-1.jpg?context=bWFzdGVyfHJvb3R8MzAxODZ8aW1hZ2UvanBlZ3xhREl4TDJobVppODVPRFl4TlRNek5EUTJPVFkyTWk4NE1EQlhlRGd3TUVoZk1URXlNemt4TmkweExtcHdad3wxNTUxYzA2YjEzYmExZGEyZjkxZjRmYzA4MmJlNWM4NDg1MjAyZjU4NzBlOTZjMTkyM2EwMDY5OWUxYWEwMDc3,,,https://static.bihr.pro/eBihr/Pictures/ISB-pictures.zip,Spain Warehouse (Parts)
1123902,,13980027,ISB,ISB BEARING MR 13215 2RS 13X21X5,Rodamiento ISB MR 13215 2RS 13X21X5,15.00,12.40,2.50,13980027,9,8482400000,0,1,"<p>Lo importante no es que se vea, es que se sienta</p>
<p>Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no est&eacute;n visibles, se encuentran en zonas clave de la bicicleta, desde la direcci&oacute;n hasta los pivotes de la suspensi&oacute;n.</p>
<p>ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers m&aacute;s exigentes en cualquier disciplina.</p>","
Lo importante no es que se vea, es que se sienta

Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no estén visibles, se encuentran en zonas clave de la bicicleta, desde la dirección hasta los pivotes de la suspensión.

ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers más exigentes en cualquier disciplina.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,26,10,43,41,15,Todos,,,,https://static.bihr.pro/eBihr/Pictures/ISB-pictures.zip,Spain Warehouse (Parts)
1123919,,90072886,ISB,ISB BEARING SS 6709 2RS 45X55X6,Rodamiento ISB SS 6709 2RS 45X55X6,99.99,82.64,32.00,90072886,1,8482400000,0,1,"<p>Tipo :&nbsp;SS 6709 2RS</p><p>Tamaño:&nbsp;45X55X6</p>
<ul><p>Lo importante no es que se vea, es que se sienta</p>
<p>Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no est&eacute;n visibles, se encuentran en zonas clave de la bicicleta, desde la direcci&oacute;n hasta los pivotes de la suspensi&oacute;n.</p>
<p>ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers m&aacute;s exigentes en cualquier disciplina.</p></ul>","
Tipo : SS 6709 2RS
Tamaño: 45X55X6
Lo importante no es que se vea, es que se sienta
Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no estén visibles, se encuentran en zonas clave de la bicicleta, desde la dirección hasta los pivotes de la suspensión.
ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers más exigentes en cualquier disciplina.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,30,13,55,55,10,,https://api.mybihr.com/medias/800Wx800H-1123919-1.jpg?context=bWFzdGVyfHJvb3R8NTI2NzF8aW1hZ2UvanBlZ3xhRGMzTDJnNU1DODVPRFl4TlRNek5UWTBPVE14TUM4NE1EQlhlRGd3TUVoZk1URXlNemt4T1MweExtcHdad3xmOTc4MTI2MDIzYjg3MGY3ZDQ5Mzc5NWJmMmI4Mjc2NTlhYTM3OTJmMjE1MmZhYjE2YWMwZGE1MTk5OWY4NWFl,,,https://static.bihr.pro/eBihr/Pictures/ISB-pictures.zip,Spain Warehouse (Parts)
1123875,,13986006,ISB,ISB BEARING EBIKE 18338 RS/Z 18X33X8,Rodamiento ISB E-bike 18338 RS/Z 18X33X8,35.01,28.93,5.79,13986006,4,8482400000,0,1,"<p>Lo importante no es que se vea, es que se sienta</p>
<p>Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no est&eacute;n visibles, se encuentran en zonas clave de la bicicleta, desde la direcci&oacute;n hasta los pivotes de la suspensi&oacute;n.</p>
<p>ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers m&aacute;s exigentes en cualquier disciplina.</p>","
Lo importante no es que se vea, es que se sienta

Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no estén visibles, se encuentran en zonas clave de la bicicleta, desde la dirección hasta los pivotes de la suspensión.

ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers más exigentes en cualquier disciplina.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,25,28,44,38,15,E-Bike,,,,https://static.bihr.pro/eBihr/Pictures/ISB-pictures.zip,Spain Warehouse (Parts)
1123867,,13001340,ISB,ISB BEARING EBIKE 625 QG ZZ 5X16X5,Rodamiento ISB E-bike 625 QG ZZ 5X16X5,5.00,4.13,0.99,13001340,15,8482400000,0,1,"<p>Tipo :&nbsp;625 QG ZZ</p><p>Tamaño:&nbsp;5X16X5</p>
<ul><p>Lo importante no es que se vea, es que se sienta</p>
<p>Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no est&eacute;n visibles, se encuentran en zonas clave de la bicicleta, desde la direcci&oacute;n hasta los pivotes de la suspensi&oacute;n.</p>
<p>ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers m&aacute;s exigentes en cualquier disciplina.</p></ul>","
Tipo : 625 QG ZZ
Tamaño: 5X16X5
Lo importante no es que se vea, es que se sienta
Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no estén visibles, se encuentran en zonas clave de la bicicleta, desde la dirección hasta los pivotes de la suspensión.
ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers más exigentes en cualquier disciplina.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,30,18,45,45,15,E-Bike,https://api.mybihr.com/medias/800Wx800H-1123867-1.jpg?context=bWFzdGVyfHJvb3R8NTg0MzV8aW1hZ2UvanBlZ3xhR05rTDJneU5pODVPRFl4TlRNek5qWXpNak0xTUM4NE1EQlhlRGd3TUVoZk1URXlNemcyTnkweExtcHdad3xmMjMzMTEwOTM0OThmYWRiMzU3NjNiY2FmNmQ0ZmRlMDBjNGQ2Y2JhMDVlM2JjZDUwNWIzN2VlNWY2MjY3ZTA4,,,https://static.bihr.pro/eBihr/Pictures/ISB-pictures.zip,Spain Warehouse (Parts)
1123904,,13980202,ISB,ISB BEARING MR 15307 2RS 15X30X7,Rodamiento ISB MR 15307 2RS 15X30X7,29.00,23.97,15.58,13980202,2,8482400000,0,1,"<p>Tipo :&nbsp;MR 15307 2RS</p><p>Tamaño:&nbsp;15X30X7</p>
<ul><p>Lo importante no es que se vea, es que se sienta</p>
<p>Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no est&eacute;n visibles, se encuentran en zonas clave de la bicicleta, desde la direcci&oacute;n hasta los pivotes de la suspensi&oacute;n.</p>
<p>ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers m&aacute;s exigentes en cualquier disciplina.</p></ul>","
Tipo : MR 15307 2RS
Tamaño: 15X30X7
Lo importante no es que se vea, es que se sienta
Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no estén visibles, se encuentran en zonas clave de la bicicleta, desde la dirección hasta los pivotes de la suspensión.
ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers más exigentes en cualquier disciplina.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,9,13,30,30,10,Todos,https://api.mybihr.com/medias/800Wx800H-1123904-1.jpg?context=bWFzdGVyfHJvb3R8Mzk2MzN8aW1hZ2UvanBlZ3xhRGs1TDJnME9TODVPRFl4TlRNek56Z3hNVGs1T0M4NE1EQlhlRGd3TUVoZk1URXlNemt3TkMweExtcHdad3w5YjgzMzBmNzNkZWJmY2I4ZjZjNzIzYjIyNzRiMmVmYzQ0ZGE4MmE5ODA0N2Q1MDhjNjNmZWUyMTkzMzBjOGMz,,,https://static.bihr.pro/eBihr/Pictures/ISB-pictures.zip,Spain Warehouse (Parts)
1123890,,23000270,ISB,ISB BEARING EBIKE HK 2216 22X28X16,Rodamiento ISB E-bike HK 2216 22X28X16,8.00,6.61,2.65,23000270,12,8482400000,0,1,"<p>Tipo :&nbsp;HK 2216</p><p>Tamaño:&nbsp;22X28X16</p>
<ul><p>Lo importante no es que se vea, es que se sienta</p>
<p>Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no est&eacute;n visibles, se encuentran en zonas clave de la bicicleta, desde la direcci&oacute;n hasta los pivotes de la suspensi&oacute;n.</p>
<p>ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers m&aacute;s exigentes en cualquier disciplina.</p></ul>","
Tipo : HK 2216
Tamaño: 22X28X16
Lo importante no es que se vea, es que se sienta
Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no estén visibles, se encuentran en zonas clave de la bicicleta, desde la dirección hasta los pivotes de la suspensión.
ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers más exigentes en cualquier disciplina.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,33,23,43,42,18,E-Bike,https://api.mybihr.com/medias/800Wx800H-1123890-1.jpg?context=bWFzdGVyfHJvb3R8MzcwNTl8aW1hZ2UvanBlZ3xhR0UzTDJnNU1pODVPRFl4TlRNeU5USTVORFl5TWk4NE1EQlhlRGd3TUVoZk1URXlNemc1TUMweExtcHdad3xjNWMzMmYyMzE4NWU5MzliYzFjYzhkMjIyYTMyNTJjMTlmNGI1MWUwYjIyZmJmZjc2NjI5MmZiNTA3MjgwNWZi,,,https://static.bihr.pro/eBihr/Pictures/ISB-pictures.zip,Spain Warehouse (Parts)
1123893,,13980079,ISB,"ISB HS2 MH-P08H7A RS 30,5X41,8X7 45/45","Rodamiento ISB HS2 MH-P08H7A RS 30,5X41,8X7 45/45",29.00,23.97,9.99,13980079,6,8482400000,0,1,"<p>Tipo :&nbsp;HS2 MH-P08H7A RS 45/45</p><p>Tamaño:&nbsp;30,5X41,8X7</p>
<ul>Lo importante no es que se vea, es que se sienta Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no estén visibles, se encuentran en zonas clave de la bicicleta, desde la dirección hasta los pivotes de la suspensión. ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers más exigentes en cualquier disciplina.</ul>","
Tipo : HS2 MH-P08H7A RS 45/45
Tamaño: 30,5X41,8X7
Lo importante no es que se vea, es que se sienta Los rodamientos son un componente fundamental para el buen funcionamiento de la bicicleta, ya que permiten el movimiento de giro entre dos piezas unidas mediante rodadura. Aunque no estén visibles, se encuentran en zonas clave de la bicicleta, desde la dirección hasta los pivotes de la suspensión. ISB Sport ofrece una amplia gama de referencias en diferentes ejecuciones y materiales para atender las necesidades de los bikers más exigentes en cualquier disciplina.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,80,27,67,66,18,,https://api.mybihr.com/medias/800Wx800H-1123893-1.jpg?context=bWFzdGVyfHJvb3R8NDk3Mjl8aW1hZ2UvanBlZ3xhR1k0TDJnellpODVPRFl4TlRNek56UXhPRGM0TWk4NE1EQlhlRGd3TUVoZk1URXlNemc1TXkweExtcHdad3xkODdlZWQ5MDUxOGU4ZTM5NGYyMzNhY2Q3ZDI1MjMzOWNhMTkwNDljMDkzNTQzNDg3OTE1ZGJmYjhhMDkyNmYz,,,https://static.bihr.pro/eBihr/Pictures/ISB-pictures.zip,Spain Warehouse (Parts)
