PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Ajuste del par de apriete,Altura (mm),Diámetro int/ext (mm/mm),Diámetro Ø (mm),Embalaje,Escala,Número de ranuras,Rango de uso,Tamaño de accionamiento cuadrado,Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1050021,893332,674.00.24,JMP,JMP ACCESSORIES AUTO WHELL CLAMP,Mordaza automática para rueda JMP roja JMP300/JMP500/JMP700,363.00,300.00,240.00,674.00.24,2,8425410000,0,0,"<p>Mordaza de rueda automática para mesa elevadora JMP 300, JMP 500 y JMP 700</p>
<p>Ajustable en profundidad para adaptarse a la mayoría de las ruedas</p>","
Mordaza de rueda automática para mesa elevadora JMP 300, JMP 500 y JMP 700

Ajustable en profundidad para adaptarse a la mayoría de las ruedas",TOOLING & WS,WS,WS. LIFTING EQUIP.,148135,14000,650,530,430,,,,,,,,,,https://api.mybihr.com/medias/1050021-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njc0MzQ3fGltYWdlL2pwZWd8YURoaEwyaGxOUzg0T1RNNU5UTTVNVEF6TnpjMEx6RXdOVEF3TWpFdE1WODRNREJYZURnd01FZ3w4MWE1ZWFjMTM1YzFkMGFkYjczYjdkZmM3YzViNTY4NTIyN2E3YTEwOTAwZGNmMWQwMmQ2MGEzYjdmOWIwZDYy,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1051446,89205001,7222318,JMP,JMP TORQUE WRENCH 5 - 25NM,Llave dinamométrica JMP 1/4'' 5-25nm,132.98,109.90,87.92,4043981048629,0,8204120000,0,1,"Llaves dinamométrica con carraca, con aviso por clic y liberación de tensión cuando se alcanza el par deseado.Precisión: +/- 3 %Unidad de regulación: 0,25 (1/4"") y 1 Nm (3/8"")Intervalos de 5°Rearme automáticoIncluye certificado de calibrado","Llaves dinamométrica con carraca, con aviso por clic y liberación de tensión cuando se alcanza el par deseado.Precisión: +/- 3 %Unidad de regulación: 0,25 (1/4"") y 1 Nm (3/8"")Intervalos de 5°Rearme automáticoIncluye certificado de calibrado",TOOLING & WS,TOOLING,TOOLING GENERAL,1866,783,396,76,62,,,,,,,,,,https://api.mybihr.com/medias/1051446-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTU5NnxpbWFnZS9qcGVnfGFEYzJMMmd5WVM4NE9UUTJNRFkzTWpRek1ETTRMekV3TlRFME5EWXRNVjg0TURCWGVEZ3dNRWd8NjZkZTlhNmEyN2MyZmM1NjU5NWNjMjRkMzUzMDgzYWRlZjA1ZjUwODhlODBmMDY2NjAyZmMwZDliNTY3YmMxNA,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1051445,89214019,7220775,JMP,JMP SET OF TAPS/DIES SET,Kit Machos de roscar y terrajas JMP Métrico,104.00,85.95,68.76,7220775,1,8428909000,0,1,"Surtido de machos, terrajas y accesorios para reparar roscas métricas. Sistema métrico: 			M3x0,50/0,60M4x0,70/0,75M5x0,80/0,90M6x0,75/1,00M7x0,75/1,00M8x1,00/1,25M10x1,25/1,50M12x1,50/1,75""""""""","Surtido de machos, terrajas y accesorios para reparar roscas métricas. Sistema métrico: 			M3x0,50/0,60M4x0,70/0,75M5x0,80/0,90M6x0,75/1,00M7x0,75/1,00M8x1,00/1,25M10x1,25/1,50M12x1,50/1,75""""""""",TOOLING & WS,TOOLING,TOOLING GENERAL,3639,1440,273,215,62,,,,,,,,,,https://api.mybihr.com/medias/1051445-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjYzMzg0fGltYWdlL2pwZWd8YURBekwyZ3hZaTg0T1RNNU5UWXhOekV6TmprMEx6RXdOVEUwTkRVdE1WODRNREJYZURnd01FZ3xiZTU1YjM1YjZiYjBjMWVkMjRmOTI5NTAxOGZlNDU3Mzg1ZTUxYjhjM2RmZThlMGQ5YmYxYzg1ZDM3ZDZjZTQ0,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1051447,89205002,7222680,JMP,JMP TORQUE WRENCH 20 - 110NM,llave dinamométrica JMP 3/8'' 20-110nm,132.98,109.90,87.92,7222680,0,8204120000,0,1,"Llaves dinamométrica con carraca, con aviso por clic y liberación de tensión cuando se alcanza el par deseado.Precisión: +/- 3 %Unidad de regulación: 0,25 (1/4"") y 1 Nm (3/8"")Intervalos de 5°Rearme automáticoIncluye certificado de calibrado","Llaves dinamométrica con carraca, con aviso por clic y liberación de tensión cuando se alcanza el par deseado.Precisión: +/- 3 %Unidad de regulación: 0,25 (1/4"") y 1 Nm (3/8"")Intervalos de 5°Rearme automáticoIncluye certificado de calibrado",TOOLING & WS,TOOLING,TOOLING GENERAL,2496,1416,485,83,62,,,,,,,,,3/8',https://api.mybihr.com/medias/1051447-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTUzMHxpbWFnZS9qcGVnfGFESm1MMmd6Wmk4NE9UQXlNamMwTVRJeE56VTRMekV3TlRFME5EY3RNVjg0TURCWGVEZ3dNRWd8MGVhZTM0MzMyZjg0N2M5YWY4NWZmZTc1ZTQ5M2NhYTUwZTJlYjBhNjJkYjUyNzgxZDUzZTNkN2YyOWI0YWViYw,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1111204,,647.01.16,JMP,JMP CALIPER BRAKE DISC DIGITAL 0-65MM,Calibre grosor disco de freno digital JMP 0-65mm,181.50,150.00,120.00,4006633390118,0,9017300000,0,1,"<ul>
	<li>Easy to read</li>
	<li>Accurate measurement&nbsp;</li>
	<li>Robust</li>
</ul>

<p>Measuring range 0 - 65mm</p>

<p>Length 55mm</p>","
	Easy to read
	Accurate measurement 
	Robust



Measuring range 0 - 65mm


Length 55mm",TOOLING & WS,TOOLING,TOOLING GENERAL,733,320,191,101,38,,,,,,,,,,https://api.mybihr.com/medias/1111204-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgzNzF8aW1hZ2UvanBlZ3xhREkyTDJoalpTOHhOalkwTVRjeE5qRTFPRFE1TkM4eE1URXhNakEwTFRGZk9EQXdWM2c0TURCSXxkM2QzN2ZjNTcxMmNmNTJhNDAyNjY4Y2E1MjJmZWM1MTkxYjhkMTExZjM0NTlhNGIzZjFkNmM0MWEzZTdlZjky,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1051815,89310011,7220609,JMP,JMP SLOT SOCKET ØINT 24MM-ØEXT 30MM,Vaso almenado cilíndrico JMP nuez de embrague  4 Ranuras,24.50,20.25,16.20,7220609,1,8714109090,0,1,"Llave de vaso para apretar o aflojar tuercas autoblocantes del cubo de embrague, chasis u otras partes. 			Diámetro interior: 24 mm Diámetro exterior: 30 mm""""""""","Llave de vaso para apretar o aflojar tuercas autoblocantes del cubo de embrague, chasis u otras partes. 			Diámetro interior: 24 mm Diámetro exterior: 30 mm""""""""",TOOLING & WS,TOOLING,TOOLING ENGINE,360,109,145,73,34,,,,,,,4,,,https://api.mybihr.com/medias/1051815-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzg2NDl8aW1hZ2UvanBlZ3xhR014TDJobFl5ODRPVFEyTURjeU16VTBPRFEyTHpFd05URTRNVFV0TVY4NE1EQlhlRGd3TUVnfDlkMjZjNDJhNjU2MTBlYTI2MDJmZTI0YTcwY2VhZTUwZWZhNTBlY2VmYzY5ODRhNmM1YWY2ODBjMTA3NTBjNDQ,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1051817,89310009,7224400,JMP,JMP SLOT SOCKET ØINT 55MM-ØEXT 62MM,Vaso almenado cilíndrico JMP nuez de embrague 4 Ranuras,81.01,66.95,53.56,7224400,1,8714109090,0,1,"Llave de vaso para apretar o aflojar tuercas autoblocantes del cubo de embrague, chasis u otras partes. 			Diámetro interior: 55 mmDiámetro exterior: 62 mm""""""""","Llave de vaso para apretar o aflojar tuercas autoblocantes del cubo de embrague, chasis u otras partes. 			Diámetro interior: 55 mmDiámetro exterior: 62 mm""""""""",TOOLING & WS,TOOLING,TOOLING ENGINE,690,404,75,76,121,,,,,,,4,,,https://api.mybihr.com/medias/1051817-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzE3MzR8aW1hZ2UvanBlZ3xhREF3TDJoa05DODRPVEkwT1RNNU1Ua3dNekF5THpFd05URTRNVGN0TVY4NE1EQlhlRGd3TUVnfDU2MmNjYjdkYzNiZmM0YTBiNWQ0ZGE3YzAwMzBkMWY2YWYwZWRjNDljZjQyNWY1NDA2YzBmOGNmNmQ3NjAwZGI,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1051814,89310013,7220140,JMP,JMP SLOT SOCKET ØINT 15MM-ØEXT 19MM,Vaso almenado cilíndrico JMP nuez de embrague 4 Ranuras,18.51,15.30,12.24,7220140,1,8714109090,0,1,"Llave de vaso para apretar o aflojar tuercas autoblocantes del cubo de embrague, chasis u otras partes. 			Diámetro interior: 15 mmDiámetro exterior: 19 mm""""""""","Llave de vaso para apretar o aflojar tuercas autoblocantes del cubo de embrague, chasis u otras partes. 			Diámetro interior: 15 mmDiámetro exterior: 19 mm""""""""",TOOLING & WS,TOOLING,TOOLING ENGINE,234,59,146,73,22,,,,,,,4,,3/8',https://api.mybihr.com/medias/1051814-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTE1NDN8aW1hZ2UvanBlZ3xhR0l5TDJnME9DODRPVEV3TkRZNE16RTNNakUwTHpFd05URTRNVFF0TVY4NE1EQlhlRGd3TUVnfDI3ZTFiODkxNjIyNTg0OWEyZWU5ZjgzZTRhYWZkNDY2MmY5NjE3OTRkMDE5MTM2Y2NlOGEyYzIxZWMzZWYxNTY,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1051818,89310018,7224439,JMP,JMP SLOT SOCKET ØINT 20MM,Vaso almenado cilíndrico JMP 4 Ranuras,27.95,23.10,18.48,7224439,1,8714109090,0,1,"Llave de vaso para apretar o aflojar tuercas autoblocantes del cubo de embrague, chasis u otras partes. 			Diámetro interior: 20 mm""""""""","Llave de vaso para apretar o aflojar tuercas autoblocantes del cubo de embrague, chasis u otras partes. 			Diámetro interior: 20 mm""""""""",TOOLING & WS,TOOLING,TOOLING ENGINE,357,197,138,70,37,,,,,,,4,,1/2',https://api.mybihr.com/medias/1051818-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY5NDR8aW1hZ2UvanBlZ3xhRGsxTDJnMllpODRPVEkzTmpRNE9UQTNNamswTHpFd05URTRNVGd0TVY4NE1EQlhlRGd3TUVnfDJlZTFmNjgxNWI1NDYyZDE0YTg3ZGJhNzU0YzE1ZDAwODdlMjJjZWI1OWFlNjMyZTYzMjEzNDRjNGNlNWQ0MTg,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1051819,89310017,7224447,JMP,JMP SLOT SOCKET ØINT 24MM,Vaso almenado cilíndrico JMP 4 Ranuras,27.04,22.35,17.88,7224447,1,8714109090,0,1,"Llave de vaso para apretar o aflojar tuercas autoblocantes del cubo de embrague, chasis u otras partes. 			Diámetro interior: 26 mm""""""""","Llave de vaso para apretar o aflojar tuercas autoblocantes del cubo de embrague, chasis u otras partes. 			Diámetro interior: 26 mm""""""""",TOOLING & WS,TOOLING,TOOLING ENGINE,352,194,141,78,32,,,,,,,4,,1/2',https://api.mybihr.com/medias/1051819-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc5MjB8aW1hZ2UvanBlZ3xhRGhpTDJnMFlTODRPVFV6T1RFek1EUTVNVEU0THpFd05URTRNVGt0TVY4NE1EQlhlRGd3TUVnfDMyYmZkZDhmY2VjZmM3NjE5OWY0YTRmYWFiNTBlNjRkYmM1NDg3ODJiZTkzNDZhZDZhNjlmNjg5NGJkOTI2NzU,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1051820,89310016,7224454,JMP,JMP SLOT SOCKET ØINT 26/30MM,Vaso almenado cilíndrico JMP 4 Ranuras,36.54,30.20,24.16,7224454,1,8714109090,0,1,"Llave de vaso para apretar o aflojar tuercas autoblocantes del cubo de embrague, chasis u otras partes. 			Diámetro interior: 26 mm Diámetro exterior: 30 mm""""""""","Llave de vaso para apretar o aflojar tuercas autoblocantes del cubo de embrague, chasis u otras partes. 			Diámetro interior: 26 mm Diámetro exterior: 30 mm""""""""",TOOLING & WS,TOOLING,TOOLING ENGINE,461,190,158,73,40,,,,,,,4,,1/2',https://api.mybihr.com/medias/1051820-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzU5NjF8aW1hZ2UvanBlZ3xhR0prTDJoa1lTODRPVEkwT1RNNU16ZzJPVEV3THpFd05URTRNakF0TVY4NE1EQlhlRGd3TUVnfDc2Njk0YjNjYTU5NzNiNGY2YTQzYWJmMTNmNWY2ZmUzN2NlNTg2NGJmNzE4YmI1NTU4YzliZDdiNjA1YzQ2NWI,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
