PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Ángulo ( ° ),Color,Composición,Diámetro dirección Ø (mm),Diámetro Ø (mm),Longitud (mm),Peso (g),Uso recomendado,Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1101253,192N,SQ-M32-B,KALLOY UNO,KALLO QUICK RELEASE SEAT ALLOY BLACK,Cierre rápido para tija de sillín UNO Negro,3.50,2.89,1.88,8430525005327,1222,8714999089,0,1,"<p>Cierre r&aacute;pido tija sill&iacute;n de bicicleta UNO.</p>
<ul>
<li>Aluminio</li>
<li>Color negro</li>
</ul>","
Cierre rápido tija sillín de bicicleta UNO.

Aluminio
Color negro
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,91,37,66,60,23,,Negro,,,,,,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/1101253-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI5NDk5fGltYWdlL2pwZWd8YURaa0wyZzNOaTg1TmpNeE9ETXhOVGc0T0RrMEx6RXhNREV5TlRNdE1WODRNREJYZURnd01FZ3w2ODZhNmU1MThkNjU3ODgzM2M0M2RhYzdiMGE2Y2MxMTc2OTI4NGRkMTllZTgxYTdhYWYxNjRkZjM3ODFhNDAx,,,https://static.bihr.pro/eBihr/Pictures/KALLOY_UNO-pictures.zip,Spain Warehouse (Parts)
1105429,"TS297-30,2",SP-341-30.2BK1,KALLOY UNO,"KALLO SEATPOST L:350MM Ø30,2. BLACK",Tija de sillín UNO TS 297 - 350mm Ø30.2 Negro,15.50,12.81,5.79,8430525034204,22,8714999089,0,1,"<ul>
<li>Aluminio</li>
<li>Color Negro</li>
<li>L: 350mm</li>
<li>&Oslash;: 30,2</li>
</ul>","
Aluminio
Color Negro
L: 350mm
Ø: 30,2
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1441,337,364,66,60,,Negro,,,,,,BMX & Carretera & Ciudad & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/1105429-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjY0Mzd8aW1hZ2UvcG5nfGFHRTNMMmczWkM4eE1UTTVPVFkyTkRNek5qa3lOaTh4TVRBMU5ESTVMVEZmT0RBd1YzZzRNREJJfDdiYzQzNzdkNzk1OGEzNDZhMDY2YjViNTE1YTJkMTI5OWFhOGFhM2IxYmZhZTg5ODU5ODkyYzc4ZDY5MjRhNWQ,,,https://static.bihr.pro/eBihr/Pictures/KALLOY_UNO-pictures.zip,Spain Warehouse (Parts)
1105426,"TS297-29,4",SP-341-29.4BK1,KALLOY UNO,"KALLO SEATPOST L:350MM Ø29,4 BLACK",Tija de sillín UNO TS 297 - 350mm Ø29.4,16.99,14.04,9.13,8430525034174,40,8714999089,0,1,"<ul>
<li>Aluminio</li>
<li>Color Negro</li>
<li>L: 350mm</li>
<li>&Oslash;: 29,4</li>
</ul>","
Aluminio
Color Negro
L: 350mm
Ø: 29,4
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1510,321,375,66,61,,Negro,,,,,,BMX & Carretera & Ciudad & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/1105426-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjY0Mzd8aW1hZ2UvcG5nfGFEbG1MMmd5TVM4eE1UTTVPVFkyTXpjME56RXdNaTh4TVRBMU5ESTJMVEZmT0RBd1YzZzRNREJJfGEyZGM4MDM2MjM2NWU2MmMxNmQzYjFiNjhlOTMyNTYzNzZmYzNjM2Q0NWZjZDZiZmYzMDI2YjRkZmUxYTRmMDU,,,https://static.bihr.pro/eBihr/Pictures/KALLOY_UNO-pictures.zip,Spain Warehouse (Parts)
1105422,"TS297-26,8",SP-341-26.8BK1,KALLOY UNO,"KALLO SEATPOST L:350MM Ø26,8. BLACK",Tija de sillín UNO TS 297 - 350mm Ø26.8 Negro,17.50,14.46,6.50,8430525034129,7,8714999089,0,1,"<ul>
<li>Aluminio</li>
<li>Color Negro</li>
<li>L: 350mm</li>
<li>&Oslash;: 26,8</li>
</ul>","
Aluminio
Color Negro
L: 350mm
Ø: 26,8
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1484,338,380,64,61,,Negro,,,,,,BMX & Carretera & Ciudad & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/1105422-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjY0Mzd8aW1hZ2UvcG5nfGFESTNMMmcwTVM4eE1UTTVPVFkyTWprMk1EWTNNQzh4TVRBMU5ESXlMVEZmT0RBd1YzZzRNREJJfDMzODZjY2IzMTZkMWE3YmNjMDQwYmQ4NzhmZjAzMTk1N2U2Y2Y3ZjM0NmExNzk2NWZjMjE5NjFkYWQ0YjFjYzk,,,https://static.bihr.pro/eBihr/Pictures/KALLOY_UNO-pictures.zip,Spain Warehouse (Parts)
1105272,697NR,HB-FB11-BLACK,KALLOY UNO,"KALLO BIKE HANDLEBAR UNO. Ø31,8 600. BLK",Manillar Recto MTB Negro Ø31.8mm,13.50,11.16,4.50,8430525128873,14,8714991089,0,1,<p>GRADE 1.0.</p><p>Centro manillar estriado para una sujeci�n perfecta<br>Certificaci�n EN-M: CEN 14766<br>� Centro manillar: 31.8 mm<br>Longitud: 600mm<br>Peso: 291gr<br>Apertura: 9�</p>,"
GRADE 1.0.
Centro manillar estriado para una sujeci�n perfectaCertificaci�n EN-M: CEN 14766� Centro manillar: 31.8 mmLongitud: 600mmPeso: 291grApertura: 9�",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,2419,308,603,118,34,,,,,,,,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/1105272-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzA4Njl8aW1hZ2UvcG5nfGFEQmhMMmhpTlM4eE1UTTVPVFkxT0RBME5UUTNNQzh4TVRBMU1qY3lMVEZmT0RBd1YzZzRNREJJfDIyYjYzNDY2YTk0NjlhZWVkOGVmOWFlODc1NDJkMTRlNGJhNzE4YWMwZGFjM2IzMGE1ZGQwYzE3MWZmOTc2NDU,,,https://static.bihr.pro/eBihr/Pictures/KALLOY_UNO-pictures.zip,Spain Warehouse (Parts)
1101645,"TS103-28,6",SP-341-28.6BK,KALLOY UNO,"KALLO MTB SEAT-POST. 28,6 MM. BLACK L:40",Tija de sillín UNO TS 103 - 400mm Ø28.6 Negro,17.50,14.46,9.40,8430525104303,45,8714999089,0,1,"<p>Tija sill&iacute;n de bicicleta UNO.</p>
<ul>
<li>Material: Aluminio</li>
<li>Color: Negro</li>
<li>&Oslash;: 28,6mm</li>
<li>Largo: 400mm</li>
</ul>","
Tija sillín de bicicleta UNO.

Material: Aluminio
Color: Negro
Ø: 28,6mm
Largo: 400mm
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1460,368,421,68,51,,Negro,,,,,,Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring,https://api.mybihr.com/medias/1101645-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTc5OXxpbWFnZS9qcGVnfGFHVTFMMmhrTXk4eE1UUXhOVEEwT1RnMk16RTVPQzh4TVRBeE5qUTFMVEZmT0RBd1YzZzRNREJJfDlmNzVmYzg4ZGQxMWEyYmRlMDdiODZlODRkOGExN2UyNDcxMjE1MWE0YTQ4NDM0NjBmNTc5YmM5M2Y3NWE4Njc,,,https://static.bihr.pro/eBihr/Pictures/KALLOY_UNO-pictures.zip,Spain Warehouse (Parts)
1105182,349NR,HB-FB11-BLACK,KALLOY UNO,"KALLO HANDLEBAR FLAT BAR -580-Ø25,4. BLK",Manillar MTB recto UNO Ø25.4 580mm. Aluminio color negro,11.50,9.50,4.30,8430525005921,45,8714991089,0,1,"Manillar plano MTB Grade 2.0.<br>Anchura: 580mm. Peso: 243 gr.<br>Aluminio 6061 P.G.<br>Centro de manillar: �25,4mm.<br>Color Negro","Manillar plano MTB Grade 2.0.Anchura: 580mm. Peso: 243 gr.Aluminio 6061 P.G.Centro de manillar: �25,4mm.Color Negro",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,963,242,586,53,31,,,,,,,,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/1105182-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzA4Njl8aW1hZ2UvcG5nfGFHVXlMMmc1TWk4eE1UTTVPVFkxTmpnMk5UZ3lNaTh4TVRBMU1UZ3lMVEZmT0RBd1YzZzRNREJJfDUzOTk0MTE0ZTRmY2Y5YzNmYjcyMmFjYjVmYjI1OTUyOTE3Y2ZlYmRhNTRiNjZkYWVhNDIyYTc1MjJkMTlmMzM,,,https://static.bihr.pro/eBihr/Pictures/KALLOY_UNO-pictures.zip,Spain Warehouse (Parts)
1105436,"TS297-31,8",SP-341-31.8BK1,KALLOY UNO,"KALLO SEATPOST L:350MM Ø31,8. BLACK",Tija de sillín UNO TS 297 - 350mm Ø31.8 Negro,16.50,13.64,8.87,8430525034280,0,8714999089,0,1,"<ul>
<li>Aluminio</li>
<li>Color Negro</li>
<li>L: 350mm</li>
<li>&Oslash;: 31,8</li>
</ul>","
Aluminio
Color Negro
L: 350mm
Ø: 31,8
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1257,378,374,60,56,,Negro,,,,,,BMX & Carretera & Ciudad & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/1105436-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjY0Mzd8aW1hZ2UvcG5nfGFHUm1MMmhtTkM4eE1UTTVPVFkyTlRjeE16RTRNaTh4TVRBMU5ETTJMVEZmT0RBd1YzZzRNREJJfDgzNDQxNmRkNGVjZjY4YjVkYTliN2IyNGMxZWI3MDE1ZGQ3MzM3N2U2YzZlYWFjZTFlMDg2M2I5ZjgxODI1YTM,,,https://static.bihr.pro/eBihr/Pictures/KALLOY_UNO-pictures.zip,Spain Warehouse (Parts)
1101723,"TS297-29,8","SP-341-29,8BK1",KALLOY UNO,"KALLO MTB SEAT-POST. ALU 6061 T6 29,8MM",Tija de sillín UNO TS 297 - 350mm Ø29.8 Negro,16.99,14.04,5.65,8430525034181,45,8714999089,0,1,"<p>Tija sill&iacute;n de bicicleta UNO.</p>
<ul>
<li>Material: Aluminio</li>
<li>Color: Negro</li>
<li>&Oslash;: 29,8mm</li>
<li>Largo: 350mm</li>
</ul>","
Tija sillín de bicicleta UNO.

Material: Aluminio
Color: Negro
Ø: 29,8mm
Largo: 350mm
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,775,331,362,51,42,,Negro,,,,,,BMX & Carretera & Ciudad & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/1101723-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTc5OXxpbWFnZS9qcGVnfGFHSXdMMmc1T0M4eE1UUXhOVEExTVRJek9UUTFOQzh4TVRBeE56SXpMVEZmT0RBd1YzZzRNREJJfDNhNGFjODE0MWQxNzA1ZThjYjZhYjRlZWExYmQ4MzhjOTE5ZjZmNTQwMWYzZGEwMGUzN2E3MjY5ZGRjZDhjMTA,,,https://static.bihr.pro/eBihr/Pictures/KALLOY_UNO-pictures.zip,Spain Warehouse (Parts)
1101724,"TS297-31,6",SP-341-31.6BK1,KALLOY UNO,"KALLO MTB SEAT-POST. ALU 6061 T6 31,6MM",Tija de sillín UNO TS 297 - 350mm Ø31.6 Negro,16.00,13.22,3.99,8430525034273,137,8714999089,0,1,"<p>Tija sill&iacute;n de bicicleta UNO.</p>
<ul>
<li>Material: Aluminio</li>
<li>Color: Negro</li>
<li>&Oslash;: 31,6mm</li>
<li>Largo: 350mm</li>
</ul>","
Tija sillín de bicicleta UNO.

Material: Aluminio
Color: Negro
Ø: 31,6mm
Largo: 350mm
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,946,357,371,51,50,,Negro,,,,,,BMX & Carretera & Ciudad & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/1101724-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTc5OXxpbWFnZS9qcGVnfGFEZ3dMMmc1Wmk4eE1UUXhOVEExTVRRek5qQTJNaTh4TVRBeE56STBMVEZmT0RBd1YzZzRNREJJfGIxMGMzZTQ2YjkwZmYyNGM2YzBhY2Y4NDgwMDM3MjVkYjMzMDJlYTE5ZDE1OGFlNjcyMjNiMjc0NzZjNGVmMjM,,,https://static.bihr.pro/eBihr/Pictures/KALLOY_UNO-pictures.zip,Spain Warehouse (Parts)
