PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,AllPicturesZIP,DeliveryPlant
1009536,KEV78,N424-35078,KEIHIN,KEIHI JET IDLE 78MM,Chiclé de baja Keihin N424-35-78,3.50,2.89,0.25,N424-35-78,2,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009536-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3MzV8aW1hZ2UvanBlZ3xhRFkzTDJobE1DODRPVFk0T0RZeE5EVXdNamN3THpFd01EazFNell0TVY4NE1EQlhlRGd3TUVnfGEyZTkyZmI1YjA4YmE2ODBhYWE4YzRiNmQwMmRiOWE3MTI1MjQ4Mzg1NDQ2NDlhNGNmMzc2YzNmZTM4ODA3NmU,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009567,KEF160,N424-36-160,KEIHIN,KEIHI JET 160MM,Chiclé Keihin N424-36-160,3.50,2.89,1.88,N424-36-160,2,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009567-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjIxNDF8aW1hZ2UvanBlZ3xhREl6TDJnNU5TODRPRFUyTlRreU1UZzNOREl5THpFd01EazFOamN0TVY4NE1EQlhlRGd3TUVnfDMxOWQ0ZjQ4YTA1ZWYwYTY5NWE5OWQ0ZGY2NDA2ZTkxMDVkN2Q0OTIyMjJhZGFkYzA0NDAwNzMzZjM0MWM3MGY,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009402,KEB50,N424-14-50,KEIHIN,KEIHI JET IDLE 50MM,Chiclé Keihin N424-14-50,3.50,2.89,1.88,N424-14-50,5,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009402-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQxMjB8aW1hZ2UvanBlZ3xhREV3TDJnek5TODRPVFV5TmpZd05UVTNPRFUwTHpFd01EazBNREl0TVY4NE1EQlhlRGd3TUVnfDkzYzU4YWU5MDc5ZTA1YTdkZjM4ZGJlNjhiZDkxMjdkYzk4OTI2Mjg4YjkwYTQ3NDUxNjk5MmRjZDEyYWM0MTA,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009399,KEB250,N424-14250,KEIHIN,KEIHI JET IDLE 250MM,Chiclé Keihin N424-14-250,3.50,2.89,1.88,N424-14-250,4,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009399-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQxMjB8aW1hZ2UvanBlZ3xhRE0xTDJobFpTODRPVE0wT0RnNU5EZzROREUwTHpFd01Ea3pPVGt0TVY4NE1EQlhlRGd3TUVnfGQ0MTg2YjliNzQ2Mzg0MGRkMWZiMGUxNmVmMjk2OGE0MmY2MTM4OTk1NDZjMjBlMWMzYTAzNjljMzkzYjRiNTM,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009647,922127,1130-808-7000,KEIHIN,KEIHI SPAREPARTS INTAKE HORNS,Trompeta de carburador roja Keihin (35mm) 35-41 FCR 35-37-39-41,45.00,37.19,24.17,1130-808-7000,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,150,23,65,66,35,https://api.mybihr.com/medias/1009647-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjAwNzV8aW1hZ2UvanBlZ3xhRGcyTDJnMU1pODRPVEkwTURJeE5ESTBNVFU0THpFd01EazJORGN0TVY4NE1EQlhlRGd3TUVnfDkzNDc4ODVjMmM1NDQxM2Y5ODY0ZWVhMWU2ZjE0NDYxNjIyZWE3MjZiM2U2N2ZkMjZhMWIyMzcyZmY2Y2QyYzQ,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009648,922128,1130-809-7000,KEIHIN,KEIHI SPAREPARTS INTAKE HORNS,Trompeta de carburador roja Keihin (35mm) 32-33 FCR 32-33,39.99,33.05,21.48,1130-809-7000,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,185,22,70,66,40,https://api.mybihr.com/medias/1009648-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjAwNzV8aW1hZ2UvanBlZ3xhR05qTDJneE9DODRPVE00TXprd056UTVNakUwTHpFd01EazJORGd0TVY4NE1EQlhlRGd3TUVnfDZiZGE2YWY0N2NiNDNmNTM5YzE5NDI2ZWU0NzgwYTQ4MTIwZjliMjkzNzJiOGFjNjcyZGQ2YjBmOTIxN2MwOWY,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009393,KEB190,N424-14190,KEIHIN,KEIHI JET IDLE 190MM,Chiclé Keihin N424-14-190,3.50,2.89,1.88,N424-14-190,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009393-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQxMjB8aW1hZ2UvanBlZ3xhRGMxTDJnME15ODRPVEF3T1RnMk5UTTFPVFkyTHpFd01Ea3pPVE10TVY4NE1EQlhlRGd3TUVnfGVlOTYzMmY2YTU4OGRkN2M3OGI4NWQ4MzA3NmUwODM5ZjNiM2I0NGNmMmY1YjY0MGIxNWQ0NWExN2Y1YWVlYWQ,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009434,KEU62,N424-22062,KEIHIN,KEIHI JET IDLE 62MM,Chiclé de baja Keihin N424-22-62,3.00,2.48,1.61,N424-22-62,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009434-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjIyMTN8aW1hZ2UvanBlZ3xhRFpqTDJnNE9DODRPVEF4TWpJNE16TXhNRE00THpFd01EazBNelF0TVY4NE1EQlhlRGd3TUVnfGI0MzNlYTgwZTY0MDkwNWUxOGZhMTQ1YjM0OGFlMWM2MDYyYjc1MTU3MjBhYTNmOTc4MDk3NWY5NjNlOWZhZDg,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009438,KEU72,N424-22072,KEIHIN,KEIHI JET IDLE 72MM,Chiclé de baja Keihin N424-22-72,3.50,2.89,1.88,N424-22-72,4,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009438-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjIyMTN8aW1hZ2UvanBlZ3xhR1U1TDJoa1ppODRPVFExTnpBMk5UazRORE13THpFd01EazBNemd0TVY4NE1EQlhlRGd3TUVnfDA3YjNhMTlkZDE2M2MzNjY4MTY3ZTczMDM0Zjc4NzBkNzQyOTFhZjFlM2JjODE5NmEzNzUzZTBmYWRjMDBlNjc,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009396,KEB220,N424-14220,KEIHIN,KEIHI JET IDLE 220MM,Chiclé Keihin N424-14-220,3.50,2.89,1.88,N424-14-220,3,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009396-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQxMjB8aW1hZ2UvanBlZ3xhRGcwTDJnd05DODRPVEE1TVRrd09ESXpPVFkyTHpFd01Ea3pPVFl0TVY4NE1EQlhlRGd3TUVnfDljMmIyZmQ0NzYyZjJjZTMzYmY5MzE1NzhiYjk2ZDg4NDZkY2Q0N2ZjZDU3ZDIxM2ZiZTMxNDUyMjUyODc5OWY,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
