PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura del neumático (perfil),Anchura del neumático,Categoría de neumático,Clasificación de capas,Compuesto de neumático,Diámetro de la llanta,Espesor (mm),Estructura de neumático,Familia de neumáticos,Homologación,Índice de carga del neumático (IC),Índice de velocidad (CV),Marcajes,Modelo,Posición,Sin cámara o tipo de cámara,Tierra,Tipo de cámara de aire,Tipo de válvula,Unidades por caja,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,DeliveryPlant
9007462,,1R5Q2069,KENDA,KENDA TIRE KM1 150/60R17,Neumático KENDA KM1 150/60 R 17 66H E TL,140.84,116.40,81.48,4711041547138,4,4011400000,0,1,"<ul>
	<li>Estilo de neumático: Street</li>
	<li>Construcción de última generación y tecnología avanzada de compuestos de goma se combinan para crear el primer neumático radial sport-touring de Kenda</li>
	<li>La geometría optimizada del vértice proporciona un equilibrio perfecto entre estabilidad a alta velocidad y un giro rapidísimo</li>
	<li>El compuesto patentado alcanza la temperatura de funcionamiento deseada más rápido que la competencia</li>
	<li>El excelente agarre sobre mojado y el aumento de los laminillas se combinan para proporcionar la máxima confianza en condiciones adversas</li>
	<li>El compuesto de larga duración promete más kilómetros sin sacrificar el rendimiento</li>
</ul>","
	Estilo de neumático: Street
	Construcción de última generación y tecnología avanzada de compuestos de goma se combinan para crear el primer neumático radial sport-touring de Kenda
	La geometría optimizada del vértice proporciona un equilibrio perfecto entre estabilidad a alta velocidad y un giro rapidísimo
	El compuesto patentado alcanza la temperatura de funcionamiento deseada más rápido que la competencia
	El excelente agarre sobre mojado y el aumento de los laminillas se combinan para proporcionar la máxima confianza en condiciones adversas
	El compuesto de larga duración promete más kilómetros sin sacrificar el rendimiento
",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG RAD,57600,6337,600,600,160,60,150,Sport-touring (radial),,,17,,Radial,Neumáticos de motocicleta y scooter,Homologado,66,H < 210 km/h,,KM1,Trasero,TL - Tubeless,,,,,https://api.mybihr.com/medias/800Wx800H-9007462-1.jpg?context=bWFzdGVyfHJvb3R8MTk4MzAwfGltYWdlL2pwZWd8YURWaEwyZ3pNQzg0TWpNM05EVTBPVGd6TVRjeE1DODRNREJYZURnd01FaGZPVEF3TnpRMk1pMHhMbXB3Wnd8NjZlMzVhNDA4OGYwM2M1NzE2ZWExOTZjNDcyZDEwZTA1NmI4MDU4ZGZkYzkzY2M3Y2M3ZWUwY2E2MTQ0OGM2OQ,,,,https://static.bihr.pro/eBihr/Pictures/KENDA-pictures.zip,Spain Warehouse (Tires)
9007465,,1R4R2061,KENDA,KENDA TIRE KM1 190/50ZR17,Neumático KENDA KM1 190/50 ZR 17 (73W) E TL,158.03,130.60,91.42,4711041546865,0,4011400000,0,1,"<ul>
	<li>Estilo de neumático: Street</li>
	<li>Construcción de última generación y tecnología avanzada de compuestos de goma se combinan para crear el primer neumático radial sport-touring de Kenda</li>
	<li>La geometría optimizada del vértice proporciona un equilibrio perfecto entre estabilidad a alta velocidad y un giro rapidísimo</li>
	<li>El compuesto patentado alcanza la temperatura de funcionamiento deseada más rápido que la competencia</li>
	<li>El excelente agarre sobre mojado y el aumento de los laminillas se combinan para proporcionar la máxima confianza en condiciones adversas</li>
	<li>El compuesto de larga duración promete más kilómetros sin sacrificar el rendimiento</li>
</ul>","
	Estilo de neumático: Street
	Construcción de última generación y tecnología avanzada de compuestos de goma se combinan para crear el primer neumático radial sport-touring de Kenda
	La geometría optimizada del vértice proporciona un equilibrio perfecto entre estabilidad a alta velocidad y un giro rapidísimo
	El compuesto patentado alcanza la temperatura de funcionamiento deseada más rápido que la competencia
	El excelente agarre sobre mojado y el aumento de los laminillas se combinan para proporcionar la máxima confianza en condiciones adversas
	El compuesto de larga duración promete más kilómetros sin sacrificar el rendimiento
",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG RAD,72000,8086,600,600,200,50,190,Sport-touring (radial),,,17,,Radial,Neumáticos de motocicleta y scooter,Homologado,73,H < 210 km/h,,KM1,Trasero,TL - Tubeless,,,,,https://api.mybihr.com/medias/800Wx800H-9007465-1.jpg?context=bWFzdGVyfHJvb3R8MTk4MzAwfGltYWdlL2pwZWd8YURFNUwyaGlaaTg0TWpNM05EVTFNRFl4T0RFME1pODRNREJYZURnd01FaGZPVEF3TnpRMk5TMHhMbXB3Wnd8ZTBmMjE5YWY3MjdkOTRmMDlkNDllMzc2ZTNhZDQyYzg2M2MzMDUwMWU1ZjE1OTczMWQwZGQ1NTM4NzY1NWFhZQ,,,,https://static.bihr.pro/eBihr/Pictures/KENDA-pictures.zip,Spain Warehouse (Tires)
9007460,,1R3K2029,KENDA,KENDA TIRE KM1 120/70ZR17,Neumático KENDA KM1 120/70 ZR 17 (58W) E TL,114.95,95.00,66.50,4711041546452,0,4011400000,0,1,"<ul>
	<li>Estilo de neumático: Street</li>
	<li>Construcción de última generación y tecnología avanzada de compuestos de goma se combinan para crear el primer neumático radial sport-touring de Kenda</li>
	<li>La geometría optimizada del vértice proporciona un equilibrio perfecto entre estabilidad a alta velocidad y un giro rapidísimo</li>
	<li>El compuesto patentado alcanza la temperatura de funcionamiento deseada más rápido que la competencia</li>
	<li>El excelente agarre sobre mojado y el aumento de los laminillas se combinan para proporcionar la máxima confianza en condiciones adversas</li>
	<li>El compuesto de larga duración promete más kilómetros sin sacrificar el rendimiento</li>
</ul>","
	Estilo de neumático: Street
	Construcción de última generación y tecnología avanzada de compuestos de goma se combinan para crear el primer neumático radial sport-touring de Kenda
	La geometría optimizada del vértice proporciona un equilibrio perfecto entre estabilidad a alta velocidad y un giro rapidísimo
	El compuesto patentado alcanza la temperatura de funcionamiento deseada más rápido que la competencia
	El excelente agarre sobre mojado y el aumento de los laminillas se combinan para proporcionar la máxima confianza en condiciones adversas
	El compuesto de larga duración promete más kilómetros sin sacrificar el rendimiento
",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG RAD,45253,5334,590,590,130,70,120,Sport-touring (radial),,,17,,Radial,Neumáticos de motocicleta y scooter,Homologado,58,(W) > 270 km/h,,KM1,Delantero,TL - Tubeless,,,,,https://api.mybihr.com/medias/800Wx800H-9007460-1.jpg?context=bWFzdGVyfHJvb3R8MTk4MzAwfGltYWdlL2pwZWd8YUdJNUwyZ3lNaTg0TWpNM05EVTBPVFF6T0RRNU5DODRNREJYZURnd01FaGZPVEF3TnpRMk1DMHhMbXB3Wnd8YTBmNDBlZGFjZTc2OGY1MjQxZTM1ZTliMWFhOGNhODc2MTUxYWY4NDY1MDY3MmEyNDUzYzIwY2U1MDc1OWMzYQ,,,,https://static.bihr.pro/eBihr/Pictures/KENDA-pictures.zip,Spain Warehouse (Tires)
9007459,,1R472104,KENDA,KENDA TIRE KM1 110/70R17,Neumático KENDA KM1 110/70 R 17 54H E TL,103.46,85.50,59.85,4711041554464,3,4011400000,0,1,"<ul>
	<li>Estilo de neumático: Street</li>
	<li>Construcción de última generación y tecnología avanzada de compuestos de goma se combinan para crear el primer neumático radial sport-touring de Kenda</li>
	<li>La geometría optimizada del vértice proporciona un equilibrio perfecto entre estabilidad a alta velocidad y un giro rapidísimo</li>
	<li>El compuesto patentado alcanza la temperatura de funcionamiento deseada más rápido que la competencia</li>
	<li>El excelente agarre sobre mojado y el aumento de los laminillas se combinan para proporcionar la máxima confianza en condiciones adversas</li>
	<li>El compuesto de larga duración promete más kilómetros sin sacrificar el rendimiento</li>
</ul>","
	Estilo de neumático: Street
	Construcción de última generación y tecnología avanzada de compuestos de goma se combinan para crear el primer neumático radial sport-touring de Kenda
	La geometría optimizada del vértice proporciona un equilibrio perfecto entre estabilidad a alta velocidad y un giro rapidísimo
	El compuesto patentado alcanza la temperatura de funcionamiento deseada más rápido que la competencia
	El excelente agarre sobre mojado y el aumento de los laminillas se combinan para proporcionar la máxima confianza en condiciones adversas
	El compuesto de larga duración promete más kilómetros sin sacrificar el rendimiento
",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG RAD,40368,4586,580,580,120,70,110,Sport-touring (radial),,,17,,Radial,Neumáticos de motocicleta y scooter,Homologado,54,(W) > 270 km/h,,KM1,Delantero,TL - Tubeless,,,,,https://api.mybihr.com/medias/800Wx800H-9007459-1.jpg?context=bWFzdGVyfHJvb3R8MTk4MzAwfGltYWdlL2pwZWd8YURRMEwyaGlOeTg0TWpNM05EVTBOekkzTlRnd05pODRNREJYZURnd01FaGZPVEF3TnpRMU9TMHhMbXB3Wnd8MDMzMGJlYTM4ZmNmZDEzZGFlZjlmMmM3ODM4NWEwNWE1ZTI3MmI4NWM0MmU4YWQ1OTQ5NGVjM2RlODRjY2U4MA,,,,https://static.bihr.pro/eBihr/Pictures/KENDA-pictures.zip,Spain Warehouse (Tires)
9007461,,1R7X2075,KENDA,KENDA TIRE KM1 140/70R17,Neumático KENDA KM1 140/70 R 17 66H E TL,147.86,122.20,85.54,4711041564470,0,4011400000,0,1,"<ul>
	<li>Estilo de neumático: Street</li>
	<li>Construcción de última generación y tecnología avanzada de compuestos de goma se combinan para crear el primer neumático radial sport-touring de Kenda</li>
	<li>La geometría optimizada del vértice proporciona un equilibrio perfecto entre estabilidad a alta velocidad y un giro rapidísimo</li>
	<li>El compuesto patentado alcanza la temperatura de funcionamiento deseada más rápido que la competencia</li>
	<li>El excelente agarre sobre mojado y el aumento de los laminillas se combinan para proporcionar la máxima confianza en condiciones adversas</li>
	<li>El compuesto de larga duración promete más kilómetros sin sacrificar el rendimiento</li>
</ul>","
	Estilo de neumático: Street
	Construcción de última generación y tecnología avanzada de compuestos de goma se combinan para crear el primer neumático radial sport-touring de Kenda
	La geometría optimizada del vértice proporciona un equilibrio perfecto entre estabilidad a alta velocidad y un giro rapidísimo
	El compuesto patentado alcanza la temperatura de funcionamiento deseada más rápido que la competencia
	El excelente agarre sobre mojado y el aumento de los laminillas se combinan para proporcionar la máxima confianza en condiciones adversas
	El compuesto de larga duración promete más kilómetros sin sacrificar el rendimiento
",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG RAD,54000,6626,600,600,150,70,140,Sport-touring (radial),,,17,,Radial,Neumáticos de motocicleta y scooter,Homologado,66,H < 210 km/h,,KM1,Trasero,TL - Tubeless,,,,,https://api.mybihr.com/medias/800Wx800H-9007461-1.jpg?context=bWFzdGVyfHJvb3R8MTk4MzAwfGltYWdlL2pwZWd8YURoaEwyZ3lPUzg0TWpNM05EVTBPVFl6TlRFd01pODRNREJYZURnd01FaGZPVEF3TnpRMk1TMHhMbXB3Wnd8NGU1MTJjZjAzYTM2Yjg4MjJhNjA3ZmQ2MzI0M2Q1Zjc1NmUxN2VhOTdlNzk0MTJhNmI0NWQ2YTQwMWYxMTIxNw,,,,https://static.bihr.pro/eBihr/Pictures/KENDA-pictures.zip,Spain Warehouse (Tires)
9007464,,1R3G2031,KENDA,KENDA TIRE KM1 180/55ZR17,Neumático KENDA KM1 180/55 ZR 17 (73W) E TL,154.52,127.70,89.39,4711041546421,0,4011400000,0,1,"<ul>
	<li>Estilo de neumático: Street</li>
	<li>Construcción de última generación y tecnología avanzada de compuestos de goma se combinan para crear el primer neumático radial sport-touring de Kenda</li>
	<li>La geometría optimizada del vértice proporciona un equilibrio perfecto entre estabilidad a alta velocidad y un giro rapidísimo</li>
	<li>El compuesto patentado alcanza la temperatura de funcionamiento deseada más rápido que la competencia</li>
	<li>El excelente agarre sobre mojado y el aumento de los laminillas se combinan para proporcionar la máxima confianza en condiciones adversas</li>
	<li>El compuesto de larga duración promete más kilómetros sin sacrificar el rendimiento</li>
</ul>","
	Estilo de neumático: Street
	Construcción de última generación y tecnología avanzada de compuestos de goma se combinan para crear el primer neumático radial sport-touring de Kenda
	La geometría optimizada del vértice proporciona un equilibrio perfecto entre estabilidad a alta velocidad y un giro rapidísimo
	El compuesto patentado alcanza la temperatura de funcionamiento deseada más rápido que la competencia
	El excelente agarre sobre mojado y el aumento de los laminillas se combinan para proporcionar la máxima confianza en condiciones adversas
	El compuesto de larga duración promete más kilómetros sin sacrificar el rendimiento
",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG RAD,69192,7729,620,620,180,55,180,Sport-touring (radial),,,17,,Radial,Neumáticos de motocicleta y scooter,Homologado,73,H < 210 km/h,,KM1,Trasero,TL - Tubeless,,,,,https://api.mybihr.com/medias/800Wx800H-9007464-1.jpg?context=bWFzdGVyfHJvb3R8MTk4MzAwfGltYWdlL2pwZWd8YUdFM0wyaGpZeTg0TWpNM05EVTFNREl5TkRreU5pODRNREJYZURnd01FaGZPVEF3TnpRMk5DMHhMbXB3Wnd8MzM4YWFkN2FiN2VjZDhmYjljOWUzNTgyN2QzYjcwOTMyMDRjNWUwMTU3N2RmZWQyMmIyYmMwMTA1ZDI4ODI5MQ,,,,https://static.bihr.pro/eBihr/Pictures/KENDA-pictures.zip,Spain Warehouse (Tires)
9007463,,1R372032,KENDA,KENDA TIRE KM1 160/60ZR17,Neumático KENDA KM1 160/60 ZR 17 (69W) E TL,151.37,125.10,87.57,4711041554389,2,4011400000,0,1,"<ul>
	<li>Estilo de neumático: Street</li>
	<li>Construcción de última generación y tecnología avanzada de compuestos de goma se combinan para crear el primer neumático radial sport-touring de Kenda</li>
	<li>La geometría optimizada del vértice proporciona un equilibrio perfecto entre estabilidad a alta velocidad y un giro rapidísimo</li>
	<li>El compuesto patentado alcanza la temperatura de funcionamiento deseada más rápido que la competencia</li>
	<li>El excelente agarre sobre mojado y el aumento de los laminillas se combinan para proporcionar la máxima confianza en condiciones adversas</li>
	<li>El compuesto de larga duración promete más kilómetros sin sacrificar el rendimiento</li>
</ul>","
	Estilo de neumático: Street
	Construcción de última generación y tecnología avanzada de compuestos de goma se combinan para crear el primer neumático radial sport-touring de Kenda
	La geometría optimizada del vértice proporciona un equilibrio perfecto entre estabilidad a alta velocidad y un giro rapidísimo
	El compuesto patentado alcanza la temperatura de funcionamiento deseada más rápido que la competencia
	El excelente agarre sobre mojado y el aumento de los laminillas se combinan para proporcionar la máxima confianza en condiciones adversas
	El compuesto de larga duración promete más kilómetros sin sacrificar el rendimiento
",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG RAD,63257,7516,610,610,170,60,160,Sport-touring (radial),,,17,,Radial,Neumáticos de motocicleta y scooter,Homologado,69,H < 210 km/h,,KM1,Trasero,TL - Tubeless,,,,,https://api.mybihr.com/medias/800Wx800H-9007463-1.jpg?context=bWFzdGVyfHJvb3R8MTk4MzAwfGltYWdlL2pwZWd8YURjMkwyaGtNeTg0TWpNM05EVTFNREF5T0RNeE9DODRNREJYZURnd01FaGZPVEF3TnpRMk15MHhMbXB3Wnd8YzZiYTczYzI5ODY4NmRlMzcyNTBkOGNkYTBjYjY0NmExMDBiYzU2MTMzNDg4NDgzMTNkZDlmNjViMjNmNTg4Zg,,,,https://static.bihr.pro/eBihr/Pictures/KENDA-pictures.zip,Spain Warehouse (Tires)
9000996,69550,133C2036,KENDA,KENDA TIRE K673 KRUZ 130/90-16,Neumático KENDA K673 KRUZ 130/90-16 74H E TL,127.50,105.37,73.76,8430525695504,1,4011400000,0,1,"<p><strong>Nuevo Kenda Kruz, concebido específicamente para las motos más grandes del mercado actual</strong></p><p><strong>Un excelente neumático para cualquier clima, con multitud de aplicaciones</strong></p><p>  <br></p><p>- Alternativa excelente para vehículos de mayor tamaño y peso.</p><p>- Banda de rodadura de neumáticos delantero y trasero diseñada para cualquier clima.</p><p>- Construcción diagonal cinturada de la carcasa delantera y trasera, para una mejor conducción y gran capacidad de carga.</p><p>- Nuevo compuesto de caucho para mejorar el kilometraje.</p><p>- Homologación DOT, categoría H.</p><p>- Sin cámara (TL).</p><p>- Disponible en 17 medidas de uso común.</p>","
Nuevo Kenda Kruz, concebido específicamente para las motos más grandes del mercado actual
Un excelente neumático para cualquier clima, con multitud de aplicaciones
  
- Alternativa excelente para vehículos de mayor tamaño y peso.
- Banda de rodadura de neumáticos delantero y trasero diseñada para cualquier clima.
- Construcción diagonal cinturada de la carcasa delantera y trasera, para una mejor conducción y gran capacidad de carga.
- Nuevo compuesto de caucho para mejorar el kilometraje.
- Homologación DOT, categoría H.
- Sin cámara (TL).
- Disponible en 17 medidas de uso común.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,53248,7998,640,640,130,90,130,Clásico/Urbano (diagonal y cruzado),,,16,,X-Ply,Neumáticos de motocicleta y scooter,Homologado,74,H < 210 km/h,,KRUZ,Trasero,TL - Tubeless,,,,,https://api.mybihr.com/medias/800Wx800H-9000996-1.jpg?context=bWFzdGVyfHJvb3R8MTY1MDMyfGltYWdlL2pwZWd8YUdVM0wyaGlaQzg0TWpNM01UZzVOamN3TlRBMU5DODRNREJYZURnd01FaGZPVEF3TURrNU5pMHhMbXB3Wnd8ZGM3YzdjYzdkNmRhNzFhOTkxNDA4YzIxNDQyOGFiY2EwZGM3NjVmZjBhZTRlNGE2ZjVhYWQwNTQ3ZWJjOGNiNQ,,,,https://static.bihr.pro/eBihr/Pictures/KENDA-pictures.zip,Spain Warehouse (Tires)
9007337,,1R6320B3,KENDA,KENDA TIRE K671 CRUISER S/T 130/90-15,Neumático KENDA K671 CRUISER S/T 130/90-15 66H E TL,107.33,88.70,62.09,4711041547183,9,4011400000,0,1,"<p><strong>El Cruiser es un gran complemento para cualquier moto touring deportiva de cilindrada más pequeña.</strong></p><p>  <br></p><p>- Excelente elección para modelos touring deportivos ligeros.</p><p>- Surcos de perfil profundo, para cualquier tipo de clima.</p><p>- Sin cámara (TL).</p><p>- Homologación DOT, categoría H.</p><p>- Disponible en 13 medidas de uso común.</p><p>- NO recomendado para vehículos de alta capacidad de carga.</p>","
El Cruiser es un gran complemento para cualquier moto touring deportiva de cilindrada más pequeña.
  
- Excelente elección para modelos touring deportivos ligeros.
- Surcos de perfil profundo, para cualquier tipo de clima.
- Sin cámara (TL).
- Homologación DOT, categoría H.
- Disponible en 13 medidas de uso común.
- NO recomendado para vehículos de alta capacidad de carga.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,52094,6171,610,610,140,90,130,Clásico/Urbano (diagonal y cruzado),,,15,,X-Ply,Neumáticos de motocicleta y scooter,Homologado,66,H < 210 km/h,,CRUISER S/T,Trasero,TL - Tubeless,,,,,https://api.mybihr.com/medias/800Wx800H-9007337-1.jpg?context=bWFzdGVyfHJvb3R8NDU1NTd8aW1hZ2UvanBlZ3xhR0ZsTDJoaFppODRNakF4TURBek9UQTFPRFEyTWk4NE1EQlhlRGd3TUVoZk9UQXdOek16TnkweExtcHdad3wzMjExZmFmMzFlMmRmZGI5ZTA2ODM0ZDMxYmM2MGM1MjdlNjUwM2IwNDFkZGNlNDM1NTRjM2Y1ODJmOTA0YWUz,,,,https://static.bihr.pro/eBihr/Pictures/KENDA-pictures.zip,Spain Warehouse (Tires)
9007335,,1R7820N9,KENDA,KENDA TIRE K657F SPORT CHALLE 100/90-18,Neumático KENDA K657F SPORT CHALLENGER 100/90-18 56H E TL,108.30,89.50,62.65,4711041547435,4,4011400000,0,1,"<p>El Challenger ha superado la prueba del tiempo atesorando un gran valor dentro del segmento touring</p><p>&nbsp;</p><ul><li>Excelente elecci&oacute;n para modelos touring deportivos ligeros.</li><li>Banda de rodadura dise&ntilde;ada para cualquier clima.</li><li>Sin c&aacute;mara (TL).</li><li>Homologaci&oacute;n DOT, categor&iacute;a H.</li><li>Disponible en 14 medidas de uso com&uacute;n.</li><li>NO recomendado para veh&iacute;culos de alta capacidad de carga.</li></ul>","
El Challenger ha superado la prueba del tiempo atesorando un gran valor dentro del segmento touring
 Excelente elección para modelos touring deportivos ligeros.Banda de rodadura diseñada para cualquier clima.Sin cámara (TL).Homologación DOT, categoría H.Disponible en 14 medidas de uso común.NO recomendado para vehículos de alta capacidad de carga.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,46475,4720,650,650,110,90,100,Clásico/Urbano (diagonal y cruzado),,,18,,X-Ply,Neumáticos de motocicleta y scooter,Homologado,56,H < 210 km/h,,SPORT CHALLENGER,Delantero,TL - Tubeless,,,,,https://api.mybihr.com/medias/800Wx800H-9007335-1.jpg?context=bWFzdGVyfHJvb3R8NDA0NDN8aW1hZ2UvanBlZ3xhR1k1TDJnNE1pODJOREUzTnpZek1EQXhPVFl4TkM4NE1EQlhlRGd3TUVoZk9UQXdOek16TlMweExtcHdad3w4MjZlZTNiZTYyNjM5MWVjZDhjZDY2MDY3ZWFiODIyZTMyY2U4M2RkYzQzNmM0M2Q4ODc1MTliNmFhNTQ2ZDhm,,,,https://static.bihr.pro/eBihr/Pictures/KENDA-pictures.zip,Spain Warehouse (Tires)
