PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Acabado del silenciador de escape,Altura (cm),Anchura (cm),Anchura (mm),Capacidad de portaequipajes (L),Capacidad del casco,Capacidad/litros (L),Color,Composición,Longitud (cm),Peso (kg),Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,Picture9,Picture10,AllPicturesZIP,Document1,DeliveryPlant
1047839,,294199,KIMPEX,KIMPE CV AXLE BOOT UNIVERSAL,Fuelle palier KIMPEX universal ATV,25.70,21.24,13.81,827098029382,0,8714102000,0,1,"<ul> <li>Universal, very flexible</li> <li>Grease included</li> <li>Interior diameter 1,90 cm (3/4"")</li> <li>Exterior diameter up to 9,52 cm (3 1/2"") </li> <li>Maximum Length: 12,70 cm (5"") </li></ul>"," Universal, very flexible Grease included Interior diameter 1,90 cm (3/4"") Exterior diameter up to 9,52 cm (3 1/2"")  Maximum Length: 12,70 cm (5"") ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,1631,270,110,109,136,,,,,,,,,,,,https://api.mybihr.com/medias/1047839-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTAxNTEwfGltYWdlL2pwZWd8YURsakwyaGlZaTg0T1RjeE1ESXpOalEyTnpVd0x6RXdORGM0TXprdE1WODRNREJYZURnd01FZ3w1OTdjNzgxMTkwMTk4YjQzNTZhODVkYzIyZjU4ODE2MmFiY2Q2OTk2ZjJiZTYxYzc0ZDM0M2VhMTYyYWVhMzc0,https://api.mybihr.com/medias/1047839-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDI1Njd8aW1hZ2UvanBlZ3xhR05qTDJoaU5DODRPVGN4TURJek9EUXpNelU0THpFd05EYzRNemt0TWw4NE1EQlhlRGd3TUVnfGVmMjE3ZGU4ZTI2ODI3OGZjNjg2ZThkOGRiMjU1ZjNhNGJiYzA4NGJhMjVhMmQ5Mzg4YTdiOTI1OGEwMWI5YmU,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KIMPEX-pictures.zip,,Spain Warehouse (Parts)
1066747,,175185,KIMPEX,KIMPE GRAB HNDLE UNIVERSAL,Mango de agarre KIMPEX universal,90.50,74.79,48.61,6190027355,0,8708999790,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>Seizmik's grab handle is an extremely durable solution for adding a stable grip to your UTV. The steel construction provides a stable grip. It's easy to take it on and off due to the simple but heavy duty velcro strap. Rubber pads keep it from sliding and twisting while driving through the roughest terrain or entering and exiting the UTV.</p><p></p><ul> <li>Heavy-duty steel construction</li><li>Adjustable Straps fit 1.75 ft to 2"" bars</li><li>Rubber pads reduce slipping and prevent scratching the roll cage</li><li>Soft, ergonomic grip</li><li>Multiple mounting location options</li><li>Simple installation, no tools required<a id=""_dx_frag_EndFragment""></a></li></ul> </body> </html>","       Seizmik's grab handle is an extremely durable solution for adding a stable grip to your UTV. The steel construction provides a stable grip. It's easy to take it on and off due to the simple but heavy duty velcro strap. Rubber pads keep it from sliding and twisting while driving through the roughest terrain or entering and exiting the UTV. Heavy-duty steel constructionAdjustable Straps fit 1.75 ft to 2"" barsRubber pads reduce slipping and prevent scratching the roll cageSoft, ergonomic gripMultiple mounting location optionsSimple installation, no tools required  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,3185,517,283,121,93,,,,,,,,,,,,https://api.mybihr.com/medias/1066747-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ3MTI4fGltYWdlL2pwZWd8YURSaUwyaGhNaTg0T1RjME1qYzJPRFV6Tnprd0x6RXdOalkzTkRjdE1WODRNREJYZURnd01FZ3xmZDBmODY1OGFhODM3ZGU3MWQwMmUwNmUwMzMxMTNmOTVkNDQ4YWM2ZmEyMmUzMTc0MTY5M2RkNDU1ZWE5ODNh,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KIMPEX-pictures.zip,,Spain Warehouse (Parts)
1093034,,418530,KIMPEX,KIMPE MUFFLER STEEL BLACK,KIMPEX Bolt-On Silencer Spark Arrestor Steel Black,524.52,433.49,303.44,77942331040,1,8708923500,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs41F85E7D{text-align:left;margin:0pt 0pt 0pt 0pt;background-color:#FFF;list-style-type:disc;color:#333;font-weight:normal;font-style:normal;}.cs26D1E7FA{color:#333;background-color:#FFF;font-weight:normal;font-style:normal;}.csF337A4CA{text-align:left;margin:0pt 0pt 0pt 0pt;background-color:#FFF;list-style-type:disc;color:#000;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li><a id=""_dx_frag_StartFragment""></a>600 degrees paint</li><li>Steel Muffler, Black Finish</li><li>Special coupler, no gaskets needed</li><li>As quiet as the OEM silencer</li><li>Galvanized main tube</li><li>All internal parts are fully welded and not spot welded</li><li>Completely adjustable</li><li>More than competitive pricing</li><li>Can be directly installed on the oem pipes</li><li>Slip-on only</li><li>All Exsound muffler have been built for ATV's with tires</li><li>Not tested for ATV's with Track systems</li><li>Made in Canada<a id=""_dx_frag_EndFragment""></a></li></ul> </body> </html>","        600 degrees paintSteel Muffler, Black FinishSpecial coupler, no gaskets neededAs quiet as the OEM silencerGalvanized main tubeAll internal parts are fully welded and not spot weldedCompletely adjustableMore than competitive pricingCan be directly installed on the oem pipesSlip-on onlyAll Exsound muffler have been built for ATV's with tiresNot tested for ATV's with Track systemsMade in Canada  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. EXHAUST,39474,6980,1080,215,170,Acero negro,,,,,,,,,,,https://api.mybihr.com/medias/1093034-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTY5Mzd8aW1hZ2UvanBlZ3xhRFpsTDJoaVpDODRPVEExTWpRek9UZ3pPVEF5THpFd09UTXdNelF0TVY4NE1EQlhlRGd3TUVnfGI3YzYzN2YwMzU4MWI2YWMxMmNhOTY1MzAwOGEwZGM1MDFjZWY0Mjc1NmMwNmUyMGJjNjc1NWJiOTc2MmM2OTY,https://api.mybihr.com/medias/1093034-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzA5MzR8aW1hZ2UvanBlZ3xhREUxTDJobU5DODRPVEExTWpRME1UZ3dOVEV3THpFd09UTXdNelF0TWw4NE1EQlhlRGd3TUVnfGM3NjhkMjQyZjhmMzE5N2I0NGRlY2Y4NzI4MjUyMjVmZDg3YTQ2OWUzMzJlNjc4NzgyNDNhZmRiNmQ1YWY4ZTE,https://api.mybihr.com/medias/1093034-3-800Wx800H?context=bWFzdGVyfHJvb3R8MzU3MDF8aW1hZ2UvanBlZ3xhRFU0TDJobFpDODRPVEExTWpRME16YzNNVEU0THpFd09UTXdNelF0TTE4NE1EQlhlRGd3TUVnfDFkZTg4ZWQyMTNhYjRlNGI3OWFhYzI3MjJlZGU4ZmEyMmI2Mjc3Zjg4MmQ0NDE3OTk4NGI2NWU1MWZhNDc1ZTY,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KIMPEX-pictures.zip,,France Warehouse (Parts)
1066753,,175995,KIMPEX,KIMPE BRACKET SPARE WHEEL CARRIER,Soporte para rueda de repuesto KIMPEX universal negro,246.83,203.99,132.59,779420959808,0,8714109090,0,1,"<ul>
	<li>Robusta construcción de acero con soporte de 3 puntos</li>
	<li>Envergadura ajustable de 10 a 49 pulgadas que se adapta a la mayoría de los UTV</li>
	<li>Acabado de pintura en polvo negro mate</li>
	<li>Mango en T con palancas integradas para desmontar las ruedas</li>
	<li>Las abrazaderas de la jaula antivuelco se venden por separado</li>
</ul>
","
	Robusta construcción de acero con soporte de 3 puntos
	Envergadura ajustable de 10 a 49 pulgadas que se adapta a la mayoría de los UTV
	Acabado de pintura en polvo negro mate
	Mango en T con palancas integradas para desmontar las ruedas
	Las abrazaderas de la jaula antivuelco se venden por separado

",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,34669,9023,780,263,169,,,,,,,,Negro,,,,https://api.mybihr.com/medias/1066753-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjQ2NTl8aW1hZ2UvanBlZ3xhR1l5TDJoak1pODRPRGMxTURNM01UTXdOemd5THpFd05qWTNOVE10TVY4NE1EQlhlRGd3TUVnfDhhNzJlNjc0YjM4YTdkZWVlOTBmOWNkZWU4ZmUwNDI4NTI1OTY5MGY5ZmZkZjI1ZDZhOTQxNGRiMzMzMDE3N2U,https://api.mybihr.com/medias/1066753-2-800Wx800H?context=bWFzdGVyfHJvb3R8MjM3NjE5fGltYWdlL2pwZWd8YURNMUwyaGlZeTg0T0RjMU1ETTNNekkzTXprd0x6RXdOalkzTlRNdE1sODRNREJYZURnd01FZ3wyYjQ3NTFlNWM4NGYxOTg0NmQ2YzJlMTViNDllMzBkNDg0M2M4ZTBmY2FjYWQyOTVlOTRkMjFlYjY2MWM3YjEy,https://api.mybihr.com/medias/1066753-3-800Wx800H?context=bWFzdGVyfHJvb3R8NzMxNzl8aW1hZ2UvanBlZ3xhRFkxTDJoaU5TODRPRGMxTURNM05USXpPVGs0THpFd05qWTNOVE10TTE4NE1EQlhlRGd3TUVnfDlhYjRhMTZmNDVmOGYzODYyODIwNmMwZjY0MWNkOTFkZmM2YWNhMTQ1NzJhMWVjNDgwMWM5NTc2ZWJkMTRjYjI,https://api.mybihr.com/medias/1066753-4-800Wx800H?context=bWFzdGVyfHJvb3R8MjYwMzcwfGltYWdlL2pwZWd8YURrMEwyaGhaUzg0T0RjMU1ETTNOekl3TmpBMkx6RXdOalkzTlRNdE5GODRNREJYZURnd01FZ3wxMThkNWIwZGQ2YWJiODQzYjBkNmQzY2M5ODBlNDUwMjBhMDcyOTdkMzlhNjc3ZmJmZDJkNzgwNmZkMGY3YmQ0,https://api.mybihr.com/medias/1066753-5-800Wx800H?context=bWFzdGVyfHJvb3R8MjIxMjczfGltYWdlL2pwZWd8YUdRM0wyaGhOeTg0T0RjMU1ETTNPVEUzTWpFMEx6RXdOalkzTlRNdE5WODRNREJYZURnd01FZ3xhZDJhOWYwMDkyNTM3ODM4YTNkZTljYmRiMjNkMzUwODQ3MzBmMDNmODEwNmE3M2VkNzA4YzYyZmFjNTg2MDdk,,,,,,https://static.bihr.pro/eBihr/Pictures/KIMPEX-pictures.zip,,Spain Warehouse (Parts)
1066762,,360006,KIMPEX,KIMPE REAR BOX REAR CARGO BOX BLK,KIMPEX Rear Cargo Box Black UTV 178L,380.53,314.49,251.59,779423295286,1,8430200000,0,0,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csDB7D144F{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:circle;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <ul> <li>Padlockable rubber latch</li><li>Weather-sealed</li><li>Extra storage compartmenton the lid: All objects can easily be secured with bungee cords to aluminum tube</li><li>Fits: <ul> <li>RZR900 2013-2014</li><li>Polaris RZR800 all years </li><li>Polaris RZR570 all years </li><li>Can Am Maverick all years </li></ul> </li><p> </p></ul> </body> </html>","        Padlockable rubber latchWeather-sealedExtra storage compartmenton the lid: All objects can easily be secured with bungee cords to aluminum tubeFits:  RZR900 2013-2014Polaris RZR800 all years Polaris RZR570 all years Can Am Maverick all years     ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,178953,10385,637,599,469,,,,,,2,,Negro,,,,https://api.mybihr.com/medias/1066762-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzU5MTB8aW1hZ2UvanBlZ3xhREpqTDJoaFl5ODRPVFUwTXpJeE56TXhOakUwTHpFd05qWTNOakl0TVY4NE1EQlhlRGd3TUVnfGYzMDU1N2NjOTI1ZDhiMDhjMmIyOGEzZGUwZTZmYTViZmNhZjM5YTY1MWM4NzhjZDdmZTNmOTc5MWMxMDhjNjE,https://api.mybihr.com/medias/1066762-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzE5NzV8aW1hZ2UvanBlZ3xhRFptTDJoaE5TODRPVFUwTXpJeE9USTRNakl5THpFd05qWTNOakl0TWw4NE1EQlhlRGd3TUVnfDFkMmI2ZGJiMmY1NTQ2MDEyMTY2MjBlZThjY2E0OWEwNDQ4MTRkMTVkZjUwOGQyNGZiMWU4Y2JlMzRiYTZhYzI,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KIMPEX-pictures.zip,,France Warehouse (Parts)
1066760,,350005,KIMPEX,KIMPE BOX UTV CARGO BLK,Baul cargo KIMPEX 85L,329.11,271.99,203.99,779423295279,1,8430200000,0,0,<ul> <li>Weather-sealed</li> <li>Ready for Kolpin additional gas tank KL1040 </li> <li>Predetermined bolt pattern for better gas tank installation</li> <li>Extra storage compartment on the lid: all objects can easily be secured with bungee cords to the aluminum tube</li> <li>Rugged padlockable device</li> <li>Quick installation</li> <li>Capacity : 85 L</li></ul>," Weather-sealed Ready for Kolpin additional gas tank KL1040  Predetermined bolt pattern for better gas tank installation Extra storage compartment on the lid: all objects can easily be secured with bungee cords to the aluminum tube Rugged padlockable device Quick installation Capacity : 85 L",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,178953,10385,637,599,469,,,,,,,,Negro,,,,https://api.mybihr.com/medias/1066760-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzYwOTN8aW1hZ2UvanBlZ3xhREZtTDJnME9TODRPVEF5T0RJNE1ETXlNRE13THpFd05qWTNOakF0TVY4NE1EQlhlRGd3TUVnfDYxZjU2YzFhNDJmZjAyMGUyNmYzZDg0YTNmZmY2YmVkZWM2N2RjZjg2NjY5NTk4Njc0ZmY4NzAxMDVkODg3NzE,https://api.mybihr.com/medias/1066760-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzQ1OTh8aW1hZ2UvanBlZ3xhR1JqTDJnMFppODRPVEF5T0RJNE1qSTROak00THpFd05qWTNOakF0TWw4NE1EQlhlRGd3TUVnfDE5OTM0YTVmZjdhYjc0NWY1YWRmMTk3NjM0YTE3NTVmOGRkNmU1MGJlNTgzMzgzNTI4ODAwZTI1NjVhZTYzZDQ,https://api.mybihr.com/medias/1066760-3-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc1NzB8aW1hZ2UvanBlZ3xhR0ZqTDJnMU5pODRPVEF5T0RJNE5ESTFNalEyTHpFd05qWTNOakF0TTE4NE1EQlhlRGd3TUVnfDZkYWIyNmZkNWE1ZWEwYTg0YTIwMDc4NzhiYmFjNDljODBhMzBiODdkYTM2MmQ5MTMwZjA4ODMyZmUyMjE5M2I,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KIMPEX-pictures.zip,,Spain Warehouse (Parts)
1066754,,175996,KIMPEX,KIMPE CLAMP CAGE TUBE Ø45MM,Abrazadera para tubo jaula KIMPEX Ø45mm,59.64,49.29,32.04,779420959815,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,1296,560,120,120,90,,,,,,,,Negro,,,,https://api.mybihr.com/medias/1066754-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTExMzk3fGltYWdlL2pwZWd8YUdVd0wyZzROUzg0T1RNNU9UUXlNelEyTnpneUx6RXdOalkzTlRRdE1WODRNREJYZURnd01FZ3xmODg1NzIzYWUyMGUyZWQwNzQ0NGUzNmQ5ZTQyZTQ5YTllMjQ1YWMxYThiMWIwMjhjNzU5MzYxZWFkMTNkMDgz,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KIMPEX-pictures.zip,,Spain Warehouse (Parts)
1066759,,348400,KIMPEX,KIMPE REAR BOX EXPE SPORT CARGO BOX BLK,Baul deportivo KIMPEX 78L,287.97,237.99,178.49,779420205493,2,8430200000,0,0,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs1C98BBCC{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:circle;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>Ready for additional 5L gas tank </li><li>Rugged padlockable device</li><li>Neoprene seal inside the cover</li><li>Fits:<ul> <li>Wildcat trail 2014-2015</li><li>Polaris Ace 2015</li><li>Polaris RZR 900 2015</li></ul> </li></ul> </body> </html>","        Ready for additional 5L gas tank Rugged padlockable deviceNeoprene seal inside the coverFits: Wildcat trail 2014-2015Polaris Ace 2015Polaris RZR 900 2015   ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,178953,10385,637,599,469,,,,,,,,Negro,,,,https://api.mybihr.com/medias/1066759-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY2ODh8aW1hZ2UvanBlZ3xhREJrTDJneVpDODRPVEV4TkRNNE9EQTNNRGN3THpFd05qWTNOVGt0TVY4NE1EQlhlRGd3TUVnfGU0YmY0M2Y1ZWYzYWYyNmY2MzVkN2M0ZDM4YjM1NzlkYWZkMTg3MWMzYWY5NmJjODFhNDI0MTFlMmRmNmZhOGM,https://api.mybihr.com/medias/1066759-2-800Wx800H?context=bWFzdGVyfHJvb3R8MjgzMjR8aW1hZ2UvanBlZ3xhRFprTDJneU1TODRPVEV4TkRNNU1EQXpOamM0THpFd05qWTNOVGt0TWw4NE1EQlhlRGd3TUVnfDZmYTIwMzNiODM5ZmY0YjJmMDdhNGYwYWJlNWFiM2EzNGJlN2ZmMzdjNDk5MjExNTk2ODVjMGIxZGE4Y2QyMjY,https://api.mybihr.com/medias/1066759-3-800Wx800H?context=bWFzdGVyfHJvb3R8MzAyNzh8aW1hZ2UvanBlZ3xhRE5sTDJneU9DODRPVEV4TkRNNU1qQXdNamcyTHpFd05qWTNOVGt0TTE4NE1EQlhlRGd3TUVnfDVhNTg4NjdkNzQwZmUxNGFjMjIyY2QxYWM0ZGJiZjE4NmFjMTQyMGI3MWRkNzM1Y2FlYmM5MzM1ODkwOGFiOWU,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KIMPEX-pictures.zip,,Spain Warehouse (Parts)
1066748,,158425,KIMPEX,KIMPE REAR BOX DELUX REAR BOX BLK,KIMPEX Deluxe Rear Cargo Box ATV Black 92L,442.24,365.49,292.39,779420440764,0,4202125000,0,0,"<p>The DELUXE trunk is the leader, the favorite, the ultimate unconditional consumer's choice. In addition to being comfortable and ergonomic, it has easy to use locks and its storage capacity is exceptional.</p> <ul> <li>The inside rear portion is empty from side to side so you can put a fishing rod or an axe in it</li> <li>Comes standard with rear parking/brake light molded in the top rear of the trunk</li> <li>Side lids open from rear to front</li></ul>","
The DELUXE trunk is the leader, the favorite, the ultimate unconditional consumer's choice. In addition to being comfortable and ergonomic, it has easy to use locks and its storage capacity is exceptional.  The inside rear portion is empty from side to side so you can put a fishing rod or an axe in it Comes standard with rear parking/brake light molded in the top rear of the trunk Side lids open from rear to front",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,314580,17150,700,420,1070,,,,,,1,,Negro,,,,https://api.mybihr.com/medias/1066748-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzQ2NzR8aW1hZ2UvanBlZ3xhRFJrTDJnM05TODRPVEk0TURVMk5EUXlPVEV3THpFd05qWTNORGd0TVY4NE1EQlhlRGd3TUVnfDY4NDAyNGZjZjA5NGI5OTZkOTcwN2MyZmZmOTY5ZTFmNzRmOGMyMmFiNGUyN2Q3ZWY4ZWMzNDlhMTJkYjFhZjE,https://api.mybihr.com/medias/1066748-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDY3OTB8aW1hZ2UvanBlZ3xhREJpTDJnM1l5ODRPVEk0TURVMk5qTTVOVEU0THpFd05qWTNORGd0TWw4NE1EQlhlRGd3TUVnfGVmYzJhYWNmNGQ0N2NiOTkzZjhkNzhiYmI1Y2UzN2VlMjVlYTMyMGYyZmQxMTU5MWEzNDI5ODY4NGU3MTE3NmM,https://api.mybihr.com/medias/1066748-3-800Wx800H?context=bWFzdGVyfHJvb3R8MzMwMDd8aW1hZ2UvanBlZ3xhR1JpTDJnNE1pODRPVEk0TURVMk9ETTJNVEkyTHpFd05qWTNORGd0TTE4NE1EQlhlRGd3TUVnfDNjODlmNTMzM2IwMzUyNzQ0MjY2M2Q4YjM0YjQwYzY4ZWFmYmRiOWE2ZGM5ZDI4ODM4MDU4MjE4OTU0MzJiMTQ,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KIMPEX-pictures.zip,,France Warehouse (Parts)
1119326,,358484,KIMPEX,KIMPE TRUNK 2.0 OUTBACK,Baúl y asiento trasero KIMPEX Outback,411.39,339.99,237.99,77942196477,0,8714109090,0,0,"<p>El popular baúl OUTBACK ha sido cuidadosamente rediseñado para que disfrutes aún más de tus paseos. Práctico, ofrece una capacidad de almacenamiento de 89L. La ergonomía de las aberturas se ha rediseñado por completo para ofrecer un mejor agarre y, al mismo tiempo, permitirte bloquear la carga. El espacio central también se ha adaptado para alojar un bidón de gasolina Scepter de 5L.</p>
<ul>
	<li>106 x 71 x 43 cm</li>
	<li>Cierre con llave : no</li>
	<li>Luces de freno : no</li>
	<li>Reposabrazos acolchado : no</li>
</ul>
","
El popular baúl OUTBACK ha sido cuidadosamente rediseñado para que disfrutes aún más de tus paseos. Práctico, ofrece una capacidad de almacenamiento de 89L. La ergonomía de las aberturas se ha rediseñado por completo para ofrecer un mejor agarre y, al mismo tiempo, permitirte bloquear la carga. El espacio central también se ha adaptado para alojar un bidón de gasolina Scepter de 5L.

	106 x 71 x 43 cm
	Cierre con llave : no
	Luces de freno : no
	Reposabrazos acolchado : no

",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,294680,14000,1060,695,400,,,,,,2,,Negro,,,,https://api.mybihr.com/medias/1119326-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjkzNjh8aW1hZ2UvanBlZ3xhRFkyTDJnME1pOHlPVEUyTVRFeE56Z3hNRGN4T0M4eE1URTVNekkyTFRGZk9EQXdWM2c0TURCSXw5M2QwY2E5NDQ3MTU5YmZlMGYxNDE3NzU2ZDQwMTcwODE2YjZiYWI3NTA2MDQxMGQ2MWU2ZmZmN2Y4MjMxNTVl,https://api.mybihr.com/medias/1119326-2-800Wx800H?context=bWFzdGVyfHJvb3R8NTU1NDB8aW1hZ2UvanBlZ3xhR1F5TDJneE1pOHlPVEUyTVRFeE9ESXdNemt6TkM4eE1URTVNekkyTFRKZk9EQXdWM2c0TURCSXw0NjJjNmU2ZWIzMGFlZTA0MzJkYWFlYjcyOTI5N2EwNzk5MWFlZTMxYTk4ZjE4MmNhZmMwZjQyNWMyMTU1ZTAw,https://api.mybihr.com/medias/1119326-3-800Wx800H?context=bWFzdGVyfHJvb3R8NDg2Mjh8aW1hZ2UvanBlZ3xhREV3TDJneFpTOHlPVEUyTVRFeE9EVTVOekUxTUM4eE1URTVNekkyTFROZk9EQXdWM2c0TURCSXxhMTE4YzMzNzBiYTExYjUwZGY2M2I2MmRkMzBiYjA5OWM4MmI2YWE4ZTk5ZDIyYWYyODA3ZDU1YjM0NTZlZWYz,https://api.mybihr.com/medias/1119326-4-800Wx800H?context=bWFzdGVyfHJvb3R8NDY4MTF8aW1hZ2UvanBlZ3xhR0l4TDJneVlpOHlPVEUyTVRFeE9EazVNRE0yTmk4eE1URTVNekkyTFRSZk9EQXdWM2c0TURCSXw2NDk0ZmRlM2VjM2IwMmVhYTI2NTlhYmY5NDVkZGUyNzJmMDY4NjZkOTAyMGNjZjNmMGY2YTBiMTI4MDRjMzY0,https://api.mybihr.com/medias/1119326-5-800Wx800H?context=bWFzdGVyfHJvb3R8MTE1NDY3fGltYWdlL2pwZWd8YUdWaEwyZzRNQzh5T1RFMk1URXhPVE00TXpVNE1pOHhNVEU1TXpJMkxUVmZPREF3VjNnNE1EQkl8ZTdkOTkzMDUzNDExOGVmYjI1Zjc0YmViMDBiYmI2ZjZiNDk0M2QxNjMyMjZhODAwNjFhMDkzZTViMDZlYzgxNw,https://api.mybihr.com/medias/1119326-6-800Wx800H?context=bWFzdGVyfHJvb3R8MTI3NjMwfGltYWdlL2pwZWd8YURjM0wyZzRaUzh5T1RFMk1URXhPVGMzTmpjNU9DOHhNVEU1TXpJMkxUWmZPREF3VjNnNE1EQkl8NGZhOWM3YjUyMzQzYmQ0MmM2NWZkYjU5MmE1ZmNjYzA3ZmFlZTMwYTFjYTYzMGQwNjM3NDhiNjRmODBkNTNhOQ,https://api.mybihr.com/medias/1119326-7-800Wx800H?context=bWFzdGVyfHJvb3R8OTMwMTR8aW1hZ2UvanBlZ3xhRGMxTDJnMlpTOHlPVEUyTVRFeU1ERTNNREF4TkM4eE1URTVNekkyTFRkZk9EQXdWM2c0TURCSXw1OTI5OGU4YmNmOTgzM2M4M2Q3YzQ1Yzc2NWFhMzNmYmI5MGViN2Q5ZWIxYzJhM2JmYmFlNGViMWYxN2QzMTg5,https://api.mybihr.com/medias/1119326-8-800Wx800H?context=bWFzdGVyfHJvb3R8NzgxMTd8aW1hZ2UvanBlZ3xhR1U0TDJnMk1DOHlPVEUyTVRFeU1EVTJNekl6TUM4eE1URTVNekkyTFRoZk9EQXdWM2c0TURCSXwzYzVjMWFjZWEyNTdlMzNlYzI2NGZkN2FiMzlmNDM3ZjM0ZmFjNzVhOTgyMWI2MTlmYzllNDE1ZjRkZjkwYjA1,https://api.mybihr.com/medias/1119326-9-800Wx800H?context=bWFzdGVyfHJvb3R8NzA1MDh8aW1hZ2UvanBlZ3xhRFZpTDJnMU15OHlPVEUyTVRFeU1EazFOalEwTmk4eE1URTVNekkyTFRsZk9EQXdWM2c0TURCSXwyMTNjYjdiYmE2NjZiOTU2MmUwMDEwMzA1OGVjOWE1ZWIwMTIyYzE1NGM3NTI3NWZhN2IwMjRjNTQ0MTkxNTYz,https://api.mybihr.com/medias/1119326-10-800Wx800H?context=bWFzdGVyfHJvb3R8NTU2NjB8aW1hZ2UvanBlZ3xhR1JrTDJnd01TOHlPVEUyTVRFeU1UTTBPVFkyTWk4eE1URTVNekkyTFRFd1h6Z3dNRmQ0T0RBd1NBfDM3MGFhMWE3NDVlNTZkNTI2ZTljMTA0NjZkNTQyZjViZTZhOTE1OGQzY2VmOWQxNmYxM2M4NGZlOWIwNmM1YzI,https://static.bihr.pro/eBihr/Pictures/KIMPEX-pictures.zip,,Spain Warehouse (Parts)
