PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Cierre rápido,Color,Eslabones de cadena,Factor de durabilidad,Medida,Paso de cadena,Tecnología,Uso recomendado,Velocidades,Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1038758,EC428O,428-CH428-G,KMC,KMC CONNECT LINK 428 LOOSE FIT,Enganche de cadena KMC cierre rápido 428 oro,1.21,1.00,0.65,8430525038752,39,7315111000,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,42,12,51,43,19,,,,,,,,,,https://api.mybihr.com/medias/1038758-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDAwMzl8aW1hZ2UvanBlZ3xhRFU1TDJnME9TOHhOVFF4TlRFMU1qa3dNakUzTkM4eE1ETTROelU0TFRGZk9EQXdWM2c0TURCSXwwZWEwZTFlZmI5MTE5YTNmZWRhM2M0ZTAwYzQ5N2U2MzlhNDUyMDgzYzZlYzJjMTIwYjMxZDMyYWQ0NmYyM2Iw,,,https://static.bihr.pro/eBihr/Pictures/KMC-pictures.zip,Spain Warehouse (Parts)
1038750,3864,420X136-BLACK,KMC,KMC CHAIN 420,Cadena moto KMC 420x136 negro,16.94,14.00,9.10,8430525038646,110,7315111000,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,481,1010,84,249,23,,,,,,420,,,,https://api.mybihr.com/medias/1038750-1-800Wx800H?context=bWFzdGVyfHJvb3R8Nzg4NDl8aW1hZ2UvanBlZ3xhR00zTDJnellTOHhOVFF4TlRFME9UYzFOalEwTmk4eE1ETTROelV3TFRGZk9EQXdWM2c0TURCSXw0YThjZDMzZGZjOGU5OWM1ODgyMjJmNTM5MTNjYWFhMjUxNDBhMjEyYzkzODFjMWM3MmQwZDNmZTk1MDVjZTgy,,,https://static.bihr.pro/eBihr/Pictures/KMC-pictures.zip,Spain Warehouse (Parts)
1038751,3867,428-C428X130-GB,KMC,KMC CHAIN 428,Cadena moto KMC 428x130 oro/negro,19.36,16.00,10.40,8430525038677,286,7315111000,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,477,1142,84,247,23,,,,,,428,,,,https://api.mybihr.com/medias/1038751-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODEwMTF8aW1hZ2UvanBlZ3xhRE0zTDJoak9DOHhOVFF4TlRFMU1ERTBPVFkyTWk4eE1ETTROelV4TFRGZk9EQXdWM2c0TURCSXxlODEzNzNiOGQ0ZjNhYTgxNWYwY2NmNzc0MWRmYzkxYTY0Mzc2ODBlZjY0NTA0Mzg0NDIxNzRhZGYxOGQ5ZTQx,,,https://static.bihr.pro/eBihr/Pictures/KMC-pictures.zip,Spain Warehouse (Parts)
1038753,3868,520-C520X118-B,KMC,KMC CHAIN 520,Cadena moto KMC 520x118 negro,27.83,23.00,14.95,8430525038684,66,7315111000,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,732,1742,105,268,26,,,,,,520,,,,https://api.mybihr.com/medias/1038753-1-800Wx800H?context=bWFzdGVyfHJvb3R8Nzg4NDl8aW1hZ2UvanBlZ3xhRFkyTDJobE15OHhOVFF4TlRFMU1Ea3pOakE1TkM4eE1ETTROelV6TFRGZk9EQXdWM2c0TURCSXw2MjI2NWUzYzJmNjA2YzUwMjYyNWYyMmUwNDNlYjBjNDJiY2EyOWMzMWI0MDliYTJmZjZiYTkwOTMzOWRlYTA0,,,https://static.bihr.pro/eBihr/Pictures/KMC-pictures.zip,Spain Warehouse (Parts)
1101590,CB51,Z7-GYBR,KMC,KMC CHAIN Z7 SHI. IG/HG 114L INDEX 7V,Cadena KMC Z51 7 velocidades 114 eslabones,4.99,4.12,2.88,8430525037960,219,7315111000,0,1,"<ul>
	<li>Cadena de bicicleta KMC Z51</li>
	<li>Acabado: Index</li>
	<li>Compatible con sistemas Shimano HG / IG</li>
</ul>
","
	Cadena de bicicleta KMC Z51
	Acabado: Index
	Compatible con sistemas Shimano HG / IG

",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,394,328,268,105,14,,Gris & Marrón,,,,,,,7,https://api.mybihr.com/medias/1101590-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTcyODV8aW1hZ2UvanBlZ3xhR0UyTDJnMVpDODVOak15TURrNU5qTXhNVE0wTHpFeE1ERTFPVEF0TVY4NE1EQlhlRGd3TUVnfGU4YzVlN2VlMGRmNzU5ZThlNzA5ZjU1NjgyMTJlNTFjNDkzOGIzMTVhZmQ0MDFkMDI5MTc2YTk0ZjcxYzY4NDI,,,https://static.bihr.pro/eBihr/Pictures/KMC-pictures.zip,Spain Warehouse (Parts)
1093134,95400045,X11 NPBK,KMC,KMC CHAIN X11 SILVER/BLACK 126,Cadena KMC X11 OEM 11 velocidades 126 eslabones plata/negra,22.51,18.60,5.00,4715575884516,1747,7315111000,0,1,"<p><strong><em>X-Series</em></strong></p>
<p>Compatible con <strong>todos los sistemas de 11 Velocidades</strong>. Incluyendo E-bikes gracias a su longitud de 126 eslabones.</p>
<p>Color OEM, plata/negro.</p>
<p>Teniendo en cuenta las especificaciones de los sistemas Shimano, SRAM y Campagnolo, desarrollamos una serie que responde a las más altas exigencias. Diseñado con precisión, nuestro ángulo de placa biselado dinámicamente proporciona un rendimiento de cambio perfecto y una transmisión suave.</p>
<p>&nbsp;</p>
<p>&gt; Cambio perfecto gracias a su biselado de placa exterior X-Bridge</p>
<p>&gt; No Direccional</p>
<p>&gt; Incluye enganche de cadena</p>
<p>&gt; Durabilidad:&nbsp;★★★☆☆</p>","
X-Series

Compatible con todos los sistemas de 11 Velocidades. Incluyendo E-bikes gracias a su longitud de 126 eslabones.

Color OEM, plata/negro.

Teniendo en cuenta las especificaciones de los sistemas Shimano, SRAM y Campagnolo, desarrollamos una serie que responde a las más altas exigencias. Diseñado con precisión, nuestro ángulo de placa biselado dinámicamente proporciona un rendimiento de cambio perfecto y una transmisión suave.

 

> Cambio perfecto gracias a su biselado de placa exterior X-Bridge

> No Direccional

> Incluye enganche de cadena

> Durabilidad: ★★★☆☆",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,118,250,86,86,16,,Negro & Plata,,,,,X-Bridge,Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring & Triathlon,11,https://api.mybihr.com/medias/1093134-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTg5Mjd8aW1hZ2UvanBlZ3xhRFExTDJnNFpTOHhNVE14T0RZNU9Ea3pORE13TWk4eE1Ea3pNVE0wTFRGZk9EQXdWM2c0TURCSXxkZDBiMDA1N2Y5ZTNkMjA4NTlhNGQ1Y2Y5NjVhNzJhODJmMmNhZTgzMGYwMzFkY2I4MDI2ZmFlNWFkNDQwYjJi,,,https://static.bihr.pro/eBihr/Pictures/KMC-pictures.zip,Spain Warehouse (Parts)
1104374,6027,X9,KMC,KMC CHAIN X9 114 LINKS 9 SPD GREY,Cadena KMC X9 9 velocidades 116 eslabones plata/gris,25.00,20.66,14.46,4715575890579,72,7315111000,0,1,"KMC bicycle chain X9. Polybag.
Speeds: 9
Links: 114
Color: Grey","KMC bicycle chain X9. Polybag.
Speeds: 9
Links: 114
Color: Grey",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,198,282,102,102,19,,Gris & Plata,,,,,Double X-Bridge,Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring,9,https://api.mybihr.com/medias/1104374-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTYyOTM1fGltYWdlL3BuZ3xhRFl6TDJoa1l5OHhNRGt4TVRjeU1UY3hOemM1TUM4eE1UQTBNemMwTFRGZk9EQXdWM2c0TURCSXw3ZTQ0ZmNhOWVhODAxMzQzYmNlY2Y1MzZlNjI4Zjk3OTg3MTk5Y2IxZjM5YTIwNjA4Y2M2OTIwZThhMzQzOGY3,https://api.mybihr.com/medias/1104374-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDIxMTUzfGltYWdlL3BuZ3xhREUyTDJnNE55OHhNRGt4TVRjeU1qRXhNVEF3Tmk4eE1UQTBNemMwTFRKZk9EQXdWM2c0TURCSXw4OGU1MzNlMDBkM2M0MmQyNDVlMGMxY2I3ZGQ5NjU5MDIzY2YyNjg3NzVhMTk3ZDgzZTI4MDQ4ZjgyZDRiYmIw,,https://static.bihr.pro/eBihr/Pictures/KMC-pictures.zip,Spain Warehouse (Parts)
1093135,95400044,X12 NPBK,KMC,KMC CHAIN X12 SILVER/BLACK 126,Cadena KMC X12 OEM 12 velocidades 126 eslabones plata/negra,30.00,24.79,9.99,BX12NB126,556,7315111000,0,1,"<p><strong><em>X-Series</em></strong></p>
<p>Compatible con&nbsp;<strong>todos los sistemas de 12 Velocidades</strong>. Incluyendo E-bikes gracias a su longitud de 126 eslabones.</p>
<p>Color OEM, plata/negro.</p>
<p>Teniendo en cuenta las especificaciones de los sistemas Shimano, SRAM y Campagnolo, desarrollamos una serie que responde a las más altas exigencias. Diseñado con precisión, nuestro ángulo de placa biselado dinámicamente proporciona un rendimiento de cambio perfecto y una transmisión suave.</p>
<p>&gt; Cambio perfecto gracias a su biselado de placa exterior X-Bridge</p>
<p>&gt; No Direccional</p>
<p>&gt; Incluye enganche de cadena</p>
<p>&gt; Durabilidad:&nbsp;★★★☆☆</p>","
X-Series

Compatible con todos los sistemas de 12 Velocidades. Incluyendo E-bikes gracias a su longitud de 126 eslabones.

Color OEM, plata/negro.

Teniendo en cuenta las especificaciones de los sistemas Shimano, SRAM y Campagnolo, desarrollamos una serie que responde a las más altas exigencias. Diseñado con precisión, nuestro ángulo de placa biselado dinámicamente proporciona un rendimiento de cambio perfecto y una transmisión suave.

> Cambio perfecto gracias a su biselado de placa exterior X-Bridge

> No Direccional

> Incluye enganche de cadena

> Durabilidad: ★★★☆☆",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,118,250,86,86,16,,Negro & Plata,,,,,X-Bridge,Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring & Triathlon,12,https://api.mybihr.com/medias/1093135-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTg5Mjd8aW1hZ2UvanBlZ3xhR0kwTDJobU1DOHhNVE14T0RZNU56STVOVGt3TWk4eE1Ea3pNVE0xTFRGZk9EQXdWM2c0TURCSXw5Mjc3MTY2NGVjZmQ0MGY3YzM3N2M3ZjVmNWUwN2QzYjJjZTUxMjEwODY4N2IyYjhmN2UxNWQwNWJkNTEyZjI0,https://api.mybihr.com/medias/1093135-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzI0NTB8aW1hZ2UvanBlZ3xhRFF5TDJobVpTOHhNVE14T0RZNU56WTRPVEV4T0M4eE1Ea3pNVE0xTFRKZk9EQXdWM2c0TURCSXw5ZjAwZmQ3OGVlMTgwMWI2ZjhhYjQ3ZmY4ODY0N2NjODgzZmUzMWQzMTMxYjE4OGMyMTEwZjdjYjQ5ZGM1NzYy,,https://static.bihr.pro/eBihr/Pictures/KMC-pictures.zip,Spain Warehouse (Parts)
1104765,15452,BX10GG114,KMC,KMC CHAIN X10 114L INDEX 10SPD GREY,Cadena KMC X10 10 velocidades 114 eslabones gris,33.00,27.27,19.09,4715575897547,11,7315111000,0,1,<font size=1><font size=1><p align=left><font size=3>Cadena KMC X10-73</font></p><p align=left><font size=3>114 Pasos index 10V</font></p><p><font size=3>Color gris</font></p></font></font>,Cadena KMC X10-73114 Pasos index 10VColor gris,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,133,282,87,85,18,,Gris,,,,,Double X-Bridge,Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring,10,https://api.mybihr.com/medias/1104765-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTYyOTM1fGltYWdlL3BuZ3xhRE14TDJnM01pOHhNRGt4TVRnNU1EWTJPVFU1T0M4eE1UQTBOelkxTFRGZk9EQXdWM2c0TURCSXw5MjU0NmM3MWViZDhlMGYzMGI3NTY4NDJiOTFkZWRkMzEwYTAxMDc1NzhhZTRjMWE5ZjI2NjNhNGY0YzdkZjZm,https://api.mybihr.com/medias/1104765-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTIzMzU4MnxpbWFnZS9wbmd8YUdVMUwyZ3hZeTh4TURreE1UZzVNVEEyTWpneE5DOHhNVEEwTnpZMUxUSmZPREF3VjNnNE1EQkl8MWJlNjAyOWYzZDNjMjU4Mzc4NTE0ODNiZGM4MzYxNDdiZTIyYjYyMTZiOGU3OTU3YmQzYzBjN2VlMGJmYzI2Mw,,https://static.bihr.pro/eBihr/Pictures/KMC-pictures.zip,Spain Warehouse (Parts)
1104392,8511,Z510,KMC,KMC CHAIN Z-510 110 LINKS 1 SPD CHROME,Cadena KMC Z-510 1 velocidad 110 eslabones plata,6.99,5.78,4.05,8430525085114,43,7315111000,0,1,"KMC bicycle chain Z-510
Speeds: 1
Links: 110
Color: Silver","KMC bicycle chain Z-510
Speeds: 1
Links: 110
Color: Silver",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,386,396,268,103,14,,Plata,,,,,,BMX & Ciudad & Infantil,1,https://api.mybihr.com/medias/1104392-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTUwNDMzfGltYWdlL3BuZ3xhRGc1TDJnM09TOHhNRGt4TVRjeU1qVXdOREl5TWk4eE1UQTBNemt5TFRGZk9EQXdWM2c0TURCSXxlZWVmMWJlNWIwMGUxNDY2YmNkMzUwZTU4YjY3MmM5Y2E5ZmMzZDg3OGEwNjQ1OTkyNWVkMThmZTYwMmViZGYy,,,https://static.bihr.pro/eBihr/Pictures/KMC-pictures.zip,Spain Warehouse (Parts)
