PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Composición,Embalaje,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,DeliveryPlant
1055283,442610,051070200.NG10,MFW,MFW ADAPTOR 051070200.NG10,Adaptadores de reposapié MFW Delanteros Triumph,47.50,39.26,25.52,051070200.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,533,65,166,119,27,,,por pareja,https://api.mybihr.com/medias/1055283-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzZ8aW1hZ2UvanBlZ3xhREptTDJnME1DODRPVGN4T1RnMk1qY3lNamcyTHpFd05UVXlPRE10TVY4NE1EQlhlRGd3TUVnfGZmOTM2OWUxYWQyMGRiZDk1MWZkOTM4MTUyZWMwOTE0NjcyYTBlNTExYjg4M2U3NDFhNDVmNjAxNzNlMzUyYjk,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055235,442808,051020500.NG10,MFW,MFW ADAPTOR 051020500.NG10,Adaptadores de reposapié MFW Delanteros BMW R1200GS,47.50,39.26,25.52,051020500.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,589,89,165,119,30,,,por pareja,https://api.mybihr.com/medias/1055235-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzZ8aW1hZ2UvanBlZ3xhREUwTDJnek1TODRPVGN4T1RjNU16a3hNREEyTHpFd05UVXlNelV0TVY4NE1EQlhlRGd3TUVnfDQ3OWU5OGVkNTUzZGM2OGEwMzY2NWIwNGU0ZWQ1YTg3NjM2ZjA4Y2FiNjE5ZjMyMTY5ZTZjMWFiNTc2ZmM1ZDM,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055274,442322,051060330.NG10,MFW,MFW ADAPTOR 051060330.NG10,Adaptadores de reposapié MFW Delanteros Suzuki,47.50,39.26,25.52,051060330.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,482,71,162,119,25,,,por pareja,https://api.mybihr.com/medias/1055274-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzZ8aW1hZ2UvanBlZ3xhR0ZtTDJobU5TODRPVGN4T1RnME5UQXlPREUwTHpFd05UVXlOelF0TVY4NE1EQlhlRGd3TUVnfDllYzcwYjM4M2I5ODEwMDhhZjhlYTdhYjQ2MTliOGE0ZDEyMjlmNWM4ZGIzOWJhMTllMjEyN2E4YzgxNGIxNTA,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055225,442613,051010110.NG10,MFW,MFW ADAPTOR 051010110.NG10,Adaptadores de reposapié MFW Traseros APRILIA,47.50,39.26,25.52,051010110.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,491,79,165,119,25,,,por pareja,https://api.mybihr.com/medias/1055225-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzZ8aW1hZ2UvanBlZ3xhREJqTDJnNU9TODRPVGN4T1RjM05qSXhOVE0wTHpFd05UVXlNalV0TVY4NE1EQlhlRGd3TUVnfDM3ZDg2Yjg0YTVmYTAwYjNlMzQyOTRiZGVlNjMwNjViYzIwNzU4NzYzODRiNmU0NzkyY2NkOWE5ODFjYWQ5ZTY,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055219,442631,51070710,MFW,MFW ADAPTOR 51070710,Adaptadores de reposapié Traseros Triumph,47.50,39.26,25.52,51070710,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,485,99,167,121,24,,,por pareja,https://api.mybihr.com/medias/1055219-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzR8aW1hZ2UvanBlZ3xhRGhqTDJobU5pODRPVGN4T1RjMk5EUXhPRGcyTHpFd05UVXlNVGt0TVY4NE1EQlhlRGd3TUVnfGNiNTc4MWI5NTk2MTI2ZmI0NzczNmJjOGZhMzk3MGQwNWEyNDcxM2JmOGY3Yzg2ODhhMmVhMGEzODNlNTYxNGM,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055227,442806,051020100.NG10,MFW,MFW ADAPTOR 051020100.NG10,Adaptadores de reposapié MFW Delanteros BMW,47.50,39.26,25.52,051020100.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,500,94,164,122,25,,,por pareja,https://api.mybihr.com/medias/1055227-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzZ8aW1hZ2UvanBlZ3xhR1F6TDJnME15ODRPVGN4T1RjNE1ERTBOelV3THpFd05UVXlNamN0TVY4NE1EQlhlRGd3TUVnfGJmMmFjNDQ3ODk3Mzk1ZTZmZTU2MmExNzMwYWU5OTZiMDM4YzU2ZTkwZmJkYzQzYzRiZTM3ODJjMTc3Y2VjOTk,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055265,442278,051050110.NG10,MFW,MFW ADAPTOR 051050110.NG10,Adaptadores de reposapié MFW Traseros Kawasaki,47.50,39.26,25.52,051050110.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,585,92,164,119,30,,,por pareja,https://api.mybihr.com/medias/1055265-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzZ8aW1hZ2UvanBlZ3xhR1ppTDJneVppODRPVGN4T1RneU9USTVPVFV3THpFd05UVXlOalV0TVY4NE1EQlhlRGd3TUVnfGZjNjgxM2RlMTA3YmQ4N2VhMWFlOGE4ODM1ZWRjODY2ZTQ5YWRmNzJkZWU3ZGFiZDgyZDc2NDUzOGU0ZDYxOTc,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055269,442277,051050310.NG10,MFW,MFW ADAPTOR 051050310.NG10,Adaptadores de reposapié MFW Traseros Kawasaki,47.50,39.26,25.52,051050310.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,488,88,164,119,25,,,por pareja,https://api.mybihr.com/medias/1055269-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzZ8aW1hZ2UvanBlZ3xhR1ExTDJnNU1pODRPVGN4T1Rnek56RTJNemd5THpFd05UVXlOamt0TVY4NE1EQlhlRGd3TUVnfGQ1NDJmZDU1OWFlOTNiN2IxNGQyMDQ4NTRkZTMzZGMzNTk5ZjQxNzZhOTc2MjA5YTM1OWFkYTYwYWI3NjdlOTY,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055273,442328,051060230.NG10,MFW,MFW ADAPTOR 051060230.NG10,Adaptadores de reposapié MFW Traseros Suzuki,47.50,39.26,25.52,051060230.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,491,63,165,119,25,,,por pareja,https://api.mybihr.com/medias/1055273-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzZ8aW1hZ2UvanBlZ3xhR1JtTDJobFpTODRPVGN4T1RnME16QTJNakEyTHpFd05UVXlOek10TVY4NE1EQlhlRGd3TUVnfDVkYjMyNDFkYjdiMzQ4MTViYWI4N2JlZjMyMGM4NmQyNTI5M2RiNDAwYWU2MGQ2ZmQyZGQ1OTBiYTMxMjMxNzU,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055275,442326,051060410.NG10,MFW,MFW ADAPTOR 051060410.NG10,Adaptadores de reposapié MFW Traseros Suzuki,47.50,39.26,25.52,051060410.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,527,64,164,119,27,,,por pareja,https://api.mybihr.com/medias/1055275-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzZ8aW1hZ2UvanBlZ3xhREZqTDJobVlTODRPVGN4T1RnME5qazVOREl5THpFd05UVXlOelV0TVY4NE1EQlhlRGd3TUVnfDQ4Y2ZmZmExNjllNDE2YjYzYjc0NDRkNTRlYWZlM2E1MmQzYzgwYTI4NjI1Y2I1OWRjOTg1ZTIxNWRiZDZkMTY,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
