PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,Document1,Document2,DeliveryPlant
1010467,MKJ45,TM36/43-03,MIKUNI,MIKUN JET MKJ 45,Inyector Mikuni TM36/43-03,12.10,10.00,2.48,TM36/43-03,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,1,31,10,5,https://api.mybihr.com/medias/1010467-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE2NDN8aW1hZ2UvanBlZ3xhREZsTDJoaU5TODRPVFk0T0RneE1UYzJOakEyTHpFd01UQTBOamN0TVY4NE1EQlhlRGd3TUVnfDljMjgwMjg0Mzg2MzJiMWNmNGE1YjVkOWJkNDRiZWE2NzE5Y2QxOTA0OTAwMTIyNmU3N2QwYmE1NGM2NThhMWU,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1009939,MKA660,4/042-660,MIKUNI,MIKUN JET MKA 660MM,Chiclé de alta Mikuni 4/042-660,8.47,7.00,1.26,4/042-660,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,100,14,17,11,https://api.mybihr.com/medias/1009939-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY1ODd8aW1hZ2UvanBlZ3xhRE5oTDJnd1pTODRPVFExTnpJNU1qQTRNelV3THpFd01EazVNemt0TVY4NE1EQlhlRGd3TUVnfDMzM2EyYTUwZDdmOWYzYjdjMTg3MmQ2MTMyOGIxNTRlYTRhYTI2NjFiYmNlOTczYmVhMGVjOTUwNDE2YjQ3YjY,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1010490,MKE90,VM11/22-090,MIKUNI,MIKUN JET MKE 90MM,Chiclé de alta Mikuni VM11/22-090,8.47,7.00,1.56,VM11/22-090,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,5,20,10,10,https://api.mybihr.com/medias/1010490-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY5MDF8aW1hZ2UvanBlZ3xhRFV5TDJneU5DODRPRFUyT0RJNU5ESTNOelF5THpFd01UQTBPVEF0TVY4NE1EQlhlRGd3TUVnfDY1NGVkNTI2NjdiYWViNjQ0ZDZlNjU5NGYzODQyMjEwYzAyMTM0OGE4NzRiMjc1YTU2ZTVlZWJmOTYzOTg0OWE,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1009942,MKA700,4/042-700,MIKUNI,MIKUN JET MKA 700MM,Chiclé de alta Mikuni 4/042-700,8.47,7.00,1.26,4/042-700,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,5,27,15,4,https://api.mybihr.com/medias/1009942-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY1ODd8aW1hZ2UvanBlZ3xhREU1TDJnellTODRPVE00T1RnNU9ERXpOemt3THpFd01EazVOREl0TVY4NE1EQlhlRGd3TUVnfDk0NmMxOGIwNzVkNGY5YzRkN2VkNTUzYWIxMzJiMmE1ZjNmYjhjNDJkZTkyZDNkM2ZmYTJmM2QyNDA5MDU4Yjk,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1010526,MKZ60,VM17/1002-060,MIKUNI,MIKUN JET MKZ 60MM,Chiclé de baja Mikuni VM17/1002-060,8.47,7.00,1.50,VM17/1002-060,3,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,0,5,5,3,3,https://api.mybihr.com/medias/1010526-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjg1Mzl8aW1hZ2UvanBlZ3xhR0pqTDJnM1l5ODRPVFExTmpjNE5qZ3dNRGswTHpFd01UQTFNall0TVY4NE1EQlhlRGd3TUVnfDE3ZGY5Mzg4NDMwZmE0YzZkYTcxZGQyODhkNWRiNWFiMDFhMmRlYzZjYTk4ZGFlN2VkZTAzNTY3MTE1MDM1Yjk,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1010349,MKD87.5,N102221-0875,MIKUNI,"MIKUN JET MKD 87,5MM","Chiclé de alta Mikuni N102221-087,5",4.84,4.00,2.20,N102221-0875,3,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1010349-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ4ODd8aW1hZ2UvanBlZ3xhRE5oTDJnelpTODRPVEkzTURJMU9EZzVNekV3THpFd01UQXpORGt0TVY4NE1EQlhlRGd3TUVnfGUxMjY1YTE2MTIwZjcwYjM4YmEwMjI1NmIwZTI5Y2U3ZWU3ZWM0ZDU4NzY2YWRhNmIwZTU2ZDA1MDY1YWY4MDQ,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1010899,826017,VM32/65-2.0,MIKUNI,"MIKUN SPAREPARTS VALVE 2,0 VM 33/34",Campana de carburador Mikuni 2.0 VM33-34 Tornillo de ralentí a derechas,36.30,30.00,13.70,VM32/65-2.0,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,80,180,40,40,50,https://api.mybihr.com/medias/1010899-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA0MTB8aW1hZ2UvanBlZ3xhR1JqTDJnMk1DODRPRFUyT1RFM01URTBPVEV3THpFd01UQTRPVGt0TVY4NE1EQlhlRGd3TUVnfDBlYzkyMGZjYTY2NjcyZjI2NDQ5YjcyNmM1NmRlMmZlNTIyM2YwYTVjNTVhZjEzYzAyMDAyZTViOTM5N2JiMDM,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1009978,MKN1.55,BS30/97-1.55,MIKUNI,"MIKUN JET MKN 1,55MM",Chiclé de aire Mikuni BS30/97-1.55,8.47,7.00,4.55,BS30/97-1.55,8,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009978-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjk2MDl8aW1hZ2UvanBlZ3xhR1k1TDJnMU9DODRPRGN6TnpJeE9UZzNNVEF5THpFd01EazVOemd0TVY4NE1EQlhlRGd3TUVnfDY3NmJmMDgxNmNjMDVlMmY0ZTlmMWVjOWZjMTc0M2YwNTU0ODBiZjA2Y2QwMGUyMzQ1ZmMyNTdiMjE3MjViMDc,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1010435,MKO45,N211100-045,MIKUNI,MIKUN JET MKO 45MM,Chiclé Mikuni N211100-045,9.68,8.00,2.47,N211100-045,4,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,5,20,20,20,https://api.mybihr.com/medias/1010435-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzE2NTN8aW1hZ2UvanBlZ3xhRGcyTDJneU15ODRPVE00T0RZM05qSXhPVEU0THpFd01UQTBNelV0TVY4NE1EQlhlRGd3TUVnfGNhYWQ5NTEyNDFlMGNlMzhlNzMwY2JiOTMxM2Y3ZGY0N2RiOWIxNTM3ZGUwZTM1ZGRkYzNhNmMyZDUxYmQ3NjY,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1010445,MKO130,N211100-130,MIKUNI,MIKUN JET MKO 130MM,Chiclé Mikuni N211100-130,9.68,8.00,0.58,N211100-130,4,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,5,20,20,20,https://api.mybihr.com/medias/1010445-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzE2NTN8aW1hZ2UvanBlZ3xhR1V4TDJnd015ODRPVFExTnpnM05ETTNNRGcyTHpFd01UQTBORFV0TVY4NE1EQlhlRGd3TUVnfGYyNmFkYjNlNWIwZWUxOTA5MDUyZWYwMDFlNjRjNjZhOWYzM2IxNjYzNzczODUwYWRiMWZmNzk5N2FjODI1MTU,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
