PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura del neumático (perfil),Anchura,Anchura del neumático,Aro,Carcasa,Categoría de neumático,Color,Compuesto de neumático,Diámetro de la llanta,Estructura de neumático,Familia de neumáticos,Homologación,Índice de carga del neumático (IC),Índice de velocidad (CV),Longitud de Válvula,Marcajes,Modelo,Montaje,Posición,Sin cámara o tipo de cámara,Tecnología,Tierra,Tipo de válvula,Uso,Uso recomendado,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,Document1,Document2,DeliveryPlant
9000424,48495,566456,MITAS,MITAS TIRE SPORT FORCE+ 110/70ZR17,Neumático MITAS SPORT FORCE+ 110/70 ZR 17 (54W) TL,121.00,100.00,70.00,3838947839752,1,4011400000,0,1,"<strong>Neumáticos de tipo radial</strong><br>Los neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.","Neumáticos de tipo radialLos neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,39600,4040,600,600,110,70,,110,,,Hypersport,,,17,Radial,Neumáticos de motocicleta y scooter,,54,(W) > 270 km/h,,,SPORT FORCE PLUS,,Delantero,TL - Tubeless,,,,,,https://api.mybihr.com/medias/9000424-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMyMTQ4fGltYWdlL2pwZWd8YURoa0wyZ3dPQzg0T1RRMU5URTNOVGt5TmpBMkx6a3dNREEwTWpRdE1WODRNREJYZURnd01FZ3wwMTJkYjFlNDgzMDkzNTQzMzc0NTY0OTM5ODU5ZmRhZmQ4YWU1YmQ4OTNjOGQyNDA0NTIwZmEyNjZhOGVkMzZm,,,,,https://static.bihr.pro/eBihr/Pictures/MITAS-pictures.zip,https://api.mybihr.com/medias/SPORT-FORCE-TERRA-FORCE-R-ENG.pdf?context=bWFzdGVyfGRvY3VtZW50c3wxODgzODE5fGFwcGxpY2F0aW9uL3BkZnxhRFJrTDJobFlpODVOalEwTlRZd01UZzNOREl5TDFOUVQxSlVJRVpQVWtORkt5QW1JRlJGVWxKQklFWlBVa05GTFZKZlJVNUh8ODU0MTg1MjU3NWEyMjM3ZDYzNGE2MGEyY2YwMGM2MzAzZTA2MTJkM2FmNzgxOGUzOWE0N2Y0YWQ4MzMwOTg5YQ,https://api.mybihr.com/medias/SPORT-FORCE-TERRA-FORCE-R-FRA.pdf?context=bWFzdGVyfGRvY3VtZW50c3wxODk0MTc2fGFwcGxpY2F0aW9uL3BkZnxhR00yTDJobU1TODVOalEwTlRZd016VXhNall5TDFOUVQxSlVJRVpQVWtORkt5QW1JRlJGVWxKQklFWlBVa05GTFZKZlJsSkJ8ZDA1OTZkYjkwMGVjODQ5YjNmMjQ1NTk0YzA3YjY0ZTA3ZTI2NDU0Mzg3MWE2YjFmNmZhNzE1ZWMyNjI4NTU2NA,Spain Warehouse (Tires)
9000428,48500,575474,MITAS,MITAS TIRE SPORT FORCE+ 150/60ZR17,Neumático MITAS SPORT FORCE+ 150/60 ZR 17 (66W) TL,152.46,126.00,88.20,3831126100827,2,4011400000,0,1,"<strong>Neumáticos de tipo radial<br></strong>Los neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.","Neumáticos de tipo radialLos neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,57660,5540,620,620,150,60,,150,,,Hypersport,,,17,Radial,Neumáticos de motocicleta y scooter,,66,(W) > 270 km/h,,,SPORT FORCE PLUS,,Trasero,TL - Tubeless,,,,,,https://api.mybihr.com/medias/9000428-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMyMTQ4fGltYWdlL2pwZWd8YURZeUwyZ3lNeTg0T1RNME5EUTJPREkxTlRBeUx6a3dNREEwTWpndE1WODRNREJYZURnd01FZ3xlMzk2Zjk5NTYyNGQwM2M3MGI0ZjNkNWE4NmFhNjQyOWRjNTUzMDI1OTExODEyOTI1OTMwMjUzZTNiY2FjMWQ2,,,,,https://static.bihr.pro/eBihr/Pictures/MITAS-pictures.zip,,,Spain Warehouse (Tires)
9000430,48503,575493,MITAS,MITAS TIRE SPORT FORCE+ 180/55ZR17,Neumático MITAS SPORT FORCE+ 180/55 ZR 17 (73W) TL,177.87,147.00,102.90,3838947844565,76,4011400000,0,1,"<strong>Neumáticos de tipo radial<br></strong>Los neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.","Neumáticos de tipo radialLos neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,76050,6820,650,650,180,55,,180,,,Hypersport,,,17,Radial,Neumáticos de motocicleta y scooter,,73,(W) > 270 km/h,,,SPORT FORCE PLUS,,Trasero,TL - Tubeless,,,,,,https://api.mybihr.com/medias/9000430-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMyMTQ4fGltYWdlL2pwZWd8YURsaEwyaGpaaTg0T0RZNE5EQXdOemt4TlRneUx6a3dNREEwTXpBdE1WODRNREJYZURnd01FZ3w4Mjk2ZGQyNjE2YjYwYzA0ODJmZTIyZDZiMmQ2YTY2M2U5YjU5MDYyODdjM2ViNWNkZjI3MmY3MTc3NzFkODgz,,,,,https://static.bihr.pro/eBihr/Pictures/MITAS-pictures.zip,,,Spain Warehouse (Tires)
9000426,82984,567762,MITAS,MITAS TIRE SPORT FORCE+ 190/55ZR17,Neumático MITAS SPORT FORCE+ 190/55 ZR 17 (75W) TL,175.45,145.00,101.50,3838947840062,0,4011400000,0,1,"<strong>Neumáticos de tipo radial<br></strong>Los neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.","Neumáticos de tipo radialLos neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,78067,7000,641,641,190,55,,190,,,Hypersport,,,17,,Neumáticos de motocicleta y scooter,,75,(W) > 270 km/h,,,SPORT FORCE PLUS,,Trasero,TL - Tubeless,,,,,,https://api.mybihr.com/medias/9000426-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMyMTQ4fGltYWdlL2pwZWd8YURNeUwyZ3lZUzg0T1RNME5EUTJOakk0T0RrMEx6a3dNREEwTWpZdE1WODRNREJYZURnd01FZ3wwMmUzNWI4MzYwNGY2NTI2YzZiM2U0YWY0OGNkOTE5NWIwYjcwMDhlZmI1YzhiMGZlZDliYThkMGY4MTMwMDdi,,,,,https://static.bihr.pro/eBihr/Pictures/MITAS-pictures.zip,,,Spain Warehouse (Tires)
9000431,48504,575494,MITAS,MITAS TIRE SPORT FORCE+ 190/50ZR17,Neumático MITAS SPORT FORCE+ 190/50 ZR 17 (73W) TL,173.03,143.00,100.10,3838947844572,0,4011400000,0,1,"<strong>Neumáticos de tipo radial<br></strong>Los neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.","Neumáticos de tipo radialLos neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,87856,6680,680,680,190,50,,190,,,Hypersport,,,17,Radial,Neumáticos de motocicleta y scooter,,73,(W) > 270 km/h,,,SPORT FORCE PLUS,,Trasero,TL - Tubeless,,,,,,https://api.mybihr.com/medias/9000431-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMyMTQ4fGltYWdlL2pwZWd8YURFNUwyZ3lZaTg0T1RNME5EUTNNREl5TVRFd0x6a3dNREEwTXpFdE1WODRNREJYZURnd01FZ3w5NTg2M2M3ZjBkZTEwNmEzNDJiZDI4ZWQxNDMwOWU4NjM4ODIxNGU2MGRkNjIwNGY3MWEzNjBiNDY3ZjQ4Mjk3,,,,,https://static.bihr.pro/eBihr/Pictures/MITAS-pictures.zip,,,Spain Warehouse (Tires)
9000425,48496,566457,MITAS,MITAS TIRE SPORT FORCE+ 120/60ZR17,Neumático MITAS SPORT FORCE+ 120/60 ZR 17 (55W) TL,133.10,110.00,77.00,3838947839769,0,4011400000,0,1,"<strong>Neumáticos de tipo radial<br></strong>Los neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.","Neumáticos de tipo radialLos neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,40368,4120,580,580,120,60,,120,,,Hypersport,,,17,Radial,Neumáticos de motocicleta y scooter,,55,(W) > 270 km/h,,,SPORT FORCE PLUS,,Delantero,TL - Tubeless,,,,,,https://api.mybihr.com/medias/9000425-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMyMTQ4fGltYWdlL2pwZWd8YURVMEwyaGpOQzg0T1RVeU16a3dOamd3TmpBMkx6a3dNREEwTWpVdE1WODRNREJYZURnd01FZ3wxMjlkMTRhMzZlMDY5ODAzYTNkNzFjYzUyNTI2ZWMwZjVhZWQwYWYyYjllN2ZhNjYxNTY3ZTFiMzJmNWJjNDJl,,,,,https://static.bihr.pro/eBihr/Pictures/MITAS-pictures.zip,,,Spain Warehouse (Tires)
9000429,48502,575483,MITAS,MITAS TIRE SPORT FORCE+ 160/60ZR17,Neumático MITAS SPORT FORCE+ 160/60 ZR 17 (69W) TL,163.35,135.00,94.50,3838947844558,0,4011400000,0,1,"<strong>Neumáticos de tipo radial<br></strong>Los neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.","Neumáticos de tipo radialLos neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,65536,6100,640,640,160,60,,160,,,Hypersport,,,17,Radial,Neumáticos de motocicleta y scooter,,69,(W) > 270 km/h,,,SPORT FORCE PLUS,,Trasero,TL - Tubeless,,,,,,https://api.mybihr.com/medias/9000429-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMyMTQ4fGltYWdlL2pwZWd8YURSbEwyZzVPQzg0T0Rnd05qY3pNVGswTURFMEx6a3dNREEwTWprdE1WODRNREJYZURnd01FZ3xkZmVkMGIzZGNjNGYyNzBlMTUwMDNiNmI2NDY2MDJkZmFiNTJjNDExMDZmMDcxNWE4NTg3NWFmZWZmYjNkYjY0,,,,,https://static.bihr.pro/eBihr/Pictures/MITAS-pictures.zip,,,Spain Warehouse (Tires)
9000427,48498,575472,MITAS,MITAS TIRE SPORT FORCE+ 120/70ZR17,Neumático MITAS SPORT FORCE+ 120/70 ZR 17 (58W) TL,141.57,117.00,81.90,3838947844527,113,4011400000,0,1,"<strong>Neumáticos de tipo radial<br></strong>Los neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.","Neumáticos de tipo radialLos neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,43200,4420,600,600,120,70,,120,,,Hypersport,,,17,Radial,Neumáticos de motocicleta y scooter,,58,(W) > 270 km/h,,,SPORT FORCE PLUS,,Delantero,TL - Tubeless,,,,,,https://api.mybihr.com/medias/9000427-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMyMTQ4fGltYWdlL2pwZWd8YUdVNUwyaGpOaTg0T1RNNE1UQTJPRGd3TURNd0x6a3dNREEwTWpjdE1WODRNREJYZURnd01FZ3xiZTU2MTNjYmQyNDQwM2I2OTQ1YTczZjYyOWExMTUxNDY4ZjQwOGU0OTQ0ODFjNGQyODViMThkYjQwYzJjMDg4,,,,,https://static.bihr.pro/eBihr/Pictures/MITAS-pictures.zip,,,Spain Warehouse (Tires)
9005591,9005591,598128,MITAS,MITAS TIRE SPORT FORCE+ 140/70ZR17,Neumático MITAS SPORT FORCE+ 140/70 ZR 17 66W TL,145.20,120.00,84.00,3831126100803,5,4011400000,0,1,"<p><strong>Neumáticos de tipo radial</strong></p><p><strong><br></strong>Los neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.</p>","
Neumáticos de tipo radial
Los neumáticos Mitas para motocicletas tipo radial son una excelente opción para pilotos de motocicletas deportivas, naked y Supermoto, así como también para pilotos de motocicletas de turismo deportivo que disfrutan de paseos dinámicos. Los neumáticos MITAS SPORT FORCE+ incorporan materiales de vanguardia y tecnología avanzada tipo radial para neumáticos de motocicletas.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,53816,5400,620,620,140,70,,140,,,Hypersport,,,17,Radial,Neumáticos de motocicleta y scooter,,66,W < 270 km/h,,,SPORT FORCE PLUS,,Trasero,TL - Tubeless,,,,,,https://api.mybihr.com/medias/9005591-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDAwODl8aW1hZ2UvanBlZ3xhR05oTDJnNFppOHhOVFEyTVRBd01qQTFNVFl4TkM4NU1EQTFOVGt4TFRGZk9EQXdWM2c0TURCSXw0Nzg1ZGE2NzBmNGY1MzMyNThlODBhYjBjMjQzM2Q4YjkxYTc2YTUwZGQzNGFhZTg1MTVhMjUxMjk1MTk3ZDg3,,,,,https://static.bihr.pro/eBihr/Pictures/MITAS-pictures.zip,,,Spain Warehouse (Tires)
9005593,9005593,603829,MITAS,MITAS TIRE SPORT FORCE+ EV 190/50ZR17,Neumático MITAS SPORT FORCE+ EV 190/50 ZR 17 (73W) TL,211.75,175.00,122.50,3831126100865,16,4011400000,0,1,"<p>Esta versi&oacute;n avanzada del Mitas SPORT FORCE+ te llevar&aacute; a un nuevo nivel de rendimiento en neum&aacute;ticos. Dise&ntilde;ado para una direcci&oacute;n m&aacute;s r&aacute;pida y precisa, te garantiza el m&aacute;ximo control en curvas muy pronunciadas. El Mitas <strong>SPORT FORCE+ EV</strong> cuenta con la tecnolog&iacute;a MCTT (Multi Compound Tread Technology), adem&aacute;s de poseer materiales completamente nuevos, que permiten un agarre extraordinario en las curvas. La versi&oacute;n EV presenta un rendimiento espectacular a la hora de acelerar a la salida de las curvas y al frenar.<br> <br> Para el uso en pista se recomienda el uso de calentadores de neum&aacute;ticos. Configuraci&oacute;n: 50&thinsp;min a 80&thinsp;&deg;C. <br> <br> - Versi&oacute;n avanzada del popular Mitas SPORT FORCE+.<br> - Nuevo compuesto de la banda de rodadura dise&ntilde;ado para pilotos de motos tipo hypersport.<br> - Neum&aacute;tico homologado para la ciudad y los d&iacute;as de pista.</p><p><iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/-ixfBCL3vRY"" width=""100%"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p>","
Esta versión avanzada del Mitas SPORT FORCE+ te llevará a un nuevo nivel de rendimiento en neumáticos. Diseñado para una dirección más rápida y precisa, te garantiza el máximo control en curvas muy pronunciadas. El Mitas SPORT FORCE+ EV cuenta con la tecnología MCTT (Multi Compound Tread Technology), además de poseer materiales completamente nuevos, que permiten un agarre extraordinario en las curvas. La versión EV presenta un rendimiento espectacular a la hora de acelerar a la salida de las curvas y al frenar.  Para el uso en pista se recomienda el uso de calentadores de neumáticos. Configuración: 50 min a 80 °C.   - Versión avanzada del popular Mitas SPORT FORCE+. - Nuevo compuesto de la banda de rodadura diseñado para pilotos de motos tipo hypersport. - Neumático homologado para la ciudad y los días de pista.
",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,70699,6600,610,610,190,50,,190,,,Hypersport,,,17,Radial,Neumáticos de motocicleta y scooter,,73,(W) > 270 km/h,,,SPORT FORCE PLUS EV,,Trasero,TL - Tubeless,,,,,,https://api.mybihr.com/medias/9005593-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTY2NzN8aW1hZ2UvanBlZ3xhR1UxTDJoaFlTOHhOVFEyTVRBd01qZ3pPREEwTmk4NU1EQTFOVGt6TFRGZk9EQXdWM2c0TURCSXwyMzI2ODZiNzg5MDUyNWI4Y2YyYzQxMDgzNGNlYWU3YWQ1ZWFiMWFmYWQ0ZjZmM2E4MWY1Y2NiYjhlMWRlNjc5,,,,,https://static.bihr.pro/eBihr/Pictures/MITAS-pictures.zip,,,Spain Warehouse (Tires)
