PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Acabado de la pintura,Capacidad (ml/l),Color,Picture1,Picture2,Picture3,AllPicturesZIP,Document1,Document2,DeliveryPlant
1099741,891410,04031,MOTIP,MOTIP SPRAY HEAT RESIST BLACK 400ML,Pintura alta temperatura MOTIP negro,23.63,19.53,12.69,8711347040315,27,3208901990,0,1,"Aerosol de pintura para tratar superficies sometidas a temperaturas elevadas (hasta 650 °C). Ideal para cualquier pieza del motor: escape, cárter, cilindro... 			Color: Negro o plata Aerosol de 500 ml""""""""","Aerosol de pintura para tratar superficies sometidas a temperaturas elevadas (hasta 650 °C). Ideal para cualquier pieza del motor: escape, cárter, cilindro... 			Color: Negro o plata Aerosol de 500 ml""""""""",LIQUIDS & LUBRICANTS,MAINTENANCE & CARE,MNT&CARE SPRAY,815,384,193,65,65,Mate,,Negro,https://api.mybihr.com/medias/1099741-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgxODF8aW1hZ2UvanBlZ3xhRGxoTDJneVl5ODRPVFF5T1RVM05EazBNekF5THpFd09UazNOREV0TVY4NE1EQlhlRGd3TUVnfDJkYWZkNjIyMTE1OWQwMGNhOTJiNDliZDFjMzdkM2QxMGU5MTBlZTFlYjQ1NTk2M2UxZTA5ZTQwOTE3OWU3ZjU,,,https://static.bihr.pro/eBihr/Pictures/MOTIP-pictures.zip,https://api.mybihr.com/medias/fiche-de-donnees-de-securite-04031.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyMjY3NTV8YXBwbGljYXRpb24vcGRmfGFEZzFMMmhoWWk4NU1EUXpOelkwTlRFd056VXdMMlpwWTJobElHUmxJR1J2Ym01bFpYTWdaR1VnYzJWamRYSnBkR1VnTURRd016RXxmYzk4Y2NiMjRmOTUzZmFiNGI2YzA2MTEzY2JlYzBhMjA4MzQxMDZkYzkzZWNmOWQyZDExZjYxNTUyZGFiOTI0,,Spain Warehouse (Parts)
1099744,551642,090107,MOTIP,MOTIP SPRAY SILICONE 500ML,Limpiador silicona MOTIP 500ML,11.50,9.50,7.60,8711347226481,8,3403990000,0,1,"Aerosol de silicona de gran calidad, para lubricar y proteger componentes sintéticos. Trata superficies de plástico sin dejar marcas. Evita que los componentes de caucho se congelen o se sequen, además de que los de plástico chirrien. 			Contenido: 500 ml		 Datos técnicos: 			Pulverizador con tapón, tubo y cabezal pulverizador Resistente al agua Gran estabilidad mecánica y térmica Efecto anticorrosivo excelente Resistente a las influencias del clima Resistente a ácidos ligeramente corrosivos No corrosivo		 Atención: Aplicar una capa fina de silicona. Para optimizar la lubrificación, dejar secar durante un minuto después de la evaporación del disolvente.""""""""","Aerosol de silicona de gran calidad, para lubricar y proteger componentes sintéticos. Trata superficies de plástico sin dejar marcas. Evita que los componentes de caucho se congelen o se sequen, además de que los de plástico chirrien. 			Contenido: 500 ml		 Datos técnicos: 			Pulverizador con tapón, tubo y cabezal pulverizador Resistente al agua Gran estabilidad mecánica y térmica Efecto anticorrosivo excelente Resistente a las influencias del clima Resistente a ácidos ligeramente corrosivos No corrosivo		 Atención: Aplicar una capa fina de silicona. Para optimizar la lubrificación, dejar secar durante un minuto después de la evaporación del disolvente.""""""""",LIQUIDS & LUBRICANTS,MAINTENANCE & CARE,MNT&CARE SPRAY,1101,488,238,68,68,,,,https://api.mybihr.com/medias/800Wx800H-1099744-1.jpg?context=bWFzdGVyfHJvb3R8NzA4MDd8aW1hZ2UvanBlZ3xhR0psTDJnMU9DODROVEUxTnpBMU1EYzNOell6TUM4NE1EQlhlRGd3TUVoZk1UQTVPVGMwTkMweExtcHdad3w3NDAxNzhlMWZhMDhiNWU2NzllMjMwY2Q1NDI1ODQ3YmEwNjc4Y2MzMDhkZTg1ZWQ0YWEzMWEwZDZlMWM5N2Fj,,,https://static.bihr.pro/eBihr/Pictures/MOTIP-pictures.zip,https://api.mybihr.com/medias/fiche-secu-090107.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyMTMzNTB8YXBwbGljYXRpb24vcGRmfGFESXhMMmczTWk4NU1EUXpOelU0T0RjME5qVTBMMlpwWTJobFgzTmxZM1ZmTURrd01UQTN8NzFkYzE1NDI3MWFhYmU0M2M1ZjRjOTExNDNjOGM1NTIyZjdjMDA4NmNkZTFiNjBkYWFjNjJiODkxOTQwNDVlMQ,,Spain Warehouse (Parts)
1099746,551643,090303,MOTIP,MOTIP SPRAY PENETRATING OIL 500ML,Lubricante aflojatodo MoS2 MOTIP spray 500ML,12.50,10.33,5.68,8711347226160,2,3403990000,0,1,"Aceite desgripante de gran calidad, con película anticorrosión de disulfuro de molibdeno (MoS2) que reduce la fricción y permite desmontar fácilmente tornillos atascados o piezas oxidadas. Actúa rápida y eficazmente, penetrando e infiltrándose en los tornillos, incluso contra el efecto de la gravedad. Con sulfuro de molibdeno, que mejora sus propiedades lubricantes. No daña el metal, el caucho o el plástico. 			Capacidad: 500 ml		 Datos técnicos: 			Aerosol con válvula de 360°, tapón, tubo y cabezal pulverizador Gran acción penetrante Lubrificación duradera gracias al grafito y al disulfuro de molibdeno (MoS2) Repele la humedad No corrosivo		 Atención: Dejarlo actuar tras la aplicación.""""""""","Aceite desgripante de gran calidad, con película anticorrosión de disulfuro de molibdeno (MoS2) que reduce la fricción y permite desmontar fácilmente tornillos atascados o piezas oxidadas. Actúa rápida y eficazmente, penetrando e infiltrándose en los tornillos, incluso contra el efecto de la gravedad. Con sulfuro de molibdeno, que mejora sus propiedades lubricantes. No daña el metal, el caucho o el plástico. 			Capacidad: 500 ml		 Datos técnicos: 			Aerosol con válvula de 360°, tapón, tubo y cabezal pulverizador Gran acción penetrante Lubrificación duradera gracias al grafito y al disulfuro de molibdeno (MoS2) Repele la humedad No corrosivo		 Atención: Dejarlo actuar tras la aplicación.""""""""",LIQUIDS & LUBRICANTS,MAINTENANCE & CARE,MNT&CARE SPRAY,1053,469,66,70,228,,,,https://api.mybihr.com/medias/800Wx800H-1099746-1.jpg?context=bWFzdGVyfHJvb3R8NzUxMjh8aW1hZ2UvanBlZ3xhRGhsTDJnMVppODROVEUxTnpBMU1EazNOREl6T0M4NE1EQlhlRGd3TUVoZk1UQTVPVGMwTmkweExtcHdad3w4YTM1NWIyMTU5ZjIwNTUzZjk2ZDM5OTkwMWE1NWYyY2FlN2Q2MmJhNWU2NGM4OTA1NTJhMGE2YmRmNWU0NmY1,,,https://static.bihr.pro/eBihr/Pictures/MOTIP-pictures.zip,https://api.mybihr.com/medias/fiche-de-donnees-de-securite-m090303.pdf?context=bWFzdGVyfGRvY3VtZW50c3wxOTcxNTB8YXBwbGljYXRpb24vcGRmfGFHVXdMMmczTlM4NU1EUXpOelU0TnpRek5UZ3lMMlpwWTJobElHUmxJR1J2Ym01bFpYTWdaR1VnYzJWamRYSnBkR1VnYlRBNU1ETXdNd3wwYzhiMjNhN2I5MTc4NWQwZTI5NjUyODZhN2Y1NmMwODU4MDcwNmNmZDhmMDAxMTBiNzJjYTZlMDE5ZDQ1NGMz,,Spain Warehouse (Parts)
1099738,893566,04004,MOTIP,MOTIP SPRAY GLOSS WHITE 500ML,Pintura MOTIP blanco brillante 500ML,23.99,19.83,12.89,8711347040049,0,3208901990,0,1,"Pintura de secado rápido, capaz de cubrir la superficie por completo. Resistente a la gasolina, a los productos químicos y a la intemperie. 			Base: resina acrílica Color: Blanco brillante o mate Resistencia a temperaturas hasta 110 °C Aerosol de 500 ml""""""""","Pintura de secado rápido, capaz de cubrir la superficie por completo. Resistente a la gasolina, a los productos químicos y a la intemperie. 			Base: resina acrílica Color: Blanco brillante o mate Resistencia a temperaturas hasta 110 °C Aerosol de 500 ml""""""""",LIQUIDS & LUBRICANTS,MAINTENANCE & CARE,MNT&CARE SPRAY,1032,510,66,68,230,Brillante,,Blanco,https://api.mybihr.com/medias/1099738-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM1MzA0fGltYWdlL2pwZWd8YURreUwyZzJPUzg0T1RFME9ERXhNakkwTURrMEx6RXdPVGszTXpndE1WODRNREJYZURnd01FZ3xjMDYyZDZlMjlmNGJkMmQzMGVmNjdlZDYxYjE2OTQ3ODM1MzZiNGRlMjgzY2Q0NGM3ZTJhYTViODdhMDY5OTUx,,,https://static.bihr.pro/eBihr/Pictures/MOTIP-pictures.zip,https://api.mybihr.com/medias/SDS-04004-MOTIP-BLANC-BRILLANT-500-ML-FR-FR.pdf?context=bWFzdGVyfGRvY3VtZW50c3w0NTg1Njl8YXBwbGljYXRpb24vcGRmfGFEQmlMMmcxT0M4Mk1qWTNOVEkzTkRrMU5qZ3pNQzlUUkZOZk1EUXdNRFJmTFY5TlQxUkpVRjlDVEVGT1ExOUNVa2xNVEVGT1ZGODFNREJmVFV4ZlJsSXRSbEl1Y0dSbXw4NjFjMWYwNTNkNjkyMDk3ZGYzMWMzYzZiMzA5ZWU1YmM4NmRiMGRkYzkyZDgyOGI2MWE4ODI2OWJiZWI4ZGM1,https://api.mybihr.com/medias/SDS-04004-MOTIP-HIGH-GLOSS-WHITE-500-ML-GB-EN.pdf?context=bWFzdGVyfGRvY3VtZW50c3w0NTA5NTl8YXBwbGljYXRpb24vcGRmfGFETTNMMmd3T1M4Mk1qWTNOVEkzTlRFNE5qSXdOaTlUUkZOZk1EUXdNRFJmTFY5TlQxUkpVRjlJU1VkSVgwZE1UMU5UWDFkSVNWUkZYelV3TUY5TlRGOUhRaTFGVGk1d1pHWXwxMzA1ZDk0OTA4MGZkOTFlZTRiNDRkOTcyYWZhOTkxYzI5NzAwZGE1NjAzN2ZmY2ZiZjFjZGU1MTgxOGQ5Nzhi,Spain Warehouse (Parts)
1099739,893565,04005,MOTIP,MOTIP SPRAY GLOSS BLACK 500ML,Pintura MOTIP negro brillante 500ML,23.99,19.83,12.89,8711347040056,11,3208901990,0,1,"Pintura de secado rápido, capaz de cubrir la superficie por completo. Resistente a la gasolina, a los productos químicos y a la intemperie. 			Base: resina acrílica Color: Negro brillante, mate o satinado Resistencia a temperaturas hasta 110 °C Aerosol de 500 ml""""""""","Pintura de secado rápido, capaz de cubrir la superficie por completo. Resistente a la gasolina, a los productos químicos y a la intemperie. 			Base: resina acrílica Color: Negro brillante, mate o satinado Resistencia a temperaturas hasta 110 °C Aerosol de 500 ml""""""""",LIQUIDS & LUBRICANTS,MAINTENANCE & CARE,MNT&CARE SPRAY,1032,500,66,68,230,Brillante,,Negro,https://api.mybihr.com/medias/1099739-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzAyNzh8aW1hZ2UvanBlZ3xhRFZqTDJneU1TODRPVFF5T1RVM01UQXhNRGcyTHpFd09UazNNemt0TVY4NE1EQlhlRGd3TUVnfGU5ZDU0ZTJlYzgwYTQ2YWIwYjA1MjNlYWViMDlkMDUyOWUyYzQxM2JhN2NlNWVhNTQwNWQyODg5MmRmNmMzY2E,,,https://static.bihr.pro/eBihr/Pictures/MOTIP-pictures.zip,https://api.mybihr.com/medias/SDS-04005-MOTIP-HIGH-GLOSS-BLACK-500-ML-GB-EN.pdf?context=bWFzdGVyfGRvY3VtZW50c3w0NTEwMTF8YXBwbGljYXRpb24vcGRmfGFETmxMMmd3TUM4Mk1qWTNOVEkzTlRReE5UVTRNaTlUUkZOZk1EUXdNRFZmTFY5TlQxUkpVRjlJU1VkSVgwZE1UMU5UWDBKTVFVTkxYelV3TUY5TlRGOUhRaTFGVGk1d1pHWXw2OGJjMTFkNjcwMGU0ZGJkMzM3MjM3ODAxMDdhMjM4ZjZjMDIzYzVlYTMzYTkxOThhMGIzN2E5NGQzYjgxNjJh,https://api.mybihr.com/medias/SDS-04005-MOTIP-NOIR-BRILLIANT-500-ML-FR-FR.pdf?context=bWFzdGVyfGRvY3VtZW50c3w0NTg2MDZ8YXBwbGljYXRpb24vcGRmfGFEWTJMMmd3Tnk4Mk1qWTNOVEkzTlRZME5EazFPQzlUUkZOZk1EUXdNRFZmTFY5TlQxUkpVRjlPVDBsU1gwSlNTVXhNU1VGT1ZGODFNREJmVFV4ZlJsSXRSbEl1Y0dSbXwwMjMzZTg2ZDEzZmRhMzY3NGU4MmNhOTA4YmU0Y2I4MDAyM2QxNWRkZjJmNTkyMTg3MmQ2MjBkMTU4YTAyMGQw,Spain Warehouse (Parts)
1099740,893538,04006,MOTIP,MOTIP SPRAY MATT BLACK 500ML,Pintura MOTIP negro mate 500ML,17.64,14.58,9.48,8711347040063,1,3208901990,0,1,"Pintura de secado rápido, capaz de cubrir la superficie por completo. Resistente a la gasolina, a los productos químicos y a la intemperie. 			Base: resina acrílica Color: Negro brillante, mate o satinado Resistencia a temperaturas hasta 110 °C Aerosol de 500 ml""""""""","Pintura de secado rápido, capaz de cubrir la superficie por completo. Resistente a la gasolina, a los productos químicos y a la intemperie. 			Base: resina acrílica Color: Negro brillante, mate o satinado Resistencia a temperaturas hasta 110 °C Aerosol de 500 ml""""""""",LIQUIDS & LUBRICANTS,MAINTENANCE & CARE,MNT&CARE SPRAY,1048,484,67,68,230,Mate,,Negro,https://api.mybihr.com/medias/1099740-1-800Wx800H?context=bWFzdGVyfHJvb3R8Nzg5NDR8aW1hZ2UvanBlZ3xhRGhoTDJoaU9TODRPVE13TnpZMk5EZzNOVGd5THpFd09UazNOREF0TVY4NE1EQlhlRGd3TUVnfDIzY2NlMmFmMDY1MmFmOTJkMjBhY2UwYzlhNTc2ODE5ODYxMTBmOGYxNjBiNDAxNzQyZTI1NTA4NDVhZTc2ZWM,,,https://static.bihr.pro/eBihr/Pictures/MOTIP-pictures.zip,https://api.mybihr.com/medias/FDS-m04001-m04006.pdf?context=bWFzdGVyfHJvb3R8MjE0ODI2fGFwcGxpY2F0aW9uL3BkZnxhR1JoTDJoaVppODJNak00TnpJNU56UXhPVEk1TkM5R1JGTXRiVEEwTURBeExXMHdOREF3Tmk1d1pHWXxhYTExY2RhOWJjNTlkYjk0MTI3ZTU4ZjM1ZjkxNzQwN2E5N2Q0MTY1MWZlOGFjZjBjOTFmMGE2ZTRhNGMxOTZh,,Spain Warehouse (Parts)
1099743,55030018,04209,MOTIP,MOTIP SPRAY SUPER TRANSPARENT 160ML,Barniz 2k MOTIP spray Super transparente 160ML,53.64,44.33,31.03,8711347225224,0,3403990000,0,1,"Barniz profesional de secado rápido para tratamiento de piezas de metal, aluminio, cromo, madera y plástico.  			Resistente a los hidrocarburos y a los rayos UV No indicado para pinturas alquídicas No contiene isocianato""""""""","Barniz profesional de secado rápido para tratamiento de piezas de metal, aluminio, cromo, madera y plástico.  			Resistente a los hidrocarburos y a los rayos UV No indicado para pinturas alquídicas No contiene isocianato""""""""",LIQUIDS & LUBRICANTS,MAINTENANCE & CARE,MNT&CARE SPRAY,541,223,55,63,156,,,,https://api.mybihr.com/medias/1099743-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTEwMTd8aW1hZ2UvanBlZ3xhRGN6TDJnNFppODRPVFF5T1RVNE1qZ3dOek0wTHpFd09UazNORE10TVY4NE1EQlhlRGd3TUVnfDExMjM0ZDIwYjFmNjE4NTMwMWFiZTM2NmRkMjk1NzA0ZjcyYWUwYjZlZWYxMGVkOWU0MjMwNTkxMzZjNGNmN2Q,,,https://static.bihr.pro/eBihr/Pictures/MOTIP-pictures.zip,https://api.mybihr.com/medias/SDS-20079-Motip-2K-Klarlack-hgl-160ml-FR-FR.pdf?context=bWFzdGVyfGRvY3VtZW50c3w0MjU2NTl8YXBwbGljYXRpb24vcGRmfGFEZzNMMmhpTlM4Mk1qYzRNRGs1T0RnM056SXhOQzlUUkZOZk1qQXdOemxmTFY5TmIzUnBjRjh5UzE5TGJHRnliR0ZqYTE5b1oyeGZNVFl3Yld4ZlJsSXRSbEl1Y0dSbXw5MTQ5OWVmZTdjZDYwY2IyNTYwZTQ1NGQyNGI3NDNkYTZiMzJlMWFjOWJiMjZmMjhjYWIwMDQyNTRmM2M1NjU4,https://api.mybihr.com/medias/SDS-20079-Motip-2K-Klarlack-hgl-160ml-GB-EN.pdf?context=bWFzdGVyfGRvY3VtZW50c3w0MTM1MDl8YXBwbGljYXRpb24vcGRmfGFEVTJMMmhtT1M4Mk1qYzRNRGs1T1RFd05qVTVNQzlUUkZOZk1qQXdOemxmTFY5TmIzUnBjRjh5UzE5TGJHRnliR0ZqYTE5b1oyeGZNVFl3Yld4ZlIwSXRSVTR1Y0dSbXxhNzQzZjhjOGY2YjA2Y2Q1NzAxN2RlMWQ2MmFmYTA4NjcxNWUwZWZiOWEyNjJkZTcwMmNhYTkxM2MwMzVhNTEy,Spain Warehouse (Parts)
1099737,893567,04002,MOTIP,MOTIP SPRAY MATT WHITE 500ML,Pintura MOTIP blanco mate 500ML,23.99,19.83,12.89,8711347172481,0,3208901990,0,1,"Pintura de secado rápido, capaz de cubrir la superficie por completo. Resistente a la gasolina, a los productos químicos y a la intemperie. 			Base: resina acrílica Color: Blanco brillante o mate Resistencia a temperaturas hasta 110 °C Aerosol de 500 ml""""""""","Pintura de secado rápido, capaz de cubrir la superficie por completo. Resistente a la gasolina, a los productos químicos y a la intemperie. 			Base: resina acrílica Color: Blanco brillante o mate Resistencia a temperaturas hasta 110 °C Aerosol de 500 ml""""""""",LIQUIDS & LUBRICANTS,MAINTENANCE & CARE,MNT&CARE SPRAY,1032,511,66,68,230,Mate,,Blanco,https://api.mybihr.com/medias/1099737-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM1MzA0fGltYWdlL2pwZWd8YURRM0wyaGpNQzg0T1RNd056WTJNamt3T1RjMEx6RXdPVGszTXpjdE1WODRNREJYZURnd01FZ3w1ZjUyYmUzYjFmYmM4ZDE0ZTJiYjNjZDZmYjkwYjRjMDNhZWMxODI3ZGUxYjQ2NjQ4M2ZiNzYyOTA4ZjIyZWFj,,,https://static.bihr.pro/eBihr/Pictures/MOTIP-pictures.zip,https://api.mybihr.com/medias/SDS-04002-MOTIP-BLANC-MAT-500-ML-FR-FR.pdf?context=bWFzdGVyfGRvY3VtZW50c3w0NTk1NDN8YXBwbGljYXRpb24vcGRmfGFHRTVMMmcyT0M4Mk1qWTNOVEkzTkRRNU9EQTNPQzlUUkZOZk1EUXdNREpmTFY5TlQxUkpVRjlDVEVGT1ExOU5RVlJmTlRBd1gwMU1YMFpTTFVaU0xuQmtaZ3xkMWVjMDlhYTMzOWQzZmI0ZWQyOWY3NWFhMDdlMDlhMTQxYzdiOGU0NmY2ZDFkMjc3YTVkNjU1YTJkNGE2M2M5,https://api.mybihr.com/medias/SDS-04002-MOTIP-MATT-WHITE-500-ML-GB-EN.pdf?context=bWFzdGVyfGRvY3VtZW50c3w0NTE3NTZ8YXBwbGljYXRpb24vcGRmfGFETXlMMmcxWmk4Mk1qWTNOVEkzTkRjeU56UTFOQzlUUkZOZk1EUXdNREpmTFY5TlQxUkpVRjlOUVZSVVgxZElTVlJGWHpVd01GOU5URjlIUWkxRlRpNXdaR1l8ODAxN2E3ZWUwNmQ4NTNhMDEwOThlZjY2MzgzYWFlNWZmMDE2Y2RjZTE1MzViNWI5MGFkMDEwNjEwY2JmMzBhNA,Spain Warehouse (Parts)
1099742,891411,04032,MOTIP,MOTIP SPRAY HEAT RESIST SILVER 400ML,Pintura alta temperatura MOTIP plata,23.63,19.53,12.69,8711347040322,2,3208901990,0,1,"Aerosol de pintura para tratar superficies sometidas a temperaturas elevadas (hasta 650 °C). Ideal para cualquier pieza del motor: escape, cárter, cilindro... 			Color: Negro o plata Aerosol de 500 ml""""""""","Aerosol de pintura para tratar superficies sometidas a temperaturas elevadas (hasta 650 °C). Ideal para cualquier pieza del motor: escape, cárter, cilindro... 			Color: Negro o plata Aerosol de 500 ml""""""""",LIQUIDS & LUBRICANTS,MAINTENANCE & CARE,MNT&CARE SPRAY,852,390,64,69,193,,,Plata,https://api.mybihr.com/medias/1099742-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjkzNjN8aW1hZ2UvanBlZ3xhREkzTDJnellTODRPVFF5T1RVM09EZzNOVEU0THpFd09UazNOREl0TVY4NE1EQlhlRGd3TUVnfDFhZmEzMDE1YWE0NjM3ZTZmNTI5YjlkMTNkMWI1NDE5ODRlNjMyZjljMTc5OTY1Y2UzZDhjZGVkNzYyOWExMDQ,,,https://static.bihr.pro/eBihr/Pictures/MOTIP-pictures.zip,https://api.mybihr.com/medias/fiche-de-donnees-de-securite-04032.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyMzIxOTF8YXBwbGljYXRpb24vcGRmfGFEbGlMMmhoWmk4NU1EUXpOelkwTmpjME5Ua3dMMlpwWTJobElHUmxJR1J2Ym01bFpYTWdaR1VnYzJWamRYSnBkR1VnTURRd016SXwyODI2ZTdiNTk0NDYzNzFjMTY5NDM5YzUwOGI5NzI4YWRjN2I1ZDA2NWM3NmFmZDk1YzhlOTA5MDI0OWI5ZDk3,,Spain Warehouse (Parts)
1099745,551644,090206,MOTIP,MOTIP SPRAY MULTI 500ML,Lubricante multiuso MOTIP 500ML,13.92,11.50,6.33,8711347226320,10,3403990000,0,1,"<p>Evita los crujidos y los chirridos y deja que las piezas atascadas vuelvan a moverse sin problemas lubricándolas con el Lubricante Multi-Usos MOTIP. El Lubricante Multi-Usos limpia y elimina el aceite, la grasa, la cera y el alquitrán. El Lubricante Multi-Usos MOTIP es un aceite universal que lubrica, protege y limpia. Ofrece una excelente penetración, es repelente a la humedad, evita el óxido y deja una película protectora.</p>
<p><strong>Características:</strong></p>
<ul>
	<li>Buenas propiedades penetrantes</li>
	<li>Elimina aceite, grasa, cera, revestimiento de bajos y alquitrán</li>
	<li>Repelente a la humedad</li>
	<li>Previene la corrosión</li>
	<li>Después de la limpieza, queda una película protectora</li>
</ul>

<p><strong>Instrucciones de uso</strong>: antes del uso, lee atentamente las instrucciones del envase y actúa en consecuencia.</p>

<p>El aerosol debe estar a temperatura ambiente.</p>

<p>Mejor temperatura de proceso 10 – 25 °C.</p>

<p>Agita el aerosol antes de usarlo.</p>

<p>Aplica varias pulverizaciones en la cantidad deseada.</p>

<p>La lubricación óptima se obtiene una vez se ha evaporado el disolvente.</p>","
Evita los crujidos y los chirridos y deja que las piezas atascadas vuelvan a moverse sin problemas lubricándolas con el Lubricante Multi-Usos MOTIP. El Lubricante Multi-Usos limpia y elimina el aceite, la grasa, la cera y el alquitrán. El Lubricante Multi-Usos MOTIP es un aceite universal que lubrica, protege y limpia. Ofrece una excelente penetración, es repelente a la humedad, evita el óxido y deja una película protectora.

Características:

	Buenas propiedades penetrantes
	Elimina aceite, grasa, cera, revestimiento de bajos y alquitrán
	Repelente a la humedad
	Previene la corrosión
	Después de la limpieza, queda una película protectora



Instrucciones de uso: antes del uso, lee atentamente las instrucciones del envase y actúa en consecuencia.


El aerosol debe estar a temperatura ambiente.


Mejor temperatura de proceso 10 – 25 °C.


Agita el aerosol antes de usarlo.


Aplica varias pulverizaciones en la cantidad deseada.


La lubricación óptima se obtiene una vez se ha evaporado el disolvente.",LIQUIDS & LUBRICANTS,MAINTENANCE & CARE,MNT&CARE SPRAY,1109,460,70,68,233,,,,https://api.mybihr.com/medias/800Wx800H-1099745-1.webp?context=bWFzdGVyfHJvb3R8MTY1OTIwfGFwcGxpY2F0aW9uL3dlYnB8YURVekwyZzFOaTg0TVRVME1qQTJOak13TnpFd01pODRNREJYZURnd01FaGZNVEE1T1RjME5TMHhMbmRsWW5BfDFlYjk4N2JiMTgzMTQ0ZTI5NWUxOWNlNDk5NGIxYWFhZjBlYzMwZjkxMWM1YWEzNGJmOGIyODQ0ZGE5NmQ1ODE,,,https://static.bihr.pro/eBihr/Pictures/MOTIP-pictures.zip,https://api.mybihr.com/medias/fiche-de-donnees-de-securite-m090206.pdf?context=bWFzdGVyfGRvY3VtZW50c3wxOTQ4NjB8YXBwbGljYXRpb24vcGRmfGFEZzBMMmhtTWk4NU1EUXpOemcyTURBMk5UVTRMMlpwWTJobElHUmxJR1J2Ym01bFpYTWdaR1VnYzJWamRYSnBkR1VnYlRBNU1ESXdOZ3w5NzVhMWJiN2EyNmQ2ZjI2MzBjOGZmYmFiNzRiZGZmN2Q3Mzk2NDdhNGUxYmQ5OTNmMzMwODBlYjBjOWIzNzE3,,Spain Warehouse (Parts)
