PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Composición,Embalaje,Posición,Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1112692,48637,269882,MOTOBRACKETS,MOTBC FAIRING BRACKET,Araña de carenado Yamaha,95.99,79.33,51.56,8430525486379,3,8714109090,0,1,<strong>OEM:</strong> 13S-28356-00,OEM: 13S-28356-00,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,18450,1220,250,410,180,,,,,https://api.mybihr.com/medias/1112692-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDgyNzh8aW1hZ2UvanBlZ3xhRE0zTDJoa1ppOHhOVFF5T1RNeE5qRXhOalV4TUM4eE1URXlOamt5TFRGZk9EQXdWM2c0TURCSXxjM2QzZTM3OWY4NTNiYjQ4NDJkNjRhOWU5YzllYzVkNzFlYzMxNzRhMzAxY2ZkZTYxYmQxOGQzZWYzMjdlOTU0,,,https://static.bihr.pro/eBihr/Pictures/MOTOBRACKETS-pictures.zip,Spain Warehouse (Parts)
1112674,48607,269674,MOTOBRACKETS,MOTBC FAIRING BRACKET,Araña de carenado Kawasaki,56.00,46.28,30.08,8430525486072,4,8714109090,0,1,<strong>OEM:</strong> 11053-1868,OEM: 11053-1868,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,4688,324,383,136,90,Negro,Acero,por unidad,Delantero derecho,https://api.mybihr.com/medias/800Wx800H-1112674-1.jpg?context=bWFzdGVyfHJvb3R8MTMxMDg3fGltYWdlL2pwZWd8YURkaEwyZzVaUzg0TVRFNU1UY3lNamt3T1RjeU5pODRNREJYZURnd01FaGZNVEV4TWpZM05DMHhMbXB3Wnd8OTE2MTMzODE5YWNmMmM2NjRjOWE5NzI2NmZhODhiODQyYjAzYmZjY2JhMzAxOTQ2OGY2MzMyZmJhMTVhYjk2Mg,,,https://static.bihr.pro/eBihr/Pictures/MOTOBRACKETS-pictures.zip,Spain Warehouse (Parts)
1062123,48631,269791,MOTOBRACKETS,MOTBC MOUNT KIT FAIRING BRACKET,Araña de carenado Suzuki,117.44,97.06,63.09,8430525486317,4,8714109090,0,1,<strong>OEM:</strong> 94510-15H00,OEM: 94510-15H00,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,24069,1002,294,422,194,,,,,https://api.mybihr.com/medias/1062123-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDY2NTh8aW1hZ2UvanBlZ3xhREUwTDJobU9DOHhOVFF4TmpRek1USTBOek01TUM4eE1EWXlNVEl6TFRGZk9EQXdWM2c0TURCSXw2MmZiNzhjZDBmMzNkNjY2ZTkzODc2N2U1M2ZjNzc3ZDI1NGRiYzM2N2FmOTIzYWM5MGUyYWUzYzRjN2NmNTkx,,,https://static.bihr.pro/eBihr/Pictures/MOTOBRACKETS-pictures.zip,Spain Warehouse (Parts)
1112681,48622,269752,MOTOBRACKETS,MOTBC FAIRING BRACKET,Araña de carenado Suzuki,95.99,79.33,51.56,8430525486225,5,8714109090,0,1,<strong>OEM:</strong> 94511-41G01,OEM: 94511-41G01,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,17183,614,264,339,192,,,,,https://api.mybihr.com/medias/1112681-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMzNzF8aW1hZ2UvanBlZ3xhR1JtTDJoa1lTOHhOVFF5T1RNeE1UYzVNVEV6TkM4eE1URXlOamd4TFRGZk9EQXdWM2c0TURCSXwxZjAyMmI4OGQ1MWU5NWNhMTAyYzE1MTI3M2I1ZmUxZjcxZTBhNzI1ODExZWI1MzAzYjY2OGNjMjc0Y2M5NjIz,,,https://static.bihr.pro/eBihr/Pictures/MOTOBRACKETS-pictures.zip,Spain Warehouse (Parts)
1062116,48604,269669,MOTOBRACKETS,MOTBC MOUNT KIT FAIRING BRACKET,Araña de carenado Kawasaki,117.44,97.06,63.09,8430525486041,3,8714109090,0,1,<strong>OEM:</strong> 11053-1412,OEM: 11053-1412,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,15695,1028,362,299,145,,,,,https://api.mybihr.com/medias/1062116-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTQwODd8aW1hZ2UvanBlZ3xhR1E1TDJoa1pTOHhOVFF4TmpReU9EZ3lNalUxT0M4eE1EWXlNVEUyTFRGZk9EQXdWM2c0TURCSXwzYjZkOWE5MWQ4ZmMyN2VjMzM3YTAxNWIyYThjMGE4OThiYmM1NGJmOTQxYmE3MGE2MzI0YjMzYTBlMDVkYzkz,,,https://static.bihr.pro/eBihr/Pictures/MOTOBRACKETS-pictures.zip,Spain Warehouse (Parts)
1112698,48644,269890,MOTOBRACKETS,MOTBC FAIRING BRACKET,Araña de carenado Yamaha,121.00,100.00,65.00,8430525486447,3,8714109090,0,1,<strong>OEM:</strong> 14B-28356-10<br><strong>OEM:</strong> 14B-28356-00,OEM: 14B-28356-10OEM: 14B-28356-00,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,15300,704,360,250,170,,,,,https://api.mybihr.com/medias/1112698-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTAyMjh8aW1hZ2UvanBlZ3xhR0k1TDJnd01DOHhOVFF5T1RNeE9EUTNOVGd3Tmk4eE1URXlOams0TFRGZk9EQXdWM2c0TURCSXw0ZTVjMmM5YTA1ODY4MTAyZjA2MTE5NjhlMjQ5NzkzYjZhYjIzNDgwNjcwMjMxOWQ5MWNiNDg2YzNmNTM4NTM0,,,https://static.bihr.pro/eBihr/Pictures/MOTOBRACKETS-pictures.zip,Spain Warehouse (Parts)
1112676,48611,269692,MOTOBRACKETS,MOTBC FAIRING BRACKET,Araña de carenado Kawasaki,45.45,37.56,24.41,8430525486119,3,8714109090,0,1,<strong>OEM:</strong> 11054-1307,OEM: 11054-1307,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,2880,372,120,400,60,,,,,https://api.mybihr.com/medias/1112676-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY5MTF8aW1hZ2UvanBlZ3xhRGsxTDJnMU9TOHhOVFF5T1RNd09UZ3lOVEExTkM4eE1URXlOamMyTFRGZk9EQXdWM2c0TURCSXwxZTUwOGY4NTc4MzQ4YmQzZDQ3NTU5NTRhYzcxZGEzOWY5ODZlYjQ4YTI2YWY5NTQxNDMyMmIwYTYwMGFkZDRj,,,https://static.bihr.pro/eBihr/Pictures/MOTOBRACKETS-pictures.zip,Spain Warehouse (Parts)
1112686,48627,269759,MOTOBRACKETS,MOTBC FAIRING BRACKET,Araña de carenado Suzuki,92.94,76.81,49.93,8430525486270,9,8714109090,0,1,<strong>OEM:</strong> 94511-47H00,OEM: 94511-47H00,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,11100,578,250,370,120,,,,,https://api.mybihr.com/medias/1112686-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzkzMjl8aW1hZ2UvanBlZ3xhR0l4TDJnd055OHhOVFF5T1RNeE16YzFOekl4TkM4eE1URXlOamcyTFRGZk9EQXdWM2c0TURCSXw5Mzk1YTI0YmVhZmU1OTk4ZWQ1NjBiYzA2ZmNjNDA5OTc2YjUxOTM4YWFlNTU0ODY1NzljMzBiMDU0NjQ3NmIz,,,https://static.bihr.pro/eBihr/Pictures/MOTOBRACKETS-pictures.zip,Spain Warehouse (Parts)
1112677,48617,269941,MOTOBRACKETS,MOTBC FAIRING BRACKET,Araña de carenado Suzuki,68.45,56.57,22.59,4000005179417,3,8714109090,0,1,<strong>OEM:</strong> 94520-08F00,OEM: 94520-08F00,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,20339,708,428,330,144,Negro,Acero,por unidad,Delantero derecho,https://api.mybihr.com/medias/800Wx800H-1112677-1.jpg?context=bWFzdGVyfHJvb3R8MTkwMTY0fGltYWdlL2pwZWd8YUdZMkwyaGxZeTg0TVRFNU1UY3lNekV3TmpNek5DODRNREJYZURnd01FaGZNVEV4TWpZM055MHhMbXB3Wnd8YjBjYWFmNzZjY2M0MTNlOTJhYjJiNWFiNTk5NmFkMTk1MGRmOTI3M2E2MjE5OWI3Y2ZlMjQ4NWRkYmZmYjNkOQ,,,https://static.bihr.pro/eBihr/Pictures/MOTOBRACKETS-pictures.zip,Spain Warehouse (Parts)
1112673,48606,269672,MOTOBRACKETS,MOTBC FAIRING BRACKET,Araña de carenado Kawasaki,53.94,44.58,28.98,8430525486065,2,8714109090,0,1,<strong>OEM:</strong> 11053-0404,OEM: 11053-0404,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,3028,296,419,99,73,Negro,Acero,por unidad,Delantero derecho,https://api.mybihr.com/medias/800Wx800H-1112673-1.jpg?context=bWFzdGVyfHJvb3R8MTE5OTg1fGltYWdlL2pwZWd8YUdKa0wyZzVOeTg0TVRFNU1UY3lNamN4TXpFeE9DODRNREJYZURnd01FaGZNVEV4TWpZM015MHhMbXB3Wnd8N2E0ZjdmNTU1YmJkMzBlNmQzZjkxZDQ5ZDg0YzY2ZDY3ZDJjZWJhNTU5MjcwMTViMjhjMTIxMTU5NDM2YWFhNg,,,https://static.bihr.pro/eBihr/Pictures/MOTOBRACKETS-pictures.zip,Spain Warehouse (Parts)
1062125,87558,269793,MOTOBRACKETS,MOTBC MOUNT KIT FAIRING BRACKET,Araña de carenado Suzuki,143.49,118.59,77.08,8430525875586,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,27216,1936,420,360,180,Negro,Acero,por unidad,Delantero derecho,https://api.mybihr.com/medias/800Wx800H-1062125-1.jpg?context=bWFzdGVyfHJvb3R8MTEwOTgxfGltYWdlL2pwZWd8YUdFMEwyZzJOaTg0TVRFNU1EVXdOamM1TURrME1pODRNREJYZURnd01FaGZNVEEyTWpFeU5TMHhMbXB3Wnd8YTMwYWI5MDVhZWFjYmUxNDg5NGQ2NWQ1MGRhYjQyOTQ5NmVmZWQxMjczNDNiZGRlYmMwMDI1NjJhYjYxNzYzZA,https://api.mybihr.com/medias/1062125-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDIwOTZ8aW1hZ2UvanBlZ3xhRGcwTDJnNU55OHhOVFF4TmpRek1qUXlOekF6T0M4eE1EWXlNVEkxTFRKZk9EQXdWM2c0TURCSXxjM2M2OWE2OWI3MjMzOTk4Yjc3ZmNiYTZiNWQ0YjhkMzhmZjFkNzQ3NmZlOTAwNzBmOTYwNmFmNzMzMzc3Yjkz,https://api.mybihr.com/medias/1062125-3-800Wx800H?context=bWFzdGVyfHJvb3R8NDgyOTl8aW1hZ2UvanBlZ3xhR1V6TDJnNE9TOHhOVFF4TmpRek1qZ3lNREkxTkM4eE1EWXlNVEkxTFROZk9EQXdWM2c0TURCSXxlMjk1ZTY3Y2Q4ZTNkZDliNDcwNzE1YzExOGI1YWUzNGRiNDI3YWZmNTRkNTBjNTZkNGM5YmEzZTM1NTUxNGMw,https://static.bihr.pro/eBihr/Pictures/MOTOBRACKETS-pictures.zip,Spain Warehouse (Parts)
1062108,87561,269101,MOTOBRACKETS,MOTBC MOUNT KIT FAIRING BRACKET,Araña de carenado BMW,154.00,127.27,82.73,8430525875616,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,15435,1092,265,353,165,,,,,https://api.mybihr.com/medias/1062108-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDgyNTF8aW1hZ2UvanBlZ3xhRGsyTDJnNU15OHhOVFF4TmpReU5EUXpNVFkwTmk4eE1EWXlNVEE0TFRGZk9EQXdWM2c0TURCSXw4NGQ1NjdhNzE5MmNjM2I1ZjA3M2ZmMjAxMGMyZDM5Zjg0YjY2ZDE3MjViNWQwYjc4ODhlMjFiODE3YjQ5OGQ2,,,https://static.bihr.pro/eBihr/Pictures/MOTOBRACKETS-pictures.zip,Spain Warehouse (Parts)
