PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Picture1,AllPicturesZIP,DeliveryPlant
1016810,,KV21X25X23.8S,NEEDLE ROLLER BEARING,NEEDL BEARING NEEDLE ROLLER,Jaula de agujas NEEDLE ROLLER BEARING - 21x25x24,17.18,14.20,8.52,400417,0,8482400000,0,1,FOR CONNECTING ROD,FOR CONNECTING ROD,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,89,32,87,41,25,,,,,https://api.mybihr.com/medias/1016810-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE3MzV8aW1hZ2UvanBlZ3xhRFJpTDJoak9DODRPVE00TmpFeE1URTBNREUwTHpFd01UWTRNVEF0TVY4NE1EQlhlRGd3TUVnfDQyMzVhYmZmYjBiY2JkOGE0YWQwZTg0NDgyM2YyY2M0MzM2YjQzN2NkZDg0NDBmZWU2ZDgxOGExMjY4ZWM2ZjM,https://static.bihr.pro/eBihr/Pictures/NEEDLE_ROLLER_BEARING-pictures.zip,Spain Warehouse (Parts)
1016804,,KV20X24X23.8S,NEEDLE ROLLER BEARING,NEEDL BEARING NEEDLE ROLLER,Jaula de agujas NEEDLE ROLLER BEARING - 20x24x24,17.21,14.22,8.53,400471,3,8482400000,0,1,FOR CONNECTING ROD,FOR CONNECTING ROD,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,87,32,92,38,25,,,,,https://api.mybihr.com/medias/1016804-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE3MzV8aW1hZ2UvanBlZ3xhRFUwTDJneVlpODRPVE0wTnpnMU9ERXdORFl5THpFd01UWTRNRFF0TVY4NE1EQlhlRGd3TUVnfGViMDQxMDI1NjgzNzUyYjg5NzMyYWVmZGJlZTc2NjdkOTkxODUwOWE4MzYxN2JiYWIxNjg0NjIwZmQ0MGEyYjg,https://static.bihr.pro/eBihr/Pictures/NEEDLE_ROLLER_BEARING-pictures.zip,Spain Warehouse (Parts)
1016789,,KV12X15X14.5,NEEDLE ROLLER BEARING,NEEDL BEARING NEEDLE ROLLER,"Jaula de agujas NEEDLE ROLLER BEARING - 12x15x14,5",12.10,10.00,6.00,400441,2,8482400000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,95,6,93,51,20,,,,,https://api.mybihr.com/medias/1016789-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE3MzV8aW1hZ2UvanBlZ3xhRGhpTDJnelpDODRPVFV5TnprM01qazROekU0THpFd01UWTNPRGt0TVY4NE1EQlhlRGd3TUVnfDhiMDIzMzE2ZWQzOTgzZmFhMTVmZmMwYjA5ZWFiYTg0Zjc1Yzc2YmY1YzM1MDBjNDJiNTk5Y2I1ZDM4YzEyYjI,https://static.bihr.pro/eBihr/Pictures/NEEDLE_ROLLER_BEARING-pictures.zip,Spain Warehouse (Parts)
1016790,,KV12X15X16.3S,NEEDLE ROLLER BEARING,NEEDL BEARING NEEDLE ROLLER,"Jaula de agujas NEEDLE ROLLER BEARING - 12x15x16,3",12.10,10.00,6.00,400442,4,8482400000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,97,8,83,65,18,,,,,https://api.mybihr.com/medias/1016790-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE3MzV8aW1hZ2UvanBlZ3xhREEyTDJnMU1DODRPVEF4TnpFMk9ETTJNemd5THpFd01UWTNPVEF0TVY4NE1EQlhlRGd3TUVnfGU5NTA2MzZmMTg5OWVhNTcyMzVjNjc0MWY1ZGFkZTM3N2UyYWFiOGVlZjIzYzhiNGZiZjkyNDQ0OGY3MzU0Yjc,https://static.bihr.pro/eBihr/Pictures/NEEDLE_ROLLER_BEARING-pictures.zip,Spain Warehouse (Parts)
1016797,,KV16X21X17.5S,NEEDLE ROLLER BEARING,NEEDL BEARING NEEDLE ROLLER,Jaula de agujas NEEDLE ROLLER BEARING - 16x21x17.5,15.23,12.59,7.55,400446,1,8482400000,0,1,FOR CONNECTING ROD,FOR CONNECTING ROD,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,104,20,93,51,22,,,,,https://api.mybihr.com/medias/1016797-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE3MzV8aW1hZ2UvanBlZ3xhRFJtTDJoa055ODRPVFV6TWpnMk5Ea3lNVGt3THpFd01UWTNPVGN0TVY4NE1EQlhlRGd3TUVnfDE3OTg5MmRhOTEwNDU0MmUyNjY5YmU3NTdhZTY3NWNkMDg5ZWJhY2YxMjgwNTgxMjI4YzA5YmQ3YmVmOGNjMGQ,https://static.bihr.pro/eBihr/Pictures/NEEDLE_ROLLER_BEARING-pictures.zip,Spain Warehouse (Parts)
1016800,,KV18X23X21.8S,NEEDLE ROLLER BEARING,NEEDL BEARING NEEDLE ROLLER,Jaula de agujas NEEDLE ROLLER BEARING - 18x23x22,15.08,12.46,7.48,400414,2,8482400000,0,1,FOR CONNECTING ROD,FOR CONNECTING ROD,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,115,20,90,51,25,,,,,https://api.mybihr.com/medias/1016800-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE3MzV8aW1hZ2UvanBlZ3xhR1JpTDJoa05DODRPVE0wTnpNM01ERTRPVEV3THpFd01UWTRNREF0TVY4NE1EQlhlRGd3TUVnfDhhMjhlNzNjZjkxMWRhOWQ3ZTU1Njc1YWYyOWVmZGQ5ODE5ZDFkMTA2ZDYzOTkyNTgzZmU0MjU5MTIxNmRhNzU,https://static.bihr.pro/eBihr/Pictures/NEEDLE_ROLLER_BEARING-pictures.zip,Spain Warehouse (Parts)
1016801,,KV18X23X23.8S,NEEDLE ROLLER BEARING,NEEDL BEARING NEEDLE ROLLER,Jaula de agujas NEEDLE ROLLER BEARING - 18x23x24,15.08,12.46,7.48,400402,2,8482400000,0,1,FOR CONNECTING ROD,FOR CONNECTING ROD,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,75,33,86,35,25,,,,,https://api.mybihr.com/medias/1016801-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE3MzV8aW1hZ2UvanBlZ3xhR0kyTDJoa1ppODRPVEkyTkRVMU5USTVOVEF5THpFd01UWTRNREV0TVY4NE1EQlhlRGd3TUVnfDU1ZGM1MDk3YjBiMWYyYTc1ZTc2OWYzNDdjMzE2Y2FhNTQ1Yjg5MTgxYzg3OTRiODIzOTI1MjM0NGIzN2ZhNDk,https://static.bihr.pro/eBihr/Pictures/NEEDLE_ROLLER_BEARING-pictures.zip,Spain Warehouse (Parts)
1016802,,KV19X24X24.8Z,NEEDLE ROLLER BEARING,NEEDL BEARING NEEDLE ROLLER,Jaula de agujas NEEDLE ROLLER BEARING - 19x24x24.8,17.10,14.13,8.48,400436,0,8482400000,0,1,FOR CONNECTING ROD,FOR CONNECTING ROD,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,86,37,91,38,25,,,,,https://api.mybihr.com/medias/1016802-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE3MzV8aW1hZ2UvanBlZ3xhR1JrTDJobVpDODRPVFV5TmpjeE16Y3hNamswTHpFd01UWTRNREl0TVY4NE1EQlhlRGd3TUVnfDMyNWMzZTFjYjdhZmZjNmE4OTI3NjcwNmM5MTFhNTRhYzhiZGZhYjg0NDc1YmZlMjI4NjRjNzc4YTE2ODVlY2I,https://static.bihr.pro/eBihr/Pictures/NEEDLE_ROLLER_BEARING-pictures.zip,Spain Warehouse (Parts)
1016806,,KV20X25X22.8S,NEEDLE ROLLER BEARING,NEEDL BEARING NEEDLE ROLLER,Jaula de agujas NEEDLE ROLLER BEARING - 20x25x23,17.10,14.13,8.48,400431,0,8482400000,0,1,FOR CONNECTING ROD,FOR CONNECTING ROD,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,100,25,93,43,25,,,,,https://api.mybihr.com/medias/1016806-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE3MzV8aW1hZ2UvanBlZ3xhRFkyTDJneE15ODRPVEE0TXpBeU5qZ3dNRGswTHpFd01UWTRNRFl0TVY4NE1EQlhlRGd3TUVnfDk5ODc5MzM4MjZmYjk5MWJmNmE1YTA2NTE5ZGU5N2E4ZGM3OTMzYjIzYWQzYjkzMDE2ZjU4ZGM1YjQ4ZDk3MGE,https://static.bihr.pro/eBihr/Pictures/NEEDLE_ROLLER_BEARING-pictures.zip,Spain Warehouse (Parts)
1016811,,KV22X27X22.8S,NEEDLE ROLLER BEARING,NEEDL BEARING NEEDLE ROLLER,Jaula de agujas NEEDLE ROLLER BEARING - 22x27x23,17.28,14.28,8.57,400476,0,8482400000,0,1,FOR CONNECTING ROD,FOR CONNECTING ROD,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,99,55,94,35,30,,,,,https://api.mybihr.com/medias/1016811-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE3MzV8aW1hZ2UvanBlZ3xhR1k1TDJnMVlTODRPVEE0TlRJNE56UTJOVEkyTHpFd01UWTRNVEV0TVY4NE1EQlhlRGd3TUVnfGQyMGYwYzFjNjVhNDA4YWIyNzkxNzMzNTAzZjA3ZmY3NDc3ODk0MGM2YmJmZWJiODUyMTE1MWUxNjMyMjMzMWY,https://static.bihr.pro/eBihr/Pictures/NEEDLE_ROLLER_BEARING-pictures.zip,Spain Warehouse (Parts)
