PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Composición,Composición del kit,Diámetro int/ext (mm/mm),Embalaje,Espesor (mm),Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1018273,,F1616A,NEWFREN,NEWFR PLATE FRICTION,Kit de discos de embrague NEWFREN Standard,120.27,99.40,64.61,8025832165606,0,8714105000,0,1,"<p><strong>OE-STANDARD LINE</strong></p>
<p>Est&aacute;n dise&ntilde;ados para sustituir al embrague OE, manteniendo las mismas prestaciones y durabilidad. Los juegos de discos de embrague OE-Standard se fabrican con materiales de primera calidad. Son productos extremadamente fiables. El material de fricci&oacute;n de los discos es org&aacute;nico. El compuesto del material org&aacute;nico se elige en funci&oacute;n del tipo y la utilizaci&oacute;n de la motocicleta, optimizando as&iacute; el rendimiento, aunque dentro de las directrices del fabricante.</p>","
OE-STANDARD LINE

Están diseñados para sustituir al embrague OE, manteniendo las mismas prestaciones y durabilidad. Los juegos de discos de embrague OE-Standard se fabrican con materiales de primera calidad. Son productos extremadamente fiables. El material de fricción de los discos es orgánico. El compuesto del material orgánico se elige en función del tipo y la utilización de la motocicleta, optimizando así el rendimiento, aunque dentro de las directrices del fabricante.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,1318,438,181,182,40,Orgánica,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1018273-1.jpg?context=bWFzdGVyfHJvb3R8Mjk5NTcyfGltYWdlL2pwZWd8YUdFMkwyZ3haQzg0TVRRMk56UXdPRGN4TVRjeE1DODRNREJYZURnd01FaGZNVEF4T0RJM015MHhMbXB3Wnd8M2Y2MGVjMTRkODRmMzFhMmFiZjY1YTUyYmI2ODNlZDk5YWMwM2QyZGNkMjM0ZjgzOTY2ZWVkZjA1MTRkNmFmNQ,,,https://static.bihr.pro/eBihr/Pictures/NEWFREN-pictures.zip,Spain Warehouse (Parts)
1018335,,F1971A,NEWFREN,NEWFR PLATE FRICTION,Kit de discos de embrague NEWFREN Standard,81.68,67.50,43.88,8025832037538,1,8714105000,0,1,"<p><strong>OE-STANDARD LINE</strong></p>
<p>Est&aacute;n dise&ntilde;ados para sustituir al embrague OE, manteniendo las mismas prestaciones y durabilidad. Los juegos de discos de embrague OE-Standard se fabrican con materiales de primera calidad. Son productos extremadamente fiables. El material de fricci&oacute;n de los discos es org&aacute;nico. El compuesto del material org&aacute;nico se elige en funci&oacute;n del tipo y la utilizaci&oacute;n de la motocicleta, optimizando as&iacute; el rendimiento, aunque dentro de las directrices del fabricante.</p>","
OE-STANDARD LINE

Están diseñados para sustituir al embrague OE, manteniendo las mismas prestaciones y durabilidad. Los juegos de discos de embrague OE-Standard se fabrican con materiales de primera calidad. Son productos extremadamente fiables. El material de fricción de los discos es orgánico. El compuesto del material orgánico se elige en función del tipo y la utilización de la motocicleta, optimizando así el rendimiento, aunque dentro de las directrices del fabricante.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,914,275,164,164,34,Orgánica,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1018335-1.jpg?context=bWFzdGVyfHJvb3R8Mjk5NTcyfGltYWdlL2pwZWd8YURReEwyZzVOeTg0TVRRMk9UWTRNRFV4TnpFMU1DODRNREJYZURnd01FaGZNVEF4T0RNek5TMHhMbXB3Wnd8NTU3NmJlOTFlMGY3MjNmNWM0ZTNlYzNlM2Q2MjlkOTQ4M2YxZmZkOTU0MmE3OTk2YzE0NmNmYmYyNDZmNDE3Zg,,,https://static.bihr.pro/eBihr/Pictures/NEWFREN-pictures.zip,Spain Warehouse (Parts)
1018143,,G0718,NEWFREN,NEWFR BASKET CLUTCH,Campana de embrague NEWFREN,162.14,134.00,87.10,8025832232247,0,8714105000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html ; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left ; margin:0pt 0pt 0pt 0pt ; }.csC235ED31{color:#000 ; background-color:transparent ; font-weight:normal ; font-style:normal ; }</style> </head> <body> <p>Newfren clutches offer long life, performance and excellent reliability under all conditions. Centrifugal clutches are available for all the popular scooters. We offer replacement housings for all popular scooters, which are completely interchangeable with OE. Given the critical nature of scooter clutch assemblies, we recommend that you change the clutch housing when you change the clutch mechanism</p></body> </html>","       Newfren clutches offer long life, performance and excellent reliability under all conditions. Centrifugal clutches are available for all the popular scooters. We offer replacement housings for all popular scooters, which are completely interchangeable with OE. Given the critical nature of scooter clutch assemblies, we recommend that you change the clutch housing when you change the clutch mechanism ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2367,2040,180,173,76,Acero,,,por unidad,,https://api.mybihr.com/medias/1018143-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTc0MjZ8aW1hZ2UvanBlZ3xhR05rTDJoak5DODRPVE00TnpBMU1qSXpOekV3THpFd01UZ3hORE10TVY4NE1EQlhlRGd3TUVnfGNlMjdlZjIyYzdkMTNmMWZmNTBmOTAwN2M3YjQ2NjM2ZDI3YjhlMzU4MTE1ZDNjN2MzNGMxODE2ZmZmZTAzYTQ,,,https://static.bihr.pro/eBihr/Pictures/NEWFREN-pictures.zip,Spain Warehouse (Parts)
1018155,,FC1383,NEWFREN,NEWFR CLUTCH CENTRIFUGAL,Embrague NEWFREN Malaguti,81.55,67.40,43.81,8025832198314,2,8714105000,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,411,354,119,119,29,,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1018155-1.jpg?context=bWFzdGVyfHJvb3R8MTE5MDg3fGltYWdlL2pwZWd8YURreUwyZ3dNeTg0TWpJME5UTXdNakExT1RBek9DODRNREJYZURnd01FaGZNVEF4T0RFMU5TMHhMbXB3Wnd8YTMwODljY2YxNTE2ODdhYjA1ZTQwYWZmMDViMGU4ZTk0YjhhN2Y3NmM0NGU4MTM1NTlmN2Q1NTI5ZjljNGZmMQ,,,https://static.bihr.pro/eBihr/Pictures/NEWFREN-pictures.zip,Spain Warehouse (Parts)
1018189,,F1411AC,NEWFREN,NEWFR PLATE STEEL&FRICTIONS,Kit de discos + separadores de embrague NEWFREN Standard,74.78,61.80,40.17,8025832031611,0,8714105000,0,1,"<p><strong>OE-STANDARD LINE</strong></p>
<p>Est&aacute;n dise&ntilde;ados para sustituir al embrague OE, manteniendo las mismas prestaciones y durabilidad. Los juegos de discos de embrague OE-Standard se fabrican con materiales de primera calidad. Son productos extremadamente fiables. El material de fricci&oacute;n de los discos es org&aacute;nico. El compuesto del material org&aacute;nico se elige en funci&oacute;n del tipo y la utilizaci&oacute;n de la motocicleta, optimizando as&iacute; el rendimiento, aunque dentro de las directrices del fabricante.</p>","
OE-STANDARD LINE

Están diseñados para sustituir al embrague OE, manteniendo las mismas prestaciones y durabilidad. Los juegos de discos de embrague OE-Standard se fabrican con materiales de primera calidad. Son productos extremadamente fiables. El material de fricción de los discos es orgánico. El compuesto del material orgánico se elige en función del tipo y la utilización de la motocicleta, optimizando así el rendimiento, aunque dentro de las directrices del fabricante.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,697,374,153,157,29,,,,por unidad,,https://api.mybihr.com/medias/1018189-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjA4NTZ8aW1hZ2UvanBlZ3xhRE13TDJnME5DODRPVFV5T1RZMk5EUTNNVE0wTHpFd01UZ3hPRGt0TVY4NE1EQlhlRGd3TUVnfGVmYTFlMzQwOTAzYTI2ZjdmMDdhMjY5YjIzY2NmNzIyODYzNDZhYzJjZjRmOTkxYjNjZGRhYjEwNDY5YTE3ZjY,,,https://static.bihr.pro/eBihr/Pictures/NEWFREN-pictures.zip,Spain Warehouse (Parts)
1018201,,F1450R,NEWFREN,NEWFR PLATE FRICTION,Kit de discos de embrague NEWFREN Performance,166.13,137.30,89.25,8025832280569,1,8714105000,0,1,"<p><strong>PERFORMANCE LINE</strong></p>
<p>V&aacute;lidos tambi&eacute;n para el uso deportivo. La gama Performance ha sido pensada para un uso en carretera intensivo, pero tambi&eacute;n para uso deportivo para soportar las altas exigencias y para dar prestaciones de alto nivel. Los materiales de fricci&oacute;n, utilizados en los discos conductores del embrague en ba&ntilde;o de aceite, es el Paper Carbon. Los discos conducidos (separadores) est&aacute;n fabricados en un acero especial que asegura la m&aacute;xima resistencia y ausencias de deformaciones.</p>","
PERFORMANCE LINE

Válidos también para el uso deportivo. La gama Performance ha sido pensada para un uso en carretera intensivo, pero también para uso deportivo para soportar las altas exigencias y para dar prestaciones de alto nivel. Los materiales de fricción, utilizados en los discos conductores del embrague en baño de aceite, es el Paper Carbon. Los discos conducidos (separadores) están fabricados en un acero especial que asegura la máxima resistencia y ausencias de deformaciones.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,983,316,162,164,37,Orgánica,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1018201-1.jpg?context=bWFzdGVyfHJvb3R8Mjk5NTcyfGltYWdlL2pwZWd8YURNNUwyaGhPUzg0TVRRMk56TTVPVFl3TWpJd05pODRNREJYZURnd01FaGZNVEF4T0RJd01TMHhMbXB3Wnd8MzZhMzY3MWQwZmE0ZDFlMDBkOWIxNTAyMzM5YjNhM2FlYmQ1YjUwN2I5YjFiMjA3ZDgyZjRkMjY2ZGUxOTZkMg,,,https://static.bihr.pro/eBihr/Pictures/NEWFREN-pictures.zip,Spain Warehouse (Parts)
1018203,,F1451R,NEWFREN,NEWFR PLATE FRICTION,Kit de discos de embrague NEWFREN Performance,166.50,137.60,89.44,8025832280583,2,8714105000,0,1,"<p><strong>PERFORMANCE LINE</strong></p>
<p>V&aacute;lidos tambi&eacute;n para el uso deportivo. La gama Performance ha sido pensada para un uso en carretera intensivo, pero tambi&eacute;n para uso deportivo para soportar las altas exigencias y para dar prestaciones de alto nivel. Los materiales de fricci&oacute;n, utilizados en los discos conductores del embrague en ba&ntilde;o de aceite, es el Paper Carbon. Los discos conducidos (separadores) est&aacute;n fabricados en un acero especial que asegura la m&aacute;xima resistencia y ausencias de deformaciones.</p>","
PERFORMANCE LINE

Válidos también para el uso deportivo. La gama Performance ha sido pensada para un uso en carretera intensivo, pero también para uso deportivo para soportar las altas exigencias y para dar prestaciones de alto nivel. Los materiales de fricción, utilizados en los discos conductores del embrague en baño de aceite, es el Paper Carbon. Los discos conducidos (separadores) están fabricados en un acero especial que asegura la máxima resistencia y ausencias de deformaciones.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,1088,276,161,169,40,Orgánica,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1018203-1.jpg?context=bWFzdGVyfHJvb3R8Mjk5NTcyfGltYWdlL2pwZWd8YUdFMkwyaGhaQzg0TVRRMk56TTVPVGM1T0RneE5DODRNREJYZURnd01FaGZNVEF4T0RJd015MHhMbXB3Wnd8NDEwMjlhMzRhNDhjMmQyYzA2MjBkN2IwZDAzNmFjNTA3Y2IwODliMTA3M2JlY2RkNDNkNTFlNDVjMDYyN2VmZg,,,https://static.bihr.pro/eBihr/Pictures/NEWFREN-pictures.zip,Spain Warehouse (Parts)
1018211,,F1468SR,NEWFREN,NEWFR PLATE STEEL&FRICTIONS,Kit de discos + separadores de embrague NEWFREN Performance,285.08,235.60,153.14,8025832292906,2,8714105000,0,1,"<p><strong>PERFORMANCE LINE</strong></p>
<p>V&aacute;lidos tambi&eacute;n para el uso deportivo. La gama Performance ha sido pensada para un uso en carretera intensivo, pero tambi&eacute;n para uso deportivo para soportar las altas exigencias y para dar prestaciones de alto nivel. Los materiales de fricci&oacute;n, utilizados en los discos conductores del embrague en ba&ntilde;o de aceite, es el Paper Carbon. Los discos conducidos (separadores) est&aacute;n fabricados en un acero especial que asegura la m&aacute;xima resistencia y ausencias de deformaciones.</p>","
PERFORMANCE LINE

Válidos también para el uso deportivo. La gama Performance ha sido pensada para un uso en carretera intensivo, pero también para uso deportivo para soportar las altas exigencias y para dar prestaciones de alto nivel. Los materiales de fricción, utilizados en los discos conductores del embrague en baño de aceite, es el Paper Carbon. Los discos conducidos (separadores) están fabricados en un acero especial que asegura la máxima resistencia y ausencias de deformaciones.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2768,1135,185,187,80,,,,por unidad,,https://api.mybihr.com/medias/1018211-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjEwMTQyM3xpbWFnZS9qcGVnfGFETXdMMmc0TXk4NE9UTTROVGt6T1RjMk16VXdMekV3TVRneU1URXRNVjg0TURCWGVEZ3dNRWd8MDI5MGVlMDE2ODY3ZDUxZWRmZmZlYmM1MTQzZjc2NjNhYzFhY2JkOGE2MDU3YWFkZDQxYmEyOGVmMzg2YjYxNg,,,https://static.bihr.pro/eBihr/Pictures/NEWFREN-pictures.zip,Spain Warehouse (Parts)
1018354,,F2704AC,NEWFREN,NEWFR PLATE FRICTION,Kit de discos + separadores de embrague NEWFREN Standard,203.40,168.10,109.27,8025832275800,0,8714105000,0,1,"<p><strong>OE-STANDARD LINE</strong></p>
<p>Est&aacute;n dise&ntilde;ados para sustituir al embrague OE, manteniendo las mismas prestaciones y durabilidad. Los juegos de discos de embrague OE-Standard se fabrican con materiales de primera calidad. Son productos extremadamente fiables. El material de fricci&oacute;n de los discos es org&aacute;nico. El compuesto del material org&aacute;nico se elige en funci&oacute;n del tipo y la utilizaci&oacute;n de la motocicleta, optimizando as&iacute; el rendimiento, aunque dentro de las directrices del fabricante.</p>","
OE-STANDARD LINE

Están diseñados para sustituir al embrague OE, manteniendo las mismas prestaciones y durabilidad. Los juegos de discos de embrague OE-Standard se fabrican con materiales de primera calidad. Son productos extremadamente fiables. El material de fricción de los discos es orgánico. El compuesto del material orgánico se elige en función del tipo y la utilización de la motocicleta, optimizando así el rendimiento, aunque dentro de las directrices del fabricante.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2933,1561,189,187,83,,,,por unidad,,https://api.mybihr.com/medias/1018354-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDE3MzZ8aW1hZ2UvanBlZ3xhRFJrTDJoak1pODRPVFV5T1RZd016VXlNamcyTHpFd01UZ3pOVFF0TVY4NE1EQlhlRGd3TUVnfGVhMGZhZGJhZDEzN2EwNTU1YTU1OWFkYzQxY2M5MzNiMTdmMTVkYTM5N2ZhYjc0ZTVkN2NhYjhlYjg5NzU0ODA,,,https://static.bihr.pro/eBihr/Pictures/NEWFREN-pictures.zip,Spain Warehouse (Parts)
1018357,,F2715A,NEWFREN,NEWFR PLATE FRICTION,Kit de discos de embrague NEWFREN Standard,79.86,66.00,42.90,8025832276180,1,8714105000,0,1,"<p><strong>OE-STANDARD LINE</strong></p>
<p>Est&aacute;n dise&ntilde;ados para sustituir al embrague OE, manteniendo las mismas prestaciones y durabilidad. Los juegos de discos de embrague OE-Standard se fabrican con materiales de primera calidad. Son productos extremadamente fiables. El material de fricci&oacute;n de los discos es org&aacute;nico. El compuesto del material org&aacute;nico se elige en funci&oacute;n del tipo y la utilizaci&oacute;n de la motocicleta, optimizando as&iacute; el rendimiento, aunque dentro de las directrices del fabricante.</p>","
OE-STANDARD LINE

Están diseñados para sustituir al embrague OE, manteniendo las mismas prestaciones y durabilidad. Los juegos de discos de embrague OE-Standard se fabrican con materiales de primera calidad. Son productos extremadamente fiables. El material de fricción de los discos es orgánico. El compuesto del material orgánico se elige en función del tipo y la utilización de la motocicleta, optimizando así el rendimiento, aunque dentro de las directrices del fabricante.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,770,299,164,162,29,Orgánica,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1018357-1.jpg?context=bWFzdGVyfHJvb3R8Mjk5NTcyfGltYWdlL2pwZWd8YURFMkwyaGhZUzg0TVRRMk9UWTRNelkyTWpnM09DODRNREJYZURnd01FaGZNVEF4T0RNMU55MHhMbXB3Wnd8NjYzZjFmYmFlOTJiYWNmYmEwYzY3NDc5NjQxYjQ4ODE1MDI3MWJlY2ZiY2FlZjA3MDZlOTMzMmE5MzA0MjJmYg,,,https://static.bihr.pro/eBihr/Pictures/NEWFREN-pictures.zip,Spain Warehouse (Parts)
