PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm)," Espesor",Anchura (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Embalaje,Espesor (mm),Picture1,Picture2,AllPicturesZIP,Document1,DeliveryPlant
1016725,,62/32C3,NTN,NTN BEARING,Cojinete del cigüeñal NTN 32x65x17mm,24.78,20.48,12.29,4547359344318,0,8714109090,0,1,BEARING 62 32 C3,BEARING 62 32 C3,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,160,230,75,79,27,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016725-1.jpg?context=bWFzdGVyfHJvb3R8NDEzMTl8aW1hZ2UvanBlZ3xhRFJrTDJnek1TODJNalE0TmpJM016a3hOamsxT0M4NE1EQlhlRGd3TUVoZk1UQXhOamN5TlMweExtcHdad3xlODliZjA4NjFiZmRiMGUzYmYxN2NmOTM0N2MwMWJkMTU0N2FlMDY0OGExNGE2ZDQxMjNlNjc2ZTUzZjQ1OGIz,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016733,,6205NRC3,NTN,NTN BEARING,Cojinete del cigüeñal NTN 25x52x15mm,14.23,11.76,7.06,4547359356632,0,8714109090,0,1,BEARING 6205NR C3,BEARING 6205NR C3,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,65,130,56,58,20,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016733-1.jpg?context=bWFzdGVyfHJvb3R8NDQ2NzR8aW1hZ2UvanBlZ3xhRGxrTDJobU5DODJNalE0TmpJM05UUTRPVGd5TWk4NE1EQlhlRGd3TUVoZk1UQXhOamN6TXkweExtcHdad3xiNjY3NjNlODUyNzc3YTMwZjcxODhmNWU3MWQ1ZGE0MDM4MDczZTRmZDVjZDc5MTIyNmE2ZGZhNzc3ZWY0MTVi,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016744,,6208X23JR2W3-2C4,NTN,NTN BEARING,Cojinete del cigüeñal NTN 40x80x18mm,73.69,60.90,36.54,411079,0,8714109090,0,1,BEARING 6208X23 JR2X 3-2 C4,BEARING 6208X23 JR2X 3-2 C4,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,227,385,90,90,28,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016744-1.jpg?context=bWFzdGVyfHJvb3R8NDEzMTl8aW1hZ2UvanBlZ3xhR1JpTDJnMFppOHhNREF4TVRNeE5qZzRNall6T1Rndk9EQXdWM2c0TURCSVh6RXdNVFkzTkRRdE1TNXFjR2N8MTM5YmJlYmVmOWI1ZjQ1YWNmYTdiMjA0OTlmYzQ4ZjU3OGJlOTYyZTFlMDQzM2M3NDI4MzEwNjA2MzcwMDM1YQ,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016721,,6005NRC3,NTN,NTN BEARING,Cojinete del cigüeñal NTN 25x47x12mm,28.59,23.63,14.18,4547359324808,0,8714109090,0,1,BEARING 6005NR C3,BEARING 6005NR C3,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,65,90,56,58,20,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016721-1.jpg?context=bWFzdGVyfHJvb3R8NDQ2NzR8aW1hZ2UvanBlZ3xhRE15TDJneE5pODJNalE0TmpJM016RXpNRFV5Tmk4NE1EQlhlRGd3TUVoZk1UQXhOamN5TVMweExtcHdad3w1M2U3MDNlYWM2MDRjN2VlMTU0NDZhYzJmY2QxMjVhODY2ZGZlNzA2MzYxMzcyNDc0YTZhM2MyM2Q2NGRhODhi,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016765,,NJ206EAT2X,NTN,NTN BEARING,Cojinete del cigüeñal NTN 30x62x16mm,60.98,50.40,30.24,411111,0,8714109090,0,1,ROLLER BEARINGS NTN 30X62X16,ROLLER BEARINGS NTN 30X62X16,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,154,228,79,81,24,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016765-1.jpg?context=bWFzdGVyfHJvb3R8NDY1NTR8aW1hZ2UvanBlZ3xhREJqTDJnd1pTODJNalE1TVRJMk1UQXdPVGsxTUM4NE1EQlhlRGd3TUVoZk1UQXhOamMyTlMweExtcHdad3w2NWNiMzMxMjhiZTEyNGUyODA0NTc4NmNkNjNiYzhmZjQ3MjIyOGIyYmQ0OGRiNDg0N2UyY2Q5NDAzNjNmNmU3,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016762,,7E-HMK2230,NTN,NTN BEARING,Rodamiento de agujas NTN - 22X29X30,14.74,12.18,7.31,4547359425109,0,8482400000,0,1,DRAWN CUP NEEDLE BEARING 22X29X30,DRAWN CUP NEEDLE BEARING 22X29X30,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,81,50,41,46,43,,,,,,,,,https://api.mybihr.com/medias/1016762-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzA4NjB8aW1hZ2UvanBlZ3xhRFEzTDJoaFlTODRPVFV5TnpFNU9UTXpORGN3THpFd01UWTNOakl0TVY4NE1EQlhlRGd3TUVnfGNkN2IxMjRiZjgyZTIwY2YzZDhlODE5MGJhNWQyYWVlMjZkM2Y0ZmExNmFhZWZjYjY5NDUxNDNiMmIxYmU0NzA,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016769,,TMB308X4JR2C3,NTN,NTN BEARING,Cojinete del cigüeñal NTN 40x90x23mm,38.76,32.03,19.22,411032,0,8714109090,0,1,BEARING 6308X,BEARING 6308X,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,313,667,96,102,32,,,,,,,,,https://api.mybihr.com/medias/1016769-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTQ0MTl8aW1hZ2UvanBlZ3xhR1F4TDJoalpDODRPVFExT0RJNU9UQTBOREUwTHpFd01UWTNOamt0TVY4NE1EQlhlRGd3TUVnfDY1YWMzNDZkMzNiYjc5YWM3ZDI4MWI1Mjc0ODg4MDAzNDNiOTdkOTQ2MDliMzQwM2RmNTVmZGFiZTU1ZGI1Yjk,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016784,,HK2030ZWD,NTN,NTN BEARING NEEDLE SOCKET,Rodamiento de agujas NTN - 20X26X30,14.62,12.08,7.25,4547359071795,0,8482400000,0,1,DRAWN CUP NEEDLE BEARING 20X26X30,DRAWN CUP NEEDLE BEARING 20X26X30,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,76,45,41,43,43,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016784-1.jpg?context=bWFzdGVyfHJvb3R8NTA2MDJ8aW1hZ2UvanBlZ3xhR0ZrTDJobU1pODJNalE1TVRJMk16VXdNRE14T0M4NE1EQlhlRGd3TUVoZk1UQXhOamM0TkMweExtcHdad3xkNjUwMTgyY2RhMDY3MmI3NWE1NmY5MTYwMGU1NDM2Y2FmZTBiNzIyY2Q3ZGZlNTZiYmEwYjMyNzk4MDNkNjk2,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016786,,HK2220C,NTN,NTN BEARING NEEDLE SOCKET,Rodamiento de agujas NTN - 22X28X20,14.62,12.08,7.25,411604,0,8482400000,0,1,DRAWN CUP NEEDLE BEARING 22X28X20,DRAWN CUP NEEDLE BEARING 22X28X20,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,45,58,39,43,27,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016786-1.jpg?context=bWFzdGVyfHJvb3R8NjA1NTN8aW1hZ2UvanBlZ3xhR1ZoTDJobVpDODJNalE1TVRJMk16ZzVNelV6TkM4NE1EQlhlRGd3TUVoZk1UQXhOamM0TmkweExtcHdad3w1ZDQwYzExNjhlMmJkMWU4YTkzMGM1Y2JiNTQxMmJkMjA1NTQyYjAyMGViYWRmM2Y3MGI4ZWM5MWY3NWU1OTFm,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016748,,6303C3,NTN,NTN BEARING,Cojinete del cigüeñal NTN 17x47x14 mm,8.89,7.35,4.41,4547359572841,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,67,120,54,56,22,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016748-1.jpg?context=bWFzdGVyfHJvb3R8NDEzMTl8aW1hZ2UvanBlZ3xhR05tTDJnek5DODJNalE1TVRJMU9EVTROVEV4T0M4NE1EQlhlRGd3TUVoZk1UQXhOamMwT0MweExtcHdad3xkODM2MWY2MGRmNDU2YWI4NmUwNTljZTZlY2YxYmZjNTdkZTJmNTkyZTAzMDk3ZTA2ODBjZmU4NDhjODlhNDRi,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
