PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,AllPicturesZIP,DeliveryPlant
1047408,,PWFFK-H11-521,PIVOT WORKS,PWORK REPAIR KIT FORK,Kit de reparación de horquillas  PIVOT WORKS  Honda CRF250R,123.01,101.66,61.00,PWFFK-H11-521,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs2654AE3A{text-align:left;margin:0pt 0pt 0pt 0pt;}.csE8AC24F0{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs342AB064{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.cs37063928{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>The Pivot Works shock rebuild kit is perfect to restore your shock.</p><p> </p><p>Kit includes:</p><ul start=""1""> <li>OE replacement complete assemblies (Aluminum body, oil seal, dust seal, busing, internal guide bushing, O-ring, bumper).</li><li>Bladder</li><li>Bumper</li><li>Shaft nut</li><li>Piston ring and O-ring</li></ul> </body> </html>","       The Pivot Works shock rebuild kit is perfect to restore your shock. Kit includes: OE replacement complete assemblies (Aluminum body, oil seal, dust seal, busing, internal guide bushing, O-ring, bumper).BladderBumperShaft nutPiston ring and O-ring  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1062,282,291,152,24,https://api.mybihr.com/medias/1047408-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzUyOTF8aW1hZ2UvanBlZ3xhRFF5TDJnNU1TODRPVGN3T1RRek9ESXpPVEF5THpFd05EYzBNRGd0TVY4NE1EQlhlRGd3TUVnfDI2OGVjNTc5MmFhYjMxNjFkZjhmNGRjM2QzNzgxMWVhMDNiNTAzYmMxYWYzYzUwYzUzMDc2ZTQ2YjdiOTQxNTE,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047419,,PWFFK-K11-021,PIVOT WORKS,PWORK REPAIR KIT CROSS FORK,Kit de reparación de horquillas  PIVOT WORKS KX450F 09-11,120.21,99.35,59.61,PWFFK-K11-021,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,970,262,290,152,22,https://api.mybihr.com/medias/1047419-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzQ0NjJ8aW1hZ2UvanBlZ3xhR0V3TDJneVpDODRPVGN3T1RRMU1qQXdNVFU0THpFd05EYzBNVGt0TVY4NE1EQlhlRGd3TUVnfGZhNTk1ODkyYTI4Mzk0ZDI5NjEyY2I0YTVjNzEwZGNhYWEyNGZmZDIwODc3MWFiMWIzOWE5ZWYwYmY0Nzc5NmI,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047205,,PWSHK-H24-008,PIVOT WORKS,PWORK BEARING KIT SHOCK ABSORBER,Kit de Cojinetes de Amtortiguador PIVOT WORKS HONDA CR80R 1996-02 ET CR85R 2003-07,67.59,55.86,33.52,PWSHK-H24-008,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1390,150,213,145,45,https://api.mybihr.com/medias/1047205-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjEzNDcwfGltYWdlL2pwZWd8YURobUwyaG1OUzg0T1Rjd09UQTFOREU1T0RBMkx6RXdORGN5TURVdE1WODRNREJYZURnd01FZ3xjOTJlYjZiNDBlNTBiYmNkNDE3Y2IxMjUyOTQzMWQ3ZTZhNmY0ZGFhNWQ4NzlmODFjOTQ2ZTY2MzJlZGIwZTAx,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047209,,PWSHKH19006,PIVOT WORKS,PWORK BEARING KIT SHOCK ABSORBER,Kit de Cojinetes de Amtortiguador PIVOT WORKS HONDA XR400R 1996-97,85.27,70.47,42.28,PWSHKH19006,0,8714109090,0,1,Bearings and seals.,Bearings and seals.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1390,160,213,145,45,https://api.mybihr.com/medias/1047209-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTkyNTJ8aW1hZ2UvanBlZ3xhRFkzTDJoaFpTODRPVGN3T1RBMk1EQTVOak13THpFd05EY3lNRGt0TVY4NE1EQlhlRGd3TUVnfGIxMDYzOTY0ZjhjODBhZmMzMmIyYjhjZTUxOWRlMDg3YmM3NjBkZjEwZjllMTYwMjY0NGVjMDFmNWE2Yzc2ODE,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047213,,PWSHK-K08-020,PIVOT WORKS,PWORK BEARING KIT SHOCK ABSORBER,Kit de Cojinetes de Amtortiguador PIVOT WORKS KAWASAKI KDX200 / 220 1989-06 ET KLX300R 1997-06,67.59,55.86,33.52,PWSHK-K08-020,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1390,140,213,145,45,https://api.mybihr.com/medias/1047213-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk5NzUyfGltYWdlL2pwZWd8YURnNEwyZzVOUzg0T1Rjd09UQTJOemsyTURZeUx6RXdORGN5TVRNdE1WODRNREJYZURnd01FZ3xjNjI5YzhjMTk5NDBmZmQ5NjM4NmM0OGRkNjljOWU1MGE3NjAyYWEzZGE0ODE5NmJhOWZmY2FlY2M4ZGYzYzQy,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047215,,PWSHK-K07-521,PIVOT WORKS,PWORK BEARING KIT SHOCK ABSORBER,Kit de Cojinetes de Amtortiguador PIVOT WORKS KAWASAKI KX125 / 250 1989-97 ET KX500 1989-00,64.70,53.47,32.08,PWSHK-K07-521,0,8714109090,0,1,Bearings and seals.,Bearings and seals.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1390,130,213,145,45,https://api.mybihr.com/medias/1047215-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDg3MzB8aW1hZ2UvanBlZ3xhREprTDJnellTODRPVGN3T1RBM016SXdNelV3THpFd05EY3lNVFV0TVY4NE1EQlhlRGd3TUVnfDhmMzUxYmZhNTgxOTBjM2FhYWRkZDEyYjhhMGM3MDc5NDAzZmE1MGJjZGY5YTMwOGJlZDQ0ZTU4ODgxMTE1OTA,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047216,,PWSHK-K10-006,PIVOT WORKS,PWORK BEARING KIT SHOCK ABSORBER,Kit de cojinetes de amortiguador PIVOT WORKS KAWASAKI KX65 2001-07,42.63,35.23,21.14,PWSHK-K10-006,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1390,140,213,145,45,https://api.mybihr.com/medias/800Wx800H-1047216-1.jpg?context=bWFzdGVyfHJvb3R8MzI2NDV8aW1hZ2UvanBlZ3xhRGRsTDJneFlTODVOamcyTnpZM05UQTBOVGt4T0M4NE1EQlhlRGd3TUVoZk1UQTBOekl4TmkweExtcHdad3w2YTIyYmEwNGEwOWNmOTE4Y2RlZGQ5MDExNTRjYzMwYzdmNmU2MDI5MTY2OGU0MzVkZmY5MWVmMTE5ZmEwOWQz,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047217,,PWSHK-K11-021,PIVOT WORKS,PWORK BEARING KIT SHOCK ABSORBER,"Kit de Cojinetes de Amtortiguador PIVOT WORKS KAWASAKI KX80-85-100 98-12, KX125-250 98-09, KXF250 04-12, KXF450 2006-12",64.70,53.47,32.08,PWSHK-K11-021,0,8714109090,0,1,"<p>kit supplied with bearings, lip seals and bushes.</p>
<p>&nbsp;</p>
<p><strong>Kit Contents </strong></p>
<p>Description QTY per Kit</p>
<ul>
<li>Seal 4</li>
<li>Miscellaneous Part 1</li>
<li>Needle Bearing Shaft 3</li>
<li>Needle Bearing 2</li>
<li>Seal 4</li>
<li>Miscellaneous Part 1</li>
<li>Needle Bearing Shaft 3</li>
<li>Needle Bearing 2</li>
<li>Seal 4</li>
<li>Miscellaneous Part 1</li>
<li>Needle Bearing Shaft 3</li>
<li>Needle Bearing 2</li>
<li>Seal 4</li>
<li>Miscellaneous Part 1</li>
<li>Needle Bearing Shaft 3</li>
<li>Needle Bearing 2</li>
<li>Seal 4</li>
<li>Miscellaneous Part 1</li>
<li>Needle Bearing Shaft 3</li>
<li>Needle Bearing 2</li>
</ul>","
kit supplied with bearings, lip seals and bushes.

 

Kit Contents 

Description QTY per Kit

Seal 4
Miscellaneous Part 1
Needle Bearing Shaft 3
Needle Bearing 2
Seal 4
Miscellaneous Part 1
Needle Bearing Shaft 3
Needle Bearing 2
Seal 4
Miscellaneous Part 1
Needle Bearing Shaft 3
Needle Bearing 2
Seal 4
Miscellaneous Part 1
Needle Bearing Shaft 3
Needle Bearing 2
Seal 4
Miscellaneous Part 1
Needle Bearing Shaft 3
Needle Bearing 2
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,853,118,168,127,40,https://api.mybihr.com/medias/800Wx800H-1047217-1.jpg?context=bWFzdGVyfHJvb3R8NjU5NjR8aW1hZ2UvanBlZ3xhRFkxTDJneU1DODJORGcwT0RBNE5ERTBNREEyTWk4NE1EQlhlRGd3TUVoZk1UQTBOekl4TnkweExtcHdad3xmN2JmMWRlYTQyZDYwNzhmNDUxYTk1OWIyZGNiZDU4ZDE4MTIyOWY1ZmUwNzAxNWRmYzQwMzA4NGVkMmQ0ODhh,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047201,,PWSHK-H16-521,PIVOT WORKS,PWORK BEARING KIT SHOCK ABSORBER,Kit de Cojinetes de Amtortiguador PIVOT WORKS HONDA CR125 / 250 / 500 1996,67.59,55.86,33.52,PWSHK-H16-521,0,8714109090,0,1,Bearings and seals.,Bearings and seals.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1390,150,213,145,45,https://api.mybihr.com/medias/1047201-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTc4NjB8aW1hZ2UvanBlZ3xhR000TDJnNU1pODRPVGN3T1RBME5qTXpNemMwTHpFd05EY3lNREV0TVY4NE1EQlhlRGd3TUVnfDY1ODMxMzRjNTAwY2VjMmMwNTVlYjVjNzc3NmIwMDVmOTY1YjRhNjNmMGM3YjM5YmE0NGQ4N2QyNjVmNDQxMDA,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047202,,PWSHK-H13-020,PIVOT WORKS,PWORK BEARING KIT SHOCK ABSORBER,Kit de Cojinetes de Amtortiguador PIVOT WORKS HONDA CR250 1994,67.59,55.86,33.52,PWSHK-H13-020,0,8714109090,0,1,Bearings and seals.,Bearings and seals.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1390,120,213,145,45,https://api.mybihr.com/medias/1047202-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjgyMzl8aW1hZ2UvanBlZ3xhRGcxTDJnNU9TODRPVGN3T1RBME9ESTVPVGd5THpFd05EY3lNREl0TVY4NE1EQlhlRGd3TUVnfDBmYjEwNGRmZmYzNGZiNzE5ODQ2MTRhNTc4NzY3MDQ5NDVlZTlmMjczN2M1NzgwMmI4NzA5YzcxMzc4NWZjNDA,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
