PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,V-Colores,V-Diámetro de pistón,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Acabado de la tapa del silenciador,Acabado del silenciador de escape,Acabado del tubo,Altura (mm),Anchura (mm),Ángulo ( ° ),Calidad de la correa,Calidad de los muelles,Capacidad (ml/l),Color,Composición,Compresión de pistón,Diámetro del extremo delantero del tubo,Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Embalaje,Especificaciones,Gas Emissions Approval,Homologación,Homologación de emisiones acústicas,Kit de catalizador de escape opcional,Longitud (mm),Nº de rodillos,Nº de segmentos,Número de filtro,Peso (g),Peso (kg),Posición,Relación de compresión,Sobremedida,Tipo de motor,Tipo de pistón,Tolerancia,Uso recomendado,Versión de filtro,Voltaje,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,Document1,Document2,Document3,Document4,Document5,Document6,DeliveryPlant
1011629,PLN2090399,209.0399,POLINI,POLIN GASKET CYLINDER SET,Juego de juntas Polini PIAGGIO (2090399),6.50,5.37,4.03,209.0399,1,8714109090,0,1,<ul><li>Complete top end gasket set</li><li>For reconditioning the cast iron top end engine PN1400189</li><li>Kit contains identical products to the original kit </li></ul>,"Complete top end gasket setFor reconditioning the cast iron top end engine PN1400189Kit contains identical products to the original kit ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,283,100,146,114,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1011629-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhRGRrTDJnMlppODRPVEF4TnpBMU5qSTVOekkyTHpFd01URTJNamt0TVY4NE1EQlhlRGd3TUVnfGRlNzQ5NmE4ZTAyYTM1ZWNiY2M1NGMyNTc4MzY5ZTIzZWM4Yjg4NzZjOGY3MWNjMDdmOTg3NzQ4YThkZDJlOTg,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1016841,,209.0221,POLINI,POLIN GASKET CYLINDER SET,Junta superior del motor POLINI,6.50,5.37,4.03,8054705062322,1,8714109090,0,1,"<p><strong>Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.</strong></p> <ul><li>Spare top-end gasket set</li><li>For kit: PN1660050</li><li>Spare piston: PN2090221</li></ul>","
Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use. Spare top-end gasket setFor kit: PN1660050Spare piston: PN2090221",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,225,8,131,101,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1016841-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzM3ODZ8aW1hZ2UvanBlZ3xhR1kxTDJneE55ODRPVFExTnpNeU5UZ3pORFUwTHpFd01UWTROREV0TVY4NE1EQlhlRGd3TUVnfGI3YTkwN2U5NDQ4YzZiNzIwMGE0NDA5YjRiZGQxYjY4ZjZkMzk1YWFmYTE3YmY2MDdlMzI0YmFjMDU5NjRmOWM,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1016843,,209.0444,POLINI,POLIN GASKET CYLINDER SET,Junta superior del motor POLINI,13.50,11.16,8.37,8054705063442,1,8714109090,0,1,<ul><li>Top end gasket assembly set</li><li>For reconditioning cast iron top end 051096</li><li>Assembly identical to the products supplied in the initial kit </li></ul>,"Top end gasket assembly setFor reconditioning cast iron top end 051096Assembly identical to the products supplied in the initial kit ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,98,6,96,114,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1016843-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhREJsTDJobVl5ODRPVEE0TlRJd01qa3lNemd5THpFd01UWTRORE10TVY4NE1EQlhlRGd3TUVnfGVkNjViZDY2YTdiN2ZkYjM1OWQ4YjNkMDU3ZGJiZTRlYWFhMjJmZDllNDYzMDU3ODM0MjI3NDY3MGNlNDg5ZmQ,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1011628,PLN2090227,209.0227,POLINI,POLIN GASKET CYLINDER SET,Juego de juntas Polini YAMAHA-MBK BOOSTER (2090227),11.50,9.50,7.13,8054705062384,1,8714109090,0,1,<ul><li>Complete top end gasket set</li><li>For reconditioning the cast iron top end engine PN1660092</li><li>Kit contains identical products to the original kit </li></ul><p> </p>,"Complete top end gasket setFor reconditioning the cast iron top end engine PN1660092Kit contains identical products to the original kit 
 ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,263,3,177,106,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1011628-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhR0kyTDJoaVpTODRPRFUzTVRreU5UWXlOekU0THpFd01URTJNamd0TVY4NE1EQlhlRGd3TUVnfDg3YWNmNGY4NTViMTBlNWUzYmJkMTA4NGNmZDQxZDk2MzAyYzgxZjMyYWMyYmJhNDFhODQ0NjI2ZjY2Yzc1MzY,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1011632,PLN2090410,209.0410,POLINI,POLIN GASKET CYLINDER SET,Juego de juntas Polini Yamaha Aprilia H20 (2090410),13.50,11.16,6.94,8054705063107,0,8714109090,0,1,<ul><li>Complete top end gasket set</li><li>For reconditioning the cast iron top end engine PN1660094</li><li>Kit contains identical products to the original kit </li></ul>,"Complete top end gasket setFor reconditioning the cast iron top end engine PN1660094Kit contains identical products to the original kit ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,71,4,80,126,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1011632-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhR0kzTDJnd1l5ODRPVEkwTVRVMk9UVXlOakEyTHpFd01URTJNekl0TVY4NE1EQlhlRGd3TUVnfGE4Zjk3YTIwMzE2YzQ2NmE4OWE3ODU0NmFhZjNmNWUxN2UyYmQ5YzA4MmFmYjJjOWY1MmQxNDU0NDg3M2ZkMzE,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1011633,PLN2090004,209.0004,POLINI,POLIN GASKET TOP ENGINE,JUEGO DE JUNTAS 50-ET3,4.50,3.72,2.79,209.0004,2,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>POLINI is internationally recognised for the quality of its products for scooters, maxi-scooters and mopeds.</p></body> </html>","       POLINI is internationally recognised for the quality of its products for scooters, maxi-scooters and mopeds. ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,148,9,89,98,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1011633-1-800Wx800H?context=bWFzdGVyfHJvb3R8Nzg0MDV8aW1hZ2UvanBlZ3xhRE5tTDJnNU15ODRPVEF4TkRjMU1UTTVOakUwTHpFd01URTJNek10TVY4NE1EQlhlRGd3TUVnfGJmMWE1MDE2NzE0NDkyNDc0MjllZjFiZmEyMjdmZWRkNjdmNzc3ZmNiZTI1OWNjYzRhOGVhNjczOTQ4MjBjNjc,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1016845,,209.0460,POLINI,POLIN GASKET CYLINDER SET,Junta superior del motor POLINI,13.50,11.16,8.37,8054705063602,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,71,4,126,80,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016845-1.jpg?context=bWFzdGVyfHJvb3R8Njk3NzJ8aW1hZ2UvanBlZ3xhR1EyTDJoaVlTODVPVFUyTVRnME1qSXhNamc1TkM4NE1EQlhlRGd3TUVoZk1UQXhOamcwTlMweExtcHdad3w5ZjQ5Yjg2Y2E1ZWM1YTA0NDZhYjE2Y2NiY2Q2MjMyZGQ2NjMyMDMzOTg4NzM4YmNhZGVkZjQzMDZiMGU0MGM1,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012057,PLN2850004,285.0004,POLINI,POLIN OIL SEAL CRANKSHAFT SET,RETENES DE CIGÜEÑAL POLINI PTFE/FKM DERBI PIAGGIO,19.51,16.12,12.09,285.0004,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,111,26,123,90,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012057-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njc5NTN8aW1hZ2UvanBlZ3xhRGcwTDJnMVlTOHhOVFF4TXprMU5UVTVNakl5TWk4eE1ERXlNRFUzTFRGZk9EQXdWM2c0TURCSXw3NDE2N2M4NzBlYmJjMTMyYWMyYTkyMmFmZDQ5OTMwYjJmOGM0MDg1Njk5NGEwZDA1MDQ2MDM0YzEwMWFmMjYw,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012044,PLN2090445,209.0445,POLINI,POLIN GASKET CYLINDER SET,Juego de juntas Polini Minarelli AM6 D.50,14.50,11.98,8.99,8054705063459,4,4016930090,0,1,"<p><strong>Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.</strong></p>","
Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,170,10,104,117,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012044-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDg1MDM2fGltYWdlL2pwZWd8YUdabEwyZzBOUzh4TlRReE16azFNRFE0TURReE5DOHhNREV5TURRMExURmZPREF3VjNnNE1EQkl8YWYxYmY5ZTZmOWUzMWZlZTdhMDRiN2NmOTBjYWZiYzRkMmNkMThhZjA4Yjc2ODI2OWNjYWZkOTI5MmYwMGE0NA,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012030,PLN2090387,209.0387,POLINI,POLIN GASKET CYLINDER SET,Juego de juntas Polini Yamaha Malaguti F10,7.50,6.20,4.65,209.0387,1,4016930090,0,1,"<p><strong>Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.</strong></p>","
Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,161,8,77,123,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012030-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjU1NTF8aW1hZ2UvanBlZ3xhRGs1TDJoa01TOHhOVFF4TXprME5EazNOVE01TUM4eE1ERXlNRE13TFRGZk9EQXdWM2c0TURCSXw5MWYwZmQ1ZTE2Y2E4NTkyMTlmOWM0NzdiODFhNzUzYWNlNmQzNjAzYWEzYjNlZmE1NzJhNTE3NTVmZGZmYTk3,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
