PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Composición,Embalaje,Posición,Picture1,Picture2,AllPicturesZIP,DeliveryPlant
1114694,,PPMX026,PRO-PEGS,PPEGS TITANIUM FOOTPEG MX,Estriberas MX PRO-PEGS de titanio - KTM / Husqvarna / Suzuki,272.15,224.92,168.69,1114694,0,8714109090,0,1,"<p>Fabricados de acuerdo a los m&aacute;s altos est&aacute;ndares con titanio de grado aeroespacial, utilizando las &uacute;ltimas t&eacute;cnicas de fabricaci&oacute;n para producir las soldaduras m&aacute;s fuertes, eliminando la tensi&oacute;n y la corrosi&oacute;n. Los Pro Pegs Titanium establecen los est&aacute;ndares con una plataforma m&aacute;s grande y una mayor &aacute;rea de superficie que proporciona al piloto un m&aacute;ximo agarre.</p>
<ul>
	<li>Titanio aeroespacial Ti-6AL-4V soldado por Tig</li>
	<li>Dise&ntilde;o de 60 mm (2.4&quot;) de ancho</li>
	<li>Ligero ( 350 gr/Set )</li>
	<li>30 Dientes para el m&aacute;ximo agarre</li>
	<li>Fabricaci&oacute;n a mano de alta precisi&oacute;n</li>
	<li>Reduce el desgaste de la bota, ya que el pie ya no est&aacute; rozando la estribera.</li>
</ul>","
Fabricados de acuerdo a los más altos estándares con titanio de grado aeroespacial, utilizando las últimas técnicas de fabricación para producir las soldaduras más fuertes, eliminando la tensión y la corrosión. Los Pro Pegs Titanium establecen los estándares con una plataforma más grande y una mayor área de superficie que proporciona al piloto un máximo agarre.

	Titanio aeroespacial Ti-6AL-4V soldado por Tig
	Diseño de 60 mm (2.4"") de ancho
	Ligero ( 350 gr/Set )
	30 Dientes para el máximo agarre
	Fabricación a mano de alta precisión
	Reduce el desgaste de la bota, ya que el pie ya no está rozando la estribera.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,1629,526,218,141,53,,Titanio,por pareja,,https://api.mybihr.com/medias/1114694-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTE1ODd8aW1hZ2UvanBlZ3xhREV3TDJobE5DOHhOVFl5TkRReU5EUTFOakl5TWk4eE1URTBOamswTFRGZk9EQXdWM2c0TURCSXw5MTA5NWY4NmIzNzI5ZjZlODYyODRjNjEwMjkyZjA3MGJhYjIyZmVkODI4YzE4OTIyZGZiMzdkZTdlMmFkNjll,https://api.mybihr.com/medias/1114694-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTEzMTB8aW1hZ2UvanBlZ3xhRGxrTDJobU1TOHhOVFl5TkRReU5EZzBPVFF6T0M4eE1URTBOamswTFRKZk9EQXdWM2c0TURCSXxmZTU4NWU0NjExODQ5MTdhY2E1NWJmZGZlZTYxNWJiYmVhN2FiYjM5NTc1ZDA0NWVjMGEyY2RiOWIzNTJjNmU0,https://static.bihr.pro/eBihr/Pictures/PRO-PEGS-pictures.zip,Spain Warehouse (Parts)
1118808,,PPMX0090,PRO-PEGS,PPEGS TITANIUM FOOTPEG MX,Estriberas MX PRO-PEGS de titanio,265.05,219.05,164.29,PPMX0090,1,8714109090,0,1,"<p>Fabricados de acuerdo a los m&aacute;s altos est&aacute;ndares con titanio de grado aeroespacial, utilizando las &uacute;ltimas t&eacute;cnicas de fabricaci&oacute;n para producir las soldaduras m&aacute;s fuertes, eliminando la tensi&oacute;n y la corrosi&oacute;n. Los Pro Pegs Titanium establecen los est&aacute;ndares con una plataforma m&aacute;s grande y una mayor &aacute;rea de superficie que proporciona al piloto un m&aacute;ximo agarre.</p>
<ul>
	<li>Titanio aeroespacial Ti-6AL-4V soldado por Tig</li>
	<li>Dise&ntilde;o de 60 mm (2.4&quot;) de ancho</li>
	<li>Ligero ( 350 gr/Set )</li>
	<li>30 Dientes para el m&aacute;ximo agarre</li>
	<li>Fabricaci&oacute;n a mano de alta precisi&oacute;n</li>
	<li>Reduce el desgaste de la bota, ya que el pie ya no est&aacute; rozando la estribera.</li>
</ul>","
Fabricados de acuerdo a los más altos estándares con titanio de grado aeroespacial, utilizando las últimas técnicas de fabricación para producir las soldaduras más fuertes, eliminando la tensión y la corrosión. Los Pro Pegs Titanium establecen los estándares con una plataforma más grande y una mayor área de superficie que proporciona al piloto un máximo agarre.

	Titanio aeroespacial Ti-6AL-4V soldado por Tig
	Diseño de 60 mm (2.4"") de ancho
	Ligero ( 350 gr/Set )
	30 Dientes para el máximo agarre
	Fabricación a mano de alta precisión
	Reduce el desgaste de la bota, ya que el pie ya no está rozando la estribera.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,1526,582,218,140,50,,,,,https://api.mybihr.com/medias/1118808-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTE2NjN8aW1hZ2UvanBlZ3xhRFZrTDJoa01DOHlPRE01TlRZMk1qRTRNRE00TWk4eE1URTRPREE0TFRGZk9EQXdWM2c0TURCSXxmODUzNDk0YTZlNTQ4OGRhNTMxZjdiYTgzMGFmZjRkN2FlOWY5ODM3MTIxYTcxMTA0ZmZmYzM5M2MxZmVmZjIz,,https://static.bihr.pro/eBihr/Pictures/PRO-PEGS-pictures.zip,Spain Warehouse (Parts)
1114686,,PPEN026,PRO-PEGS,PPEGS TITANIUM FOOTPEG ENDURO,Estriberas enduro PRO-PEGS de titanio - Husqvarna,272.15,224.92,168.69,1114686,0,8714109090,0,1,"<p>Fabricados de acuerdo a los m&aacute;s altos est&aacute;ndares con titanio de grado aeroespacial, utilizando las &uacute;ltimas t&eacute;cnicas de fabricaci&oacute;n para producir las soldaduras m&aacute;s fuertes, eliminando la tensi&oacute;n y la corrosi&oacute;n. Los Pro Pegs Titanium establecen los est&aacute;ndares con una plataforma m&aacute;s grande y una mayor &aacute;rea de superficie que proporciona al piloto un m&aacute;ximo agarre.</p>
<ul>
	<li>Titanio aeroespacial Ti-6AL-4V soldado por Tig</li>
	<li>Dise&ntilde;o de 60 mm (2.4&quot;) de ancho</li>
	<li>Ligero ( 350 gr/Set )</li>
	<li>30 Dientes para el m&aacute;ximo agarre</li>
	<li>Fabricaci&oacute;n a mano de alta precisi&oacute;n</li>
	<li>Reduce el desgaste de la bota, ya que el pie ya no est&aacute; rozando la estribera.</li>
</ul>","
Fabricados de acuerdo a los más altos estándares con titanio de grado aeroespacial, utilizando las últimas técnicas de fabricación para producir las soldaduras más fuertes, eliminando la tensión y la corrosión. Los Pro Pegs Titanium establecen los estándares con una plataforma más grande y una mayor área de superficie que proporciona al piloto un máximo agarre.

	Titanio aeroespacial Ti-6AL-4V soldado por Tig
	Diseño de 60 mm (2.4"") de ancho
	Ligero ( 350 gr/Set )
	30 Dientes para el máximo agarre
	Fabricación a mano de alta precisión
	Reduce el desgaste de la bota, ya que el pie ya no está rozando la estribera.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,1644,479,220,141,53,,Titanio,por pareja,,https://api.mybihr.com/medias/1114686-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDYyNTB8aW1hZ2UvanBlZ3xhR1EwTDJobVpDOHhOVFl5TWpZNE1UTTVOVEl6TUM4eE1URTBOamcyTFRGZk9EQXdWM2c0TURCSXxkMzQ2YTgwYjdlOWMwZWE4MTc1NmM3M2VmNDNlOGE5YjFlNjQ1Mzk5ZDI3MDg0MmY2YzQ4ZTNiYjYyYzZkMzli,https://api.mybihr.com/medias/1114686-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTEzMTB8aW1hZ2UvanBlZ3xhRFEzTDJobU1DOHhOVFl5TWpZNE1UYzRPRFEwTmk4eE1URTBOamcyTFRKZk9EQXdWM2c0TURCSXw3OTc4NTA3ZmViMDgyMGRlNmE5M2I2NTlkNjIzMmNhZGRiNzliM2JiYjEzMGVhYzc5ZWU2ZWI0NmZkZmYzNjgx,https://static.bihr.pro/eBihr/Pictures/PRO-PEGS-pictures.zip,Spain Warehouse (Parts)
1114688,,PPMX089,PRO-PEGS,PPEGS TITANIUM FOOTPEG MX,Estriberas MX PRO-PEGS de titanio -KTM / Husqvarna,272.15,224.92,168.69,1114688,0,8714109090,0,1,"<p>Fabricados de acuerdo a los m&aacute;s altos est&aacute;ndares con titanio de grado aeroespacial, utilizando las &uacute;ltimas t&eacute;cnicas de fabricaci&oacute;n para producir las soldaduras m&aacute;s fuertes, eliminando la tensi&oacute;n y la corrosi&oacute;n. Los Pro Pegs Titanium establecen los est&aacute;ndares con una plataforma m&aacute;s grande y una mayor &aacute;rea de superficie que proporciona al piloto un m&aacute;ximo agarre.</p>
<ul>
	<li>Titanio aeroespacial Ti-6AL-4V soldado por Tig</li>
	<li>Dise&ntilde;o de 60 mm (2.4&quot;) de ancho</li>
	<li>Ligero ( 350 gr/Set )</li>
	<li>30 Dientes para el m&aacute;ximo agarre</li>
	<li>Fabricaci&oacute;n a mano de alta precisi&oacute;n</li>
	<li>Reduce el desgaste de la bota, ya que el pie ya no est&aacute; rozando la estribera.</li>
</ul>","
Fabricados de acuerdo a los más altos estándares con titanio de grado aeroespacial, utilizando las últimas técnicas de fabricación para producir las soldaduras más fuertes, eliminando la tensión y la corrosión. Los Pro Pegs Titanium establecen los estándares con una plataforma más grande y una mayor área de superficie que proporciona al piloto un máximo agarre.

	Titanio aeroespacial Ti-6AL-4V soldado por Tig
	Diseño de 60 mm (2.4"") de ancho
	Ligero ( 350 gr/Set )
	30 Dientes para el máximo agarre
	Fabricación a mano de alta precisión
	Reduce el desgaste de la bota, ya que el pie ya no está rozando la estribera.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,1617,543,217,149,50,,Titanio,por pareja,,https://api.mybihr.com/medias/1114688-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDYyNTB8aW1hZ2UvanBlZ3xhR1JtTDJnM1ppOHhOVFl5TWpZNE1qazJPREE1TkM4eE1URTBOamc0TFRGZk9EQXdWM2c0TURCSXw2NDNmZmI3OTE4NWFkMjhkMmUxYTdkODA1MzExZmI1YjQyYWQ5Yjk1NzNkOGExZjUxZmI4MzAwNjVlODQ3MTg4,https://api.mybihr.com/medias/1114688-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTEzMTB8aW1hZ2UvanBlZ3xhR0ZqTDJoa01DOHhOVFl5TkRReU1EQTJOVE14TUM4eE1URTBOamc0TFRKZk9EQXdWM2c0TURCSXxhZmExZDhiY2MzMjZiMjE3OTRhZTc0MDFkMDhlOWUwNDM2ZmFkZDcyYzc4MDYyNmFhZDU2ODczM2QyN2E0NmRl,https://static.bihr.pro/eBihr/Pictures/PRO-PEGS-pictures.zip,Spain Warehouse (Parts)
1114687,,PPEN089,PRO-PEGS,PPEGS TITANIUM FOOTPEG ENDURO,Estriberas enduro PRO-PEGS de titanio - Husqvarna,272.15,224.92,168.69,1114687,0,8714109090,0,1,"<p>Fabricados de acuerdo a los m&aacute;s altos est&aacute;ndares con titanio de grado aeroespacial, utilizando las &uacute;ltimas t&eacute;cnicas de fabricaci&oacute;n para producir las soldaduras m&aacute;s fuertes, eliminando la tensi&oacute;n y la corrosi&oacute;n. Los Pro Pegs Titanium establecen los est&aacute;ndares con una plataforma m&aacute;s grande y una mayor &aacute;rea de superficie que proporciona al piloto un m&aacute;ximo agarre.</p>
<ul>
	<li>Titanio aeroespacial Ti-6AL-4V soldado por Tig</li>
	<li>Dise&ntilde;o de 60 mm (2.4&quot;) de ancho</li>
	<li>Ligero ( 350 gr/Set )</li>
	<li>30 Dientes para el m&aacute;ximo agarre</li>
	<li>Fabricaci&oacute;n a mano de alta precisi&oacute;n</li>
	<li>Reduce el desgaste de la bota, ya que el pie ya no est&aacute; rozando la estribera.</li>
</ul>","
Fabricados de acuerdo a los más altos estándares con titanio de grado aeroespacial, utilizando las últimas técnicas de fabricación para producir las soldaduras más fuertes, eliminando la tensión y la corrosión. Los Pro Pegs Titanium establecen los estándares con una plataforma más grande y una mayor área de superficie que proporciona al piloto un máximo agarre.

	Titanio aeroespacial Ti-6AL-4V soldado por Tig
	Diseño de 60 mm (2.4"") de ancho
	Ligero ( 350 gr/Set )
	30 Dientes para el máximo agarre
	Fabricación a mano de alta precisión
	Reduce el desgaste de la bota, ya que el pie ya no está rozando la estribera.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,1422,500,213,126,53,,Titanio,por pareja,,https://api.mybihr.com/medias/1114687-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDYyNTB8aW1hZ2UvanBlZ3xhR1ppTDJnNVlTOHhOVFl5TWpZNE1qRTRNVFkyTWk4eE1URTBOamczTFRGZk9EQXdWM2c0TURCSXwzZjI4YzczMjBjNWVkNTU1Y2IyNGQ4YTY1MjEwOTAyMGZlODU2NmRmOGY4YTYxYmZkZjE1OGQwMTcxMjdiOWQ3,https://api.mybihr.com/medias/1114687-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTEzMTB8aW1hZ2UvanBlZ3xhRFprTDJnNFpDOHhOVFl5TWpZNE1qVTNORGczT0M4eE1URTBOamczTFRKZk9EQXdWM2c0TURCSXxjNjNlODlhYjBhNGRkNTBlZmJmYWQ4MjhiNjkyZTFlMDVlNTlmZWU2NGU1NTM5NWI0ZTg5NzMzZWU2Yzc2NmNi,https://static.bihr.pro/eBihr/Pictures/PRO-PEGS-pictures.zip,Spain Warehouse (Parts)
1118807,,PPEN0090,PRO-PEGS,PPEGS TITANIUM FOOTPEG ENDURO,Estriberas Enduro PRO-PEGS de titanio,265.05,219.05,164.29,PPEN0090,1,8714109090,0,1,"<p>Fabricados de acuerdo a los m&aacute;s altos est&aacute;ndares con titanio de grado aeroespacial, utilizando las &uacute;ltimas t&eacute;cnicas de fabricaci&oacute;n para producir las soldaduras m&aacute;s fuertes, eliminando la tensi&oacute;n y la corrosi&oacute;n. Los Pro Pegs Titanium establecen los est&aacute;ndares con una plataforma m&aacute;s grande y una mayor &aacute;rea de superficie que proporciona al piloto un m&aacute;ximo agarre.</p>
<ul>
	<li>Titanio aeroespacial Ti-6AL-4V soldado por Tig</li>
	<li>Dise&ntilde;o de 60 mm (2.4&quot;) de ancho</li>
	<li>Ligero ( 350 gr/Set )</li>
	<li>30 Dientes para el m&aacute;ximo agarre</li>
	<li>Fabricaci&oacute;n a mano de alta precisi&oacute;n</li>
	<li>Reduce el desgaste de la bota, ya que el pie ya no est&aacute; rozando la estribera.</li>
</ul>","
Fabricados de acuerdo a los más altos estándares con titanio de grado aeroespacial, utilizando las últimas técnicas de fabricación para producir las soldaduras más fuertes, eliminando la tensión y la corrosión. Los Pro Pegs Titanium establecen los estándares con una plataforma más grande y una mayor área de superficie que proporciona al piloto un máximo agarre.

	Titanio aeroespacial Ti-6AL-4V soldado por Tig
	Diseño de 60 mm (2.4"") de ancho
	Ligero ( 350 gr/Set )
	30 Dientes para el máximo agarre
	Fabricación a mano de alta precisión
	Reduce el desgaste de la bota, ya que el pie ya no está rozando la estribera.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,1603,542,213,142,53,Titanio,Titanio,,Delantero,https://api.mybihr.com/medias/1118807-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDYyNTR8aW1hZ2UvanBlZ3xhREV4TDJnM1lpOHlPRE01TlRZMk1UYzROekUyTmk4eE1URTRPREEzTFRGZk9EQXdWM2c0TURCSXxiZjlhZDVjZGUwM2VjOGIwNWJlYjVjODZjNTEyZWMzMjAzMzBiZTlkMzY5OGQ4OTk5ZmI3ZGRlNzU2M2Q4Y2Iw,,https://static.bihr.pro/eBihr/Pictures/PRO-PEGS-pictures.zip,Spain Warehouse (Parts)
1114683,,PPEN003,PRO-PEGS,PPEGS TITANIUM FOOTPEG ENDURO,Estriberas enduro PRO-PEGS de titanio - Kawasaki KX250F / KX450F,272.15,224.92,168.69,1114683,0,8714109090,0,1,"<p>Fabricados de acuerdo a los m&aacute;s altos est&aacute;ndares con titanio de grado aeroespacial, utilizando las &uacute;ltimas t&eacute;cnicas de fabricaci&oacute;n para producir las soldaduras m&aacute;s fuertes, eliminando la tensi&oacute;n y la corrosi&oacute;n. Los Pro Pegs Titanium establecen los est&aacute;ndares con una plataforma m&aacute;s grande y una mayor &aacute;rea de superficie que proporciona al piloto un m&aacute;ximo agarre.</p>
<ul>
	<li>Titanio aeroespacial Ti-6AL-4V soldado por Tig</li>
	<li>Dise&ntilde;o de 60 mm (2.4&quot;) de ancho</li>
	<li>Ligero ( 350 gr/Set )</li>
	<li>30 Dientes para el m&aacute;ximo agarre</li>
	<li>Fabricaci&oacute;n a mano de alta precisi&oacute;n</li>
	<li>Reduce el desgaste de la bota, ya que el pie ya no est&aacute; rozando la estribera.</li>
</ul>","
Fabricados de acuerdo a los más altos estándares con titanio de grado aeroespacial, utilizando las últimas técnicas de fabricación para producir las soldaduras más fuertes, eliminando la tensión y la corrosión. Los Pro Pegs Titanium establecen los estándares con una plataforma más grande y una mayor área de superficie que proporciona al piloto un máximo agarre.

	Titanio aeroespacial Ti-6AL-4V soldado por Tig
	Diseño de 60 mm (2.4"") de ancho
	Ligero ( 350 gr/Set )
	30 Dientes para el máximo agarre
	Fabricación a mano de alta precisión
	Reduce el desgaste de la bota, ya que el pie ya no está rozando la estribera.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,1570,519,215,146,50,,Titanio,por pareja,,https://api.mybihr.com/medias/1114683-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDYyNTB8aW1hZ2UvanBlZ3xhREU1TDJnNFlTOHhOVFl5TWpZM09UQXpOVGt6TkM4eE1URTBOamd6TFRGZk9EQXdWM2c0TURCSXw2M2M5Nzk1MTEzNzQ0YzNkOGQxZGIyZDU5ODA5ODU0NzAwMTNhZGI2YzhhNDg5Yzk0ZGMxZjA1OGI3ZDBlNzY1,https://api.mybihr.com/medias/1114683-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTEzMTB8aW1hZ2UvanBlZ3xhRGhpTDJnM1l5OHhOVFl5TWpZM09UUXlPVEUxTUM4eE1URTBOamd6TFRKZk9EQXdWM2c0TURCSXxiZjhjM2U2YmU1MjU4YTBlNjFhYzEyMDE1MWY0ODllOTRmYjU5OTgzNjFiMDQ1OGE2ODRlMmUzNzJmM2RiZGVm,https://static.bihr.pro/eBihr/Pictures/PRO-PEGS-pictures.zip,Spain Warehouse (Parts)
1114690,,PPMX003,PRO-PEGS,PPEGS TITANIUM FOOTPEG MX,Estriberas MX PRO-PEGS de titanio - Kawasaki KX250F / KX450F,272.15,224.92,168.69,1114690,0,8714109090,0,1,"<p>Fabricados de acuerdo a los m&aacute;s altos est&aacute;ndares con titanio de grado aeroespacial, utilizando las &uacute;ltimas t&eacute;cnicas de fabricaci&oacute;n para producir las soldaduras m&aacute;s fuertes, eliminando la tensi&oacute;n y la corrosi&oacute;n. Los Pro Pegs Titanium establecen los est&aacute;ndares con una plataforma m&aacute;s grande y una mayor &aacute;rea de superficie que proporciona al piloto un m&aacute;ximo agarre.</p>
<ul>
	<li>Titanio aeroespacial Ti-6AL-4V soldado por Tig</li>
	<li>Dise&ntilde;o de 60 mm (2.4&quot;) de ancho</li>
	<li>Ligero ( 350 gr/Set )</li>
	<li>30 Dientes para el m&aacute;ximo agarre</li>
	<li>Fabricaci&oacute;n a mano de alta precisi&oacute;n</li>
	<li>Reduce el desgaste de la bota, ya que el pie ya no est&aacute; rozando la estribera.</li>
</ul>","
Fabricados de acuerdo a los más altos estándares con titanio de grado aeroespacial, utilizando las últimas técnicas de fabricación para producir las soldaduras más fuertes, eliminando la tensión y la corrosión. Los Pro Pegs Titanium establecen los estándares con una plataforma más grande y una mayor área de superficie que proporciona al piloto un máximo agarre.

	Titanio aeroespacial Ti-6AL-4V soldado por Tig
	Diseño de 60 mm (2.4"") de ancho
	Ligero ( 350 gr/Set )
	30 Dientes para el máximo agarre
	Fabricación a mano de alta precisión
	Reduce el desgaste de la bota, ya que el pie ya no está rozando la estribera.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,1851,552,213,158,55,,Titanio,por pareja,,https://api.mybihr.com/medias/1114690-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTE1ODd8aW1hZ2UvanBlZ3xhRE0wTDJnMVpDOHhOVFl5TkRReU1UTXhNRFE1TkM4eE1URTBOamt3TFRGZk9EQXdWM2c0TURCSXwwYzg5OGY4Nzg4NDA2NWNhYmQzMWZkYTgxOTkwMzY0ODJhNGYxOGIxYjU1ODBjMjQ3OTI3ODhiZDdlODM4Zjk5,https://api.mybihr.com/medias/1114690-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTEzMTB8aW1hZ2UvanBlZ3xhR0UzTDJnMFppOHhOVFl5TkRReU1UY3dNemN4TUM4eE1URTBOamt3TFRKZk9EQXdWM2c0TURCSXxkZGU0ZmMyZTcyZjFjZDdhMDg0YWY1OGQwMTg4ZjlkMjY1OTZiYjkwOGI5NzA2NjAyODE2MjM0OTEzOTc0YWIz,https://static.bihr.pro/eBihr/Pictures/PRO-PEGS-pictures.zip,Spain Warehouse (Parts)
1125543,,PPMX0042,PRO-PEGS,"PPEGS TITANIUM FOOTPEG MX, TIT",Estriberas de titanio PRO-PEGS MX,272.15,224.92,168.69,1125543,0,8714109090,0,1,"<p>Fabricados con los m&aacute;s altos est&aacute;ndares a partir de titanio de calidad aeroespacial, utilizando las &uacute;ltimas t&eacute;cnicas de fabricaci&oacute;n para producir las soldaduras m&aacute;s fuertes, eliminando la tensi&oacute;n y la corrosi&oacute;n. &iexcl;Los Pro Pegs Titanium marcan la pauta con una plataforma m&aacute;s grande y una mayor superficie que proporciona al piloto el m&aacute;ximo AGARRE!</p>
<ul>
<li>Titanio aeroespacial Ti-6AL-4V soldado por Tig</li>
<li>Dise&ntilde;o de 60 mm (2,4"") de ancho</li>
<li>Ligero ( 350 gr/Set )</li>
<li>30 Dientes para el m&aacute;ximo agarre</li>
<li>Fabricaci&oacute;n de precisi&oacute;n a mano</li>
<li>Reduce el desgaste de la bota, ya que el pie no se desliza sobre la clavija.</li>
</ul>","
Fabricados con los más altos estándares a partir de titanio de calidad aeroespacial, utilizando las últimas técnicas de fabricación para producir las soldaduras más fuertes, eliminando la tensión y la corrosión. ¡Los Pro Pegs Titanium marcan la pauta con una plataforma más grande y una mayor superficie que proporciona al piloto el máximo AGARRE!

Titanio aeroespacial Ti-6AL-4V soldado por Tig
Diseño de 60 mm (2,4"") de ancho
Ligero ( 350 gr/Set )
30 Dientes para el máximo agarre
Fabricación de precisión a mano
Reduce el desgaste de la bota, ya que el pie no se desliza sobre la clavija.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,1420,552,216,137,48,Titanio,Titanio,por pareja,Derecho/Izquierdo,https://api.mybihr.com/medias/800Wx800H-1125543-1.jpg?context=bWFzdGVyfHJvb3R8NTE2NjR8aW1hZ2UvanBlZ3xhR1EzTDJnNU1TODJNalUyT1RRek1EVTBPRFV4TUM4NE1EQlhlRGd3TUVoZk1URXlOVFUwTXkweExtcHdad3xlYThjMzNiOTk0YTYzMjFlYjg3ZTlmNjE5MTViNGFkMzZkM2JkMzY4NThhOGRkZDBlNjFmMTQwMzk0YjAyNmM4,,https://static.bihr.pro/eBihr/Pictures/PRO-PEGS-pictures.zip,Spain Warehouse (Parts)
1125544,,PPEN0042,PRO-PEGS,"PPEGS TITANIUM FOOTPEG ENDURO, TIT",Estriberas de titanio PRO-PEGS Enduro,272.15,224.92,168.69,1125544,0,8714109090,0,1,"<p>Fabricados con los m&aacute;s altos est&aacute;ndares a partir de titanio de calidad aeroespacial, utilizando las &uacute;ltimas t&eacute;cnicas de fabricaci&oacute;n para producir las soldaduras m&aacute;s fuertes, eliminando la tensi&oacute;n y la corrosi&oacute;n. &iexcl;Los Pro Pegs Titanium marcan la pauta con una plataforma m&aacute;s grande y una mayor superficie que proporciona al piloto el m&aacute;ximo AGARRE!</p>
<ul>
<li>Titanio aeroespacial Ti-6AL-4V soldado por Tig</li>
<li>Dise&ntilde;o de 60 mm (2,4"") de ancho</li>
<li>Ligero ( 350 gr/Set )</li>
<li>30 Dientes para el m&aacute;ximo agarre</li>
<li>Fabricaci&oacute;n de precisi&oacute;n a mano</li>
<li>Reduce el desgaste de la bota, ya que el pie no se desliza sobre la clavija.</li>
</ul>","
Fabricados con los más altos estándares a partir de titanio de calidad aeroespacial, utilizando las últimas técnicas de fabricación para producir las soldaduras más fuertes, eliminando la tensión y la corrosión. ¡Los Pro Pegs Titanium marcan la pauta con una plataforma más grande y una mayor superficie que proporciona al piloto el máximo AGARRE!

Titanio aeroespacial Ti-6AL-4V soldado por Tig
Diseño de 60 mm (2,4"") de ancho
Ligero ( 350 gr/Set )
30 Dientes para el máximo agarre
Fabricación de precisión a mano
Reduce el desgaste de la bota, ya que el pie no se desliza sobre la clavija.
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,1661,513,213,156,50,Titanio,Titanio,por pareja,Derecho/Izquierdo,https://api.mybihr.com/medias/800Wx800H-1125544-1.jpg?context=bWFzdGVyfHJvb3R8NDYyMjB8aW1hZ2UvanBlZ3xhREkzTDJoa05TODJNalUzTURnMk1UQTJPRE14T0M4NE1EQlhlRGd3TUVoZk1URXlOVFUwTkMweExtcHdad3xiYmM2MzE1ZTE1MTY4YjFkYzJhODMwNDI2NjYzZWExY2ZjNDg0NWI3ODQzNGM3YzUyZGU2ZTRhOTgwODZhNGMx,,https://static.bihr.pro/eBihr/Pictures/PRO-PEGS-pictures.zip,Spain Warehouse (Parts)
