PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (mm),Cantidad,Color,Diámetro Ø (mm),Embalaje,Longitud (mm),Peso (g),Peso (kg),Picture1,Picture2,AllPicturesZIP,Document1,Document2,DeliveryPlant
1106444,,94341,PROVAC,PROVC ANKLE WITH SHAFT 6MM,PROVAC Repair Pins Ø6mm 18 pcs,65.34,54.00,43.20,3661706360026,2,4016100090,0,1,<p>Box of 18 repair pins&nbsp;&Oslash;6mm for 3mm perforation maximum.&nbsp;</p>,"
Box of 18 repair pins Ø6mm for 3mm perforation maximum. ",TOOLING & WS,WS,WS. TIRE EQUIP.,4523,336,274,131,126,,,,,,,,,https://api.mybihr.com/medias/1106444-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA4ODZ8aW1hZ2UvanBlZ3xhREl3TDJnMU9TOHhNVGd6TXpnME56YzBNalE1TkM4eE1UQTJORFEwTFRGZk9EQXdWM2c0TURCSXw5MjE4YWFhMzMwZmZlZWQ0ZjUxZjIzMmExM2M3NGY3ZDI3MGQxNDlmZGQyMjVmN2VjMjNjMDJkM2VjNWJhNmJj,,https://static.bihr.pro/eBihr/Pictures/PROVAC-pictures.zip,,,Spain Warehouse (Parts)
1050305,8941039,1019,PROVAC,PROVC SPARE PARTS REPLACEMENT HOSE,Manguera de recambio para aire comprimido PROVAC,26.62,22.00,17.60,1019,3,9026900090,0,1,Provac es una empresa especializada en la fabricación de herramientas y accesorios neumáticos.,Provac es una empresa especializada en la fabricación de herramientas y accesorios neumáticos.,TOOLING & WS,WS,WS. COMPRESSED AIR,818,268,235,120,29,,,,,,,,,https://api.mybihr.com/medias/1050305-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzAzMTV8aW1hZ2UvanBlZ3xhREprTDJnMk5DODRPVE01TlRReE1EWTVPRFUwTHpFd05UQXpNRFV0TVY4NE1EQlhlRGd3TUVnfGQ0Y2YyZjkwM2MxNzA4NzYwZTA5NDEyNGU5ODBlNTg1YTAwZThkYzVlOTRlYmY5MzY4MDdiOThlOWI1M2Q1Nzk,,https://static.bihr.pro/eBihr/Pictures/PROVAC-pictures.zip,,,Spain Warehouse (Parts)
1050306,8941038,985,PROVAC,PROVC SPARE PARTS INFLATING COUPLER,Conector inflador de válvulas PROVAC tipo Schrader,8.06,6.66,5.33,985/1,25,8481804090,0,1,"Conector inflador de válvulas tipo Schrader Conector acanalado macho de 1/4"" Se vende por unidad","Conector inflador de válvulas tipo Schrader Conector acanalado macho de 1/4"" Se vende por unidad",TOOLING & WS,WS,WS. COMPRESSED AIR,18,32,40,30,15,,,,,por unidad,,,,https://api.mybihr.com/medias/1050306-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzI1NDZ8aW1hZ2UvanBlZ3xhR1ZqTDJneVlpODRPVEF5TWpReE9ERXlOVEV3THpFd05UQXpNRFl0TVY4NE1EQlhlRGd3TUVnfDUyNjI4ZGE3ZWE1MmRiOTQyODg1ODlmZmNiMTllNWQ2OGEwYmI2ODI5MmIwN2RiYjUwNWUwYWYwMGQwYTJhOGE,,https://static.bihr.pro/eBihr/Pictures/PROVAC-pictures.zip,,,Spain Warehouse (Parts)
1052914,893138,SUPERWAXBL1,PROVAC,PROVC TIRE CREAM BOX OF 1 KG,Pasta para montaje de neumáticos PROVAC negra 1kg,12.63,10.44,8.35,3661706314678,8,3903909090,0,1,"Pasta para facilitar el montaje o desmontaje de los neumáticos. 			Gran capacidad de lubricación, no se escurre y se seca rápido (evita la rotación sobre la llanta) Cubo de 1 kg","Pasta para facilitar el montaje o desmontaje de los neumáticos. 			Gran capacidad de lubricación, no se escurre y se seca rápido (evita la rotación sobre la llanta) Cubo de 1 kg",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,2264,1106,129,134,131,,,Negro,,,,,,https://api.mybihr.com/medias/1052914-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzY0NzV8aW1hZ2UvanBlZ3xhRFV3TDJnNU9DODRPVE01TlRnNE5URTNPVEU0THpFd05USTVNVFF0TVY4NE1EQlhlRGd3TUVnfGExOTYwYzcyNzRjYzE2NzljZWRjNmI4MTNiOWExMzg0M2U2YTlhOTE3NDFmM2QyZTQ5NGJjMTZhZTRhMzI2YjE,,https://static.bihr.pro/eBihr/Pictures/PROVAC-pictures.zip,https://api.mybihr.com/medias/1052914-FDS-CREME-DE-MONTAGE-SUPERWAXBL1-BL5-PROVAC-FR-2023-03-22.pdf?context=bWFzdGVyfGRvY3VtZW50c3w4ODUwMXxhcHBsaWNhdGlvbi9wZGZ8YURCa0wyaGtaUzgyTkRnM01UZ3pPREkxTXpBNE5pOHhNRFV5T1RFMExVWkVVMTlEVWtWTlJTQkVSU0JOVDA1VVFVZEZYMU5WVUVWU1YwRllRa3d4TFVKTU5WOVFVazlXUVVOZlJsSmZNakF5TXkwd015MHlNaTV3WkdZfDEwYWZkZWU5MDUzNTI3Mzc1ZWI4MzIyZWE1MjM5YWMzNzRmODcyOGI5N2Q3NzlhYTFkMWM3MjY5MWU4NzFlYTg,,Spain Warehouse (Parts)
1052903,89605004,447515,PROVAC,"PROVC ANGLE VALVE L:25MM H:22MM Ø11,5MM","Válvula neumático PROVAC aluminio Ø11,5mm - x10",90.63,74.90,59.92,3661706373415,10,8481804090,0,1,"<p>Válvula tubeless de aluminio, acodada 80°.</p>
<ul>
<li>Ø11,5: destinada principalmente a motos japonesas</li>
<li>Negro</li>
</ul>","
Válvula tubeless de aluminio, acodada 80°.

Ø11,5: destinada principalmente a motos japonesas
Negro
",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,627,120,150,110,38,,,Negro,,,,,,https://api.mybihr.com/medias/800Wx800H-1052903-1.png?context=bWFzdGVyfHJvb3R8MTgwNTc0fGltYWdlL3BuZ3xhRGRoTDJoaU5DODNPVEl3T1RVeU16Z3pPVEF3Tmk4NE1EQlhlRGd3TUVoZk1UQTFNamt3TXkweExuQnVad3xjMzZhYWZhYjU3MDkwNzE4Nzk3Njc0YTIzMDNlMTBkMDYwNThhOWQ4MmM2Y2ZlNzNlMThlNDNiMzk3YTA1M2Rl,,https://static.bihr.pro/eBihr/Pictures/PROVAC-pictures.zip,https://api.mybihr.com/medias/447515.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyMjAwNHxhcHBsaWNhdGlvbi9wZGZ8YUdOakwyaGlaQzg1TURRek5EWXpNakE0T1Rrd0x6UTBOelV4TlF8MjgwYzdjNWY3ODcwZGIwNzc3MjdjNjhkZGI0MGFlY2ZkMWZjNGEzZTA4OWNiMzE0MmJiZDg5Y2VjN2UyNGI4Nw,,Spain Warehouse (Parts)
1052915,52100003,UN16,PROVAC,PROVC TAPE-STRIP FOR BALANCE WEIGHTS,Eliminador contrapesos de llanta PROVAC,54.96,45.42,36.34,52100003,1,8207909900,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Perfect rubber head to dislodge sticky weights leftovers. Ideal conic shape for hard to reach areas! </p><p> </p><ul> <li>4 500 t/mn maximum </li><li>6 mm stem </li><li>Thickness: 45 mm</li><li>Diameter : 51/35 mm</li><li>Net weight : 123 g</li></ul> </body> </html>","       Perfect rubber head to dislodge sticky weights leftovers. Ideal conic shape for hard to reach areas!   4 500 t/mn maximum 6 mm stem Thickness: 45 mmDiameter : 51/35 mmNet weight : 123 g  ",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,579,128,152,81,47,,,,,,,,,https://api.mybihr.com/medias/1052915-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTEzMDE0fGltYWdlL2pwZWd8YURJd0wyZzVaaTg0T1RNNU5UZzROekUwTlRJMkx6RXdOVEk1TVRVdE1WODRNREJYZURnd01FZ3xmMTlhNGVmMWY1MzFmNTYwYTA2ZWEwNTlkOGUyNWIzY2UzNGM1NzljMzM0YzEyN2QwMmFmNDRjZmE4M2ZmMTg5,,https://static.bihr.pro/eBihr/Pictures/PROVAC-pictures.zip,,,Spain Warehouse (Parts)
1052900,8941018,231900,PROVAC,PROVC TIRE VALVE TOOL,PROVAC Plastic Valve Puller,15.13,12.50,10.00,4049256139429,1,8205598000,0,1,"<p>High-strength plastic lever for installing rubber valves.<br>
No more damage to aluminum wheels!<br>
&nbsp;</p>
<p><strong>Dual function:</strong></p>
<ul>
	<li>Screwing/unscrewing the valve core</li>
	<li>Installing the valve</li>
</ul>
","
High-strength plastic lever for installing rubber valves.
No more damage to aluminum wheels!
 

Dual function:

	Screwing/unscrewing the valve core
	Installing the valve

",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,208,94,325,32,20,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1052900-1.jpg?context=bWFzdGVyfHJvb3R8ODM0M3xpbWFnZS9qcGVnfGFEUmtMMmc1T1M4NE1UWTJOVGc0TXpFM05qazVNQzg0TURCWGVEZ3dNRWhmTVRBMU1qa3dNQzB4TG1wd1p3fDBhM2M0YjY0NTM3NjMxYWYwMDgwZmNjNmFkYmYwNWZmMDVlNjY4NTkyMzhlZDVlYmEwMDQ5YTA3MGRhMDA3OGQ,https://api.mybihr.com/medias/800Wx800H-1052900-2.jpg?context=bWFzdGVyfHJvb3R8MTY1Nzd8aW1hZ2UvanBlZ3xhRGRsTDJnNFppODRNVFkyTlRnNE16UXpPVEV6TkM4NE1EQlhlRGd3TUVoZk1UQTFNamt3TUMweUxtcHdad3xmNGE5NDIwZDE5ZGNhNWVjMWIxY2M0YjRiN2E4MzQxMzIxOTE3OWRmYzNjNGFjNzBmNjhlZGUzMTY2NzYzZGUx,https://static.bihr.pro/eBihr/Pictures/PROVAC-pictures.zip,,,Spain Warehouse (Parts)
1052891,8941031,012354,PROVAC,PROVC TALC BIHR 500GR,Talco PROVAC,16.66,13.77,11.02,4018643507028,0,4008219000,0,1,Facilita el montaje de las ruedas con cámara de aire. Bote de 455 g,Facilita el montaje de las ruedas con cámara de aire. Bote de 455 g,TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,957,542,68,68,207,,,,,,,,,https://api.mybihr.com/medias/1052891-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjE1NDl8aW1hZ2UvanBlZ3xhRGN4TDJnM05pODRPVFV6T1RNNU5Ua3hNVGs0THpFd05USTRPVEV0TVY4NE1EQlhlRGd3TUVnfGQ1MWVhZTcyMWNiM2UxODczNDhiY2YwYWFmNDAzNmZjNTNkZTNjYjE1N2I4YTdiMDMwYjNjMGE1MjMxYzJmNDc,,https://static.bihr.pro/eBihr/Pictures/PROVAC-pictures.zip,,,Spain Warehouse (Parts)
1052902,89605003,447505,PROVAC,"PROVC ANGLE VALVE L:24MM H:22,5MM Ø8,5MM","Válvula neumático PROVAC aluminio Ø8,5mm - x10",84.58,69.90,55.92,3661706374528,3,8481804090,0,1,"<p>Válvulas tubeless de aluminio, acodadas 80°.</p>
<ul>
<li>Ø8,5 mm: principalmente para motos europeas</li>
</ul>","
Válvulas tubeless de aluminio, acodadas 80°.

Ø8,5 mm: principalmente para motos europeas
",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,148,72,70,53,40,,,Negro,,,,,,https://api.mybihr.com/medias/800Wx800H-1052902-1.png?context=bWFzdGVyfHJvb3R8MTYzNDU5fGltYWdlL3BuZ3xhR0ZpTDJoaFlTODNPVEl3T1RVeU16VTNOamcyTWk4NE1EQlhlRGd3TUVoZk1UQTFNamt3TWkweExuQnVad3xlNGVkMjI2N2Y3YWRhMTVhNDY1ZDUwNDJlMzk2YmUyYmQyYTJjNzhmMTg4ODk2ZDEwZjNjNWJhZjQyZDg2NDk1,,https://static.bihr.pro/eBihr/Pictures/PROVAC-pictures.zip,https://api.mybihr.com/medias/447505.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyMjM4NXxhcHBsaWNhdGlvbi9wZGZ8YURVMEwyZzJPUzg1TURRek5EWXlPRGd4TXpFd0x6UTBOelV3TlF8NTQxNWI5MWQ5NWUwYjMzOGY0YzljMzRiNDI1OWIzZjA0MTE5M2RlMGZhMDBmNDY5YTRhZjBhNmM2MmYwNzU2Zg,,Spain Warehouse (Parts)
1052918,8941011,WAX,PROVAC,PROVC TIRE WAX 1KG,Pasta para montaje de neumáticos PROVAC blanca 1kg,10.77,8.90,7.12,4018643501040,23,3903909090,0,1,"Pasta para facilitar el montaje o desmontaje de los neumáticos. 			Gran capacidad de lubricación, no se escurre y se seca rápido (evita la rotación sobre la llanta) Cubo de 1 kg""""""""","Pasta para facilitar el montaje o desmontaje de los neumáticos. 			Gran capacidad de lubricación, no se escurre y se seca rápido (evita la rotación sobre la llanta) Cubo de 1 kg""""""""",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,2345,1053,129,142,128,,,,,,,,,https://api.mybihr.com/medias/1052918-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzk5ODl8aW1hZ2UvanBlZ3xhR0ZpTDJneVlpODRPVFE1TXpNMU56RTVPVFkyTHpFd05USTVNVGd0TVY4NE1EQlhlRGd3TUVnfDAwYThkZWRiZGM1NGU3MjJkMWVjMWRiNmVhZmI2NDZjMGJjNWQ1ZTQ3MzQxYmE1MzU1M2VmZjgxNGVmMDFjZTU,,https://static.bihr.pro/eBihr/Pictures/PROVAC-pictures.zip,https://api.mybihr.com/medias/1052918-FDS-CREME-DE-MONTAGE-WAX-PROVAC-FR-2023-03-22.pdf?context=bWFzdGVyfGRvY3VtZW50c3wxMDIyNDl8YXBwbGljYXRpb24vcGRmfGFHVTJMMmhrTmk4Mk5EZzNNVGd6T0RRNE1qUTJNaTh4TURVeU9URTRMVVpFVTE5RFVrVk5SU0JFUlNCTlQwNVVRVWRGWDFkQldGOVFVazlXUVVOZlJsSmZNakF5TXkwd015MHlNaTV3WkdZfDQ4ZGU3YzExYzg2MTdhZjcwYjE5YWYyMTVlOGI2MTVmMDU3M2QxNmY5ZTRmZTAxZDhhMzMyZmUxODhhZmExZDU,,Spain Warehouse (Parts)
