PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Diámetro de pistón,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura (mm),Composición,Compresión de pistón,Diámetro del cilindro (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Embalaje,Eslabones de cadena,Especificaciones,Espesor (mm),Nº de segmentos,Referencias OEM,Relación de compresión,Sobremedida,Tipo de cadena de distribución,Tipo de motor,Tipo de pistón,Tolerancia,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,DeliveryPlant
1017255,,23.6305RI,PROX,PROX BEARING,Cojinete de cigueñal PROX 25x62x16mm,38.85,32.11,20.87,23.6305RI,0,8483200000,0,1,"GROOVE, SEGMENT AND PIN","GROOVE, SEGMENT AND PIN",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,99,224,66,68,22,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017255-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgxMzB8aW1hZ2UvanBlZ3xhRFEzTDJnM05pODRPVFE0T1RBeU56SXpOakUwTHpFd01UY3lOVFV0TVY4NE1EQlhlRGd3TUVnfDc3MDFiNDgyMGRlNjJkMjIwMTA2MzJhNDhiMzAzZDYxYTFjNWNmZTQxOGI4NmIwNjNjNjIwOWUxOGZjYzhkYzI,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1005244,83950,22.253120,PROX,PROX CAGE NEEDLE ROLLER,Jaula de agujas pie de biela plata tipo M 15 agujas 25 x 31 x 20  22.253120,29.29,24.21,15.74,22.253120,2,8714109090,0,1,FOR CON-ROD BOTTOM END,FOR CON-ROD BOTTOM END,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,175,31,79,74,30,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1005244-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4NzR8aW1hZ2UvanBlZ3xhREE0TDJnMk1pODRPVE0wTnpReU16STNNekkyTHpFd01EVXlORFF0TVY4NE1EQlhlRGd3TUVnfGVlZjFmZTc4Y2M4NTE2YWRjNmQwZmY5YzNiMWViODQwNjczZGQ5MTQ3OWU4ZTgwOWRlOGRjN2M5MzAzMTQwN2E,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017253,,23.6304SH,PROX,PROX BEARING,Cojinete de cigueñal PROX 20x52x15mm,19.66,16.25,10.56,23.6304SH,0,8409910090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4EA70B48{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>PROX crankshaft bearing</li><li>For an OEM equivalent renewing</li><li>Unit delivered</li></ul> </body> </html>","        PROX crankshaft bearingFor an OEM equivalent renewingUnit delivered  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,74,148,58,58,22,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017253-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTY1NjYyfGltYWdlL2pwZWd8YURWbUwyZ3dNaTg0T1RJMk5UQTFOamszTXpFd0x6RXdNVGN5TlRNdE1WODRNREJYZURnd01FZ3xhMGUzODRkMzcwNTUwZDI0NGNkMzM2MzI0MjExYjQ4Y2NhNjAyYmFkMWQxODk5N2NjMWZhZmMyNzkyNWRlOTBm,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017262,,23.6328C4,PROX,PROX BEARING,Cojinete de cigueñal PROX 28x68x18mm,27.89,23.05,14.98,23.6328C4,0,8483200000,0,1,C4,C4,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,162,308,77,78,27,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017262-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgxMzB8aW1hZ2UvanBlZ3xhR0poTDJobU1pODRPVFV6TVRBMU1USXhNekV3THpFd01UY3lOakl0TVY4NE1EQlhlRGd3TUVnfDMwMjYwYTc1MGViYWYyZWVlM2Q5NjYwOThmNTkwNDNlNjk1YjgxNTBjYTA2OWVmYzdhMzAzZmM3OGJmMDNiZjg,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017382,,41.4-3705,PROX,PROX OIL SEAL CRANKSHAFT,Reten cigueñal PROX  30x72x10mm,18.34,15.16,9.85,41.4-3705,0,4016930090,0,1,ONE IN PACK,ONE IN PACK,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,316,43,124,116,22,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017382-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzAwNTN8aW1hZ2UvanBlZ3xhR0UyTDJneE15ODRPVFV5TlRFNE9EWTVNREl5THpFd01UY3pPREl0TVY4NE1EQlhlRGd3TUVnfDAxY2VlZTM2NWM3MmQ3YTM5OTZmZGMzNzRiNDFkYmE2OGYxY2FjZjUxNjc4MDIwNmI3MjliZTZkMjFjMDQxZDE,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017427,,42.3314,PROX,PROX OIL SEAL CRANKSHAFT,Kit de retenes de cigueñal PROX,29.48,24.36,15.83,42.3314,0,4016930090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,182,43,75,76,32,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017427-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzAxNzZ8aW1hZ2UvanBlZ3xhREppTDJnMFlpODRPVFV5TnprM05qa3hPVE0wTHpFd01UYzBNamN0TVY4NE1EQlhlRGd3TUVnfDYyZjAyYjE1ZDQwYmFiODkxZWEyNGI1YWI0ZjA2ODMxNzc5NTdkNDU0ZjlhYWYyZmVhYjk0ZjFmNzVhY2JkNTM,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1005237,83941,22.222917F,PROX,PROX CAGE NEEDLE ROLLER,Jaula de agujas pie de biela plata exterior liso 16 agujas 22 x 29 x 17  22.222917F,67.34,55.65,36.17,8430525839410,0,8714109090,0,1,"Manufactured in the USA, PROX engine components are designed to guarantee maximum performance and reliability.","Manufactured in the USA, PROX engine components are designed to guarantee maximum performance and reliability.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,86,27,65,60,22,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1005237-1.jpg?context=bWFzdGVyfHJvb3R8ODc0NTB8aW1hZ2UvanBlZ3xhR0prTDJnd01DOHpNekV6TVRFd056WXhORGMxTUM4NE1EQlhlRGd3TUVoZk1UQXdOVEl6TnkweExtcHdad3w0ZjU3YWNhM2U0MmJjYzNmYTlkNTY5MWIyZjdmOTdkYzg3N2QxOTYwZjIzODNkZDcwYmVhMzg2MGNkZWE3ZTQz,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017280,,23.8ENK/60,PROX,PROX BEARING,Cojinete de cigueñal PROX 39x60x16mm,66.56,55.01,35.76,23.8ENK/60,0,8483200000,0,1,ROLLER BEARING,ROLLER BEARING,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,168,160,72,73,32,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017280-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDYyOTN8aW1hZ2UvanBlZ3xhRGN3TDJnd1ppODRPVEkwTkRVM09Ua3lNakl5THpFd01UY3lPREF0TVY4NE1EQlhlRGd3TUVnfDMwODVlOTY5YTA5YTAyOGZmMjQxYzJmOTU0MmVkYTIxYWQxOGQ1MTFhZGJmYjU0NjAzYTkxNjg5NmMwYWRlYmI,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017282,,23.CBS24098,PROX,PROX BEARING CRANKSHAFT SET,Kit de rodamientos de cigüeñal PROX,106.41,87.94,52.76,23.CBS24098,7,8482109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4EA70B48{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs9D249CCB{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>PROX crankshaft bearings enable you to recondition your crankshaft so that it remains as reliable as the original set-up.</p><p> </p><ul> <li>Crankshaft bearings only</li><li>Bearings treated to minimise friction <a id=""_DX_FRAG_ENDFRAGMENT""></a></li></ul> <p> </p></body> </html>","       PROX crankshaft bearings enable you to recondition your crankshaft so that it remains as reliable as the original set-up.  Crankshaft bearings onlyBearings treated to minimise friction    ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,586,730,83,83,85,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017282-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTE0NTgwfGltYWdlL2pwZWd8YURsakwyaG1aUzg0T1RJM01ESTRPRE00TkRNd0x6RXdNVGN5T0RJdE1WODRNREJYZURnd01FZ3w3NGEzMmY5MGU5NjUwYzFmZTRjYmY3MzQyZTM3OWQzMWYyNWYzODBjODY0NzI4ZjQ2NzAyYzY5YTU1MzdhMmMx,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017386,,41.4-507,PROX,PROX OIL SEAL CRANKSHAFT,Reten cigueñal PROX  30x62x10mm,17.09,14.12,9.18,41.4-507,0,4016930090,0,1,ONE IN PACK,ONE IN PACK,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,77,35,88,73,12,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017386-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc0OTJ8aW1hZ2UvanBlZ3xhR1prTDJobFlpODRPVFV6TVRBMU16RTNPVEU0THpFd01UY3pPRFl0TVY4NE1EQlhlRGd3TUVnfGQyMDc1N2E1MDBiOGVhMjFkNmYyMzA4OTJmYjFkMWMyNjQzYjUyZDg4ZmZhYmM5MWQxNjQ1Y2I5YTYwMjhlYmY,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
