PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Diámetro Ø (mm),Embalaje,Longitud (mm),Picture1,AllPicturesZIP,DeliveryPlant
1045392,,100-0050244SX,TNK,TNK FORK TUBE - 41 X 648 MM,Tubo de horquilla TAROZZI - 41x648,222.16,183.60,110.16,8000000002792,0,8714109090,0,1,"<p>TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).</p>
<p>Left-hand tube OEM comparison number = 51510-ML7-921</p>","
TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).

Left-hand tube OEM comparison number = 51510-ML7-921",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,4148,2200,790,70,75,,,,,https://api.mybihr.com/medias/1045392-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4MTl8aW1hZ2UvanBlZ3xhREF3TDJnd09DODRPVGN3TlRnek56QXpOVGd5THpFd05EVXpPVEl0TVY4NE1EQlhlRGd3TUVnfGE0MzgwYzRkYTQ4YmU4YzlmNjhkZjE1OWIxZTk5ODM2MzcyMjQ3ZTZlZTAzMDQ2ZWEwNjk1ZjAxMDg5NWZkZjM,https://static.bihr.pro/eBihr/Pictures/TNK-pictures.zip,Spain Warehouse (Parts)
1045259,,100-0050082,TNK,TNK FORK TUBE CHROME - 36 X 591 MM,Tubo de horquilla TAROZZI - 36x591,222.16,183.60,110.16,8000000001047,0,8714109090,0,1,"<p>TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).</p>
<p>OEM comparison number = 39093-1064</p>","
TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).

OEM comparison number = 39093-1064",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,4148,2200,790,70,75,,,,,https://api.mybihr.com/medias/1045259-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4MTl8aW1hZ2UvanBlZ3xhR016TDJnMVl5ODRPVGN3TlRVNE5UTTNOelU0THpFd05EVXlOVGt0TVY4NE1EQlhlRGd3TUVnfGMwNDk2YmE5ZWM4MjY3OTNhMjFmNmQ2YmNkMmJkNWFmMmEwYmE4N2FkNjQzYmYwNThlNjQ5MWNlZDJkNmIxNDM,https://static.bihr.pro/eBihr/Pictures/TNK-pictures.zip,Spain Warehouse (Parts)
1045266,,100-0050299,TNK,TNK FORK TUBE CHROME - 41 X 617 MM,Tubo de horquilla TAROZZI - 41x617,222.16,183.60,110.16,05 0299,1,8714109090,0,1,"<p>TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).</p>
<p>OEM comparison number = 44013-1339</p>","
TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).

OEM comparison number = 44013-1339",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,4148,2200,790,70,75,,,,,https://api.mybihr.com/medias/1045266-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI3Mzh8aW1hZ2UvanBlZ3xhRGMwTDJneFlTODRPVGN3TlRVNU9URTBNREUwTHpFd05EVXlOall0TVY4NE1EQlhlRGd3TUVnfDUyZjYwZjcyNzMxZDEyMWE1MTE4ZTY4OTBhODNiYmFlYmQwNDNjODY1ZWExMzcyMGJhNjcwNzVkYzVjNmMwMzE,https://static.bihr.pro/eBihr/Pictures/TNK-pictures.zip,Spain Warehouse (Parts)
1045288,,100-0050355,TNK,TNK FORK TUBE CHROME - 41 X 622 MM,Tubo de horquilla TAROZZI - 41x622,222.16,183.60,110.16,8000000003904,0,8714109090,0,1,"<p>TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).</p>
<p>OEM comparison number = 44013-1409</p>","
TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).

OEM comparison number = 44013-1409",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,4148,2200,790,70,75,,,,,https://api.mybihr.com/medias/1045288-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI3Mzh8aW1hZ2UvanBlZ3xhRGt5TDJoak1TODRPVGN3TlRZME1qTTVNemt3THpFd05EVXlPRGd0TVY4NE1EQlhlRGd3TUVnfDA3MjQ3NTk3MjNhYTQzNDhiNGUxODU4ZDY2NzU3ODRiOTllZTIyNjQ1MzljM2NiYzA1MjAzZWRiY2QzNGVlYWI,https://static.bihr.pro/eBihr/Pictures/TNK-pictures.zip,Spain Warehouse (Parts)
1045289,,100-0050623,TNK,TNK FORK TUBE CHROME - 43 X 518 MM,Tubo de horquilla TAROZZI - 43x518,365.90,302.40,181.44,8000000006639,2,8714109090,0,1,"<p>TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).</p>","
TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,4148,2200,790,70,75,,,,,https://api.mybihr.com/medias/1045289-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4MTl8aW1hZ2UvanBlZ3xhRFl4TDJoak9DODRPVGN3TlRZME5ETTFPVGs0THpFd05EVXlPRGt0TVY4NE1EQlhlRGd3TUVnfDVkMGVhZDhhMzQ2MmQ5ZmQ0ODAxYmJiOWIwOGM2ZWZlNjc4MWM1ZDUwOWUyMDk5ODU4YTk1NzAwZmY2MzgzMjI,https://static.bihr.pro/eBihr/Pictures/TNK-pictures.zip,France Warehouse (Parts)
1044799,,100-0050643,TNK,"TNK FORK TUBE - 41,65 X 646 MM","Tubo de horquilla TAROZZI - 41,65x646",235.22,194.40,116.64,8000000006837,2,8714109090,0,1,"<p>TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).</p>","
TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,4148,2200,790,70,75,,,,,https://api.mybihr.com/medias/1044799-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4MTl8aW1hZ2UvanBlZ3xhREE0TDJnME1pODRPVGN3TkRjM09USTRORGM0THpFd05EUTNPVGt0TVY4NE1EQlhlRGd3TUVnfDM4NDI2YjYwZDk4MmY5ODMxNWYyZmI4NGJhODUyYzRkMmE0Y2FlYzViNjhlZTM1YzE0YzJlM2Y1YzI1NDljOTE,https://static.bihr.pro/eBihr/Pictures/TNK-pictures.zip,Spain Warehouse (Parts)
1044785,,100-0050674,TNK,TNK FORK TUBE - 40 X 515 MM,Tubo de horquilla TAROZZI - 40x515,215.62,178.20,106.92,8000000007148,0,8714109090,0,1,"<p>TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).</p>","
TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,4148,2200,790,70,75,,,,,https://api.mybihr.com/medias/1044785-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk0Njl8aW1hZ2UvanBlZ3xhRGxpTDJoalppODRPVGN3TkRjMU1UYzFPVFkyTHpFd05EUTNPRFV0TVY4NE1EQlhlRGd3TUVnfGIyYWRiYTE1MGU2ODAxMmJjOTZiNTU2MzQ5NTAxYzZlM2E3YjhiMzJiNjI5Y2Q4MGYzZjZjY2E1MGRmNDY2Zjc,https://static.bihr.pro/eBihr/Pictures/TNK-pictures.zip,Spain Warehouse (Parts)
1044786,,100-0050675,TNK,TNK FORK TUBE - 40 X 495 MM,Tubo de horquilla TAROZZI - 40x495,215.62,178.20,106.92,8000000007155,4,8714109090,0,1,"<p>TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).</p>","
TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,4148,2200,790,70,75,,,,,https://api.mybihr.com/medias/1044786-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4MTl8aW1hZ2UvanBlZ3xhRFpqTDJoa05pODRPVGN3TkRjMU16Y3lOVGMwTHpFd05EUTNPRFl0TVY4NE1EQlhlRGd3TUVnfGRhZjczMTk1NTZjOGQwMzlhMmIwNTU0ZmViYTE2ODNlMDUzOGI5ZjJiZWUwMWZmYWYzMWY1YzE3ZjI0ZWZhYjE,https://static.bihr.pro/eBihr/Pictures/TNK-pictures.zip,Spain Warehouse (Parts)
1044787,,100-0050333,TNK,TNK FORK TUBE - 40 X 625 MM,Tubo de horquilla TAROZZI - 40x625,215.62,178.20,106.92,8000000003690,0,8714109090,0,1,"<p>TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).</p>","
TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,4148,2200,790,70,75,,,,,https://api.mybihr.com/medias/1044787-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4MTl8aW1hZ2UvanBlZ3xhREk1TDJoa1pDODRPVGN3TkRjMU5UWTVNVGd5THpFd05EUTNPRGN0TVY4NE1EQlhlRGd3TUVnfDk5YTAwYzk0YmQ4YWIxZDdiYjNkOWYzODQzODllNjViMGVkZDcxMGQzY2JiNWJlZWIwMjEzZmNmMmUxNzMzMDg,https://static.bihr.pro/eBihr/Pictures/TNK-pictures.zip,Spain Warehouse (Parts)
1044817,,100-0050375,TNK,TNK FORK TUBE CHROME - 40 X 600 MM,Tubo de horquilla TAROZZI - 40x600,222.16,183.60,110.16,8000000004093,0,8714109090,0,1,"<p>TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).</p>
<p>OEM comparison number = 29.52.54.50</p>","
TNK fork tubes are spare parts manufactured in Italy that comply with the dimensions and tolerances of the original models. They feature a ground surface to ensure smooth sliding and preserve the tightness of the seals. These tubes can be used to replace worn, rusted or bent components, ensuring the proper functioning and precision of the front end, (sold individually).

OEM comparison number = 29.52.54.50",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,4148,2200,790,70,75,,,,,https://api.mybihr.com/medias/1044817-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4MTl8aW1hZ2UvanBlZ3xhRFJsTDJnd01pODRPVGN3TkRneE5EWTNOREl5THpFd05EUTRNVGN0TVY4NE1EQlhlRGd3TUVnfGVhZDNlMWM5NWMzNWRiYzY1ODQ1OWUyZTEwZDdlYjVlYmIwMzk2NjExNGQzYmViZWRlNzcyYzI3YzgyNzFjYjk,https://static.bihr.pro/eBihr/Pictures/TNK-pictures.zip,Spain Warehouse (Parts)
