PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),[Retén] Diámetro exterior (Ømm),[Retén] Diámetro interior (Ømm),Alarma,Altura (mm),Anchura,Anchura (mm),Anchura del neumático,Anchura interior del arco (mm),Ángulo ( ° ),Aro,Carcasa,Color,Composición,Diámetro de arco Ø (mm),Diámetro de cable Ø (mm),Diámetro de la llanta,Diámetro dirección Ø (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Dientes,Embalaje,Familia de neumáticos,Longitud (cm),Longitud (mm),Longitud de cable (mm),Longitud de Válvula,Longitud interna del arco (mm),Marcas compatibles,Modelo de freno,Montaje,Peso (g),Recorrido (mm),Talla,Tecnología,Tipo,Tipo de antirrobo,Tipo de producto,Tipo de válvula,Uso,Uso recomendado,Velocidades,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,AllPicturesZIP,Document1,Document2,DeliveryPlant
1093223,95100014,GH-295,V BIKE,VBIKE HANGER DERAILLEUR SPECIALIZED,Puntera de cambio V Bike SPECIALIZED,22.99,19.00,3.81,8590966392957,4,8714999089,0,1,<p>Puntera de cambio construida en aluminio 6061-T6 forjado en frío y acabado mediante mecanizado CNC. Garantiza una resistencia máxima. Se trata de un aluminio específico con mayor elasticidad para evitar la rotura característica en este tipo de piezas de la bicicleta. Envase individual en bolsa transparente con colgador.</p><ul><li>Forjado en frío y acabado con mecanizado CNC.</li><li>Aluminio 6061-T6.</li><li>Revestimiento anodizado duro en color negro.</li><li>Bulón incluido.</li></ul>,"
Puntera de cambio construida en aluminio 6061-T6 forjado en frío y acabado mediante mecanizado CNC. Garantiza una resistencia máxima. Se trata de un aluminio específico con mayor elasticidad para evitar la rotura característica en este tipo de piezas de la bicicleta. Envase individual en bolsa transparente con colgador.Forjado en frío y acabado con mecanizado CNC.Aluminio 6061-T6.Revestimiento anodizado duro en color negro.Bulón incluido.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,95,29,81,78,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & Infantil & MTB & Trekking/Touring,,https://api.mybihr.com/medias/1093223-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTUyMDkwfGltYWdlL3BuZ3xhR1V6TDJnMVpTOHhNRGc0TWpneE9EY3pOakUxT0M4eE1Ea3pNakl6TFRGZk9EQXdWM2c0TURCSXxhMmNjYWJlMjVhNDY0NjkwZTljYjEyZWUyZTVlZDY3ZGI4MmJlNDM0MWMwODYzOGE0N2I1YTUxY2VmNGQ5MGYx,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_BIKE-pictures.zip,,,Spain Warehouse (Parts)
1105245,"527-21,1",YS-9308-21.1,V BIKE,"VBIKE BICYCLE FORK 20. Ø21,1-25,4MM","Horquilla 20'' Diam. Int. 21,1mm",47.50,39.26,9.00,8430525019812,81,8714919000,0,1,"Bicycle fork, conventional rigid. 20''. Chromed.
Tube lenght: 240mm, Thread lenght 160 mm.
Inner Ø 21,1 (Ø Ext. 25,4).
With notch & hole for V-Brake, caliper and cantilever brakes.","Bicycle fork, conventional rigid. 20''. Chromed.
Tube lenght: 240mm, Thread lenght 160 mm.
Inner Ø 21,1 (Ø Ext. 25,4).
With notch & hole for V-Brake, caliper and cantilever brakes.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,6770,988,153,590,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciudad & Infantil,,https://api.mybihr.com/medias/1105245-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzM1NzB8aW1hZ2UvcG5nfGFERmpMMmhsT0M4eE1UTTVPVFkxTnpJMU9UQXpPQzh4TVRBMU1qUTFMVEZmT0RBd1YzZzRNREJJfDJhY2QyZmZkNjQzOTdmNjk5YTUwMWI2ZWM5ZmIyM2RhZTdhY2E0MDFkOTYwNjZkMmUwOTE1NGI2YjQ5ZGIyNDk,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_BIKE-pictures.zip,,,Spain Warehouse (Parts)
1105156,"146-22,2",YS-9308,V BIKE,"VBIKE BICYCLE FORK 26. Ø22,2-25,4MM","Horquilla rígda bicicleta 26"" Diam. Int. 22,2mm",59.99,49.58,9.99,8430525014879,185,8714919000,0,1,"Bicycle fork, conventional rigid. 26''. Chromed.
Tube lenght: 240mm, Thread lenght 160 mm.
Inner Ø 22,2 (Ø Ext. 25,4).
With notch & hole for V-Brake, caliper and cantilever brakes.","Bicycle fork, conventional rigid. 26''. Chromed.
Tube lenght: 240mm, Thread lenght 160 mm.
Inner Ø 22,2 (Ø Ext. 25,4).
With notch & hole for V-Brake, caliper and cantilever brakes.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,2745,1095,645,152,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciudad & Trekking/Touring,,https://api.mybihr.com/medias/1105156-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzMyNzl8aW1hZ2UvcG5nfGFEZzBMMmczWlM4eE1UTTVPVFkxTmpJM05UazVPQzh4TVRBMU1UVTJMVEZmT0RBd1YzZzRNREJJfGI4NGIzMmNkZDM0OGQwMmEyZDg4ZmZmM2ExNGUxNmFjM2RhY2QwMjI3ZTM2MDU5NGJkNjRhOWU2MmVmZjM0ZTk,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_BIKE-pictures.zip,,,Spain Warehouse (Parts)
1119185,,SP125,V BIKE,VBIKE DROPPER SEATPOST CARTRIDGE 125MM,Tija de sillín V BIKE dropper SP cartucho - 125mm,59.00,48.76,9.99,SP125,7,8714999000,0,1,,,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,301,147,314,48,20,,,,,,,,,,,,Negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1119185-1.jpg?context=bWFzdGVyfHJvb3R8Mjg3ODl8aW1hZ2UvanBlZ3xhR05pTDJnMFlTODBPRFV3T0RJeU16UTFOVEkyTWk4NE1EQlhlRGd3TUVoZk1URXhPVEU0TlMweExtcHdad3xmMWFmNmU5ZTQ3NGNmZWZhZDhkN2M3YzllYTRkYjNhZmU2MTc3YmY1ZDI1ZjEwMmI0ZjM0NjU1ZmJjZGYwMTJj,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_BIKE-pictures.zip,,,Spain Warehouse (Parts)
1119183,,SP309125,V BIKE,VBIKE DROPPER SEATPOST 30.9X125MM,Tija telescópica con cableado interno V BIKE Ø30.9 / 125mm,157.51,130.17,84.61,SP309125,5,8714999000,0,1,"<p>La tija telescópica V BIKE es una tija de sillín ajustable con ICR (Guiado de cable interno).</p>
<p>Proporciona a los ciclistas una forma de ajustar la altura del sillín sin herramientas. Posiciona libre y fácilmente la altura de tu sillín de acuerdo con el terreno que encuentres.</p>
<p>La palanca remota y el micro ajuste ofrecen una posición del asiento rápida y segura aplicada con una tecnología de confianza y robusta.</p>
<p>Diseño de cabezal único, elegante y fácil de montar.</p>
<p>Las palancas se venden por separado para que elijas la que más te convenga, presión vertical (palanca estándar, posición izquierda o derecha) u horizontal (palanca de cambio, solo posición izquierda) (Refs 1119186 o 1119187)</p>
<p>Las palancas, los cables y el cartucho también están disponibles como repuestos en caso de daño o desgaste.</p>
<ul>
	<li>Recorrido: 125 mm</li>
	<li>Cartucho: Aire / Aceite</li>
	<li>Inserción mínima en el cuadro: 100 mm</li>
	<li>Peso: 565 g</li>
</ul>
","
La tija telescópica V BIKE es una tija de sillín ajustable con ICR (Guiado de cable interno).

Proporciona a los ciclistas una forma de ajustar la altura del sillín sin herramientas. Posiciona libre y fácilmente la altura de tu sillín de acuerdo con el terreno que encuentres.

La palanca remota y el micro ajuste ofrecen una posición del asiento rápida y segura aplicada con una tecnología de confianza y robusta.

Diseño de cabezal único, elegante y fácil de montar.

Las palancas se venden por separado para que elijas la que más te convenga, presión vertical (palanca estándar, posición izquierda o derecha) u horizontal (palanca de cambio, solo posición izquierda) (Refs 1119186 o 1119187)

Las palancas, los cables y el cartucho también están disponibles como repuestos en caso de daño o desgaste.

	Recorrido: 125 mm
	Cartucho: Aire / Aceite
	Inserción mínima en el cuadro: 100 mm
	Peso: 565 g

",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,4005,783,524,98,78,,,,,,,,,,,,Negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E-Bike & MTB,,https://api.mybihr.com/medias/800Wx800H-1119183-1.jpg?context=bWFzdGVyfHJvb3R8MTU3Njl8aW1hZ2UvanBlZ3xhREkyTDJobE1TODBPRFEyT1RRNE5UTTROemd3Tmk4NE1EQlhlRGd3TUVoZk1URXhPVEU0TXkweExtcHdad3xiZDUzYTA5ZDg4MWEzODY3MmMwZTQwYTYwNDMzMTRhMGQyMTU1MDJmZjE3NTVlNWE0N2E0YTJmYTVhYzgxZjlh,https://api.mybihr.com/medias/800Wx800H-1119183-2.jpg?context=bWFzdGVyfHJvb3R8MTQyNjh8aW1hZ2UvanBlZ3xhRGcxTDJoa015ODBPRFEyT1RRNE5UYzRNVEF5TWk4NE1EQlhlRGd3TUVoZk1URXhPVEU0TXkweUxtcHdad3wwNGI2MzgyZjMyYjU0OTBhZDJhNzBjYTNiMzNhYzkzNzJkNjVlM2M2MGY3ZGNiMjA0ODhjY2ZiZmY0YTFmY2Fk,https://api.mybihr.com/medias/800Wx800H-1119183-3.jpg?context=bWFzdGVyfHJvb3R8MTQzNDd8aW1hZ2UvanBlZ3xhRFJqTDJnM1pTODBPRFEyT1RRNE5qRTNOREl6T0M4NE1EQlhlRGd3TUVoZk1URXhPVEU0TXkwekxtcHdad3w1NzQyMzZlNDY0NTMxMzIwMTI4YTcyNDU4NTUxZDNjMjEwYjRjN2IzNDc5MTk2ODhjZjdiYWQ3NmIyOTA4NDM3,https://api.mybihr.com/medias/800Wx800H-1119183-4.jpg?context=bWFzdGVyfHJvb3R8NTEzMDd8aW1hZ2UvanBlZ3xhR0ptTDJnM01DODBPRFEyT1RRNE5qVTJOelExTkM4NE1EQlhlRGd3TUVoZk1URXhPVEU0TXkwMExtcHdad3w0OTU5YWJjYmEyYjBiNTBkYTBjMjUxMGRkMWJkMWU5MTg1YWU5ZDFmYmJmMmUyZTZkZTMxOTEyNjcxN2RlNTZl,https://api.mybihr.com/medias/800Wx800H-1119183-5.jpg?context=bWFzdGVyfHJvb3R8NDE0MzV8aW1hZ2UvanBlZ3xhREZsTDJnMk15ODBPRFEyT1RRNE5qazJNRFkzTUM4NE1EQlhlRGd3TUVoZk1URXhPVEU0TXkwMUxtcHdad3w3MThlYjQ0YWU3OTRlMTQ4ZTQ3NjkzMzk1YzRiZjc3YjAxYThhN2QyYmFmM2NkNWI3ZWQxYzViNmJjOTJkZDg2,https://api.mybihr.com/medias/800Wx800H-1119183-6.jpg?context=bWFzdGVyfHJvb3R8MTgwNjN8aW1hZ2UvanBlZ3xhR1UxTDJnd1pDODBPRFEyT1RRNE56TTFNemc0Tmk4NE1EQlhlRGd3TUVoZk1URXhPVEU0TXkwMkxtcHdad3xlZDQ1Zjg2MzA3NTAzMWEwNzYwOGRjYjhhZjlmNGJhYjZhY2ZjYTY0ZDk2OTA5MTg2M2Q2OGNhZWQwZTJlNzBm,https://api.mybihr.com/medias/800Wx800H-1119183-7.jpg?context=bWFzdGVyfHJvb3R8NTMxNTh8aW1hZ2UvanBlZ3xhREU0TDJnd055ODBPRFV3T0RJeE9UVXlNekV3TWk4NE1EQlhlRGd3TUVoZk1URXhPVEU0TXkwM0xtcHdad3wyMzdmMmRlMDQ5NjlhYzE4N2E2ZDBhMjU5OWVmMjk2ODMxYTc0OWIzZGY3OTkzMDBhMjM5Y2RjNWNmZTE5MDU3,https://api.mybihr.com/medias/800Wx800H-1119183-8.jpg?context=bWFzdGVyfHJvb3R8NTE1NTV8aW1hZ2UvanBlZ3xhRGMwTDJnd05pODBPRFV3T0RJeE9Ua3hOak14T0M4NE1EQlhlRGd3TUVoZk1URXhPVEU0TXkwNExtcHdad3xkMDg3OWE4YjlmNTJkZDUxNGViMTMzYjJlNjBkYTkzNWQxYjkzNGU1NzlmNDRhMTE3ZTcwNWRkYWQ5NjZmNjc0,https://static.bihr.pro/eBihr/Pictures/V_BIKE-pictures.zip,,,Spain Warehouse (Parts)
1105251,"560-34,9",AT-116-34.9,V BIKE,"VBIKE SEATPOST CLAMP ALLEN COLLAR Ø34,9",Abrazadera cierre tija de sillín de bicicleta V BIKE con tornillo - Ø34.9mm Negro,3.99,3.30,1.50,8430525119758,381,8714991089,0,1,"Bicycle seatpost clamp. 19gr.
Allen key screw collar lock system. Aluminum. Color: black.
Frame size: Ø34,9 mm","Bicycle seatpost clamp. 19gr.
Allen key screw collar lock system. Aluminum. Color: black.
Frame size: Ø34,9 mm",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,131,26,99,83,16,,,,,,,,,,,,Negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & Infantil & MTB & Trekking/Touring,,https://api.mybihr.com/medias/1105251-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk0OTE3fGltYWdlL3BuZ3xhR05tTDJobU5pOHhNVE0yTkRrME9ETTBORGcyTWk4eE1UQTFNalV4TFRGZk9EQXdWM2c0TURCSXxmMDJhN2Y3Y2MxNGIzYzdhZmQ4ZTlhOGUxZDkzMTZkMmNjNzM4YTI0ZDVkYmM2NjFhNDU5OTI1NDdhZWM0MmUz,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_BIKE-pictures.zip,,,Spain Warehouse (Parts)
1105290,"804BL-34,9",XTB-C -34.9,V BIKE,"VBIKE SEATPOST QR CLAMP 34,9  WH",Abrazadera cierre tija de sillin bicicleta V BIKE cierre rapido - Ø34.9mm Blanco,5.00,4.13,1.00,8430525116863,127,8714991089,0,1,"Bicycle seatpost quick release clamp.
Quick Release system (QR). Aluminum. Color: White.
Frame size: Ø34,9 mm.","Bicycle seatpost quick release clamp.
Quick Release system (QR). Aluminum. Color: White.
Frame size: Ø34,9 mm.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,55,52,50,44,25,,,,,,,,,,,,Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & Infantil & MTB & Trekking/Touring,,https://api.mybihr.com/medias/1105290-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ4NTc1fGltYWdlL3BuZ3xhRE5oTDJnd05TOHhNVEk0TkRJNE56Z3hOVGN4TUM4eE1UQTFNamt3TFRGZk9EQXdWM2c0TURCSXxkOThkNjVhNDY5ZDFmMmY4ODA0ZjA4NjJkMWY5OTAzMjE0MWZmZDNkZjdmODVlNjllNGNmM2IyNWFjZjVmZWYw,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_BIKE-pictures.zip,,,Spain Warehouse (Parts)
1105149,"141-28,6",CC-212-28.6,V BIKE,"VBIKE SEATPOST CLAMP ALLEN COLLAR Ø28,6",Abrazadera cierre tija de sillín de bicicleta V BIKE con tornillo - Ø28.6mm Negro,4.01,3.31,1.00,8430525085152,96,8714991089,0,1,"Bicycle seatpost clamp.
Allen key screw collar lock system. Aluminum. Color: black.
Diagonal cut, contact point improved.
Weight: 18gr.
Frame size: Ø28,6 mm.","Bicycle seatpost clamp.
Allen key screw collar lock system. Aluminum. Color: black.
Diagonal cut, contact point improved.
Weight: 18gr.
Frame size: Ø28,6 mm.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,10,20,56,20,9,,,,,,,,,,,,Negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & Infantil & MTB & Trekking/Touring,,https://api.mybihr.com/medias/1105149-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ0Mjk1fGltYWdlL3BuZ3xhR1k0TDJoaU9TOHhNVEk0TkRJNU1qVXpORE13TWk4eE1UQTFNVFE1TFRGZk9EQXdWM2c0TURCSXw2NzZlNjE2NTJiOWYxOTcwMGZiZDFhMDg5OGIxMGJjODVkMWE1NzU4YTQ4NjY1MTA1MjA4YTllOGYyN2NlNThh,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_BIKE-pictures.zip,,,Spain Warehouse (Parts)
1105250,"560-28,6",AT-116-28.6,V BIKE,"VBIKE SEATPOST CLAMP ALLEN COLLAR Ø28,6",Abrazadera cierre tija de sillín de bicicleta V BIKE con tornillo - Ø28.6mm Negro,4.01,3.31,1.50,8430525119734,177,8714991089,0,1,"Bicycle seatpost clamp. 19gr.
Allen key screw collar lock system. Aluminum. Color: black.
Frame size: Ø28,6 mm","Bicycle seatpost clamp. 19gr.
Allen key screw collar lock system. Aluminum. Color: black.
Frame size: Ø28,6 mm",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,117,23,84,73,19,,,,,,,,,,,,Negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & Infantil & MTB & Trekking/Touring,,https://api.mybihr.com/medias/1105250-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk0OTE3fGltYWdlL3BuZ3xhRGsyTDJoaE1TOHhNVE0yTkRrME56azFNVFkwTmk4eE1UQTFNalV3TFRGZk9EQXdWM2c0TURCSXxhYTlkZjU2OTgyZDQxMjM2YjczNTk4NmU5NDIyNDY0NWM0MzMwOWQxNzJlMDQ2NjdjNDkzMjk3YmYwNzMzZjVj,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_BIKE-pictures.zip,,,Spain Warehouse (Parts)
1104330,277,CH-36,V BIKE,"VBIKE SEATPOST QUICK RELEASE, DIRECT MOU",Cierre rápido para tija de sillín V BIKE,3.99,3.30,1.50,8430525019652,162,8714999089,0,1,"Seatpost quick release. For conventional bicycle, direct frame mount. Steel","Seatpost quick release. For conventional bicycle, direct frame mount. Steel",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,135,109,88,45,34,,,,,,,,,,,,Plata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & Infantil & MTB & Trekking/Touring,,https://api.mybihr.com/medias/800Wx800H-1104330-1.jpg?context=bWFzdGVyfHJvb3R8NDE0MTF8aW1hZ2UvanBlZ3xhR0kyTDJnMFlpODJOVE16TVRVeU16TTROelF5TWk4NE1EQlhlRGd3TUVoZk1URXdORE16TUMweExtcHdad3wzMmJhOTAxYTE1MTVmYjYzNmEzZTg5Mjg2NmM2MTU4NDk5NDM4NjU0YmIwZGY5Y2IwYzE4NTBmNTEwMjI3Yjhi,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_BIKE-pictures.zip,,,Spain Warehouse (Parts)
