PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,V-Colores,V-Posición,V-Talla,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Alarma,Alto espejo (mm),Altura (mm),Ancho espejo (mm),Ancho exterior del manillar (mm),Anchura (cm),Anchura (mm),Anchura de la zona de sujeción (mm),Apertura (mm),Barra transversal,Bloqueo,Casquillo,Categoría ECE,Color,Color de la carcasa,Color del cristal,Componente de fijación,Composición,Compuesto del puño,Diámetro de cable Ø (mm),Diámetro de la cadena Ø (mm),Diámetro exterior de los extremos del manillar (mm),Diámetro interior del manillar (mm),Diámetro Ø (mm),Distancia entre pernos,Elevación de manillar (mm),Embalaje,Fijación,Forma,Función de la luz,Gama,Homologación,Incluye intermitente,Longitud (cm),Longitud (mm),Longitud de cable (mm),Longitud de control (mm),Longitud de la cadena (mm),Longitud total (mm),Montaje,Montaje de espejo retrovisor,Número de pines,Peso (g),Posición,Profundidad (mm),Referencias OEM,Resistencia,Rosca,Rosca (mm),Rosca de espejo,Rosca inferior,"Rosca superior ",Sentido de rosca,Talla,Terminales,Tipo,Tipo de antirrobo,Tipo de interruptor,Tipo de luz,Tipo de parabrisas,Tipo de pastilla de freno,Tipo de puño,Tipo de retrovisor,Uso,Versión de filtro,Voltaje,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,Picture9,Picture10,Picture11,Picture12,AllPicturesZIP,Document1,Document2,DeliveryPlant
8001433001,9540,MB10-9540,V PARTS,"VPART GLOVE , BLK, M",Soto guantes negro V PARTS talla M,3.94,3.26,1.96,8430525095403,170,6116990000,0,1,Soto guantes negro. <br><br><strong>Talla:</strong> M.,Soto guantes negro. Talla: M.,RIDER GEAR,APPAREL,APPAREL UNDERCLOTHES,Negro,,,M,298,22,100,119,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/8001433001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDU1MDh8aW1hZ2UvanBlZ3xhRFJtTDJoa1pTOHhOVFExT1Rnd01ESXhPVFkzT0M4NE1EQXhORE16TURBeExURmZPREF3VjNnNE1EQkl8N2VmNzEwZDBiOTlmNTE0YTE4NjIyNzBjODA2NGIyNjlhZjJiNDY1NmYzNWM1M2MxNzkwMDJjZmM0ZDQzNGM4Mg,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_PARTS-pictures.zip,,,Spain Warehouse (Parts)
8001433003,9587,MB10-9587,V PARTS,"VPART GLOVE , BLK, S",Soto guantes negro V PARTS talla S,3.94,3.26,1.96,8430525095878,1113,6116990000,0,1,Soto guantes negro. <br><br><strong>Talla:</strong> S.,Soto guantes negro. Talla: S.,RIDER GEAR,APPAREL,APPAREL UNDERCLOTHES,Negro,,,S,273,20,108,101,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/8001433003-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDU1MDh8aW1hZ2UvanBlZ3xhRGMxTDJnM1lpOHhOVFExT1Rnd01UQXdOakV4TUM4NE1EQXhORE16TURBekxURmZPREF3VjNnNE1EQkl8YTZhMjNjMjhiNWNjMTcyNGExODQ5ODE1MmYzMjNlYTQzZWU1ZmYyNzBjMzgyZDU3YTU1ZWE4NDhkNGJkNTcyMg,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_PARTS-pictures.zip,,,Spain Warehouse (Parts)
8001433002,9544,MB10-9544,V PARTS,"VPART GLOVE , BLK, L",Soto guantes negro V PARTS talla L,3.94,3.26,1.96,8430525095441,42,6116990000,0,1,Soto guantes negro. <br><br><strong>Talla:</strong> L.,Soto guantes negro. Talla: L.,RIDER GEAR,APPAREL,APPAREL UNDERCLOTHES,Negro,,,L,275,18,100,125,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/8001433002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDU1MDh8aW1hZ2UvanBlZ3xhR0ZtTDJoa01DOHhOVFExT1Rnd01EWXhNamc1TkM4NE1EQXhORE16TURBeUxURmZPREF3VjNnNE1EQkl8ZWIyYzk5MjhlYzc0ZGNhODg3Y2UxYTRiNWNlYzA3NDlmYWI3M2RkYzhjOTcwNjM5NWIyOTkwMmQzYjA4NzM0Nw,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_PARTS-pictures.zip,,,Spain Warehouse (Parts)
8000658,6146,MB6-1,V PARTS,VPART BACLAVA PANORAMO+IC,Sotocasco V PARTS térmico tipo panorámico negro,7.95,6.57,3.94,8430525061460,1163,6506999000,0,1,<p>Sotocasco tipo panorámico.</p><p>65% Poliester.</p><p>35% Viscosa.</p>,"
Sotocasco tipo panorámico.
65% Poliester.
35% Viscosa.",RIDER GEAR,APPAREL,APPAREL UNDERCLOTHES,,,,,191,40,41,111,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/8000658-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTA2ODh8aW1hZ2UvanBlZ3xhR00wTDJnME1DOHhOVFExT1RZNU5EQTFNVE0xT0M4NE1EQXdOalU0TFRGZk9EQXdWM2c0TURCSXxjNTY2YWJhZWFkNTNhNWQzMjA0ODIyY2U5MjJiYTMwNGFiZGYyY2YzMDVkNmQ1YjllMGI0NjhmM2Y0M2I4NTRi,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_PARTS-pictures.zip,,,Spain Warehouse (Parts)
1119092,S544,BS-025,V PARTS,VPART DRUM BRAKE VESPINO FRONT,Zapatas de freno V PARTS - BS-025,17.94,14.83,8.90,8430525018259,45,8409910090,0,1,"<p>Juego de zapatas para Vespino GL,SC,AL,ALX,F9</p>","
Juego de zapatas para Vespino GL,SC,AL,ALX,F9",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,,,,,439,224,118,124,30,,,,,,,,,,,,,,,,,,Orgánica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recambio,,,,,,https://api.mybihr.com/medias/800Wx800H-1119092-3.JPG?context=bWFzdGVyfHJvb3R8MTc5Njg5fGltYWdlL2pwZWd8YURJNEwyZzVPQzh6TWpZM05UVTVNalkyTnpFMk5pODRNREJYZURnd01FaGZNVEV4T1RBNU1pMHpMa3BRUnd8NTZiZTY0NWE1Yjg5YjFmODI0MmQyODA5ZWUyZDg0MjY3ZmNjMDFlMmViODZhZWQwMjFhMjZiZmQ3NmM1NWMyYw,https://api.mybihr.com/medias/800Wx800H-1119092-1.JPG?context=bWFzdGVyfHJvb3R8MjA0NjA2fGltYWdlL2pwZWd8YURZeEwyZ3pOUzh6TWpZM05UVTVNVGc0TURjek5DODRNREJYZURnd01FaGZNVEV4T1RBNU1pMHhMa3BRUnd8M2YxYWJkNjllYWQ0OTk2ZDM0MzZiNmMxYjcxZjRhMjE2NmUzZTFlMzI2MGE0MGQyYzhjYTNjN2FhNGIzYThlMw,https://api.mybihr.com/medias/800Wx800H-1119092-2.JPG?context=bWFzdGVyfHJvb3R8MTk5MDk1fGltYWdlL2pwZWd8YURsaEwyZzRZUzh6TWpZM05UVTVNakkzTXprMU1DODRNREJYZURnd01FaGZNVEV4T1RBNU1pMHlMa3BRUnd8MjI5YzIyOTRiMjM4NzA1NzY5ZGViMGQ4ODBmZjIyNTAxOTJjOGJmOTQ0MWI1Y2VmNjRiZWM0YTAzMjUzNTQwMw,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_PARTS-pictures.zip,,,Spain Warehouse (Parts)
1007154,19605,MT440-OT044,V PARTS,VPART CLUTCH ASSY,Embrague Maxiscooter V PARTS,34.94,28.88,17.33,8430525196056,41,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,,,,851,1104,126,125,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1007154-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODA2MDN8aW1hZ2UvanBlZ3xhRGhpTDJneE5DOHhOVFF4TWpNMk9USTVNek0wTWk4eE1EQTNNVFUwTFRGZk9EQXdWM2c0TURCSXw3YmU1MTNkNjBkNjJkNDBjMDEyYmZhYmYxZDllZDA5MDNhMDU1Zjk2NjIzODFmMjE3NDliMDM4MTk2Y2JmMjZk,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_PARTS-pictures.zip,,,Spain Warehouse (Parts)
1007165,19608,MT440-SU004,V PARTS,VPART CLUTCH ASSY,Embrague Maxiscooter (NO BURGMAN 2007-) V PARTS,40.95,33.84,20.30,8430525196087,36,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,,,,1249,1370,155,152,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1007165-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjU0OTZ8aW1hZ2UvanBlZ3xhRFl3TDJnMFlTOHhOVFF4TWpjd05EazJPRGN6TkM4eE1EQTNNVFkxTFRGZk9EQXdWM2c0TURCSXw3MWMyZTY3MWU5MGFkZTgzYzBkZWQ1YzNkNzEwM2JiYzUwZTJlMjFjOWJmZjVlYWNkOWZjNGE0M2Q4ZGQ2ZTc1,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_PARTS-pictures.zip,,,Spain Warehouse (Parts)
1007170,36589,MT446-OT019,V PARTS,VPART PULLEY FIXED,Polea fija dentada con ventilador Peugeot 2T 50cc PE 732801 V PARTS,14.96,12.36,7.42,8430525365896,29,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,,,,821,472,127,132,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1007170-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODM0MDd8aW1hZ2UvanBlZ3xhRGs0TDJoaE5DOHhOVFF4TWpVNE5qUXhOREV4TUM4eE1EQTNNVGN3TFRGZk9EQXdWM2c0TURCSXw1ZTc5YThmNzY3MDBkNThhNjNiYzFhMjBmYTVmNmE0YmY4MDVhZjlhMTI0ZGU3YTExZTkyYmMyMmViYmI0OTZk,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_PARTS-pictures.zip,,,Spain Warehouse (Parts)
1007169,36581,MT442-OT007,V PARTS,VPART PULLEY FIXED,Polea fija motor Piaggio 2T 50cc PI 289831 V PARTS,9.95,8.22,4.93,8430525365810,26,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,,,,435,304,118,119,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1007169-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTAwMzc5fGltYWdlL2pwZWd8YUdZMEwyZ3hZUzh4TlRReE1qWTBOVEU1T1Rrd01pOHhNREEzTVRZNUxURmZPREF3VjNnNE1EQkl8YzJlOWM1ZjMwZjEwMDNjMTc5NTY5MjQ0OWE2MTQ1OGZhZDUzMjY4NjE2MmQ2NTlhMGQ5ZTkyNWEyNmY3OTJmNA,https://api.mybihr.com/medias/1007169-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTYzNTJ8aW1hZ2UvanBlZ3xhRGsxTDJneU9DOHhOVFF4TWpZME5UVTVNekV4T0M4eE1EQTNNVFk1TFRKZk9EQXdWM2c0TURCSXxkZWY3MmM1NzY0Zjc3YmJhMDY4OTE5Mjk4MzUwOTlkOWNlZGE1MTQwODc1NzU3YzFjYmFiMmMzNzNjYTgxN2Y0,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_PARTS-pictures.zip,,,Spain Warehouse (Parts)
1007176,36588,1688,V PARTS,VPART SPAREPARTS KICK GEAR SPRING,"Muelle piñón de arranque V PARTS - Peugeot 41xØ22,5mm",1.95,1.61,0.16,8430525365889,193,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,,,,38,6,58,47,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1007176-1.jpg?context=bWFzdGVyfHJvb3R8OTIxMDF8aW1hZ2UvanBlZ3xhREJpTDJnMFppOHpNRE0yT0RRNU1UYzJOVGM1TUM4NE1EQlhlRGd3TUVoZk1UQXdOekUzTmkweExtcHdad3xjZTgxNTcwMTQzZDRjN2Q5Mzc0MGI0ZGQ4MDIyMzUwNWJhNzYwYmM1ZDcyYmFkNzZmMGY0ZTU2MDk2NTczNWJi,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/V_PARTS-pictures.zip,,,Spain Warehouse (Parts)
