PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,Picture2,Picture3,AllPicturesZIP,Document1,DeliveryPlant
1009812,650850,G150,V-FORCE,VFORC SPAREPARTS V/FORCE VALVE SEAL,Juntas para caja de láminas V-Force,7.94,6.56,4.26,G150,0,4016930090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,30,10,100,100,3,https://api.mybihr.com/medias/1009812-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4NTF8aW1hZ2UvanBlZ3xhREkxTDJneVlpODRPRFUyTmpZeE9URTNOekkyTHpFd01EazRNVEl0TVY4NE1EQlhlRGd3TUVnfDlhZjUwMDgzYjU1ZGJkZjhhOWMyNWNmZjdlOGE4MTYxOTgwMjlmYzdkZGFmODJjNTM4YzRmYTk3MjIyNmNkN2U,,,https://static.bihr.pro/eBihr/Pictures/V-FORCE-pictures.zip,,Spain Warehouse (Parts)
1009813,650816,G170,V-FORCE,VFORC SPAREPARTS V/FORCE VALVE SEAL,Juntas para caja de láminas V-Force,7.94,6.56,4.26,G170,3,4016930090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,205,20,197,104,10,https://api.mybihr.com/medias/800Wx800H-1009813-1.jpg?context=bWFzdGVyfHJvb3R8MjAyNjN8aW1hZ2UvanBlZ3xhRGRrTDJoaVpDOHhNREF6TmpFNU5qYzJOalV4T0RJdk9EQXdWM2c0TURCSVh6RXdNRGs0TVRNdE1TNXFjR2N8N2IyMTYwMDk4Y2JkYTI1NmMzYjIyZTgxODI0NjFjY2U5NGJmYmYyNDBmMTM0ZTA3YTJiNzhjNTRlZTYzOTg1Yw,,,https://static.bihr.pro/eBihr/Pictures/V-FORCE-pictures.zip,,Spain Warehouse (Parts)
1009817,650826,G304,V-FORCE,VFORC SPAREPARTS V/FORCE VALVE SEAL,Juntas para caja de láminas V-Force,7.94,6.56,4.26,650826,1,4016930090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,30,10,100,100,3,https://api.mybihr.com/medias/1009817-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4NTF8aW1hZ2UvanBlZ3xhR05pTDJoaE5TODRPRFUyTmpZek9EZ3pPREEyTHpFd01EazRNVGN0TVY4NE1EQlhlRGd3TUVnfGQyMDAwNjMwNjc2MzI0ZTkwZjMzODcyZGZmZWFiNTBkOWFjZjg2MjNjNjVlZmI2ZTYyODcxNjk3NTQwYTk0ZTU,,,https://static.bihr.pro/eBihr/Pictures/V-FORCE-pictures.zip,,Spain Warehouse (Parts)
1009822,650834,G311,V-FORCE,VFORC SPAREPARTS V/FORCE VALVE SEAL,Juntas para caja de láminas V-Force,7.94,6.56,4.26,G311,1,4016930090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,30,10,100,100,3,https://api.mybihr.com/medias/800Wx800H-1009822-1.jpg?context=bWFzdGVyfHJvb3R8MjYxMTN8aW1hZ2UvanBlZ3xhREUzTDJnMFpDOHhNREF6TmpFNU5qZzRORFE0TXpBdk9EQXdWM2c0TURCSVh6RXdNRGs0TWpJdE1TNXFjR2N8ZTdlY2Q3NjUxOWIwZGQ4Y2QyOTg1MGE5MzZhOTI4Mzc3NzNmMDYwNmVlMGM4ODIyMTk5MzdhNjNlY2Y2NmM4MA,,,https://static.bihr.pro/eBihr/Pictures/V-FORCE-pictures.zip,,Spain Warehouse (Parts)
1009818,650830,G305,V-FORCE,VFORC SPAREPARTS V/FORCE VALVE SEAL,Juntas para caja de láminas V-Force,7.94,6.56,4.26,650830,1,4016930090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,30,10,100,100,3,https://api.mybihr.com/medias/800Wx800H-1009818-1.jpg?context=bWFzdGVyfHJvb3R8MjU1MjB8aW1hZ2UvanBlZ3xhRGMwTDJnMk1TOHhNREF6TmpFNU5qZ3lOVFV3TURZdk9EQXdWM2c0TURCSVh6RXdNRGs0TVRndE1TNXFjR2N8NDc0ODE1NjAyZWZiY2U1NDE2YmRkYzY1OGI4OWQyMzMxZTNkMzA3ZGM5OGY2YWU2ZjA4NTFkNDJkZDFiYTMyZQ,,,https://static.bihr.pro/eBihr/Pictures/V-FORCE-pictures.zip,,Spain Warehouse (Parts)
1009820,650832,G307,V-FORCE,VFORC SPAREPARTS V/FORCE VALVE SEAL,Juntas para caja de láminas V-Force,7.94,6.56,4.26,650832,1,4016930090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,30,10,100,100,3,https://api.mybihr.com/medias/800Wx800H-1009820-1.jpg?context=bWFzdGVyfHJvb3R8MjUwNzh8aW1hZ2UvanBlZ3xhR1UzTDJnMU15OHhNREF6TmpFNU5qZzJORGd5TWpJdk9EQXdWM2c0TURCSVh6RXdNRGs0TWpBdE1TNXFjR2N8YTY5YWE2ZWUzNjQ1ODE0ZjFiYmVkN2U3ZjQxMjNjNTY1MzQ4NjQ2MTU4NDYyZGU2YWQ0M2QxMzZhMjdkMzVjMA,,,https://static.bihr.pro/eBihr/Pictures/V-FORCE-pictures.zip,,Spain Warehouse (Parts)
1009795,360423,3P462H,V-FORCE,VFORC SPAREPARTS REED PETALS CARBON,Láminas  de carbono para caja de láminas V-Force 3R,84.70,70.00,45.50,3P462H,0,8714109090,0,1,<p>Para caja 360349</p>,"
Para caja 360349",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,52,12,110,95,5,https://api.mybihr.com/medias/800Wx800H-1009795-1.jpg?context=bWFzdGVyfHJvb3R8MzA0MTF8aW1hZ2UvanBlZ3xhRE0wTDJoak1pODBOakUzT0RVM01UazNOamN6TkM4NE1EQlhlRGd3TUVoZk1UQXdPVGM1TlMweExtcHdad3xiN2M2YTZiY2Q4YzFjY2UzOGQxNmM3N2IyZDQ4ODBlMmIwODcwYmFiNTA0YWRjN2Y1NDM3OGEzYjA1ZjQyOGQ0,,,https://static.bihr.pro/eBihr/Pictures/V-FORCE-pictures.zip,,Spain Warehouse (Parts)
1009751,360328,V311A,V-FORCE,VFORC REEDVALVE FULL SYSTEM,"Caja de láminas V-Force 3, Honda CR125 03-04",212.81,175.88,114.32,V311A,1,8481809990,0,1,"<ul>
 <li>
  La nueva caja de láminas V3, el modelo más avanzado de cajas de láminas VForce. Su estructura de doble jaula con tubos Venturi potencia la velocidad de conducción del gas. Las 8 láminas de carbono mejoran la aceleración y la comodidad.Kit de láminas de carbono para caja de láminas system VForce 3R.
 </li>
</ul>","
 
  La nueva caja de láminas V3, el modelo más avanzado de cajas de láminas VForce. Su estructura de doble jaula con tubos Venturi potencia la velocidad de conducción del gas. Las 8 láminas de carbono mejoran la aceleración y la comodidad.Kit de láminas de carbono para caja de láminas system VForce 3R.
 
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1873,240,176,140,76,https://api.mybihr.com/medias/1009751-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzQ0MTh8aW1hZ2UvanBlZ3xhRE5pTDJneU9TODRPVEF4TXpnd01URXlOREUwTHpFd01EazNOVEV0TVY4NE1EQlhlRGd3TUVnfGQyNjZkMzUxZTgxNjIxNTc5MThjOGRjZDE0Nzk3MGQ4N2FhNjE1ODE2YWJkMTY4ZWZkMmE5OGM4NTU5ZjMyYWQ,https://api.mybihr.com/medias/1009751-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzkzMzZ8aW1hZ2UvanBlZ3xhR1k1TDJneVppODRPVEF4TXpnd016QTVNREl5THpFd01EazNOVEV0TWw4NE1EQlhlRGd3TUVnfGQxZjdlZjMxNWIxZmExOTJlYzgzYTdmZmE0YmZkNmM0ZjRhYzI0ODJiODA4MDM2NjRiNzQxZDliNDYyNTM2NWU,,https://static.bihr.pro/eBihr/Pictures/V-FORCE-pictures.zip,,Spain Warehouse (Parts)
1009736,360300,V301A,V-FORCE,VFORC REEDVALVE FULL SYSTEM,"Caja de láminas V-Force 3, Honda CR125 87-00 y 2002",212.81,175.88,114.32,V301A,1,8481809990,0,1,"<ul>
 <li>
  La nueva caja de láminas V3, el modelo más avanzado de cajas de láminas VForce. Su estructura de doble jaula con tubos Venturi potencia la velocidad de conducción del gas. Las 8 láminas de carbono mejoran la aceleración y la comodidad. Láminas de recambio: 360416
 </li>
</ul>","
 
  La nueva caja de láminas V3, el modelo más avanzado de cajas de láminas VForce. Su estructura de doble jaula con tubos Venturi potencia la velocidad de conducción del gas. Las 8 láminas de carbono mejoran la aceleración y la comodidad. Láminas de recambio: 360416
 
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1584,266,169,132,71,https://api.mybihr.com/medias/1009736-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzQ0MTh8aW1hZ2UvanBlZ3xhRFJrTDJoak9TODRPVEkwTVRJME9UQTFOVEF5THpFd01EazNNell0TVY4NE1EQlhlRGd3TUVnfDQxNWM4ZDBlMzMxYWE1MDU1MWRiZTcxMjczNTVkMTgzNWE5ODQxZGM5Nzc0YTI5MWRlYTNlMDRkNjcwMjgzZjQ,https://api.mybihr.com/medias/1009736-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzkzMzZ8aW1hZ2UvanBlZ3xhRE0yTDJobE9DODRPVEkwTVRJMU1UQXlNVEV3THpFd01EazNNell0TWw4NE1EQlhlRGd3TUVnfDBlYWZlMzA4Njg3ZDU3MDcyODcyNTI4Y2ZmMGFiMWFlNjAyNzkzY2YyZWI2YjAwMDY1NmUwZjljYTk4NmEwMmI,,https://static.bihr.pro/eBihr/Pictures/V-FORCE-pictures.zip,,Spain Warehouse (Parts)
1009739,360336,V302A,V-FORCE,VFORC REEDVALVE FULL SYSTEM,"Caja de láminas V-Force 3, Yamaha YZ125 95-04",212.81,175.88,114.32,V302A,1,8481809990,0,1,"<ul>
 <li>
  La nueva caja de láminas V3, el modelo más avanzado de cajas de láminas VForce. Su estructura de doble jaula con tubos Venturi potencia la velocidad de conducción del gas. Las 8 láminas de carbono mejoran la aceleración y la comodidad.
 </li>
</ul>","
 
  La nueva caja de láminas V3, el modelo más avanzado de cajas de láminas VForce. Su estructura de doble jaula con tubos Venturi potencia la velocidad de conducción del gas. Las 8 láminas de carbono mejoran la aceleración y la comodidad.
 
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1873,250,176,140,76,https://api.mybihr.com/medias/1009739-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzQ0MTh8aW1hZ2UvanBlZ3xhR1prTDJnd05TODRPVFE0T1RZMk5Ea3dNVFF5THpFd01EazNNemt0TVY4NE1EQlhlRGd3TUVnfDZkM2U1YjA3NmE0ZGE2OTI0NmJjNGIxNGU0MTY3ZGQ0ZGRmNmI4MjIyNjJhZWQ3YWFiZGVjZmUwZjllZjVhYjY,https://api.mybihr.com/medias/1009739-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzkzMzZ8aW1hZ2UvanBlZ3xhR0poTDJnd1l5ODRPVFE0T1RZMk5qZzJOelV3THpFd01EazNNemt0TWw4NE1EQlhlRGd3TUVnfDUzYTNkZGVmYzAwZWZmNDcxNmZjMGY5MDNhZDc1NTAyN2I4NjE2NDMyZGJmZTAwOGJmYjk0ZmNiOGRiNDA1Njc,,https://static.bihr.pro/eBihr/Pictures/V-FORCE-pictures.zip,,Spain Warehouse (Parts)
