PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura,Anchura del neumático,Aro,Carcasa,Color,Diámetro de la llanta,Familia de neumáticos,Longitud de Válvula,Montaje,Peso (g),Tecnología,Tipo de válvula,Uso,Uso recomendado,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,DeliveryPlant
1101314,32498,1C1.6DB.01.21.111BK,VITTORIA,VITTO CAMELBAK® PODIUM® CHILL INSULATED,Bidón CamelBak VITTORIA 610ml,18.00,14.88,2.99,32498,1,4202921900,0,1,"Bidón CamelBak® Podium® Chill con logo Vittoria. Bidón isotérmico, que mantiene el agua más fría durante más tiempo. Peso muy ligero, cuerpo comprimible y la revolucionaria válvula de silicona antigoteo JetValve™ siempre abierta y cerrada al mismo tiempo. Fabricado en polipropileno TruTaste™ con HidroGuard, exento de BPA. Capacidad: 650ml (21oz).","Bidón CamelBak® Podium® Chill con logo Vittoria. Bidón isotérmico, que mantiene el agua más fría durante más tiempo. Peso muy ligero, cuerpo comprimible y la revolucionaria válvula de silicona antigoteo JetValve™ siempre abierta y cerrada al mismo tiempo. Fabricado en polipropileno TruTaste™ con HidroGuard, exento de BPA. Capacidad: 650ml (21oz).",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1693,117,255,83,80,,,,,,,,,,,,,,Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring,https://api.mybihr.com/medias/1101314-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTY5MzN8aW1hZ2UvanBlZ3xhR1l4TDJneE1pODVOak14T0RFMk1UVTFNVFkyTHpFeE1ERXpNVFF0TVY4NE1EQlhlRGd3TUVnfDBiM2Y4NGQ1NDNlZTZkZjNhNzFlOTcyYTc3ZGZlYTJiNGUxMjhmNGEzNzBmOTEyNDlmNTM0ZDg4YjdkYTFmMmM,https://api.mybihr.com/medias/1101314-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTY0NjU2fGltYWdlL2pwZWd8YURZMEwyZ3dOUzg1TmpNeE9ERTJOVFE0TXpneUx6RXhNREV6TVRRdE1sODRNREJYZURnd01FZ3w5YjU4NzdkYTMwMjRiOGJlMjFiMjQ3MmViNGU3YWNhN2Q4ODY5NTQ1MDg3NjRkY2ZmOGVlYmNhZDEwMDA3NTU1,,,,https://static.bihr.pro/eBihr/Pictures/VITTORIA-pictures.zip,Spain Warehouse (Parts)
1101334,37843,1L1.6BX.01.00.111BK,VITTORIA,VITTO ZIP CASE,Bidón portaherramientas VITTORIA Zip Case,10.99,9.08,3.50,8022530029766,2699,8714919000,0,1,"El bidón portaherramientas semirrígido Vittoria Zip Case tiene un acceso fácil y cómodo, gracias a su apertura tipo libro de 180º quedando todo a la vista.<br><br>Características:<br>- Bote Con Cremallera longitudinal<br>- Dos compartimentos interiores con malla elástica en su interior para organizar los objetos transportados y aprovechar el espacio al máximo<br>- Permite llevar: artículos personales (llaves, móvil, etc.) kit de reparación (Pit Stop, cartucho CO2, desmontables, etc.)<br>- Hecho en material de larga duración<br>- Se fija en el portabidón de la bicicleta, de forma sencilla y estable<br>- También es apta para el bolsillo del maillot<br>- Medidas: 18cm x 7cm.","El bidón portaherramientas semirrígido Vittoria Zip Case tiene un acceso fácil y cómodo, gracias a su apertura tipo libro de 180º quedando todo a la vista.Características:- Bote Con Cremallera longitudinal- Dos compartimentos interiores con malla elástica en su interior para organizar los objetos transportados y aprovechar el espacio al máximo- Permite llevar: artículos personales (llaves, móvil, etc.) kit de reparación (Pit Stop, cartucho CO2, desmontables, etc.)- Hecho en material de larga duración- Se fija en el portabidón de la bicicleta, de forma sencilla y estable- También es apta para el bolsillo del maillot- Medidas: 18cm x 7cm.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1729,84,201,172,50,,,,,,,,,,,,,,Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring & Triathlon,https://api.mybihr.com/medias/1101334-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE5MTEyfGltYWdlL2pwZWd8YURSbUwyaGpNQzg1TmpNeE9ERTRNVEl4TWpRMkx6RXhNREV6TXpRdE1WODRNREJYZURnd01FZ3xmMzYzOTk1YzNiOTk4MjQ2ZWM5YjY4ODY3N2FhNGNmYjUwMWQwOTFjOTRmMzc1NWFiZjg5OThhODIxOTg4ZDZm,https://api.mybihr.com/medias/1101334-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDMyODQ2fGltYWdlL2pwZWd8YUdSakwyaGpaQzg1TmpNeE9ERTROVEUwTkRZeUx6RXhNREV6TXpRdE1sODRNREJYZURnd01FZ3w0NTlmYWViNjk1MDYzOTQ1MWQzYTM3ZTdjODA5Mjg4MWNkY2FkZGU5MWNkOWNjMzRkODMzZWVkY2Q0Y2QzNTIx,,,,https://static.bihr.pro/eBihr/Pictures/VITTORIA-pictures.zip,Spain Warehouse (Parts)
1126645,,1AA00091,VITTORIA,VITTO TUBELESS VALVE KIT 40 BLK,Set de 2 válvulas tubeless VITTORIA Multiway 40mm - Aluminio negro,25.00,20.66,14.46,8022530024143,6,8714999089,0,1,"<p>La válvula Multiway es una válvula tubeless ligera fabricada en aluminio de alta calidad. Es compatible con todas las llantas, así como con todos los insertos y selladores tubeless. Esto es posible gracias a las 4 salidas situadas en el extremo inferior de la válvula.</p>
<p>Las válvulas son del tipo Sclaverand (francés o Presta) y tienen una junta y un núcleo de válvula reemplazables. Una vez desenroscado el núcleo de la válvula, se puede verter el sellador en el neumático a través del vástago de la válvula. El tapón de aluminio contiene la herramienta para extraer el núcleo de la válvula.</p>
<p><strong>Especificaciones técnicas:</strong></p>
<ul>
	<li>Material: aluminio</li>
	<li>Tipo de válvula: Presta (SV, francesa o Presta, válvula de bicicleta de carretera)</li>
	<li>Orificio de la válvula en la llanta 6,5 mm de diámetro</li>
	<li>Longitud: 40 mm</li>
	<li>Color: negro</li>
	<li>Peso: 10g</li>
</ul>

<p><strong>Volumen de suministro:</strong> 2x Válvulas Tubeless VITTORIA Multiway 40mm negra</p>","
La válvula Multiway es una válvula tubeless ligera fabricada en aluminio de alta calidad. Es compatible con todas las llantas, así como con todos los insertos y selladores tubeless. Esto es posible gracias a las 4 salidas situadas en el extremo inferior de la válvula.

Las válvulas son del tipo Sclaverand (francés o Presta) y tienen una junta y un núcleo de válvula reemplazables. Una vez desenroscado el núcleo de la válvula, se puede verter el sellador en el neumático a través del vástago de la válvula. El tapón de aluminio contiene la herramienta para extraer el núcleo de la válvula.

Especificaciones técnicas:

	Material: aluminio
	Tipo de válvula: Presta (SV, francesa o Presta, válvula de bicicleta de carretera)
	Orificio de la válvula en la llanta 6,5 mm de diámetro
	Longitud: 40 mm
	Color: negro
	Peso: 10g



Volumen de suministro: 2x Válvulas Tubeless VITTORIA Multiway 40mm negra",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,137,18,118,58,20,,,,,,,,,,,,,,BMX & Carretera & Ciclocross & Ciudad & E-Bike & Gravel & Infantil & MTB & Rodillo & Touring & Trekking/Touring & Triathlon,https://api.mybihr.com/medias/800Wx800H-1126645-1.jpg?context=bWFzdGVyfHJvb3R8NzA0MTJ8aW1hZ2UvanBlZ3xhR0ZpTDJobFlTODJNekF6TVRVMk16WTRNVGd5TWk4NE1EQlhlRGd3TUVoZk1URXlOalkwTlMweExtcHdad3xhM2NmMWYyNzE3NTdkODRjOGNmNDk2MDg2OWE4NGVhYTlhNDE1Y2E1YjBhYWM0MDg2OWZiYjNkMDQxYmMwMDM2,https://api.mybihr.com/medias/800Wx800H-1126645-2.jpg?context=bWFzdGVyfHJvb3R8Nzg4OTh8aW1hZ2UvanBlZ3xhR1JrTDJobE1DODJNekF6TVRVMk16azBNemsyTmk4NE1EQlhlRGd3TUVoZk1URXlOalkwTlMweUxtcHdad3xiNzFhZWFlNWQ2NzBhYTg1ZGQzZTRlOGQ4YWQ5ZGViNmJmOTA1NTNjMzYxOGViNzMxMzllNjU2OWQzODMwMGZj,https://api.mybihr.com/medias/800Wx800H-1126645-3.jpg?context=bWFzdGVyfHJvb3R8NTMzMTV8aW1hZ2UvanBlZ3xhRFl4TDJnNU1pODJNekF6TVRVMk5ERTBNRFUzTkM4NE1EQlhlRGd3TUVoZk1URXlOalkwTlMwekxtcHdad3w3M2Y4ODVmMjRiYjM3NWU2OTU1NDBmZDE2YWVmYmQ1YTVjNGFkNDhkODZiYzA0N2I1Y2YzZDYwZWI4OGZjYjEz,https://api.mybihr.com/medias/800Wx800H-1126645-4.jpg?context=bWFzdGVyfHJvb3R8MTA4NTM3fGltYWdlL2pwZWd8YURreUwyZzRPQzgyTXpBek1UVTJORFF3TWpjeE9DODRNREJYZURnd01FaGZNVEV5TmpZME5TMDBMbXB3Wnd8NDBkNmMzNWFjMzkwMjVjMmI4NjI4NzhmY2Q1MjUyMmJjMGVlNGE1NDYwODllYWQzNmE4MmQ1NWU1Y2E1ZGZmMA,https://api.mybihr.com/medias/800Wx800H-1126645-5.jpg?context=bWFzdGVyfHJvb3R8NzkwOTJ8aW1hZ2UvanBlZ3xhRFUxTDJnM1pDODJNekF6TVRVMk5EYzVOVGt6TkM4NE1EQlhlRGd3TUVoZk1URXlOalkwTlMwMUxtcHdad3w0N2VmZDlmYWIxMzczN2RiMzc3YTdlZDU1MzVlMjZiMTAzYjA1NTFhNTkwYmY4Y2EzNzU3YzE4ODAyNzAwZDZh,https://static.bihr.pro/eBihr/Pictures/VITTORIA-pictures.zip,Spain Warehouse (Parts)
9005472,15121,111.5KC.02.48.444BX,VITTORIA,VITTO GEAX KEVLAR® CUIRASS 26,Pack de 2 BANDAS ANTIPINCHAZOS  VITTORIA Kevlar® Cuirass 26,42.00,34.71,18.00,641740241300,49,8714999089,0,1,"BANDAS ANTIPINCHAZOS<br>- Lámina de 48 mm de anchura para una buena inserción en el neumático<br>- Ligero, sólo 60 gramos<br>Protección asegurada:<br>Banda de aramida extremadamente fuerte para protección contra elementos punzantes. Esta banda protectora debe colocarse entre la cámara y la cubierta para proporcionar una capa adicional de protección contra los agentes externos. Ideal para todos aquellos que quieren más protección y evitar cualquier pinchazo, aunque sea a costa de un ligero aumento del peso.","BANDAS ANTIPINCHAZOS- Lámina de 48 mm de anchura para una buena inserción en el neumático- Ligero, sólo 60 gramosProtección asegurada:Banda de aramida extremadamente fuerte para protección contra elementos punzantes. Esta banda protectora debe colocarse entre la cámara y la cubierta para proporcionar una capa adicional de protección contra los agentes externos. Ideal para todos aquellos que quieren más protección y evitar cualquier pinchazo, aunque sea a costa de un ligero aumento del peso.",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,559,141,80,63,111,,,,,,,,,,,,,,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/9005472-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzQwODV8aW1hZ2UvanBlZ3xhRE0wTDJobVlTOHhNRGc1TURVM016SXhOemd5TWk4NU1EQTFORGN5TFRGZk9EQXdWM2c0TURCSXwwNDA0NDZkODlkMjBkYzFiN2YwNGZjYmUwMmI5ZWJjNjk3MDEzNjc2YWI4OTgyNDBmZThjZGI4ODQ2ZWNkMTcy,,,,,https://static.bihr.pro/eBihr/Pictures/VITTORIA-pictures.zip,Spain Warehouse (Parts)
9005121,99900013,1W25SPTA005,VITTORIA,VITTO RIM TAPE TUBELESS 30MMX9M,Rollo 9m cinta llanta VITTORIA tubeless 30mm,16.00,13.22,13.22,8022530010528,0,8714999089,0,1,"RIM TAPE TUBELESS<br>- For tubeless installation<br>- 0.15 mm thick<br>- 30mm x 9m<br>Air retention guaranteed:<br>Tubeless high pressure rim tape, color black, width 30mm , length 9m, 0.15mm thick, PP material","RIM TAPE TUBELESS- For tubeless installation- 0.15 mm thick- 30mm x 9mAir retention guaranteed:Tubeless high pressure rim tape, color black, width 30mm , length 9m, 0.15mm thick, PP material",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,648,74,180,120,30,,,,,,,,,,,,,,Ciudad & E-Bike & MTB & Trekking/Touring,https://api.mybihr.com/medias/800Wx800H-9005121-1.jpg?context=bWFzdGVyfHJvb3R8NjIxNjV8aW1hZ2UvanBlZ3xhR05qTDJobFlTOHpNelk0T0RnMU1UQTROek01TUM4NE1EQlhlRGd3TUVoZk9UQXdOVEV5TVMweExtcHdad3wxOWY2Njk0YzUyYzE4YjMxNGMyMDk2ZjA1Mjg1Y2Q4ZTI4MzZkNjFmNmYxZTlmMmQ4YTA3MDM3MjI0MzEwZDNi,,,,,https://static.bihr.pro/eBihr/Pictures/VITTORIA-pictures.zip,Spain Warehouse (Parts)
9005119,99900011,1W25SPTA003,VITTORIA,VITTO RIM TAPE TUBELESS 25MMX9M,Rollo 9m cinta llanta tubeless Vittoria 25mm,14.00,11.57,11.57,8022530008150,0,8714999089,0,1,"RIM TAPE TUBELESS<br>- For tubeless installation<br>- 0.15 mm thick<br>- 25mm x 9m<br>Air retention guaranteed:<br>Tubeless high pressure rim tape, color black, width 25mm , length 9m, 0.15mm thick, PP material","RIM TAPE TUBELESS- For tubeless installation- 0.15 mm thick- 25mm x 9mAir retention guaranteed:Tubeless high pressure rim tape, color black, width 25mm , length 9m, 0.15mm thick, PP material",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,720,50,120,200,30,,,,,,,,,,,,,,Ciudad & E-Bike & MTB & Trekking/Touring,https://api.mybihr.com/medias/9005119-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTExMzB8aW1hZ2UvanBlZ3xhR0kyTDJobVlTOHhNRGc1TURVMk5UUTFNVGd3Tmk4NU1EQTFNVEU1TFRGZk9EQXdWM2c0TURCSXw2ZTE3NjEwYmI0YjUzMmZmMzM3YTZlZDJiNDY4MzRjYzljYzdiZmFmODkzMTA2N2RlMjViNWVhYmIyN2NlOGU4,,,,,https://static.bihr.pro/eBihr/Pictures/VITTORIA-pictures.zip,Spain Warehouse (Parts)
9005446,55439,1Z1.2I6.A4.40.111BX,VITTORIA,VITTO MTB LITE 26X1.50/1.75 SCHRA. 48MM,Cámara de bici VITTORIA standard 26x1.5/2.0 Válvula gruesa 48mm,6.00,4.96,2.00,8022530009638,248,4013900000,0,1,"CÁMARAS DE AIRE STANDARD<br>- Cámaras de aire de butilo<br>- Buena resistencia a la perforación y retención de aire.<br>- Espesor de pared 0,9 mm<br>Cámaras de aire de butilo de uso general a diario. Las cámaras de aire estándar están fabricadas con caucho sintético de alta calidad con un grosor de pared de 0,9 mm. Ofrecen una buena resistencia a los pinchazos y un sólido rendimiento hermético en todos los casos.","CÁMARAS DE AIRE STANDARD- Cámaras de aire de butilo- Buena resistencia a la perforación y retención de aire.- Espesor de pared 0,9 mmCámaras de aire de butilo de uso general a diario. Las cámaras de aire estándar están fabricadas con caucho sintético de alta calidad con un grosor de pared de 0,9 mm. Ofrecen una buena resistencia a los pinchazos y un sólido rendimiento hermético en todos los casos.",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,480,202,80,100,60,1.5 - 1.75,,,,,26,,,,,,,,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/9005446-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzY2NDE3fGltYWdlL3BuZ3xhR05oTDJnME9TOHhNRGc1TURVM01EQXpPVE15Tmk4NU1EQTFORFEyTFRGZk9EQXdWM2c0TURCSXwzMjQ0ODg3NDlhNWYzYjE5NzgyMDNkZGUxOWUyYzQ1ODJkNGY5YmVlNTMxM2NkYjVkYjNhZDEyNjhhNWNiODFk,,,,,https://static.bihr.pro/eBihr/Pictures/VITTORIA-pictures.zip,Spain Warehouse (Tires)
9005661,37828,11A00015,VITTORIA,VITTO BARZO 29X2.25 XCR TLR SKINWALL G2,Neumático Vittoria Barzo 29x2.25 XCR flanco marrón G2.0,54.99,45.45,26.00,8022530017398,105,4011500000,0,1,"<p><strong>TALLA:</strong> 29x2.25</p><p><strong>TIPO:</strong> Plegable</p><p><strong>PESO:</strong> 600g<br></p><p>Neum�tico estudiado para recorridos t�cnicos, con peque�os tacos cercanos entre s�. El dibujo de la banda de rodadura, asim�trico y con forma de V, facilita el avance, la distribuci�n de la fuerza en el frenado y la limpieza de la goma.<br></p><p>� La elecci�n de los profesionales para pistas r�pidas.<br>� Neum�tico de competici�n XC con buen avance y fiable.</p>","
TALLA: 29x2.25
TIPO: Plegable
PESO: 600g
Neum�tico estudiado para recorridos t�cnicos, con peque�os tacos cercanos entre s�. El dibujo de la banda de rodadura, asim�trico y con forma de V, facilita el avance, la distribuci�n de la fuerza en el frenado y la limpieza de la goma.
� La elecci�n de los profesionales para pistas r�pidas.� Neum�tico de competici�n XC con buen avance y fiable.",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,4246,727,273,151,103,,2.25,Plegable,Cubierta,Negro,29,Neumáticos de bicicleta,,Tubeless,,,,MTB,,https://api.mybihr.com/medias/9005661-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzY4MDJ8aW1hZ2UvanBlZ3xhRGhsTDJobVpTOHhNRGc1TURZMk56UTFPRFU1TUM4NU1EQTFOall4TFRGZk9EQXdWM2c0TURCSXw3NGJkMDhlY2M1NDZkMzMyYjI2ODdkZjBlNzQwZmNiOWUzZWM0Mzk5MTZkYzM0NWI2ZWY4MmYyZmZlMTYxMDY0,https://api.mybihr.com/medias/9005661-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTA5OTIwfGltYWdlL2pwZWd8YURrMkwyaG1NQzh4TURnNU1EWTJOemc0TkRVM05DODVNREExTmpZeExUSmZPREF3VjNnNE1EQkl8MmRlMjc0MzU1ZjY2ZjllYmYyYzU1NGZhYTViMmViOGQwOTA0ZTE3MjQyMWJmNTJiMDY5M2IzNDJhZGNiZmJjZA,,,,https://static.bihr.pro/eBihr/Pictures/VITTORIA-pictures.zip,Spain Warehouse (Tires)
9005686,74474,1TA00043,VITTORIA,"VITTO FAT & PLUS TUBE 275X3/3,5 PRESTA",Cámara de bici VITTORIA Fat & Plus 27.5x3.0/3.50 válvula fina presta 48mm,9.50,7.85,3.55,8022530009829,22,8409910090,0,1,FAT & PLUS INNER TUBES<br>- For fat tires<br>- Antipuncture super protection<br>Butyl inner tubes made from quality synthetic rubber. These tubes provide a solid puncture resistance and reliable performance no matter how much rocky terrain you conquer. Fat & Plus tubes are a perfect match with Vittoria’s Fat and Plus tires.,FAT & PLUS INNER TUBES- For fat tires- Antipuncture super protectionButyl inner tubes made from quality synthetic rubber. These tubes provide a solid puncture resistance and reliable performance no matter how much rocky terrain you conquer. Fat & Plus tubes are a perfect match with Vittoria’s Fat and Plus tires.,TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,800,372,120,75,89,3 - 3.5,,,,,27.5,,,,,Fat&Plus,,,Ciudad & E-Bike & MTB,https://api.mybihr.com/medias/9005686-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTcyMjl8aW1hZ2UvanBlZ3xhR0kxTDJoaE1TOHhNRGc1TURZM09UTTROakUwTWk4NU1EQTFOamcyTFRGZk9EQXdWM2c0TURCSXwzMGYxM2IzZDJmN2M4MTlmM2Y4M2RjZjkyNDc4NTBiMWJiNTE0YWE4YmE0YTYxNzAxZjA2YmUyNmMxMTJhMGJl,,,,,https://static.bihr.pro/eBihr/Pictures/VITTORIA-pictures.zip,Spain Warehouse (Tires)
9005473,14959,131.5PK.01.75.555BL,VITTORIA,VITTO PIT STOP ROAD RACING KIT CARTIRDGE,Repara pinchazos VITTORIA Pit Stop Road Racing Kit 75ml,14.99,12.39,12.39,6417401258086,1,3506100000,0,1,"PITSTOP ROAD RACING KIT<br>- Infla y repara cubiertas de carretera<br>- La espuma permanece líquida en el interior del neumático durante 3 meses (incluso más tiempo si las condiciones externas son favorables)<br>- Ligera, práctica y disponible en latas de 75ml<br>- Kit compuesto por 1 cartucho Pit Stop Road Racing, + 1 práctico clip con correa para sujetarlo a la tija<br>Acción rapida:<br>El spray de reparación de Vittoria se considera la referencia del mercado. Específicamente diseñado para reparar cámaras de carretera con alta presión de inflado; es cómodo para llevarlo contigo en cada salida en bicicleta. Fácil de usar; permite reparar y volver a la bicicleta en el menor tiempo posible. El PitStop Road Racing puede ser usado con cámaras de butilo y látex, con cualquier cubierta tubeless y con cualquier válvula (tanto Presta como Schrader). Esta espuma es mucho más ligera - y mucho más fácil de aplicar y limpiar - que cualquier otra solución líquida. PitStop también puede ser usado como agente preventivo, puede inflar una cubierta de 23mm hasta 6 bar.","PITSTOP ROAD RACING KIT- Infla y repara cubiertas de carretera- La espuma permanece líquida en el interior del neumático durante 3 meses (incluso más tiempo si las condiciones externas son favorables)- Ligera, práctica y disponible en latas de 75ml- Kit compuesto por 1 cartucho Pit Stop Road Racing, + 1 práctico clip con correa para sujetarlo a la tijaAcción rapida:El spray de reparación de Vittoria se considera la referencia del mercado. Específicamente diseñado para reparar cámaras de carretera con alta presión de inflado; es cómodo para llevarlo contigo en cada salida en bicicleta. Fácil de usar; permite reparar y volver a la bicicleta en el menor tiempo posible. El PitStop Road Racing puede ser usado con cámaras de butilo y látex, con cualquier cubierta tubeless y con cualquier válvula (tanto Presta como Schrader). Esta espuma es mucho más ligera - y mucho más fácil de aplicar y limpiar - que cualquier otra solución líquida. PitStop también puede ser usado como agente preventivo, puede inflar una cubierta de 23mm hasta 6 bar.",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,1454,132,236,154,40,,,,,,,,,,,,,,Todos & Triathlon,https://api.mybihr.com/medias/9005473-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTYxOTZ8aW1hZ2UvanBlZ3xhR0UwTDJobVpTOHhNRGc1TURVM016UTBOekU1T0M4NU1EQTFORGN6TFRGZk9EQXdWM2c0TURCSXw3OTMwMWE0ZjZkNmJkOTc2ODgyMmU0YTgyMWY2YzkxZWRkMDlhMGUxNDhjNmY3MTY5NmRjYzE0NjY0ZDI2ODQ5,,,,,https://static.bihr.pro/eBihr/Pictures/VITTORIA-pictures.zip,Spain Warehouse (Parts)
