PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Uso recomendado,Picture1,Picture2,AllPicturesZIP,DeliveryPlant
1101222,15338,WAM-M18-BLACK,WELLGO,WELLG PEDALS M18,Pedales de bicicleta MTB automáticos WELLGO M919,45.00,37.19,7.00,8430525153387,844,8714961090,0,1,"Pedales de bicicleta MTB. WELLGO WAM-M919.
Rosca 9/16” x 20T.
Cuerpo: Aluminio. Color negro.
Eje: CR-Mo. Rodamiento a bolas.
Automáticos. Compatible con calas Shimano SH51 o las calas REF.15554/35527 (98A)
Medida: 59 x 84 mm.
Peso: 365gr/par.","Pedales de bicicleta MTB. WELLGO WAM-M919.
Rosca 9/16” x 20T.
Cuerpo: Aluminio. Color negro.
Eje: CR-Mo. Rodamiento a bolas.
Automáticos. Compatible con calas Shimano SH51 o las calas REF.15554/35527 (98A)
Medida: 59 x 84 mm.
Peso: 365gr/par.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,604,469,120,74,68,E-Bike & MTB,https://api.mybihr.com/medias/1101222-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTU3MDY3fGltYWdlL2pwZWd8YUdZM0wyaGlZaTg1TmpNeE5UQTFORFE0T1Rrd0x6RXhNREV5TWpJdE1WODRNREJYZURnd01FZ3w4OTJhY2ZhYWY1YjM0ZmVlZDhlZWYwNWMwZTE2MjRjNDhjMDliYjlkOTZiYjZhNTcyYTE2YzhlOWMyY2U1OWJm,,https://static.bihr.pro/eBihr/Pictures/WELLGO-pictures.zip,Spain Warehouse (Parts)
1101225,15506,M149-BLACK,WELLGO,WELLG PEDALS MTB M149,Pedales de bicicleta Trekking / Ciudad WELLGO M149,22.99,19.00,11.40,8430525155060,0,8714961090,0,1,"Pedales de bicicleta CIUDAD / TREKKING. WELLGO M149
Rosca 9/16” x 20T. Cuerpo y caja: Aluminio.
Eje CR-MO. Rodamiento Sellado.
Medidas plataforma: 97 x 63 mm.
Peso: 496gr/par.","Pedales de bicicleta CIUDAD / TREKKING. WELLGO M149
Rosca 9/16” x 20T. Cuerpo y caja: Aluminio.
Eje CR-MO. Rodamiento Sellado.
Medidas plataforma: 97 x 63 mm.
Peso: 496gr/par.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,685,300,136,95,53,Ciudad & Trekking/Touring,https://api.mybihr.com/medias/1101225-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQzMTU3fGltYWdlL2pwZWd8YURjd0wyaGhaUzg1TmpNeE5qZzJNemt6T0RnMkx6RXhNREV5TWpVdE1WODRNREJYZURnd01FZ3xkYTUzYjE0NjIzYjQzOWRlNDQzYWIyNDc0YjFkYzZmNTIxMWFiYzBlZjU3MDg2NDg1YWFjODBkNjgzNTcyNzA4,https://api.mybihr.com/medias/1101225-2-800Wx800H?context=bWFzdGVyfHJvb3R8MjY1MDA3fGltYWdlL2pwZWd8YUdVeUwyaGhNQzg1TmpNeE5qZzJOemczTVRBeUx6RXhNREV5TWpVdE1sODRNREJYZURnd01FZ3xmZTM0ZGQzOGY5MDIzMzgzMjcxYTc2NThhNjYyZDMxMmU1YWJhZmQwNTE1YWFlN2ZkNDUzZGRiZTc3ZTUyMzQ2,https://static.bihr.pro/eBihr/Pictures/WELLGO-pictures.zip,Spain Warehouse (Parts)
1101235,15557,W40-ALLOY,WELLGO,WELLG PEDALS ROAD ALU W40,Pedales de bicicleta carretera aluminio WELLGO W40,42.50,35.12,15.00,8430525155572,38,8714961090,0,1,"Pedales de bicicleta CARRETERA. WELLGO W-40.
Rosca 9/16” x 20T.
Cuerpo: Aluminio. Color plata mate.
Eje: CR-Mo. Rodamiento a bolas,
Automáticos. Compatible con calas LOOK.
Medidas 85 x 93 mm.
Peso: 296gr/par.","Pedales de bicicleta CARRETERA. WELLGO W-40.
Rosca 9/16” x 20T.
Cuerpo: Aluminio. Color plata mate.
Eje: CR-Mo. Rodamiento a bolas,
Automáticos. Compatible con calas LOOK.
Medidas 85 x 93 mm.
Peso: 296gr/par.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1677,492,184,134,68,Carretera & Triathlon,https://api.mybihr.com/medias/1101235-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTU4MDg2fGltYWdlL2pwZWd8YURGa0wyZzFNaTg1TmpFek5qWTNPVGt4TlRneUx6RXhNREV5TXpVdE1WODRNREJYZURnd01FZ3w5ODI1MTIzYzQyOTJiZGUxMGRhNWMxZjQ2YmM2NzlhNjQwZmY2MGU4NzNlMDljYzQ4YzZjOGMwOWM4ZmUyMGYy,,https://static.bihr.pro/eBihr/Pictures/WELLGO-pictures.zip,Spain Warehouse (Parts)
1101327,35527,RC8,WELLGO,WELLG CLEATS MIXED MTB/ROAD CR-MO RC8,Calas mixtas MTB/Carretera WELLGO RC8 para pedal tipo Shimano SH51 / SPD-SL,26.00,21.49,12.89,8430525355279,1,8714961090,0,1,"Juego de calas mixtas para pedales de bicicleta MTB y Carretera.
WELLGO RC8
Combina dos estilos diferentes con un solo par de zapatillas sin necesidad de cambiar las calas. Material Cr-Mo.
Compatible con los pedales 35528, 15338, 15339, 15557, W920, 35525, 35569, 35570, 35571 y con pedales Shimano con calas SH51 (MTB) / SPD-SL (Carretera).","Juego de calas mixtas para pedales de bicicleta MTB y Carretera.
WELLGO RC8
Combina dos estilos diferentes con un solo par de zapatillas sin necesidad de cambiar las calas. Material Cr-Mo.
Compatible con los pedales 35528, 15338, 15339, 15557, W920, 35525, 35569, 35570, 35571 y con pedales Shimano con calas SH51 (MTB) / SPD-SL (Carretera).",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,367,142,133,92,30,Carretera & MTB,https://api.mybihr.com/medias/1101327-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ4ODczfGltYWdlL2pwZWd8YURCbEwyZzNZaTg1TmpNeE5UWXhOREUyTnpNMEx6RXhNREV6TWpjdE1WODRNREJYZURnd01FZ3w5ODJkYWMzMzI5YTc0ZjM4YjRkYzg5YWI0Y2QyM2I5M2FiMTRlNzk3ZDVmYzlkM2ZhYWM4MDBiNzAyNTczOTU1,,https://static.bihr.pro/eBihr/Pictures/WELLGO-pictures.zip,Spain Warehouse (Parts)
1104959,35525,R191B-CRMO,WELLGO,WELLG COMBINATION PEDALS MTB/CITY R191B,Par pedales CITY/MTB MIXTO AUTOMÁTICO/PLATAFORMA WELLGO R191B,50.00,41.32,18.38,8430525355255,27,8714961090,0,1,<p>CITY / MTB MIXTO AUTOM�TICO/PLATAFORMA WELLGO R191B.</p><p>Compatible con calas Shimano o REF.15554/35527.</p><p><br><strong>Rosca:</strong> 9/16� x 20T.<br><strong>Cuerpo:</strong> Aluminio plata / Plataforma Kraton.<br><strong>Eje:</strong> CR-Mo Rodamiento sellado.<br><strong>Medida: </strong>90 x 87.5 mm. 380gr/par.<br><strong>Presentaci�n:</strong> Caja Wellgo.</p>,"
CITY / MTB MIXTO AUTOM�TICO/PLATAFORMA WELLGO R191B.
Compatible con calas Shimano o REF.15554/35527.
Rosca: 9/16� x 20T.Cuerpo: Aluminio plata / Plataforma Kraton.Eje: CR-Mo Rodamiento sellado.Medida: 90 x 87.5 mm. 380gr/par.Presentaci�n: Caja Wellgo.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,864,502,160,90,60,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/1104959-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjYyNTk5fGltYWdlL3BuZ3xhRGczTDJoaU1TOHhNRGswTXpRNE9EUXlOakF4TkM4eE1UQTBPVFU1TFRGZk9EQXdWM2c0TURCSXwxM2EwZGY0ZTYyNjIxYzZmMWNhMmE0MjQ4MjQ3M2M4NTNlNWQ1MmU5Y2MwM2RkZTNmYjYyN2M3YzdjMDNiYTQ3,https://api.mybihr.com/medias/1104959-2-800Wx800H?context=bWFzdGVyfHJvb3R8NTA3OTU0fGltYWdlL3BuZ3xhREUwTDJoaVppOHhNRGswTXpRNE9EZ3hPVEl6TUM4eE1UQTBPVFU1TFRKZk9EQXdWM2c0TURCSXxjMTIyYWNkZjc4MWU3NDJhMTY1NTRmNDk3ZGU5N2JhYTkyODdhOTg1MDIxM2YzYWYwYTVkZjZjZjUwOTQ1YWYy,https://static.bihr.pro/eBihr/Pictures/WELLGO-pictures.zip,Spain Warehouse (Parts)
1104964,35569,R120B-SILVER,WELLGO,WELLG COMBINATION PEDALS MTB/CITY R120B,Par Pedales MTB Plataforma/Clip aluminio eje Cr-Mo sellado Wellgo R120B,59.99,49.58,19.00,8430525355699,91,8714961090,0,1,<p>MTB MIXTO AUTOM�TICO/PLATAFORMA WELLGO R120B. <br>Compatible con calas Shimano o REF.15554/35527.</p><p><br><strong>Rosca</strong>: 9/16� x 20T.<br><strong>Cuerpo:</strong> Aluminio plata de una sola pieza.<br><strong>Eje:</strong> CR-Mo Rodamiento sellado.<br><strong>Medida:</strong> 85 x 84 mm. 352gr/par.<br><strong>Presentaci�n:</strong> Caja Wellgo.</p><p><br>&nbsp;</p>,"
MTB MIXTO AUTOM�TICO/PLATAFORMA WELLGO R120B. Compatible con calas Shimano o REF.15554/35527.
Rosca: 9/16� x 20T.Cuerpo: Aluminio plata de una sola pieza.Eje: CR-Mo Rodamiento sellado.Medida: 85 x 84 mm. 352gr/par.Presentaci�n: Caja Wellgo.
 ",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,888,472,139,90,71,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/1104964-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzc4NDcyfGltYWdlL3BuZ3xhREV4TDJoa1pTOHhNRGswTXpRNE9UWXdOVFkyTWk4eE1UQTBPVFkwTFRGZk9EQXdWM2c0TURCSXw3OWQ5NzVkZTJiMmFkMTg3M2VkZTFlOWRmMzAyZWQ2ZTY5MmMxYjJiZDYxMzFkMWJmNWVlOTBkNDQ4ZDc4ZDk3,https://api.mybihr.com/medias/1104964-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDAxODAwfGltYWdlL3BuZ3xhR1EwTDJoa01pOHhNRGswTXpRNE9UazVPRGczT0M4eE1UQTBPVFkwTFRKZk9EQXdWM2c0TURCSXw5NTExZGU3ZGYxYmUwYjg0NDg2OWFkMGYwNjkzMTQ5ZjdjNTQwM2VkZmYyYTAxZGQ1ZTdkYTIzMDhkOGJkMzA2,https://static.bihr.pro/eBihr/Pictures/WELLGO-pictures.zip,Spain Warehouse (Parts)
1104965,35570,WAM-D10,WELLGO,WELLG COMBINATION PEDALS MTB/CITY D10,Par Pedales MTB Plataforma/Clip magnesio eje Cr-Mo sellado Wellgo WAMD10,68.50,56.61,33.97,8430525355705,13,8714961090,0,1,<p>MTB MIXTO AUTOM�TICO/PLATAFORMA WELLGO R120B.</p><p>Compatible con calas Shimano o REF.15554/35527.</p><p><br><strong>Rosca:</strong> 9/16� x 20T.<br><strong>Cuerpo:</strong> Magnesio plata.<br><strong>Eje:</strong> CR-Mo Rodamiento sellado.<br><strong>Medida:</strong> 109.1 x 94.7 mm. 516gr/par.<br><strong>Presentaci�n:</strong> Caja Wellgo.</p>,"
MTB MIXTO AUTOM�TICO/PLATAFORMA WELLGO R120B.
Compatible con calas Shimano o REF.15554/35527.
Rosca: 9/16� x 20T.Cuerpo: Magnesio plata.Eje: CR-Mo Rodamiento sellado.Medida: 109.1 x 94.7 mm. 516gr/par.Presentaci�n: Caja Wellgo.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,700,648,100,100,70,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/1104965-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzgwMjE5fGltYWdlL3BuZ3xhRE5rTDJnek1DOHhNRGswTXpRNU1ETTVNakE1TkM4eE1UQTBPVFkxTFRGZk9EQXdWM2c0TURCSXxiYjYxZWUxZDEwNzJhOTg5MDQ3OTVjOWJlY2JjZjQ1MDlkODg3ZTMzZDZmMzgwMTY1YjRmZmU1NGFkMDcyNjg3,https://api.mybihr.com/medias/1104965-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDA2MTExfGltYWdlL3BuZ3xhR05pTDJnelpDOHhNRGswTXpRNU1EYzROVE14TUM4eE1UQTBPVFkxTFRKZk9EQXdWM2c0TURCSXwzYjdkYjViNzNlYjFmYjU5ZGU5YjhlZGU2YzlkZDg1Y2FhZTUxY2U5ZjFjYzIyMTRmYzI1MjVjMWI1NTZmMTU2,https://static.bihr.pro/eBihr/Pictures/WELLGO-pictures.zip,Spain Warehouse (Parts)
1104718,15335,B107P-CLEAR,WELLGO,WELLG PEDALS BMX/FREESTYLE CLEAR RESIN,Pedales BMX Wellgo resina trans,16.50,13.64,8.18,8430525153356,0,8714961090,0,1,<font size=1><font size=1><p align=left><font size=3>BMX/FREESTYLE/DIRTJUMP</font></p><p align=left><font size=3>Rosca 9/16� x 20T</font></p><p align=left><font size=3>Cuerpo: Resina transl�cida</font></p><p align=left><font size=3>Eje: CR-MO Sellado.</font></p><p align=left><font size=3>Rodamiento a bolas.</font></p><p><font size=3>102 x 112 mm. 186 gr.</font></p></font></font>,BMX/FREESTYLE/DIRTJUMPRosca 9/16� x 20TCuerpo: Resina transl�cidaEje: CR-MO Sellado.Rodamiento a bolas.102 x 112 mm. 186 gr.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1032,418,145,113,63,BMX,https://api.mybihr.com/medias/1104718-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzg4OTUzfGltYWdlL3BuZ3xhR0ZrTDJnMFpTOHhNRGswTXpRNE56WXpPVFU0TWk4eE1UQTBOekU0TFRGZk9EQXdWM2c0TURCSXw3ZjFkZjZjNjZhNTY4ODE2ZTg2MDMyOGRhMDZiNjg5ZTc2MzU3ZDc2NDJjZWMwZTQ3MDgxYjE0YzI0YWM3OGVl,,https://static.bihr.pro/eBihr/Pictures/WELLGO-pictures.zip,Spain Warehouse (Parts)
1104960,35526,RC-7B,WELLGO,WELLG ROAD CLEATS LOOK KEO FLOATED 6º,Calas de carretera WELLGO 6º antideslizantes compatibles Look y Wellgo R096,13.00,10.74,6.44,8430525355262,80,8714961090,0,1,"<p>Juego de calas compatibles con pedales Look Keo y Wellgo R096.</p>
<p>Plataforma de kraton antideslizante.</p>
<p>Sistema flotante 6º.</p>
<p>&nbsp;</p>
<p>Incluye:</p>
<ul>
	<li>2 calas</li>
	<li>6 mounting bolts (M4)</li>
	<li>6 cleat mounting washers</li>
</ul>
","
Juego de calas compatibles con pedales Look Keo y Wellgo R096.

Plataforma de kraton antideslizante.

Sistema flotante 6º.

 

Incluye:

	2 calas
	6 mounting bolts (M4)
	6 cleat mounting washers

",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,375,78,130,93,31,Carretera & Triathlon,https://api.mybihr.com/medias/1104960-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzE1NTg1fGltYWdlL3BuZ3xhRGxtTDJobFlpOHhNRGswTXpRNE9USXhNalEwTmk4eE1UQTBPVFl3TFRGZk9EQXdWM2c0TURCSXw0YzhkYTE1ZjBkMzNkMzViZGUwNjNiMzU5M2RmMzNjZDIwYjNiMmMzYWY2ZDE0MzM3OWRjZDdiMjY0ZDE2OWVk,https://api.mybihr.com/medias/800Wx800H-1104960-2.jpg?context=bWFzdGVyfHJvb3R8MTAwNTExfGltYWdlL2pwZWd8YURVeUwyZ3pZUzh5T1Rjek56UXpNRFV4TlRjME1pODRNREJYZURnd01FaGZNVEV3TkRrMk1DMHlMbXB3Wnd8ZDcwZGY3NDU3OTUwMWFlZjE2ZGJhNzIwODQ0YTc3MGY0YjdjOTI4N2VhNDQwZTNmNGUxYmEzNTU5NjU2ZjAwZg,https://static.bihr.pro/eBihr/Pictures/WELLGO-pictures.zip,Spain Warehouse (Parts)
1104966,35571,W43-FULL BLACK,WELLGO,WELLG COMBINATION PEDALS MTB/CITY W43,Par Pedales MTB Plataforma/Clip aluminio eje Cr-Mo Wellgo W43 color negro,47.50,39.26,14.00,8430525355712,5,8714961090,0,1,<p>MTB MIXTO AUTOM�TICO/PLATAFORMA WELLGO W43.</p><p>Compatible con calas Shimano o REF.15554/35527.<br></p><p><strong>Rosca:</strong> 9/16� x 20T.<br><strong>Cuerpo:</strong> Aluminio negro.<br><strong>Eje:</strong> CR-Mo Rodamiento a bolas.<br><strong>Medida:</strong> 90 x 100 mm. 396gr/par.<br><strong>Presentaci�n:</strong> Caja Wellgo.</p>,"
MTB MIXTO AUTOM�TICO/PLATAFORMA WELLGO W43.
Compatible con calas Shimano o REF.15554/35527.
Rosca: 9/16� x 20T.Cuerpo: Aluminio negro.Eje: CR-Mo Rodamiento a bolas.Medida: 90 x 100 mm. 396gr/par.Presentaci�n: Caja Wellgo.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1304,536,156,110,76,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/1104966-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDYxNzczfGltYWdlL3BuZ3xhREEwTDJnNU15OHhNRGswTXpRNU1URTNPRFV5Tmk4eE1UQTBPVFkyTFRGZk9EQXdWM2c0TURCSXxhY2FhNTcxODc0YmZiMDUwYmQzYjIxYjM0Y2NiNjRhZDcwM2Q1MTAwMzQ1NTUxZDcyMWY2NTI5NjFkOGFjZTk5,https://api.mybihr.com/medias/1104966-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDg5NzkyfGltYWdlL3BuZ3xhR0UwTDJoaE1DOHhNRGswTXpRNU1UVTNNVGMwTWk4eE1UQTBPVFkyTFRKZk9EQXdWM2c0TURCSXw5NmY1NWM0OGY2MzA3Mjc3MjAxY2JkY2EwZDEyYTJiNzQ0NGYzNDY3NzU1OWMxMDA1YjE1ZTAyZmRiMjQyZGQx,https://static.bihr.pro/eBihr/Pictures/WELLGO-pictures.zip,Spain Warehouse (Parts)
