PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,AllPicturesZIP,DeliveryPlant
1013322,37171,810854,WINDEROSA,WINDE GASKET ENGINE SET,Kit Juntas de cilindro Winderosa 810854,97.66,80.71,24.29,8430525371712,2,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,347,56,165,175,12,https://api.mybihr.com/medias/1013322-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzAwMzN8aW1hZ2UvanBlZ3xhR1JqTDJnM05DOHhOVFF4TURJeU1UYzBOREUxT0M4eE1ERXpNekl5TFRGZk9EQXdWM2c0TURCSXxjNWY0MzdkMTZmOTIyNGIyMjE3ZGIyZjc0ZjQ0MTNlZDE3OGQzMTIwMTgyN2M4ZTM5YTk3YzgwNjQ0NjQ4MDAz,https://static.bihr.pro/eBihr/Pictures/WINDEROSA-pictures.zip,Spain Warehouse (Parts)
1013120,36806,808569,WINDEROSA,WINDE GASKET ENGINE SET,Kit completo juntas de motor Winderosa 808569,90.83,75.07,24.99,8430525368064,2,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,805,104,243,368,9,https://api.mybihr.com/medias/1013120-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzAwMzN8aW1hZ2UvanBlZ3xhR1ZrTDJnME9TOHhOVFF4TURBNU56WTRORFV4TUM4eE1ERXpNVEl3TFRGZk9EQXdWM2c0TURCSXxlYjg1ODNkZmZlZjY5MzEyNTY4Yzg3YjQ2ZGE5YTc5ZjljNjk2MzJlZTdiMjRkNTE2MjE3YzVhOTFmZDE1NGUw,https://static.bihr.pro/eBihr/Pictures/WINDEROSA-pictures.zip,Spain Warehouse (Parts)
1013235,37022,810402,WINDEROSA,WINDE GASKET ENGINE SET,Kit Juntas de cilindro Winderosa 810402,17.86,14.76,2.39,8430525370227,4,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,352,34,165,178,12,https://api.mybihr.com/medias/1013235-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzAwMzN8aW1hZ2UvanBlZ3xhR0V3TDJnek1pOHhOVFF4TURBM05qSTFOREl6T0M4eE1ERXpNak0xTFRGZk9EQXdWM2c0TURCSXw4NjFkMjEyZWM3Njk2ODM2YTAyYzJiZDRhMTljODBlZjBiMDViNzQxNTk3OGVjZGUyODE5Y2ZiODY1N2E2ZmFl,https://static.bihr.pro/eBihr/Pictures/WINDEROSA-pictures.zip,Spain Warehouse (Parts)
1013111,36794,808534,WINDEROSA,WINDE GASKET ENGINE SET,Kit completo juntas de motor Winderosa 808534,52.50,43.39,15.41,8430525367944,2,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,961,96,224,286,15,https://api.mybihr.com/medias/1013111-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzAwMzN8aW1hZ2UvanBlZ3xhREpoTDJneU5DOHhOVFF4TURBNU5qVXdORGcyTWk4eE1ERXpNVEV4TFRGZk9EQXdWM2c0TURCSXwyNmYzYzZjNmMzYzVkMGI4YWJiODlkZjk4ZTczOTIwMDUyZTlhNGUxMTRiNTQ3OGJhYjE2YmNmOGY0ZDQ2YTI5,https://static.bihr.pro/eBihr/Pictures/WINDEROSA-pictures.zip,Spain Warehouse (Parts)
1013264,37070,810531,WINDEROSA,WINDE GASKET ENGINE SET,Kit Juntas de cilindro Winderosa 810531,42.01,34.72,6.53,8430525370708,3,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,488,52,168,171,17,https://api.mybihr.com/medias/1013264-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzAwMzN8aW1hZ2UvanBlZ3xhR1ZrTDJnM01TOHhOVFF4TURJd01Ea3dNemN4TUM4eE1ERXpNalkwTFRGZk9EQXdWM2c0TURCSXxmOTE4NzI0MDRkNWVkYjkyOGZjYWI3ZDQzMDIzZGE4NDI0M2I4OThlOWM4Y2U1MDJhNzE3ZThkMmU5ZDMxNDNi,https://static.bihr.pro/eBihr/Pictures/WINDEROSA-pictures.zip,Spain Warehouse (Parts)
1013086,36752,808416,WINDEROSA,WINDE GASKET ENGINE SET,Kit completo juntas de motor Winderosa 808416,33.08,27.34,13.40,8430525367524,2,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,501,60,218,287,8,https://api.mybihr.com/medias/1013086-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzAwMzN8aW1hZ2UvanBlZ3xhRGcyTDJobU1DOHhOVFF4TURFeE56VTBNVGt4T0M4eE1ERXpNRGcyTFRGZk9EQXdWM2c0TURCSXw4YmUyNzY2NGIzNzU4ZjA1MTg3ZWI3NTk5Yjk3YWUwNDVlNzc3ZjBhZWE0NzMyMGRlZjUyMmM2ZTk3YjZiMTU5,https://static.bihr.pro/eBihr/Pictures/WINDEROSA-pictures.zip,Spain Warehouse (Parts)
1013185,36907,808874,WINDEROSA,WINDE GASKET ENGINE SET,Kit completo juntas de motor Winderosa 808874,55.13,45.56,10.37,8430525369078,1,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1746,116,247,372,19,https://api.mybihr.com/medias/1013185-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzAwMzN8aW1hZ2UvanBlZ3xhRE01TDJnM1lpOHhOVFF4TURFME1EVTBOVEExTkM4eE1ERXpNVGcxTFRGZk9EQXdWM2c0TURCSXw5OWZlNWMwZWYxMWNhYzk1YjdmZmY4NTdiYWNkN2U1NWQwYWQwMWQzNTdiODAxNmJlMmY4Njc5NmJlOGE3ZGFl,https://static.bihr.pro/eBihr/Pictures/WINDEROSA-pictures.zip,Spain Warehouse (Parts)
1013297,37138,810802,WINDEROSA,WINDE GASKET ENGINE SET,Kit Juntas de cilindro Winderosa 810802,35.71,29.51,5.55,8430525371385,4,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,371,62,165,173,13,https://api.mybihr.com/medias/1013297-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzAwMzN8aW1hZ2UvanBlZ3xhRFZpTDJnMk1TOHhOVFF4TURJeE16QTVNelF3Tmk4eE1ERXpNamszTFRGZk9EQXdWM2c0TURCSXw5NTZmNmU0MTllNjM4MGNlOWNhOWJlNzZlODA3Mzg0MjBhZGViMWFkYzM5OWJmODNkNmI2ZDI2OWZkNjQ0Y2Q1,https://static.bihr.pro/eBihr/Pictures/WINDEROSA-pictures.zip,Spain Warehouse (Parts)
1013211,36949,810209,WINDEROSA,WINDE GASKET ENGINE SET,Kit Juntas de cilindro Winderosa 810209,27.31,22.57,7.40,8430525369498,2,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,428,48,165,173,15,https://api.mybihr.com/medias/1013211-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzAwMzN8aW1hZ2UvanBlZ3xhR00yTDJnelpDOHhOVFF4TURBM05UQTNORFU1TUM4eE1ERXpNakV4TFRGZk9EQXdWM2c0TURCSXwzOThiOGNmNDk3NDc5MmIxOThiZDA5OTg5NjEzM2VhNmRhOGFlY2FkYzhiNWRkNDY3ZGY3ODA5NDI4YzZjMDQ3,https://static.bihr.pro/eBihr/Pictures/WINDEROSA-pictures.zip,Spain Warehouse (Parts)
1013071,36722,808325,WINDEROSA,WINDE GASKET ENGINE SET,Kit completo juntas de motor Winderosa 808325,66.16,54.68,16.43,8430525367227,2,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1591,112,247,379,17,https://api.mybihr.com/medias/1013071-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzAwMzN8aW1hZ2UvanBlZ3xhREl3TDJnMU15OHhOVFF4TURFeE5ETTVOakU1TUM4eE1ERXpNRGN4TFRGZk9EQXdWM2c0TURCSXw5ZmIxYWJmMjczZGI4OTA0NGJjYjdjMDBlOWM3YTM5MmEyOWNmNWNhZjk5OTljOGM3MThiYzlkYTViNWNkZDJm,https://static.bihr.pro/eBihr/Pictures/WINDEROSA-pictures.zip,Spain Warehouse (Parts)
