PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Uso recomendado,Picture1,Picture2,AllPicturesZIP,DeliveryPlant
1101337,29547,SP610,XERAMA,XERAM PEDAL MTB/CITY 9/16 X 20T ECO W/O,Pedales MTB/City 9/16'' x 20T Eco sin reflex,9.50,7.85,2.99,8430525295476,761,8714961090,0,1,<p>Pedales de bicicleta CIUDAD / TREKKING.</p><p>&nbsp;</p><ul><li>Material: Aluminio.</li><li>Rosca: 9/16&rdquo; x 20T.</li><li>Medida plataforma: 105 x 64 mm.</li><li>Peso: 354 gr.</li></ul>,"
Pedales de bicicleta CIUDAD / TREKKING.
 Material: Aluminio.Rosca: 9/16” x 20T.Medida plataforma: 105 x 64 mm.Peso: 354 gr.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,709,326,171,74,56,Ciudad & Trekking/Touring,https://api.mybihr.com/medias/1101337-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjAwMTgzfGltYWdlL2pwZWd8YUdNMkwyaGxZeTg1TmpNeE5qTTFPVE14TVRZMkx6RXhNREV6TXpjdE1WODRNREJYZURnd01FZ3xjYWM1ODliODdlYmNlMTNhZTA4NGI3MmI5MGM4YWE5NjNhZjhlZTg5MjM0MTAzZTgxYmExMTk4ZTAwNDNjYjFl,https://api.mybihr.com/medias/1101337-2-800Wx800H?context=bWFzdGVyfHJvb3R8MjEwNDM3fGltYWdlL2pwZWd8YURBd0wyaGlaUzg1TmpNeE5qTTJNekkwTXpneUx6RXhNREV6TXpjdE1sODRNREJYZURnd01FZ3w1YTU5NzQ4YTM3NzNkMTlkZDI3NWQ2YTA3YzEwZjg2NjFlNThjZTBmYmQ4NWNiMTMxYWExNGE0NDhiMzkzMmEw,https://static.bihr.pro/eBihr/Pictures/XERAMA-pictures.zip,Spain Warehouse (Parts)
1101731,W30RJ,SP-910A-RED,XERAMA,XERAM MTB ALUMINUM PAIR PEDALS. AXLE CR,Par pedales BTT ALU. Eje CR-MO. Rojo,15.50,12.81,3.99,8430525013094,778,8714961090,0,1,<p>Pedales de bicicleta MTB / CIUDAD.</p><p>&nbsp;</p><ul><li>Color caja: Rojo.</li><li>Rosca: 9/16&rdquo; x 20T.</li><li>Cuerpo y caja: Aluminio.</li><li>Eje Cr-Mo (Cromoly).</li><li>Medida plataforma: 104 x 63 mm.</li><li>Peso: 216gr.</li></ul>,"
Pedales de bicicleta MTB / CIUDAD.
 Color caja: Rojo.Rosca: 9/16” x 20T.Cuerpo y caja: Aluminio.Eje Cr-Mo (Cromoly).Medida plataforma: 104 x 63 mm.Peso: 216gr.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,859,388,129,90,74,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/1101731-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjEwMzkxfGltYWdlL2pwZWd8YUdNd0wyZ3lZUzg1TmpNeU1UZ3lOek13TnpneUx6RXhNREUzTXpFdE1WODRNREJYZURnd01FZ3wzMWI4MDkxNzUxYzZhZWViN2UxNDA3ODYwNGJkMGU3ZjgwNzVmYjY4MmYzY2JhYWU1YjE1NDRhMGM1MzFhNGNk,,https://static.bihr.pro/eBihr/Pictures/XERAMA-pictures.zip,Spain Warehouse (Parts)
1105472,W30AM,SP-910A-YELLOW,XERAMA,XERAM PEDALS MTB/CITY ALU-CR-MO. YEL,Par pedales BTT aluminio. Amarillo,15.00,12.40,3.50,8430525031975,654,8714961090,0,1,"<p>Bicycle pedals for MTB / CITY bikes.<br>
Casing color: Yellow<br>
Thread: 9/16&rdquo; x 20T.<br>
Core &amp; casing: Aluminum.<br>
Axle: Cr-Mo.<br>
Platform measure: 104 x 63 mm.<br>
Weight: 216gr.<br>
&nbsp;</p>","
Bicycle pedals for MTB / CITY bikes.
Casing color: Yellow
Thread: 9/16” x 20T.
Core & casing: Aluminum.
Axle: Cr-Mo.
Platform measure: 104 x 63 mm.
Weight: 216gr.
 ",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,850,388,133,90,71,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/1105472-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzg3NDM5fGltYWdlL3BuZ3xhR000TDJoaE55OHhNRGsyTXpneE1ETTROVGsxTUM4eE1UQTFORGN5TFRGZk9EQXdWM2c0TURCSXw2OTU5NmE5ZjAxY2QxN2ZkZTNmMmQ2OTIwNjFmNjdhYjFmN2Q5NGQ5ODUzMzBmNWE5ZmJjZDUyOWY5Zjc2NWY3,,https://static.bihr.pro/eBihr/Pictures/XERAMA-pictures.zip,Spain Warehouse (Parts)
1101581,W30NR,SP-910S,XERAMA,XERAM MTB ALUMINUM PAIR PEDALS. AXLE CR,Par pedales BTT ALU. Eje CR-MO. Negro,13.50,11.16,4.50,8430525002203,1953,8714961090,0,1,<p>Pedales de bicicleta MTB / CIUDAD.</p><p>&nbsp;</p><ul><li>Color caja: Negro.</li><li>Rosca: 9/16&rdquo; x 20T.</li><li>Cuerpo y caja: Aluminio.</li><li>Eje Cr-Mo (Cromoly).</li><li>Medida plataforma: 104 x 63 mm.</li><li>Peso: 216gr.</li></ul>,"
Pedales de bicicleta MTB / CIUDAD.
 Color caja: Negro.Rosca: 9/16” x 20T.Cuerpo y caja: Aluminio.Eje Cr-Mo (Cromoly).Medida plataforma: 104 x 63 mm.Peso: 216gr.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,879,387,130,89,76,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/800Wx800H-1101581-1.jpg?context=bWFzdGVyfHJvb3R8MTM5NzM3fGltYWdlL2pwZWd8YUdNNUwyZ3pOUzgyT1RBNE1EVTJPRFEyTXpNNU1DODRNREJYZURnd01FaGZNVEV3TVRVNE1TMHhMbXB3Wnd8OTNlNDNlMmExZGIyYWQ5ZGIwM2Q0MDBkZDg4OTZjYmM1ZjVhOTZjOTQyNTIxYzBjZDM4ZDQ3YTUyZTU4OTIxMw,,https://static.bihr.pro/eBihr/Pictures/XERAMA-pictures.zip,Spain Warehouse (Parts)
1101733,W701,SP-102-9.6,XERAMA,XERAM FREE STYLE ALU W-9/16 PAIR PEDALS,"Par pedales Free Style ALU W-9/16""",11.50,9.50,2.92,8430525033818,718,8714961090,0,1,<p>Pedales de bicicleta FREESTYLE / BMX.</p><p>&nbsp;</p><ul><li>Material: Aluminio.</li><li>Rosca: 9/16&rdquo; x 20T.</li><li>Con reflectores desmontables.</li><li>Medida plataforma: 112 x 102 mm.</li><li>Peso: 256gr.</li></ul>,"
Pedales de bicicleta FREESTYLE / BMX.
 Material: Aluminio.Rosca: 9/16” x 20T.Con reflectores desmontables.Medida plataforma: 112 x 102 mm.Peso: 256gr.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,921,443,158,106,55,BMX,https://api.mybihr.com/medias/1101733-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk1MDgyfGltYWdlL2pwZWd8YURBMkwyZ3pPQzg1TmpNeU1UZ3pOVEUzTWpFMEx6RXhNREUzTXpNdE1WODRNREJYZURnd01FZ3wxOTM1ZjkzZDY5MDg2ODM3ZWI2OTAwOTY1NmE3ZjUzZDg1NGQwMTgyNDgxYzUzMjBhZTQzNTMxZGNjNzM2YzQx,,https://static.bihr.pro/eBihr/Pictures/XERAMA-pictures.zip,Spain Warehouse (Parts)
1101624,W295,SP-102-1.2,XERAMA,XERAM PAIR PEDALS FREE STYLE ALU W-1/2,"Pedales de bicicleta Freestyle/BMX Aluminio 1/2""",11.00,9.09,1.99,8430525000803,518,8714961090,0,1,Bicycle pedals for FREESTYLE / BMX bikes.Material: Aluminum.Thread: 1/2 ”x 20TWith removable reflectors.Platform measure: 112 x 102 mm.Weight: 256gr.,Bicycle pedals for FREESTYLE / BMX bikes.Material: Aluminum.Thread: 1/2 ”x 20TWith removable reflectors.Platform measure: 112 x 102 mm.Weight: 256gr.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,867,437,153,103,55,BMX,https://api.mybihr.com/medias/1101624-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk1MDgyfGltYWdlL2pwZWd8YUdOaUwyaGtOeTg1TmpFek5qWXhOak0wTlRrd0x6RXhNREUyTWpRdE1WODRNREJYZURnd01FZ3w2NTM5YTg1NzFlNDNhNmE4YzA3NGNhZmU2MGZhNWQ2YmE5ODE2MDM4MGM0ZDNkNTQ5YTYyMjRlZThjMGY4ZDhk,,https://static.bihr.pro/eBihr/Pictures/XERAMA-pictures.zip,Spain Warehouse (Parts)
1101497,W799,SP-151,XERAMA,XERAM REFLECTIVE FOLDING PEDAL,Pedales Plegable con Reflectantes.,13.00,10.74,5.00,8430525114227,155,8714961090,0,1,<p>Pedales de bicicleta CIUDAD / TREKKING.</p><p>&nbsp;</p><ul><li>Sistema plegable</li><li>Rosca: 9/16&rsquo;&rsquo; x 20T.</li><li>Con reflectores integrados.</li><li>Medida plataforma: 110 x 70 mm.</li><li>Peso: 430gr.</li></ul>,"
Pedales de bicicleta CIUDAD / TREKKING.
 Sistema plegableRosca: 9/16’’ x 20T.Con reflectores integrados.Medida plataforma: 110 x 70 mm.Peso: 430gr.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,641,414,148,76,57,Ciudad & Trekking/Touring,https://api.mybihr.com/medias/1101497-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ3MDAzfGltYWdlL2pwZWd8YUdNeUwyZzBPUzg1TmpNeU1EZ3hPVE0yTkRFMEx6RXhNREUwT1RjdE1WODRNREJYZURnd01FZ3xmNzY5NDJmMzUxNzIxNjRiYzFmOWU2ZThjOTEwN2UyY2U5ZmMzYTQ4ZTA3NTA4MmRkN2JmZjM4OTRkMzYwOGY2,,https://static.bihr.pro/eBihr/Pictures/XERAMA-pictures.zip,Spain Warehouse (Parts)
1101730,W30BL,SP-910A,XERAMA,XERAM MTB ALUMINUM PAIR PEDALS. AXLE CR,Par pedales BTT ALU. Eje CR-MO. Blanco,13.50,11.16,2.49,8430525116733,1640,8714961090,0,1,<p>Pedales de bicicleta MTB / CIUDAD.</p><p>&nbsp;</p><ul><li>Color caja: Blanco</li><li>Rosca: 9/16&rdquo; x 20T.</li><li>Cuerpo y caja: Aluminio.</li><li>Eje Cr-Mo (Cromoly).</li><li>Medida plataforma: 104 x 63 mm.</li><li>Peso: 216gr.</li></ul>,"
Pedales de bicicleta MTB / CIUDAD.
 Color caja: BlancoRosca: 9/16” x 20T.Cuerpo y caja: Aluminio.Eje Cr-Mo (Cromoly).Medida plataforma: 104 x 63 mm.Peso: 216gr.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,840,387,129,88,74,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/1101730-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM3MzkyfGltYWdlL2pwZWd8YURZeEwyZ3pPQzg1TmpNeU1UZ3lNek0zTlRZMkx6RXhNREUzTXpBdE1WODRNREJYZURnd01FZ3wyMmQxMWVkODMzOGU0NDhhMzViZDA3NGJmMjQ1M2JhYjk1NDhmODdmYTk5MzA5YzBmNDczZTg3N2QyZjMwYTk5,,https://static.bihr.pro/eBihr/Pictures/XERAMA-pictures.zip,Spain Warehouse (Parts)
1101646,W30AZ,SP-910A-BLUE,XERAMA,XERAM MTB ALUMINUM PAIR PEDALS. AXLE CR,Par pedales BTT ALU. Eje CR-MO. Azul,15.00,12.40,4.99,8430525005426,775,8714961090,0,1,<p>Pedales de bicicleta MTB / CIUDAD.</p><p>&nbsp;</p><ul><li>Color caja: Azul.</li><li>Rosca: 9/16&rdquo; x 20T.</li><li>Cuerpo y caja: Aluminio.</li><li>Eje Cr-Mo (Cromoly).</li><li>Medida plataforma: 104 x 63 mm.</li><li>Peso: 216gr.</li></ul>,"
Pedales de bicicleta MTB / CIUDAD.
 Color caja: Azul.Rosca: 9/16” x 20T.Cuerpo y caja: Aluminio.Eje Cr-Mo (Cromoly).Medida plataforma: 104 x 63 mm.Peso: 216gr.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,906,387,134,89,76,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/1101646-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjExOTgyfGltYWdlL2pwZWd8YURBNEwyZzRaQzg1TmpNeU1URTRNVEV5TWpnMkx6RXhNREUyTkRZdE1WODRNREJYZURnd01FZ3wyNjA5NmNjZjM0ZjFjOWY4ZWY4YTM3NGM1ZTc5N2UyMDc3MzM5ZWUxMTIwMjk1ODMyNGRjNjgwNmYwYmVjNzcz,,https://static.bihr.pro/eBihr/Pictures/XERAMA-pictures.zip,Spain Warehouse (Parts)
1101737,W30PL,SP-910A-SILVER,XERAMA,XERAM MTB ALUMINUM PAIR PEDALS. AXLE CR,Par pedales BTT ALU. Eje CR-MO. Plata,15.98,13.21,3.00,8430525004429,3021,8714961090,0,1,<p>Pedales de bicicleta MTB / CIUDAD.</p><p>&nbsp;</p><ul><li>Color caja: Plata.</li><li>Rosca: 9/16&rdquo; x 20T.</li><li>Cuerpo y caja: Aluminio.</li><li>Eje Cr-Mo (Cromoly).</li><li>Medida plataforma: 104 x 63 mm.</li><li>Peso: 216gr.</li></ul>,"
Pedales de bicicleta MTB / CIUDAD.
 Color caja: Plata.Rosca: 9/16” x 20T.Cuerpo y caja: Aluminio.Eje Cr-Mo (Cromoly).Medida plataforma: 104 x 63 mm.Peso: 216gr.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,942,388,131,91,79,Ciudad & MTB & Trekking/Touring,https://api.mybihr.com/medias/1101737-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTYxODU5fGltYWdlL2pwZWd8YURZNUwyaG1ZaTg1TmpNeU1UZzFNRGt3TURjNEx6RXhNREUzTXpjdE1WODRNREJYZURnd01FZ3wyYmQ3YTBkNzRiYmFhZGIxMTAxYTAyZmVjYjI3ZDkyOTQxZWY4NTQ4YTlmODFhMWQxMjlhNjZjYWFjNzgxMDJl,,https://static.bihr.pro/eBihr/Pictures/XERAMA-pictures.zip,Spain Warehouse (Parts)
