PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Ajustes de amortiguación,Altura (mm),Color,Diámetro del eje (mm),Diámetro del pistón (mm),Diámetro Ø (mm),Embalaje,Homologación,Longitud (mm),Spring Rate,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,Document1,Document2,DeliveryPlant
1038403,44900263,LR355A070S475,YSS,YSS FRK SPRING,Muelles de horquilla YSS lineales Road 475mm,131.89,109.00,65.40,8859253991717,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1,100,10,10,10,,,,,,,,,,,https://api.mybihr.com/medias/1038403-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzQ5OTd8aW1hZ2UvanBlZ3xhR016TDJnek5pOHhOVFF3T1Rjd05EQTNOVEk1TkM4eE1ETTROREF6TFRGZk9EQXdWM2c0TURCSXw0ZjFjNThhYTA4MDRkYTJkOWJhZDNmYjVhOGU3YjEzYTNjNTRjNmZiYzU5N2JmOTJiMjNjMmZmYTZiM2Y4MjU2,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038206,44900521,56A110S150A8,YSS,YSS SPRING 56-110-150 BLACK,Muelle de amortiguador trasero YSS lineal negro 56-110-150,92.50,76.45,45.87,8859253921615,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1,100,10,10,10,,,,,,,,,,,https://api.mybihr.com/medias/1038206-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA0MTk1fGltYWdlL2pwZWd8YURCakwyZ3lNaTh4TlRRd09UY3dNREEzTnpVNU9DOHhNRE00TWpBMkxURmZPREF3VjNnNE1EQkl8YzdjOGFhODFkNDFlODU3MmNkY2M0YmQxNWRlMGUxYmRiMTlhNzg0ZTdjOTY0ZTY4ZjAzNWZkMjhjYWY3ZGJkZQ,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1037969,44900168,40I10-15S220A5,YSS,YSS SPRING 40-10-15-220 RED,Muelle de amortiguador trasero YSS progresivo rojo 40-10-15-220,54.99,45.45,27.27,8859253937326,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1,100,10,10,10,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1037969-1.jpg?context=bWFzdGVyfHJvb3R8MTk5ODkyfGltYWdlL2pwZWd8YUdGaUwyaGhNUzgyT0RZNU16a3lPVEl6TURNMk5pODRNREJYZURnd01FaGZNVEF6TnprMk9TMHhMbXB3Wnd8NTM5YTUwNDA2MzIwMzAxMjE2ZjBiOGFhYWMwNjBmNGMyODk0OTY2ZDkxYWM2YzUyMDVmYzBkMTk0ZTUwOWQ1OQ,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038202,44900241,56A100S215A8,YSS,YSS SPRING 56-100-215 BLACK,Muelle de amortiguador trasero YSS lineal negro 56-100-215,92.50,76.45,45.87,8859253921530,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1,100,10,10,10,,,,,,,,,,,https://api.mybihr.com/medias/1038202-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA0MTk1fGltYWdlL2pwZWd8YURGakwyZ3hOQzh4TlRRd09UWTVPVFk0TkRNNE1pOHhNRE00TWpBeUxURmZPREF3VjNnNE1EQkl8YzA3NmQwYmQwNDVhZWE4N2QwNjljMDAzZjIzZDBhMmY5NDE2MDgyODg5ZDA1MzJiNGJjNmMwZTBkNjBlOWZmZQ,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038255,44900434,56A200S150A8,YSS,YSS SPRING 56-200-150 BLACK,Muelle de amortiguador trasero YSS lineal negro 56-200-150,92.50,76.45,45.87,8859253922599,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1,100,10,10,10,,,,,,,,,,,https://api.mybihr.com/medias/1038255-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA0MTk1fGltYWdlL2pwZWd8YURReUwyZzFZUzh4TlRReE1EVTFPVFU0TWpJek9DOHhNRE00TWpVMUxURmZPREF3VjNnNE1EQkl8MGQ5MjA5NTMyYmVkOWFkODliYzVhNWRhMjQ4ODE0ZGEzM2VjZmRmNjRmZjkxMjllOWU4MDE4ZWY1Y2Q5MjZjNQ,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038448,44900548,LR320A095S465,YSS,YSS FRK SPRING,Muelles de horquilla YSS lineales Road 465mm,131.89,109.00,65.40,8859253986805,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1,100,10,10,10,,,,,,,,,,,https://api.mybihr.com/medias/1038448-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODMyNDh8aW1hZ2UvanBlZ3xhRE13TDJnME55OHhOVFF3T1Rjd05UWTBPREUxT0M4eE1ETTRORFE0TFRGZk9EQXdWM2c0TURCSXxjZjY2NDI5NDRhYzU1YjM3MGM2NjlmMGE1MDE3Yzk2OTc4YWVjYWUzODYyMzUwMGYxZDM0ZTBiMjAzY2MzZWJk,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038062,44900007,46I2535S160A5X,YSS,YSS SPRING 46-25-35-160 RED,Muelle de amortiguador trasero YSS progresivo rojo 46-25-35-160,54.99,45.45,27.27,8858803480572,10,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,3969,972,270,210,70,,,,,,,,,,,https://api.mybihr.com/medias/1038062-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjAwNzc0fGltYWdlL2pwZWd8YUdRMEwyaGlZeTh4TlRRd09UWTVOemN4T0RNd01pOHhNRE00TURZeUxURmZPREF3VjNnNE1EQkl8OGY4ZGQzZDljZjNiNWJjZmQ4MjY0OTYzMTQ0MzJmZjU5M2Y5MDcwMTU4ZGNlMmVjNzU4YzQ4Yjc1NWFmNjgzYQ,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038223,44900582,56A120S260A5,YSS,YSS SPRING 56-120-260 RED,Muelle de amortiguador trasero YSS lineal rojo 56-120-260,92.50,76.45,45.87,8859253921912,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1,100,10,10,10,,,,,,,,,,,https://api.mybihr.com/medias/1038223-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI0OTk5fGltYWdlL2pwZWd8YUdGakwyZ3laaTh4TlRRd09UY3dNRFEzTURneE5DOHhNRE00TWpJekxURmZPREF3VjNnNE1EQkl8ZTI0NTM1MjZlOGYyZjlhMTE2MGU4YWQ1NzM2ODZjYTc3ODY2ZTU5ODFhNTRlNGM4N2E3N2Q0MzQzY2ZkYmI2YQ,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038119,44900625,56A60S260A5,YSS,YSS SPRING 56-60-260 RED,Muelle de amortiguador trasero YSS lineal rojo 56-60-260,105.00,86.78,52.07,8859253938828,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1,100,10,10,10,,,,,,,,,,,https://api.mybihr.com/medias/1038119-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI0OTk5fGltYWdlL2pwZWd8YUdZNUwyZ3dZUzh4TlRReE1EUTNORFV4TmpVeE1DOHhNRE00TVRFNUxURmZPREF3VjNnNE1EQkl8ZjgyNGI5MGFkMDRlMzYzNmY5MjcyZTY2NGQ3ZWMxODJmYWVhYjQ4OGNiY2YzM2I2ZDliYzA1ZjEwMGJmNjkzOQ,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038094,44900008,46A30S140A5X,YSS,YSS SPRING 46-30-140 RED,Muelle de amortiguador trasero YSS lineal rojo 46-30-140,68.00,56.20,33.72,8859253977506,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,2898,488,140,230,90,,,,,,,,,,,https://api.mybihr.com/medias/1038094-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjAwNzc0fGltYWdlL2pwZWd8YURZd0wyZzJZaTh4TlRReE1EUTJOVEEzT1RNeU5pOHhNRE00TURrMExURmZPREF3VjNnNE1EQkl8ZTRhYmQxNTcxYjhhY2U4MDY5MTZmNmU2NzYwYjM1MjVlMzcyMTQ0ZDU3YTQzOTM3NTVlOTM5M2JkZDBmNmQ1NQ,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
