PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Capacidad (Ah),Color,Longitud (cm),Potencia máxima (lúmenes),Tipo de boquilla,Tipo de conexión,Tipo de luz,Picture1,Picture2,Picture3,AllPicturesZIP,Document1,Document2,Document3,DeliveryPlant
1050319,893055,AM85/8,ZECA,ZECA AIR HOSE REEL 16M,Enrollador de manguera ZECA 16m,281.18,232.38,185.90,8057685920255,1,8479899790,0,1,"<html>	<head>		<meta http-equiv=Content-Type content=text/html charset=utf-8""""""""""""""""><title>		</title>		<style type=text/css>.cs95E872D0{text-align:leftmargin:0pt 0pt 0pt 0pt}.csA7555675{color:#000background-color:transparentfont-weight:normalfont-style:normal}.cs4FC7BF42{text-align:leftmargin:0pt 0pt 0pt 0ptlist-style-type:disccolor:#000""""background-color:transparentfont-weight:normalfont-style:normal}</style>	</head>	<body>		<p>Air hose reel with ratchet stop device.</p><p> </p><ul>			<li>Øint. x Øext.: 8 x 12mm</li><li>Tips: crimped fitting 1/4"""""""""""""""""""""""""""""""" male</li><li>Max pressure: 15bars</li><li>Wall mount with 180 ° rotation</li></ul>	</body></html>""""""""""""""""""","											Air hose reel with ratchet stop device. 			Øint. x Øext.: 8 x 12mmTips: crimped fitting 1/4"""""""""""""""""""""""""""""""" maleMax pressure: 15barsWall mount with 180 ° rotation	""""""""""""""""""",TOOLING & WS,WS,WS. COMPRESSED AIR,58321,7473,509,439,261,,,,,,1/4'' macho,,https://api.mybihr.com/medias/800Wx800H-1050319-1.jpg?context=bWFzdGVyfHJvb3R8MzA0MTY4fGltYWdlL2pwZWd8YURWaEwyaG1aQzh6TkRFMU9UUTNPRFV3TlRVd01pODRNREJYZURnd01FaGZNVEExTURNeE9TMHhMbXB3Wnd8YWEyY2JkYmQ4OWJjMGE3MjRkZTgzNzQ3MjgyNmRjNDgzNmUzMzg1ODA0ZTk3YTE0MmY4ZDhjNmU3NGU5ZjUzNA,https://api.mybihr.com/medias/800Wx800H-1050319-2.jpg?context=bWFzdGVyfHJvb3R8MzU0MTcxfGltYWdlL2pwZWd8YUdSakwyaG1OUzh6TkRFMU9UUTNPRGMyTnpZME5pODRNREJYZURnd01FaGZNVEExTURNeE9TMHlMbXB3Wnd8YzRkY2JhNzY1MTdhMjYwMTcyM2NmMDE2MjQ1Njc1NWNkNjgzMmY5MGQyNGJjNThmZjJiMGUzZjFjMjJjMmIyMg,,https://static.bihr.pro/eBihr/Pictures/ZECA-pictures.zip,,,,Spain Warehouse (Parts)
1050321,89109001,KPA040,ZECA,ZECA AIR BLOW GUN,Pistola sopladora de aire ZECA modelo corto,18.78,15.52,12.42,89109001,3,8536619090,0,1,"<p>Short air blow gun with rubber tip.</p><p><u>Technical features :</u></p><ul><li>Removable rubber nozzle</li><li>Maximal pressure : 8 bars</li><li>Operating temperature :  -20°C to +70°C</li><li>Ergonomic design</li><li>Delivered without connection (1/4""F)</li></ul>","
Short air blow gun with rubber tip.
Technical features :Removable rubber nozzleMaximal pressure : 8 barsOperating temperature :  -20°C to +70°CErgonomic designDelivered without connection (1/4""F)",TOOLING & WS,WS,WS. COMPRESSED AIR,401,119,167,96,25,,,,,Corto,1/4'' macho,,https://api.mybihr.com/medias/1050321-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDM2NjB8aW1hZ2UvanBlZ3xhR1JqTDJneVlpODRPVEkzTmpFMU16ZzFOak13THpFd05UQXpNakV0TVY4NE1EQlhlRGd3TUVnfGU4ODJkMGExZmJiY2UxMmQwMmE2MjA4ZjY2MzdmZTU2Yjc2MDIyNWU2YmJhNmU4OGM0YmM0NzY0MzYzNTM4MmU,,,https://static.bihr.pro/eBihr/Pictures/ZECA-pictures.zip,,,,Spain Warehouse (Parts)
1050318,893054,AM80/8,ZECA,ZECA AIR HOSE REEL 10M,Enrollador de manguera ZECA 10m,236.14,195.16,156.13,893054,0,8479899790,0,1,"<html>	<head>		<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title>		</title>		<style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs5CD66E5E{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:bold;font-style:normal;}</style>	</head>	<body>		<p>Air hose reel with ratchet stop device.</p><p> </p><ul>			<li>Øint. x Øext.: 8 x 12mm</li><li>Tips: crimped fitting 1/4"" male</li><li>Max pressure: 15bars</li><li>Wall mount with 180 ° rotation</li></ul>	</body></html>","											Air hose reel with ratchet stop device. 			Øint. x Øext.: 8 x 12mmTips: crimped fitting 1/4"" maleMax pressure: 15barsWall mount with 180 ° rotation	",TOOLING & WS,WS,WS. COMPRESSED AIR,30399,4195,398,335,228,,,,,,,,https://api.mybihr.com/medias/1050318-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTE3Mjk4fGltYWdlL2pwZWd8YURBeEwyaGxaQzg0T1RJME9EYzBOekF5T0RjNEx6RXdOVEF6TVRndE1WODRNREJYZURnd01FZ3xlODZhOTQ3NjE4MGI3M2EwNTMyZjFhMTQyN2I1NTFhMjc4ZGRhYTM1YWNlZDNhZjA1MzBiZjNmZGM4ZGUyZjdk,,,https://static.bihr.pro/eBihr/Pictures/ZECA-pictures.zip,,,,Spain Warehouse (Parts)
1114552,,AM85/10,ZECA,ZECA HOSE REEL,Enrollador de manguera de aire ZECA 16m,249.03,205.81,164.65,8057685920248,3,8424908080,0,1,"<p>Carrete de manguera de aire con dispositivo autom&aacute;tico para detener el tubo a la longitud deseada.</p>
<ul>
	<li>&Oslash; 10mm</li>
	<li>Puntas: racor engarzado 3/8&quot; macho</li>
	<li>Presi&oacute;n m&aacute;xima: 15 bares</li>
	<li>Montaje en la pared con rotaci&oacute;n de 180&deg;.</li>
</ul>

<p>Caracter&iacute;sticas</p>

<ul>
	<li>Carcasa de tecnopol&iacute;mero.</li>
	<li>Completo con soporte de pivote.</li>
	<li>Provisto de dispositivo autom&aacute;tico para detener el tubo a la longitud deseada,</li>
	<li>F&aacute;cilmente desmontable si se requiere una tracci&oacute;n constante.</li>
	<li>Adecuado para la transmisi&oacute;n de aire.</li>
</ul>
","
Carrete de manguera de aire con dispositivo automático para detener el tubo a la longitud deseada.

	Ø 10mm
	Puntas: racor engarzado 3/8"" macho
	Presión máxima: 15 bares
	Montaje en la pared con rotación de 180°.



Características


	Carcasa de tecnopolímero.
	Completo con soporte de pivote.
	Provisto de dispositivo automático para detener el tubo a la longitud deseada,
	Fácilmente desmontable si se requiere una tracción constante.
	Adecuado para la transmisión de aire.

",TOOLING & WS,WS,WS. COMPRESSED AIR,60356,7373,520,438,265,,,,,,3/8'' macho,,https://api.mybihr.com/medias/1114552-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTE0MzJ8aW1hZ2UvanBlZ3xhRGc1TDJnNU1pOHhORGs0TVRNM09UUTFOekExTkM4eE1URTBOVFV5TFRGZk9EQXdWM2c0TURCSXwwMTg4Zjc0MzI3YTg5MmY3NWY3NTZiNGNkZTA4YjIzMDY3ZjkzNTgwYTcxMmNmYTMyZGI1MzdmYWE1Zjk0NTg1,,,https://static.bihr.pro/eBihr/Pictures/ZECA-pictures.zip,,,,Spain Warehouse (Parts)
1050607,892395,4315/GS 3,ZECA,ZECA CABLE REEL 15M,Enrollador para cable eléctrico ZECA 15m,357.33,295.31,236.25,8057685924604,0,8479899790,0,1,"<html>	<head>		<meta http-equiv=Content-Type content=text/html charset=utf-8""""""""""""""""><title>		</title>		<style type=text/css>.cs95E872D0{text-align:leftmargin:0pt 0pt 0pt 0pt}.csA7555675{color:#000background-color:transparentfont-weight:normalfont-style:normal}.cs4FC7BF42{text-align:leftmargin:0pt 0pt 0pt 0ptlist-style-type:disccolor:#000""""background-color:transparentfont-weight:normalfont-style:normal}</style>	</head>	<body>		<p>Automatic cable reel delivered complete with 1 electrical power outlet (220V)</p><p> </p><ul>			<li>Conductors section: 1,5mm²</li><li>Maximum voltage: 500V</li><li>Wall mount with 180° rotation</li></ul>	</body></html>""""""""""""""""""","											Automatic cable reel delivered complete with 1 electrical power outlet (220V) 			Conductors section: 1,5mm²Maximum voltage: 500VWall mount with 180° rotation	""""""""""""""""""",TOOLING & WS,WS,WS. FURNITURE,21237,5133,364,312,187,,,,,,,,https://api.mybihr.com/medias/1050607-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTUwOTIwfGltYWdlL2pwZWd8YURJeUwyZzVaQzg0T1RBeU1qUTVNVFV5TlRReUx6RXdOVEEyTURjdE1sODRNREJYZURnd01FZ3wyMGVkMzcyYzgzNmQ3MmFiZmZkMDY5NzY5ZDUxMDUwNWY2NGU1YjQ1MzI2YzZkNWE1Mzg2MDMyMzlmYWZhMDI0,https://api.mybihr.com/medias/1050607-3-800Wx800H?context=bWFzdGVyfHJvb3R8ODAwOTN8aW1hZ2UvanBlZ3xhRFkxTDJnNU5pODRPVEF5TWpRNU16UTVNVFV3THpFd05UQTJNRGN0TTE4NE1EQlhlRGd3TUVnfDhmZDk2ZjcwMjdiNzhkMTExZDcwZTdlZWQwM2FlNmFhNTI4MDgzYmVlZTVkYzFmMjdjOTcwOTk2MjIxNjcwODg,https://api.mybihr.com/medias/1050607-4-800Wx800H?context=bWFzdGVyfHJvb3R8ODAwOTN8aW1hZ2UvanBlZ3xhRGsxTDJnNFppODRPVEF5TWpRNU5UUTFOelU0THpFd05UQTJNRGN0TkY4NE1EQlhlRGd3TUVnfGYxYTU0MmEzMGU1ZDU4ZjFlMTk5MDE5OTJmMWEyZDZhMTAxNzU1ZDZiZWFmYjEzMDIyNTk2Y2M4YTllMzcwYzk,https://static.bihr.pro/eBihr/Pictures/ZECA-pictures.zip,https://api.mybihr.com/medias/892395.pdf?context=bWFzdGVyfGRvY3VtZW50c3w1NjM3MjR8YXBwbGljYXRpb24vcGRmfGFHWm1MMmcwTlM4NU5qTTBOVFkyTkRNNE9UUXlMemc1TWpNNU5RfDQ1M2I0MWUyMGJhZjA1NGViMGRmMWVkNDQ1ZjUyODYxZjk4YWVjYjUzMTI2MWM1YTU4ZDg2NzRjZDk0ZjA4NzM,,,Spain Warehouse (Parts)
1050381,50800001,8442,ZECA,ZECA HOSE REEL OIL&WATER 15M,Carrete de manguera de aceite y agua ZECA 15m,480.22,396.88,257.97,8057685929975,1,8479899790,0,1,"<p>Oil or Water Hose Reel up to 200 bar.&nbsp;It is possible to use it with oil or with water but not to switch from one to the other.</p>
<p>&nbsp;</p>
<ul>
	<li>Black Hose of 15 meters, EN 857 1SC compliant</li>
	<li>3/8"" female coupling</li>
	<li>Accepted fluid temp. : -20° à +150° C</li>
	<li>Adjustable mount</li>
	<li>Automatic stop system, allowing you to have the hose at the desired length</li>
	<li>Powdercoated Steel reel, ABS rollers</li>
	<li>Dimensions of 550x505x270 mm</li>
	<li>Weight of 10 Kg</li>
	<li>Atex 94/9/CE II 2GD c IIB T4 T135°C compliant</li>
</ul>

<p>&nbsp;</p>

<p>&nbsp;</p>","
Oil or Water Hose Reel up to 200 bar. It is possible to use it with oil or with water but not to switch from one to the other.

 

	Black Hose of 15 meters, EN 857 1SC compliant
	3/8"" female coupling
	Accepted fluid temp. : -20° à +150° C
	Adjustable mount
	Automatic stop system, allowing you to have the hose at the desired length
	Powdercoated Steel reel, ABS rollers
	Dimensions of 550x505x270 mm
	Weight of 10 Kg
	Atex 94/9/CE II 2GD c IIB T4 T135°C compliant



 


 ",TOOLING & WS,WS,WS. FLUID DISTRIB.,86769,15374,567,517,296,,,,,,,,https://api.mybihr.com/medias/1050381-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA0Njd8aW1hZ2UvanBlZ3xhR0kzTDJoaFlpODRPVEkwT0RjMU5qZzFPVEU0THpFd05UQXpPREV0TVY4NE1EQlhlRGd3TUVnfGRlYzIyMWIxZTg2ZGM5NTc0Zjk3Y2QzODM3MjhjMzY0MWE4MmQ2ZjhkZGYwYzkyZmM3MzI0YzkyMWJlMTI5ODE,,,https://static.bihr.pro/eBihr/Pictures/ZECA-pictures.zip,,,,Spain Warehouse (Parts)
1052332,893052,KM041,ZECA,ZECA CLAMP METER 1 MA - 80 A,Amperímetro con pinza ZECA 80A,224.99,185.94,148.75,8057685920521,0,9030337000,0,1,"<html>	<head>		<meta http-equiv=Content-Type content=text/html charset=utf-8""""""""""""""""><title>		</title>		<style type=text/css>.cs95E872D0{text-align:leftmargin:0pt 0pt 0pt 0pt}.csA7555675{color:#000background-color:transparentfont-weight:normalfont-style:normal}.cs4FC7BF42{text-align:leftmargin:0pt 0pt 0pt 0ptlist-style-type:disccolor:#000""""background-color:transparentfont-weight:normalfont-style:normal}</style>	</head>	<body>		<p>Standard clamp meter with digital display and light system.</p><p> </p><ul>			<li>Ammeter: AC/DC 1 mA to 80A</li></ul>	</body></html>""""""""""""""""""","											Standard clamp meter with digital display and light system. 			Ammeter: AC/DC 1 mA to 80A	""""""""""""""""""",TOOLING & WS,TOOLING,TOOLING POWER,590,231,172,73,47,,,,,,,,https://api.mybihr.com/medias/1052332-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjkyODl8aW1hZ2UvanBlZ3xhRFl4TDJobU9DODRPVEF5TXpJNU9Ua3hNVGs0THpFd05USXpNekl0TVY4NE1EQlhlRGd3TUVnfDEyMDZhYzcwNWMyYTAxODFhMjI3ZDQzNzQ5MTAwOWZhMzJmYTllZmY4ZDg0ZjVhNTYyM2M1NTg1YTEzMGU2MWM,,,https://static.bihr.pro/eBihr/Pictures/ZECA-pictures.zip,,,,Spain Warehouse (Parts)
1052328,51600005,KFL120,ZECA,ZECA FLOODLIGHT 3000-1500 LUX,Lámpara de taller LED recargable ZECA 3000-1500 Lux,228.69,189.00,122.85,8053251193412,2,8513100000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}</style> </head> <body> <ul> <li><a id=""_DX_FRAG_STARTFRAGMENT""></a>Light and powerful</li><li>Up to 6 hours of autonomy in energy saving mode</li><li>Protection grade IP54</li><li>Equipped with powerbank to recharge mobile devices<a id=""_DX_FRAG_ENDFRAGMENT""></a></li></ul> <p> </p><p>Light power :</p><ul> <li>3000 in normal use (3h autonomy)</li><li>1000 in energy saving (6h autonomy)</li></ul> </body> </html>","        Light and powerfulUp to 6 hours of autonomy in energy saving modeProtection grade IP54Equipped with powerbank to recharge mobile devices  Light power : 3000 in normal use (3h autonomy)1000 in energy saving (6h autonomy)  ",TOOLING & WS,TOOLING,TOOLING POWER,6236,1596,298,225,93,,,,,,,,https://api.mybihr.com/medias/1052328-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTY3MzV8aW1hZ2UvanBlZ3xhRGc1TDJoak5DODRPVFV6T1RNd056UXpPRE00THpFd05USXpNamd0TVY4NE1EQlhlRGd3TUVnfDUyZDIzNGFhNGFhNmJlZGM5ZDM0MGNlY2U5MTMwYjY5YWU1NzQ1OTY2YWY1ZmU3OWMxNzAxOWQ0MDkzZDc4MTc,https://api.mybihr.com/medias/1052328-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDM3NjR8aW1hZ2UvanBlZ3xhRFZoTDJoallpODRPVFV6T1RNd09UUXdORFEyTHpFd05USXpNamd0TWw4NE1EQlhlRGd3TUVnfDNlMDNiN2I1NmEzODEyYzIzMDg3MDUyOTZlZmRmMjU5MDhlYWQyNmU2YmQ2ZmVlNDY3MjlmMjcxM2JmMTAwNmE,,https://static.bihr.pro/eBihr/Pictures/ZECA-pictures.zip,https://api.mybihr.com/medias/KFL120.pdf?context=bWFzdGVyfGRvY3VtZW50c3w5NTY1MTR8YXBwbGljYXRpb24vcGRmfGFHUTNMMmd4WkM4NU1EUXpPRFUyT0RFNE1qQTJMMHRHVERFeU1BfGJlN2Q1NzZjMDQ3N2IwYTE5NjBhMmViODJkMjNhOTdjODNlODc5NjI2NTk2OWNlMzMzYzllOTg2Nzk0MzNmYjc,,,Spain Warehouse (Parts)
1052323,893057,KB110,ZECA,ZECA LAMP 26 LED - 750 LUX,Linterna taller led recargable ZECA 750 Lux,87.23,72.09,57.67,8057685928800,1,8513100000,0,1,"<html>	<head>		<meta http-equiv=Content-Type content=text/html charset=utf-8""""""""""""""""><title>		</title>		<style type=text/css>.cs95E872D0{text-align:leftmargin:0pt 0pt 0pt 0pt}.csA7555675{color:#000background-color:transparentfont-weight:normalfont-style:normal}.cs4FC7BF42{text-align:leftmargin:0pt 0pt 0pt 0ptlist-style-type:disccolor:#000""""background-color:transparentfont-weight:normalfont-style:normal}</style>	</head>	<body>		<p>Inspection lamp with 26 LED equipped with swivel handle, magnetic base and hooks.</p><p> </p><ul>			<li>Light intensity: 750lux at 50cm</li><li>Autonomy: 15h (4 LED) & 4h (4 LED)</li><li>Charging time: 2.5h</li><li>Supplied with 2 chargers (240V & 12/24V)</li></ul>	</body></html>""""""""""""""""""","											Inspection lamp with 26 LED equipped with swivel handle, magnetic base and hooks. 			Light intensity: 750lux at 50cmAutonomy: 15h (4 LED) & 4h (4 LED)Charging time: 2.5hSupplied with 2 chargers (240V & 12/24V)	""""""""""""""""""",TOOLING & WS,TOOLING,TOOLING POWER,2460,526,177,278,50,,,,,,,,https://api.mybihr.com/medias/1052323-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTU3MTF8aW1hZ2UvanBlZ3xhRGhoTDJnNVlTODRPVE01TlRjM056QTBORGM0THpFd05USXpNak10TVY4NE1EQlhlRGd3TUVnfDczZTEwYjViMzQ5ZjI3YzUwODM3YmViYWNmYjFjZjdjYWU0N2Q1NWJiY2E1YTNhMGM0NzY2YzkxYjJkNjM2ZTc,,,https://static.bihr.pro/eBihr/Pictures/ZECA-pictures.zip,https://api.mybihr.com/medias/CE-KB110.pdf?context=bWFzdGVyfHJvb3R8NTc5Mzh8YXBwbGljYXRpb24vcGRmfGFHTm1MMmd6T1M4eE5UYzNPVFl3TmpBd016YzBNaTlEUlNBdElFdENNVEV3TG5Ca1pnfDUyMWYzZGMxNjNmN2JkYmRmYTIzMjk4MzExZDFkOWI3MGZlNjcyYzQwM2UyMDc0ZDViMjVmMTNjMWQ5NThhZGQ,https://api.mybihr.com/medias/MSDS-1052323.pdf?context=bWFzdGVyfHJvb3R8OTA5OTkzfGFwcGxpY2F0aW9uL3BkZnxhREl3TDJnek9TOHhOVGMzT1RZd05qQTJPVEkzT0M5TlUwUlRMVEV3TlRJek1qTXVjR1JtfGZjOTI5ZTgyZjA5ODdhM2VlNDA2M2M3ZmEwMjE5Mjc1NzRiNzkwOWUyMzRjMDU5ZWQ3MDE4OGE2NjcwMGY3NTc,https://api.mybihr.com/medias/SDI-MSDS-Li-ion-battery-ICR18650-26J-200101-ver.01.pdf?context=bWFzdGVyfHJvb3R8NjQ3OTQwfGFwcGxpY2F0aW9uL3BkZnxhRGhpTDJnNE5DOHhOVGMzT1RZd05Ua3pPREl3Tmk5VFJFa2dUVk5FVTE5TWFTMXBiMjVmWW1GMGRHVnllVjlKUTFJeE9EWTFNQzB5TmtwZk1qQXdNVEF4WDNabGNpNHdNUzV3WkdZfGY2NzAxOWFkN2Y1YzQ5YTMwZDQyNDQzMmQ5ZWRhMzAxMTZhYjNjNTE3NzE2MzllNDljOWE3NTlhNDkyNjg3NGE,Spain Warehouse (Parts)
1052324,51600004,KB125,ZECA,ZECA LAMP LED 250 LUX,Linterna taller led recargable ZECA LED 250 Lux,127.05,105.00,68.25,8053251193528,0,8513100000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li><a id=""_DX_FRAG_STARTFRAGMENT""></a>2 functions: COB LED 3W and spot SMD LED 1W</li><li>Double charging options: through both base and USB port</li><li>Ultra-thin light body and reclinable at 120° in both directions</li><li>2 incorporated magnets</li><li>Extractable integrated hook<a id=""_DX_FRAG_ENDFRAGMENT""></a></li></ul> </body> </html>","        2 functions: COB LED 3W and spot SMD LED 1WDouble charging options: through both base and USB portUltra-thin light body and reclinable at 120° in both directions2 incorporated magnetsExtractable integrated hook  ",TOOLING & WS,TOOLING,TOOLING POWER,5427,593,342,129,123,,,,,,,,https://api.mybihr.com/medias/1052324-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTA3Njh8aW1hZ2UvanBlZ3xhRFk1TDJnMk15ODRPVEkwT1RVeU5Ua3lOREUwTHpFd05USXpNalF0TVY4NE1EQlhlRGd3TUVnfDgwMjY5ZmZhYWQ3OTk1NWFiOGIzMzM1NzMxMWY5ZTlmMmYxMTBkY2UwN2QwZTRkM2M4ZWEzZjEyYjExZGNlODc,,,https://static.bihr.pro/eBihr/Pictures/ZECA-pictures.zip,https://api.mybihr.com/medias/KB125.pdf?context=bWFzdGVyfGRvY3VtZW50c3w5MjYxMTF8YXBwbGljYXRpb24vcGRmfGFETmtMMmd5TkM4NU1EUXpPRFUyTmpVME16WTJMMHRDTVRJMXw5ZGI0NDljZWIwZGFkMDgxNGM4NDk5MDMzZWI3OWIxM2M4MzczODg4NTg1MmY0MTUwZmVlYWQxOTgwZTJmYTg2,,,Spain Warehouse (Parts)
