PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Diámetro Ø (mm),Uso recomendado,Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1038931,228,1P-6MM,ALHONGA,ALHON SPAREPARTS CABLE COVER,Funda cable acero embrague moto ALHONGA - Caja de 50m,47.19,39.00,23.40,8430525013346,282,8714109090,0,1,Funda de cable. Acero laminado. Embrague&nbsp;negro. <br><br><strong>Ø:</strong>&nbsp;6 mm.<br><strong>Øint:</strong> 3mm.<br><strong>Caja:</strong> 50 m.,Funda de cable. Acero laminado. Embrague negro. Ø: 6 mm.Øint: 3mm.Caja: 50 m.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,7252,3930,344,340,62,,,https://api.mybihr.com/medias/1038931-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ5ODZ8aW1hZ2UvanBlZ3xhR1EwTDJobFlpOHhOVFF5TlRjMk9EWXlNREEyTWk4eE1ETTRPVE14TFRGZk9EQXdWM2c0TURCSXw5MDVmYTlkMTAwMTFkYmU1ZTM5ZjQyNTdkMzY2OTEzYzg2MTU3YTE0ZWRhZDI5MjRkNjdjYWZmZjgxNzk2MDIz,,,https://static.bihr.pro/eBihr/Pictures/ALHONGA-pictures.zip,Spain Warehouse (Parts)
1101468,633,HJ-452.11A,ALHONGA,ALHON BRAKE SHOE ROAD PAIR. ALU,ALHONGA Zapatas de freno de bicicleta carretera Shimano. Llanta aluminio. Carcasa plata,9.99,8.26,3.30,8430525032484,259,8714949090,0,1,Juego de 2 zapatas para sistema de pinza de carretera. Tipo Shimano Ultegra/Dura-Ace. Con carcasa de aluminio plata.,Juego de 2 zapatas para sistema de pinza de carretera. Tipo Shimano Ultegra/Dura-Ace. Con carcasa de aluminio plata.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,223,53,129,91,19,,Carretera & Ciudad,https://api.mybihr.com/medias/1101468-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTc4MzU1fGltYWdlL2pwZWd8YUdFNEwyaGhOaTg1TmpNeU1EYzBORFkxTXpFd0x6RXhNREUwTmpndE1WODRNREJYZURnd01FZ3xmYjdlNTE2NzMyM2M3YmM1N2E0ZDU0ZjEwYjZjYTdlMjM2MDMxOTVjZWViOTQ2MzhiYmMxY2E2MDk2ZDZhMDk4,,,https://static.bihr.pro/eBihr/Pictures/ALHONGA-pictures.zip,Spain Warehouse (Parts)
1101491,T4P,SP-4-300,ALHONGA,ALHON CABLE COVER END 4MM METALIC 150PCS,Bote 150 topes de funda cable 4mm plástico ALHONGA,9.00,7.44,2.99,8430525060319,465,8714109090,0,1,"Tope funda cable. Plástico. Bote de 150 unidades.
Para cable Ø4 mm.","Tope funda cable. Plástico. Bote de 150 unidades.
Para cable Ø4 mm.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,225,67,53,53,80,,Todos,https://api.mybihr.com/medias/1101491-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjIwMDV8aW1hZ2UvanBlZ3xhREpsTDJoaFl5OHhNVFUzTlRjM05EY3dOemMwTWk4eE1UQXhORGt4TFRGZk9EQXdWM2c0TURCSXw5N2QyMTg5ZjUwZjdmMzIxYjdhYjc1Mjk2YzRlOTAzZTU3OWYzNmQ0ZjRkZTNhZTRmODYyZjlkNTRkYzY5ODA5,,,https://static.bihr.pro/eBihr/Pictures/ALHONGA-pictures.zip,Spain Warehouse (Parts)
1101493,TF203,HJ-H5021,ALHONGA,ALHON TENSOR-END LEVER. ALUMINIUM. M7,Bolsa de 10 Topes tensor maneta ALHONGA - Aluminio. M7,4.50,3.72,2.42,8430525013452,96,8714109090,0,1,Tope para el tensor de la maneta. Aluminio plata. Rosca métrica M7/100. Bolsa de 10 unidades.,Tope para el tensor de la maneta. Aluminio plata. Rosca métrica M7/100. Bolsa de 10 unidades.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,97,30,81,63,19,,Ciclocross & Ciudad & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/1101493-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA0NzEzfGltYWdlL2pwZWd8YURCa0wyZ3pOaTg1TmpNeE5Ea3lOek0xTURBMkx6RXhNREUwT1RNdE1WODRNREJYZURnd01FZ3xiODgzNDcyNDhmYjQxNDUzNTQxNjMyNzA3MjZmMzFhMjRkMzI5YWYxMGFkOGY4Y2Y3NjBkNTNhYmMyZTMzMDE0,,,https://static.bihr.pro/eBihr/Pictures/ALHONGA-pictures.zip,Spain Warehouse (Parts)
1038698,225,1P-B,ALHONGA,ALHON SPAREPARTS CABLE COVER BLACK,Funda cable acero laminado color negro ALHONGA - Caja de 30m,22.51,18.60,12.09,8430525013315,423,8714109090,0,1,Funda de cable. Acero laminado. Negro.<br><br><strong>Ø:</strong> 5 mm.<br><strong>Caja:</strong> 30 m.,Funda de cable. Acero laminado. Negro.Ø: 5 mm.Caja: 30 m.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,4895,1371,283,279,62,,Todos,https://api.mybihr.com/medias/1038698-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjk4MzZ8aW1hZ2UvanBlZ3xhRFl4TDJnMllpODVNVEEyTVRNNU1EVTBNVEV3THpFd016ZzJPVGd0TVY4NE1EQlhlRGd3TUVnfGM1N2QxMGFiNTgzYWEzOWM1OTY3MDQ5MzkwN2UzYzlmODgxMjg0OWJjNzg4NmY5N2EzZmFjOTdjMmRkMjBlODc,https://api.mybihr.com/medias/1038698-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTgwODc1fGltYWdlL2pwZWd8YUdWbEwyZzNPQzg1TVRBMk1UTTVORFEzTXpJMkx6RXdNemcyT1RndE1sODRNREJYZURnd01FZ3wyM2ZjM2FiNTYwMWZmMDI1ZDBlOWIyNzY4OWY5NjFhNjc0YzlmNTYyYzU5N2M3N2JhODg0YWYwYzFjM2Q2YmQ4,,https://static.bihr.pro/eBihr/Pictures/ALHONGA-pictures.zip,Spain Warehouse (Parts)
1104363,847,HJ-169PV,ALHONGA,ALHON CHILDREN BIKE LEVER SET NYLON,Juego manetas bicicleta niño Alhonga Nylon,7.50,6.20,2.48,8430525032453,231,8714109090,0,1,"ALHONGA Lever set for Junior / Children bicycle.
Bracket and lever: Nylon composite. Black color.
Adjustable.
Direct pull brakes compatible (type Cantilever / V-Brake / Caliper).
Bracket with special security design.
Weight: 124gr (Pair).","ALHONGA Lever set for Junior / Children bicycle.
Bracket and lever: Nylon composite. Black color.
Adjustable.
Direct pull brakes compatible (type Cantilever / V-Brake / Caliper).
Bracket with special security design.
Weight: 124gr (Pair).",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,677,151,125,123,44,,Infantil,https://api.mybihr.com/medias/1104363-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTU3ODM1fGltYWdlL3BuZ3xhREkyTDJnMU5DOHhNVFU1TURReE56VTRNREEyTWk4eE1UQTBNell6TFRGZk9EQXdWM2c0TURCSXxmY2MyMjljNjE5MTM3OWIzZGUzYWE3NjRlODQ4Njk0ZWUxZGMzMTBmZmUxZTBhNzk3ZTg3OGE3NTI5ZGE1MDU1,,,https://static.bihr.pro/eBihr/Pictures/ALHONGA-pictures.zip,Spain Warehouse (Parts)
1038699,226,2P-LS,ALHONGA,ALHON SPAREPARTS CABLE COVER,Funda cable plástico con acero laminado ALHONGA - Caja de 50m,47.50,39.26,25.52,8430525013322,51,8714109090,0,1,Funda de cable. Acero laminado. Negro. Con teflón.<br><br><strong>Ø:</strong> 5 mm.<br><strong>Caja:</strong> 50 m.,Funda de cable. Acero laminado. Negro. Con teflón.Ø: 5 mm.Caja: 50 m.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,7880,3016,358,355,62,,Todos,https://api.mybihr.com/medias/1038699-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjk1MzJ8aW1hZ2UvanBlZ3xhRGhtTDJnNE5pODVNVEEyTVRNNU9EUXdOVFF5THpFd016ZzJPVGt0TVY4NE1EQlhlRGd3TUVnfDZiN2M5N2ZhN2FiMmNmNjM1OGRlN2NiZjYxZTM3MjY3ODRkNjQ2OGI0MWFhMmU2M2I0MWIzODMzNTU1MmZmOGE,https://api.mybihr.com/medias/1038699-2-800Wx800H?context=bWFzdGVyfHJvb3R8MjE0MDA3fGltYWdlL2pwZWd8YURjeUwyZzNOaTg1TVRBMk1UUXdNak16TnpVNEx6RXdNemcyT1RrdE1sODRNREJYZURnd01FZ3wzZTM4N2E5Nzc3NWNlYjcxYmFkODQ5MzY0OGI4YjZhNWVlYTZkMWZhOTk4NWM3MTJjNzY1OTdjMGQxZTRhMmFj,,https://static.bihr.pro/eBihr/Pictures/ALHONGA-pictures.zip,Spain Warehouse (Parts)
1105388,TF6L,HJ-D90-Ø6-SILVER,ALHONGA,ALHON HOSE END 6MM BRASS (BOTTLE 150PCS),Tope funda cable 6 mm (bote de 150 u),19.00,15.70,10.21,8430525326460,0,8714109090,0,1,<p>Tope funda cable Lat�n. Bote de 150 unidades.</p><p>Caracter�sticas: �6&nbsp;mm.</p>,"
Tope funda cable Lat�n. Bote de 150 unidades.
Caracter�sticas: �6 mm.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,224,82,52,50,86,,Todos,https://api.mybihr.com/medias/1105388-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI0MjI3fGltYWdlL3BuZ3xhR1k0TDJnek1TOHhNVFUzTlRjM016STJOVGsxTUM4eE1UQTFNemc0TFRGZk9EQXdWM2c0TURCSXwzOGZjYjExN2FkNDVjODg2ZmM1ZWIwYTZkM2E1NDJmZGQxY2I0NWMxNTQ4MTQ3NTNiZmM3MjFiZjExY2E3Mjg2,https://api.mybihr.com/medias/1105388-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1MTU2fGltYWdlL3BuZ3xhR00zTDJnellpOHhNVFUzTlRjM016VXlPREE1TkM4eE1UQTFNemc0TFRKZk9EQXdWM2c0TURCSXw4Mjk4MDFmNDJjYzcwOTg5OWNkOTZlMjE0M2E0Y2ZlZWNiYTE5NjE3Njc4N2QzOWQxZTYzMzZjYmFkNmVkODQ5,,https://static.bihr.pro/eBihr/Pictures/ALHONGA-pictures.zip,Spain Warehouse (Parts)
1104707,15274,HJ-W6088-Ø160,ALHONGA,ALHON BRAKE DISC WAVE Ø160 IS 6 SCREW,Disco freno bici wave Ø160,10.99,9.08,5.90,8430525152748,69,8714109090,0,1,<font size=1><font size=1><p align=left><font size=3>Disco de freno �160 mm.</font></p><p align=left><font size=3>IS (International Standard).</font></p><p align=left><font size=3>6 tornillos.</font></p><p align=left><font size=3>Secci�n variable: 13-18mm.</font></p><p><font size=3>Peso: 123gr.</font></p></font></font>,Disco de freno �160 mm.IS (International Standard).6 tornillos.Secci�n variable: 13-18mm.Peso: 123gr.,VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,503,168,231,198,11,,Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring,https://api.mybihr.com/medias/1104707-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjI3MjgwfGltYWdlL3BuZ3xhR00yTDJobE9DOHhNRGcyTmpJNE1EWTJNVEF5TWk4eE1UQTBOekEzTFRGZk9EQXdWM2c0TURCSXxlZWNlMmU0NmM4MDk2N2VlOWJlM2Y0NzA4OTY4MjMyMjA4ZjBhYzAxNDAwOWMyM2NkZjUwYTgyZDA2NTU3NTQ4,,,https://static.bihr.pro/eBihr/Pictures/ALHONGA-pictures.zip,Spain Warehouse (Parts)
1104419,12008,HJ-MD08,ALHONGA,ALHON BRAKE DISC WAVE Ø160 IS 6 SCREW,Disco de freno Ø160mm. 6 tornillos.,10.50,8.68,5.64,8430525120082,223,8714109090,0,1,"Brake disc ALHONGA wave Ø160 mm.
IS (International Standard).
6 screw.
Variable section: 14-16mm.
Weight: 123gr.","Brake disc ALHONGA wave Ø160 mm.
IS (International Standard).
6 screw.
Variable section: 14-16mm.
Weight: 123gr.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,503,155,231,198,11,,Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring,https://api.mybihr.com/medias/1104419-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjk0Mzc0fGltYWdlL3BuZ3xhR1E1TDJnd05TOHhNRGcyTmpJM09UZ3dPVEExTkM4eE1UQTBOREU1TFRGZk9EQXdWM2c0TURCSXxkNDZiMzU3Y2NhN2QwYzMwMzViNWNjY2Y0NDdhMDc0YTkwMjg2NzY1Yjc0ZTdkMTc1YmFiODM0OWJiZjZlYTY3,,,https://static.bihr.pro/eBihr/Pictures/ALHONGA-pictures.zip,Spain Warehouse (Parts)
