PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Voltaje,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,AllPicturesZIP,DeliveryPlant
1153451,,230-58226,ARROWHEAD,ARROW RECTIFIER / REGULATOR,ARROWHEAD Regulator / Rectifier,87.47,72.29,43.37,196140071502,0,8714109090,0,1,"<p>El <strong>regulador / rectificador ARROWHEAD 230-58226</strong> proporciona una regulación de tensión estable y convierte de forma fiable la corriente alterna del alternador en corriente continua para el sistema eléctrico de la moto. Diseñado como una sustitución de alta calidad, garantiza una carga de batería regular y protege los componentes eléctricos de la moto.</p>
<p><strong>Puntos clave</strong></p>
<ul>
	<li>Regulador y rectificador combinados en una sola unidad</li>
	<li>Regulación de tensión estable para el sistema eléctrico de 12 V</li>
	<li>Convierte la corriente alterna del alternador en corriente continua</li>
	<li>Garantiza una carga de batería fiable</li>
	<li>Construcción robusta para el deporte motor y el uso todoterreno</li>
	<li>Instalación plug-and-play específica del vehículo</li>
	<li>Sustitución aftermarket de alta calidad para diferentes modelos de moto</li>
</ul>","
El regulador / rectificador ARROWHEAD 230-58226 proporciona una regulación de tensión estable y convierte de forma fiable la corriente alterna del alternador en corriente continua para el sistema eléctrico de la moto. Diseñado como una sustitución de alta calidad, garantiza una carga de batería regular y protege los componentes eléctricos de la moto.

Puntos clave

	Regulador y rectificador combinados en una sola unidad
	Regulación de tensión estable para el sistema eléctrico de 12 V
	Convierte la corriente alterna del alternador en corriente continua
	Garantiza una carga de batería fiable
	Construcción robusta para el deporte motor y el uso todoterreno
	Instalación plug-and-play específica del vehículo
	Sustitución aftermarket de alta calidad para diferentes modelos de moto
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,1,1,10,10,10,12V,https://api.mybihr.com/medias/800Wx800H-1153451-1.jpg?context=bWFzdGVyfHJvb3R8NTEwMTB8aW1hZ2UvanBlZ3xhR1kyTDJnMVpDOHhNREl5TWpVM016VTVNRGswTURZdk9EQXdWM2c0TURCSVh6RXhOVE0wTlRFdE1TNXFjR2N8YzY4YjdhYmJmMGQ1NTJlZjFjNmIyOGVjNDQ1YTczYjFkODNlMmVlNmJjMzZjNzU5OTg4NWYxNzVmMTMzYzk0ZA,https://api.mybihr.com/medias/800Wx800H-1153451-3.png?context=bWFzdGVyfHJvb3R8MTYzNzE1fGltYWdlL3BuZ3xhRGd3TDJoaVpTOHhNREl5TWpVM016WTJPVFU0TXpndk9EQXdWM2c0TURCSVh6RXhOVE0wTlRFdE15NXdibWN8ZGI3Yzg4ZjFmMGUzYWMxNGRhYzQ5NmYzZmU0MWU0ZTg4ZTJjODYzNGJhYWM5MjY1NjcwNmQ3YzZkMzAxZWE1ZA,https://api.mybihr.com/medias/800Wx800H-1153451-2.png?context=bWFzdGVyfHJvb3R8MTk1NDAzfGltYWdlL3BuZ3xhRFF5TDJoaU15OHhNREl5TWpVM016WXpNREkyTWpJdk9EQXdWM2c0TURCSVh6RXhOVE0wTlRFdE1pNXdibWN8ZmU1YzU4ZTAyNmE0NjQzZGM1NjFiNzFkMjAxNDNmOGY2ODc3ODAzYzY0ZTg1YzlhN2ExYmE3YjcwYjlmNmQyYw,,,,,https://static.bihr.pro/eBihr/Pictures/ARROWHEAD-pictures.zip,Spain Warehouse (Parts)
1152827,,410-54279,ARROWHEAD,ARROW STARTER,Motor de arranque ARROWHEAD,206.05,170.29,93.66,410-54279,2,8714109090,0,1,"<p>Los motores de arranque adaptables ARROWHEAD son una alternativa fiable al&nbsp;recambio original del fabricante</p>
<ul>
<li>motor de arranque tipo&nbsp;OEM</li>
<li>Sustituci&oacute;n directa del componente da&ntilde;ado</li>
</ul>","
Los motores de arranque adaptables ARROWHEAD son una alternativa fiable al recambio original del fabricante

motor de arranque tipo OEM
Sustitución directa del componente dañado
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,1239,763,169,94,78,,https://api.mybihr.com/medias/800Wx800H-1152827-1.jpg?context=bWFzdGVyfHJvb3R8NTgxMTZ8aW1hZ2UvanBlZ3xhRGd6TDJnM01TOHhNREkxTlRFMk5UUTROVGczT0RJdk9EQXdWM2c0TURCSVh6RXhOVEk0TWpjdE1TNXFjR2N8ZWI3NTA4NmU1YWFlMWJmOTk4YTZiOGU0NzllMTQ4MTg2OWVkN2VlMjBhODc4NjY2MjgwZTAwYTAxNTU5ZmUyNw,https://api.mybihr.com/medias/800Wx800H-1152827-2.jpg?context=bWFzdGVyfHJvb3R8MTA0ODkwfGltYWdlL2pwZWd8YUdObUwyaGpOaTh4TURJMU5URTJOVFV5TlRFNU9UZ3ZPREF3VjNnNE1EQklYekV4TlRJNE1qY3RNaTVxY0djfGY4ZDYyMjFlZWU4Mjk4OGJiMmViNWIxOTE0NmFjNDFjMmE5OTRjNTU1MTU4OThiNGY1M2RkYTc2ZGRhOGFmZjg,https://api.mybihr.com/medias/800Wx800H-1152827-3.jpg?context=bWFzdGVyfHJvb3R8NjI3NDh8aW1hZ2UvanBlZ3xhRFZrTDJoa05DOHhNREkxTlRFMk5UVTJORFV5TVRRdk9EQXdWM2c0TURCSVh6RXhOVEk0TWpjdE15NXFjR2N8MTllZjgxMzJhZWU1MWI1MTdmOTdmMWNhZWYxNzJmMTY2MWRlMzBlMjk0YTI4ZmVlMzg0ZGMyM2FhNDE5MDU5NA,https://api.mybihr.com/medias/800Wx800H-1152827-4.jpg?context=bWFzdGVyfHJvb3R8NDk5Nzd8aW1hZ2UvanBlZ3xhRFk1TDJoa05pOHhNREkxTlRFMk5UWXdNemcwTXpBdk9EQXdWM2c0TURCSVh6RXhOVEk0TWpjdE5DNXFjR2N8NzViYzg4MzFiMDEwZWMwZTlhZmRlMWRmMThmZDI4MjAyOWNkMDlhMTc3MTY2NmVjZWU5YjNiYzk2NmY1NzIxYw,https://api.mybihr.com/medias/800Wx800H-1152827-5.jpg?context=bWFzdGVyfHJvb3R8NDE2NTd8aW1hZ2UvanBlZ3xhR001TDJoak9DOHhNREkxTlRFMk5UWTBNekUyTkRZdk9EQXdWM2c0TURCSVh6RXhOVEk0TWpjdE5TNXFjR2N8MTdmMDgyZTlmZWVlZWQ5NDViZGMxOWMzOTk5NzlkYWE3MTg3NGEyZDJhOGQ2M2MwNDJjMDRjMGI2MGI0MmIwYg,https://api.mybihr.com/medias/800Wx800H-1152827-6.jpg?context=bWFzdGVyfHJvb3R8NzYzNjl8aW1hZ2UvanBlZ3xhRE5qTDJoaVlpOHhNREkxTlRFMk5UWTRNalE0TmpJdk9EQXdWM2c0TURCSVh6RXhOVEk0TWpjdE5pNXFjR2N8OWFkOGI3NmVjNmJmODBiMGJkZWQ1YjkxOGU4YWFmN2NlMGRlODViMTE4YWVkM2Q1MDAyNjkzMzc2ZmM5MTY0OA,https://api.mybihr.com/medias/800Wx800H-1152827-7.jpg?context=bWFzdGVyfHJvb3R8OTMyMjF8aW1hZ2UvanBlZ3xhREF5TDJnMk5pOHhNREkxTlRFMk5UY3lNVGd3Tnpndk9EQXdWM2c0TURCSVh6RXhOVEk0TWpjdE55NXFjR2N8M2NhM2NhNGEzOTVmNDBmYjllNDY3OTQ0OTU3MzA3Y2UyYTMzZTFjZDA1NTZlYzFjMGE5YjA3OThmZmEwYmM1Yg,https://static.bihr.pro/eBihr/Pictures/ARROWHEAD-pictures.zip,Spain Warehouse (Parts)
1078895,15640,SND0670,ARROWHEAD,ARROW STARTER,Motor de Arranque Arrowhead SND0670,232.99,192.55,105.90,10-SND0670,20,8409910090,0,1,"<p>Los motores de arranque adaptables ARROWHEAD son una alternativa fiable al&nbsp;recambio original del fabricante</p>
<ul>
<li>motor de arranque tipo&nbsp;OEM</li>
<li>Sustituci&oacute;n directa del componente da&ntilde;ado</li>
</ul>","
Los motores de arranque adaptables ARROWHEAD son una alternativa fiable al recambio original del fabricante

motor de arranque tipo OEM
Sustitución directa del componente dañado
",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,2929,100,116,207,122,,https://api.mybihr.com/medias/1078895-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTU4NDZ8aW1hZ2UvanBlZ3xhREprTDJnek9TOHhOVFF5TnpNM05qUTRNREk0Tmk4eE1EYzRPRGsxTFRGZk9EQXdWM2c0TURCSXwzYzFmMGJhM2Q5ZjRkN2FjZjEwMjE3MGI0MjRhMmNiYWYwOWRiMTk4MzMwMTllMzY3YmYyMTA1ZjU1MWUzNGE5,,,,,,,https://static.bihr.pro/eBihr/Pictures/ARROWHEAD-pictures.zip,Spain Warehouse (Parts)
1078891,37926,410-54201,ARROWHEAD,ARROW STARTER,Motor de arranque Arrowhead SMU0187,194.79,160.98,88.54,410-54201,6,8409910090,0,1,"<p>Los motores de arranque adaptables ARROWHEAD son una alternativa fiable al&nbsp;recambio original del fabricante</p>
<ul>
<li>motor de arranque tipo&nbsp;OEM</li>
<li>Sustituci&oacute;n directa del componente da&ntilde;ado</li>
</ul>","
Los motores de arranque adaptables ARROWHEAD son una alternativa fiable al recambio original del fabricante

motor de arranque tipo OEM
Sustitución directa del componente dañado
",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,1450,100,98,200,74,,https://api.mybihr.com/medias/1078891-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDI3MTZ8aW1hZ2UvanBlZ3xhR1ppTDJnNU5DOHhOVFF5TnpNM01qVTBPREV5Tmk4eE1EYzRPRGt4TFRGZk9EQXdWM2c0TURCSXw5ODFkNGMyMzc0MWM2ZWYzMDMwNzE4MjQwNDM3NGQ1NzY3ZmEzYzIxMjY3Zjc2MmYxYWUyZWExOGVjODE5ZTM2,,,,,,,https://static.bihr.pro/eBihr/Pictures/ARROWHEAD-pictures.zip,Spain Warehouse (Parts)
1078869,37886,414-54004,ARROWHEAD,ARROW REPAIR KIT STARTER,Porta escobillas Arrowhead SMU9103,20.23,16.72,9.20,10-SMU9103,24,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,156,100,78,74,27,,https://api.mybihr.com/medias/1078869-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzQzOTd8aW1hZ2UvanBlZ3xhRGt4TDJneVpTOHhOVFF5TnpNMk16VXdOREUxT0M4eE1EYzRPRFk1TFRGZk9EQXdWM2c0TURCSXwwZjM2ZDZkMTI3MzhjY2Y1NWU5MmNlNThmNmVlYjQ1N2QyMjQ0MjdhZDk0Y2I5NWY1MTEyYjc0YzY4Y2IxYjY2,,,,,,,https://static.bihr.pro/eBihr/Pictures/ARROWHEAD-pictures.zip,Spain Warehouse (Parts)
1078862,38008,230-58025,ARROWHEAD,ARROW REGULATOR,Regulador de corriente Arrowhead AHA6072,125.30,103.55,56.95,230-58025,3,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,773,100,108,135,53,,https://api.mybihr.com/medias/1078862-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjAxNjR8aW1hZ2UvanBlZ3xhR1U1TDJobFlTOHhOVFF5TnpNMk1ETTFPRFF6TUM4eE1EYzRPRFl5TFRGZk9EQXdWM2c0TURCSXxjNTI1NzgxMmQzYzFkZGMyZGE2M2UzODk5OGFjZWIwYTZlZWFlOWNmZjlmODliNjViMjdlZWY2YTEwZWY2Mzdk,,,,,,,https://static.bihr.pro/eBihr/Pictures/ARROWHEAD-pictures.zip,Spain Warehouse (Parts)
1078893,37936,410-52308,ARROWHEAD,ARROW STARTER,"Motor de arranque ARROWHEAD SND0613 - BMW K75 , K100, K1100, K1200 y K1",324.04,267.80,147.29,410-52308,3,8409910090,0,1,"<p>Los motores de arranque adaptables ARROWHEAD son una alternativa fiable al&nbsp;recambio original del fabricante</p>
<ul>
<li>motor de arranque tipo&nbsp;OEM</li>
<li>Sustituci&oacute;n directa del componente da&ntilde;ado</li>
</ul>","
Los motores de arranque adaptables ARROWHEAD son una alternativa fiable al recambio original del fabricante

motor de arranque tipo OEM
Sustitución directa del componente dañado
",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,2177,100,106,185,111,,https://api.mybihr.com/medias/1078893-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzIwNDB8aW1hZ2UvanBlZ3xhRFV4TDJoaE5TOHhOVFF5TnpNM05ERXlNRGs1TUM4eE1EYzRPRGt6TFRGZk9EQXdWM2c0TURCSXw4Yzk5ZGEyYjZmNmQ4NGQwMjAzNWZjODg2OTM4YzkwOTcxNmY3NTA2ZWMzMThmNDQwMWE2OTA4ZWNlZDhiOWE3,https://api.mybihr.com/medias/1078893-2-800Wx800H?context=bWFzdGVyfHJvb3R8Mjg3ODR8aW1hZ2UvanBlZ3xhR016TDJnNU55OHhOVFF5TnpNM05EVXhOREl3Tmk4eE1EYzRPRGt6TFRKZk9EQXdWM2c0TURCSXxlMDllYjNkMWRjYWM2MTQ4MTFiNDU4NmY2ZDMxZTU3NWFjMGZiYTgxMTM1NjMyOTZjNjQ3NDIwYmFkYmFmOWRh,https://api.mybihr.com/medias/1078893-3-800Wx800H?context=bWFzdGVyfHJvb3R8NDA5MTh8aW1hZ2UvanBlZ3xhRE0yTDJnNFlTOHhOVFF5TnpNM05Ea3dOelF5TWk4eE1EYzRPRGt6TFROZk9EQXdWM2c0TURCSXxkMzRkMDFlZjA4YzdlYmQwYTBjNzVhYTYzMmU0NGVjNTI2MzExYWFjMTJhOGUzYjFhMzEyYTAwNzU5YTNmN2U2,,,,,https://static.bihr.pro/eBihr/Pictures/ARROWHEAD-pictures.zip,Spain Warehouse (Parts)
1078888,37939,410-52496,ARROWHEAD,ARROW STARTER,Motor de arranque Arrowhead SHD0004,355.04,293.42,161.38,10-SHD0004,12,8409910090,0,1,"<p>Los motores de arranque adaptables ARROWHEAD son una alternativa fiable al&nbsp;recambio original del fabricante</p>
<ul>
<li>motor de arranque tipo&nbsp;OEM</li>
<li>Sustituci&oacute;n directa del componente da&ntilde;ado</li>
</ul>","
Los motores de arranque adaptables ARROWHEAD son una alternativa fiable al recambio original del fabricante

motor de arranque tipo OEM
Sustitución directa del componente dañado
",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,4871,100,144,227,149,,https://api.mybihr.com/medias/1078888-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQxNTc2fGltYWdlL2pwZWd8YUdFMEwyZ3pNQzh4TlRReU56TTNNRGszTlRJMk1pOHhNRGM0T0RnNExURmZPREF3VjNnNE1EQkl8NzA2NGUxNzcwMzFhMjE2M2Y2ZTNmNzQ1NWYxZTJmMmY4NDUwOGYyZmU4N2FlMzQ2ZDJkMjg4YmQ4NjFiZDZiNA,,,,,,,https://static.bihr.pro/eBihr/Pictures/ARROWHEAD-pictures.zip,Spain Warehouse (Parts)
1078881,37884,240-22154,ARROWHEAD,ARROW STARTER RELAY SOLENOID SWITCH,Relé de arranque ARROWHEAD - Polaris ATV,42.92,35.47,19.51,10-SMU6004,2,8409910090,0,1,"<p>Rele de arranque para Polaris ATV.</p>
<p>Referencias OEM Polaris: 3083211,&nbsp;3085521,&nbsp;3087196,&nbsp;4010930,&nbsp;4011335.</p>","
Rele de arranque para Polaris ATV.

Referencias OEM Polaris: 3083211, 3085521, 3087196, 4010930, 4011335.",VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,368,100,79,63,74,,https://api.mybihr.com/medias/1078881-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzYzODN8aW1hZ2UvanBlZ3xhRGc1TDJnek5TOHhOVFF5TnpNMk9ESXlNamMxTUM4eE1EYzRPRGd4TFRGZk9EQXdWM2c0TURCSXwzYTllYjkyYTI3NjRjYTk0MmNlMGQ3ZDUzZDM3NWY4YzhkZTY4Y2E2NDAwOTE4ZmY2MTI5YzI5NDI3ZWE0MjA0,,,,,,,https://static.bihr.pro/eBihr/Pictures/ARROWHEAD-pictures.zip,Spain Warehouse (Parts)
1078868,38014,230-58061,ARROWHEAD,ARROW REGULATOR,Regulador de corriente Arrowhead ASU6013,89.29,73.79,40.58,10-ASU6013,27,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ELECTRICAL PARTS,ELECT. AUX COMPONENT,1617,100,141,147,78,,https://api.mybihr.com/medias/1078868-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjMxMzl8aW1hZ2UvanBlZ3xhREF6TDJneU1TOHhOVFF5TnpNMk16RXhNRGswTWk4eE1EYzRPRFk0TFRGZk9EQXdWM2c0TURCSXw5N2JlM2I1ZWJjNjQwMmMwYmQxZDg3ZGQ3MjE2MGVmZGUwMWNmZjg4N2ZkOWY0Nzk5NzVmOTA5YTQ4MjUzNjk0,,,,,,,https://static.bihr.pro/eBihr/Pictures/ARROWHEAD-pictures.zip,Spain Warehouse (Parts)
