PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,AllPicturesZIP,DeliveryPlant
1012522,43602,P018000001176,ARTEIN,ARTEI GASKET CLUTCH,JUNTA TAPA EMBRAGUE Artein CS 4900 P018000001176,6.70,5.54,3.32,8434579014434,0,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,603,14,159,316,12,https://api.mybihr.com/medias/1012522-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhRE00TDJnME55OHhOVFF5TURVMU16RTVPVFkwTmk4eE1ERXlOVEl5TFRGZk9EQXdWM2c0TURCSXwxMzM4NWViY2Y5NzRjODY5MTUzNmI5MGMzYzEzNWExMTdlYWU2YTFjYTQ4YjUwYmVkMmEyZjBiYTk2MThiMWJj,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012525,37580,P018000004016,ARTEIN,ARTEI GASKET CLUTCH,Junta tapa embrague Artein Daelim Roadwin,6.18,5.11,3.07,8434579022484,0,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,540,10,193,233,12,https://api.mybihr.com/medias/1012525-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg0OTB8aW1hZ2UvanBlZ3xhRGMwTDJoa015OHhOVFF5TURRek5qZ3dOemN4TUM4eE1ERXlOVEkxTFRGZk9EQXdWM2c0TURCSXxlOTJiY2RiYzlmNzE4YjNkNjVhN2NmMTQ1Mzg5Y2YzZmNjNmVlZTBlNGE5NWVmZGIwYzE2NmM2MjI5NTM2ZDVk,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012535,37575,P018000001853,ARTEIN,ARTEI GASKET CLUTCH,Junta tapa embrague Artein P018000001853,17.52,14.48,8.69,8434579016797,5,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,763,26,203,376,10,https://api.mybihr.com/medias/1012535-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg0OTB8aW1hZ2UvanBlZ3xhRFJsTDJobU1DOHhOVFF5TURNNU56YzBPREkxTkM4eE1ERXlOVE0xTFRGZk9EQXdWM2c0TURCSXxkMzE2Zjc3NDU4Mzg1MDg0YWM3YzQyNjY4Mzc2NjNlODVkMTkyNjRhYmE0YTViM2RhNjBhZjYzMjU5Yzk5MTAz,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012529,37577,P018000002475,ARTEIN,ARTEI GASKET CLUTCH,Junta tapa embrague ARTEIN - Minarelli AM 3/4/5/6,4.13,3.41,2.05,8434579019170,14,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,255,12,183,232,6,https://api.mybihr.com/medias/800Wx800H-1012529-1.jpg?context=bWFzdGVyfHJvb3R8MTczMjUzfGltYWdlL2pwZWd8YUdKaUwyaGhaaTg0TVRZMk56WXhPRE0zTXpZMk1pODRNREJYZURnd01FaGZNVEF4TWpVeU9TMHhMbXB3Wnd8ZjU0Mzg4OGRiNWZhM2ZhNmY1MmE5Y2U0OWNjZDllYzdlOGI0MjI3YTkxN2ZhMWI0NDBlZGM1YThiZmE2NTY5MQ,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012799,43568,P003000002704,ARTEIN,ARTEI GASKET CRANK CASE COVER,JUNTA TAPA CARTER Artein CS 4900 Artein P003000002704,3.61,2.98,1.79,8434579019910,8,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,118,8,128,153,6,https://api.mybihr.com/medias/1012799-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTU2Nzh8aW1hZ2UvanBlZ3xhREJoTDJobFpDOHhOVFF5TURZMk1EWTNPRFk0Tmk4eE1ERXlOems1TFRGZk9EQXdWM2c0TURCSXxkNDY1N2JmNjYxNGJkYWNhNDE2NjdlMGYxNDU0YTUzMDUxZGYyN2JkYTE5MjM3ZTBhNmU1OGVlODc1NDI4MWU1,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012996,43569,P003000004028,ARTEIN,ARTEI SEAL CRANK CASE,JUNTA CARTER Artein CS 4900 Artein P003000004028,5.15,4.26,2.56,8434579022590,5,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1555,12,165,248,38,https://api.mybihr.com/medias/1012996-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjAzOTh8aW1hZ2UvanBlZ3xhR1U1TDJoak1pOHhOVFF5TVRBNU1qSXpNekkwTmk4eE1ERXlPVGsyTFRGZk9EQXdWM2c0TURCSXxlMjg5OTI4MTA0MjMzMjgyYWM2NDgzMmQ0NGRjNDdhMWNmMWQxMTBmNjI5ZjRhY2YxMTI2ZGEyMjgzNDcwYTBl,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012708,43433,J0000PT000179,ARTEIN,ARTEI GASKET COMPLETE SET,Kit completo juntas de motor Artein J0000PT000179 Peugeot SX5 49 cc,26.27,21.71,13.03,8434579000840,4,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,604,60,351,215,8,https://api.mybihr.com/medias/1012708-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhRGN4TDJneU9DOHhOVFF5TURZeE56RTJNamM0TWk4eE1ERXlOekE0TFRGZk9EQXdWM2c0TURCSXxlMjcxMmIxNmE2MzMzYWE4MGJkM2VlZjRkYTAwYTI4Y2VkMGY4NDk0ZjNlZDBlZDFmNmEyODllYTk3NTQzYTU5,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012782,37492,J0000SY000714,ARTEIN,ARTEI GASKET COMPLETE SET,"Kit completo juntas de motor Artein Peugeot TWEET 125 4T, Sym SYMPHONY 125",94.77,78.32,46.99,8434579003902,3,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1383,134,205,482,14,https://api.mybihr.com/medias/1012782-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg0OTB8aW1hZ2UvanBlZ3xhR1kyTDJnM05DOHhOVFF5TURZMU16azVOREF4TkM4eE1ERXlOemd5TFRGZk9EQXdWM2c0TURCSXwwMmRhY2E0NzUxY2JmMTg2YmVkNTI0ZDc0NjJjZWMyMjRjMWUzNGQzOGNhZDdiNzQ3MWUzMWRiNGZiZGZhZDhh,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012738,37487,J0000SS000176,ARTEIN,ARTEI GASKET COMPLETE SET,Kit completo juntas de motor Artein J0000SS000176,45.85,37.89,22.73,8434579000819,2,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,837,94,215,354,11,https://api.mybihr.com/medias/1012738-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg0OTB8aW1hZ2UvanBlZ3xhR1ZsTDJnNE9DOHhOVFF5TURZeU9UQXlORGM1T0M4eE1ERXlOek00TFRGZk9EQXdWM2c0TURCSXwyMjJiMDg3MzRmMzRkN2FmNzI5NGQ4Nzc0ZWU5ZDY3ZWQxMDgyYzNmNDRiNjdiYmJmNzBhZjU3NzZiMmQ3MzQ3,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012624,43391,J0000HN000470,ARTEIN,ARTEI GASKET COMPLETE SET,"Kit completo juntas de motor Artein J0000HN000470 Honda NSR 125, CRM 125",49.96,41.29,24.77,8434579003025,0,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,808,96,213,345,11,https://api.mybihr.com/medias/1012624-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhREpqTDJnMlppOHhOVFF5TURVMk5EWXdNamt4TUM4eE1ERXlOakkwTFRGZk9EQXdWM2c0TURCSXwyNzc4ZGNlZTMxYzdlZTllMGZjYmNjM2E5YjRhZTRmZjE3Y2UxOGJlODhmYWY5MzZiZjViNThmNjc1NjA4MmRh,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
