PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,Picture2,AllPicturesZIP,DeliveryPlant
1020307,101120,D98B01091B,B1,B1 FLANGE GUIDE VARIATOR,Guias de variador B1 Minarelli todos los modelos,2.42,2.00,1.20,D98B01091B,56,8714109090,0,1,<p>Las gu&iacute;as de variador Bihr te permiten renovar esta parte del variador al mejor precio posible.<br> <br> Calidad y precio<br> Se montan como sustituci&oacute;n de la pieza da&ntilde;ada<br> Se entregan en kits de 3.</p>,"
Las guías de variador Bihr te permiten renovar esta parte del variador al mejor precio posible.  Calidad y precio Se montan como sustitución de la pieza dañada Se entregan en kits de 3.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,38,100,79,68,7,https://api.mybihr.com/medias/1020307-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODM0MjV8aW1hZ2UvanBlZ3xhR1UzTDJnd1lTODRPVE0wTnpZME1UZ3pOVGd5THpFd01qQXpNRGN0TVY4NE1EQlhlRGd3TUVnfGZkNWIyNzUzYjM0MzU5N2M0ZWIwZGFhNWU0OWJjZjcxYWVjNzM5YzE0ZWRmMWYyNjYwM2FhZGE5MTQwOTJjYWY,,https://static.bihr.pro/eBihr/Pictures/B1-pictures.zip,Spain Warehouse (Parts)
1020308,101121,D98P01091B,B1,B1 FLANGE GUIDE VARIATOR,Guias de variador B1 Peugeot Speedfight/Buxy/TKR 50,2.42,2.00,1.20,D98P01091B,15,8714109090,0,1,<p>Las gu&iacute;as de variador Bihr te permiten renovar esta parte del variador al mejor precio posible.<br> <br> Calidad y precio<br> Se montan como sustituci&oacute;n de la pieza da&ntilde;ada<br> Se entregan en kits de 3.</p>,"
Las guías de variador Bihr te permiten renovar esta parte del variador al mejor precio posible.  Calidad y precio Se montan como sustitución de la pieza dañada Se entregan en kits de 3.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,36,5,75,68,7,https://api.mybihr.com/medias/1020308-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTIyNDE5fGltYWdlL2pwZWd8YURjd0wyaGlaQzg0T1RJMk5EVTJNekUxT1RNMEx6RXdNakF6TURndE1WODRNREJYZURnd01FZ3w2OGFiYzU4ZjcyOGNjYzhjMWM5NzA2ZDE4OTQ2MTNlYWZmMjE4OTU3N2NjZmIwMDBmMWEzOWQ0MmQxOTU3YmRl,,https://static.bihr.pro/eBihr/Pictures/B1-pictures.zip,Spain Warehouse (Parts)
1020310,100902,D56B00S00B,B1,B1 SPAREPARTS FIXED BACK PLATE,Semipolea fija B1 - Minarelli 50cc,10.89,9.00,5.40,D56B00S00B,0,4016930090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,322,115,140,121,19,https://api.mybihr.com/medias/800Wx800H-1020310-1.png?context=bWFzdGVyfHJvb3R8MjE3NTIxfGltYWdlL3BuZ3xhRGhrTDJoalppODJNalUyTlRFek56TTRNelExTkM4NE1EQlhlRGd3TUVoZk1UQXlNRE14TUMweExuQnVad3w0OGVjMTQ4YTQ2ZjUyMDdkYTZkZmFjNzgzYTNhZTM5NzBkN2ViNWQ4NjcxNTZiZjRjMjQ1ZGIzMTAxZjUwMWY1,,https://static.bihr.pro/eBihr/Pictures/B1-pictures.zip,Spain Warehouse (Parts)
1020305,110437,D6BA10000B,B1,B1 CLUTCH COMPLETE,Kit de embrague B1 - AM6,26.62,22.00,13.20,D6BA10000B,24,8512100000,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,1495,213,202,200,37,https://api.mybihr.com/medias/800Wx800H-1020305-1.jpg?context=bWFzdGVyfHJvb3R8MTQ5ODM3fGltYWdlL2pwZWd8YUdZNUwyZzRNeTgwTnpjeE1Ea3hNRFUzT0RjeE9DODRNREJYZURnd01FaGZNVEF5TURNd05TMHhMbXB3Wnd8MDRjNmUyMWM0NWIzYTAzYjU5NTk2MjRjNzQzZDk0NTM4MDdlODUyODQ0YWE4ZGU3ZTA1YjliYjM3MjlkOGZlMQ,,https://static.bihr.pro/eBihr/Pictures/B1-pictures.zip,Spain Warehouse (Parts)
1020262,360533,D71A10K00B,B1,B1 REEDVALVE FIBRE SYSTEM,Caja láminas carbono B1 Minarelli AM6,32.50,26.86,16.12,D71A10K00B,16,8481809990,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,550,96,128,113,38,https://api.mybihr.com/medias/1020262-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzEwMTV8aW1hZ2UvanBlZ3xhR1l4TDJnek1TODRPVE00T0RVNU9UVTBNakEyTHpFd01qQXlOakl0TVY4NE1EQlhlRGd3TUVnfGNhYjI3ZWU3ZGE4YjM1NWQyMzg3M2JjNmRmMGQ2MTQxOTRiOGFlZWZjNGE2MzQ3OGExMTQzNjUwYWE5MWRlZjM,,https://static.bihr.pro/eBihr/Pictures/B1-pictures.zip,Spain Warehouse (Parts)
1020269,360527,D71T00G00B,B1,B1 REEDVALVE FIBREPETALS,Caja láminas fibra B1 TYPHOON,14.52,12.00,7.20,D71T00G00B,5,8481809990,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,718,94,129,116,48,https://api.mybihr.com/medias/1020269-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjExNjd8aW1hZ2UvanBlZ3xhR1JsTDJnMVppODRPVEkwTVRJNE5EUTBORFEyTHpFd01qQXlOamt0TVY4NE1EQlhlRGd3TUVnfDAzMTcxYWE3NmViNTBiNjE1MmY0MmExZDY3MGFjNTE3ODMwOGE3YmUxZDZkNDkzYWE3MmE1OGFiYjJmNzBlNGE,,https://static.bihr.pro/eBihr/Pictures/B1-pictures.zip,Spain Warehouse (Parts)
1020265,360526,D71N10G00B,B1,B1 REEDVALVE FIBREPETALS,Caja láminas fibra B1 - Minarelli horizontal,18.15,15.00,9.00,D71N10G00B,3,8481809990,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,410,85,139,118,25,https://api.mybihr.com/medias/1020265-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjIyMDV8aW1hZ2UvanBlZ3xhREExTDJnd1l5ODRPRGN6TlRjeE5qUTNOVEU0THpFd01qQXlOalV0TVY4NE1EQlhlRGd3TUVnfGRlNjRlOGMxYmU3OGIxOWU5ZDcyY2YyZThhOTBmN2QyZTExMjNjMDdhYTgyYzYwYzhiM2U0YzIyNGNhMWFiMWU,,https://static.bihr.pro/eBihr/Pictures/B1-pictures.zip,Spain Warehouse (Parts)
1020267,360529,D71S10G00B,B1,B1 REEDVALVE FIBRE SYSTEM,Caja láminas fibra B1 B1 DERBI,17.50,14.46,8.68,D71S10G00B,4,8481809990,0,1,<p>Esta caja de l&aacute;minas TECNIUM est&aacute; dise&ntilde;ada usando una jaula doble con Venturi para aumentar la capacidad de flujo de aire.</p>,"
Esta caja de láminas TECNIUM está diseñada usando una jaula doble con Venturi para aumentar la capacidad de flujo de aire.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,661,108,130,113,45,https://api.mybihr.com/medias/1020267-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk3MzZ8aW1hZ2UvanBlZ3xhRGd5TDJnMVlTODRPVFE1TURrM05EWXpPRE00THpFd01qQXlOamN0TVY4NE1EQlhlRGd3TUVnfGI1NjdiNWY0NWZjNDI4ZTQ0YmM3ODM3ZWU4N2Q3MWU5OThmNjJhMWQyODc1NTc4ZTg4Zjk2MDFlMGJlMzc3YWI,,https://static.bihr.pro/eBihr/Pictures/B1-pictures.zip,Spain Warehouse (Parts)
1020264,360530,D71B00K00B,B1,B1 REEDVALVE CARBON PETALS,Caja láminas carbono B1 BOOSTER,29.04,24.00,14.40,D71B00K00B,0,8481809990,0,1,"<p>Caja de l&aacute;minas de admisi&oacute;n de carbono, kit DIY (<em>do it yourself</em>).</p>","
Caja de láminas de admisión de carbono, kit DIY (do it yourself).",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,808,51,130,113,55,https://api.mybihr.com/medias/1020264-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTczMjl8aW1hZ2UvanBlZ3xhRGN6TDJneU55ODRPRFU1TmpJMU1EWXlORE13THpFd01qQXlOalF0TVY4NE1EQlhlRGd3TUVnfDU2MGU1MjY1MDA0ZGEzOGNlMzFjZTEzMWY4YWRlMGFhNWMxMWVkYmZmMjk2Nzc2NGM5ZjE5ZTI0MjlhMThkMGI,,https://static.bihr.pro/eBihr/Pictures/B1-pictures.zip,Spain Warehouse (Parts)
1020266,360531,D71N10K00B,B1,B1 REEDVALVE CARBON PETALS,Caja láminas carbono B1 NITRO CPI,32.67,27.00,16.20,D71N10K00B,0,8481809990,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,617,80,127,113,43,https://api.mybihr.com/medias/800Wx800H-1020266-1.jpg?context=bWFzdGVyfHJvb3R8NzA5MjJ8aW1hZ2UvanBlZ3xhR1ptTDJoa05TOHpNekV6TVRNNU5qTXdNRGd6TUM4NE1EQlhlRGd3TUVoZk1UQXlNREkyTmkweExtcHdad3xiZmM2ZDVmZWU1ZmI1Zjg5ZDhmZGQ0NmQ4ZGJkZmYzNjNmOGYzNGMyNWQ3MjQzNDZkZTcwYTNkYjVhMGJlNTI0,,https://static.bihr.pro/eBihr/Pictures/B1-pictures.zip,Spain Warehouse (Parts)
