PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Brake type,V-Color,V-Colores,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Composición,Construcción,Depósito,Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro Ø (mm),Distancia entre centros,Fabricación,Forma de disco de freno,Homologación,Número de orificios,Número de pistones,Posición,Tipo,Tipo de disco,Tipo de pastilla de freno,Uso,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,DeliveryPlant
1026108,,KIT2547R2,BERINGER,BERNG BRAKE PADS KIT2547R2 SINTER METAL,Juego de 2 pastillas de freno 2547 R2 (KIT2547R2),52.03,43.00,34.40,KIT2547R2,1,8714949090,0,1,"<p>Brake pads 2547R2 for 4 piston axial callipers, adapted to a racing use.</p>
<p>&nbsp;</p>
<ul>
	<li>Average cold performance and excellent hot performances</li>
	<li>Short service life, for competition use short raves (ideal for Supermoto)</li>
</ul>
","
Brake pads 2547R2 for 4 piston axial callipers, adapted to a racing use.

 

	Average cold performance and excellent hot performances
	Short service life, for competition use short raves (ideal for Supermoto)

",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,,,,216,137,132,86,19,,,,,,,,,,,Solo para uso en circuito,,,,,,Recambio,Racing,https://api.mybihr.com/medias/1026108-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjQ1Mjd8aW1hZ2UvanBlZ3xhR0prTDJnME5DODRPVE01TVRFek9UTTRPVGMwTHpFd01qWXhNRGd0TVY4NE1EQlhlRGd3TUVnfDk1Y2Y3NTVlODg1ZTU5ZjM4ZjA1ODc4MzM1YTY3MTA3MzBhNThkOTQ3ZDgxNjBmMTc2Zjg2YmQyYTQ0MDU1ZmI,https://api.mybihr.com/medias/1026108-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDAxNDN8aW1hZ2UvanBlZ3xhRE01TDJnNU15ODRPVE01TVRFME1UTTFOVGd5THpFd01qWXhNRGd0TWw4NE1EQlhlRGd3TUVnfDdlMjZjOGYyODY2MWJkZWFlZjBhMzg1MzA4YmU2YjJkNGE5OTU1NmQ4OWJmMGYzODQ5NzQxZTNiODJkNGU5ZDc,https://api.mybihr.com/medias/1026108-3-800Wx800H?context=bWFzdGVyfHJvb3R8MjMxMDh8aW1hZ2UvanBlZ3xhREJoTDJnNVlTODRPVE01TVRFME16TXlNVGt3THpFd01qWXhNRGd0TTE4NE1EQlhlRGd3TUVnfGRmNWMyZjhiMWQyYWViMDc1M2NjNTIxY2VlODFkMTA3YmMxMTY0NWI0Nzc4ODQzYzc5Yjg4MGRiMjI0YzdlMWU,,,https://static.bihr.pro/eBihr/Pictures/BERINGER-pictures.zip,Spain Warehouse (Parts)
1117118,KIT2547R2 6,KIT2547R2 6,BERINGER,BERNG BRAKE PADS SET 6 2547,Juego de 6 pastillas BERINGER 2547 R2 para pinzas de 4 pistones (KIT2547R2 6),133.10,110.00,88.00,KIT2547R2 6,0,8714949090,0,1,<p>Set of 6 brake pads</p>,"
Set of 6 brake pads",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,,,,1,1,10,10,10,,Sinterizado,,,,,,,,,Solo para uso en circuito,,,,,,Recambio,Carreras,https://api.mybihr.com/medias/1117118-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTQ4Nzl8aW1hZ2UvanBlZ3xhRGxqTDJneU1pOHlPRFkzTlRnMk5EVTVNalF4TkM4eE1URTNNVEU0TFRGZk9EQXdWM2c0TURCSXw3MDk2NjdiYTQxOGM3NzQ2MjgxZjBjNTU4MTQ3NTAzOWU5Y2QzYzE3ZTM5Y2VhM2ZhY2VmOTBjODZiMTlhNzAy,,,,,https://static.bihr.pro/eBihr/Pictures/BERINGER-pictures.zip,Spain Warehouse (Parts)
1032328,KIT2547R2,KIT2547R2,BERINGER,BERNG BRAKE PADS KIT2547R2 SINTER METAL,Juego de 6 pastillas de freno BERINGER Racing sinterizadas - KIT2547R2 6,154.83,127.96,102.37,KIT2547R2,0,8714949090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PADS,,,,267,146,135,90,22,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1032328-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODI0NDB8aW1hZ2UvanBlZ3xhR1k0TDJnMFppOHhOVFF5TXpjd016VXhOVEUyTmk4eE1ETXlNekk0TFRGZk9EQXdWM2c0TURCSXxjMjFkYjIxZjYyYjUwMDgxZjVjM2I2YzRkY2QzNmFmMDdmNTM4YjNlY2U5NDBlYmE5ZTc0ZjM4MzZkMDY2OWNk,,,,,https://static.bihr.pro/eBihr/Pictures/BERINGER-pictures.zip,Spain Warehouse (Parts)
1048154,,4MXXRC11ABL-SI,BERINGER,BERNG CALIPER 4 PISTONS AXIAL MX LEFT,BERINGER Aerotec® MX Left Axial Brake Caliper 4 Pistons Blue,625.57,517.00,387.75,4MXXRC11ABL-SI,2,8714949090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs5CD66E5E{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>4 piston calipers with an radial fixing and cast in the iron in an aeronautic aluminium, they have been developed with the knowledge acquired from different competitions in which BERINGER is involved. <a id=""_DX_FRAG_ENDFRAGMENT""></a> Through innovative patents and innovative technical solutions, they have the advantage of responding quickly and thus provide outstanding braking feeling. The installation is done directly on the bracket </p><p> </p><ul> <li>Supplied with standard brake pads</li><li>Pads of different qualities to be ordered as an option</li></ul> <ul> <li>Aerotec® technology, patented system for pads guide</li><li>Important chamfer allowing an easy removal</li><li>To mount directly on the fork, without any adaptive bracket.</li><li>Low head screw included into the body</li></ul> </body> </html>","       4 piston calipers with an radial fixing and cast in the iron in an aeronautic aluminium, they have been developed with the knowledge acquired from different competitions in which BERINGER is involved.  Through innovative patents and innovative technical solutions, they have the advantage of responding quickly and thus provide outstanding braking feeling. The installation is done directly on the bracket   Supplied with standard brake padsPads of different qualities to be ordered as an option  Aerotec® technology, patented system for pads guideImportant chamfer allowing an easy removalTo mount directly on the fork, without any adaptive bracket.Low head screw included into the body  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,,,,4512,992,298,147,103,Azul,Aluminio,,,,,,,,,,,,Delantero Izquierdo,,,,,https://api.mybihr.com/medias/1048154-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc5MzB8aW1hZ2UvanBlZ3xhRFl4TDJoaU1pOHhNakF4TXpneE9ERTFNRGswTWk4eE1EUTRNVFUwTFRGZk9EQXdWM2c0TURCSXw0NTJmMjUxZmEyMmFmMGZiMjA4YWY1ZjUzYjFmZjE3YTE3MmU1YjIzZDhiM2UzZDJhZTBhNzkyM2Y0NGYwMGJm,https://api.mybihr.com/medias/1048154-2-800Wx800H?context=bWFzdGVyfHJvb3R8MjU2NzF8aW1hZ2UvanBlZ3xhR0V6TDJoaFlpOHhNakF4TXpneE9ETTBOelUxTUM4eE1EUTRNVFUwTFRKZk9EQXdWM2c0TURCSXxmOGY1NWViYTA2Y2YyYWI0YTRmZmY4YzU5MGVlOGMzNTg2MTI0Njc2YTc0M2VkMzg0ZjY2OGVkMTJhMzAzODVl,https://api.mybihr.com/medias/1048154-3-800Wx800H?context=bWFzdGVyfHJvb3R8MjU2NjJ8aW1hZ2UvanBlZ3xhR1F6TDJoaE5DOHhNakF4TXpneE9EVTBOREUxT0M4eE1EUTRNVFUwTFROZk9EQXdWM2c0TURCSXw0MWI5ZWY3ODk1NmEwMTk3OTBmZDQ4ZjgxZGQxNDdlZmExYzZmNzljYmYzOWY2YWZjOWU3NzY4NGQzZGMwODhh,,,https://static.bihr.pro/eBihr/Pictures/BERINGER-pictures.zip,France Warehouse (Parts)
1048149,,4MXTM11ABL-SI,BERINGER,BERNG CALIPER 4 PISTONS AXIAL MX LEFT,BERINGER Aerotec® MX Left Axial Brake Caliper 4 Pistons Blue,625.57,517.00,387.75,4MXTM11ABL-SI,1,8714949090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs5CD66E5E{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>4 piston calipers with an radial fixing and cast in the iron in an aeronautic aluminium, they have been developed with the knowledge acquired from different competitions in which BERINGER is involved. <a id=""_DX_FRAG_ENDFRAGMENT""></a> Through innovative patents and innovative technical solutions, they have the advantage of responding quickly and thus provide outstanding braking feeling. The installation is done directly on the bracket </p><p> </p><ul> <li>Supplied with standard brake pads</li><li>Pads of different qualities to be ordered as an option</li></ul> <ul> <li>Aerotec® technology, patented system for pads guide</li><li>Important chamfer allowing an easy removal</li><li>To mount directly on the fork, without any adaptive bracket.</li><li>Low head screw included into the body</li></ul> </body> </html>","       4 piston calipers with an radial fixing and cast in the iron in an aeronautic aluminium, they have been developed with the knowledge acquired from different competitions in which BERINGER is involved.  Through innovative patents and innovative technical solutions, they have the advantage of responding quickly and thus provide outstanding braking feeling. The installation is done directly on the bracket   Supplied with standard brake padsPads of different qualities to be ordered as an option  Aerotec® technology, patented system for pads guideImportant chamfer allowing an easy removalTo mount directly on the fork, without any adaptive bracket.Low head screw included into the body  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,,,,4390,948,296,144,103,Azul,Aluminio,,,,,,,,,,,,Delantero Izquierdo,,,,,https://api.mybihr.com/medias/1048149-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTE5MDB8aW1hZ2UvanBlZ3xhREUxTDJneE1pODRPVGN4TURjMU1ESTJPVGMwTHpFd05EZ3hORGt0TVY4NE1EQlhlRGd3TUVnfDU0YjQyZmZmNmQzNDdkZDdkNTczMmMxOTBhODdjODg3ODQ5MTQxNjI1NzYzODU5NmZkZjRjNGQ4NTBkZjc3MDY,https://api.mybihr.com/medias/1048149-2-800Wx800H?context=bWFzdGVyfHJvb3R8NTE0OTd8aW1hZ2UvanBlZ3xhR1UxTDJneE9DODRPVGN4TURjMU1qSXpOVGd5THpFd05EZ3hORGt0TWw4NE1EQlhlRGd3TUVnfDZlODIxNjkwYzY1YzA4ZWE2ZTdkYTMzZDBlZDUzYjg5NmRhYWQ3NTIwNjE4MGIxYTFjZjJjZjFhNGMxZDBjZjE,https://api.mybihr.com/medias/1048149-3-800Wx800H?context=bWFzdGVyfHJvb3R8NTA4OTF8aW1hZ2UvanBlZ3xhR0kyTDJneFppODRPVGN4TURjMU5ESXdNVGt3THpFd05EZ3hORGt0TTE4NE1EQlhlRGd3TUVnfGZjYzZiZGJlMTQ1OTJkMzUxOTFkMjNhMmQ3NzA2ZWViMzA5NmU4YjE1ZGZhNWI2MWFjOTlmMWIxZTMwYzYyNDA,,,https://static.bihr.pro/eBihr/Pictures/BERINGER-pictures.zip,France Warehouse (Parts)
1048254,,PROTECMCMX,BERINGER,BERNG SPAREPARTS MASTER CYL RUBBER PROT,Protector de goma para bombas BERINGER,45.98,38.00,30.40,POTECMCMX,0,8714949090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Protects the master cylinder mechanism from dirt, mud and sand during off-road trips.</p></body> </html>","       Protects the master cylinder mechanism from dirt, mud and sand during off-road trips. ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,,,,752,5,146,103,50,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1048254-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA2MzgwfGltYWdlL2pwZWd8YURrekwyZzJOaTg0T1RjeE1URXdPRFF5TXprNEx6RXdORGd5TlRRdE1WODRNREJYZURnd01FZ3wyMmRjYzY4NzhjNmJkOWIyOTZkZWEyMDEzZDdiYjJkMTIzY2Q4NzJkMmE3YWMxYTU4YzlmYTZlMDdkZGE5NzYy,https://api.mybihr.com/medias/1048254-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTA3MTg2fGltYWdlL2pwZWd8YUdaakwyaGlOQzg0T1RjeE1URXhNRE01TURBMkx6RXdORGd5TlRRdE1sODRNREJYZURnd01FZ3xkMWEwZTQ3NjJkM2IxOTE4ODQwYWQxZTBjY2IyMDBiODA0NzEyYWNiMWZlMGM2YTM3M2VkZTllNzQ3NjVlMWQy,,,,https://static.bihr.pro/eBihr/Pictures/BERINGER-pictures.zip,Spain Warehouse (Parts)
1026273,KITREP6PCALIP,KITREP6PCALIP,BERINGER,BERNG REPAIR KIT 6 PISTONS CALIPER,Kit de reparación para Pinza de freno de 6 pistones Aerotec® (KITREP6PCALIP),187.55,155.00,124.00,KITREP6PCALIP,1,8714949090,0,1,"<p>Repair Kit for 6 pistons Aerotec&reg; calipers including all the parts constituting of the caliper, except cast iron parts (pistons, seal, screws,...)</p>","
Repair Kit for 6 pistons Aerotec® calipers including all the parts constituting of the caliper, except cast iron parts (pistons, seal, screws,...)",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,,,,315,299,125,87,29,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1026273-1.jpg?context=bWFzdGVyfHJvb3R8OTcyODB8aW1hZ2UvanBlZ3xhR1JqTDJobE9TOHpNekV6TVRRNU16TTVNalF4TkM4NE1EQlhlRGd3TUVoZk1UQXlOakkzTXkweExtcHdad3wyZGY0ZDFlMDcyYmNkMmNiZGE1ZjQ5NWUxZjQ1YmZmZDZiOGE1ZWYxNzMxZDY3ZTY3NDQxMjI1YjcyODg3OTIw,,,,,https://static.bihr.pro/eBihr/Pictures/BERINGER-pictures.zip,Spain Warehouse (Parts)
1026175,BR12R,BR12R,BERINGER,"BERNG MASTER CYL BRAKE RADIAL 17,5MM",Bomba de freno con depósito separado (no incluído). Sin maneta. Color ROJO. (BR12R),411.40,340.00,272.00,BR12R,1,8714949090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs5CD66E5E{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>These BERINGER brake hydraulic master cylinders, with a separated reservoir, have been specially designed for applications Supermotard, Enduro, Moto Cross and Sports. They are very compact, very light and easy to fit under the handguards. The lever is easily adjustable and the adjustment of the idle stroke of the piston is accurately adjusted in the factory.<a id=""_DX_FRAG_ENDFRAGMENT""></a></p><p> </p><p>The Aerotec® range master cylinder, reduces friction by mounting axes withball bearings. This technique provides more strength and feeling really ""fine"" and a reduction of the effort together with a higher accuracy. </p><p> </p><ul> <li>Master cylinder only - Supplied without lever</li></ul> <ul> <li>Thanks to this arrangement and radial technology, the braking power is increased by 40% </li><li>Piston overstroke individually optimized in plant</li><li><a id=""CONTENEUR-ANIM-3D-111""></a>Micrometric thumbwheel to adjust the lever<a id=""CONTENEUR-BT-3D-111""></a></li><li>3 bearings system for minimum hysteresis</li></ul> </body> </html>","       These BERINGER brake hydraulic master cylinders, with a separated reservoir, have been specially designed for applications Supermotard, Enduro, Moto Cross and Sports. They are very compact, very light and easy to fit under the handguards. The lever is easily adjustable and the adjustment of the idle stroke of the piston is accurately adjusted in the factory. The Aerotec® range master cylinder, reduces friction by mounting axes withball bearings. This technique provides more strength and feeling really ""fine"" and a reduction of the effort together with a higher accuracy.   Master cylinder only - Supplied without lever  Thanks to this arrangement and radial technology, the braking power is increased by 40% Piston overstroke individually optimized in plantMicrometric thumbwheel to adjust the lever3 bearings system for minimum hysteresis  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,,,,4588,468,323,134,106,Rojo,,,,,,,,,,,,,Delantero,,,,,https://api.mybihr.com/medias/1026175-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDY1NDF8aW1hZ2UvanBlZ3xhRGt6TDJnd015ODRPVFk1TlRRMk5UWXpOakUwTHpFd01qWXhOelV0TVY4NE1EQlhlRGd3TUVnfGY1NzE1YTI1MGYyMDQ1YmM1YjNhOGM2OGUyZTAwMDMyMjU2YWVhZmEzMTk3NjljNzk1NzEwYTVhZWMzYTViZTI,https://api.mybihr.com/medias/1026175-2-800Wx800H?context=bWFzdGVyfHJvb3R8NzIzNTN8aW1hZ2UvanBlZ3xhRFl6TDJnd1lTODRPVFk1TlRRMk56WXdNakl5THpFd01qWXhOelV0TWw4NE1EQlhlRGd3TUVnfGU3MjY1MjA2YjU4NmZhYTI0MTY1Zjc0MmJhYzMwMWY5OGU3ZDRiNmYyZjk4M2JlZmI1NDM2NDRjMWU0NWM3ODU,https://api.mybihr.com/medias/1026175-3-800Wx800H?context=bWFzdGVyfHJvb3R8NDMyNDh8aW1hZ2UvanBlZ3xhREl3TDJneE1TODRPVFk1TlRRMk9UVTJPRE13THpFd01qWXhOelV0TTE4NE1EQlhlRGd3TUVnfGM1NjQxNzg0NGNmMjU5OGVmNDkwYjIwOTFkY2RkNDJlMjM2Yzg2M2ZkNjI5ZDVhNGMyOTRiZTg4OWQ5ZDQ0ZWY,,,https://static.bihr.pro/eBihr/Pictures/BERINGER-pictures.zip,Spain Warehouse (Parts)
1048240,,KITBANJOSERIE,BERINGER,BERNG REPAIR KIT BANJO REAR RESERVOIR,"Kit de reparacion banjo  BERINGER MC12,7",19.36,16.00,12.80,KITBANJOSERIE,1,8714949090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>Banjo kit for MC12, 7 master cylinders allowing the mounting in series and therefore the use of a limiter or a thumb brake kit thumb.<a id=""_dx_frag_EndFragment""></a> </p></body> </html>","       Banjo kit for MC12, 7 master cylinders allowing the mounting in series and therefore the use of a limiter or a thumb brake kit thumb.  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,,,,201,44,116,91,19,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1048240-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA4NTQyfGltYWdlL2pwZWd8YURReEwyZzJOeTg0T1RjeE1UQTNNamN3TmpnMkx6RXdORGd5TkRBdE1WODRNREJYZURnd01FZ3w1YTgxMzJiNzk3NDk1OGExM2RkMmIxZGUxY2I4ZGQwNWM1YzU2MDYxZGZlNTBlZDBkMjNmYjM2Mjk0OWI0NTlm,https://api.mybihr.com/medias/1048240-2-800Wx800H?context=bWFzdGVyfHJvb3R8NzcwNjR8aW1hZ2UvanBlZ3xhR1psTDJnMlpDODRPVGN4TVRBM05EWTNNamswTHpFd05EZ3lOREF0TWw4NE1EQlhlRGd3TUVnfDZiMjk3MWQzN2E4MzE2ZWU5MGMwZjM1NWZjZDEzYTJmZmJiM2E5N2E1YzIwMmJjMGFhOGQ5Y2IyY2Y0M2M1MWU,,,,https://static.bihr.pro/eBihr/Pictures/BERINGER-pictures.zip,Spain Warehouse (Parts)
1090638,,KITCS2,BERINGER,BERNG SWITCH STOP INVERTED,Interruptor luz de freno cerrado BERINGER,12.10,10.00,8.00,KITCS2,0,8714949090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,,,,179,22,91,116,17,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1090638-1.jpg?context=bWFzdGVyfHJvb3R8NjI4NzN8aW1hZ2UvanBlZ3xhREJrTDJobVl5ODBPVEkyTURFMU16Z3pNVFExTkM4NE1EQlhlRGd3TUVoZk1UQTVNRFl6T0MweExtcHdad3xhZGZjMmVjMDA2MjBkOTRiZGEwYTIwYzUxN2Q3NzNmY2IzMTM5M2EzZGExNzY1Mjc2MTM3MDk5NmVmYWQ2OTVi,,,,,https://static.bihr.pro/eBihr/Pictures/BERINGER-pictures.zip,Spain Warehouse (Parts)
