PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (cm),Anchura (cm),Capacidad (ml/l),Carga máxima (kg),Color,Componente de fijación,Embalaje,Longitud (cm),Peso (kg),Plegable,Posición,Rango de uso,Terminales,Tipo de soporte,Uso recomendado,Voltaje,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,Picture9,AllPicturesZIP,Document1,DeliveryPlant
1153215,,901030101200,BIKE LIFT,BLIFT PIN SET FOR BIKE STAND FS-11,Juego de pasadores BIKE LIFT FS-11 para caballete,46.89,38.75,31.00,1153215,0,7616999099,0,1,"<p data-isautotranslation=""1""></p>Un juego de 7 pasadores de distintos diámetros: 13 mm, 15 mm, 17 mm, 18 mm, 20 mm y 27 mm.","
Un juego de 7 pasadores de distintos diámetros: 13 mm, 15 mm, 17 mm, 18 mm, 20 mm y 27 mm.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,570,1099,190,100,30,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1153215-1.jpg?context=bWFzdGVyfHJvb3R8MjQ4NDR8aW1hZ2UvanBlZ3xhRGN3TDJobU15OHhNREF4TlRVeU1UWXdOamcyTXpndk9EQXdWM2c0TURCSVh6RXhOVE15TVRVdE1TNXFjR2N8ZDllNWQxNzllZDk2M2JhMGVkMmY3MTQ5MDg3ZWY4YTAwZmM3NWQ4ZWJkOGM3MWVjMTRmYTMwMjM2MzI5YzZkZg,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
3032157,892053,,BIKE LIFT,BLIFT KIT REAR BIKE STAND BLACK,"Caballete trasero BIKE LIFT universal Negro con soportes en ""V""- RS -17",102.92,85.06,55.29,892053,0,7616100099,0,1,"Caballete trasero universal, con cuatro ruedas para la máxima estabilidad. 			Viene con soportes de goma en forma de V, también disponibles por separado. Anchura min/máx.: 310/370 mm Carga máxima: 200 Kg","Caballete trasero universal, con cuatro ruedas para la máxima estabilidad. 			Viene con soportes de goma en forma de V, también disponibles por separado. Anchura min/máx.: 310/370 mm Carga máxima: 200 Kg",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,165690,4405,550,550,550,,,,,Negro,,,,,,Trasero,,,V,,,https://api.mybihr.com/medias/3032157-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk0MjB8aW1hZ2UvanBlZ3xhR1ZqTDJnMFpTODVNREUxTURZeE9EY3lOamN3THpNd016SXhOVGN0TVY4NE1EQlhlRGd3TUVnfGYwNjllNDMyODFkNzJkOTA0ZDIzMDU2ZTMzNDMxYTU4Zjk1M2MwNDRjMzg5MDVmNWIyNDg4MDM1MDM5YmI2MTY,https://api.mybihr.com/medias/3032157-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzE0NDV8aW1hZ2UvanBlZ3xhRFJqTDJnd05pODVNREUxTURZeU1qWTFPRGcyTHpNd016SXhOVGN0TWw4NE1EQlhlRGd3TUVnfGZkOWVmOGU3ZWRmY2NlYWQzYzAzMmMwOTE0NzFhYmNhZjQwNjA4NGYxNDhiMTNkMDI5OGU2MjYwZjJmNzY3ZDE,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
3032160,,,BIKE LIFT,BLIFT KIT FRONT BIKE STAND,Caballete delantero universal BIKE LIFT rojo con soportes pivotantes,134.83,111.43,72.43,,6,8714109090,0,1,"<p data-isautotranslation=""1""></p><html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title>
<style type=""text/css"">.cs4EA70B48{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style>
</head>
<body>
<ul>
<li><a id=""_dx_frag_StartFragment""></a>Soporte delantero + adaptadores </li>
<li>4 ruedas para la máxima estabilidad </li>
<li>Agarre bajo horquilla </li>
<li>Carga máxima: 200kg<a id=""_dx_frag_EndFragment""></a></li>
</ul>
<p> </p>
</body>
</html>","


 




Soporte delantero + adaptadores 
4 ruedas para la máxima estabilidad 
Agarre bajo horquilla 
Carga máxima: 200kg

 

",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,98784,4991,460,460,460,,,,,Rojo,,,,,,,,,Rodillos,,,https://api.mybihr.com/medias/3032160-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzk2MzYxfGltYWdlL2pwZWd8YUdNeEwyaGtNQzg1TURFeE1EZ3dNakF3TWpJeUx6TXdNekl4TmpBdE1WODRNREJYZURnd01FZ3xkNWNhYjY1ZDI0YjNjMzg1NjE5MmM1M2MwMTU1NmEzODhkNWUwMjRjYTZlNjQyYWNhOWU2ZGUwNzA4MjBmMjRj,https://api.mybihr.com/medias/3032160-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzE0Nzh8aW1hZ2UvanBlZ3xhRGd6TDJoak5TODVNREV4TURnd05Ua3pORE00THpNd016SXhOakF0TWw4NE1EQlhlRGd3TUVnfDAwZWZmODdiMjFkMTM3MGM2NjFmMTliZTkxZDY3ZGEwNWExOTRjNzYyYTY2MDUwYTc4YTRiY2JiYzlkOTRkMTA,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
3032165,892040,,BIKE LIFT,BLIFT KIT REAR BIKE STAND RED,"Caballete trasero BIKE LIFT universal rojo con soportes de goma en ""L""- RS -17",102.92,85.06,55.29,892040,16,8714109090,0,1,"Caballete trasero universal, con cuatro ruedas para la máxima estabilidad. 			Viene con soportes de goma en forma de L, también disponibles por separado. Anchura min/máx.: 310/370 mm Carga máxima: 200 Kg","Caballete trasero universal, con cuatro ruedas para la máxima estabilidad. 			Viene con soportes de goma en forma de L, también disponibles por separado. Anchura min/máx.: 310/370 mm Carga máxima: 200 Kg",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,155952,4950,540,540,540,,,,,Rojo,,,,,,Trasero,,,L,,,https://api.mybihr.com/medias/3032165-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjk4Njh8aW1hZ2UvanBlZ3xhR1JoTDJoak15ODVNREV4TVRFMk9UQXdNemd5THpNd016SXhOalV0TVY4NE1EQlhlRGd3TUVnfDc4YThjMWYzNjBlM2QwYjI3M2Q3MmU3M2NiOTBhOGMwYTIwM2QzZjRiMjRiNDg1NGYzNTMzZWU5MDlhMjBjZDE,https://api.mybihr.com/medias/3032165-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzU0MTB8aW1hZ2UvanBlZ3xhR1l4TDJnM01DODVNREV4TVRFM01qa3pOVGs0THpNd016SXhOalV0TWw4NE1EQlhlRGd3TUVnfDA0OTk0NjQ2ODBjMjdkZjgzNjQ3MzcxZDAxMzMxMDg4MTY3OThiNjg0YzIwNWZiY2I1NTkyYTc4Y2FjODkyN2Q,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
3032167,,,BIKE LIFT,BLIFT KIT REAR BIKE STAND 360°,"Caballete BIKE LIFT Easy Mover 360° con soporte en ""V""",318.87,263.53,171.29,,1,7326909890,0,1,"<p data-isautotranslation=""1""></p><html> 
<head> 
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> 
<style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> 
</head> 
<body> 
<p>¡Muévete y estaciona tu bici fácilmente!</p><p> </p><ul start=""1""> 
<li>Compuesto de dos cajas metálicas laterales equipadas con 2x2 ruedas de nailon de 360° </li><li>Sistema que facilita el movimiento de bicis en áreas pequeñas: (taller, garaje...) </li><li>Se entrega con adaptadores en V</li><li>Este soporte está diseñado para usarse solo con adaptadores en «V»</li><li>Carga máxima: 200Kg</li></ul> 
</body> 
</html>","
 
 
  
 
 
 
¡Muévete y estaciona tu bici fácilmente!  
Compuesto de dos cajas metálicas laterales equipadas con 2x2 ruedas de nailon de 360° Sistema que facilita el movimiento de bicis en áreas pequeñas: (taller, garaje...) Se entrega con adaptadores en VEste soporte está diseñado para usarse solo con adaptadores en «V»Carga máxima: 200Kg 
 
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,179250,9203,560,560,560,,,,,Rojo,,,,,,Trasero,,,V,,,https://api.mybihr.com/medias/3032167-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzczMTJ8aW1hZ2UvanBlZ3xhRGc1TDJnd01DODVNREV4TVRFNE5EY3pNalEyTHpNd016SXhOamN0TVY4NE1EQlhlRGd3TUVnfGNkMDUxZWJjODA1YWE4YTRhMmJkOGE1OTlmMjA3MTNjMDU4ZWNkY2RmMjgxOGU4NzYwZjU1MWU1YTc0OWY0MDc,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
3032159,,,BIKE LIFT,BLIFT KIT FRONT BIKE STAND,Caballete delantero específico Yamaha BIKE LIFT rojo con soportes cónicos,104.60,86.45,56.19,,2,,0,1,"<p data-isautotranslation=""1""></p><html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title>
<style type=""text/css"">.cs4EA70B48{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style>
</head>
<body>
<ul>
<li><a id=""_dx_frag_StartFragment""></a>Soporte delantero + adaptadores </li><li>4 ruedas para máxima estabilidad </li><li>Agarre debajo de la horquilla </li><li>Carga máxima: 200kg<a id=""_dx_frag_EndFragment""></a></li></ul>
<p> </p></body>
</html>","


 




Soporte delantero + adaptadores 4 ruedas para máxima estabilidad Agarre debajo de la horquilla Carga máxima: 200kg
 
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,96640,4181,460,460,460,,,,,Rojo,,,,,,,,,Cono asimétrico R1 y R6,,,https://api.mybihr.com/medias/3032159-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjg1MDg4fGltYWdlL2pwZWd8YURsbEwyZ3haUzg1TURFeE1EYzVOREV6Tnprd0x6TXdNekl4TlRrdE1WODRNREJYZURnd01FZ3xlNDA2YWU3MDhlMTM3OTFiOWRhNWNlNDBlMjE3YjMwOWExZWJmMzE0MTEwMTczODgxNTBkMDQ0Mjg0ZDJkNDg0,https://api.mybihr.com/medias/3032159-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzE1MDh8aW1hZ2UvanBlZ3xhREpqTDJneVl5ODVNREV4TURjNU9EQTNNREEyTHpNd016SXhOVGt0TWw4NE1EQlhlRGd3TUVnfDMzMWMzY2RiZjRjMzZmZDUyODgyNmMyZmQ1ODA2MjNlNDk1ZmNmYjdiMDE0NmIxODRmNTZkNjFiMzY2MTk4YTg,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
3032163,,,BIKE LIFT,BLIFT KIT FRONT BIKE STAND RED,Caballete delantero universal BIKE LIFT rojo con soportes cónicos,102.92,85.06,55.29,,0,8714109090,0,1,"<p data-isautotranslation=""1""></p><html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">
<title> </title>
<style type=""text/css"">
.cs4EA70B48{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}
.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}
.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}
</style>
</head>
<body>
<ul>
<li><a id=""_dx_frag_StartFragment""></a>Base delantera + adaptadores </li>
<li>4 ruedas para máxima estabilidad </li>
<li>Agarre bajo horquilla </li>
<li>Carga máxima: 200kg<a id=""_dx_frag_EndFragment""></a></li>
</ul>
<p> </p>
</body>
</html>","



 




Base delantera + adaptadores 
4 ruedas para máxima estabilidad 
Agarre bajo horquilla 
Carga máxima: 200kg

 

",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,96224,4022,460,460,460,,,,,Rojo,,,,,,,,,Cónico,,,https://api.mybihr.com/medias/3032163-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjg1MDg4fGltYWdlL2pwZWd8YUdFNUwyZ3daQzg1TURFeE1EZ3lOVFU1TlRFNEx6TXdNekl4TmpNdE1WODRNREJYZURnd01FZ3xhODA1NzZmMjZmMDAyZDFhMjJmZDZlZDRiMjdkNmU2ZGRmYTc0OTA5NWFjZTAwMTNiYTU5M2I3N2ZiYWEyYjk2,https://api.mybihr.com/medias/3032163-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzE0OTh8aW1hZ2UvanBlZ3xhRFJoTDJneFlpODVNREV4TURneU9UVXlOek0wTHpNd016SXhOak10TWw4NE1EQlhlRGd3TUVnfGNiNTI5MjAzMTJhZWNhNmU5NWYxMGExMWQ2NTJjMzFiNDEwY2RhMGQyMTRmMjJkNDVjYTJkYjJhOTUwYTY4Yzc,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
1053591,29481,902060000000,BIKE LIFT,BLIFT SPARE PART PIN Ø29.8MM ALU DUCATI,Perno RS16R adaptador para Ducati Ø29.8mm - PMD-01/R,31.47,26.01,18.21,8430525294813,2,7616999099,0,1,<p>Bike Lift PMD-01/R.<br>Perno Ducati varios.</p><p><br>&nbsp;</p>,"
Bike Lift PMD-01/R.Perno Ducati varios.
 ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,305,331,206,40,37,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1053591-1.jpg?context=bWFzdGVyfHJvb3R8MjMzNDN8aW1hZ2UvanBlZ3xhRGxsTDJnd01TOHpNekV6TVRreU5URXhNRGd4TkM4NE1EQlhlRGd3TUVoZk1UQTFNelU1TVMweExtcHdad3wyZWQwNGNiOThlNDFiM2FhZTgzYTA1MDg0MmNhYjM0MWEwNmVhZDJhOGI0MjhiMmI3NGY2Y2RkNTQ4Zjc3OTY2,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
3032158,892043,,BIKE LIFT,BLIFT KIT REAR BIKE STAND BLACK,"Caballete trasero BIKE LIFT universal negro con soportes de goma en ""L""- RS -17",102.92,85.06,55.29,892043,0,8714109090,0,1,"Caballete trasero universal, con cuatro ruedas para la máxima estabilidad. 			Viene con soportes de goma en forma de L, también disponibles por separado. Anchura min/máx.: 310/370 mm Carga máxima: 200 Kg","Caballete trasero universal, con cuatro ruedas para la máxima estabilidad. 			Viene con soportes de goma en forma de L, también disponibles por separado. Anchura min/máx.: 310/370 mm Carga máxima: 200 Kg",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,0,4950,1,1,1,,,,,Negro,,,,,,Trasero,,,L,,,https://api.mybihr.com/medias/3032158-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk0MDF8aW1hZ2UvanBlZ3xhRE5oTDJnME5DODVNREV4TURjNE5qSTNNelU0THpNd016SXhOVGd0TVY4NE1EQlhlRGd3TUVnfDdkNjNjOTBhOTFhYTdkYzkyYjkwMzI3MDFiZGM4MmI2Mjk3MTA4NGQ5ZTI4Mzc0ZmMwZTFkNTk1N2M0MDg4NDA,https://api.mybihr.com/medias/3032158-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzU0MTB8aW1hZ2UvanBlZ3xhREV4TDJneE1TODVNREV4TURjNU1ESXdOVGMwTHpNd016SXhOVGd0TWw4NE1EQlhlRGd3TUVnfDMwNDM0MTg2NDAyZWZjOTE2MThkOGNiNjhmOWE1N2ZlZjY0YzAyNjk5OTI1NjEyZmFkZTJhZTA2ODk2NThhNTI,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
3032161,892052,,BIKE LIFT,BLIFT KIT BIKE STAND BLUE,"Caballete trasero BIKE LIFT universal Azul con soportes en ""V""- RS -17",102.92,85.06,55.29,892052,0,8714109090,0,1,"Caballete trasero universal, con cuatro ruedas para la máxima estabilidad. 			Viene con soportes de goma en forma de V, también disponibles por separado. Anchura min/máx.: 310/370 mm Carga máxima: 200 Kg","Caballete trasero universal, con cuatro ruedas para la máxima estabilidad. 			Viene con soportes de goma en forma de V, también disponibles por separado. Anchura min/máx.: 310/370 mm Carga máxima: 200 Kg",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,0,4400,1,1,1,,,,,Azul,,,,,,Trasero,,,V,,,https://api.mybihr.com/medias/3032161-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTk4MTF8aW1hZ2UvanBlZ3xhR1kyTDJoaU55ODVNREV4TURnd09UZzJOalUwTHpNd016SXhOakV0TVY4NE1EQlhlRGd3TUVnfDFkYjY4Zjg1ODhiMzcxN2Y1OGRkZDI0MTE3YWU5MjQ3MzVhOTQzYTA2ODg1YzNhZjNiYTM0NWEzNjhlNDcwZjE,https://api.mybihr.com/medias/3032161-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzE0NDV8aW1hZ2UvanBlZ3xhR0prTDJnMk1pODVNREV4TURneE16YzVPRGN3THpNd016SXhOakV0TWw4NE1EQlhlRGd3TUVnfDcyMTA1ZWFmYjc5MzY4NTYyMGU0NzdhYjU2ZDcxMzBmOTJhOTRjNjM5Y2Y0Y2NlZjEzZTE3Mjg1ZWRlMDY1M2Q,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
