PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Cantidad,V-Color,V-Colores,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (mm),Color,Longitud (mm),Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1054315,83190,1420G,BLACKBIRD,BBIRD SEAT COVER PYRAMID,Funda de asiento Blackbird Pyramid negro Kawasaki 1420G,69.45,57.40,37.31,1420G,1,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>New Pyramid seat cover with new-generation anti-slip effect !</p><p></p><p>New Pyramid seat cover gives the rider perfect adherence to the seat in all conditions.</p><p></p><p>Features :</p><p></p><ul> <li>Excellent wear resistance, even when riders use latest-generation protective knee guards</li><li>Maximum grip even in mud and rain</li><li>Easy to apply, thanks to the shaped parts specially studied to fit the shape of the seat</li></ul> <p></p></body> </html>","       New Pyramid seat cover with new-generation anti-slip effect !New Pyramid seat cover gives the rider perfect adherence to the seat in all conditions.Features : Excellent wear resistance, even when riders use latest-generation protective knee guardsMaximum grip even in mud and rainEasy to apply, thanks to the shaped parts specially studied to fit the shape of the seat  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,,4204,402,339,248,50,,Negro,,https://api.mybihr.com/medias/1054315-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjczMzI2fGltYWdlL2pwZWd8YUdWaUwyZ3haQzg0T1RjeE5qazRNREV5TVRrd0x6RXdOVFF6TVRVdE1WODRNREJYZURnd01FZ3xmNTQ1YWJmNzBhMDQzYTBmOGIxNWEyMjRmYjcwNDVlNWI2ZWU2OGZjMWQ5ZDFkM2M4MjM5ODAwMDk3YzMzYjBh,,,https://static.bihr.pro/eBihr/Pictures/BLACKBIRD-pictures.zip,Spain Warehouse (Parts)
1054346,83195,1431G,BLACKBIRD,BBIRD SEAT COVER PYRAMID,Funda de asiento Blackbird Pyramid negro Kawasaki 1431G,69.45,57.40,37.31,1431G,2,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>New Pyramid seat cover with new-generation anti-slip effect !</p><p></p><p>New Pyramid seat cover gives the rider perfect adherence to the seat in all conditions.</p><p></p><p>Features :</p><p></p><ul> <li>Excellent wear resistance, even when riders use latest-generation protective knee guards</li><li>Maximum grip even in mud and rain</li><li>Easy to apply, thanks to the shaped parts specially studied to fit the shape of the seat</li></ul> <p></p></body> </html>","       New Pyramid seat cover with new-generation anti-slip effect !New Pyramid seat cover gives the rider perfect adherence to the seat in all conditions.Features : Excellent wear resistance, even when riders use latest-generation protective knee guardsMaximum grip even in mud and rainEasy to apply, thanks to the shaped parts specially studied to fit the shape of the seat  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,,4451,434,341,251,52,,Negro,,https://api.mybihr.com/medias/1054346-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjczMzI2fGltYWdlL2pwZWd8YUdZMUwyZ3lZUzg0T1RjeE56QTBOamsyT0RZeUx6RXdOVFF6TkRZdE1WODRNREJYZURnd01FZ3wzYzUxODlhMWNkODM0MDQyMWY0NDUzN2I4NzQ0NzVkZTg0YjE4YjU4OGJlZjM4NGQ2ZjUxOTE0MTU2ZTY4ZjJj,,,https://static.bihr.pro/eBihr/Pictures/BLACKBIRD-pictures.zip,Spain Warehouse (Parts)
1054326,83187,1425G,BLACKBIRD,BBIRD SEAT COVER PYRAMID,Funda de asiento Blackbird Pyramid negro Kawasaki 1425G,69.45,57.40,37.31,1425G,1,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.cs20EE0811{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4EA70B48{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>New Pyramid seat cover with new-generation anti-slip effect !</p><p></p><p>New Pyramid seat cover gives the rider perfect adherence to the seat in all conditions.</p><p></p><p>Features :</p><p></p><ul> <li>Excellent wear resistance, even when riders use latest-generation protective knee guards</li><li>Maximum grip even in mud and rain</li><li>Easy to apply, thanks to the shaped parts specially studied to fit the shape of the seat</li></ul> <p></p></body> </html>","       New Pyramid seat cover with new-generation anti-slip effect !New Pyramid seat cover gives the rider perfect adherence to the seat in all conditions.Features : Excellent wear resistance, even when riders use latest-generation protective knee guardsMaximum grip even in mud and rainEasy to apply, thanks to the shaped parts specially studied to fit the shape of the seat  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,,4228,396,341,248,50,,Negro,,https://api.mybihr.com/medias/1054326-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjczMzI2fGltYWdlL2pwZWd8YURFd0wyaGtZeTg0T1RjeE56QXhNVFUzT1RFNEx6RXdOVFF6TWpZdE1WODRNREJYZURnd01FZ3xkOGVhNjhmZTA2NGE4OWNiZDdiYjkzMGExNjgyZmRjYTNjOGY0ZmYxM2I5M2I3MThlMmVhMGE1NGY4Njg0OWEz,,,https://static.bihr.pro/eBihr/Pictures/BLACKBIRD-pictures.zip,Spain Warehouse (Parts)
1054239,83346,1248H,BLACKBIRD,BBIRD SEAT COVER DOUBLE GRIP,Funda de asiento Blackbird Doble agarre 3 Yamaha negro/azul 1248H,97.89,80.90,52.59,1248H,1,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Double Grip 3 seat cover result of collaboration between Blackbird and MX Teams. </p><p></p><p>It is composed of two different non-slip coatings, one covering the top of the saddle and the other, on the sides. </p><p></p><p>This combination provides better grip and comfort to the rider.With a new anti-slip section, the hallmarks of the Double Grip 3 seat cover are the innovative high-frequency welded traction strip system and the ultraresistant, excellent-grip materials. The raised strips have been specifically studied to allows riders to shift their weight directly onto the back wheel.</p><p></p><ul> <li>Maximum traction</li><li>Excellent shock resistance both in the center and at the sides of the seat</li><li>Finally, the two colors and the micro-injection patch give the seat cover a racing look to complement its leading-edge technical features.</li></ul> </body> </html>","       Double Grip 3 seat cover result of collaboration between Blackbird and MX Teams. It is composed of two different non-slip coatings, one covering the top of the saddle and the other, on the sides. This combination provides better grip and comfort to the rider.With a new anti-slip section, the hallmarks of the Double Grip 3 seat cover are the innovative high-frequency welded traction strip system and the ultraresistant, excellent-grip materials. The raised strips have been specifically studied to allows riders to shift their weight directly onto the back wheel. Maximum tractionExcellent shock resistance both in the center and at the sides of the seatFinally, the two colors and the micro-injection patch give the seat cover a racing look to complement its leading-edge technical features.  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,,3951,380,339,248,47,,Azul,,https://api.mybihr.com/medias/1054239-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjMzNjEwfGltYWdlL2pwZWd8YUdVd0wyZzVOQzg0T1RjeE5qRXpOek15T0RrMEx6RXdOVFF5TXprdE1WODRNREJYZURnd01FZ3xiYThkMDExMzRhY2VjOWNmNDVjODY3NWUzM2RkNzg0NDg1ZTYzZGE2ZDYwMmQ1M2VmNDRjNWU4MzM0MmE1MTRh,,,https://static.bihr.pro/eBihr/Pictures/BLACKBIRD-pictures.zip,Spain Warehouse (Parts)
1054247,78102436,1249G/01,BLACKBIRD,BBIRD SEAT COVER PYRAMID,Funda de asiento Blackbird Yamaha Pyramid azul 1249G/01,69.45,57.40,37.31,1249G/01,0,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.cs20EE0811{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4EA70B48{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>New Pyramid seat cover with new-generation anti-slip effect !</p><p></p><p>New Pyramid seat cover gives the rider perfect adherence to the seat in all conditions.</p><p></p><p>Features :</p><p></p><ul> <li>Excellent wear resistance, even when riders use latest-generation protective knee guards</li><li>Maximum grip even in mud and rain</li><li>Easy to apply, thanks to the shaped parts specially studied to fit the shape of the seat</li></ul> <p></p></body> </html>","       New Pyramid seat cover with new-generation anti-slip effect !New Pyramid seat cover gives the rider perfect adherence to the seat in all conditions.Features : Excellent wear resistance, even when riders use latest-generation protective knee guardsMaximum grip even in mud and rainEasy to apply, thanks to the shaped parts specially studied to fit the shape of the seat  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,,4298,346,336,246,52,,Azul,,https://api.mybihr.com/medias/1054247-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjAxMTM4fGltYWdlL2pwZWd8YUdaa0wyZ3pZaTg0T1RjeE5qRTFOams0T1RjMEx6RXdOVFF5TkRjdE1WODRNREJYZURnd01FZ3xhYjJmZTJiOTNjMjZhZTAyNTg4Y2FjZDc2YmI5NWNlYTliMjYzYWUxYzBjNGQxMDg4MzA2ZDQ4OTU3NmMyYWQx,,,https://static.bihr.pro/eBihr/Pictures/BLACKBIRD-pictures.zip,Spain Warehouse (Parts)
1054263,83212,1318G,BLACKBIRD,BBIRD SEAT COVER PYRAMID,Funda de asiento Blackbird Pyramid negro Suzuki 1318G,69.45,57.40,37.31,1318G,0,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.cs20EE0811{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4EA70B48{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>New Pyramid seat cover with new-generation anti-slip effect !</p><p></p><p>New Pyramid seat cover gives the rider perfect adherence to the seat in all conditions.</p><p></p><p>Features :</p><p></p><ul> <li>Excellent wear resistance, even when riders use latest-generation protective knee guards</li><li>Maximum grip even in mud and rain</li><li>Easy to apply, thanks to the shaped parts specially studied to fit the shape of the seat</li></ul> <p></p></body> </html>","       New Pyramid seat cover with new-generation anti-slip effect !New Pyramid seat cover gives the rider perfect adherence to the seat in all conditions.Features : Excellent wear resistance, even when riders use latest-generation protective knee guardsMaximum grip even in mud and rainEasy to apply, thanks to the shaped parts specially studied to fit the shape of the seat  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,,3943,383,341,246,47,,Negro,,https://api.mybihr.com/medias/1054263-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ0MzYwfGltYWdlL2pwZWd8YURnd0wyZ3haQzg0T1RjeE5qRTVOak14TVRNMEx6RXdOVFF5TmpNdE1WODRNREJYZURnd01FZ3wzYmFjMDQ3MjdhOWU4MmE1Y2E0MmNkZjkwOWYwMzllMjMzYjNmYzM5YmFiMTU1Y2EwMjM0ZTgyMzBlM2NlYjBk,,,https://static.bihr.pro/eBihr/Pictures/BLACKBIRD-pictures.zip,Spain Warehouse (Parts)
1054272,83214,1323G,BLACKBIRD,BBIRD SEAT COVER PYRAMID,Funda de asiento Blackbird Pyramid negro Suzuki 1323G,69.45,57.40,37.31,1323G,0,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>New Pyramid seat cover with new-generation anti-slip effect !</p><p></p><p>New Pyramid seat cover gives the rider perfect adherence to the seat in all conditions.</p><p></p><p>Features :</p><p></p><ul> <li>Excellent wear resistance, even when riders use latest-generation protective knee guards</li><li>Maximum grip even in mud and rain</li><li>Easy to apply, thanks to the shaped parts specially studied to fit the shape of the seat</li></ul> <p></p></body> </html>","       New Pyramid seat cover with new-generation anti-slip effect !New Pyramid seat cover gives the rider perfect adherence to the seat in all conditions.Features : Excellent wear resistance, even when riders use latest-generation protective knee guardsMaximum grip even in mud and rainEasy to apply, thanks to the shaped parts specially studied to fit the shape of the seat  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,,4413,386,345,246,52,,Negro,,https://api.mybihr.com/medias/1054272-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ0MzYwfGltYWdlL2pwZWd8YUdVNUwyZzBOaTg0T1RjeE5qSXlNREl6TVRrNEx6RXdOVFF5TnpJdE1WODRNREJYZURnd01FZ3wxNDBiNTVkODJjYTU2OGNkZGExYmMzNmM4YjA3YmIyYmZlMGI3NWQxZWI3NTY4Y2JkNzMwYzE0MzdjMzQzZGZk,,,https://static.bihr.pro/eBihr/Pictures/BLACKBIRD-pictures.zip,Spain Warehouse (Parts)
1054512,89805,1E01G,BLACKBIRD,BBIRD SEAT COVER PYRAMID,Funda de asiento Blackbird Pyramid negro Sherco 1E01G,69.45,57.40,37.31,1E01G,2,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.cs20EE0811{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4EA70B48{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a>New Pyramid seat cover with new-generation anti-slip effect !</p><p></p><p>New Pyramid seat cover gives the rider perfect adherence to the seat in all conditions.</p><p></p><p>Features :</p><p></p><ul> <li>Excellent wear resistance, even when riders use latest-generation protective knee guards</li><li>Maximum grip even in mud and rain</li><li>Easy to apply, thanks to the shaped parts specially studied to fit the shape of the seat</li></ul> <p></p></body> </html>","       New Pyramid seat cover with new-generation anti-slip effect !New Pyramid seat cover gives the rider perfect adherence to the seat in all conditions.Features : Excellent wear resistance, even when riders use latest-generation protective knee guardsMaximum grip even in mud and rainEasy to apply, thanks to the shaped parts specially studied to fit the shape of the seat  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,,4157,371,338,246,50,,Negro,,https://api.mybihr.com/medias/1054512-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE5NzR8aW1hZ2UvanBlZ3xhRGt5TDJoaVlpODRPVGN4T0RFeU16QTJPVGMwTHpFd05UUTFNVEl0TVY4NE1EQlhlRGd3TUVnfDQ2ZjA1Y2Q4NTFiZjQxNDBmOWFiMjdlYmMwYzc4MmRmYjA1OGE0N2RiOTdmZjJmZTZjY2I5MGNjYWMyYjQ1ZWI,,,https://static.bihr.pro/eBihr/Pictures/BLACKBIRD-pictures.zip,Spain Warehouse (Parts)
1062982,,1147M,BLACKBIRD,BBIRD SEAT COVER MULTI TRACTION,Funda de asiento BLACKBIRD Multitraction Honda CRF250R / 450R,104.54,86.40,56.16,8057912000507,0,8714999089,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Blackbird “Multi-traction” seat covers feature special seams designed to grip the rider when accelerating while eabling him to move forwards easily. </p><p></p><ul> <li>Replica seat cover</li><li>Anti-slippery cover: better control and steadiness for the rider</li><li>Wear resistant to tough MX & SX use</li><li>With Blackbird patented innovations PST (Printed Seat Technology) & DAT (Decal Anti-Migration Technology): for long life lasting colors and shape</li></ul> </body> </html>","       Blackbird “Multi-traction” seat covers feature special seams designed to grip the rider when accelerating while eabling him to move forwards easily.  Replica seat coverAnti-slippery cover: better control and steadiness for the riderWear resistant to tough MX & SX useWith Blackbird patented innovations PST (Printed Seat Technology) & DAT (Decal Anti-Migration Technology): for long life lasting colors and shape  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,,5948,361,497,352,34,,,,https://api.mybihr.com/medias/1062982-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzA4NzB8aW1hZ2UvanBlZ3xhR1JqTDJobU1DODRPVGN6TmpNNE9Ea3pOVGs0THpFd05qSTVPREl0TVY4NE1EQlhlRGd3TUVnfDA4ZDEyYWRjZTc5ZGMwMDY1MDcwYzNlMWNhMWVlYTcyMmY2NWVlNDBjOTM4MDJjNmFiMmE0M2FlMGQxNDdmMmI,,,https://static.bihr.pro/eBihr/Pictures/BLACKBIRD-pictures.zip,Spain Warehouse (Parts)
1063049,,789101,BLACKBIRD,BBIRD STICKERS GRIP 30X21 3D CLEAR,Adhesivo antideslizante deposito BLACKBIRD 30X21cm 3D transparente,32.19,26.60,17.29,789101,0,8714999089,0,1,"<p>This BLACKBIRD translucent plate improves control of your machine on bends, thanks to its nonslip properties. </p><ul><li>The spikes offer better grip of leathers and textiles</li><li>Does not affect the rider's equipment</li><li>3D spikes: bulbs</li><li>Sheet per unit</li></ul>","
This BLACKBIRD translucent plate improves control of your machine on bends, thanks to its nonslip properties. The spikes offer better grip of leathers and textilesDoes not affect the rider's equipment3D spikes: bulbsSheet per unit",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,,,615,82,350,251,7,,Translúcido,,https://api.mybihr.com/medias/1063049-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzUwODd8aW1hZ2UvanBlZ3xhREZqTDJoaVpTODRPVGN6TmpVd09EZzJOamcyTHpFd05qTXdORGt0TVY4NE1EQlhlRGd3TUVnfDI1ZTU5NmM0YjI1NTJkMmMwNDYxYzI4MWJlYWZjOWM5ZjUxZGRiY2NlOTAxNmU2ODI3MjU0MjI0MWM0Mzc2NmY,,,https://static.bihr.pro/eBihr/Pictures/BLACKBIRD-pictures.zip,Spain Warehouse (Parts)
