PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Cantidad,Color,Composición,Diámetro Ø (mm),Embalaje,Longitud (mm),Rosca (mm),Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,DeliveryPlant
1109328,,E-YF2-1920,BOLT,BOLT ENGINE FASTENER KIT,Kit tornillería de motor BOLT,50.81,41.99,27.29,819648025937,0,8714109090,0,1,<p>BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.</p>,"
BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,557,472,129,108,40,,,,,,,,https://api.mybihr.com/medias/1109309-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODQzNzd8aW1hZ2UvanBlZ3xhRFJrTDJnd09DOHhNakEzTkRRME9EUTFNelkyTWk4eE1UQTVNekE1TFRGZk9EQXdWM2c0TURCSXw4MzY2YWM2M2U5NTBiMDRlYmQ3ZTBjMjc1ZDYzY2EzZTczOGRkNjBlMTMwZjEyMmRjOWJmMTRiYzFmMDdlYjIz,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109308,,E-KF4-0615,BOLT,BOLT ENGINE FASTENER KIT,Kit tornillería de motor BOLT,47.65,39.38,25.60,819648025425,1,8714109090,0,1,<p>BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.</p>,"
BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,566,504,131,108,40,,,,,,,,https://api.mybihr.com/medias/1109309-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODQzNzd8aW1hZ2UvanBlZ3xhRFJrTDJnd09DOHhNakEzTkRRME9EUTFNelkyTWk4eE1UQTVNekE1TFRGZk9EQXdWM2c0TURCSXw4MzY2YWM2M2U5NTBiMDRlYmQ3ZTBjMjc1ZDYzY2EzZTczOGRkNjBlMTMwZjEyMmRjOWJmMTRiYzFmMDdlYjIz,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109292,,E-CF4-0912,BOLT,BOLT ENGINE FASTENER KIT,Kit tornillería de motor BOLT,47.65,39.38,25.60,819648025296,1,8714109090,0,1,<p>BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.</p>,"
BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,536,380,127,111,38,,,,,,,,https://api.mybihr.com/medias/1109309-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODQzNzd8aW1hZ2UvanBlZ3xhRFJrTDJnd09DOHhNakEzTkRRME9EUTFNelkyTWk4eE1UQTVNekE1TFRGZk9EQXdWM2c0TURCSXw4MzY2YWM2M2U5NTBiMDRlYmQ3ZTBjMjc1ZDYzY2EzZTczOGRkNjBlMTMwZjEyMmRjOWJmMTRiYzFmMDdlYjIz,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109279,,KAW-001765,BOLT,BOLT BODY WORK FASTENER KIT,Kit Tornillería de Plásticos BOLT - Kawasaki,25.00,20.66,13.43,819648022134,1,8714109090,0,1,"<p>BOLT Body Work Fastener kits are carefully researched and designed to include <em>all</em>&nbsp;the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.</p>","
BOLT Body Work Fastener kits are carefully researched and designed to include all the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,314,204,88,83,43,,,,,,,,https://api.mybihr.com/medias/1109279-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjgwNTN8aW1hZ2UvanBlZ3xhRE00TDJnMU1DOHhNakEzTkRRek9UZ3pOVFkzT0M4eE1UQTVNamM1TFRGZk9EQXdWM2c0TURCSXw0NjBkOTRmNmY5MGM5YjAzY2U0MzIwNDg0ZTA3MmQ5NmVkNDk2M2JhYzQyYjNiNWI2ZDJiNDRjOTg0NWNmNmZl,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109315,,E-R1-9097,BOLT,BOLT ENGINE FASTENER KIT,Kit tornillería de motor BOLT,47.65,39.38,25.60,819648025777,1,8714109090,0,1,<p>BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.</p>,"
BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,601,628,133,113,40,,,,,,,,https://api.mybihr.com/medias/1109299-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTk0MjF8aW1hZ2UvanBlZ3xhR1V4TDJnd1lpOHhNakEzTkRRME16TTNORFl5TWk4eE1UQTVNams1TFRGZk9EQXdWM2c0TURCSXxkNDJiZDAxMzMxMGE5OGNkZjhlYWRhMjYyODEwMzE2MzI5YmFlMjc0YWRmMTA4N2Q5ODI0MDJjMDE4YTk5YTM5,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109282,,KAW-PFK1,BOLT,BOLT BODY WORK FASTENER KIT,Kit Tornillería de Plásticos BOLT - Kawasaki,25.00,20.66,13.43,819648022660,1,8714109090,0,1,"<p>BOLT Body Work Fastener kits are carefully researched and designed to include <em>all</em>&nbsp;the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.</p>","
BOLT Body Work Fastener kits are carefully researched and designed to include all the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,311,283,87,83,43,,,,,,,,https://api.mybihr.com/medias/1109282-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjgwNTN8aW1hZ2UvanBlZ3xhRFZtTDJobFlTOHhNakEzTkRRME1UQXhOVE15Tmk4eE1UQTVNamd5TFRGZk9EQXdWM2c0TURCSXwxNjQ1MzNhNzUwODFhNDUwYTY5ZDQ5MzcwZTBiNWExMThhMWQwNDI0MWVjYTA3ODUzMDFmMmRkZmMyZWZkNTVh,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109324,,E-Y1-9420,BOLT,BOLT ENGINE FASTENER KIT,Kit tornillería de motor BOLT,50.81,41.99,27.29,819648025890,0,8714109090,0,1,<p>BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.</p>,"
BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,573,647,129,111,40,,,,,,,,https://api.mybihr.com/medias/1109299-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTk0MjF8aW1hZ2UvanBlZ3xhR1V4TDJnd1lpOHhNakEzTkRRME16TTNORFl5TWk4eE1UQTVNams1TFRGZk9EQXdWM2c0TURCSXxkNDJiZDAxMzMxMGE5OGNkZjhlYWRhMjYyODEwMzE2MzI5YmFlMjc0YWRmMTA4N2Q5ODI0MDJjMDE4YTk5YTM5,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109325,,E-Y2-9020,BOLT,BOLT ENGINE FASTENER KIT,Kit tornillería de motor BOLT,50.81,41.99,27.29,819648025906,0,8714109090,0,1,<p>BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.</p>,"
BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,614,705,130,118,40,,,,,,,,https://api.mybihr.com/medias/1109299-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTk0MjF8aW1hZ2UvanBlZ3xhR1V4TDJnd1lpOHhNakEzTkRRME16TTNORFl5TWk4eE1UQTVNams1TFRGZk9EQXdWM2c0TURCSXxkNDJiZDAxMzMxMGE5OGNkZjhlYWRhMjYyODEwMzE2MzI5YmFlMjc0YWRmMTA4N2Q5ODI0MDJjMDE4YTk5YTM5,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109280,,KAW-011385,BOLT,BOLT BODY WORK FASTENER KIT,Kit Tornillería de Plásticos BOLT - Kawasaki,25.00,20.66,13.43,819648022141,0,8714109090,0,1,"<p>BOLT Body Work Fastener kits are carefully researched and designed to include <em>all</em>&nbsp;the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.</p>","
BOLT Body Work Fastener kits are carefully researched and designed to include all the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,314,248,86,85,43,,,,,,,,https://api.mybihr.com/medias/1109280-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjgwNTN8aW1hZ2UvanBlZ3xhR00yTDJoaU1pOHhNakEzTkRRME1ESXlPRGc1TkM4eE1UQTVNamd3TFRGZk9EQXdWM2c0TURCSXxkYzYxODA5NmQ4ZWRjMDc0ZTUwODcxYzhhMTE2MDI5Y2E2MzAyZTVkMjdhNjg3MDRjNWVhNWZhZjNmYmIyYmIx,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109285,,KTM-031285SX,BOLT,BOLT BODY WORK FASTENER KIT,Kit Tornillería de Plásticos BOLT - KTM / Husqvarna,20.00,16.53,10.74,819648022233,1,8714109090,0,1,"<p>BOLT Body Work Fastener kits are carefully researched and designed to include <em>all</em>&nbsp;the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.</p>","
BOLT Body Work Fastener kits are carefully researched and designed to include all the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,285,176,85,78,43,,,,,,,,https://api.mybihr.com/medias/1109285-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njc0MTZ8aW1hZ2UvanBlZ3xhRFE0TDJnM1l5OHhNakEzTkRRME1qRTVORGszTkM4eE1UQTVNamcxTFRGZk9EQXdWM2c0TURCSXw0YmQ3NGVhMmUxZTk2Mjk4YjY5Nzg3OGYzYTgxMjcxZGI3ZTg3YmJjNmFhYjEzODQ0YjcyM2FhNDNkZTIyZjIz,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
