PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Ancho exterior del manillar (mm),Anchura (mm),Color,Composición,Diámetro exterior de los extremos del manillar (mm),Diámetro interior del manillar (mm),Diámetro Ø (mm),Embalaje,Longitud (mm),Longitud total (mm),Montaje de espejo retrovisor,Número de puntos,Peso (g),Rango de uso,Rosca,Rosca (mm),Sentido de rosca,Tipo,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,Document1,Document2,DeliveryPlant
1000434,35379,1612,BUZZETTI,BUZTI KICK KICK GEAR,Piñón de arranque para motor Minarelli y QJ BUZZETTI,15.49,12.80,7.68,0161201001,1,8714930019,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,141,46,79,85,21,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000434-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODAzMzR8aW1hZ2UvanBlZ3xhR0ZpTDJnd01TOHhOVFF4TnpFM09UWXdNamszTkM4eE1EQXdORE0wTFRGZk9EQXdWM2c0TURCSXxkZGU0Mzc0NWM5MDc1NTJlMDZhNmFlMWM3NDNkMTVjYTNiYjA1MTdlZmYyNzA2NmUzN2FkNTc4MzlkZmI2MzEx,https://api.mybihr.com/medias/1000434-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjA2MjZ8aW1hZ2UvanBlZ3xhR1U1TDJnd1l5OHhOVFF4TnpFM09UazVOakU1TUM4eE1EQXdORE0wTFRKZk9EQXdWM2c0TURCSXxkYzJlMjcxNjVlMmM4ZmEwZWJiNGMyMTc5MTkzYTJhN2JkMWViZDcxMTdhNzUzMDk2MDU3ZjNkMjE1NTBlNjY5,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000441,35387,1691,BUZZETTI,BUZTI KICK KICK PINION,Piñón de arranque a pedal para Peugeot BUZZETTI,19.99,16.52,9.91,0169101001,16,8714930019,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,55,52,31,31,57,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000441-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzQyNzV8aW1hZ2UvanBlZ3xhRFE1TDJnd1ppOHhOVFF4TnpFNE1qYzBPRGN3TWk4eE1EQXdORFF4TFRGZk9EQXdWM2c0TURCSXxhMTA1MmI5NGYxMzUzNWZlM2M4Yzc3OWU3MDQ4ZTcxMmQzMWU3N2Q5NGJiODQ2ZTY5OWExMjg0Mzg2Y2QzMTlj,,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000449,35378,1610,BUZZETTI,BUZTI SPAREPARTS START WHEEL,Rueda libre de arranque para Minarelli BUZZETTI,13.99,11.56,6.94,0161001001,151,8511400090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,195,120,114,95,18,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000449-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODUwOTh8aW1hZ2UvanBlZ3xhR0ppTDJnMVpTOHhOVFF4TnpJMk9UYzRNRFV4TUM4eE1EQXdORFE1TFRGZk9EQXdWM2c0TURCSXwzOWVkMTg5ODM4OTNkZmRlZWEzYjM3Yjg4OTY2NTMyNGZmNTYzNzUwNjgzOGNlYjUxNDIwYmZmMWJhMjhjYTJh,https://api.mybihr.com/medias/1000449-2-800Wx800H?context=bWFzdGVyfHJvb3R8NzI3NzR8aW1hZ2UvanBlZ3xhRFExTDJnNVpTOHhOVFF4TnpJM01ERTNNemN5Tmk4eE1EQXdORFE1TFRKZk9EQXdWM2c0TURCSXw0ZjY1OWJmYTY4YmI0M2RhODU0NTAwMTgyOGIxZTc0NjlhZjU4YzFjMmYwYmQwNTE4MDM3OGFjOGM0ZWI0MjQ4,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000448,35377,1602,BUZZETTI,BUZTI SPAREPARTS KICK TOOTH,Casquillo dentado de arranque para motor Minarelli BUZZETTI,4.99,4.12,2.47,0160201001,23,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,56,20,83,48,14,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000448-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTQ5NTh8aW1hZ2UvanBlZ3xhRFk1TDJoaU5pOHhOVFF4TnpFNE5ETXlNVFUyTmk4eE1EQXdORFE0TFRGZk9EQXdWM2c0TURCSXxlMTM2MDFmN2VhZjBkYTM4ZDhlYzJkZTc4MjU4MjBkNTljZmVmNDU1MTRhMjdkYTZjZjkyZjBjYTFmODk4YzVk,https://api.mybihr.com/medias/1000448-2-800Wx800H?context=bWFzdGVyfHJvb3R8NzQ4Mjh8aW1hZ2UvanBlZ3xhR0k0TDJoak5DOHhOVFF4TnpFNE5EYzRNRE14T0M4eE1EQXdORFE0TFRKZk9EQXdWM2c0TURCSXxhYmM1YjY2YWUwMWQwYWUyYzM1ODEwNDg4NjFjYTI5NjU2YWY5N2Y0MzU0MWFjYjFhZTE2NzhhODRjZjQ0NTg4,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000433,35375,1585,BUZZETTI,BUZTI KICK START SHAFT,Eje de pedal de arranque para Aprilia – Piaggio – Gilera (largo 50mm) BUZZETTI,27.00,22.31,13.39,0158501001,2,8714109090,0,1,<p>Largo eje: 50 mm</p>,"
Largo eje: 50 mm",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,540,242,104,88,59,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000433-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODE4MzZ8aW1hZ2UvanBlZ3xhR0l5TDJnMU5DOHhOVFF4TnpJMk5EazVOak00TWk4eE1EQXdORE16TFRGZk9EQXdWM2c0TURCSXw2OTgzYzgyNTBkNDZhNTg5OWM4MzYyNTg4Y2RlYzIxZGM4NmYxMWRmNzk5YmNkNjY3N2VjYWNkMDMwOGMzMDIy,https://api.mybihr.com/medias/1000433-2-800Wx800H?context=bWFzdGVyfHJvb3R8Mzk5NTB8aW1hZ2UvanBlZ3xhR1pqTDJoaFl5OHhOVFF4TnpJMk5UUTFOVEV6TkM4eE1EQXdORE16TFRKZk9EQXdWM2c0TURCSXwyZDYwNWRiYjc3M2NiNTk3YWVjOGQ0NjQwZTZlNzRhM2IzOThkMTcwY2JjMGEwNmEzMTFhMTVmYzc4ZGZmNWVi,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000450,36609,1693,BUZZETTI,BUZTI SPAREPARTS KICK GEAR SPRING,"Piñón de arranque Kymco Agility 50 2T/4T 12/16"" eje ø10mm BUZZETTI",17.48,14.45,8.67,0169301001,10,8714930019,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,203,74,73,73,38,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000450-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTA1MzJ8aW1hZ2UvanBlZ3xhR0k0TDJnNU1DOHhOVFF4TnpJM01EVTJOamswTWk4eE1EQXdORFV3TFRGZk9EQXdWM2c0TURCSXxiNTdkYmM4ODVkNjM1MjY1MDZmMGE4YzQzY2EyMjM1MjBkODI2MzllZjc4YjgyNzVjODJiODU5OWExMWZlMzM3,,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000445,35373,1570,BUZZETTI,BUZTI SPAREPARTS KICK PINION,Piñón de arranque a pedal para Aprilia – Piaggio – Gilera BUZZETTI,17.99,14.87,8.92,0157001001,0,8714930019,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,86,80,36,35,68,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1000445-1.jpg?context=bWFzdGVyfHJvb3R8MjY2NDl8aW1hZ2UvanBlZ3xhR1poTDJnNE15ODVPRE0yTVRNMk9UTXlPVFk1TkM4NE1EQlhlRGd3TUVoZk1UQXdNRFEwTlMweExtcHdad3wxN2Y5MjIxN2YyY2QwOGQyMzg4ZDUyZDI5Yjg4NWU2YWFiNjhmZDhkZDFhZWQ2MjQ3MTg3OTg1ZGQwYjZmNzAz,https://api.mybihr.com/medias/800Wx800H-1000445-2.jpg?context=bWFzdGVyfHJvb3R8NTExMjd8aW1hZ2UvanBlZ3xhR014TDJnM09TODVPRE0yTVRNMk9UWXlORFl3Tmk4NE1EQlhlRGd3TUVoZk1UQXdNRFEwTlMweUxtcHdad3w0ZTM5YzQzMTUyMDIwNjEyM2M2MzZlZDY4NzZhOTY0MWMzYjg3NDYwZjQ2ZmM1NTQ5MGU0ODBlZDQwZTI5MDg0,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1007166,35384,1685,BUZZETTI,BUZTI KICK START SHAFT,Eje de pedal de arranque para Kymco (largo 46mm) BUZZETTI,16.99,14.04,8.42,0168501001,61,8409910090,0,1,Largo eje: 46 mm,Largo eje: 46 mm,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,586,170,91,117,55,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1007166-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzY0NjF8aW1hZ2UvanBlZ3xhR1JsTDJneVpDOHhOVFF4TnpJM01UTTFNek0zTkM4eE1EQTNNVFkyTFRGZk9EQXdWM2c0TURCSXxkOTUwN2Y2MzhhODk3Mjk4NjQ1NjIzYTAwYWIyNTY3MzMyMjQxMzc2YzYyODhjZjBkY2VmM2RiY2YxNGE0MGM1,https://api.mybihr.com/medias/1007166-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzM3MTB8aW1hZ2UvanBlZ3xhRFV4TDJneU1DOHhOVFF4TnpJM01UYzBOalU1TUM4eE1EQTNNVFkyTFRKZk9EQXdWM2c0TURCSXxhNDJiM2MyY2U4YzU1MmJjMjk0MjZkMjlhOWI3MjI3NWVhODdlMjUzN2VkZGU1YTczYTY2ZDc4MWQ5YjEyNTVh,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000446,35374,1576,BUZZETTI,BUZTI SPAREPARTS KICK WASHER,Casquillo dentado de arranque para Aprilia – Piaggio – Gilera BUZZETTI,20.00,16.53,9.92,0157601001,4,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,63,26,62,68,15,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000446-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODAyMTF8aW1hZ2UvanBlZ3xhREZsTDJnd05DOHhOVFF4TnpJMk9EazVOREEzT0M4eE1EQXdORFEyTFRGZk9EQXdWM2c0TURCSXxkMzA4YTAyMWExZTY5MWU2ZWIzMzdkNmUyN2MyZmUyM2Y4Y2IxZjM1ZjkzMjJkMWIxOGQ0ZDY2ZjcwNDQ1ZTg1,,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000452,36608,1683,BUZZETTI,BUZTI SPAREPARTS KICK GEAR SPRING,"Muelle piñón de arranque Kymco Agility 50 2T/4T 12/16"" 47xø30mm BUZZETTI",1.83,1.51,0.91,8430525366084,123,7320208190,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,65,8,39,92,18,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000452-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc1MTF8aW1hZ2UvanBlZ3xhREUzTDJnNE15OHhOVFF4TnpJM01EazJNREUxT0M4eE1EQXdORFV5TFRGZk9EQXdWM2c0TURCSXxmNjVmMDYzNTk3N2M5ZDY2NTAwZTI2YjcxYjU2ZmZkNDkwYmMwZjQ3OGE3ODJhYjQ0NjcxMTE2MmNlOTg4YjAx,,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
