PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (mm),Ancho exterior del manillar (mm),Anchura (mm),Color,Composición,Compuesto del puño,Diámetro exterior de los extremos del manillar (mm),Diámetro interior del manillar (mm),Diámetro Ø (mm),Embalaje,Fijación,Homologación,Longitud (mm),Longitud total (mm),Montaje,Montaje de espejo retrovisor,Posición,Rosca,Rosca (mm),Sentido de rosca,Tipo,Tipo de interruptor,Tipo de luz,Uso,Voltaje,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,Picture9,Picture10,Picture11,Picture12,AllPicturesZIP,Document1,Document2,Document3,Document4,Document5,Document6,Document7,Document8,Document9,DeliveryPlant
1138835002,,88219,DAYTONA,"DAYTO GRIPS GGD-BASE 7/8 OPEN, BRN","DAYTONA Grips GGD-BASE, Brown, 7/8, Open End",13.06,10.79,7.01,4909449568323,0,8714109090,0,0,"DAYTONA grip rubbers are durable, resistant to damage or falls.<br>Fits 7/8 handlebars as motorcycle or scooter grip.<br><br>Special features:<br> Handlebar grips for all handlebars with a diameter of 22 mm at the grip end<br> Good hold and grip comfort<br><br>Scope of supply: 1 pair","DAYTONA grip rubbers are durable, resistant to damage or falls.Fits 7/8 handlebars as motorcycle or scooter grip.Special features: Handlebar grips for all handlebars with a diameter of 22 mm at the grip end Good hold and grip comfortScope of supply: 1 pair",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,Marrón,880,140,160,100,55,,,,Marrón,,Mono compuesto,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1138835002-1.jpg?context=bWFzdGVyfHJvb3R8MTQyMDM4fGltYWdlL2pwZWd8YURKbEwyZ3haUzg0TVRFMk1Ua3dNekEwTmpZNE5pODRNREJYZURnd01FaGZNVEV6T0Rnek5UQXdNaTB4TG1wd1p3fDI0NzY0NTExNTNjNTQ5NWUxZTI0ZDBjZTBjZjRlN2Q1MzU2ZDQwN2UyNTNiMWU1Y2NhMDg5ZTVlMzRjOTYzMjQ,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/DAYTONA-pictures.zip,,,,,,,,,,Spain Warehouse (Parts)
1138835001,,88217,DAYTONA,"DAYTO GRIPS GGD-BASE 7/8 OPEN, BLK","DAYTONA Grips GGD-BASE, Black, 7/8, Open End",13.06,10.79,7.01,4909449568309,0,8714109090,0,0,"<p>DAYTONA grip rubbers are durable, resistant to damage or falls.<br>
Fits 7/8 handlebars as motorcycle or scooter grip.<br>
<br>
Special features:<br>
Handlebar grips for all handlebars with a diameter of 22 mm at the grip end<br>
Good hold and grip comfort<br>
<br>
Scope of supply: 1 pair</p>","
DAYTONA grip rubbers are durable, resistant to damage or falls.
Fits 7/8 handlebars as motorcycle or scooter grip.

Special features:
Handlebar grips for all handlebars with a diameter of 22 mm at the grip end
Good hold and grip comfort

Scope of supply: 1 pair",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,Negro,880,140,160,100,55,,,,Negro,,Mono compuesto,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1138835001-1.jpg?context=bWFzdGVyfHJvb3R8MTEzNDU2fGltYWdlL2pwZWd8YURCaEwyZ3pOeTg0TVRFMk1Ua3dNalkxTXpRM01DODRNREJYZURnd01FaGZNVEV6T0Rnek5UQXdNUzB4TG1wd1p3fDAwMGM5MWQ1OWE5MmU1OGZjM2JjZDc0NmI4M2MxNTA3YTgyNTJlN2FmOWFkODNlNGQxNzk4ZjIxNTRiMTU1M2M,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/DAYTONA-pictures.zip,,,,,,,,,,Spain Warehouse (Parts)
1140007,,89441,DAYTONA,DAYTO ADAPT BAREND MIR YAM MT07/09,Adaptador retrovisor de extremo de manillar DAYTONA,25.16,20.79,13.51,4909449568149,0,7009100090,0,0,Adaptador retrovisor de extremo de manillar DAYTONA,Adaptador retrovisor de extremo de manillar DAYTONA,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,248,135,83,71,42,,,,Negro,"Aluminio & ",,,,,"por pareja & ",,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1140007-1.jpg?context=bWFzdGVyfHJvb3R8NDg4NTF8aW1hZ2UvanBlZ3xhR1UzTDJoallpODRNVEUyTWpRMk1qZ3lNalF6TUM4NE1EQlhlRGd3TUVoZk1URTBNREF3TnkweExtcHdad3w2YTIxYWY4ZWQzNjRhNTlmNGE1NjBmZDg2ZTE2N2ZlMmM1ZDNkNjRlNDU2ZjcwZGY5N2FmOGVjN2FlODkyNGE2,https://api.mybihr.com/medias/800Wx800H-1140007-2.jpg?context=bWFzdGVyfHJvb3R8NzQ5OTF8aW1hZ2UvanBlZ3xhR1JtTDJoa1pTODRNVEUyTWpRMk16SXhOVFkwTmk4NE1EQlhlRGd3TUVoZk1URTBNREF3TnkweUxtcHdad3xmZWZhMzMwYzE1MjBmNjEwNGQ4YTg2NzViYWM0YjMyOTExYjQ1MTI1MDcyNzkzYzMyYzU3MDEwY2MxOGNkNTNl,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/DAYTONA-pictures.zip,,,,,,,,,,Spain Warehouse (Parts)
1140006,,89444,DAYTONA,DAYTO ADAPT BAREND MIR KAWA Z1000/800,Adaptador retrovisor de extremo de manillar DAYTONA,25.16,20.79,13.51,4054783632046,0,7009100090,0,0,Adaptador retrovisor de extremo de manillar DAYTONA,Adaptador retrovisor de extremo de manillar DAYTONA,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,248,115,83,71,42,,,,Negro,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1140006-1.jpg?context=bWFzdGVyfHJvb3R8NTY1ODF8aW1hZ2UvanBlZ3xhR0k1TDJoaU1DODRNVEUyTWpRMk1qQXpOVGs1T0M4NE1EQlhlRGd3TUVoZk1URTBNREF3TmkweExtcHdad3wxYjA1MzZhNzhmZTcxNjFhYzJjYjQ4Yjc4Y2M5MmYwNmNkMDk2YjZjZDRkOWFkYTdiZjgwODM4Yjc3MTkwMzlh,https://api.mybihr.com/medias/800Wx800H-1140006-2.jpg?context=bWFzdGVyfHJvb3R8NDQyNTZ8aW1hZ2UvanBlZ3xhRFEzTDJoaVpTODRNVEUyTWpRMk1qUXlPVEl4TkM4NE1EQlhlRGd3TUVoZk1URTBNREF3TmkweUxtcHdad3w0MDEyNzUwZjYxZjE2NDg0ODljMmEwMTdmMDdlNjIwNWRiYjllNjA5YjliYTBhZThmZGEyMjY0MWUxZDM5ZmUy,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/DAYTONA-pictures.zip,,,,,,,,,,Spain Warehouse (Parts)
1140009,,80863,DAYTONA,DAYTO BAREND MIR ADAPT BMW R NINET,Adaptador retrovisor de extremo de manillar DAYTONA,25.16,20.79,13.51,4909449594056,0,7009100090,0,0,Adaptador retrovisor de extremo de manillar DAYTONA,Adaptador retrovisor de extremo de manillar DAYTONA,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,248,202,83,71,42,,,,Negro,,,,,,,,,,,Manillar,,,,,A derechas,,,,,,https://api.mybihr.com/medias/800Wx800H-1140009-1.jpg?context=bWFzdGVyfHJvb3R8Njc1Nzh8aW1hZ2UvanBlZ3xhR00zTDJnM01DODRNVEUyTWpRMk5ETTVOVEk1TkM4NE1EQlhlRGd3TUVoZk1URTBNREF3T1MweExtcHdad3w5MzhiYWVhZDBjNjQ0ZjAwYzEyODBkMjVkYmIzNWYwODVmZTA5YTk1OWMyN2E1MzQzZTU1NmE0NGIxNWNhYzY3,https://api.mybihr.com/medias/800Wx800H-1140009-2.jpg?context=bWFzdGVyfHJvb3R8MzgyNTJ8aW1hZ2UvanBlZ3xhRE5oTDJnMk15ODRNVEUyTWpRMk5EYzRPRFV4TUM4NE1EQlhlRGd3TUVoZk1URTBNREF3T1MweUxtcHdad3w2ZDUwMTg0OWE5MzBmZjVhNjY4NTk2YTAwM2Q0OWY2Zjg3NGE3ZGFiNDE0MjgzOGUwMmIyNTAxODg4MGY5YjA5,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/DAYTONA-pictures.zip,,,,,,,,,,Spain Warehouse (Parts)
1138890004,,88658,DAYTONA,"DAYTO GRIPS GGD-LINE 22.2 OPEN END, RED","DAYTONA Grips GGD-LINE, Red, 7/8, Open End",18.10,14.96,9.72,4054783308637,0,8714109090,0,0,"DAYTONA rubber grips are durable, resistant to damage or falls.<br>Fits 7/8 handlebars as motorcycle or scooter grips.<br><br>Special features:<br>- Handlebar grips for all handlebars with a diameter of 22 mm at the grip end<br>- Good grip and grip comfort<br>- Open end<br><br>Dimensions:<br>Overall length: 123 mm<br>Grip area: approx. 110 mm<br><br>Scope of supply: 1 pair","DAYTONA rubber grips are durable, resistant to damage or falls.Fits 7/8 handlebars as motorcycle or scooter grips.Special features:- Handlebar grips for all handlebars with a diameter of 22 mm at the grip end- Good grip and grip comfort- Open endDimensions:Overall length: 123 mmGrip area: approx. 110 mmScope of supply: 1 pair",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,Rojo,970,150,164,102,58,,,,Negro & Rojo,,Mono compuesto,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1138890004-1.jpg?context=bWFzdGVyfHJvb3R8MzYzMTR8aW1hZ2UvanBlZ3xhRGN5TDJnNU5pODRNVEUyTWpBNE9URTJPRGt5Tmk4NE1EQlhlRGd3TUVoZk1URXpPRGc1TURBd05DMHhMbXB3Wnd8MWU3ZWRkZDljMGQ0NDBmNTg1ODg2NTU4ZWRlYmQ1YzQ5ZGQ3OWMyZDY4NmEyYjllZmZhMWQ4MDBhMTI0NzIxNA,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/DAYTONA-pictures.zip,,,,,,,,,,Spain Warehouse (Parts)
1138890005,,88659,DAYTONA,"DAYTO GRIPS GGD-LINE 22.2 OPEN END, BLU","DAYTONA Grips GGD-LINE, Blue, 7/8, Open End",18.10,14.96,9.72,4054783308644,0,8714109090,0,0,"DAYTONA rubber grips are durable, resistant to damage or falls.<br>Fits 7/8 handlebars as motorcycle or scooter grips.<br><br>Special features:<br>- Handlebar grips for all handlebars with a diameter of 22 mm at the grip end<br>- Good grip and grip comfort<br>- Open end<br><br>Dimensions:<br>Overall length: 123 mm<br>Grip area: approx. 110 mm<br><br>Scope of supply: 1 pair","DAYTONA rubber grips are durable, resistant to damage or falls.Fits 7/8 handlebars as motorcycle or scooter grips.Special features:- Handlebar grips for all handlebars with a diameter of 22 mm at the grip end- Good grip and grip comfort- Open endDimensions:Overall length: 123 mmGrip area: approx. 110 mmScope of supply: 1 pair",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,Azul,880,150,160,100,55,,,,Azul & Negro,,Mono compuesto,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1138890005-1.jpg?context=bWFzdGVyfHJvb3R8MzI2ODJ8aW1hZ2UvanBlZ3xhREV6TDJoaE5DODRNVEUyTWpBNE9UVTJNakUwTWk4NE1EQlhlRGd3TUVoZk1URXpPRGc1TURBd05TMHhMbXB3Wnd8ZWM5Mjk3ODdlNTk3NTc2Y2ZjNjZiMjNmZWY4NjdiZTJiMWY4MzFkZjU4YzZjYTEwOTY3ZDFiY2U5NTg3NzQ2YQ,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/DAYTONA-pictures.zip,,,,,,,,,,Spain Warehouse (Parts)
1139038001,,88562,DAYTONA,"DAYTO GRIPS GGD-NAMI 7/8 OPEN, BRN","DAYTONA Handlebar grips GGD-NAMI, brown",15.08,12.46,8.10,4054783308132,0,8714109090,0,0,"DAYTONA grip rubbers are durable, resistant to damage or falls.<br>Fits 7/8 handlebars as motorcycle or scooter grip.<br><br>Special features:<br> Handlebar grips for all handlebars with a diameter of 22 mm at the grip end<br> Good hold and grip comfort<br><br>Scope of supply: 1 pair","DAYTONA grip rubbers are durable, resistant to damage or falls.Fits 7/8 handlebars as motorcycle or scooter grip.Special features: Handlebar grips for all handlebars with a diameter of 22 mm at the grip end Good hold and grip comfortScope of supply: 1 pair",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,Marrón,880,150,160,100,55,,,,Marrón,,Mono compuesto,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1139038001-1.jpg?context=bWFzdGVyfHJvb3R8MTE5ODg4fGltYWdlL2pwZWd8YURFNUwyZ3pZUzg0TVRFMk1qRTRPVE0zTXpRM01DODRNREJYZURnd01FaGZNVEV6T1RBek9EQXdNUzB4TG1wd1p3fDRhNzViMjg1NGQ3MzFkYmQ4MjAwMzQyNWY4NzA3OTQxNzcwNDRmOWRkMDcxZDA4MDBlZTY1NTUxNjYxMmFjMzM,https://api.mybihr.com/medias/800Wx800H-1139038001-2.jpg?context=bWFzdGVyfHJvb3R8MjUyNTcwfGltYWdlL2pwZWd8YURoakwyZ3lZeTg0TVRFMk1qRTRPVGMyTmpZNE5pODRNREJYZURnd01FaGZNVEV6T1RBek9EQXdNUzB5TG1wd1p3fGM1ZTQ4ZjczY2MxNGM4NTIwMDA1NTgzNGM0OWFhY2QzNWI4YmZkNGE4NWM4MGVhMTgzNTFlNWNiNjNhYzk5ZDc,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/DAYTONA-pictures.zip,,,,,,,,,,Spain Warehouse (Parts)
1140008,,89440,DAYTONA,ADAPTER FOR BAREND MIRROW UNIVERSAL,Adaptador retrovisor de extremo de manillar DAYTONA Universal,25.16,20.79,13.51,4909449568132,0,7009100090,0,0,Adaptador retrovisor de extremo de manillar DAYTONA Universal,Adaptador retrovisor de extremo de manillar DAYTONA Universal,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,248,115,83,71,42,,,,Negro,"Aluminio & ",,,,,"por pareja & ",,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1140008-1.jpg?context=bWFzdGVyfHJvb3R8Mjk2NDJ8aW1hZ2UvanBlZ3xhRFV4TDJoa01TODRNVEUyTWpRMk16WXdPRGcyTWk4NE1EQlhlRGd3TUVoZk1URTBNREF3T0MweExtcHdad3w0MWU2NGRiYzI3OTg1MDJmYzVkYWU2MDEzMDVjZmYyYTAxMWIxMzkwNTA4YmI3ODA4ZGY1ODdkNjg4MDMwYTli,https://api.mybihr.com/medias/800Wx800H-1140008-2.jpg?context=bWFzdGVyfHJvb3R8NDE0Mjd8aW1hZ2UvanBlZ3xhREExTDJnM1l5ODRNVEUyTWpRMk5EQXdNakEzT0M4NE1EQlhlRGd3TUVoZk1URTBNREF3T0MweUxtcHdad3xmMzkzOGUwMTIxN2Q5MDRkNWM5NWFiODgxMTljNTFhOGNhMWJjZWI3YzA0YzJiYzkyMWQzYmYxN2Y5NjdmODZi,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/DAYTONA-pictures.zip,,,,,,,,,,Spain Warehouse (Parts)
1124660,,87790,DAYTONA,DAYTO VELONA80 SPEEDOMETER 200,Velocímetro DAYTONA Velona 80 - 200 km/h,236.91,195.79,127.26,4909449566916,0,8714109090,0,1,"<ul>
<li>Cuerpo negro mate de 80 mm fabricado en acero inoxidable</li>
<li>VELOCIDAD Y RPM en un solo indicador</li>
<li>Pantalla LCD con m&uacute;ltiples funciones</li>
<li>La aguja accionada por un motor paso a paso se mueve r&aacute;pidamente e indica la velocidad/rpm real</li>
<li>Soporte en forma de V incluido en el kit</li>
<li>manejo sencillo mediante dos botones en la parte posterior</li>
<li>funciona con 9-16V</li>
<li>km/h o MPH seleccionables</li>
<li>Hasta 200 Km/h o 200 MPH</li>
<li>Cuentakil&oacute;metros (No reseteable): 0,0-99,999,9km(milla)</li>
<li>Cuentakil&oacute;metros parcial doble (reiniciable): 0,0-99,999,9 km (milla)</li>
<li>Cuentarrevoluciones: 0-20.000 rpm</li>
<li>Volt&iacute;metro: 0,0-18,0V</li>
<li>Memoria y recuperaci&oacute;n de velocidad m&aacute;xima</li>
<li>Memoria y recuperaci&oacute;n de rpm m&aacute;ximas</li>
<li>Posibilidad de configurar el aviso de cambio de marcha</li>
<li>Posibilidad de conexi&oacute;n al sensor de velocidad OEM, si el veh&iacute;culo est&aacute; equipado con un sensor de velocidad el&eacute;ctrico</li>
<li>Ajuste PPR seleccionable entre 1P-1r/1P-2r/2P-1r/30P-1r</li>
<li>Alimentaci&oacute;n DC9-16 (12 V normales)</li>
<li>Soporte en V incluido</li>
</ul>","
Cuerpo negro mate de 80 mm fabricado en acero inoxidable
VELOCIDAD Y RPM en un solo indicador
Pantalla LCD con múltiples funciones
La aguja accionada por un motor paso a paso se mueve rápidamente e indica la velocidad/rpm real
Soporte en forma de V incluido en el kit
manejo sencillo mediante dos botones en la parte posterior
funciona con 9-16V
km/h o MPH seleccionables
Hasta 200 Km/h o 200 MPH
Cuentakilómetros (No reseteable): 0,0-99,999,9km(milla)
Cuentakilómetros parcial doble (reiniciable): 0,0-99,999,9 km (milla)
Cuentarrevoluciones: 0-20.000 rpm
Voltímetro: 0,0-18,0V
Memoria y recuperación de velocidad máxima
Memoria y recuperación de rpm máximas
Posibilidad de configurar el aviso de cambio de marcha
Posibilidad de conexión al sensor de velocidad OEM, si el vehículo está equipado con un sensor de velocidad eléctrico
Ajuste PPR seleccionable entre 1P-1r/1P-2r/2P-1r/30P-1r
Alimentación DC9-16 (12 V normales)
Soporte en V incluido
",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ELECTRONIC,,1601,459,130,113,109,,,,Negro,,,,,,,,,,,,,,,,,,,,,12V,https://api.mybihr.com/medias/800Wx800H-1124660-1.jpg?context=bWFzdGVyfHJvb3R8NTM0MjN8aW1hZ2UvanBlZ3xhR1EwTDJoaU5pODFNRGd5T0RRMk9EUTFNelF3Tmk4NE1EQlhlRGd3TUVoZk1URXlORFkyTUMweExtcHdad3xiY2I4ZjBjOTFiM2FmMDlmOWIxZGI3YTE3NDA3ZDlhYWUzYzFjOGQ2ZjU1NTlmZWIwNzAxMmVkYzI0MDM0ZjZm,https://api.mybihr.com/medias/800Wx800H-1124660-2.jpg?context=bWFzdGVyfHJvb3R8NzA3MzZ8aW1hZ2UvanBlZ3xhRFEzTDJoaE9TODFNRGd5T0RRMk9EZzBOall5TWk4NE1EQlhlRGd3TUVoZk1URXlORFkyTUMweUxtcHdad3xmMDg1YTJjOWRhZmE4Zjk5YjFhZDRhZGUxOTBlODNiNDgyNmFkNWMxN2U1MWRjODdlZGIxZmU1NWIyNzNhOThj,https://api.mybihr.com/medias/800Wx800H-1124660-3.jpg?context=bWFzdGVyfHJvb3R8MjU1MjR8aW1hZ2UvanBlZ3xhREJsTDJnMU5DODFNRGd5T0RRMk9USXpPVGd6T0M4NE1EQlhlRGd3TUVoZk1URXlORFkyTUMwekxtcHdad3wxY2YyZDVjMzg4ZDFmYTNiMDFiNDE3NmNhMDE1MTM0MTk3NTY2MDY1ZTY0NDYxMmY5NjI0ZDExMTJkZGE5NTIz,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/DAYTONA-pictures.zip,https://api.mybihr.com/medias/1124660-Homologation-ABE.pdf?context=bWFzdGVyfGRvY3VtZW50c3w2MTQ3MTYyfGFwcGxpY2F0aW9uL3BkZnxhR0psTDJnMVlpODRNVEUxTXpFd01EYzBNalk0Tmk4eE1USTBOall3WDBodmJXOXNiMmRoZEdsdmJsOUJRa1V1Y0dSbXxlYjA4OGVlNTBiMGEyOTkxMDcwMmZhOGQ1ZGYwNjk4ZDA1ZDlkMTYyZGE1ZTg1ZjAxYjFiY2MyNDY1ZGExOWQy,https://api.mybihr.com/medias/1124660-Mounting-Instructions-DE-EN.pdf?context=bWFzdGVyfGRvY3VtZW50c3w2NDUyMjN8YXBwbGljYXRpb24vcGRmfGFHRXpMMmhpWXk4NE1URXpOelk1TlRBNU5qZzJNaTh4TVRJME5qWXdYMDF2ZFc1MGFXNW5YMGx1YzNSeWRXTjBhVzl1YzE5RVJWOUZUaTV3WkdZfDBhZTk5YTc1ZTQwMjNlMTA3NDk5ZWVhMzU5ZGQ3NWQ5NTNiNmQwN2YwMmQ3MWM5NWMyYTRlOGEzNjQ0YzRkMmY,https://api.mybihr.com/medias/1124660-Mounting-Instructions-DE.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyMzEyNDA3fGFwcGxpY2F0aW9uL3BkZnxhREZtTDJnMFlpODRNVEUxTXpFd01ESTRNemt6TkM4eE1USTBOall3WDAxdmRXNTBhVzVuWDBsdWMzUnlkV04wYVc5dWMxOUVSUzV3WkdZfDIzNTk1OGMxZTRmNWMwMWQxZjg0ZGVkNzA2ZmQ1YWM5MmU0NjBjZWRiNjRkZDA1MDY3YmE0ZjgwZGFiNzQ3NmU,https://api.mybihr.com/medias/1124660-Mounting-Instructions-EN.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyMjA2NDg4fGFwcGxpY2F0aW9uL3BkZnxhRFprTDJnNFpDODRNVEUxTWpreU16VXpNek0wTWk4eE1USTBOall3WDAxdmRXNTBhVzVuWDBsdWMzUnlkV04wYVc5dWMxOUZUaTV3WkdZfGU4OTY0MGFlNDA0NDEwZGE3NjNkYjZlOTAyOWIyZTkxOWMzYWE3MmNjNjRlM2FhM2Q5YjFhNTM1NzAyMzA4MDM,https://api.mybihr.com/medias/Allgemeine-Betriebserlaubnis-ABE-1124660-DE.pdf?context=bWFzdGVyfHJvb3R8NDUwMTkyNXxhcHBsaWNhdGlvbi9wZGZ8YUdRMkwyZ3hNaTgxTURZNU5EYzFNams1TXpNeE1DOUJiR3huWlcxbGFXNWxJRUpsZEhKcFpXSnpaWEpzWVhWaWJtbHpJQ2hCUWtVcElERXhNalEyTmpBZ1JFVXVjR1JtfGE2ZjMyODUwODhkYWY2YjA3MjhkNzY0NjEwZWIyZjQ0NjY5MGIwZGUwMzk4OWFmZDNlMWE4ZmI3YTllYWJkNDM,https://api.mybihr.com/medias/Mounting-Instruction-Velona-80-1124660-DE1.pdf?context=bWFzdGVyfHJvb3R8MTUyNjczMXxhcHBsaWNhdGlvbi9wZGZ8YUdReUwyZ3pOeTgxTURZNU5EYzFNekExT0RnME5pOU5iM1Z1ZEdsdVp5Qkpibk4wY25WamRHbHZiaUJXWld4dmJtRWdPREFnTVRFeU5EWTJNQ0JFUlRFdWNHUm18YmUyYTQ5ZTdiMmJkOTE4ZWFkZjk1ZDdlZjE2NTI2MDJiNWZlNzhlNjY1N2YzMDI0NWM3ZWQ5YzUyZDkyMDM2Yg,https://api.mybihr.com/medias/Mounting-Instruction-Velona-80-1124660-DE2.pdf?context=bWFzdGVyfHJvb3R8MTE4NDcwOXxhcHBsaWNhdGlvbi9wZGZ8YUdVMEwyZ3pZUzgxTURZNU5EYzFNekV5TkRNNE1pOU5iM1Z1ZEdsdVp5Qkpibk4wY25WamRHbHZiaUJXWld4dmJtRWdPREFnTVRFeU5EWTJNQ0JFUlRJdWNHUm18NWM3N2I2M2U2ZDA0NThlNjM2YzcwZWFjYWFiNTVjYTk2ZTBiOTZhMDNhNTliNGZiMzQ2NjYyZmQ4ZGFlOWI0NA,https://api.mybihr.com/medias/Mounting-Instruction-Velona-80-1124660-EN1.pdf?context=bWFzdGVyfHJvb3R8MTMwODQ0M3xhcHBsaWNhdGlvbi9wZGZ8YURreEwyZ3pZaTgxTURZNU5EYzFNekU0T1RreE9DOU5iM1Z1ZEdsdVp5Qkpibk4wY25WamRHbHZiaUJXWld4dmJtRWdPREFnTVRFeU5EWTJNQ0JGVGpFdWNHUm18MGIxMzNlNjdmZTk1OTc5NTFjNTY1ZjkxMjYwYjdkZDRmZTNkMGQzZjI3OGFiNmMyYTY0Y2E4MDlmMzgyZWUyMw,https://api.mybihr.com/medias/Mounting-Instruction-Velona-80-1124660-EN2.pdf?context=bWFzdGVyfHJvb3R8MTA1NDY1MnxhcHBsaWNhdGlvbi9wZGZ8YUdFekwyZ3paUzgxTURZNU5EYzFNekkxTlRRMU5DOU5iM1Z1ZEdsdVp5Qkpibk4wY25WamRHbHZiaUJXWld4dmJtRWdPREFnTVRFeU5EWTJNQ0JGVGpJdWNHUm18NjZkYWFkZjk3NzE4NDBjYWYwNjJhNzBjNWIxY2EzNTRmOWIzN2JlNDVjODM2OGI3MmUwOTE1NjA0NWExZWEwYg,Spain Warehouse (Parts)
