PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1066731,,RZRRF2000A,DIRECTION 2,DIRE2 PLASTIC ROOF D2,Techo DIRECTION 2 Negro Polaris,227.36,187.90,131.53,RZRRF2000A,1,8714109090,0,1,"<p>The Dimension 2 Roof  is sturdy yet flexible enough too withstand any potential abuse. Its corner panels provide additional strength and stability and are rivet-secured. It not only compliments your ATV’s look but protects you from the elements and falling debris.</p> <ul> <li>Made of black HMW high density haircell polyethylene 4,7 mm (.187"")</li> <li>Cut with superior cnc 5-axis router…all edges are super-smooth</li> <li>Custom bend design for maximum rigidity</li> <li>Extremely durable custom nylon injected clamps</li> <li>All hardware (nuts & bolts) is black-coated finish...no rust!</li> <li>Easy to install: no drilling required</li> <li>Comes complete with all mounting hardware & detailed instructions</li></ul>","
The Dimension 2 Roof  is sturdy yet flexible enough too withstand any potential abuse. Its corner panels provide additional strength and stability and are rivet-secured. It not only compliments your ATV’s look but protects you from the elements and falling debris.  Made of black HMW high density haircell polyethylene 4,7 mm (.187"") Cut with superior cnc 5-axis router…all edges are super-smooth Custom bend design for maximum rigidity Extremely durable custom nylon injected clamps All hardware (nuts & bolts) is black-coated finish...no rust! Easy to install: no drilling required Comes complete with all mounting hardware & detailed instructions",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,,196992,8000,1140,960,180,Negro,https://api.mybihr.com/medias/1066731-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzIxMjN8aW1hZ2UvanBlZ3xhRGhqTDJobU1DODRPVGMwTWpjeU5USTROREUwTHpFd05qWTNNekV0TVY4NE1EQlhlRGd3TUVnfGViZDQxNzZmNjZlY2RlMTgwZTRlMjJkMWY5MDJiMWNkNTg1NzY2YjIwM2ZlYjcxMDAzMzkyNjFiYzM2YWIyMWY,,,https://static.bihr.pro/eBihr/Pictures/DIRECTION_2-pictures.zip,Spain Warehouse (Parts)
1092045,,YXZWS2000,DIRECTION 2,DIRE2 WINDSHIELD FULL TILT FRONT,DIRECTION 2 Front Full Tilt Windshield Yamaha YXZ1000,551.64,455.90,202.51,4100040300,4,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>Full tilt windshield features:</p><p> </p><ul> <li>Ultra thick ¼” mr10 ge lexan polycarbonate (or equivalent).  high quality, scratch resistant.  best material on the market!!!</li><li>Windshield is cut with superior cnc 5-axis router…all edges are super-smooth.</li><li>Custom bend design for maximum rigidity.</li><li>Extremely durable custom nylon injected clamps.</li><li>All hardware (nuts & bolts) is stainless steel with black-coated finish...no rust!</li><li>Easy to install…no drilling required.</li><li>Versatile tilt mechanism for refreshing cabin ventillation: closed, half extension and full extension.</li><li>Unique quick-release windshield: in just a few seconds, simply remove the windshield to allow for refreshing air flow.  no tools required!!!</li><li>Comes complete with all mounting hardware & detailed instructions.<a id=""_dx_frag_EndFragment""></a></li></ul> </body> </html>","       Full tilt windshield features:  Ultra thick ¼” mr10 ge lexan polycarbonate (or equivalent).  high quality, scratch resistant.  best material on the market!!!Windshield is cut with superior cnc 5-axis router…all edges are super-smooth.Custom bend design for maximum rigidity.Extremely durable custom nylon injected clamps.All hardware (nuts & bolts) is stainless steel with black-coated finish...no rust!Easy to install…no drilling required.Versatile tilt mechanism for refreshing cabin ventillation: closed, half extension and full extension.Unique quick-release windshield: in just a few seconds, simply remove the windshield to allow for refreshing air flow.  no tools required!!!Comes complete with all mounting hardware & detailed instructions.  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,,149100,10000,750,1420,140,Translúcido,https://api.mybihr.com/medias/1092045-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM5MDAyfGltYWdlL2pwZWd8YURrMkwyZzNOeTg0T1RJNU5qSTFOREEzTlRFNEx6RXdPVEl3TkRVdE1WODRNREJYZURnd01FZ3w2Yzk1OGE4M2I3ODhmYTgyZjVmOWRiYjM3YzFmMDRkZTQwZjgwZDE2NDFjYjM1OGVkOWJjMjg0MmNhNWMxMjY0,,,https://static.bihr.pro/eBihr/Pictures/DIRECTION_2-pictures.zip,France Warehouse (Parts)
1092032,,RZRXP19WS1000,DIRECTION 2,DIRE2 WINDSHIELD FULL TILT FRONT,DIRECTION 2 Front Full 1pc Tilt Windshield Polaris RZR XP,385.87,318.90,142.80,4100043100,2,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>Full tilt windshield features:</p><p> </p><ul> <li>Ultra thick ¼” mr10 ge lexan polycarbonate (or equivalent).  high quality, scratch resistant.  best material on the market!!!</li><li>Windshield is cut with superior cnc 5-axis router…all edges are super-smooth.</li><li>Custom bend design for maximum rigidity.</li><li>Extremely durable custom nylon injected clamps.</li><li>All hardware (nuts & bolts) is stainless steel with black-coated finish...no rust!</li><li>Easy to install…no drilling required.</li><li>Versatile tilt mechanism for refreshing cabin ventillation: closed, half extension and full extension.</li><li>Unique quick-release windshield: in just a few seconds, simply remove the windshield to allow for refreshing air flow.  no tools required!!!</li><li>Comes complete with all mounting hardware & detailed instructions.<a id=""_dx_frag_EndFragment""></a></li></ul> </body> </html>","       Full tilt windshield features:  Ultra thick ¼” mr10 ge lexan polycarbonate (or equivalent).  high quality, scratch resistant.  best material on the market!!!Windshield is cut with superior cnc 5-axis router…all edges are super-smooth.Custom bend design for maximum rigidity.Extremely durable custom nylon injected clamps.All hardware (nuts & bolts) is stainless steel with black-coated finish...no rust!Easy to install…no drilling required.Versatile tilt mechanism for refreshing cabin ventillation: closed, half extension and full extension.Unique quick-release windshield: in just a few seconds, simply remove the windshield to allow for refreshing air flow.  no tools required!!!Comes complete with all mounting hardware & detailed instructions.  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,,54600,6800,650,1050,80,Translúcido,https://api.mybihr.com/medias/800Wx800H-1092032-1.jpg?context=bWFzdGVyfHJvb3R8ODk4MTJ8aW1hZ2UvanBlZ3xhR0kyTDJobE5pODJORGcwTVRVek1EVTBNREEyTWk4NE1EQlhlRGd3TUVoZk1UQTVNakF6TWkweExtcHdad3wxNjVkMjlmZmRhZjk0YTJlNjRjOTBiOGQ3MzcxZjdmMTQxYjFkNDIzZWUwYjk4MzRjZWQ0MDdiYmExMThhMDdh,,,https://static.bihr.pro/eBihr/Pictures/DIRECTION_2-pictures.zip,France Warehouse (Parts)
1092005,,KYMCOWS4000,DIRECTION 2,DIRE2 WINDSHIELD FULL TILT FRONT,DIRECTION 2 Front Full Tilt Windshield Kymco UXV 700i,602.46,497.90,276.56,4100044600,2,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>Full tilt windshield features:</p><p> </p><ul> <li>Ultra thick ¼” mr10 ge lexan polycarbonate (or equivalent).  high quality, scratch resistant.  best material on the market!!!</li><li>Windshield is cut with superior cnc 5-axis router…all edges are super-smooth.</li><li>Custom bend design for maximum rigidity.</li><li>Extremely durable custom nylon injected clamps.</li><li>All hardware (nuts & bolts) is stainless steel with black-coated finish...no rust!</li><li>Easy to install…no drilling required.</li><li>Versatile tilt mechanism for refreshing cabin ventillation: closed, half extension and full extension.</li><li>Unique quick-release windshield: in just a few seconds, simply remove the windshield to allow for refreshing air flow.  no tools required!!!</li><li>Comes complete with all mounting hardware & detailed instructions.<a id=""_dx_frag_EndFragment""></a></li></ul> </body> </html>","       Full tilt windshield features:  Ultra thick ¼” mr10 ge lexan polycarbonate (or equivalent).  high quality, scratch resistant.  best material on the market!!!Windshield is cut with superior cnc 5-axis router…all edges are super-smooth.Custom bend design for maximum rigidity.Extremely durable custom nylon injected clamps.All hardware (nuts & bolts) is stainless steel with black-coated finish...no rust!Easy to install…no drilling required.Versatile tilt mechanism for refreshing cabin ventillation: closed, half extension and full extension.Unique quick-release windshield: in just a few seconds, simply remove the windshield to allow for refreshing air flow.  no tools required!!!Comes complete with all mounting hardware & detailed instructions.  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,,67200,1000,600,1400,80,Translúcido,https://api.mybihr.com/medias/800Wx800H-1092005-1.jpg?context=bWFzdGVyfHJvb3R8OTExNzJ8aW1hZ2UvanBlZ3xhRGMyTDJnek55ODJORGcwTVRVeU9UTTJNRFF4TkM4NE1EQlhlRGd3TUVoZk1UQTVNakF3TlMweExtcHdad3w4MDc1ZGNjM2MzY2QyMTY3MzliNzkwNGFhMzIyYTNiY2VjYWE0MzczNjFhYWE5ZjZkZDhhYWY4YWRiNmI5NGI4,,,https://static.bihr.pro/eBihr/Pictures/DIRECTION_2-pictures.zip,France Warehouse (Parts)
1091998,,CFWS7000,DIRECTION 2,DIRE2 WINDSHIELD FULL TILT FRONT,DIRECTION 2 Front Full Tilt Windshield CFMOTO Uforce 1000,571.00,471.90,284.53,4100039300,2,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC57700C4{color:#000;background-color:transparent;font-weight:bold;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>Full tilt windshield features:</p><p> </p><ul> <li>Ultra thick ¼” mr10 ge lexan polycarbonate (or equivalent).  high quality, scratch resistant.  best material on the market!!!</li><li>Windshield is cut with superior cnc 5-axis router…all edges are super-smooth.</li><li>Custom bend design for maximum rigidity.</li><li>Extremely durable custom nylon injected clamps.</li><li>All hardware (nuts & bolts) is stainless steel with black-coated finish...no rust!</li><li>Easy to install…no drilling required.</li><li>Versatile tilt mechanism for refreshing cabin ventillation: closed, half extension and full extension.</li><li>Unique quick-release windshield: in just a few seconds, simply remove the windshield to allow for refreshing air flow.  no tools required!!!</li><li>Comes complete with all mounting hardware & detailed instructions.<a id=""_dx_frag_EndFragment""></a></li></ul> </body> </html>","       Full tilt windshield features:  Ultra thick ¼” mr10 ge lexan polycarbonate (or equivalent).  high quality, scratch resistant.  best material on the market!!!Windshield is cut with superior cnc 5-axis router…all edges are super-smooth.Custom bend design for maximum rigidity.Extremely durable custom nylon injected clamps.All hardware (nuts & bolts) is stainless steel with black-coated finish...no rust!Easy to install…no drilling required.Versatile tilt mechanism for refreshing cabin ventillation: closed, half extension and full extension.Unique quick-release windshield: in just a few seconds, simply remove the windshield to allow for refreshing air flow.  no tools required!!!Comes complete with all mounting hardware & detailed instructions.  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,,119040,12200,960,1550,80,Translúcido,,,,https://static.bihr.pro/eBihr/Pictures/DIRECTION_2-pictures.zip,France Warehouse (Parts)
1084766001,,CFWS2002,DIRECTION 2,"DIRE2 WINDSHIELD SSV D2, CLR",Parabrisas inferior DIRECTION 2 CF Moto Zforce,191.06,157.90,100.05,4100000800,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4EA70B48{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <ul> <li>6,3 mm GE Lexan polycarbonate (or equivalent)</li><li>Windshield is cut with superior cnc 5-axis router…all edges are super-smooth</li><li>Custom bend design for maximum rigidity</li><li>Extremely durable custom nylon injected clamps</li><li>All hardware (nuts & bolts) is stainless steel with black-coated finish...no rust!</li><li>Easy to install…no drilling required</li><li>Comes complete with all mounting hardware & detailed instructions </li></ul> <p> </p><p> </p></body> </html>","        6,3 mm GE Lexan polycarbonate (or equivalent)Windshield is cut with superior cnc 5-axis router…all edges are super-smoothCustom bend design for maximum rigidityExtremely durable custom nylon injected clampsAll hardware (nuts & bolts) is stainless steel with black-coated finish...no rust!Easy to install…no drilling requiredComes complete with all mounting hardware & detailed instructions     ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,Claro,44160,7000,1380,400,80,Translúcido,https://api.mybihr.com/medias/1084766001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzYwMjZ8aW1hZ2UvanBlZ3xhRFk0TDJoaE9TODRPVEkyTVRJMk1qUXpPRGN3THpFd09EUTNOall3TURFdE1WODRNREJYZURnd01FZ3w2NzY3NzQzNTVhNmUzNjA3MjU0ZjY4OGQ4YTdkYzE0MjQ0YTViZmMwZDEwY2FmY2Y4YWIyZjgwZTQxYmFjYjVl,,,https://static.bihr.pro/eBihr/Pictures/DIRECTION_2-pictures.zip,Spain Warehouse (Parts)
1084762001,,CANAMWS1000,DIRECTION 2,"DIRE2 WINDSHIELD SSV D2, CLR",DIRECTION 2 Full Tilt SSV Windshield - Can-Am,521.39,430.90,262.88,CANAMWS1000,3,8714109090,0,1,"<ul> <li>Ultra thick 6,3 mm MR10 GE lexan polycarbonate (or equivalent). High quality, scratch resistant</li> <li>Windshield is cut with superior cnc 5-axis router…all edges are super-smooth</li> <li>Custom bend design for maximum rigidity</li> <li>Extremely durable custom nylon injected clamps</li> <li>All hardware (nuts & bolts) is stainless steel with black-coated finish... no rust!</li> <li>Easy to install… no drilling required</li> <li>Versatile tilt mechanism for refreshing cabin ventillation: closed, half extension and full extension. Extreme rigidity in each position</li> <li>Unique quick-release top windshield piece: in just a few seconds, simply remove the top piece to allow for refreshing air flow. No tools required!!!</li> <li>Comes complete with all mounting hardware & detailed instructions</li></ul>"," Ultra thick 6,3 mm MR10 GE lexan polycarbonate (or equivalent). High quality, scratch resistant Windshield is cut with superior cnc 5-axis router…all edges are super-smooth Custom bend design for maximum rigidity Extremely durable custom nylon injected clamps All hardware (nuts & bolts) is stainless steel with black-coated finish... no rust! Easy to install… no drilling required Versatile tilt mechanism for refreshing cabin ventillation: closed, half extension and full extension. Extreme rigidity in each position Unique quick-release top windshield piece: in just a few seconds, simply remove the top piece to allow for refreshing air flow. No tools required!!! Comes complete with all mounting hardware & detailed instructions",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,Claro,78591,10450,1380,670,85,Translúcido,https://api.mybihr.com/medias/1084762001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTIyNzQxfGltYWdlL2pwZWd8YUdVekwyZ3dPQzg0T1RVMU56RTRPRFl3T0RNd0x6RXdPRFEzTmpJd01ERXRNVjg0TURCWGVEZ3dNRWd8NjYyMDlkODM1N2M3YTI0ODg1OGVkZDYzNzlhOTVhZGI5YTMyOTYyN2EyODA2Mzc2NDhlZDhmMWFjYWNmOWFkNA,https://api.mybihr.com/medias/1084762001-2-800Wx800H?context=bWFzdGVyfHJvb3R8NTY0OTR8aW1hZ2UvanBlZ3xhRFUxTDJnMFl5ODRPVFUxTnpFNU1qVTBNRFEyTHpFd09EUTNOakl3TURFdE1sODRNREJYZURnd01FZ3wzMmM1ZmY4MDVlYTA3MTg3ODExMmFmZDRkNjQ2MzczZTY1MmFlNDA2ODczODI2ZjA0OWJkYWFjMzY5NDFkYTgx,,https://static.bihr.pro/eBihr/Pictures/DIRECTION_2-pictures.zip,France Warehouse (Parts)
1084861001,,MULEWS1000A,DIRECTION 2,"DIRE2 WINDSHIELD SSV D2, CLR",DIRECTION 2 Full Tilt SSV Windshield - Kawasaki Mule 4000/4010,619.40,511.90,263.89,MULEWS1000A,4,8714109090,0,1,"<ul> <li>6,3 mm GE Lexan polycarbonate (or equivalent)</li> <li>Windshield is cut with superior cnc 5-axis router…all edges are super-smooth</li> <li>Custom bend design for maximum rigidity</li> <li>Extremely durable custom nylon injected clamps</li> <li>All hardware (nuts & bolts) is black-coated finish...no rust!</li> <li>Easy to install…no drilling required</li> <li>Under hood storage access: folding feature that allow access to the under hood storage in seconds without having to remove the entire windshield</li> <li>Comes complete with all mounting hardware & detailed instructions</li> <li>Unique quick-release feature: remove the windshield in just a few seconds. No tools required!!! </li></ul>"," 6,3 mm GE Lexan polycarbonate (or equivalent) Windshield is cut with superior cnc 5-axis router…all edges are super-smooth Custom bend design for maximum rigidity Extremely durable custom nylon injected clamps All hardware (nuts & bolts) is black-coated finish...no rust! Easy to install…no drilling required Under hood storage access: folding feature that allow access to the under hood storage in seconds without having to remove the entire windshield Comes complete with all mounting hardware & detailed instructions Unique quick-release feature: remove the windshield in just a few seconds. No tools required!!! ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,Claro,83817,17000,1390,670,90,Translúcido,https://api.mybihr.com/medias/1084861001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjA2MDd8aW1hZ2UvanBlZ3xhRGhpTDJnNFpDODRPVEEwTkRBM01UVTBOekU0THpFd09EUTROakV3TURFdE1WODRNREJYZURnd01FZ3wyZTYyNmI4N2MwNGJjYzcwNDM5ODQ0ZWExMWE5NGJjYWM2MjUwMTdjN2Q0NWRiNDViNmEwZWNlODc5YWE5ZDRm,https://api.mybihr.com/medias/1084861001-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjM3OTl8aW1hZ2UvanBlZ3xhR1psTDJnM1ppODRPVEEwTkRBM05UUTNPVE0wTHpFd09EUTROakV3TURFdE1sODRNREJYZURnd01FZ3w4NDI0YjNhZTdmNGQyMzAxYTMyOTgyMjY0NTYyNWM1MjRhMWM5OTc1ZmU5YjFiYjA0ZjcyZDM1YWNkODAxMWQy,,https://static.bihr.pro/eBihr/Pictures/DIRECTION_2-pictures.zip,France Warehouse (Parts)
1084863001,,RHNWS1003,DIRECTION 2,"DIRE2 WINDSHIELD SSV D2, CLR",DIRECTION 2 Full Tilt SSV Windshield - Yamaha YXR 700 Rhino,521.39,430.90,213.04,RHNWS1003,5,8714109090,0,1,"<ul> <li>Ultra thick 6,3 mm MR10 GE lexan polycarbonate (or equivalent). High quality, scratch resistant</li> <li>Windshield is cut with superior cnc 5-axis router…all edges are super-smooth</li> <li>Custom bend design for maximum rigidity</li> <li>Extremely durable custom nylon injected clamps</li> <li>All hardware (nuts & bolts) is stainless steel with black-coated finish... no rust!</li> <li>Easy to install… no drilling required</li> <li>Versatile tilt mechanism for refreshing cabin ventillation: closed, half extension and full extension. Extreme rigidity in each position</li> <li>Unique quick-release top windshield piece: in just a few seconds, simply remove the top piece to allow for refreshing air flow. No tools required!!!</li> <li>Comes complete with all mounting hardware & detailed instructions</li></ul>"," Ultra thick 6,3 mm MR10 GE lexan polycarbonate (or equivalent). High quality, scratch resistant Windshield is cut with superior cnc 5-axis router…all edges are super-smooth Custom bend design for maximum rigidity Extremely durable custom nylon injected clamps All hardware (nuts & bolts) is stainless steel with black-coated finish... no rust! Easy to install… no drilling required Versatile tilt mechanism for refreshing cabin ventillation: closed, half extension and full extension. Extreme rigidity in each position Unique quick-release top windshield piece: in just a few seconds, simply remove the top piece to allow for refreshing air flow. No tools required!!! Comes complete with all mounting hardware & detailed instructions",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,Claro,77699,10700,1385,660,85,Translúcido,https://api.mybihr.com/medias/1084863001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTIyNDMyfGltYWdlL2pwZWd8YURWa0wyZzNNaTg0T1RBME5EQTNPVFF4TVRVd0x6RXdPRFE0TmpNd01ERXRNVjg0TURCWGVEZ3dNRWd8NjEyZDJiOWY2OWZiMzA5OTNkY2Q2NThmY2ZiNWUzNDUwOTQ1NGRkNjRhZjQ5YmM4NmVmNGMzYzUyM2U2MzkyMA,https://api.mybihr.com/medias/1084863001-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTIzMjkzfGltYWdlL2pwZWd8YURCa0wyZ3hPUzg0T1RBME5EQTRORGs0TWpBMkx6RXdPRFE0TmpNd01ERXRNbDg0TURCWGVEZ3dNRWd8MTExMDk2NTE2NDRiNGM4OGYzMTgzZjMxMWZmZmIyNGZjNjY2NmM2NmI4MWEzNDMwMzFkNjg0YjQ3ZGMyY2Y5NA,https://api.mybihr.com/medias/1084863001-3-800Wx800H?context=bWFzdGVyfHJvb3R8Nzc4MTB8aW1hZ2UvanBlZ3xhRFprTDJnd1lpODRPVEEwTkRBNE9Ea3hOREl5THpFd09EUTROak13TURFdE0xODRNREJYZURnd01FZ3xkYjJlYTJmYWMxYjY5ZTc1OTU1NGNmMzI2NmRiNjdjYTdmNWZiZDIxNTcwMzFjNzljZGZkNzk2MzIwZDVkYmJj,https://static.bihr.pro/eBihr/Pictures/DIRECTION_2-pictures.zip,France Warehouse (Parts)
1084871001,,WILDCATWS1000,DIRECTION 2,"DIRE2 WINDSHIELD SSV D2, TRN",DIRECTION 2 Full Tilt SSV Windshield - Arctic Cat Wildcat,511.71,422.90,187.33,WILDCATWS1000,3,8714109090,0,1,"<ul> <li>Ultra thick 6,3 mm MR10 GE lexan polycarbonate (or equivalent). High quality, scratch resistant</li> <li>Windshield is cut with superior cnc 5-axis router…all edges are super-smooth</li> <li>Custom bend design for maximum rigidity</li> <li>Extremely durable custom nylon injected clamps</li> <li>All hardware (nuts & bolts) is stainless steel with black-coated finish... no rust!</li> <li>Easy to install… no drilling required</li> <li>Unique quick-release feature: remove the windshield in just a few seconds. No tools required!!!</li> <li>Comes complete with all mounting hardware & detailed instructions</li></ul>"," Ultra thick 6,3 mm MR10 GE lexan polycarbonate (or equivalent). High quality, scratch resistant Windshield is cut with superior cnc 5-axis router…all edges are super-smooth Custom bend design for maximum rigidity Extremely durable custom nylon injected clamps All hardware (nuts & bolts) is stainless steel with black-coated finish... no rust! Easy to install… no drilling required Unique quick-release feature: remove the windshield in just a few seconds. No tools required!!! Comes complete with all mounting hardware & detailed instructions",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. COMFORT&CONVEN.,Transparente,110670,9500,1400,930,85,Translúcido,https://api.mybihr.com/medias/1084871001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzUyMjN8aW1hZ2UvanBlZ3xhRFU0TDJnMU55ODRPVEEwTkRBNU5qYzNPRFUwTHpFd09EUTROekV3TURFdE1WODRNREJYZURnd01FZ3xmOTJkM2ZlYTRkYzBkMmExNjBkYWY5NGQ0MzlhMGM5ODRhZThjZjRjZjk3YjNkYzllN2MyNjU0MjY2ZmI2ZTNj,https://api.mybihr.com/medias/1084871001-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTA4MTkyfGltYWdlL2pwZWd8YURrMEwyaGhOUzg0T1RBME5ERXdNRGN4TURjd0x6RXdPRFE0TnpFd01ERXRNbDg0TURCWGVEZ3dNRWd8MWVhNmY5YjdiZGUwZjhkNmU4MzMyMzA1MzhhNDE4NmM4ZjliYWQ3ODUzMjdlOTJlOTg3Yjk0NzE5OTlmM2EyZQ,,https://static.bihr.pro/eBihr/Pictures/DIRECTION_2-pictures.zip,France Warehouse (Parts)
