PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura del neumático (perfil),Anchura del neumático,Categoría de neumático,Compuesto de neumático,Diámetro de la llanta,Estructura de neumático,Familia de neumáticos,Homologación,Índice de carga del neumático (IC),Índice de velocidad (CV),Marcajes,Modelo,Posición,Sin cámara o tipo de cámara,Tierra,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,Document1,DeliveryPlant
9000354,90000091,635219,DUNLOP,DUNLO TIRE SPORTSMART MK3 190/55ZR17,Neumático DUNLOP SPORTMAX SPORTSMART MK3 190/55 ZR 17 M/C (75W) TL,339.41,280.50,157.08,5452000676689,3,4011400000,0,1,"<p><strong>SPORTSMART MK3</strong></p><p><strong><em>SPORT</em></strong></p><p>Con el nuevo SportSmart Mk3, Dunlop continúa con su filosofía de producir neumáticos deportivos de rendimiento elevado y llevarlos de la competición a la carretera. Su construcción con un diseño que incorpora la fórmula delantera dinámica (DFF), combinada con una innovadora composición del compuesto, ofrece un agarre y un rendimiento mejorados, en todas las condiciones. De esta forma, SportSmart Mk3 es capaz de ir un paso más allá, adaptándose al rendimiento de las motos hypersport y supernakeds más recientes.</p><p>  <br></p><p>- La mezcla de los nuevos compuestos mejora la confianza del piloto en superficies húmedas</p><p>- El nuevo e innovador dibujo de la banda de rodadura ofrece una maniobrabilidad excepcional en todas las condiciones</p><p>- El sílice presente en una elevada área de superficie ofrece una mayor durabilidad y un excepcional rendimiento en mojado</p><p>- La tecnología Multi-Tread (MT) aumenta el agarre lateral en curvas, así como el kilometraje</p><p>  <br></p>","
SPORTSMART MK3
SPORT
Con el nuevo SportSmart Mk3, Dunlop continúa con su filosofía de producir neumáticos deportivos de rendimiento elevado y llevarlos de la competición a la carretera. Su construcción con un diseño que incorpora la fórmula delantera dinámica (DFF), combinada con una innovadora composición del compuesto, ofrece un agarre y un rendimiento mejorados, en todas las condiciones. De esta forma, SportSmart Mk3 es capaz de ir un paso más allá, adaptándose al rendimiento de las motos hypersport y supernakeds más recientes.
  
- La mezcla de los nuevos compuestos mejora la confianza del piloto en superficies húmedas
- El nuevo e innovador dibujo de la banda de rodadura ofrece una maniobrabilidad excepcional en todas las condiciones
- El sílice presente en una elevada área de superficie ofrece una mayor durabilidad y un excepcional rendimiento en mojado
- La tecnología Multi-Tread (MT) aumenta el agarre lateral en curvas, así como el kilometraje
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,69632,6920,640,640,170,55,190,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,75,(W) > 270 km/h,,SPORTMAX SPORTSMART MK3,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000354-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTY1ODN8aW1hZ2UvanBlZ3xhRGN6TDJoaVpDODRPVFV5TXpnNE5qUTRPVGt3THprd01EQXpOVFF0TVY4NE1EQlhlRGd3TUVnfDUwZTBmNDAwYmJlZDI5ODIzZTFkYzM3ODE0MzgzMTkyNWUzNTg2YTM5ZWJkOTY3Mjc5YzMwMzkyMTIxMTY3MjQ,,,,https://static.bihr.pro/eBihr/Pictures/DUNLOP-pictures.zip,,Spain Warehouse (Tires)
9000329,66130,625922,DUNLOP,DUNLO TIRE QUALIFIER II 130/70ZR16,Neumático DUNLOP SPORTMAX QUALIFIER II 130/70 ZR 16 M/C (61W) TL,206.31,170.50,95.48,8430525661301,2,4011400000,0,1,"<strong>El neumático de carretera con tecnología moderna para motos deportivas clásicas.<br><br></strong>- Seleccionado para una amplia variedad de modelos de motocicleta de competición<br>- Componente Multi-Tread (MT) con una mayor vida y con mayor agarre tanto en seco como en mojado.<br>- Diseño exclusivo de la banda para mayor área de contacto, adherencia pura y mayor respuesta.<br>- La estructura del neumático trasero de Banda sin juntas (JLB) logra una excelente estabilidad y absorción de choques a alta velocidad.","El neumático de carretera con tecnología moderna para motos deportivas clásicas.- Seleccionado para una amplia variedad de modelos de motocicleta de competición- Componente Multi-Tread (MT) con una mayor vida y con mayor agarre tanto en seco como en mojado.- Diseño exclusivo de la banda para mayor área de contacto, adherencia pura y mayor respuesta.- La estructura del neumático trasero de Banda sin juntas (JLB) logra una excelente estabilidad y absorción de choques a alta velocidad.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,43581,4701,579,579,130,70,130,Hypersport,,16,Radial,Neumáticos de motocicleta y scooter,,61,(W) > 270 km/h,,SPORTMAX QUALIFIER II,Delantero,TL - Tubeless,,https://api.mybihr.com/medias/9000329-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTc1NjkzfGltYWdlL2pwZWd8YUdGa0wyZ3hZeTg0T0RZNE16WXpOVFkzTVRNMEx6a3dNREF6TWprdE1WODRNREJYZURnd01FZ3xhNjg2OWJlYjY5NWQwM2FhYmQ4ZjE1Mzg4YTM2NDcwODQwMTY2YzRkYTExN2NiOGMwNjM2YWZmYWI4ZmE5ZWY5,,,,https://static.bihr.pro/eBihr/Pictures/DUNLOP-pictures.zip,,Spain Warehouse (Tires)
9000330,66132,625927,DUNLOP,DUNLO TIRE QUALIFIER II 170/60ZR17,Neumático DUNLOP SPORTMAX QUALIFIER II 170/60 ZR 17 M/C (72W) TL,300.50,248.35,125.00,4038526314055,1,4011400000,0,1,"<strong>El neumático de carretera con tecnología moderna para motos deportivas clásicas.<br><br></strong>- Seleccionado para una amplia variedad de modelos de motocicleta de competición<br>- Componente Multi-Tread (MT) con una mayor vida y con mayor agarre tanto en seco como en mojado.<br>- Diseño exclusivo de la banda para mayor área de contacto, adherencia pura y mayor respuesta.<br>- La estructura del neumático trasero de Banda sin juntas (JLB) logra una excelente estabilidad y absorción de choques a alta velocidad.","El neumático de carretera con tecnología moderna para motos deportivas clásicas.- Seleccionado para una amplia variedad de modelos de motocicleta de competición- Componente Multi-Tread (MT) con una mayor vida y con mayor agarre tanto en seco como en mojado.- Diseño exclusivo de la banda para mayor área de contacto, adherencia pura y mayor respuesta.- La estructura del neumático trasero de Banda sin juntas (JLB) logra una excelente estabilidad y absorción de choques a alta velocidad.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,68951,6369,630,629,174,60,170,Hypersport,,17,Radial,Neumáticos de motocicleta y scooter,,72,(W) > 270 km/h,,SPORTMAX QUALIFIER II,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000330-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTc1NjkzfGltYWdlL2pwZWd8YURGbUwyZzFOeTg0T1RBM09UYzJPVGs0T1RReUx6a3dNREF6TXpBdE1WODRNREJYZURnd01FZ3w0YmZlZjYyOGZkOGRlOGM0Y2E2YTAyMmE1N2VhYjQ1MzRmMmE0MmRiMTY2YmEwMGJiMzFiYjlmMzYxNGY3Mjkz,,,,https://static.bihr.pro/eBihr/Pictures/DUNLOP-pictures.zip,,Spain Warehouse (Tires)
9000334,574634590,634590,DUNLOP,DUNLO TIRE GP RACER D212 M 190/55ZR17,Neumático DUNLOP SPORTMAX GP RACER D212 M 190/55 ZR 17 M/C (75W) TL,387.20,320.00,179.20,5452000573605,2,4011400000,0,1,"<p><strong>Este neumático se deriva del D212 GP Pro, el neumático específico del TT Isla de Man. El D212 GP Racer está homologado para carretera ofreciendo un tipo de rendimiento que, hasta hace poco, solo estaba disponible en las fábricas de los equipos de competición.</strong></p><p>  <br></p><p>- Estructura diseñada para otorgar una entrada en curva más rápida.</p><p>- El sistema NTEC permite ajustar las presiones para cualquier condición de la pista.</p><p>- Mejora en el compuesto de la huella para un máximo agarre en seco.</p><p>- Construcción combinada con el desarrollo de los compuestos que proporcionan una mayor resistencia para un mayor rendimiento.</p><p>  <br></p>","
Este neumático se deriva del D212 GP Pro, el neumático específico del TT Isla de Man. El D212 GP Racer está homologado para carretera ofreciendo un tipo de rendimiento que, hasta hace poco, solo estaba disponible en las fábricas de los equipos de competición.
  
- Estructura diseñada para otorgar una entrada en curva más rápida.
- El sistema NTEC permite ajustar las presiones para cualquier condición de la pista.
- Mejora en el compuesto de la huella para un máximo agarre en seco.
- Construcción combinada con el desarrollo de los compuestos que proporcionan una mayor resistencia para un mayor rendimiento.
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,77824,7780,640,640,190,55,190,Dibujo de carreras (homologado carretera),Medio,17,Radial,Neumáticos de motocicleta y scooter,,75,(W) > 270 km/h,,SPORTMAX GP RACER D212,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000334-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTA1MTN8aW1hZ2UvanBlZ3xhR1V4TDJnNU1TODRPVE0wTkRRek5EVXdNems0THprd01EQXpNelF0TVY4NE1EQlhlRGd3TUVnfDFmMWI5ZWVjNmJjNDUzZmY4NDU4ZDcwODRmMWQ4NzdiZDgxNjkyMWFmYTk3NWQ2MDdjYWJhZWRkMWIzNmU1NGM,,,,https://static.bihr.pro/eBihr/Pictures/DUNLOP-pictures.zip,,Spain Warehouse (Tires)
9000335,574634591,634591,DUNLOP,DUNLO TIRE GP RACER D212 E 190/55ZR17,Neumático DUNLOP SPORTMAX GP RACER D212 E 190/55 ZR 17 M/C (75W) TL,387.20,320.00,179.20,5452000574015,2,4011400000,0,1,"<p><strong>Este neumático se deriva del D212 GP Pro, el neumático específico del TT Isla de Man. El D212 GP Racer está homologado para carretera ofreciendo un tipo de rendimiento que, hasta hace poco, solo estaba disponible en las fábricas de los equipos de competición.</strong></p><p>  <br></p><p>- Estructura diseñada para otorgar una entrada en curva más rápida.</p><p>- El sistema NTEC permite ajustar las presiones para cualquier condición de la pista.</p><p>- Mejora en el compuesto de la huella para un máximo agarre en seco.</p><p>- Construcción combinada con el desarrollo de los compuestos que proporcionan una mayor resistencia para un mayor rendimiento.</p><p>  <br></p>","
Este neumático se deriva del D212 GP Pro, el neumático específico del TT Isla de Man. El D212 GP Racer está homologado para carretera ofreciendo un tipo de rendimiento que, hasta hace poco, solo estaba disponible en las fábricas de los equipos de competición.
  
- Estructura diseñada para otorgar una entrada en curva más rápida.
- El sistema NTEC permite ajustar las presiones para cualquier condición de la pista.
- Mejora en el compuesto de la huella para un máximo agarre en seco.
- Construcción combinada con el desarrollo de los compuestos que proporcionan una mayor resistencia para un mayor rendimiento.
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,77824,8260,640,640,190,55,190,Dibujo de carreras (homologado carretera),Resistencia,17,Radial,Neumáticos de motocicleta y scooter,,75,(W) > 270 km/h,,SPORTMAX GP RACER D212,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000335-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTA1MTN8aW1hZ2UvanBlZ3xhRFV4TDJnMk15ODRPVEUyTmpRNE1EQXhOVFkyTHprd01EQXpNelV0TVY4NE1EQlhlRGd3TUVnfDM1ODUzZjExMjJmM2FjNDM3YWVjZjZiMDc4YTlmODE0OTc2YzNjYzUzYmZlZDdjZGNlODcyZDVlNWE2ZmFjODc,,,,https://static.bihr.pro/eBihr/Pictures/DUNLOP-pictures.zip,,Spain Warehouse (Tires)
9000338,574634634,634634,DUNLOP,DUNLO TIRE GP RACER D212 S 120/70ZR17,Neumático DUNLOP SPORTMAX GP RACER D212 S 120/70 ZR 17 M/C (58W) TL,278.91,230.50,129.08,5452000574046,1,4011400000,0,1,"<p><strong>Este neumático se deriva del D212 GP Pro, el neumático específico del TT Isla de Man. El D212 GP Racer está homologado para carretera ofreciendo un tipo de rendimiento que, hasta hace poco, solo estaba disponible en las fábricas de los equipos de competición.</strong></p><p>  <br></p><p>- Estructura diseñada para otorgar una entrada en curva más rápida.</p><p>- El sistema NTEC permite ajustar las presiones para cualquier condición de la pista.</p><p>- Mejora en el compuesto de la huella para un máximo agarre en seco.</p><p>- Construcción combinada con el desarrollo de los compuestos que proporcionan una mayor resistencia para un mayor rendimiento.</p><p>  <br></p>","
Este neumático se deriva del D212 GP Pro, el neumático específico del TT Isla de Man. El D212 GP Racer está homologado para carretera ofreciendo un tipo de rendimiento que, hasta hace poco, solo estaba disponible en las fábricas de los equipos de competición.
  
- Estructura diseñada para otorgar una entrada en curva más rápida.
- El sistema NTEC permite ajustar las presiones para cualquier condición de la pista.
- Mejora en el compuesto de la huella para un máximo agarre en seco.
- Construcción combinada con el desarrollo de los compuestos que proporcionan una mayor resistencia para un mayor rendimiento.
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,43200,4561,600,600,120,70,120,Dibujo de carreras (homologado carretera),Blando,17,Radial,Neumáticos de motocicleta y scooter,,58,(W) > 270 km/h,,SPORTMAX GP RACER D212,Delantero,TL - Tubeless,,https://api.mybihr.com/medias/9000338-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTA1MTN8aW1hZ2UvanBlZ3xhRGt5TDJoak1TODRPVFExTlRFMU9ESXpNVE0wTHprd01EQXpNemd0TVY4NE1EQlhlRGd3TUVnfGM5ZTQyMTJhMWYzOTdhMjk2NGQ2NmQxZWUyMjlkM2I3ZjY1ODQzNDk1MTJjYzFlZGRjN2IzMzY0YzUzMzI3N2E,,,,https://static.bihr.pro/eBihr/Pictures/DUNLOP-pictures.zip,,Spain Warehouse (Tires)
9000339,574634635,634635,DUNLOP,DUNLO TIRE GP RACER D212 M 120/70ZR17,Neumático DUNLOP SPORTMAX GP RACER D212 M 120/70 ZR 17 M/C (58W) TL,278.91,230.50,129.08,5452000574053,2,4011400000,0,1,"<p><strong>Este neumático se deriva del D212 GP Pro, el neumático específico del TT Isla de Man. El D212 GP Racer está homologado para carretera ofreciendo un tipo de rendimiento que, hasta hace poco, solo estaba disponible en las fábricas de los equipos de competición.</strong></p><p>  <br></p><p>- Estructura diseñada para otorgar una entrada en curva más rápida.</p><p>- El sistema NTEC permite ajustar las presiones para cualquier condición de la pista.</p><p>- Mejora en el compuesto de la huella para un máximo agarre en seco.</p><p>- Construcción combinada con el desarrollo de los compuestos que proporcionan una mayor resistencia para un mayor rendimiento.</p><p>  <br></p>","
Este neumático se deriva del D212 GP Pro, el neumático específico del TT Isla de Man. El D212 GP Racer está homologado para carretera ofreciendo un tipo de rendimiento que, hasta hace poco, solo estaba disponible en las fábricas de los equipos de competición.
  
- Estructura diseñada para otorgar una entrada en curva más rápida.
- El sistema NTEC permite ajustar las presiones para cualquier condición de la pista.
- Mejora en el compuesto de la huella para un máximo agarre en seco.
- Construcción combinada con el desarrollo de los compuestos que proporcionan una mayor resistencia para un mayor rendimiento.
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,43200,4530,600,600,120,70,120,Dibujo de carreras (homologado carretera),Medio,17,Radial,Neumáticos de motocicleta y scooter,,58,(W) > 270 km/h,,SPORTMAX GP RACER D212,Delantero,TL - Tubeless,,https://api.mybihr.com/medias/9000339-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTA1MTN8aW1hZ2UvanBlZ3xhR1k1TDJoaU9TODRPVEEzT1RjM056ZzFNemMwTHprd01EQXpNemt0TVY4NE1EQlhlRGd3TUVnfGNjOTRiN2E2OGNjNzAzNzg3YzU1MzIzNzM4ODdiZmQ3NWZjZjZkYzFhMmQ0MDZlYjBmZjM4NzY3NDQ2ZjY1ZTA,,,,https://static.bihr.pro/eBihr/Pictures/DUNLOP-pictures.zip,,Spain Warehouse (Tires)
9000340,574634637,634637,DUNLOP,DUNLO TIRE GP RACER D212 M 180/55ZR17,Neumático DUNLOP SPORTMAX GP RACER D212 M 180/55 ZR 17 M/C (73W) TL,381.15,315.00,176.40,5452000574077,3,4011400000,0,1,"<p><strong>Este neumático se deriva del D212 GP Pro, el neumático específico del TT Isla de Man. El D212 GP Racer está homologado para carretera ofreciendo un tipo de rendimiento que, hasta hace poco, solo estaba disponible en las fábricas de los equipos de competición.</strong></p><p>  <br></p><p>- Estructura diseñada para otorgar una entrada en curva más rápida.</p><p>- El sistema NTEC permite ajustar las presiones para cualquier condición de la pista.</p><p>- Mejora en el compuesto de la huella para un máximo agarre en seco.</p><p>- Construcción combinada con el desarrollo de los compuestos que proporcionan una mayor resistencia para un mayor rendimiento.</p><p>  <br></p>","
Este neumático se deriva del D212 GP Pro, el neumático específico del TT Isla de Man. El D212 GP Racer está homologado para carretera ofreciendo un tipo de rendimiento que, hasta hace poco, solo estaba disponible en las fábricas de los equipos de competición.
  
- Estructura diseñada para otorgar una entrada en curva más rápida.
- El sistema NTEC permite ajustar las presiones para cualquier condición de la pista.
- Mejora en el compuesto de la huella para un máximo agarre en seco.
- Construcción combinada con el desarrollo de los compuestos que proporcionan una mayor resistencia para un mayor rendimiento.
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,71442,7860,630,630,180,55,180,Dibujo de carreras (homologado carretera),Medio,17,Radial,Neumáticos de motocicleta y scooter,,73,(W) > 270 km/h,,SPORTMAX GP RACER D212,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000340-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTA1MTN8aW1hZ2UvanBlZ3xhR1F4TDJoa01TODRPVFV5TXpnNE1EVTVNVFkyTHprd01EQXpOREF0TVY4NE1EQlhlRGd3TUVnfDczZWQyNDNkMjZjNGI4ZWU1NjcyYTA4ZWI1ODRiZWM1MzNjNTE5ZjYyNTNhYzg3YWU1NTE5NDk1ZTAyNzk3MWU,,,,https://static.bihr.pro/eBihr/Pictures/DUNLOP-pictures.zip,,Spain Warehouse (Tires)
9000322,66177,622344,DUNLOP,DUNLO TIRE SX D208 120/70ZR19,Neumático DUNLOP SX D208 120/70 ZR 19 M/C (60W) TL,330.94,273.50,153.16,4038526287342,0,4011400000,0,1,"<p><strong>El Dunlop Sportmax D208 está destinado a un amplio número de motocicletas del mercado.</strong></p><p>  <br></p><p>- Monta de origen en Harley-Davidson V-Rod, Night Rod, Street Rod (2006+)</p><p>- Se caracteriza por tener un mayor agarre tanto en seco como en mojado, una mejora en la manejabilidad, más eficacia en la suspensión y una mayor durabilidad y estabilidad.</p><p>- Posee además una mayor ligereza, transmitiendo seguridad e informando de forma continua al piloto.</p><p>  <br></p>","
El Dunlop Sportmax D208 está destinado a un amplio número de motocicletas del mercado.
  
- Monta de origen en Harley-Davidson V-Rod, Night Rod, Street Rod (2006+)
- Se caracteriza por tener un mayor agarre tanto en seco como en mojado, una mejora en la manejabilidad, más eficacia en la suspensión y una mayor durabilidad y estabilidad.
- Posee además una mayor ligereza, transmitiendo seguridad e informando de forma continua al piloto.
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,50388,5639,648,648,120,70,120,Custom,,19,Radial,Neumáticos de motocicleta y scooter,,60,(W) > 270 km/h,,SX D208,Delantero,TL - Tubeless,,https://api.mybihr.com/medias/9000322-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTY0NjM3fGltYWdlL2pwZWd8YUdVeEwyZzBZaTg0T1RBM09UYzJOakExTnpJMkx6a3dNREF6TWpJdE1WODRNREJYZURnd01FZ3xiODRkZDJlZWY4ODJlNDczMGJkMDg4NzA3NmQ1NTVmYTRlMjFjMTQxYTU5MTc0NzNmYjRjZjU5Mzc5Yzc3NWY0,,,,https://static.bihr.pro/eBihr/Pictures/DUNLOP-pictures.zip,,Spain Warehouse (Tires)
9000337,574634633,634633,DUNLOP,DUNLO TIRE GP RACER D212 E 200/55ZR17,Neumático DUNLOP SPORTMAX GP RACER D212 E 200/55 ZR 17 M/C (78W) TL,421.08,348.00,194.88,5452000574039,2,4011400000,0,1,"<p><strong>Este neumático se deriva del D212 GP Pro, el neumático específico del TT Isla de Man. El D212 GP Racer está homologado para carretera ofreciendo un tipo de rendimiento que, hasta hace poco, solo estaba disponible en las fábricas de los equipos de competición.</strong></p><p>  <br></p><p>- Estructura diseñada para otorgar una entrada en curva más rápida.</p><p>- El sistema NTEC permite ajustar las presiones para cualquier condición de la pista.</p><p>- Mejora en el compuesto de la huella para un máximo agarre en seco.</p><p>- Construcción combinada con el desarrollo de los compuestos que proporcionan una mayor resistencia para un mayor rendimiento.</p><p>  <br></p>","
Este neumático se deriva del D212 GP Pro, el neumático específico del TT Isla de Man. El D212 GP Racer está homologado para carretera ofreciendo un tipo de rendimiento que, hasta hace poco, solo estaba disponible en las fábricas de los equipos de competición.
  
- Estructura diseñada para otorgar una entrada en curva más rápida.
- El sistema NTEC permite ajustar las presiones para cualquier condición de la pista.
- Mejora en el compuesto de la huella para un máximo agarre en seco.
- Construcción combinada con el desarrollo de los compuestos que proporcionan una mayor resistencia para un mayor rendimiento.
  ",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE HYPERSPORT,84500,8100,650,650,200,55,200,Dibujo de carreras (homologado carretera),Resistencia,17,Radial,Neumáticos de motocicleta y scooter,,78,(W) > 270 km/h,,SPORTMAX GP RACER D212,Trasero,TL - Tubeless,,https://api.mybihr.com/medias/9000337-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTA1MTN8aW1hZ2UvanBlZ3xhRFEzTDJoaFppODRPRGd3TmpjeE9UZ3hOVGs0THprd01EQXpNemN0TVY4NE1EQlhlRGd3TUVnfDgzMTlkOTIzMTlhNjQyYjgzYmZmM2NmM2VhMDRmNDEyNWI5NjE5ZDQxZjlmOTM1ZTFiZTJmNWNiZTgxMzFmMWQ,,,,https://static.bihr.pro/eBihr/Pictures/DUNLOP-pictures.zip,,Spain Warehouse (Tires)
