PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura de llanta,Color de llanta,Diámetro de la llanta,Posición,Picture1,AllPicturesZIP,DeliveryPlant
1076860003,,ICS441,EXCEL,"EXCEL RIM FR 21X1,60X36T, SIL","EXCEL MX Front rim - 21x1,60x36T",166.31,137.45,96.22,775968,0,8714921000,1,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Plata,36986,2251,631,617,95,,,,Delantero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076773001,,ACK406,EXCEL,"EXCEL RIM RR 12X1,60X32T, BLK","Llanta trasera EXCEL - 12x1,60x32T",193.59,159.99,111.99,681319610083,0,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Negro,9126,900,390,390,60,,,,Trasero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076841001,,GDB406,EXCEL,"EXCEL RIM RR 19X1,85X36T, BLU","EXCEL MX Rear rim - 19x1,85x36T",202.36,167.24,117.07,4320000407,2,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Azul,21632,2430,520,520,80,,,,Trasero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076848003,,GEA409,EXCEL,"EXCEL RIM RR 19X2,15X36T, YEL","EXCEL MX Rear rim - 19x2,15x36T",228.62,188.94,132.26,776970,1,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Amarillo,21632,1910,520,520,80,,,,Trasero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076834001,,FEK423,EXCEL,"EXCEL RIM RR 18X2,15X36T, BLK","EXCEL MX Rear rim - 18x2,15x36T",221.74,183.26,128.28,775973,0,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Negro,28781,2269,551,533,98,,,,Trasero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1037034,94232,3 1918536A/3,EXCEL,EXCEL RIM 3 1918536A/3,"Aro de llanta Excel negro 19-1,85 3 1918536A/3",175.99,145.45,101.82,8430525942325,1,8714999089,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,,27225,2360,550,550,90,,,,,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076837001,,GBK400,EXCEL,"EXCEL RIM FR 19X1,40X28T, BLK","Llanta delantera EXCEL - 19x1,40x28T",206.17,170.39,119.27,681319607472,0,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Negro,21632,1150,520,520,80,,,,Delantero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076818001,,DDK400,EXCEL,"EXCEL RIM RR 16X1,85X28T, BLK","EXCEL MX Rear rim - 16x1,85x28T",199.64,164.99,115.49,681319604228,0,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Negro,21632,1550,520,520,80,,,,Trasero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076771001,,ACK401U,EXCEL,"EXCEL RIM RR 12X1,60X32T, BLK","Aro de llanta EXCEL 12X1,60X32T",157.29,129.99,90.99,4320001701,0,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> </body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Negro,0,2386,1,1,1,,,,Trasero,https://api.mybihr.com/medias/1076771001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzUxODV8aW1hZ2UvanBlZ3xhRFl6TDJobE9DODRPVFkzT0Rjek9EZzRNamcyTHpFd056WTNOekV3TURFdE1WODRNREJYZURnd01FZ3xmNzkyMjI3YmZkMDdkNGYwMTMwMDI0ZjA2M2MyMmRhYTNiMDhkOTAzM2MzM2NkZDRjODM5NDkwNGE2NmEyZmNm,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076824002,,EBG404,EXCEL,"EXCEL RIM FR 17X1,40X32T, GLD","Llanta delantera EXCEL MX - 17x1,40x32T",186.52,154.15,115.61,,0,,1,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Dorado,1,1,10,10,10,,,,Delantero,https://api.mybihr.com/medias/800Wx800H-1076824002-1.jpg?context=bWFzdGVyfHJvb3R8NjYzMzd8aW1hZ2UvanBlZ3xhREEwTDJnMU55ODVOelV4TWprNE5ETXhNemc0Tmk4NE1EQlhlRGd3TUVoZk1UQTNOamd5TkRBd01pMHhMbXB3Wnd8ODc5ZThiOWE0NTkxNzIyZGM1MDM1NzY4OGMzMjJmNjBjY2NhOWEyMzI3ZDM4MmNkOTFlYmUyMjFlODI5ZTczMg,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
